,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
388509,A1JMW169YC0QJY,630391750X,Anthony R. Tempesta,"[2, 2]","Double ouch!!""War Gods of the Deep"" is one of Vincent Price's weakest films, and he appears disinterested throughout.  Tab Hunter is unbearably stiff, and the ""comic relief"" provided by David Tomlinson and a chicken isn't funny in the slightest.  Shoddy special effects and a shoddier plotline drag this movie way, way down (to the bottom of the sea, shall we say?).""At the Earth's Core"" manages to sink even lower.  Doug McClure plays his role over the top, and the ""comic relief"" provided by a buffoonish Peter Cushing isn't funny either.  The monsters in this film are so phony that they insult the intelligence of the viewer, even for the low standards of the 1970s.  An awful plotline with an absurd romance thrown in -- there's nothing of merit to this film except unintended laughs at how bad it is.The DVD gets two stars as it was cheap entertainment and allows Vincent Price fans to see one of his more obscure (and deservedly so) films.",2,"Cheap Entertainment, But That's It",1212710400,"06 6, 2008",2008,946,"['Double', 'ouch', 'War', 'Gods', 'Deep', 'one', 'Vincent', 'Price', 'weakest', 'films', 'disinterested', 'Tab', 'Hunter', 'unbearably', 'stiff', 'comic', 'relief', 'provided', 'David', 'Tomlinson', 'chicken', ""n't"", 'funny', 'slightest', 'Shoddy', 'special', 'effects', 'shoddier', 'plotline', 'drag', 'movie', 'way', 'way', 'down', 'bottom', 'sea', 'shall', 'say', 'Earth', 'Core', 'sink', 'even', 'lower', 'Doug', 'McClure', 'role', 'top', 'comic', 'relief', 'provided', 'buffoonish', 'Peter', 'Cushing', ""n't"", 'funny', 'either', 'monsters', 'film', 'are', 'so', 'phony', 'insult', 'intelligence', 'viewer', 'even', 'low', 'standards', '1970s', 'awful', 'plotline', 'absurd', 'romance', 'thrown', 'nothing', 'merit', 'film', 'unintended', 'laughs', 'how', 'bad', 'DVD', 'two', 'stars', 'was', 'cheap', 'entertainment', 'Vincent', 'Price', 'fans', 'see', 'one', 'more', 'obscure', 'deservedly', 'so', 'films']",Earth's Core VHS
388510,AUDMEN4VFE8CM,630391750X,Bob Ashley,"[0, 0]","Hey!Cheesy and low-budget as heck,this drive-in movie from 1976 is nonetheless a lotta fun!I can't help comparing it to Sid and Marty Krofft's saturday morning shows of the early 70s,especialy LAND OF THE LOST.VERY entertaning!",5,Sid and Marty Krofft forever!,1013817600,"02 16, 2002",2002,227,"['Hey', 'Cheesy', 'low-budget', 'heck', 'drive-in', 'movie', '1976', 'nonetheless', 'lotta', 'fun', 'ca', ""n't"", 'help', 'comparing', 'Sid', 'Marty', 'Krofft', 'saturday', 'morning', 'shows', 'early', '70s', 'especialy', 'LAND', 'THE', 'LOST.VERY', 'entertaning']",Earth's Core VHS
388511,AGOG3X2MXHGLS,630391750X,Bobbie J Spaulding,"[0, 1]","I JUST LOVE THESE OLD FLICKS. THEY REMIND ME OF MY YOUTH, GOING TO THE MOVIES EVERY SATURDAY AFTERNOON. THIS IS GREAT AND FUNNY.",5,OLD FLICKS,1363219200,"03 14, 2013",2013,128,"['JUST', 'LOVE', 'THESE', 'OLD', 'FLICKS', 'THEY', 'REMIND', 'ME', 'MY', 'YOUTH', 'GOING', 'TO', 'THE', 'MOVIES', 'EVERY', 'SATURDAY', 'AFTERNOON', 'THIS', 'GREAT', 'AND', 'FUNNY']",Earth's Core VHS
388512,A2EC5TFJYHR50K,630391750X,bratcat22,"[0, 0]","These are the kind of movies I really enjoy.Sure,the special effects are cheesey,but that's what makes them FUN.There's no pretense about being intellectual here.Frankly,movies like these are BETTER than the blockbusters with state of the art special effects & billion dollar budgets.These are movies to enjoy on a rainy day or weekend.Even the kids can watch these.",4,Good Rainy Day Fun,1362096000,"03 1, 2013",2013,366,"['are', 'kind', 'movies', 'really', 'enjoy.Sure', 'special', 'effects', 'are', 'cheesey', 'what', 'FUN.There', 'pretense', 'being', 'intellectual', 'here.Frankly', 'movies', 'are', 'BETTER', 'blockbusters', 'state', 'art', 'special', 'effects', 'billion', 'dollar', 'budgets.These', 'are', 'movies', 'enjoy', 'rainy', 'day', 'weekend.Even', 'kids', 'can', 'watch']",Earth's Core VHS
388513,A25UZ7MA72SMKM,630391750X,Brent Butler,"[1, 1]","This review is of the movie, and the Amazon Prime streaming presentation in particular.As far as presentation, I give the movie high marks. The picture looked great and the sound was convincing. If this is a secret favorite from the days of your youth, you won't be annoyed at what you see here.The movie itself is not so great. The creatures, large and small, were embarrassingly pathetic even for the mid-70s. Everything is a rubber costume with almost no flexibility. I can't decide which was worse: the Allosaurus with the parrot head, the Tyranosauri with the minotaur heads, or the levitating pterodactyl people ... I say levitating because those wings certainly did not propel them in the air.Amazingly, all the human inhabitants of Pelucidar spoke English with broad vocabularies. Sometimes they had stilted ""prehistoric man"" type speech, and sometimes they sounded like talking to your neighbor over the fence. LOLCaroline Monro had one of her most effective cleavage shows in this movie, to go along with her Sinbad appearance. It was racy for the time, but tame by today's standards.The plot was formulaic and repetitive, you can easily take an extended bathroom break or a phone call and miss nothing in the story.There were a lot of B adventure movies I saw as a youngster and still like a lot. I was a big Doug McClure fan. Unfortunately this film just doesn't do it for me still. Cheap costumes, cheap sets, cheap effects, uninspired writing, and barely adequate acting leave this film sorely lacking any modern day appeal.",2,Doesn't age well,1350259200,"10 15, 2012",2012,1538,"['review', 'movie', 'Amazon', 'Prime', 'streaming', 'presentation', 'particular.As', 'far', 'presentation', 'give', 'movie', 'high', 'marks', 'picture', 'looked', 'great', 'sound', 'was', 'convincing', 'secret', 'favorite', 'days', 'youth', 'wo', ""n't"", 'be', 'annoyed', 'what', 'see', 'here.The', 'movie', 'not', 'so', 'great', 'creatures', 'large', 'small', 'were', 'embarrassingly', 'pathetic', 'even', 'mid-70s', 'Everything', 'rubber', 'costume', 'almost', 'flexibility', 'ca', ""n't"", 'decide', 'was', 'worse', 'Allosaurus', 'parrot', 'head', 'Tyranosauri', 'minotaur', 'heads', 'levitating', 'pterodactyl', 'people', 'say', 'levitating', 'wings', 'certainly', 'did', 'not', 'propel', 'air.Amazingly', 'human', 'inhabitants', 'Pelucidar', 'spoke', 'English', 'broad', 'vocabularies', 'Sometimes', 'had', 'stilted', 'prehistoric', 'man', 'type', 'speech', 'sometimes', 'sounded', 'talking', 'neighbor', 'fence', 'LOLCaroline', 'Monro', 'had', 'one', 'most', 'effective', 'cleavage', 'shows', 'movie', 'go', 'along', 'Sinbad', 'appearance', 'was', 'racy', 'time', 'tame', 'today', 'standards.The', 'plot', 'was', 'formulaic', 'repetitive', 'can', 'easily', 'take', 'extended', 'bathroom', 'break', 'phone', 'call', 'miss', 'nothing', 'story.There', 'were', 'lot', 'B', 'adventure', 'movies', 'saw', 'youngster', 'still', 'lot', 'was', 'big', 'Doug', 'McClure', 'fan', 'Unfortunately', 'film', 'just', ""n't"", 'do', 'still', 'Cheap', 'costumes', 'cheap', 'sets', 'cheap', 'effects', 'uninspired', 'writing', 'barely', 'adequate', 'acting', 'leave', 'film', 'sorely', 'lacking', 'modern', 'day', 'appeal']",Earth's Core VHS
388514,A141HP4LYPWMSR,630391750X,Brian E. Erland,"[3, 5]","'At The Earth's Core' is sci-fi silliness from '76. There is absolutely no reason why anyone would want to watch, or own this film. Well, maybe one reason and that reason would be CAROLINE MUNRO! Yes, the beautiful Brit who played the sexy Margiana in 'The Golden Voyage of Sinbad' three years earlier is back as the scantily clad Princess Dia and she looks as incredible as ever.Watch Princess Dia in her two piece loincloth run from the dumbest looking bunch of blow-up dinosaurs and giant, woman eating, telepathic birds you've ever seen. Make no mistake about it, this DVD is for Caroline Munro fans only, a silly but lovely guilty pleasure to be sure.",3,It's All About Princess Dia,1143504000,"03 28, 2006",2006,656,"['Earth', 'Core', 'sci-fi', 'silliness', ""'76"", 'absolutely', 'reason', 'why', 'anyone', 'would', 'want', 'watch', 'own', 'film', 'Well', 'maybe', 'one', 'reason', 'reason', 'would', 'be', 'CAROLINE', 'MUNRO', 'Yes', 'beautiful', 'Brit', 'who', 'played', 'sexy', 'Margiana', ""'The"", 'Golden', 'Voyage', 'Sinbad', 'three', 'years', 'earlier', 'back', 'scantily', 'clad', 'Princess', 'Dia', 'as', 'incredible', 'ever.Watch', 'Princess', 'Dia', 'two', 'piece', 'run', 'dumbest', 'looking', 'bunch', 'blow-up', 'dinosaurs', 'giant', 'woman', 'eating', 'telepathic', 'birds', ""'ve"", 'ever', 'seen', 'Make', 'mistake', 'DVD', 'Caroline', 'Munro', 'fans', 'only', 'silly', 'lovely', 'guilty', 'pleasure', 'be', 'sure']",Earth's Core VHS
388515,A10NQI0VWDLW6D,630391750X,Chasemouse,"[7, 7]","AT THE EARTH'S CORE (based on a story by Edgar Rice Burroughs) never quite achieves good movie status but you have to give it credit for trying. Thankfully the film is set in motion the minute the credit sequence ends. Cushing and McClure (the latter shamefully getting top billing) are set to do a test run with their ""iron mole"", a great looking giant drill. Only minutes after their journey begins the two men are knocked out. Shortly after waking the mole has a power failure and the two men find themselves AT THE EARTH'S CORE.For the uninitiated the Earth's core is full of giant plastic plants, bird beaked monsters, a tribe of human slaves (that speak English), some bizarre pasty faced creatures that serve a strange race of hypnotic pterodactyls. The core is bathed in pink light (which eminates from the magma above). At first the color scheme is quite neat but after awhile it becomes a nauseating experience.It is of course Cushing and McClure's job to end the pterodactyls reign and free the humans, especially the most attractive human, the scantily clad Caroline Munro.Munro sports an outfit similar to the ones she wore in The Golden Voyage Of Sinbad (One wonders if such races would ever be saved if it weren't for beautiful women with sweaty cleavage). Her character, Dia, is an enslaved queen looking for the right man. McClure steps up to the plate but doesn't follow through with the native's customs and nearly loses Dia. Cushing later informs the dullard to be ""forceful."" McClure is clearly bothered by taking on such a masculine role at first but he gets into it quickly enough after Dia shows her submissive approval.The humans manage to destroy their evil rulers and eventually Cushing and McClure return to Earth's surface (one of the film's intentionally funnier moments).Cushing is most endearing as a wacky British scientist. He adds a level of touching humor and professionalism not usually found in such a picture. McClure is a fine enough actor but he annoyed me to no end. I am not familiar with his career so I am quite surprised to see such unappealing person as the star of this film.The truth is the special effects are the star of the picture. Being a fan of non-CGI effects it is always a pleasure to see a film like this. That said, some of the effects are laughably bad. A particular standout is when a bird beaked dinosaur eats a man. The man is clearly a stuffed dummy. Surprisingly the camera lingers on the hysterical carnage for some time.The DVD is part of MGM's impressive budget priced Midnight Movies series. The enhanced widescreen picture is excellent. The source print is clean and vibrant (almost too much so). The film's keyboard soundtrack sounds very John Carpenterish. The mono sound is strong. The DVD also includes a theatrical trailer which is in fine shape.",3,"""You Can't Mesmerize Me.....I'm British!""",1017792000,"04 3, 2002",2002,2822,"['THE', 'EARTH', 'CORE', 'based', 'story', 'Edgar', 'Rice', 'Burroughs', 'never', 'quite', 'good', 'movie', 'status', 'have', 'give', 'credit', 'trying', 'Thankfully', 'film', 'set', 'motion', 'minute', 'credit', 'sequence', 'Cushing', 'McClure', 'latter', 'shamefully', 'getting', 'top', 'billing', 'are', 'set', 'do', 'test', 'run', 'iron', 'mole', 'great', 'looking', 'giant', 'drill', 'Only', 'minutes', 'journey', 'two', 'men', 'are', 'knocked', 'out', 'Shortly', 'waking', 'mole', 'power', 'failure', 'two', 'men', 'find', 'AT', 'EARTH', 'CORE.For', 'uninitiated', 'Earth', 'core', 'full', 'giant', 'plastic', 'plants', 'bird', 'beaked', 'monsters', 'tribe', 'human', 'slaves', 'speak', 'English', 'bizarre', 'pasty', 'faced', 'creatures', 'serve', 'strange', 'race', 'hypnotic', 'pterodactyls', 'core', 'bathed', 'pink', 'light', 'magma', 'first', 'color', 'scheme', 'quite', 'neat', 'nauseating', 'experience.It', 'course', 'Cushing', 'McClure', 'job', 'end', 'pterodactyls', 'reign', 'free', 'humans', 'especially', 'most', 'attractive', 'human', 'scantily', 'clad', 'Caroline', 'Munro.Munro', 'sports', 'outfit', 'similar', 'ones', 'wore', 'Golden', 'Voyage', 'Sinbad', 'One', 'such', 'races', 'would', 'ever', 'be', 'saved', 'were', ""n't"", 'beautiful', 'women', 'sweaty', 'cleavage', 'character', 'Dia', 'enslaved', 'queen', 'looking', 'right', 'man', 'McClure', 'up', 'plate', ""n't"", 'follow', 'native', 'customs', 'nearly', 'Dia', 'Cushing', 'later', 'dullard', 'be', 'forceful', 'McClure', 'clearly', 'bothered', 'taking', 'masculine', 'role', 'first', 'quickly', 'enough', 'Dia', 'submissive', 'approval.The', 'humans', 'manage', 'destroy', 'evil', 'rulers', 'eventually', 'Cushing', 'McClure', 'return', 'Earth', 'surface', 'one', 'film', 'intentionally', 'funnier', 'moments', '.Cushing', 'most', 'endearing', 'wacky', 'British', 'scientist', 'level', 'touching', 'humor', 'professionalism', 'not', 'usually', 'found', 'such', 'picture', 'McClure', 'fine', 'enough', 'actor', 'annoyed', 'end', 'am', 'not', 'familiar', 'career', 'am', 'quite', 'surprised', 'see', 'such', 'unappealing', 'person', 'star', 'film.The', 'truth', 'special', 'effects', 'are', 'star', 'picture', 'Being', 'fan', 'non-CGI', 'effects', 'always', 'pleasure', 'see', 'film', 'said', 'effects', 'are', 'laughably', 'bad', 'particular', 'standout', 'when', 'bird', 'beaked', 'dinosaur', 'eats', 'man', 'man', 'clearly', 'stuffed', 'dummy', 'Surprisingly', 'camera', 'hysterical', 'carnage', 'time.The', 'DVD', 'part', 'MGM', 'impressive', 'budget', 'priced', 'Midnight', 'Movies', 'series', 'enhanced', 'widescreen', 'picture', 'excellent', 'source', 'print', 'clean', 'vibrant', 'almost', 'too', 'much', 'so', 'film', 'keyboard', 'soundtrack', 'very', 'John', 'Carpenterish', 'mono', 'sound', 'strong', 'DVD', 'also', 'theatrical', 'trailer', 'fine', 'shape']",Earth's Core VHS
388516,A3NT8V3FMRIQ4W,630391750X,Craig,"[0, 0]","I first saw this movie on late night TV and really liked it. I have been trying for a long time to find this movie by itself, I don't like having multiple movies on the same DVD This movie is pure science fiction which is my favorite type of movie. Although, it seems that no civilization could possibly exist at the Earth's Core from the stand point of entertainment this movie succeds very well in provding the distraction needed to relax.",5,At the Earth's Core,1403395200,"06 22, 2014",2014,441,"['first', 'saw', 'movie', 'late', 'night', 'TV', 'really', 'liked', 'have', 'been', 'trying', 'long', 'time', 'find', 'movie', 'do', ""n't"", 'like', 'having', 'multiple', 'movies', 'same', 'DVD', 'movie', 'pure', 'science', 'fiction', 'favorite', 'type', 'movie', 'civilization', 'could', 'possibly', 'exist', 'Earth', 'Core', 'stand', 'point', 'entertainment', 'movie', 'very', 'well', 'provding', 'distraction', 'needed', 'relax']",Earth's Core VHS
388517,A1RCRS6344II3F,630391750X,"d20 ""Rickenbacker""","[1, 1]","This will appeal most to 2 groups:Those who were young kids during the 1970s & those currently under 10. I fall into the 1st category, as I saw this the year it was released in theaters. Most everyone else will likely disapprove of the low-budget, primitive special effects & monsters.But if you saw this when it was 1st run like myself, or would now love to share it w. your own kids (before they're too old & jaded), & with zero worry of profanities or nudity, then this is still worth a look.",4,"Great, old-school Fun!",1292544000,"12 17, 2010",2010,495,"['will', 'appeal', 'most', '2', 'groups', 'who', 'were', 'young', 'kids', '1970s', 'currently', '10', 'fall', '1st', 'category', 'saw', 'year', 'was', 'released', 'theaters', 'Most', 'everyone', 'else', 'will', 'likely', 'disapprove', 'low-budget', 'primitive', 'special', 'effects', 'monsters.But', 'saw', 'when', 'was', '1st', 'run', 'would', 'now', 'love', 'share', 'own', 'kids', ""'re"", 'too', 'old', 'jaded', 'zero', 'worry', 'profanities', 'nudity', 'then', 'still', 'worth', 'look']",Earth's Core VHS
388518,A1HX00DL0SZM1G,630391750X,"Darren Harrison ""DVD collector and reviewer""","[8, 8]","In the late 1970s Doug McClure made a career out of movies like this. Starting with THE LAND THAT TIME FORGOT in 1975 he managed to come out with one such movie a year until WARLORDS OF ATLANTIS in 1978 (curiously titled on the Amazon catalog as WARLORDS OF THE DEEP). And this effort is the second in the ""series"" (the sequel to LAND, THE PEOPLE THAT TIME FORGOT was a 1977 release).Essentially they follow much the same formula, in essence a group of people from a past era discover an unexplored realm, mingle with an undiscovered people  and battle some of the cheesiest monsters ever committed to celluloid.In this effort McClure plays David Innes, an American who agrees to back a Victorian scientist (played wonderfully by horror veteran Peter Cushing) in his experiment to bore into the side of a mountain in Wales. Sounds simple enough, except they misjudge the power of their contraption (the Iron Mole) and end up at the center of the Earth among a group of people enslaved by giant birds.The mere physics aside this is a pure popcorn  B-movie, but it is a lot of fun too. I'm a sucker for center of the earth movies, whether that be the classic James Mason version of JOURNEY TO THE CENTER OF THE EARTH to the 2003 thriller THE CORE. So, perhaps it should be no small surprise that I have a fondness for this movie.Of course there's also the power of nostalgia. I never saw this movie in the theater (though I did catch WARLORDS OF ATLANTIS there), but I saw it when it arrived on television. I must have been about 10 years old. In other words - I was too young to care about the physics that tell us that the center of the earth is pure molten, swirling lava. And too young to care that the giant birds were clearly just people in giant costumes, but not too young to notice that Caroline Munro was incredibly attractive. It's not surprising that the next year she would be appearing as a femme fatale in the James Bond movie THE SPY WHO LOVED ME.Yes, Munro is a real attraction for this movie, but I also enjoyed the performances of Cushing and McClure in what is 90 minutes of 1970s camp.  Overall it's worth a spin and the DVD includes the original theatrical trailer.",3,A fun movie from the '70s with McClure battling more silly monsters,1146096000,"04 27, 2006",2006,2185,"['late', '1970s', 'Doug', 'McClure', 'made', 'career', 'movies', 'Starting', 'THE', 'LAND', 'THAT', 'TIME', 'FORGOT', '1975', 'managed', 'come', 'out', 'one', 'such', 'movie', 'year', 'WARLORDS', 'OF', 'ATLANTIS', '1978', 'curiously', 'titled', 'Amazon', 'catalog', 'WARLORDS', 'THE', 'DEEP', 'effort', 'second', 'series', 'sequel', 'LAND', 'THE', 'PEOPLE', 'THAT', 'TIME', 'FORGOT', 'was', '1977', 'release', '.Essentially', 'follow', 'much', 'same', 'formula', 'essence', 'group', 'people', 'past', 'era', 'discover', 'unexplored', 'realm', 'mingle', 'undiscovered', 'people', 'battle', 'cheesiest', 'monsters', 'ever', 'committed', 'celluloid.In', 'effort', 'McClure', 'David', 'Innes', 'American', 'who', 'back', 'Victorian', 'scientist', 'played', 'wonderfully', 'horror', 'veteran', 'Peter', 'Cushing', 'experiment', 'bore', 'side', 'mountain', 'Wales', 'simple', 'enough', 'misjudge', 'power', 'contraption', 'Iron', 'Mole', 'end', 'up', 'center', 'Earth', 'group', 'people', 'enslaved', 'giant', 'birds.The', 'mere', 'physics', 'pure', 'popcorn', 'B-movie', 'lot', 'fun', 'too', ""'m"", 'sucker', 'center', 'earth', 'movies', 'be', 'classic', 'James', 'Mason', 'version', 'JOURNEY', 'TO', 'THE', 'CENTER', 'THE', 'EARTH', '2003', 'CORE', 'So', 'perhaps', 'should', 'be', 'small', 'surprise', 'have', 'fondness', 'movie.Of', 'course', 'also', 'power', 'nostalgia', 'never', 'saw', 'movie', 'theater', 'did', 'catch', 'WARLORDS', 'OF', 'ATLANTIS', 'saw', 'when', 'arrived', 'television', 'must', 'have', 'been', '10', 'years', 'old', 'other', 'words', 'was', 'too', 'young', 'care', 'physics', 'tell', 'center', 'earth', 'pure', 'molten', 'swirling', 'lava', 'too', 'young', 'care', 'giant', 'birds', 'were', 'clearly', 'just', 'people', 'giant', 'costumes', 'not', 'too', 'young', 'notice', 'Caroline', 'Munro', 'was', 'incredibly', 'attractive', 'not', 'surprising', 'next', 'year', 'would', 'be', 'appearing', 'femme', 'fatale', 'James', 'Bond', 'movie', 'THE', 'SPY', 'WHO', 'LOVED', 'ME.Yes', 'Munro', 'real', 'attraction', 'movie', 'also', 'enjoyed', 'performances', 'Cushing', 'McClure', 'what', '90', 'minutes', '1970s', 'camp', 'Overall', 'spin', 'DVD', 'original', 'theatrical', 'trailer']",Earth's Core VHS
