,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
502229,A1LO2CP58WIVZU,B00000IBLC,Alice McMurtrey,"[0, 0]",This is a hilarious movie. These 2 men attack issues like racism and social classes in a humorous way without being offensive. I would recomend this movie to anyone who enjoys humor. Received quickly and in good condition. A++++ seller,5,Greater T,1233187200,"01 29, 2009",2009,235,"['hilarious', 'movie', '2', 'men', 'attack', 'issues', 'racism', 'social', 'classes', 'humorous', 'way', 'being', 'offensive', 'would', 'recomend', 'movie', 'anyone', 'who', 'humor', 'Received', 'quickly', 'good', 'condition', 'A++++', 'seller']",Greater Tuna - The Comedy About Texas' Third Smallest Town
502230,AJG7MVNSWCUT9,B00000IBLC,"Angela M. Richter ""SeverineWolve""","[0, 0]","I first saw this show in the early 80s while living in Houston and if anything, it gets funnier each time I see it.  If you see this one, then you should also see A Tuna Christmas.  These two guys are hilarious.",5,"Greater Tuna, Yes Please",1200528000,"01 17, 2008",2008,211,"['first', 'saw', 'show', 'early', '80s', 'living', 'Houston', 'anything', 'funnier', 'time', 'see', 'see', 'one', 'then', 'should', 'also', 'see', 'A', 'Tuna', 'Christmas', 'two', 'guys', 'are', 'hilarious']",Greater Tuna - The Comedy About Texas' Third Smallest Town
502231,A2HO2SKK965P8P,B00000IBLC,Claudia Patterson,"[0, 0]","Oh my goodness! This is so dang funny! I couldn't take my daughter to see it anywhere at the time. This is a good substitute for not being in the audience when it looks like Jaston is looking right at you! Completely enjoyable, laughing ourselves!!",4,Greater Tuna,1372032000,"06 24, 2013",2013,248,"['Oh', 'goodness', 'so', 'dang', 'funny', 'could', ""n't"", 'take', 'daughter', 'see', 'anywhere', 'time', 'good', 'substitute', 'not', 'being', 'audience', 'when', 'Jaston', 'looking', 'right', 'Completely', 'enjoyable', 'laughing']",Greater Tuna - The Comedy About Texas' Third Smallest Town
502232,A2RE0QMIABZPJU,B00000IBLC,"Duane Simolke ""author, The Acorn Stories, Deg...","[2, 2]","As a writer who lives in West Texas, I know that there are enough absurd characters here for a thousand plays or books. The incredibly talented Joe Sears and Jaston Williams could play all of those characters with total accuracy. You don't have to be a Texan to love this wonderful video, but most Texans should admit that these portrayals reflect many of the people they've encountered.",5,True to Texas!,980726400,"01 29, 2001",2001,387,"['writer', 'who', 'West', 'Texas', 'know', 'are', 'enough', 'absurd', 'characters', 'here', 'thousand', 'plays', 'books', 'incredibly', 'talented', 'Joe', 'Sears', 'Jaston', 'Williams', 'could', 'play', 'characters', 'total', 'accuracy', 'do', ""n't"", 'have', 'be', 'Texan', 'love', 'wonderful', 'video', 'most', 'Texans', 'should', 'admit', 'portrayals', 'reflect', 'many', 'people', ""'ve"", 'encountered']",Greater Tuna - The Comedy About Texas' Third Smallest Town
502233,A15Q9YEG1XPEJN,B00000IBLC,Get What We Give,"[10, 10]","I saw this gargantuanly funny play during its first run in Atlanta, before it made its way to Broadway and before the actors achieved their fame.  Joe Sears and Jaston Williams have definitely created one of the most hilarious shows ever to grace the boards.  This video is a lived filmed version of one of their shows.What makes this show funny is the characters and their believability.  Why should this be seen as unique and deserve such high praise?  Because all the characters in this play from Texas' third smallest town (Tuna, Texas) are played by two actors who manage to morph almost instantly into different costumes and personnas.  In short, you've got two quick change artists performing some of the most spot on real performances you'll ever see on stage or film.Sixteen characters are portrayed by these fine actors and some you will come to love and other you will lovingly hate.  The show tells the story of the a couple of days of the interwoven lives of the citizens of Tuna, Texas.  There's murder and intrigue, but it's all on the light side as we weave our way through this interesting world to discover who the murderer is.You have Dee Dee Snavely, Bertha Buemiller, Aunt Pearl Burriss, Stanley and Charlene Beumiller, Vera Carp, Reverend Spikes, Petey Fisk, not to mention a pack of dogs and more than one ""bitter pill"".  There's many many others that will have you rolling onto the floor off of your couch.The show was apparently lengthened after pre-Broadway run, though no one who didn't see that version will know.  If you're wise, you'll also check out the two other shows in the trilogy:  ""A Tuna Christmas"" and ""Red, White, and Tuna"".You'll laugh till you cry - I promise!",5,Get your Kleenex - cause you'll laugh so hard you'll cry!,1056931200,"06 30, 2003",2003,1702,"['saw', 'gargantuanly', 'funny', 'play', 'first', 'run', 'Atlanta', 'made', 'way', 'Broadway', 'actors', 'achieved', 'fame', 'Joe', 'Sears', 'Jaston', 'Williams', 'have', 'definitely', 'created', 'one', 'most', 'hilarious', 'shows', 'ever', 'grace', 'boards', 'video', 'lived', 'filmed', 'version', 'one', 'shows.What', 'show', 'characters', 'believability', 'Why', 'should', 'be', 'seen', 'unique', 'deserve', 'such', 'high', 'praise', 'characters', 'play', 'Texas', 'third', 'smallest', 'town', 'Tuna', 'Texas', 'are', 'played', 'two', 'actors', 'who', 'manage', 'morph', 'almost', 'instantly', 'different', 'costumes', 'personnas', 'short', ""'ve"", 'got', 'two', 'quick', 'change', 'artists', 'performing', 'most', 'spot', 'real', 'performances', ""'ll"", 'ever', 'see', 'stage', 'film.Sixteen', 'characters', 'are', 'portrayed', 'fine', 'actors', 'will', 'come', 'love', 'other', 'will', 'lovingly', 'hate', 'show', 'story', 'couple', 'days', 'interwoven', 'lives', 'citizens', 'Tuna', 'Texas', 'murder', 'intrigue', 'light', 'side', 'weave', 'way', 'interesting', 'world', 'discover', 'who', 'murderer', 'is.You', 'have', 'Dee', 'Dee', 'Snavely', 'Bertha', 'Buemiller', 'Aunt', 'Pearl', 'Burriss', 'Stanley', 'Charlene', 'Beumiller', 'Vera', 'Carp', 'Reverend', 'Spikes', 'Petey', 'Fisk', 'not', 'mention', 'pack', 'dogs', 'more', 'one', 'bitter', 'pill', 'many', 'many', 'others', 'will', 'have', 'rolling', 'floor', 'couch.The', 'show', 'was', 'apparently', 'lengthened', 'pre-Broadway', 'run', 'one', 'who', 'did', ""n't"", 'see', 'version', 'will', 'know', ""'re"", 'wise', ""'ll"", 'also', 'check', 'out', 'two', 'other', 'shows', 'trilogy', 'Tuna', 'Christmas', 'Red', 'White', 'Tuna', '.You', ""'ll"", 'laugh', 'till', 'cry', 'promise']",Greater Tuna - The Comedy About Texas' Third Smallest Town
502234,AUXYMZ53A6AN3,B00000IBLC,"J. Andersen ""ralphieguy""","[0, 0]","There's a reason this was one of the most performed plays across the country. Cleverly written and performed to perfection, this play will have you rolling with laughter as tears run down your cheek.",5,"So funny, I cry! You have to treat yourself to this!",1225324800,"10 30, 2008",2008,199,"['reason', 'was', 'one', 'most', 'performed', 'plays', 'country', 'Cleverly', 'written', 'performed', 'perfection', 'play', 'will', 'have', 'rolling', 'laughter', 'tears', 'run', 'down', 'cheek']",Greater Tuna - The Comedy About Texas' Third Smallest Town
502235,A2237DFIW1SK2V,B00000IBLC,"L. Dean Webb ""deanwebb""","[0, 0]","The Tuna Trilogy should be required viewing for every Texan, current, former, and potential. I love this play and it has deserved its legendary status as a very real portrait of Texas. It's not all funny, but it's all true.If you can't stand Texas and get your knickers in a twist every time some Texan comes along to brag about how things are in his state, avoid this title. Go get a John Hughes movie instead. If you love Texas and Texana, get it. Now.",5,"More Tuna, Please!",1167868800,"01 4, 2007",2007,454,"['Tuna', 'Trilogy', 'should', 'be', 'required', 'viewing', 'Texan', 'current', 'former', 'potential', 'love', 'play', 'deserved', 'legendary', 'status', 'very', 'real', 'portrait', 'Texas', 'not', 'funny', 'true.If', 'ca', ""n't"", 'stand', 'Texas', 'get', 'knickers', 'twist', 'time', 'Texan', 'along', 'brag', 'how', 'things', 'are', 'state', 'avoid', 'title', 'Go', 'get', 'John', 'Hughes', 'movie', 'instead', 'love', 'Texas', 'Texana', 'get', 'Now']",Greater Tuna - The Comedy About Texas' Third Smallest Town
502236,A1SSIDDDCCK1E,B00000IBLC,Reality tourist,"[0, 0]","small town goings on.... two men create time honored characters so typical of small towns in texas.  the euphamisms they use and the silliness brought to each characterization is frankly on the floor rolling laughing. ( it is, it is)if you can see this live you will be in for a treat as well.",5,you can't get any better than this,1378080000,"09 2, 2013",2013,293,"['small', 'town', 'goings', 'two', 'men', 'create', 'time', 'honored', 'characters', 'so', 'typical', 'small', 'towns', 'texas', 'euphamisms', 'use', 'silliness', 'brought', 'characterization', 'frankly', 'floor', 'rolling', 'laughing', 'can', 'see', 'live', 'will', 'be', 'treat', 'as', 'well']",Greater Tuna - The Comedy About Texas' Third Smallest Town
502237,A3AVJCB1ZD6ZY5,B00000IBLC,R. Kyle,"[7, 7]","The ""Tuna"" plays are possibly the funniest live performances I will ever hope to see.  It's not just the quips between the two man cast of Jaston Williams and Joe Sears, but seeing the dynamic duo dash around changing costumes during acts.Yes, Greater Tuna has a population of 24 and Joe and Jaston have played most of those residents on stage.  You have everyone from DeeDee Snavely with her cigarettes and used weapons store (""We guarantee every weapon in this store to kill. If it doesn't, come and get your money back"") to gentle Petey Fisk, who'd do his best to save the lemmings.What are you going to miss if you don't see this show?The four books Tuna wants to ban--and whyWhat Tuna calls their volunteers to aid shutinsSharlene Bumiller's award winning poem dedicated to her home townJust who killed Judge Buckner and what was he wearing when he was found dead?All this and more can be had viewing this two-man play. It is one of the funniest I have seen.",5,"Welcome to Greater Tuna, TX, population 24",1199404800,"01 4, 2008",2008,963,"['Tuna', 'plays', 'are', 'possibly', 'funniest', 'live', 'performances', 'will', 'ever', 'hope', 'see', 'not', 'just', 'quips', 'two', 'man', 'cast', 'Jaston', 'Williams', 'Joe', 'Sears', 'seeing', 'dynamic', 'duo', 'dash', 'changing', 'costumes', 'acts.Yes', 'Greater', 'Tuna', 'population', '24', 'Joe', 'Jaston', 'have', 'played', 'most', 'residents', 'stage', 'have', 'everyone', 'DeeDee', 'Snavely', 'cigarettes', 'used', 'weapons', 'store', 'guarantee', 'weapon', 'store', 'kill', ""n't"", 'come', 'get', 'money', 'back', 'gentle', 'Petey', 'Fisk', 'who', ""'d"", 'do', 'best', 'save', 'are', 'going', 'miss', 'do', ""n't"", 'see', 'show', 'four', 'books', 'Tuna', 'ban', 'whyWhat', 'Tuna', 'volunteers', 'aid', 'shutinsSharlene', 'Bumiller', 'award', 'winning', 'poem', 'dedicated', 'home', 'townJust', 'who', 'killed', 'Judge', 'Buckner', 'what', 'was', 'wearing', 'when', 'was', 'found', 'dead', 'more', 'can', 'be', 'had', 'viewing', 'two-man', 'play', 'one', 'funniest', 'have', 'seen']",Greater Tuna - The Comedy About Texas' Third Smallest Town
502238,A2VJUBBKFJNVMF,B00000IBLC,"S. Clarke ""frogclaw""","[0, 0]","These two guys that have created the GREATER TUNA characters are excellent, especially Petie Fisk of the Greater Tuna Humane Society and talking about the ducks.  If I could have given this 10 stars, I would have!  I have seen the play live at the Greater Tuna Playhouse in San Francisco and this is awesome that it has gotten to DVD!",5,I LAUGHED UNTIL I CRIED!!!,1155945600,"08 19, 2006",2006,334,"['two', 'guys', 'have', 'created', 'GREATER', 'TUNA', 'characters', 'are', 'excellent', 'especially', 'Petie', 'Fisk', 'Greater', 'Tuna', 'Humane', 'Society', 'talking', 'ducks', 'could', 'have', 'given', '10', 'stars', 'would', 'have', 'have', 'seen', 'play', 'live', 'Greater', 'Tuna', 'Playhouse', 'San', 'Francisco', 'awesome', 'gotten', 'DVD']",Greater Tuna - The Comedy About Texas' Third Smallest Town
