,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
512600,A3EBHHCZO6V2A4,B0000203Y5,"Amaranth ""music fan""","[2, 2]","Wim Wenders' ""Buena Vista Social Club"" is a masterpiece. American blues guitarist Ry Cooder goes to Cuba,in search of the legendary Buena Vista Social Club. He comes to an impoverished, aging country. The clubs are long gone, living only in memories. Miraculously, Cooder finds living remnants of Cuba's musical scene-Ibrahim Ferrer, Ruben Gonzales, Compay Segundo, and the singer Omara Portuoundo. Their music is bittersweet. They sing of joys long vanished, of a freer time. Ry Cooder doesn't glamorize Cuba's squalor,nor the repression that drove its musicians underground.""Buena Vista Social Club"" shows musicians who are young at heart. Quite a few have since passed away since this film's release nearly a decade ago. The opening,the haunting ""Chan Chan"",sends chills down the spine. ""Veinte Anos"" is an amazing ballad of unrequited love (when I saw this movie in college,I sang along-it's that powerful) The conclusion is powerful when the musicians come to the US and perform at Carnegie Hall. Ironically, and sadly,the ""Buena Vista Social Club"" was barred from entry to the US after 9/11 since they were branded as ""propagandists"" for the Castro regime. Anyone who has heard their music knows that they sing about love and loss, joy and sorrow... not politics. They are musicians whose golden years are truly golden.""Buena Vista Social Club"" is a soothing bittersweet symphony for the eyes and the soul. It's impossible to watch this documentary without being moved. It's music that speaks to the heart. The musicians are elderly,their song is timeless.",5,Bittersweet Symphony,1212278400,"06 1, 2008",2008,1562,"['Wim', 'Wenders', 'Buena', 'Vista', 'Social', 'Club', 'masterpiece', 'American', 'blues', 'guitarist', 'Ry', 'Cooder', 'Cuba', 'search', 'legendary', 'Buena', 'Vista', 'Social', 'Club', 'impoverished', 'aging', 'country', 'clubs', 'are', 'long', 'gone', 'living', 'only', 'memories', 'Miraculously', 'Cooder', 'living', 'remnants', 'Cuba', 'musical', 'scene-Ibrahim', 'Ferrer', 'Ruben', 'Gonzales', 'Compay', 'Segundo', 'singer', 'Omara', 'Portuoundo', 'music', 'bittersweet', 'sing', 'joys', 'long', 'vanished', 'freer', 'time', 'Ry', 'Cooder', ""n't"", 'glamorize', 'Cuba', 'squalor', 'repression', 'drove', 'musicians', 'underground', 'Buena', 'Vista', 'Social', 'Club', 'shows', 'musicians', 'who', 'are', 'young', 'heart', 'few', 'have', 'passed', 'away', 'film', 'release', 'nearly', 'decade', 'ago', 'opening', 'haunting', 'Chan', 'Chan', 'chills', 'down', 'spine', 'Veinte', 'Anos', 'amazing', 'ballad', 'unrequited', 'love', 'when', 'saw', 'movie', 'college', 'sang', 'along-it', 'powerful', 'conclusion', 'powerful', 'when', 'musicians', 'come', 'US', 'perform', 'Carnegie', 'Hall', 'Ironically', 'sadly', 'Buena', 'Vista', 'Social', 'Club', 'was', 'barred', 'entry', 'US', '9/11', 'were', 'branded', 'propagandists', 'Castro', 'regime', 'Anyone', 'who', 'heard', 'music', 'sing', 'love', 'loss', 'joy', 'sorrow', 'not', 'politics', 'are', 'musicians', 'golden', 'years', 'are', 'truly', 'golden', 'Buena', 'Vista', 'Social', 'Club', 'soothing', 'bittersweet', 'symphony', 'eyes', 'soul', 'impossible', 'watch', 'documentary', 'being', 'moved', 'music', 'heart', 'musicians', 'are', 'elderly', 'song', 'timeless']",Buena Vista Social Club VHS
512601,A412BEMAHW5TB,B0000203Y5,"A.Y.C.P ""East Bay Reader""","[0, 0]","Rich in cultural elements, story, music and the real human conditions. The  joy and the struggles of simple people that were able to----------a dream. It was a dream that perhaps they did not even know they had. Thanks to the people that were searching  for dreamers, the dream could be reach or lost forever.",4,Really inspiring!,1376956800,"08 20, 2013",2013,309,"['Rich', 'cultural', 'elements', 'story', 'music', 'real', 'human', 'conditions', 'joy', 'struggles', 'simple', 'people', 'were', 'able', 'dream', 'was', 'dream', 'perhaps', 'did', 'not', 'even', 'know', 'had', 'Thanks', 'people', 'were', 'searching', 'dreamers', 'dream', 'could', 'be', 'reach', 'lost', 'forever']",Buena Vista Social Club VHS
512602,AXNOW20FQKHVW,B0000203Y5,B. Hayashi,"[0, 0]","I love this group. I love their music. I didn't love this documentary. Slow-paced, even for a documentary. Didn't even finish watching it.",3,Kinda boring,1399939200,"05 13, 2014",2014,138,"['love', 'group', 'love', 'music', 'did', ""n't"", 'love', 'documentary', 'Slow-paced', 'even', 'documentary', 'Did', ""n't"", 'even', 'finish', 'watching']",Buena Vista Social Club VHS
512603,A1CEQVS413HIS6,B0000203Y5,"Charlene Massey-Barber ""Pixie Lady""","[0, 0]","If I were to die and go to Heaven, this is the music that would be playing. I call this my ""happy music,"" as it goes straight to the heart and expresses a joy unheard of in any other type of music. After watching the movie, I went out immediately to purchase the cd. The movie and the cd launched a new career for the artists. Ibrahim Ferrer, an exceptional musician, had given up on his music career in Cuba, as he could not get a job. During the filming of this movie, the artists played for a packed house at Carnegie Hall. After singing a solo, Ibrahim Ferrer was stunned as the crowd gave him a standing ovation. The look on his face was one of disbelief and humble surprise. The audience loved him. His career took off and he has gone on to record two other cd's (that I am aware of). I cannot recommend his music enough. If nothing else, please rent, borrow, or steal this movie, as it will be well worth your while to watch. It's an experience!",5,Fantastico!,1060819200,"08 14, 2003",2003,952,"['were', 'die', 'go', 'Heaven', 'music', 'would', 'be', 'playing', 'call', 'happy', 'music', 'straight', 'heart', 'joy', 'unheard', 'other', 'type', 'music', 'watching', 'movie', 'went', 'out', 'immediately', 'purchase', 'cd', 'movie', 'cd', 'launched', 'new', 'career', 'artists', 'Ibrahim', 'Ferrer', 'exceptional', 'musician', 'had', 'given', 'up', 'music', 'career', 'Cuba', 'could', 'not', 'get', 'job', 'filming', 'movie', 'artists', 'played', 'packed', 'house', 'Carnegie', 'Hall', 'singing', 'solo', 'Ibrahim', 'Ferrer', 'was', 'stunned', 'crowd', 'gave', 'standing', 'ovation', 'look', 'face', 'was', 'one', 'disbelief', 'humble', 'surprise', 'audience', 'loved', 'career', 'took', 'off', 'gone', 'record', 'two', 'other', 'cd', 'am', 'aware', 'can', 'not', 'recommend', 'music', 'enough', 'nothing', 'else', 'please', 'rent', 'borrow', 'steal', 'movie', 'will', 'be', 'well', 'watch', 'experience']",Buena Vista Social Club VHS
512604,A2Q3D3CC9HT0S5,B0000203Y5,C. Hurwitz,"[0, 0]","I'm sorry but I found the movie dull. The music was kind of dull and repetitive, most of the musicians, although clearly extremely talented, were past their prime (Would you go see an athlete who was in his 80s) and Ry Cooder comes off as alternately condescending and hero-worshiping.",2,Boring,1346025600,"08 27, 2012",2012,285,"[""'m"", 'sorry', 'found', 'movie', 'dull', 'music', 'was', 'kind', 'dull', 'repetitive', 'most', 'musicians', 'clearly', 'extremely', 'talented', 'were', 'past', 'prime', 'Would', 'go', 'see', 'athlete', 'who', 'was', '80s', 'Ry', 'Cooder', 'off', 'alternately', 'condescending', 'hero-worshiping']",Buena Vista Social Club VHS
512605,A1VMEBPPFUU0J7,B0000203Y5,C. Manson,"[1, 3]","Excellent documentary tracing musical archaeologist Ry Cooder's &quot;SuperSession&quot; of forgotten Cuban musicians who are nonetheless legends in their country. Wonderful moments throughout, culminating in the  group's appearance at Carnegie Hall. Although the beautifully sung lyrics  don't easily translate all the time, I really dug the song about the gal  whose house was on fire because she went to sleep with the candle burning.",4,"Exciting Performances, Legendary Musicians",962150400,"06 28, 2000",2000,437,"['Excellent', 'documentary', 'tracing', 'musical', 'archaeologist', 'Ry', 'Cooder', 'quot', 'SuperSession', 'quot', 'forgotten', 'Cuban', 'musicians', 'who', 'are', 'nonetheless', 'legends', 'country', 'Wonderful', 'moments', 'culminating', 'group', 'appearance', 'Carnegie', 'Hall', 'beautifully', 'sung', 'lyrics', 'do', ""n't"", 'easily', 'translate', 'time', 'really', 'dug', 'song', 'gal', 'house', 'was', 'fire', 'went', 'sleep', 'candle', 'burning']",Buena Vista Social Club VHS
512606,A3A73UQRD23GVC,B0000203Y5,"Cynthia ""crogers""","[0, 0]","This is a true treasure of Cuban jazz. It is soulful, rich and such a fantastic collection of music.  Classic older artists sing and play so that you feel like you are tnere!",5,Love this,1365465600,"04 9, 2013",2013,174,"['true', 'treasure', 'Cuban', 'jazz', 'soulful', 'rich', 'such', 'fantastic', 'collection', 'music', 'Classic', 'older', 'artists', 'sing', 'play', 'so', 'feel', 'are', 'tnere']",Buena Vista Social Club VHS
512607,AQ990HW13DP08,B0000203Y5,Daniel B. Clendenin,"[0, 0]",A documentary by Wim Wenders in which Ry Cooder reassembles the Cuban jazz group Buena Vista Social Club. Fascinating scenes from Cuba with a stirring reunion-finale in Carnegie Hall.,4,cuban jazz,1169596800,"01 24, 2007",2007,183,"['documentary', 'Wim', 'Wenders', 'Ry', 'Cooder', 'Cuban', 'jazz', 'group', 'Buena', 'Vista', 'Social', 'Club', 'Fascinating', 'scenes', 'Cuba', 'stirring', 'reunion-finale', 'Carnegie', 'Hall']",Buena Vista Social Club VHS
512608,A2HWPTLXOLI2BQ,B0000203Y5,Daniel Fineberg,"[12, 18]","What exactly was on Wim Wenders' mind, I wonder, when he was shooting this movie? Was he trying to make a concert film? A documentary on forgotten Cuban musicians? A travelogue of Havana locales? Well, ""Buena Vista Social Club"" is all those movies wrapped in one, but only one problem--it's not long enough to carry them all. Maybe it was meant as an introduction to the music, so that if you liked it, you could seek it out on your own. Either way, it's really unfortunate that there isn't a single complete song anywhere in the movie, and sequences like the one with Ry Cooder and his son riding through Havana on a motorcycle cannot serve any purpose.Another bone to pick--most DVDs these days come with hours upon hours of extras, usually useless crap scraped off the editing room floor. One would think, then, that the producers of this DVD would try to fill in the gaps and put in the complete concert and studio performances that were captured. More likely, they'll wait a while, then try to push a 2-DVD set, then a 3-DVD remastered collector's edition, then a 4-DVD...On second though, just buy the CDs. All the music is there.",3,Needed another director,1061942400,"08 27, 2003",2003,1136,"['What', 'exactly', 'was', 'Wim', 'Wenders', 'mind', 'wonder', 'when', 'was', 'shooting', 'movie', 'Was', 'trying', 'make', 'concert', 'film', 'documentary', 'forgotten', 'Cuban', 'musicians', 'travelogue', 'Havana', 'locales', 'Well', 'Buena', 'Vista', 'Social', 'Club', 'movies', 'wrapped', 'one', 'only', 'one', 'problem', 'not', 'long', 'enough', 'carry', 'Maybe', 'was', 'meant', 'introduction', 'music', 'liked', 'could', 'seek', 'out', 'own', 'way', 'really', 'unfortunate', ""n't"", 'single', 'complete', 'song', 'anywhere', 'movie', 'sequences', 'one', 'Ry', 'Cooder', 'son', 'riding', 'Havana', 'motorcycle', 'can', 'not', 'serve', 'purpose.Another', 'bone', 'pick', 'most', 'DVDs', 'days', 'come', 'hours', 'hours', 'extras', 'usually', 'useless', 'crap', 'scraped', 'editing', 'room', 'floor', 'One', 'would', 'think', 'then', 'producers', 'DVD', 'would', 'try', 'fill', 'gaps', 'put', 'complete', 'concert', 'studio', 'performances', 'were', 'captured', 'More', 'likely', ""'ll"", 'wait', 'while', 'then', 'try', 'push', '2-DVD', 'set', 'then', '3-DVD', 'remastered', 'collector', 'edition', 'then', '4-DVD', 'second', 'just', 'buy', 'CDs', 'music', 'there']",Buena Vista Social Club VHS
512609,A3R2YB0WTTB0IJ,B0000203Y5,"Daniel S. ""Daniel""","[1, 1]","Directed by the german director Wim Wenders, THE BUENA VISTA SOCIAL CLUB has received the 1999 best european documentary award. And please, take my word for granted, this movie deserves it. And more. Forget Martin Scorsese's THE LAST WALTZ and visit THE BUENA VISTA SOCIAL CLUB !In 1998, the well-known american guitarist Ry Cooder decides to go to Cuba and to record his new CD with cuban musicians. After a few days in the island, he discovers that a certain number of the musicians who made the Cuban sound of the 1930's and the 1940's are still alive. Hypnotized by these legends like Ibrahim Ferrer and Compay Segundo, he produces the record THE BUENA VISTA SOCIAL CLUB with these old guys and organizes two concerts with them, one in Amsterdam and the other at the Carnegie Hall, in New-York.These concerts, along with the studio sessions in La Havana, are the spine of the movie. Interviews with the members of this one-and-only record group in their homes, visits of the heart of La Havana are also going to capture your heart. I'm not a specialist of central america music but I was profoundly moved by these old timers who are certainly the fathers of a great part of what we are listening today.One can also feel the respect of Wim Wenders before these men and women who have preferred to stay, poor and forgotten, in their beloved island, rather than to seek fortune in the U.S.A.Oh yes ! I forgot. The music and the songs are wonderful. Extras are great, so is the quality of the images and the sound. Attention DVD Empire : it's a widescreen format (1:66). Overall, the DVD deserves the perfect 5.A DVD for your library.",5,LIVING LEGENDS,1055808000,"06 17, 2003",2003,1634,"['Directed', 'german', 'director', 'Wim', 'Wenders', 'THE', 'BUENA', 'VISTA', 'SOCIAL', 'CLUB', 'received', '1999', 'best', 'european', 'documentary', 'award', 'please', 'take', 'word', 'granted', 'movie', 'more', 'Forget', 'Martin', 'Scorsese', 'THE', 'LAST', 'WALTZ', 'visit', 'THE', 'BUENA', 'VISTA', 'SOCIAL', 'CLUB', '1998', 'well-known', 'american', 'guitarist', 'Ry', 'Cooder', 'go', 'Cuba', 'record', 'new', 'CD', 'cuban', 'musicians', 'few', 'days', 'island', 'certain', 'number', 'musicians', 'who', 'made', 'Cuban', 'sound', '1930', '1940', 'are', 'still', 'alive', 'Hypnotized', 'legends', 'Ibrahim', 'Ferrer', 'Compay', 'Segundo', 'record', 'THE', 'BUENA', 'VISTA', 'SOCIAL', 'CLUB', 'old', 'guys', 'two', 'concerts', 'one', 'Amsterdam', 'other', 'Carnegie', 'Hall', 'New-York.These', 'concerts', 'studio', 'sessions', 'La', 'Havana', 'are', 'spine', 'movie', 'Interviews', 'members', 'one-and-only', 'record', 'group', 'homes', 'visits', 'heart', 'La', 'Havana', 'are', 'also', 'going', 'capture', 'heart', ""'m"", 'not', 'specialist', 'central', 'america', 'music', 'was', 'profoundly', 'moved', 'old', 'timers', 'who', 'are', 'certainly', 'fathers', 'great', 'part', 'what', 'are', 'listening', 'today.One', 'can', 'also', 'feel', 'respect', 'Wim', 'Wenders', 'men', 'women', 'who', 'have', 'preferred', 'stay', 'poor', 'forgotten', 'beloved', 'island', 'rather', 'seek', 'fortune', 'U.S.A.Oh', 'yes', 'forgot', 'music', 'songs', 'are', 'wonderful', 'Extras', 'are', 'great', 'so', 'quality', 'images', 'sound', 'Attention', 'DVD', 'Empire', 'widescreen', 'format', '1:66', 'Overall', 'DVD', 'perfect', '5.A', 'DVD', 'library']",Buena Vista Social Club VHS
