,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
547864,A13IJSSLR27SU,B00004R99N,"Amazon Customer ""u_raben""","[1, 1]","Great computeranimation, a good voicecast, unforgettable characters, and lot of action and humor saves this overlooked Disney sequel, that seems to get more popular, as it's released on DVD.Bernard and Bianca must travel to the wilderness in Australia, to save the boy Cody, and the eagle Marahute from the flamboyant villian McLeach, and his clumsy sidekick, the iguana Joanna, and they get help from the kangaroo-mouse Jake.",4,Well made and long awaited sequel,1011657600,"01 22, 2002",2002,426,"['Great', 'computeranimation', 'good', 'voicecast', 'unforgettable', 'characters', 'lot', 'action', 'humor', 'saves', 'overlooked', 'Disney', 'sequel', 'get', 'more', 'popular', 'released', 'DVD.Bernard', 'Bianca', 'must', 'travel', 'wilderness', 'Australia', 'save', 'boy', 'Cody', 'eagle', 'Marahute', 'flamboyant', 'villian', 'McLeach', 'clumsy', 'sidekick', 'iguana', 'Joanna', 'get', 'help', 'kangaroo-mouse', 'Jake']",The Rescuers Down Under VHS
547865,A2VOI85H5S0OH6,B00004R99N,Amazon Slave,"[0, 0]","The only reason why I brought this cartoon movie was that I own the original The Original and guess what it was better than the first, so if you have any doubts rent it first and then buy it.",5,Disney Junkie,1371945600,"06 23, 2013",2013,191,"['only', 'reason', 'why', 'brought', 'cartoon', 'movie', 'was', 'own', 'original', 'Original', 'guess', 'what', 'was', 'better', 'first', 'so', 'have', 'doubts', 'rent', 'first', 'then', 'buy']",The Rescuers Down Under VHS
547866,A8YDXMFXJ4R6X,B00004R99N,Amber,"[2, 4]","I have always enjoyed Disney's animated films, but there are some that stand out. The Little Mermaid (both of them), The Lion King 2 (that's right, I said the sequel!), The Hunchback of Notre Dame, Hercules, Cinderella, and the two Rescuer movies are the ones that come to mind. Now, the first Rescuer film is a hands-down favorite, but I love the sequel even more. Why? Because it has something the first one didn't--Jake the daring kangaroo rat. He has a crush on Bianca, and this upsets Bernard, whose trying to gather the courage to ask Bianca to marry him! So, the two boys end up glaring at each other and competing for the girl's attention, and she apparently doesn't notice the animosity. But it's just so cute! Jake is one of my all-time favorite characters, even if he is a stereotype of a guy from the Australian Outback. I love Jake!",5,Simply adorable!,1107388800,"02 3, 2005",2005,845,"['have', 'always', 'enjoyed', 'Disney', 'animated', 'films', 'are', 'stand', 'out', 'Little', 'Mermaid', 'Lion', 'King', '2', 'right', 'said', 'sequel', 'Hunchback', 'Notre', 'Dame', 'Hercules', 'Cinderella', 'two', 'Rescuer', 'movies', 'are', 'ones', 'come', 'mind', 'Now', 'first', 'Rescuer', 'film', 'hands-down', 'favorite', 'love', 'sequel', 'even', 'more', 'Why', 'something', 'first', 'one', 'did', ""n't"", 'Jake', 'daring', 'kangaroo', 'rat', 'crush', 'Bianca', 'upsets', 'Bernard', 'trying', 'gather', 'courage', 'ask', 'Bianca', 'marry', 'So', 'two', 'boys', 'end', 'up', 'glaring', 'other', 'competing', 'girl', 'attention', 'apparently', ""n't"", 'notice', 'animosity', 'just', 'so', 'cute', 'Jake', 'one', 'all-time', 'favorite', 'characters', 'even', 'stereotype', 'guy', 'Australian', 'Outback', 'love', 'Jake']",The Rescuers Down Under VHS
547867,ANCOMAI0I7LVG,B00004R99N,Andrew Ellington,"[2, 3]","Growing up, this was one of my absolute favorite films (and yes, this birthed my obsession with Australian accents, and the Australians who speak them).  You can place this right next to another underappreciated animated classic, `The Chipmunk Adventure', as one of those films I wore out watching so many times.  I've recently revisited this film (as I did with `The Chipmunk Adventure' a while back) and it has surprisingly held up.  In fact, it held up remarkably well.  Where `The Chipmunk Adventure' unveiled notable flaws (especially in the quality of the sound during those blurry musical numbers), I didn't find such flaws while watching `The Rescuers Down Under'.I actually found myself getting rather giddy all over again.As many have mentioned, this was one of those films that marked the return of Disney.  Disney made a severe dent in pop culture for the second time (second generational time) in 1989 with `The Little Mermaid', and then it blew the competition away in 1991 with `Beauty and the Beast' (still possible the greatest animated feature of all time), but in between those two juggernauts was this little seen and little remembered gem.  Yes, `The Rescuers Down Under', sequel to `The Rescuers' (the better known predecessor) needs to have a larger audience.  It deserves a larger audience.It has so much going for it.It opens with cinematic perfection and animated delightfulness (that opening sequence is to die for) and it continues with slick scripting, light yet meaningful comic relief, aptly paced tension and a beautiful message that adds depth to the film without beating us over the head with it (the message of environmental harmony is lightly coaxed, unlike recent catastrophes like `Avatar', which consider the audience too stupid to `understand' subtlety).  You can add to that a colorful repartee between the vocal talents (Bob Hope and Eva Gabor are just wonderful, and John Candy is classic!) and a devilishly evil villain in George C. Scott (he can do no wrong!).I love these little rodents, and you should too, so grab this solid adventure film and dig in.  This is one of those `cartoons' that is perfectly constructed for youngins and oldins alike.:-D",5,"Up, up and away...",1314748800,"08 31, 2011",2011,2196,"['Growing', 'up', 'was', 'one', 'absolute', 'favorite', 'films', 'yes', 'birthed', 'obsession', 'Australian', 'accents', 'Australians', 'who', 'speak', 'can', 'place', 'right', 'next', 'underappreciated', 'animated', 'classic', 'Chipmunk', 'Adventure', 'one', 'films', 'wore', 'out', 'watching', 'so', 'many', 'times', ""'ve"", 'recently', 'revisited', 'film', 'did', 'Chipmunk', 'Adventure', 'back', 'surprisingly', 'held', 'up', 'fact', 'held', 'up', 'remarkably', 'well', 'Where', 'Chipmunk', 'Adventure', 'unveiled', 'notable', 'flaws', 'especially', 'quality', 'sound', 'blurry', 'musical', 'numbers', 'did', ""n't"", 'find', 'such', 'flaws', 'watching', 'Rescuers', 'Down', ""Under'.I"", 'actually', 'found', 'getting', 'rather', 'giddy', 'again.As', 'many', 'have', 'mentioned', 'was', 'one', 'films', 'marked', 'return', 'Disney', 'Disney', 'made', 'severe', 'dent', 'pop', 'culture', 'second', 'time', 'second', 'generational', 'time', '1989', 'Little', 'Mermaid', 'then', 'blew', 'competition', 'away', '1991', 'Beauty', 'Beast', 'still', 'possible', 'greatest', 'animated', 'feature', 'time', 'two', 'juggernauts', 'was', 'little', 'seen', 'little', 'remembered', 'gem', 'Yes', 'Rescuers', 'Down', 'sequel', 'Rescuers', 'better', 'known', 'predecessor', 'have', 'larger', 'audience', 'larger', 'audience.It', 'so', 'much', 'going', 'it.It', 'opens', 'cinematic', 'perfection', 'animated', 'delightfulness', 'opening', 'sequence', 'die', 'slick', 'scripting', 'light', 'yet', 'meaningful', 'comic', 'relief', 'aptly', 'paced', 'tension', 'beautiful', 'message', 'depth', 'film', 'beating', 'head', 'message', 'environmental', 'harmony', 'lightly', 'coaxed', 'recent', 'catastrophes', 'Avatar', 'consider', 'audience', 'too', 'stupid', 'understand', 'subtlety', 'can', 'add', 'colorful', 'repartee', 'vocal', 'talents', 'Bob', 'Hope', 'Eva', 'Gabor', 'are', 'just', 'wonderful', 'John', 'Candy', 'classic', 'devilishly', 'evil', 'villain', 'George', 'C.', 'Scott', 'can', 'do', 'wrong', '.I', 'little', 'rodents', 'should', 'too', 'so', 'grab', 'solid', 'adventure', 'film', 'dig', 'one', 'cartoons', 'perfectly', 'constructed', 'youngins', 'oldins', 'alike', '-D']",The Rescuers Down Under VHS
547868,AZ914SGGSHOL,B00004R99N,A. Simpkins,"[3, 5]",Just an ok Children film.  Nothing to write home about.,3,It was ok,1060300800,"08 8, 2003",2003,55,"['Just', 'ok', 'Children', 'film', 'Nothing', 'write', 'home']",The Rescuers Down Under VHS
547869,A3EW2L59UBHQSG,B00004R99N,Bruce Aguilar,"[10, 10]","You hear a lot of talk about this film being Disney's first sequal, but don't let that freak you out if you've never seen the original Rescuers film.  There's really no need to have seen The Rescuers to appreciate The Rescuers Down Under.  The only thing these films share are the two main characters (Binard and Bianca) and the plot point of saving a child in jeopardy.  Where the original was a touchy-feely story of abandonment, this film takcles the very different issue of wildlife preservation.  I find this to be a far better film than The Rescuers (although I loved it as a child and still hold a special place for it in my heart), and a welcome change of pace from the usual Disney fare.This was the first film to use Disney's new CAPS system of filming animation and the results are truly stunning.  Bright vivid colors, the blending of shades into one another, sharp crips lines, and subtle computer animation are the hallmarks of the &quot;new&quot; Disney and it all began with this film.  The opening of the film is a great example of what the system can do and remains one of the most thrilling openings to any Disney film.  More breathtaking scenes, like the flight with Marahute, further attest to the technical achievement of the film.Story wise this film gives us Disney's most realistic depiction of childhood to date (B.A. before Andy from Toy Story, but he's really a PIXAR creation anyway), in the protagonist Cody.  He's strong willed, bright, has a sense of adventure and never seems overly cute.  He's just a boy who wants to stop the evil McLeach from killing the last of the great golden eagles, and his friend Marahute.  The relationship between Bianca and Benard is expanded upon, but again you don't need to know their history from The Rescuers to understand what's happening.  Some very fun and comic characters are indtroduced (notably, Frank the wacky lizzard) to offset one of the meanist villans ever, the poacher, Percival McLeach.  He's drawn in a realistic way that exaggerates his feaures just enough to give him a very menacing look.  Believe me, when he yells at Cody you will recoil in fear!With all this high praise you might be wondering why this isn't a more widely known film.  Well it had the distinction of follwing The Little Mermaid which sent Disney in the direction of Broadway-styled musicals.  I haven't mentioned music for The Rescuers Down Under because there isn't any.  Although the score is fantastic (and a hotly sought after collectors item), there isn't one song in the film.  It got lost under all the hoopla about Disney's new style.  People were looking for more of the same from Disney and soon they would get it.Rating the DVD itself, I'd give it a 5 for picture and sound, but only a 3 for bonus features.  Disney has relesed a few DVD's with outstanding bonus', however this isn't one of them.  All you get is a trivia game that will be really easy to answer once you've seen the film and a mode that tells the story in words or has a voice over read it to you.  But don't let that discourage you from getting this DVD.  Now that some time has passed and most of us are looking for someting fresh from Disney, take a look at this overlooked gem.  You'll be overwhelmed by it's adventure, granduer, beauty, and most importantly, fun.",5,An overlooked gem,979171200,"01 11, 2001",2001,3302,"['hear', 'lot', 'talk', 'film', 'being', 'Disney', 'first', 'sequal', 'do', ""n't"", 'let', 'freak', 'out', ""'ve"", 'never', 'seen', 'original', 'Rescuers', 'film', 'really', 'need', 'have', 'seen', 'Rescuers', 'appreciate', 'Rescuers', 'Down', 'only', 'thing', 'films', 'share', 'are', 'two', 'main', 'characters', 'Binard', 'Bianca', 'plot', 'point', 'saving', 'child', 'jeopardy', 'Where', 'original', 'was', 'touchy-feely', 'story', 'abandonment', 'film', 'very', 'different', 'issue', 'wildlife', 'preservation', 'find', 'be', 'far', 'better', 'film', 'Rescuers', 'loved', 'child', 'still', 'hold', 'special', 'place', 'heart', 'welcome', 'change', 'pace', 'usual', 'Disney', 'fare.This', 'was', 'first', 'film', 'use', 'Disney', 'new', 'CAPS', 'system', 'filming', 'animation', 'results', 'are', 'truly', 'stunning', 'Bright', 'vivid', 'colors', 'blending', 'shades', 'one', 'sharp', 'crips', 'lines', 'subtle', 'computer', 'animation', 'are', 'hallmarks', 'quot', 'new', 'quot', 'Disney', 'began', 'film', 'opening', 'film', 'great', 'example', 'what', 'system', 'can', 'do', 'remains', 'one', 'most', 'thrilling', 'openings', 'Disney', 'film', 'More', 'breathtaking', 'scenes', 'flight', 'Marahute', 'further', 'attest', 'technical', 'achievement', 'film.Story', 'wise', 'film', 'Disney', 'most', 'realistic', 'depiction', 'childhood', 'date', 'B.A', 'Andy', 'Toy', 'Story', 'really', 'PIXAR', 'creation', 'anyway', 'protagonist', 'Cody', 'strong', 'willed', 'bright', 'sense', 'adventure', 'never', 'overly', 'cute', 'just', 'boy', 'who', 'stop', 'evil', 'McLeach', 'killing', 'last', 'great', 'golden', 'eagles', 'friend', 'Marahute', 'relationship', 'Bianca', 'Benard', 'expanded', 'again', 'do', ""n't"", 'need', 'know', 'history', 'Rescuers', 'understand', 'what', 'happening', 'very', 'fun', 'comic', 'characters', 'are', 'indtroduced', 'notably', 'Frank', 'wacky', 'lizzard', 'offset', 'one', 'meanist', 'villans', 'ever', 'poacher', 'Percival', 'McLeach', 'drawn', 'realistic', 'way', 'feaures', 'just', 'enough', 'give', 'very', 'menacing', 'look', 'Believe', 'when', 'Cody', 'will', 'recoil', 'fear', 'high', 'praise', 'might', 'be', 'wondering', 'why', ""n't"", 'more', 'widely', 'known', 'film', 'Well', 'had', 'distinction', 'follwing', 'Little', 'Mermaid', 'sent', 'Disney', 'direction', 'Broadway-styled', 'musicals', 'have', ""n't"", 'mentioned', 'music', 'Rescuers', 'Down', ""n't"", 'score', 'fantastic', 'hotly', 'sought', 'collectors', 'item', ""n't"", 'one', 'song', 'film', 'got', 'lost', 'hoopla', 'Disney', 'new', 'style', 'People', 'were', 'looking', 'more', 'same', 'Disney', 'soon', 'would', 'get', 'it.Rating', 'DVD', ""'d"", 'give', '5', 'picture', 'sound', 'only', '3', 'bonus', 'features', 'Disney', 'relesed', 'few', 'DVD', 'outstanding', 'bonus', 'however', ""n't"", 'one', 'get', 'trivia', 'game', 'will', 'be', 'really', 'easy', 'answer', 'once', ""'ve"", 'seen', 'film', 'mode', 'story', 'words', 'voice', 'read', 'do', ""n't"", 'let', 'discourage', 'getting', 'DVD', 'Now', 'time', 'passed', 'most', 'are', 'looking', 'someting', 'fresh', 'Disney', 'take', 'look', 'overlooked', 'gem', ""'ll"", 'be', 'overwhelmed', 'adventure', 'granduer', 'beauty', 'most', 'importantly', 'fun']",The Rescuers Down Under VHS
547870,A2HHOZK72E97RV,B00004R99N,Chad Harry,"[3, 4]","This was a superb entry in the Disney canon. The best sequel to a animated feature as well. Faithful and underrated. This is great people,  Walt Disney would have been proud.",5,"If you dont like this, your no true Disney fan.",1177891200,"04 30, 2007",2007,174,"['was', 'superb', 'entry', 'Disney', 'canon', 'best', 'sequel', 'animated', 'feature', 'as', 'well', 'Faithful', 'underrated', 'great', 'people', 'Walt', 'Disney', 'would', 'have', 'been', 'proud']",The Rescuers Down Under VHS
547871,A2E4XR9HCYC7EX,B00004R99N,"Chalice ""Jessica""","[2, 2]","When I was a kid, this was the movie that always touched me... Along with Lady and the Tramp, Dumbo, and The Little Mermaid. I don't know why it's not more well-known. A fast-paced Disney adventure filled with characters that are nothing but lovable. Little kids nowadays are totally spoiled on all the Pixar junk. Getting back to basics like this are what Disney's all about. I wish the company could see that. I'll never remember the computer-animated crap they're going to produce now... It's stuff like this this I'll buy for my children when I grow older. An enchanting story of two adventurous mice out to help children, this one has them traveling to Australia to rescue a little boy and several creatures being trapped by an evil poacher. If you haven't seen it, you're missing out... Go get it, now!",5,"I Grew Up On It, That Should Say Something...",1080345600,"03 27, 2004",2004,808,"['When', 'was', 'kid', 'was', 'movie', 'always', 'touched', 'Lady', 'Tramp', 'Dumbo', 'Little', 'Mermaid', 'do', ""n't"", 'know', 'why', 'not', 'more', 'well-known', 'fast-paced', 'Disney', 'adventure', 'filled', 'characters', 'are', 'nothing', 'lovable', 'Little', 'kids', 'nowadays', 'are', 'totally', 'spoiled', 'Pixar', 'junk', 'Getting', 'back', 'basics', 'are', 'what', 'Disney', 'wish', 'company', 'could', 'see', ""'ll"", 'never', 'remember', 'computer-animated', 'crap', ""'re"", 'going', 'produce', 'now', 'stuff', ""'ll"", 'buy', 'children', 'when', 'grow', 'older', 'enchanting', 'story', 'two', 'adventurous', 'mice', 'out', 'help', 'children', 'one', 'traveling', 'Australia', 'rescue', 'little', 'boy', 'several', 'creatures', 'being', 'trapped', 'evil', 'poacher', 'have', ""n't"", 'seen', ""'re"", 'missing', 'out', 'Go', 'get', 'now']",The Rescuers Down Under VHS
547872,A3N8RZSXKN1OR2,B00004R99N,Chrijeff,"[0, 0]","Astonishing animation, vivid color, rich evocation of the Australian outback and its animals, humor, suspense, a stirring Bruce Broughton score, sympathetic heroes and a great scary villain--this undeservedly neglected movie is one of the best of the post-Walt era.  Cody (Adam Ryen), a young boy who lives with his widowed mother outside Mugwump Flats, is friends with all the animals, and when Marahuti, the Great Golden Eagle, is caught in a poacher's trap high on one of the red-rock monoliths of the area, they call on him to rescue her--having hands, ""you're the only one who can help her, little friend.""  He succeeds, and makes a majestic lifelong friend--but when he tumbles into a pit-trap set by the poacher, McLeach (for whom respected actor George C. Scott provides both voice and physical model), he finds himself in great peril.  Fortunately his capture has been witnessed by a bush mouse, and word flashes halfway across the globe to the U.N. headquarters of the Rescue Aid Society and its two leading lights, Miss Bianca (Eva Gabor) and Bernard (Bob Newhart), the latter now the official U.S. delegate to the Society.  Recruiting the albatross Wilbur (John Candy), and later the savvy kangaroo mouse Jake (Tristan Rogers), who serves as their bush guide, the pair set off to save him.  Meanwhile Cody and the other poached animals, including the comic frilled lizard Frank (Wayne Robson), are doing their best to escape McLeach's stronghold on their own.  Much of the charm of the movie lies in the way the production designers have imaged a mouse-sized civilization--the difficulties it would face in a human-scaled society, how it would use the artifacts cast off by the big people--and in the relationship between Bianca and Bernard (who has an engagement ring in his pocket, and when Jake and Bianca are inadvertantly captured, finds a rugged courage--""I've got to get somewhere in a hurry,"" he tells a razorback hog 10,000 times his size as he stares it down, ""and you're not gonna give me any trouble!"").  Even better than the original (The Rescuers), this is a Disney movie that should be in every family collection.",5,Mice in the bush,1354752000,"12 6, 2012",2012,2140,"['Astonishing', 'animation', 'vivid', 'color', 'rich', 'evocation', 'Australian', 'outback', 'animals', 'humor', 'suspense', 'stirring', 'Bruce', 'Broughton', 'score', 'sympathetic', 'heroes', 'great', 'scary', 'villain', 'undeservedly', 'neglected', 'movie', 'one', 'best', 'post-Walt', 'era', 'Cody', 'Adam', 'Ryen', 'young', 'boy', 'who', 'widowed', 'mother', 'Mugwump', 'Flats', 'friends', 'animals', 'when', 'Marahuti', 'Great', 'Golden', 'Eagle', 'caught', 'poacher', 'trap', 'high', 'one', 'red-rock', 'monoliths', 'area', 'call', 'rescue', 'having', 'hands', ""'re"", 'only', 'one', 'who', 'can', 'help', 'little', 'friend', 'majestic', 'lifelong', 'friend', 'when', 'pit-trap', 'set', 'poacher', 'McLeach', 'whom', 'respected', 'actor', 'George', 'C.', 'Scott', 'voice', 'physical', 'model', 'great', 'peril', 'Fortunately', 'capture', 'been', 'witnessed', 'bush', 'mouse', 'word', 'flashes', 'halfway', 'globe', 'U.N.', 'headquarters', 'Rescue', 'Aid', 'Society', 'two', 'leading', 'lights', 'Miss', 'Bianca', 'Eva', 'Gabor', 'Bernard', 'Bob', 'Newhart', 'latter', 'now', 'official', 'U.S.', 'delegate', 'Society', 'Recruiting', 'albatross', 'Wilbur', 'John', 'Candy', 'later', 'savvy', 'kangaroo', 'mouse', 'Jake', 'Tristan', 'Rogers', 'who', 'bush', 'guide', 'pair', 'set', 'off', 'save', 'Meanwhile', 'Cody', 'other', 'poached', 'animals', 'including', 'comic', 'frilled', 'lizard', 'Frank', 'Wayne', 'Robson', 'are', 'doing', 'best', 'escape', 'McLeach', 'stronghold', 'own', 'Much', 'charm', 'movie', 'way', 'production', 'designers', 'have', 'imaged', 'mouse-sized', 'civilization', 'difficulties', 'would', 'face', 'human-scaled', 'society', 'how', 'would', 'use', 'artifacts', 'cast', 'off', 'big', 'people', 'relationship', 'Bianca', 'Bernard', 'who', 'engagement', 'ring', 'pocket', 'when', 'Jake', 'Bianca', 'are', 'inadvertantly', 'captured', 'rugged', 'courage', ""'ve"", 'got', 'get', 'somewhere', 'hurry', 'razorback', 'hog', '10,000', 'times', 'size', 'down', ""'re"", 'not', 'gon', 'give', 'trouble', 'Even', 'better', 'original', 'Rescuers', 'Disney', 'movie', 'should', 'be', 'family', 'collection']",The Rescuers Down Under VHS
547873,A1AISPOIIHTHXX,B00004R99N,"Cloud ""...""","[7, 8]","The first Rescuers was released way back in 1977. Disney had this idea to bring it back for Disney's first sequel. They brought back Bob Newhart(who sounds slightly different) and Eva Gabor(I love listening to this woman's voice) to reprise their roles as Bernard and Bianca and it's still quite good.Pretty much like another reviewer said it's kind of a rehash of the original but using different events. Cody, a kind of animal liberator let's say, rescues animals in traps that would otherwise end up at the hands-and then down the barrel of a shotgun-of poachers. He finds a massive rare golden eagle and quickly befriends it(and just FYI: turn your brain off slightly, the bird apparently understands English). Mcleach, a poacher finds the boy and a golden feather so he kidnaps Cody in hopes of finding Cody's eagle.In come Bernard and Bianca, mice part of the Rescue Aid Society. The former of which is actually trying to propose but always gets interrupted.  They meet up with Wilbur, the cousin of Orville from the original and fly to Australia and meet Jake, a kind of tough mice in a way. Which sets up a love triangle between the 3 mice over Bianca.First, 2 things stood out for me: the score. It's a really great score and especially love the opening theme. The ""Mcleach"" theme is nice but it sounds like everytime Mcleach arrives with his massive truck, the score repeats itself, kind of like how the Imperial Theme always showed up whenever Darth Vader was around.Second is the animation. You can see the transition Disney would make into more detailed and complex animation that they would do in the Lion King or the Deep Canvas system from Tarzan and Hercules's Hydra fight.  Personally my favorite is either entering Australia with the Opera House or Orville's dive in-between New York buildings.Too bad Disney couldn't replicate this type of film cause the rest of the sequels were just god awful. They even made 2 Aladdin sequels, nevermind one. But this was the first one and oddly enough, it's the only good one despite advancing technologies. Go figure.",5,Probably the only good sequel Disney has done,1109548800,"02 28, 2005",2005,2075,"['first', 'Rescuers', 'was', 'released', 'way', 'back', '1977', 'Disney', 'had', 'idea', 'bring', 'back', 'Disney', 'first', 'sequel', 'brought', 'back', 'Bob', 'Newhart', 'who', 'slightly', 'different', 'Eva', 'Gabor', 'love', 'listening', 'woman', 'voice', 'reprise', 'roles', 'Bernard', 'Bianca', 'still', 'quite', 'good.Pretty', 'much', 'reviewer', 'said', 'kind', 'rehash', 'original', 'using', 'different', 'events', 'Cody', 'kind', 'animal', 'liberator', 'let', 'say', 'rescues', 'animals', 'traps', 'would', 'otherwise', 'end', 'up', 'hands-and', 'then', 'barrel', 'shotgun-of', 'poachers', 'massive', 'rare', 'golden', 'eagle', 'quickly', 'just', 'FYI', 'turn', 'brain', 'slightly', 'bird', 'apparently', 'English', 'Mcleach', 'poacher', 'boy', 'golden', 'feather', 'Cody', 'hopes', 'finding', 'Cody', 'eagle.In', 'come', 'Bernard', 'Bianca', 'mice', 'part', 'Rescue', 'Aid', 'Society', 'former', 'actually', 'trying', 'propose', 'always', 'interrupted', 'meet', 'up', 'Wilbur', 'cousin', 'Orville', 'original', 'fly', 'Australia', 'meet', 'Jake', 'kind', 'tough', 'mice', 'way', 'up', 'love', 'triangle', '3', 'mice', 'Bianca.First', '2', 'things', 'stood', 'out', 'score', 'really', 'great', 'score', 'especially', 'love', 'opening', 'theme', 'Mcleach', 'theme', 'nice', 'everytime', 'Mcleach', 'massive', 'truck', 'score', 'kind', 'how', 'Imperial', 'Theme', 'always', 'showed', 'up', 'whenever', 'Darth', 'Vader', 'was', 'around.Second', 'animation', 'can', 'see', 'transition', 'Disney', 'would', 'make', 'more', 'detailed', 'complex', 'animation', 'would', 'do', 'Lion', 'King', 'Deep', 'Canvas', 'system', 'Tarzan', 'Hercules', 'Hydra', 'fight', 'Personally', 'favorite', 'either', 'entering', 'Australia', 'Opera', 'House', 'Orville', 'dive', 'in-between', 'New', 'York', 'buildings.Too', 'bad', 'Disney', 'could', ""n't"", 'replicate', 'type', 'film', 'cause', 'rest', 'sequels', 'were', 'just', 'god', 'awful', 'even', 'made', '2', 'Aladdin', 'sequels', 'one', 'was', 'first', 'one', 'oddly', 'enough', 'only', 'good', 'one', 'advancing', 'technologies', 'Go', 'figure']",The Rescuers Down Under VHS
