,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
559202,A14FTLOBL6IJ8R,B00004YKQ3,"B.B.Rich ""bbrich57""","[0, 0]","I grew up with Tommy James/the Shondells and thought his writing skills showed talent. There was a time in the late '60s/early '70s when you couldn't turn on a radio and not hear one or more TJ songs playing on it... and they were worth listening to, IMO.Sadly, this video, while recorded live, is often not live, but studio corrections and overdubs, and it's made obvious by watching the musicians.That said, I still enjoy the music, and it was good to see the band playing, but I can only rate the video as a 3 because of the obviousness in editing.",3,Too Many Overdubs and Obvious Studio Corrections,1386547200,"12 9, 2013",2013,551,"['grew', 'up', 'Tommy', 'James/the', 'Shondells', 'thought', 'writing', 'skills', 'showed', 'talent', 'was', 'time', 'late', ""'70s"", 'when', 'could', ""n't"", 'turn', 'radio', 'not', 'hear', 'one', 'more', 'TJ', 'songs', 'playing', 'were', 'worth', 'listening', 'IMO.Sadly', 'video', 'recorded', 'live', 'often', 'not', 'live', 'studio', 'corrections', 'overdubs', 'made', 'obvious', 'watching', 'musicians.That', 'said', 'still', 'enjoy', 'music', 'was', 'good', 'see', 'band', 'playing', 'can', 'only', 'rate', 'video', '3', 'obviousness', 'editing']",N/A
559203,AXMKAXC0TR9AW,B00004YKQ3,"Bill Emblom ""Bill Emblom""","[20, 20]","I bought this DVD in the hopes I would hear the group sing their hit songs in their entirety, and was pleasantly surprised.  Draggin' The Line, Crimson and Clover, Crystal Blue Persuasion, Hanky Panky, Mony Mony, and, my favorite, I think We're Alone Now were all very well done.  Other features include individual song commentary, full-length interviews, discography, and a biography.  However, it was the full length renditions of their hit songs that get the five star rating from me.  If this is what interests you, you will get your money's worth from this DVD.",5,I Lucked Out,1085875200,"05 30, 2004",2004,566,"['bought', 'DVD', 'hopes', 'would', 'hear', 'group', 'sing', 'hit', 'songs', 'entirety', 'was', 'pleasantly', 'surprised', 'Draggin', 'Line', 'Crimson', 'Clover', 'Crystal', 'Blue', 'Persuasion', 'Hanky', 'Panky', 'Mony', 'Mony', 'favorite', 'think', ""'re"", 'Alone', 'Now', 'were', 'very', 'well', 'done', 'Other', 'features', 'include', 'individual', 'song', 'commentary', 'full-length', 'interviews', 'discography', 'biography', 'However', 'was', 'full', 'length', 'renditions', 'hit', 'songs', 'get', 'five', 'star', 'rating', 'what', 'interests', 'will', 'get', 'money', 'worth', 'DVD']",N/A
559204,AMPW2XLJQISVZ,B00004YKQ3,"Cory B. ""Ronnie Milsap""","[1, 1]","I took a chance on this DVD after seeing the performance of Crystal Blue Persuasion from this show on the internet. I was never a big Tommy James fan although I grew up hearing Mony Mony and his other hits on the oldies stations like everyone else. I found myself enjoying this show more than I expected.This is one of those rare live performances where every song is actually better than the original version. Tommy's voice has matured with age. He's lost the teenybopper, bubblegum sound he had in the 60's and sings these songs better than ever with a good backing band that brings a more modern feel and presentation to these old 60's hits. Filmed live at The Bitter End, a small club in Greenwich Village New York, Tommy delivers a nice, straight forward live performance of his classic hits that is enhanced by the intimate feel of the small venue packed with a happy audience of fans. Although several songs here do appear to be lipsynched by Tommy and the band for whatever reason, these are definitely NOT the original recordings.Tommy and band open the show with a strong version of Draggin the Line and deliver fine performances of Crystal Blue Persuasion, Hanky Panky, Sweet Cherry Wine, and the best version of Crimson and Clover you'll ever hear. Enhanced by a blistering guitar solo and Tommy's strong vocals, this performance blows away the original 60's recording. There's also a house-rocking version of Mony Mony where Tommy leaves the stage during the song to give handshakes and hugs to the fans in the crowd. The DVD includes a nice bonus interview with Tommy discussing his early career...including the funny story of why he turned down the chance to play Woodstock in 69. Any oldies fan or lover of 1960's pop/rock will enjoy this DVD.",4,Suprisingly Good...Tommy gets better with age,1264032000,"01 21, 2010",2010,1759,"['took', 'chance', 'DVD', 'seeing', 'performance', 'Crystal', 'Blue', 'Persuasion', 'show', 'internet', 'was', 'never', 'big', 'Tommy', 'James', 'fan', 'grew', 'up', 'hearing', 'Mony', 'Mony', 'other', 'hits', 'oldies', 'stations', 'everyone', 'else', 'found', 'enjoying', 'show', 'more', 'expected.This', 'one', 'rare', 'live', 'performances', 'where', 'song', 'actually', 'better', 'original', 'version', 'Tommy', 'voice', 'matured', 'age', 'lost', 'teenybopper', 'bubblegum', 'sound', 'had', '60', 'songs', 'better', 'ever', 'good', 'backing', 'band', 'more', 'modern', 'feel', 'presentation', 'old', '60', 'hits', 'Filmed', 'live', 'Bitter', 'End', 'small', 'club', 'Greenwich', 'Village', 'New', 'York', 'Tommy', 'nice', 'straight', 'forward', 'live', 'performance', 'classic', 'hits', 'enhanced', 'intimate', 'feel', 'small', 'venue', 'packed', 'happy', 'audience', 'fans', 'several', 'songs', 'here', 'do', 'appear', 'be', 'lipsynched', 'Tommy', 'band', 'reason', 'are', 'definitely', 'NOT', 'original', 'recordings.Tommy', 'band', 'open', 'show', 'strong', 'version', 'Draggin', 'Line', 'deliver', 'fine', 'performances', 'Crystal', 'Blue', 'Persuasion', 'Hanky', 'Panky', 'Sweet', 'Cherry', 'Wine', 'best', 'version', 'Crimson', 'Clover', ""'ll"", 'ever', 'hear', 'Enhanced', 'blistering', 'guitar', 'solo', 'Tommy', 'strong', 'vocals', 'performance', 'away', 'original', '60', 'recording', 'also', 'house-rocking', 'version', 'Mony', 'Mony', 'where', 'Tommy', 'stage', 'song', 'give', 'handshakes', 'hugs', 'fans', 'crowd', 'DVD', 'nice', 'bonus', 'interview', 'Tommy', 'discussing', 'early', 'career', 'including', 'funny', 'story', 'why', 'turned', 'down', 'chance', 'play', 'Woodstock', '69', 'Any', 'oldies', 'fan', 'lover', '1960', 'pop/rock', 'will', 'enjoy', 'DVD']",N/A
559205,A2RWGW6TGUX7E5,B00004YKQ3,"Gary Covington ""Southern Rocker""","[2, 2]","Super Outstanding!!!! This concert was recorded in a small venue (The Bitter End) in New York. Tommy James and his band perform exceptionally well. It consists of 13 songs, including their top hits. It has an approximate running time of 82 minutes.It does not list the line-up of the band, but you get a nice-sized Rock Band. Tommy James plays guitar, there is also another guitar player, a bass player, a drummer, and a keyboardist.This is not ""Jam"" music, this is Pure, 100 percent, American Rock & Roll Baby!!!!!The songs are as follows:1.Draggin the Line2.Crystal Blue Persuasion (Super Outstanding, I've always loved this song!!! This sounds just like the ""studio"",""radio"" version and its ""live""!!!)3.Say I Am (What I Am)4.Sugar on Sunday5.Gettin' Together6.Tighter, Tighter7.Crimson & Clover8.Hanky Panky9.I Think We're Alone Now10.Mony Mony11.Sweet Cherry Wine12 Mirage13.Mony Mony (Reprise)You also get bonus material, includeing interviews, and commentaris.If you ""Love Rock & Roll"", (Like Joan Jett), then buy this dvd, you'll love it.By the way Joan Jett did a cover of the song ""Crimson & Clover"". I highly recommend this one. Thanks & Enjoy!!!!",5,"Tommy James &  The Shondells ""Live at the Bitter End"" in New York = A1+!!!!!!!!!!!!!!!!",1250812800,"08 21, 2009",2009,1157,"['Super', 'Outstanding', 'concert', 'was', 'recorded', 'small', 'venue', 'Bitter', 'End', 'New', 'York', 'Tommy', 'James', 'band', 'perform', 'exceptionally', 'well', '13', 'songs', 'including', 'top', 'hits', 'approximate', 'running', 'time', '82', 'minutes.It', 'not', 'list', 'line-up', 'band', 'get', 'nice-sized', 'Rock', 'Band', 'Tommy', 'James', 'guitar', 'also', 'guitar', 'player', 'bass', 'player', 'drummer', 'keyboardist.This', 'not', 'Jam', 'music', 'Pure', '100', 'percent', 'American', 'Rock', 'Roll', 'Baby', 'songs', 'are', 'follows:1.Draggin', 'Line2.Crystal', 'Blue', 'Persuasion', 'Super', 'Outstanding', ""'ve"", 'always', 'loved', 'song', 'just', 'studio', 'radio', 'version', 'live', '3.Say', 'Am', 'What', 'Am', '4.Sugar', 'Sunday5.Gettin', 'Together6.Tighter', 'Tighter7.Crimson', 'Clover8.Hanky', 'Panky9.I', 'Think', ""'re"", 'Alone', 'Now10.Mony', 'Mony11.Sweet', 'Cherry', 'Wine12', 'Mirage13.Mony', 'Mony', 'Reprise', 'also', 'get', 'bonus', 'material', 'includeing', 'interviews', 'commentaris.If', 'Love', 'Rock', 'Roll', 'Joan', 'Jett', 'then', 'buy', 'dvd', ""'ll"", 'love', 'it.By', 'way', 'Joan', 'Jett', 'did', 'cover', 'song', 'Crimson', 'Clover', 'highly', 'recommend', 'one', 'Thanks', 'Enjoy']",N/A
559206,AIHE9GBRU3MB0,B00004YKQ3,James Demestihas,"[1, 1]","Tommy's voice hasn't deteriorated one bit over the years. This DVD with Tommy and the latest edition of the Shondells is a must have for anyone born between 1955 and 1963. For those of you born outside this window, you can experience a true american rocker with originality and talent. Tommy was there representing the US during the british invasion. He managed to rise to the top repeatedly during a time when the Brits were chart topping with many, many different acts. I am a true British invasion fan who always loved Tommy's hits. He changed with the times. From I think we're alone now, through Crystal Blue Persuasion, Mony mony, and Sweet Cherry wine. Then Tommy seemed to disappear. I am so glad that he is back playing all those wonderful songs with a voice that remains true and a tight band bringing them to life again. They are playing at the Concord Pavillion in Concord Ca. and I couldn't have acted any quicker to get my tickets. I'll see you there Tommy!Ok, saw Tommy in Concord, Show was amazing. I am hearing that the DVD vocals are dubbed. If so, it's still a great DVD. But i have to tell you, He sounded just like the DVD when I saw him live. If he is lip syncing the live shows, dont tell me I dont want to know! It was also a pleasant surprise to see Kasim Sultan (from Todd's Utopia) on bass and back up vocals. Buy the DVD you will love it!",5,incredible voice,993427200,"06 25, 2001",2001,1366,"['Tommy', 'voice', ""n't"", 'deteriorated', 'one', 'bit', 'years', 'DVD', 'Tommy', 'latest', 'edition', 'Shondells', 'must', 'have', 'anyone', 'born', '1955', '1963', 'born', 'window', 'can', 'experience', 'true', 'american', 'rocker', 'originality', 'talent', 'Tommy', 'was', 'representing', 'US', 'british', 'invasion', 'managed', 'rise', 'top', 'repeatedly', 'time', 'when', 'Brits', 'were', 'chart', 'topping', 'many', 'many', 'different', 'acts', 'am', 'true', 'British', 'invasion', 'fan', 'who', 'always', 'loved', 'Tommy', 'hits', 'changed', 'times', 'think', ""'re"", 'alone', 'now', 'Crystal', 'Blue', 'Persuasion', 'Mony', 'mony', 'Sweet', 'Cherry', 'wine', 'Then', 'Tommy', 'seemed', 'disappear', 'am', 'so', 'glad', 'back', 'playing', 'wonderful', 'songs', 'voice', 'true', 'tight', 'band', 'bringing', 'life', 'again', 'are', 'playing', 'Concord', 'Pavillion', 'Concord', 'Ca', 'could', ""n't"", 'have', 'acted', 'quicker', 'get', 'tickets', ""'ll"", 'see', 'Tommy', 'Ok', 'saw', 'Tommy', 'Concord', 'Show', 'was', 'amazing', 'am', 'hearing', 'DVD', 'vocals', 'are', 'dubbed', 'so', 'still', 'great', 'DVD', 'i', 'have', 'tell', 'sounded', 'just', 'DVD', 'when', 'saw', 'live', 'lip', 'syncing', 'live', 'shows', 'dont', 'dont', 'want', 'know', 'was', 'also', 'pleasant', 'surprise', 'see', 'Kasim', 'Sultan', 'Todd', 'Utopia', 'bass', 'back', 'up', 'vocals', 'Buy', 'DVD', 'will', 'love']",N/A
559207,A1SAMSDY8108OH,B00004YKQ3,jdc53,"[0, 0]","Show is great, sound is pretty good and Tommy James has most of his charisma from the 70s. It's sad to see some musicians 30 years after their height in music try to regain it in fall on their face/what's left of it. That does not happen here",4,Good times with good rocker,1383696000,"11 6, 2013",2013,242,"['Show', 'great', 'sound', 'pretty', 'good', 'Tommy', 'James', 'most', 'charisma', '70s', 'sad', 'see', 'musicians', '30', 'years', 'height', 'music', 'try', 'regain', 'fall', 'face/what', 'left', 'not', 'happen', 'here']",N/A
559208,AX3SMZ4WC9CAC,B00004YKQ3,JEAN A. ESTRIPEAUT C.,"[1, 12]","AL VER A TOMMY, ME PARECIO QUE HABIA RETROCEDIDO EN EL TIEMPOPOR LO MENOS UNOS 35 A&Ntilde;OS YA QUE DESDE HACE ESE TIEMPO MAS O MENOS QUE VENGO ESCUCHANDO CRIMSON AND CLOVER Y CRYSTAL BLUE PERSUASION,SIENDO ESTAS LAS PIEZAS QUE MAS ME HAN GUSTADO.NUNCA PENSE QUE PUDIERA VER UN DVD DE TOMMY JAMES, LA VERDADES DE QUE VALE LA PENA VERLO.TAMBIEN SE PUEDE UNO DELEITAR CON LA INTRODUCCION DE SONIDOMODERNO DE GUITARRAS EN ESTAS PIEZAS.QUE LO DISFRUTEN.",3,BUENA PARA ESCUCHAR UN PAR DE PIEZAS SOLAMENTE,1051401600,"04 27, 2003",2003,450,"['AL', 'VER', 'A', 'TOMMY', 'ME', 'PARECIO', 'QUE', 'HABIA', 'RETROCEDIDO', 'EN', 'EL', 'TIEMPOPOR', 'LO', 'MENOS', 'UNOS', '35', 'A', 'Ntilde', 'OS', 'YA', 'QUE', 'DESDE', 'HACE', 'ESE', 'TIEMPO', 'MAS', 'O', 'MENOS', 'QUE', 'VENGO', 'ESCUCHANDO', 'CRIMSON', 'AND', 'CLOVER', 'Y', 'CRYSTAL', 'BLUE', 'PERSUASION', 'SIENDO', 'ESTAS', 'LAS', 'PIEZAS', 'QUE', 'MAS', 'ME', 'HAN', 'GUSTADO.NUNCA', 'PENSE', 'QUE', 'PUDIERA', 'VER', 'UN', 'DVD', 'DE', 'TOMMY', 'JAMES', 'LA', 'VERDADES', 'DE', 'QUE', 'VALE', 'LA', 'PENA', 'VERLO.TAMBIEN', 'SE', 'PUEDE', 'UNO', 'DELEITAR', 'CON', 'LA', 'INTRODUCCION', 'DE', 'SONIDOMODERNO', 'DE', 'GUITARRAS', 'EN', 'ESTAS', 'PIEZAS.QUE', 'LO', 'DISFRUTEN']",N/A
559209,A11WOALMP2KHVT,B00004YKQ3,lag,"[0, 0]","This DVD grows on ya. It is a fun concert, Crystal blue persuasion, crimson and clover, hanky panky, I think were alone now, mony mony and drag'n the line was great. The song tighter, it just did't sound good at all. Other than that they sounded excellent. I hope he does another DVD. I still will allway's love his voice and music.",4,"very very  happy,  it grows on ya!!!!",1124668800,"08 22, 2005",2005,332,"['DVD', 'ya', 'fun', 'concert', 'Crystal', 'blue', 'persuasion', 'crimson', 'clover', 'hanky', 'panky', 'think', 'were', 'alone', 'now', 'mony', 'mony', 'drag', 'line', 'was', 'great', 'song', 'tighter', 'just', ""did't"", 'sound', 'good', 'Other', 'sounded', 'excellent', 'hope', 'DVD', 'still', 'will', 'allway', 'love', 'voice', 'music']",N/A
559210,A11ED8O95W2103,B00004YKQ3,"lighten_up_already2 ""lighten_up_already2""","[4, 4]","This concert was recorded at a small club, not an arena.  You get a high quality image and an very ""up close and personal"" feel.  And, all the hits I remember are on this concert.  If you are a fan of Tommy James, this should definitely be in your DVD collection, and hopefully played through a good sound system when you watch it.",5,Wonderful blast from the past!,1140307200,"02 19, 2006",2006,331,"['concert', 'was', 'recorded', 'small', 'club', 'not', 'arena', 'get', 'high', 'quality', 'image', 'very', 'close', 'personal', 'feel', 'hits', 'remember', 'are', 'concert', 'are', 'fan', 'Tommy', 'James', 'should', 'definitely', 'be', 'DVD', 'collection', 'hopefully', 'played', 'good', 'sound', 'system', 'when', 'watch']",N/A
559211,A2DCHHEL94VYRB,B00004YKQ3,"P. R.. Fectionist ""art enthusiast""","[0, 0]","It is good for what it is.  But this is Tommy James playing in a little pub in NYC with about 20 people in it.  There's no ""stage presence"" which uses cheesy lighting.  There's no quality video production as apparent amateurs record from a couple different locations.  But the sound is OK (being better than you would think for a pub setting).  Just be aware what you are buying so as to not be disappointed, as I was.",2,"Definitely not a professional ""in concert"" production.",1380240000,"09 27, 2013",2013,418,"['good', 'what', 'Tommy', 'James', 'playing', 'little', 'pub', 'NYC', 'about', '20', 'people', 'stage', 'presence', 'cheesy', 'lighting', 'quality', 'video', 'production', 'apparent', 'amateurs', 'record', 'couple', 'different', 'locations', 'sound', 'OK', 'being', 'better', 'would', 'think', 'pub', 'setting', 'Just', 'be', 'aware', 'what', 'are', 'buying', 'so', 'as', 'not', 'be', 'disappointed', 'was']",N/A
