,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
561578,A1PB2W640Z87RJ,B00004Z4WR,"Abhilash.R ""The Sagittarian""","[3, 4]","What in concept seems to be a good movie, eventually turns out to be a bad investment. Nicholas Cage is Memphis Raynes, a man renowned all over the region as the best car-jacker ever. Only now, he is retired from his criminal past and has a legitimate garage business. When his sorry-for-a-brother gets involved with a car smuggler who vows to kill him, Memphis must save him by agreeing to jack 50 rare top class cars in a very short span of time. If he fails to deliver all the cars in pristine condition within the stipulated time, his brother would eventually die (I wish he would).This premise is enough to describe this total hash of a movie. Memphis gathers his old team of ex-cons and together they set out on this ridiculous journey. I call it ridiculous because the way the movie was made is cheezy and with production values like this, a B-rated movie has greater dignity. At no point in the movie can you relate to the characters in anyway whatsoever. Angelina Jolie is just a bundle of looks, but has absolutely no role in the movie, save for a kiss!. The humour is dry and out of context most of the time as is the timing of some sequences. What bothers me is that in these type of movies, the protagonists never fear for the worst i.e they dont worry somebody might die and they show a sense of coolness which is misplaced. Robert Duvall as Cage's mentor is a saving grace who manages to bring some shine into an otherwise lacklustre plot. In a movie where all the guys are supposedly cool criminals, the director tries to show sentimental brotherly love b/w two protagonists, but ends up bringing you a good anaesthetic. The rest of the actors need not be mentioned. There aren't any 'actors' except the cop.The only reason this movie might deserve a 2 star is for its cars. Some are beautiful, but most of the movie is dark in picture, thus casting a gloomy picture  on everything.  The scene where Cage 'talks' to a car is rather funny. (Funny as in, crazy !). Dominic Sena, who gave us Swordfish, was probably in a bad mood when he created this one. Only the last car chase is pretty memorable, if not for the car, which Sena did not create !.Overall, avoid it if you can. It is not the same as the cult classic of the same name that was released in 1974. If you really want to see a good car chase movie that is both authentic and jaw-dropping, watch Ronin or Vanishing Point. Both are uber classics any enthusiast shouldn't miss. Only if you are out of options and dont have anything else to watch, then watch Gone in 60 Seconds......for just 60 sceonds!.",2,It doesn't get any sillier....,1099008000,"10 29, 2004",2004,2576,"['What', 'concept', 'be', 'good', 'movie', 'eventually', 'out', 'be', 'bad', 'investment', 'Nicholas', 'Cage', 'Memphis', 'Raynes', 'man', 'renowned', 'region', 'best', 'car-jacker', 'ever', 'Only', 'now', 'retired', 'criminal', 'past', 'legitimate', 'garage', 'business', 'When', 'sorry-for-a-brother', 'involved', 'car', 'smuggler', 'who', 'kill', 'Memphis', 'must', 'save', 'agreeing', 'jack', '50', 'rare', 'top', 'class', 'cars', 'very', 'short', 'span', 'time', 'deliver', 'cars', 'pristine', 'condition', 'stipulated', 'time', 'brother', 'would', 'eventually', 'die', 'wish', 'would', '.This', 'premise', 'enough', 'describe', 'total', 'hash', 'movie', 'Memphis', 'old', 'team', 'ex-cons', 'together', 'set', 'out', 'ridiculous', 'journey', 'call', 'ridiculous', 'way', 'movie', 'was', 'made', 'cheezy', 'production', 'values', 'B-rated', 'movie', 'greater', 'dignity', 'point', 'movie', 'can', 'relate', 'characters', 'anyway', 'whatsoever', 'Angelina', 'Jolie', 'just', 'bundle', 'looks', 'absolutely', 'role', 'movie', 'save', 'kiss', 'humour', 'dry', 'context', 'most', 'time', 'timing', 'sequences', 'What', 'type', 'movies', 'protagonists', 'never', 'fear', 'worst', 'i.e', 'dont', 'worry', 'somebody', 'might', 'die', 'show', 'sense', 'coolness', 'misplaced', 'Robert', 'Duvall', 'Cage', 'mentor', 'saving', 'grace', 'who', 'bring', 'shine', 'otherwise', 'lacklustre', 'plot', 'movie', 'where', 'guys', 'are', 'supposedly', 'cool', 'criminals', 'director', 'show', 'sentimental', 'brotherly', 'love', 'b/w', 'two', 'protagonists', 'up', 'bringing', 'good', 'anaesthetic', 'rest', 'actors', 'need', 'not', 'be', 'mentioned', 'are', ""n't"", ""'actors"", 'cop.The', 'only', 'reason', 'movie', 'might', 'deserve', '2', 'star', 'cars', 'are', 'beautiful', 'most', 'movie', 'dark', 'picture', 'thus', 'casting', 'gloomy', 'picture', 'everything', 'scene', 'where', 'Cage', 'car', 'rather', 'funny', 'Funny', 'crazy', 'Dominic', 'Sena', 'who', 'gave', 'Swordfish', 'was', 'probably', 'bad', 'mood', 'when', 'created', 'one', 'Only', 'last', 'car', 'chase', 'pretty', 'memorable', 'not', 'car', 'Sena', 'did', 'not', 'create', '.Overall', 'avoid', 'can', 'not', 'same', 'cult', 'classic', 'same', 'name', 'was', 'released', '1974', 'really', 'want', 'see', 'good', 'car', 'chase', 'movie', 'authentic', 'jaw-dropping', 'watch', 'Ronin', 'Vanishing', 'Point', 'are', 'uber', 'classics', 'enthusiast', 'should', ""n't"", 'miss', 'Only', 'are', 'options', 'dont', 'have', 'anything', 'else', 'watch', 'then', 'watch', 'Gone', '60', 'Seconds', 'just', '60', 'sceonds']",Gone in 60 Seconds
561579,A22AD8M2SSOFHJ,B00004Z4WR,"A. C. Ege/Acedoh ""acedoh""","[20, 22]",I have had the chance to watch several movies in BluRay and HD DVD.  This movie stays to it's wonderful action and great story.  Although if you are looking for a movie with an excellent picture this one is not it.  Not having this movie on DVD helped make the purchase easier.  I have always enjoyed the intense action and the excellent acting which don't always go together.  Overall that is what makes this an excellent fun film to watch.Now on the Blu Ray scale.  In many Blu Ray movies you either get two things.  A picture that is almost crystal clear with no distortion or a movie with grainy hd picture.  I was disappointed when I made this my first blu ray movie.  I almost began to think that this was a blu ray standard.  Although after watching other movies I know better.  I don't believe they spent as much time as they should have transferring this movie over to hd.  That is generally the problem with some movies.  And for the price of Blu Ray players and the Blue Ray Discs you should only have the best picture.  So I only consider this a worthwhile investment for people who have either never seen the movie or have not bought the dvd version.,4,Great movie but not the best Blu Ray quality.,1170979200,"02 9, 2007",2007,1163,"['have', 'had', 'chance', 'watch', 'several', 'movies', 'BluRay', 'HD', 'DVD', 'movie', 'wonderful', 'action', 'great', 'story', 'are', 'looking', 'movie', 'excellent', 'picture', 'one', 'not', 'Not', 'having', 'movie', 'DVD', 'helped', 'make', 'purchase', 'easier', 'have', 'always', 'enjoyed', 'intense', 'action', 'excellent', 'acting', 'do', ""n't"", 'always', 'go', 'together', 'Overall', 'what', 'excellent', 'fun', 'film', 'watch.Now', 'Blu', 'Ray', 'scale', 'many', 'Blu', 'Ray', 'movies', 'either', 'get', 'two', 'things', 'picture', 'almost', 'crystal', 'clear', 'distortion', 'movie', 'grainy', 'hd', 'picture', 'was', 'disappointed', 'when', 'made', 'first', 'blu', 'ray', 'movie', 'almost', 'began', 'think', 'was', 'blu', 'ray', 'standard', 'watching', 'other', 'movies', 'know', 'better', 'do', ""n't"", 'believe', 'spent', 'much', 'time', 'should', 'have', 'transferring', 'movie', 'hd', 'generally', 'problem', 'movies', 'price', 'Blu', 'Ray', 'players', 'Blue', 'Ray', 'Discs', 'should', 'only', 'have', 'best', 'picture', 'So', 'only', 'consider', 'worthwhile', 'investment', 'people', 'who', 'have', 'never', 'seen', 'movie', 'have', 'not', 'bought', 'dvd', 'version']",Gone in 60 Seconds
561580,A1K3WK2QHB8397,B00004Z4WR,A Customer,"[0, 1]","I should have been gone from the theater in 60 seconds instead of sitting through this nonsense.  Cage and his crew attempt to steal a number of cars over the course of an evening in order to keep Cage's brother from getting killed by this cheesy gangster with a terrible accent.  From watching the previews, I had expected some neat car chases, but I forgot the first rule that movie previews, like your local recruiter, lie.  Cage of course overacts, and the rest of the characters are just annoying.  I've never seen the original Gone in 60 Seconds, but I'm sure that it's better than this trash.",1,Typical Bruckheimer Drek,982972800,"02 24, 2001",2001,599,"['should', 'have', 'been', 'gone', 'theater', '60', 'seconds', 'instead', 'sitting', 'nonsense', 'Cage', 'crew', 'attempt', 'steal', 'number', 'cars', 'course', 'evening', 'order', 'keep', 'Cage', 'brother', 'getting', 'killed', 'cheesy', 'gangster', 'terrible', 'accent', 'watching', 'previews', 'had', 'expected', 'neat', 'car', 'chases', 'forgot', 'first', 'rule', 'movie', 'previews', 'local', 'recruiter', 'lie', 'Cage', 'course', 'overacts', 'rest', 'characters', 'are', 'just', 'annoying', ""'ve"", 'never', 'seen', 'original', 'Gone', '60', 'Seconds', ""'m"", 'sure', 'better', 'trash']",Gone in 60 Seconds
561581,A3CGVO10F7NPMJ,B00004Z4WR,A Customer,"[1, 3]","When I first went to see &quot;Gone In 60 Seconds&quot;, I had never heard a word of it in previews or word-of-mouth. I never liked or could sit through any Nicholas Cage movies until this one though. Cage plays a rather lathargic Randall Raines, a reformed car theif who is unwillinglly drawn back into his old profession to save his younger brother Kip (The Wonder Years' Giovanni Ribisi) from death. Kip takes a car boosting job for the meanest car-theft ringleader in town (A part which even I could've played better than this guy), and faces the ultimate price for mistakes. To keep the big boss from killing his brother, Cage must round up old collegues to pull off the biggest boost of their lives. Some of his partners in crime include Angelina Jolie, Robert Duvall and my favorite...Vinnie Jones as The Sphinx. Each with his/her own special tallent, they work at moving 50 cars in 2 days to save little Raines. The one thing that kept the movie from running out of gas at the box-office I think, was the fact that they went in-depth as far as methods of boosting the cars...instead of knocking on someone's door and stealing the keys from the kitchen table. And there's a lot of laughs along the way that keep it from seeming like a re-run of CHIPS. Up-beat comedy makes the movie a lot better than it could've been, my favorite part was Nicholas Cage taunting a seriously ghettoed-out rival theif from inside a diner who was out kill him. The movie does have a few corney scenes that were obviously forced by a nerdy director...but the action, the laughs, and all the new stuff you learn about stealing cars these days is what makes it a good pick for me. I think this movies' like alcohol though, if you get in a car after it youre gonna feel like driving like a maniac. Nicholas Cage deffinately hits a mark with this one.",4,Good Movie...Cage Needs More Sleep,985651200,"03 27, 2001",2001,1834,"['When', 'first', 'went', 'see', 'quot', 'Gone', '60', 'Seconds', 'quot', 'had', 'never', 'heard', 'word', 'previews', 'word-of-mouth', 'never', 'liked', 'could', 'sit', 'Nicholas', 'Cage', 'movies', 'one', 'though', 'Cage', 'rather', 'lathargic', 'Randall', 'Raines', 'reformed', 'car', 'theif', 'who', 'unwillinglly', 'drawn', 'back', 'old', 'profession', 'save', 'younger', 'brother', 'Kip', 'Wonder', 'Years', 'Giovanni', 'Ribisi', 'death', 'Kip', 'car', 'boosting', 'job', 'meanest', 'car-theft', 'ringleader', 'town', 'A', 'part', 'even', 'could', ""'ve"", 'played', 'better', 'guy', 'ultimate', 'price', 'mistakes', 'keep', 'big', 'boss', 'killing', 'brother', 'Cage', 'must', 'round', 'up', 'old', 'collegues', 'pull', 'off', 'biggest', 'boost', 'lives', 'partners', 'crime', 'include', 'Angelina', 'Jolie', 'Robert', 'Duvall', 'favorite', 'Vinnie', 'Jones', 'Sphinx', 'his/her', 'own', 'special', 'tallent', 'work', 'moving', '50', 'cars', '2', 'days', 'save', 'little', 'Raines', 'one', 'thing', 'kept', 'movie', 'running', 'gas', 'box-office', 'think', 'was', 'fact', 'went', 'in-depth', 'as', 'far', 'methods', 'boosting', 'cars', 'instead', 'knocking', 'someone', 'door', 'stealing', 'keys', 'kitchen', 'table', 'lot', 'laughs', 'way', 'keep', 'seeming', 're-run', 'CHIPS', 'Up-beat', 'comedy', 'movie', 'lot', 'better', 'could', ""'ve"", 'been', 'favorite', 'part', 'was', 'Nicholas', 'Cage', 'taunting', 'seriously', 'ghettoed-out', 'rival', 'theif', 'diner', 'who', 'was', 'out', 'kill', 'movie', 'have', 'few', 'corney', 'scenes', 'were', 'obviously', 'forced', 'nerdy', 'director', 'action', 'laughs', 'new', 'stuff', 'learn', 'stealing', 'cars', 'days', 'what', 'good', 'pick', 'think', 'movies', 'alcohol', 'get', 'car', 'feel', 'driving', 'maniac', 'Cage', 'deffinately', 'mark', 'one']",Gone in 60 Seconds
561582,A3LF2DJ3LEGJ9H,B00004Z4WR,"Adam Theo ""Adam THEO""","[0, 1]","I've seen this movie many times, and each time I've really enjoyed watching it. I like the camera work, the plot, the characters, and also the soundtrack. The only thing I really don't like about the movie is that in the story, the police begin shooting at the young carjackers without any provocation. I doubt the cops of a plush suburban area would just start blazing away at a small group of carjackers that have not attacked first.",5,"Plot, Characters, & Soundtrack",1318032000,"10 8, 2011",2011,435,"[""'ve"", 'seen', 'movie', 'many', 'times', 'time', ""'ve"", 'really', 'enjoyed', 'watching', 'camera', 'work', 'plot', 'characters', 'also', 'soundtrack', 'only', 'thing', 'really', 'do', ""n't"", 'like', 'movie', 'story', 'police', 'begin', 'shooting', 'young', 'carjackers', 'provocation', 'doubt', 'cops', 'plush', 'suburban', 'area', 'would', 'just', 'start', 'blazing', 'away', 'small', 'group', 'carjackers', 'have', 'not', 'attacked', 'first']",Gone in 60 Seconds
561583,AWXH63WE2TL2S,B00004Z4WR,"Adelknight Seven ""oodleman_aka_mazza_2k3""","[1, 1]","This movie is about a car heist that goes awry. In the beginning we see a lot of action, and then it just builds up until the end of the movie, the climax.This movie features awesome cars, stunts, and story. It's about a retired car thief (Nicholas Cage plays the guy-named Memphis in the movie) who must return to car stealing to save his brother's life. What ensues is perhaps the best car movie I have ever seen. It was downright exciting and fast paced.",5,exciting and fast paced,1045872000,"02 22, 2003",2003,457,"['movie', 'car', 'heist', 'awry', 'beginning', 'see', 'lot', 'action', 'then', 'just', 'up', 'end', 'movie', 'climax.This', 'movie', 'awesome', 'cars', 'stunts', 'story', 'retired', 'car', 'thief', 'Nicholas', 'Cage', 'guy-named', 'Memphis', 'movie', 'who', 'must', 'return', 'car', 'stealing', 'save', 'brother', 'life', 'What', 'perhaps', 'best', 'car', 'movie', 'have', 'ever', 'seen', 'was', 'downright', 'exciting', 'fast', 'paced']",Gone in 60 Seconds
561584,A1AUOVXPT5MYX4,B00004Z4WR,"A. Hutchinson ""Boogie Down Bronx""","[0, 0]","I thought that this was one of the best action movies I have seen during that year it came out. First of all, it got your adrenaline up, which to me is important. Second of all, it depicts American love for cars and life style in a very accurate way. The way Cage talks and names cars and begs them to be good to him, all that is very specific to this country's culture and if you've ever been to Los Angeles, it makes even more sense. The movie points out that a car is more important then money, then women, then sex and though, not many will agree that it's a positive description, it is true of many people's feeling about it. This movie starts out with Memphis Raines (Nicolas Cage) who is a retired car thief. After his younger brother Kip (Giovanni Ribisi) blows a big job for top villain The Carpenter the older Raines is forced out of retirement to save his brothers life. The cost? He has 72 hours to steal 50 top range cars.Dominic Sena pilots this basic plot making his intentions clear from the outset with a dazzling high speed chase. Once Memphis is on the scene he has to assemble a crew to help boost the 50 cars on his shopping list on a one night marathon. The supporting actors are good, seeming to vault effortlessly around the poorer parts of Scott Rosenberg's screenplay. Robert Duval deserves a special mention as Otto, Memphis's mentor and teacher. Delroy Lindo is good as the nemesis in the police Detective Castlebeck. Angelina Jolie as Sway, the love interest, has only a minor impact on the proceedings. The real stars of this film are the cars.The actors uniformly do a good job with the thin script.The actions, especially the final chase, are breath taking, although the actors get mired in the slightly sickly sweet 'brotherly love' theme. With no real twists or complex plotting this is a movie you can sit and watch over and over. Bruckheimer knows his stuff... HELL YEAAAAAAH!",4,"HELL YEAAAAAH!!!!!!!,",1182211200,"06 19, 2007",2007,1912,"['thought', 'was', 'one', 'best', 'action', 'movies', 'have', 'seen', 'year', 'came', 'out', 'First', 'all', 'got', 'adrenaline', 'up', 'important', 'Second', 'American', 'love', 'cars', 'life', 'style', 'very', 'accurate', 'way', 'way', 'Cage', 'talks', 'names', 'cars', 'begs', 'be', 'good', 'very', 'specific', 'country', 'culture', ""'ve"", 'ever', 'been', 'Los', 'Angeles', 'even', 'more', 'sense', 'movie', 'out', 'car', 'more', 'important', 'then', 'money', 'then', 'women', 'then', 'sex', 'not', 'many', 'will', 'agree', 'positive', 'description', 'true', 'many', 'people', 'feeling', 'movie', 'out', 'Memphis', 'Raines', 'Nicolas', 'Cage', 'who', 'retired', 'car', 'thief', 'younger', 'brother', 'Kip', 'Giovanni', 'Ribisi', 'big', 'job', 'top', 'villain', 'Carpenter', 'older', 'Raines', 'forced', 'retirement', 'save', 'brothers', 'life', 'cost', '72', 'hours', 'steal', '50', 'top', 'range', 'cars.Dominic', 'Sena', 'pilots', 'basic', 'plot', 'making', 'intentions', 'clear', 'outset', 'dazzling', 'high', 'speed', 'chase', 'Memphis', 'scene', 'assemble', 'crew', 'help', 'boost', '50', 'cars', 'shopping', 'list', 'one', 'night', 'marathon', 'supporting', 'actors', 'are', 'good', 'seeming', 'vault', 'effortlessly', 'poorer', 'parts', 'Scott', 'Rosenberg', 'screenplay', 'Robert', 'Duval', 'special', 'mention', 'Otto', 'Memphis', 'mentor', 'teacher', 'Delroy', 'Lindo', 'good', 'nemesis', 'police', 'Detective', 'Castlebeck', 'Angelina', 'Jolie', 'Sway', 'love', 'interest', 'only', 'minor', 'impact', 'proceedings', 'real', 'stars', 'film', 'are', 'cars.The', 'actors', 'uniformly', 'do', 'good', 'job', 'thin', 'script.The', 'actions', 'especially', 'final', 'chase', 'are', 'breath', 'taking', 'actors', 'get', 'mired', 'slightly', 'sickly', 'sweet', ""'brotherly"", 'love', 'theme', 'real', 'twists', 'complex', 'plotting', 'movie', 'can', 'sit', 'watch', 'over', 'Bruckheimer', 'stuff', 'HELL', 'YEAAAAAAH']",Gone in 60 Seconds
561585,A14CQVQMIPNZE,B00004Z4WR,ajones102608,"[0, 0]",Nicholas Cage is already a good actor...and Angelina Jolie just adds the touch this movie needs to make this a good film.,5,Action,1376784000,"08 18, 2013",2013,121,"['Nicholas', 'Cage', 'already', 'good', 'actor', 'Angelina', 'Jolie', 'just', 'touch', 'movie', 'make', 'good', 'film']",Gone in 60 Seconds
561586,A3EBHHCZO6V2A4,B00004Z4WR,"Amaranth ""music fan""","[1, 3]","Is it possible that there are boring Angelina Jolie movies? Yes, and this movie is proof of it. Forget the stylishness of ""Gia"" and the campy fun of ""Hackers"" (or ""Tomb Raider""), Angelina Jolie has a barely existent role in this movie,and it's a crashing bore.""Gone in 60 Seconds"" opens with Kip (Giovanni Ribisi) wrecking a car theft-figuratively and literally. His older brother,the bland Memphis (Nicolas Cage) comes to his rescue. Christopher Eccleston has a brief role as the villain who tells Memphis to steal 50 cars in 4 days or else. Nicolas Cage goes to his mentor,Robert Duvall (this isn't the first boring movie Duvall has been in-check ""Deep Impact"") Duvall is annoyed (like the audience) that Memphis has returned to his car-stealing ways. Memphis seeks out recruits,among them the barmaid Sway (Angelina Jolie) who has astounding blonde dreadlocks. Despite Angelina's presence,the movie becomes increasingly boring,bogged down with dull exposition,bland dialogue,and Nicolas Cage's reliably lifeless performance.""Gone in 60 Seconds"" is so booooring you'll be gone after 30 minutes.",1,Gone after a half hour,1199404800,"01 4, 2008",2008,1096,"['possible', 'are', 'boring', 'Angelina', 'Jolie', 'movies', 'Yes', 'movie', 'proof', 'Forget', 'stylishness', 'Gia', 'campy', 'fun', 'Hackers', 'Tomb', 'Raider', 'Angelina', 'Jolie', 'barely', 'existent', 'role', 'movie', 'crashing', 'bore', 'Gone', '60', 'Seconds', 'Kip', 'Giovanni', 'Ribisi', 'wrecking', 'car', 'theft-figuratively', 'literally', 'older', 'brother', 'bland', 'Memphis', 'Nicolas', 'Cage', 'rescue', 'Christopher', 'Eccleston', 'brief', 'role', 'villain', 'who', 'Memphis', 'steal', '50', 'cars', '4', 'days', 'else', 'Nicolas', 'Cage', 'mentor', 'Robert', 'Duvall', ""n't"", 'first', 'boring', 'movie', 'Duvall', 'been', 'in-check', 'Deep', 'Impact', 'Duvall', 'annoyed', 'audience', 'Memphis', 'returned', 'car-stealing', 'ways', 'Memphis', 'out', 'recruits', 'barmaid', 'Sway', 'Angelina', 'Jolie', 'who', 'astounding', 'blonde', 'dreadlocks', 'Angelina', 'presence', 'movie', 'increasingly', 'boring', 'bogged', 'down', 'dull', 'exposition', 'bland', 'dialogue', 'Nicolas', 'Cage', 'reliably', 'lifeless', 'performance', 'Gone', '60', 'Seconds', 'so', 'booooring', ""'ll"", 'be', 'gone', '30', 'minutes']",Gone in 60 Seconds
561587,A31RM5QU797HPJ,B00004Z4WR,Amazon Customer,"[1, 2]","Memphis (Cage) is a retired car thife.  He must steal 50 cars in 72 hours, or his brother gets killed.  With that said, the movie is a good action flick with plenty of nice car chases.  I don't get why people hate this movie.",5,"""The Ladies are dirty""",1035417600,"10 24, 2002",2002,225,"['Memphis', 'Cage', 'retired', 'car', 'thife', 'must', 'steal', '50', 'cars', '72', 'hours', 'brother', 'killed', 'said', 'movie', 'good', 'action', 'flick', 'plenty', 'nice', 'car', 'chases', 'do', ""n't"", 'get', 'why', 'people', 'hate', 'movie']",Gone in 60 Seconds
