,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
566306,A13ECO05S0YUCY,B0000541TL,1981bendover,"[0, 0]","Urban Legends: Final Cut is the sequel to 1998's Urban Legend. It's not quite as good as the first, but it's pretty entertaining itself. The first time I saw this movie was ten years ago, and I hated it because at the time I didn't appreciate humor in horror movies. Now I do appreciate it, and Urban Legends: Final Cut was way better on second viewing. It's full of cheese and campy moments, thanks to Loretta Devine and Jessica Cauffiel, who basically plays the same dumb blonde character she played in Valentine and both Legally Blonde films. Also, the killer in this one is great, with a creepy mask. If you thought Urban Legends: Final Cut sucked when you saw it several years ago, you should check it out again. It works more as a campy slasher-comedy than as a serious horror movie. And if you go in expecting a campy slasher-comedy, you should enjoy it.",4,"Second 'Cut' Not Quite As Good As The First, But...",1305763200,"05 19, 2011",2011,861,"['Urban', 'Legends', 'Final', 'Cut', 'sequel', '1998', 'Urban', 'Legend', 'not', 'quite', 'as', 'good', 'first', 'pretty', 'entertaining', 'first', 'time', 'saw', 'movie', 'was', 'ten', 'years', 'ago', 'hated', 'time', 'did', ""n't"", 'appreciate', 'humor', 'horror', 'movies', 'Now', 'do', 'appreciate', 'Urban', 'Legends', 'Final', 'Cut', 'was', 'way', 'better', 'second', 'viewing', 'full', 'cheese', 'campy', 'moments', 'thanks', 'Loretta', 'Devine', 'Jessica', 'Cauffiel', 'who', 'basically', 'same', 'dumb', 'blonde', 'character', 'played', 'Valentine', 'Legally', 'Blonde', 'films', 'Also', 'killer', 'one', 'great', 'creepy', 'mask', 'thought', 'Urban', 'Legends', 'Final', 'Cut', 'sucked', 'when', 'saw', 'several', 'years', 'ago', 'should', 'check', 'out', 'again', 'more', 'campy', 'slasher-comedy', 'serious', 'horror', 'movie', 'go', 'expecting', 'campy', 'slasher-comedy', 'should', 'enjoy']",N/A
566307,A1VKEVP3GO1G9R,B0000541TL,Aaron Amos,"[0, 1]","This sequl has very little to do with the first movie! The only person from the first movie is the security guard. The plot has many holes it. This movie is Ok ,maybe it's better with commentary from the director? Watch this movie if you horror/slasher movies with little or no plot. This movie is a mainsteream movie so odd's you have seen it done before!! Urban Legands:Final Cut also rips off from the Scream movies in the types of situations the characters get killed!! The ending has the first killer as a nurse in a hospitla talking to this killer of this movie! The ending also has music from ""Afred Hitchcock Presents"" in the end credit? Could'nt they come up with some orginal music for this movie and the end credits?",2,sequel that has little to do with the first  movie!,991526400,"06 3, 2001",2001,727,"['sequl', 'very', 'little', 'do', 'first', 'movie', 'only', 'person', 'first', 'movie', 'security', 'guard', 'plot', 'many', 'holes', 'movie', 'Ok', 'maybe', 'better', 'commentary', 'director', 'Watch', 'movie', 'horror/slasher', 'movies', 'little', 'plot', 'movie', 'mainsteream', 'movie', 'odd', 'have', 'seen', 'done', 'Urban', 'Legands', 'Final', 'Cut', 'also', 'Scream', 'movies', 'types', 'situations', 'characters', 'get', 'killed', 'ending', 'first', 'killer', 'nurse', 'hospitla', 'talking', 'killer', 'movie', 'ending', 'also', 'music', 'Afred', 'Hitchcock', 'Presents', 'end', 'credit', ""Could'nt"", 'come', 'up', 'orginal', 'music', 'movie', 'end', 'credits']",N/A
566308,A3PIPHWD45VOGI,B0000541TL,Ace-of-Stars,"[1, 1]","*Based on the reviews I read before deciding to purchase this DVD, I expected ""Urban Legends: Final Cut"" to be a rip-off of the ""Scream"" trilogy ... And, to my great pleasure, It wasn't.Also, based on the reviews I read before deciding to purchase this DVD, I expected ""Urban Legends: Final Cut"" (a.k.a. ""Urban Legend 2"") to be an original and entirely independent project (not a rehash/continuation of the ""first"" movie of the same name) ... And, to my great pleasure, It was.It is not really possible to compare the two films and say emphatically that one was superior to the other, since, other than the Title, the [quote] return [unquote] of Loretta Devine's security officer character, and the concept of brutal murders being based on popular urban legends, the two films really have no connection with each other.This is what I was hoping for, because I couldn't be able to stand the idea of a continuation of a story that made little to no sense to me. Not to say that ""UL-1"" was not an enjoyable movie storywise, but I ended up hating it because they overplayed the ""winter coat"" angle of story to such a ridiculous extent that it fell by the wayside as being way too forcably contrived and disingenuous.Fortunately, ""UL-2"" played it more straight and made its stalker dozens of times more believable, though not quite as menacing. And apart from the grizzly ""kidney operation"" sequence near the beginning of the film, I thoroughly enjoyed the refreshing break that this particular ""slasher film"" had to offer by playing it more for chills and suspense rather than for the typical gratuitous blood, guts and gore.The ""movie within a movie"" concept was equally effective, keeping the viewer guessing constantly-- even right down to the very last moments of the movie --about what was taking place and how it all fit together.Admittedly, this film can't come even close to touching any of the ""Scream"" movies, but it is still a compelling and coherent suspense-thriller with a number of (occasionally humorous) twists and turns which make for an enjoyable-- though not extraordinarily scary --edge-of-the-seat ride that's well worth the price of purchase.",4,"""Splice-&-Dice""",1015372800,"03 6, 2002",2002,2161,"['*Based', 'reviews', 'read', 'deciding', 'purchase', 'DVD', 'expected', 'Urban', 'Final', 'Cut', 'be', 'rip-off', 'Scream', 'trilogy', 'great', 'pleasure', ""wasn't.Also"", 'based', 'reviews', 'read', 'deciding', 'purchase', 'DVD', 'expected', 'Urban', 'Final', 'Cut', 'a.k.a', 'Urban', 'Legend', '2', 'be', 'original', 'entirely', 'independent', 'project', 'not', 'rehash/continuation', 'first', 'movie', 'same', 'name', 'great', 'pleasure', 'not', 'really', 'possible', 'compare', 'two', 'films', 'say', 'emphatically', 'one', 'was', 'superior', 'other', 'other', 'Title', '[', 'quote', ']', 'return', '[', 'unquote', ']', 'Loretta', 'Devine', 'security', 'officer', 'character', 'concept', 'brutal', 'murders', 'being', 'based', 'popular', 'urban', 'legends', 'two', 'films', 'really', 'have', 'connection', 'other.This', 'what', 'was', 'hoping', 'could', ""n't"", 'be', 'able', 'stand', 'idea', 'continuation', 'story', 'made', 'little', 'sense', 'Not', 'say', 'UL-1', 'was', 'not', 'enjoyable', 'movie', 'storywise', 'ended', 'up', 'hating', 'overplayed', 'winter', 'coat', 'angle', 'story', 'ridiculous', 'extent', 'fell', 'wayside', 'being', 'way', 'too', 'forcably', 'contrived', 'disingenuous.Fortunately', 'UL-2', 'played', 'more', 'straight', 'made', 'stalker', 'dozens', 'times', 'more', 'believable', 'not', 'quite', 'menacing', 'apart', 'grizzly', 'kidney', 'operation', 'sequence', 'beginning', 'film', 'thoroughly', 'enjoyed', 'refreshing', 'break', 'particular', 'slasher', 'film', 'had', 'offer', 'playing', 'more', 'chills', 'suspense', 'rather', 'typical', 'gratuitous', 'blood', 'guts', 'gore.The', 'movie', 'movie', 'concept', 'was', 'equally', 'effective', 'keeping', 'viewer', 'guessing', 'constantly', 'even', 'right', 'down', 'very', 'last', 'moments', 'movie', 'what', 'was', 'taking', 'place', 'how', 'fit', 'together.Admittedly', 'film', 'ca', ""n't"", 'come', 'even', 'close', 'touching', 'Scream', 'movies', 'still', 'compelling', 'coherent', 'suspense-thriller', 'number', 'occasionally', 'humorous', 'twists', 'turns', 'make', 'enjoyable', 'not', 'extraordinarily', 'scary', 'edge-of-the-seat', 'ride', 'well', 'price', 'purchase']",N/A
566309,ACNSO2AJWRO3D,B0000541TL,"Al ""met-al""","[1, 2]",99 mins of suck..good thing i don't have a life..some nudity (eva mendes' fun bags?) definitely would have raised this movie another star..couldn't wait to look at the talent files(he he)after the movie was over..can't wait for the next one,1,URBAN CRAP,1136246400,"01 3, 2006",2006,240,"['99', 'mins', 'suck..good', 'thing', 'i', 'do', ""n't"", 'have', 'life..some', 'nudity', 'eva', 'mendes', 'fun', 'bags', 'definitely', 'would', 'have', 'raised', 'movie', 'star..could', ""n't"", 'wait', 'look', 'talent', 'files', 'movie', 'was', 'over..ca', ""n't"", 'wait', 'next', 'one']",N/A
566310,AO1TOG5CBJW9I,B0000541TL,Alucard,"[2, 2]","This is easily one of the worst films ever made. John Ottman's bogus entry into the slasher genere is laughable. This film isn't scary, nor does it even come close. The gore isn't even half as bad as many people say it is. There was only two scenes where the gore was somewhat high, and still, it wasn't even that bad, becuase it's really fake and only is on screen for about 3 seconds.The first UL was an ok movie, with some good suspense scenes. This UL basically says &quot;WE DON'T NEED NO STINKIN SUSPENSE!!!!&quot; and you're left with laughably stupid death scenes that aren't scary. Is it just me, or did the killer look so stupid, it was unbelieved? Not once in any horror film have I sceen has there been a killer that looked so stupid, then in this one, a shmuck in a fencing mask. Even in the first UL, the killer had a somewhat scary appearance. This one, nope, he isn't scary.Another thing, In a slasher movie, aren't the deaths supposed to be slashings? Well, why don't you tell that to the screenwriters. There's only one slashing in this film, and you can barely see it happening due to shoddy direction. As for the other death scenes, they include a deranged window cil, a camera lens with a vengence , two electrocutions (also hampered by shoddy directing), and a hanging. I didn't care less about what was actually happening in the movie, since it made no sense at all. So, I found myself waiting for death scenes, and since most were drab, that didn't save the movie.Also, this film blatantly rips off the blair witch project. It's hilarious.And the killer's motive is laughable. I laughed my way through the pitiful finale. &quot;Those who can't do, Teach!!!&quot; LOL!!!!!!A rotten screenplay, bad acting, awful directing, need I say more? This film blows, don't waste your time",1,"Lousy, Crappy, and Stupid",994291200,"07 5, 2001",2001,1801,"['easily', 'one', 'worst', 'films', 'ever', 'made', 'John', 'Ottman', 'bogus', 'entry', 'slasher', 'genere', 'laughable', 'film', ""n't"", 'scary', 'even', 'come', 'close', 'gore', ""n't"", 'even', 'half', 'as', 'bad', 'many', 'people', 'say', 'was', 'only', 'two', 'scenes', 'where', 'gore', 'was', 'somewhat', 'high', 'still', 'was', ""n't"", 'even', 'bad', 'becuase', 'really', 'fake', 'only', 'screen', '3', 'seconds.The', 'first', 'UL', 'was', 'ok', 'movie', 'good', 'suspense', 'scenes', 'UL', 'basically', 'quot', 'WE', 'DO', ""N'T"", 'NEED', 'NO', 'STINKIN', 'SUSPENSE', 'quot', ""'re"", 'left', 'laughably', 'stupid', 'death', 'scenes', 'are', ""n't"", 'scary', 'just', 'did', 'killer', 'look', 'so', 'stupid', 'was', 'unbelieved', 'Not', 'once', 'horror', 'film', 'have', 'sceen', 'there', 'been', 'killer', 'looked', 'so', 'stupid', 'then', 'one', 'shmuck', 'fencing', 'mask', 'Even', 'first', 'UL', 'killer', 'had', 'somewhat', 'scary', 'appearance', 'one', 'nope', ""n't"", 'scary.Another', 'thing', 'slasher', 'movie', 'are', ""n't"", 'deaths', 'supposed', 'be', 'slashings', 'Well', 'why', 'do', ""n't"", 'tell', 'screenwriters', 'only', 'one', 'slashing', 'film', 'can', 'barely', 'see', 'happening', 'due', 'shoddy', 'direction', 'other', 'death', 'scenes', 'include', 'deranged', 'window', 'cil', 'camera', 'vengence', 'two', 'electrocutions', 'also', 'hampered', 'shoddy', 'directing', 'hanging', 'did', ""n't"", 'care', 'less', 'what', 'was', 'actually', 'happening', 'movie', 'made', 'sense', 'So', 'found', 'waiting', 'death', 'scenes', 'most', 'were', 'drab', 'did', ""n't"", 'save', 'movie.Also', 'film', 'blatantly', 'blair', 'witch', 'project', 'killer', 'motive', 'laughable', 'laughed', 'way', 'pitiful', 'finale', 'quot', 'who', 'ca', ""n't"", 'do', 'Teach', 'quot', 'LOL', 'rotten', 'screenplay', 'bad', 'acting', 'awful', 'directing', 'need', 'say', 'more', 'film', 'blows', 'do', ""n't"", 'waste', 'time']",N/A
566311,A2GANR9I6XHTU9,B0000541TL,Amy Lynn,"[1, 2]",The first urban legend was pretty good decent horror film but this sequal just sucks. The begining of the film is ok and you think it might be good but then as it gets further into the film it just gets worse and the ending is stupid. It leaves you saying is that it? It revolves around university students who are trying to get an acting award and all these deaths start occuring. It does keep you guessing until the end about who the killer is but the killer isnt even scary and wears a fencing mask and the story is lame/not well acted.I watched this 2 or 3 times and it dosent get better as you watch it gets worse every time. I wouldnt recomend this to anyone. Go watch the first one.,2,Not good,1078876800,"03 10, 2004",2004,689,"['first', 'urban', 'legend', 'was', 'pretty', 'good', 'decent', 'horror', 'film', 'sequal', 'just', 'sucks', 'begining', 'film', 'ok', 'think', 'might', 'be', 'good', 'then', 'further', 'film', 'just', 'worse', 'ending', 'stupid', 'saying', 'university', 'students', 'who', 'are', 'trying', 'get', 'acting', 'award', 'deaths', 'start', 'occuring', 'keep', 'guessing', 'end', 'who', 'killer', 'killer', 'isnt', 'even', 'scary', 'fencing', 'mask', 'story', 'lame/not', 'well', 'acted.I', 'watched', '2', '3', 'times', 'dosent', 'get', 'better', 'watch', 'worse', 'time', 'wouldnt', 'recomend', 'anyone', 'Go', 'first', 'one']",N/A
566312,ANCOMAI0I7LVG,B0000541TL,Andrew Ellington,"[0, 1]","...why waste your time here?  That isn't to say that `Urban Legends: The Final Cut' doesn't do its job (it surely has it's moments of terror), but this film is truly a dime-a-dozen these days, and this is far from the top of the pack.  In fact, the original `Urban Legend' film scared the daylights out of me, and while it wasn't quite on par with its obvious influence (`Scream'), it still remains one of my favorite `slasher' films.This is a huge step backwards.The film is heavy on the cheese factor (even the whole premise of a girl trying to receive a coveted Hitchcock award by serving up glorified snuff is rather preposterous) and the acting is serviceable at best, and the whole `he has a twin' aspect of the film borders on laughable, BUT when it hits it hits quite well, and even though we've seen it before (the film is not ashamed of the amount of scenes it borrows from better films) it is still pretty scary.I did like the updated mask.In the end though, there really isn't any reason to see this film.  If you are a huge fan of the genre and want to see something new (that is, if you haven't already seen this, which I'm pretty sure you have) then I can understand a moderate interest in seeing the film at least once, and I'd encourage that, but if you have seen the film then I really don't understand the need to see it again.Well, unless you want it fresh on your mind for a review!",2,With so many other films out there...,1267574400,"03 3, 2010",2010,1403,"['why', 'waste', 'time', 'here', ""n't"", 'say', 'Urban', 'Legends', 'Final', 'Cut', ""n't"", 'do', 'job', 'surely', 'moments', 'terror', 'film', 'truly', 'dime-a-dozen', 'days', 'far', 'top', 'pack', 'fact', 'original', 'Urban', 'Legend', 'film', 'scared', 'daylights', 'was', ""n't"", 'quite', 'par', 'obvious', 'influence', 'Scream', 'still', 'one', 'favorite', 'slasher', 'films.This', 'huge', 'step', 'backwards.The', 'film', 'heavy', 'cheese', 'factor', 'even', 'whole', 'premise', 'girl', 'trying', 'receive', 'coveted', 'Hitchcock', 'award', 'serving', 'up', 'glorified', 'snuff', 'rather', 'preposterous', 'acting', 'serviceable', 'best', 'whole', 'twin', 'aspect', 'film', 'borders', 'laughable', 'BUT', 'when', 'quite', 'well', 'even', ""'ve"", 'seen', 'film', 'not', 'ashamed', 'amount', 'scenes', 'better', 'films', 'still', 'pretty', 'scary.I', 'did', 'updated', 'mask.In', 'end', 'really', ""n't"", 'reason', 'see', 'film', 'are', 'huge', 'fan', 'genre', 'want', 'see', 'something', 'new', 'have', ""n't"", 'already', 'seen', ""'m"", 'pretty', 'sure', 'have', 'then', 'can', 'understand', 'moderate', 'interest', 'seeing', 'film', 'least', 'once', ""'d"", 'encourage', 'have', 'seen', 'film', 'then', 'really', 'do', ""n't"", 'understand', 'need', 'see', 'again.Well', 'want', 'fresh', 'mind', 'review']",N/A
566313,A1NV8HZTGKIPXQ,B0000541TL,"Barry ""Barrybgb""","[1, 1]","Urban Legends 2 is not a good movie. It makes the first film, which was fun and entertaining, look like Oscar material. This film, about a bunch of film students at a cold looking college campus working on student films who are stalked by a killer in a fencing outfit, is nowhere near as fun as the original. Jennifer Morrison as the heroine is cute and everything, but she's kinda boring. Former teen heartthrob, Joey Lawrence, is okay as a pompous rich kid. Loretta Devine, returning from the original, is, like in the first, the real standout. The killer's outfit is pushing it a little bit. I think filmmakers are running out of ideas for the killers. The ending isn't as well done as the original either. What are you going to do?. Urban Legends 2 is decent as a mindless horror sequel, but if you've seen the original, then there is no reason to see this. It's not as good or memorable or intelligent as any of the Scream sequels. A typical horror sequel. Nothing special.",2,Not As Fun As Original,1000080000,"09 10, 2001",2001,978,"['Urban', 'Legends', '2', 'not', 'good', 'movie', 'first', 'film', 'was', 'fun', 'entertaining', 'look', 'Oscar', 'material', 'film', 'bunch', 'film', 'students', 'cold', 'looking', 'college', 'campus', 'working', 'student', 'films', 'who', 'are', 'stalked', 'killer', 'fencing', 'outfit', 'nowhere', 'near', 'as', 'fun', 'original', 'Jennifer', 'Morrison', 'heroine', 'cute', 'everything', 'kinda', 'boring', 'Former', 'teen', 'heartthrob', 'Joey', 'Lawrence', 'okay', 'pompous', 'rich', 'kid', 'Loretta', 'Devine', 'returning', 'original', 'first', 'real', 'standout', 'killer', 'outfit', 'pushing', 'little', 'bit', 'think', 'filmmakers', 'are', 'running', 'ideas', 'killers', 'ending', ""n't"", 'as', 'well', 'done', 'original', 'What', 'are', 'going', 'do', 'Urban', '2', 'decent', 'mindless', 'horror', 'sequel', ""'ve"", 'seen', 'original', 'then', 'reason', 'see', 'not', 'as', 'good', 'memorable', 'intelligent', 'Scream', 'sequels', 'typical', 'horror', 'sequel', 'Nothing', 'special']",N/A
566314,AC32305TO79HL,B0000541TL,Bjorn Clasen,"[0, 0]","First of all, let me ,ake it clear that Urban Legends - Final Cut has nothing to do with Urban Legend. The characters are different, and it is in no way a sequel (except for a tiny link when the credits start). In fact, Urban Legends - Final Cut has very very little to do with urban legends at all! And this more than takes out the charm of the film. It's cheating marketing, a right out lie!, to give the film this title!But this annoying fact does not ruin the plot. Because there is no plot to ruin. The story is a mess, nothing fits together. In other words, the script and/or the cut is disasterous. And the acting, too, is very very poor!Why 2 stars then?, you may ask. Well, Urban Legends - Final Cut IS one of the most disgusting films I've seen, and despite the non-existing plot and the extremely bad making of this film, there are in fact one or two pretty good scares in it. Furthermore, there are a few (parodistic?) references to - or dialogues/scenes stolen from - the Scream films, I Know What You Did Last Summer, and even Alien.",2,Desperately Seeking... A Plot!,979344000,"01 13, 2001",2001,1047,"['First', 'let', 'ake', 'clear', 'Urban', 'Legends', 'Final', 'Cut', 'nothing', 'do', 'Urban', 'Legend', 'characters', 'are', 'different', 'way', 'sequel', 'tiny', 'link', 'when', 'credits', 'start', 'fact', 'Urban', 'Legends', 'Final', 'Cut', 'very', 'very', 'little', 'do', 'urban', 'legends', 'more', 'out', 'charm', 'film', 'cheating', 'marketing', 'right', 'out', 'lie', 'give', 'film', 'title', 'annoying', 'fact', 'not', 'ruin', 'plot', 'plot', 'ruin', 'story', 'mess', 'nothing', 'fits', 'together', 'other', 'words', 'script', 'cut', 'disasterous', 'acting', 'too', 'very', 'very', 'poor', 'Why', '2', 'stars', 'then', 'may', 'ask', 'Well', 'Urban', 'Legends', 'Final', 'Cut', 'IS', 'one', 'most', 'disgusting', 'films', ""'ve"", 'seen', 'non-existing', 'plot', 'extremely', 'bad', 'making', 'film', 'are', 'fact', 'one', 'two', 'pretty', 'good', 'scares', 'Furthermore', 'are', 'few', 'parodistic', 'dialogues/scenes', 'stolen', 'Scream', 'films', 'Know', 'What', 'Did', 'Last', 'Summer', 'even', 'Alien']",N/A
566315,A1T9CYRI08HZ9S,B0000541TL,Bobby Dillard,"[0, 1]","Urban Legends 2 takes place at a film school in which people are being murdered.  This film fails on many levels.  First, the thing that made the first film unique (having people die according to urban legends) doesn't happen that often in the film.  It's done a couple of times but then the film just resorts to standard slasher movie attacks.  Second, there are weak plot points that pop up from the unbelievable &quot;twin&quot; of a suicide victim and the fact that no one seems to want to track down people who have vanished.  (For example, the heroine sees someone being murdered on a surveillance camera but looses the video tape evidence after being pursued by the killer.  One would think that the campus security guard after having lived through some murders before would at least try to track down the person supposedly killed or investigate the scene of the alleged crime.  She doesn't do either.  She doesn't even deem it necessary to call the police to investigate the heroine's claim of being chased.)  There's no way to guess who the killer is since there are no clues dropped along the way.  About the only perk is at the very end of the film which I won't reveal, but it hardly makes up for the previous 86 minutesIf you like urban legends or a fairly good horror film, get the first Urban Legends movie and leave this one alone.",2,Lackluster Sequel,1085529600,"05 26, 2004",2004,1347,"['Urban', '2', 'place', 'film', 'school', 'people', 'are', 'being', 'murdered', 'film', 'many', 'levels', 'First', 'thing', 'made', 'first', 'film', 'unique', 'having', 'people', 'die', 'according', 'urban', 'legends', ""n't"", 'happen', 'often', 'film', 'done', 'couple', 'times', 'then', 'film', 'just', 'standard', 'slasher', 'movie', 'attacks', 'Second', 'are', 'weak', 'plot', 'points', 'pop', 'up', 'unbelievable', 'quot', 'quot', 'suicide', 'victim', 'fact', 'one', 'want', 'track', 'down', 'people', 'who', 'have', 'vanished', 'example', 'heroine', 'someone', 'being', 'murdered', 'surveillance', 'camera', 'video', 'tape', 'evidence', 'being', 'pursued', 'killer', 'One', 'would', 'think', 'campus', 'security', 'guard', 'having', 'lived', 'murders', 'before', 'would', 'least', 'try', 'track', 'down', 'person', 'supposedly', 'killed', 'investigate', 'scene', 'alleged', 'crime', ""n't"", 'do', 'either', ""n't"", 'even', 'deem', 'necessary', 'call', 'police', 'investigate', 'heroine', 'claim', 'being', 'chased', 'way', 'guess', 'who', 'killer', 'are', 'clues', 'dropped', 'way', 'only', 'perk', 'very', 'end', 'film', 'wo', ""n't"", 'reveal', 'hardly', 'up', 'previous', '86', 'minutesIf', 'urban', 'legends', 'fairly', 'good', 'horror', 'film', 'get', 'first', 'Urban', 'Legends', 'movie', 'leave', 'one', 'alone']",N/A
