,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
576119,ATIR0UK88NEYC,B00005A1VF,Bettie L. Jones,"[0, 1]",The Red Badge of Courage was taken from a Newberry Award book of the same name!  It is something that can be shown to youth in schools about the Civil Wart and how it effected one young man through his first battles.  It is an important film about a specific time in history and one young man's battle within himself through fear!,5,The Red Badge of Courage,1373587200,"07 12, 2013",2013,330,"['Red', 'Badge', 'Courage', 'was', 'taken', 'Newberry', 'Award', 'book', 'same', 'name', 'something', 'can', 'be', 'shown', 'youth', 'schools', 'Civil', 'Wart', 'how', 'effected', 'one', 'young', 'man', 'first', 'battles', 'important', 'film', 'specific', 'time', 'history', 'one', 'young', 'man', 'battle', 'fear']",The Red Badge of Courage VHS
576120,A2CW9IQAPFEYLM,B00005A1VF,Bomojaz,"[5, 6]","Butchered by studio heads after director John Huston had wrapped production and left to make THE AFRICAN QUEEN, this is one of Huston's finest pictures and a terrific adaptation of Stephen Crane's great Civil War novel. Audie Murphy plays Henry Fleming, the Union soldier who talks the talk about seeing action for the first time, but can't walk the walk when it finally comes, and flees in the middle of battle.Huston had filmed two battle scenes, though they were combined into one by the film editors; it's still the highlight of the picture and among the best battle scenes ever filmed, thanks mainly to the excellent photography by Harold Rosson. The original version that Huston shot is apparently lost forever, but this shortened one is still an excellent piece of movie making. Because the movie was so short, the studio sent it out as a ""B"" picture; considered as such it's probably the best ""B"" picture ever made.",5,Mangled but not totally destroyed,1148169600,"05 21, 2006",2006,923,"['Butchered', 'studio', 'heads', 'director', 'John', 'Huston', 'had', 'wrapped', 'production', 'left', 'make', 'THE', 'AFRICAN', 'QUEEN', 'one', 'Huston', 'finest', 'pictures', 'terrific', 'adaptation', 'Stephen', 'Crane', 'great', 'Civil', 'War', 'novel', 'Audie', 'Murphy', 'Henry', 'Fleming', 'Union', 'soldier', 'who', 'talk', 'seeing', 'action', 'first', 'time', 'ca', ""n't"", 'walk', 'walk', 'when', 'finally', 'flees', 'middle', 'battle.Huston', 'had', 'filmed', 'two', 'battle', 'scenes', 'were', 'combined', 'one', 'film', 'editors', 'still', 'highlight', 'picture', 'best', 'battle', 'scenes', 'ever', 'filmed', 'thanks', 'mainly', 'excellent', 'photography', 'Harold', 'Rosson', 'original', 'version', 'Huston', 'shot', 'apparently', 'lost', 'forever', 'shortened', 'one', 'still', 'excellent', 'piece', 'movie', 'making', 'movie', 'was', 'so', 'short', 'studio', 'sent', 'out', 'B', 'picture', 'considered', 'such', 'probably', 'best', 'B', 'picture', 'ever', 'made']",The Red Badge of Courage VHS
576121,A24GH43A35F0T0,B00005A1VF,Burl Morgan,"[0, 1]",I love Audie Murphy's movies. He was a soldier first and actor second. There will not be another one like him.,4,Great old movie,1360368000,"02 9, 2013",2013,110,"['love', 'Audie', 'Murphy', 'movies', 'was', 'soldier', 'first', 'actor', 'second', 'will', 'not', 'be', 'one']",The Red Badge of Courage VHS
576122,ASA96U5KLGMEY,B00005A1VF,BVT,"[2, 6]","Somehow this truncated movie leaves a lot hanging in the air. Not that the story is not complete, but more so because there are elements which seems to have been removed. Audie Murphy's acting is unexpected. He showed a lot of emotion and humanity very much unlike in those subsequent B westerns of his which paralleled the Clint Eastwood westerns.",3,Enjoyable civil war story but  could have been better.,1094428800,"09 6, 2004",2004,348,"['Somehow', 'truncated', 'movie', 'lot', 'hanging', 'air', 'Not', 'story', 'not', 'complete', 'more', 'so', 'are', 'elements', 'have', 'been', 'removed', 'Audie', 'Murphy', 'acting', 'unexpected', 'showed', 'lot', 'emotion', 'humanity', 'very', 'much', 'subsequent', 'B', 'westerns', 'paralleled', 'Clint', 'Eastwood', 'westerns']",The Red Badge of Courage VHS
576123,A133T07WO5KYX3,B00005A1VF,"Charlotte A. Hu ""USMC journalist, turned Emba...","[5, 9]","The purely psychological aspect of this film -- not only about fear on the combat field, but of being afraid of being afraid -- is great. The young men really personify a young man's innate fear of failure, fear of death, fear of combat and fear of being a coward. ""He was a real Jim Dandy,"" an unknown soldier says of the ""Tall soldier,"" who, for the purposes of the movie personifies what a REAL soldier should be -- brave, willing to give his life, going on until there is no energy left in him. But the main character personifies every human -- outwardly trying to act the part expected of him, and inwardly doubting himself. This movied really touched me. Stephen Crane's portrayal is brought to light in such a vivid way.",4,A real soldier's film,1017705600,"04 2, 2002",2002,727,"['purely', 'psychological', 'aspect', 'film', 'not', 'only', 'about', 'fear', 'combat', 'field', 'being', 'afraid', 'being', 'afraid', 'great', 'young', 'men', 'really', 'personify', 'young', 'man', 'innate', 'fear', 'failure', 'fear', 'death', 'fear', 'combat', 'fear', 'being', 'coward', 'was', 'real', 'Jim', 'Dandy', 'unknown', 'soldier', 'Tall', 'soldier', 'who', 'purposes', 'movie', 'what', 'REAL', 'soldier', 'should', 'be', 'brave', 'willing', 'give', 'life', 'going', 'energy', 'left', 'main', 'character', 'personifies', 'human', 'outwardly', 'trying', 'act', 'part', 'expected', 'inwardly', 'doubting', 'movied', 'really', 'touched', 'Stephen', 'Crane', 'portrayal', 'brought', 'light', 'such', 'vivid', 'way']",The Red Badge of Courage VHS
576124,A3E0IFPCA7KKP9,B00005A1VF,Christopher J. Martin,"[8, 9]","John Houston's story of a young Union soldier who overcomes his fear of battle is wonderful. Audie Murphy's portrayal is stirring and quite lifelike, the movie doesn't portray any super human motives, but a simple soldier who is quite naturally scared going into battle and overcomes his fear. However, Houston doesn't allow Murphy's character to get into excessive machoism either, as he finds out that many of his comrades did the same thing he did, turn and run. Had the movie execs not chopped this movie up, it could have been even better. As it is, it's a bit too short and lacking in details such as the battles portrayed in the movie patterned after a real battle. The unit portrayed isn't even mentioned until the end of the movie. It would have been fun to follow Murphy's character's unit through the war.",4,Great movie that could have been even better,1045267200,"02 15, 2003",2003,816,"['John', 'Houston', 'story', 'young', 'Union', 'soldier', 'who', 'fear', 'battle', 'wonderful', 'Audie', 'Murphy', 'portrayal', 'stirring', 'quite', 'lifelike', 'movie', ""n't"", 'portray', 'super', 'human', 'motives', 'simple', 'soldier', 'who', 'quite', 'naturally', 'scared', 'going', 'battle', 'fear', 'However', 'Houston', ""n't"", 'allow', 'Murphy', 'character', 'get', 'excessive', 'machoism', 'either', 'out', 'many', 'comrades', 'did', 'same', 'thing', 'did', 'turn', 'run', 'Had', 'movie', 'not', 'chopped', 'movie', 'up', 'could', 'have', 'been', 'even', 'better', 'bit', 'too', 'short', 'lacking', 'details', 'such', 'battles', 'portrayed', 'movie', 'patterned', 'real', 'battle', 'unit', 'portrayed', ""n't"", 'even', 'mentioned', 'end', 'movie', 'would', 'have', 'been', 'fun', 'follow', 'Murphy', 'character', 'unit', 'war']",The Red Badge of Courage VHS
576125,A1EOLRV216BXJ9,B00005A1VF,Classic Movie watcher,"[4, 5]","Only after watching this movie did I realize that Audie Murphy is the most decorated soldier in WWII and hence an excellent choice for portraying a war hero. This movie is unusual in two aspects.First, the theme may not be politically correct then - the reflection of a soldier amid battles of combat. Yet it echoes well with the present sentiments about a war - whether or not it is worth fighting in the first place. Thus, this movie was different from the war movies made back in the 40s and 50s where courage and good cause come naturally. The movie would have been much better received if it was to be released now.Second, the cinematography is excellent and the combat scenes of the civil war in the open land are well captured. Apart from a brief appearance of a young woman as the Army marched past the civilians' residence, the movie showed only the soldiers and the not so advanced machinery. John Huston's fingerprints were all over the film with his signature portrayal of someone ordinary caught in the middle of something big (like Humphery Bogart in African Queen) The movie reveals the vulnerability of human beings and that courage develops over time. A fresh break from the present heavy armoured, special effects laden movie",5,Different from war movies in that era,1191369600,"10 3, 2007",2007,1243,"['Only', 'watching', 'movie', 'did', 'realize', 'Audie', 'Murphy', 'most', 'decorated', 'soldier', 'WWII', 'hence', 'excellent', 'choice', 'portraying', 'war', 'hero', 'movie', 'unusual', 'two', 'aspects.First', 'theme', 'may', 'not', 'be', 'politically', 'correct', 'then', 'reflection', 'soldier', 'battles', 'combat', 'well', 'present', 'sentiments', 'war', 'not', 'worth', 'fighting', 'first', 'place', 'Thus', 'movie', 'was', 'different', 'war', 'movies', 'made', 'back', '40s', '50s', 'where', 'courage', 'good', 'cause', 'come', 'naturally', 'movie', 'would', 'have', 'been', 'much', 'better', 'received', 'was', 'be', 'released', 'now.Second', 'cinematography', 'excellent', 'combat', 'scenes', 'civil', 'war', 'open', 'land', 'are', 'well', 'captured', 'Apart', 'brief', 'appearance', 'young', 'woman', 'Army', 'marched', 'civilians', 'residence', 'movie', 'showed', 'only', 'soldiers', 'not', 'so', 'advanced', 'machinery', 'John', 'Huston', 'fingerprints', 'were', 'film', 'signature', 'portrayal', 'someone', 'ordinary', 'caught', 'middle', 'something', 'big', 'Humphery', 'Bogart', 'African', 'Queen', 'movie', 'vulnerability', 'human', 'beings', 'courage', 'time', 'fresh', 'break', 'present', 'heavy', 'armoured', 'special', 'effects', 'laden', 'movie']",The Red Badge of Courage VHS
576126,A23QOAXJSWIBS6,B00005A1VF,"Daniel S. Russell ""syzygy121""","[6, 12]","Is this a post-WWII patriotic vehicle or is it a true adaptation of Crane's powerful and ground-breaking story?The story is NOT about heroism.  Frankly, I was surprised to see this film was made so soon after WWII and right at the beginning of the Korean War.  Crane's novel is one of the great anti-war pieces ever written, ranking with ""All Quiet on the Western Front.""  So is this film to be likened to ""Apocalypse Now"" or more like ""The Green Berets""?  Sadly, I fear the latter, if the spin on the trailer is accurate.  Comparing it to ""Birth of a Nation"" would suggest that it is thought of as a patriotic vehicle rather than a message film.  I thought maybe John Huston himself had the courage to film this story the way Crane intended it, but of course it is up to the viewer to ""get it"" or not.Crane's work is a naturalistic rendering of the inhumanity of war.  It is not about becoming a hero -- it is about a soldier who begins as an isolated and fear-filled boy but through the horrors of war becomes part of the ""war machine.""  It is not about the glory of war; it is about the loss of humanity that war demands of its participants.  In the end, even after acts of ""bravery"" the soldier wants to go home and flee warfare altogether.It is ironic that Audie Murphy, one of the highest decorated soliders of WWII, is playing the young soldier.  I wonder how many WWII veterans watching this film related to the fear and the sense of inhumanity presented at the core of the story.But of course, the Civl War is held in a different context than WWII, perhaps rightly so.  The enemy here is quite different than Nazi troops, or is it?  Read or watch ""All Quiet on the Western Front"" if you want to explore that question further.The film itself is well-made.  Huston's direction is quite good, with some interesting camera angles and great cinematography.  The censored language is quaint now, but the overall feel is still one of comeraderie and some realism.  Newcomers Murphy and Mauldin both hold their own quite well.  It is great to see Andy Devine and even William Schallert in supporting roles.  As for the DVD, I would like to have seen more extras and more notes on the production itself -- were the actors just that or were they early re-enactors?Overall it works as a war movie, I just wonder which side of war this movie really is supporting.",4,Did they get it?,1066780800,"10 22, 2003",2003,2360,"['post-WWII', 'patriotic', 'vehicle', 'true', 'adaptation', 'Crane', 'powerful', 'ground-breaking', 'story', 'story', 'NOT', 'heroism', 'Frankly', 'was', 'surprised', 'see', 'film', 'was', 'made', 'so', 'soon', 'WWII', 'right', 'beginning', 'Korean', 'War', 'Crane', 'novel', 'one', 'great', 'anti-war', 'pieces', 'ever', 'written', 'ranking', 'Quiet', 'Western', 'Front', 'So', 'film', 'be', 'likened', 'Apocalypse', 'Now', 'more', 'Green', 'Berets', 'Sadly', 'fear', 'latter', 'spin', 'trailer', 'accurate', 'Comparing', 'Birth', 'Nation', 'would', 'suggest', 'thought', 'patriotic', 'vehicle', 'rather', 'message', 'film', 'thought', 'maybe', 'John', 'Huston', 'had', 'courage', 'film', 'story', 'way', 'Crane', 'intended', 'course', 'viewer', 'get', 'not.Crane', 'work', 'naturalistic', 'rendering', 'inhumanity', 'war', 'not', 'becoming', 'hero', 'soldier', 'who', 'isolated', 'fear-filled', 'boy', 'horrors', 'war', 'becomes', 'part', 'war', 'machine', 'not', 'glory', 'war', 'loss', 'humanity', 'war', 'demands', 'participants', 'end', 'even', 'acts', 'bravery', 'soldier', 'go', 'home', 'flee', 'warfare', 'altogether.It', 'ironic', 'Audie', 'Murphy', 'one', 'highest', 'decorated', 'soliders', 'WWII', 'playing', 'young', 'soldier', 'wonder', 'how', 'many', 'WWII', 'veterans', 'watching', 'film', 'related', 'fear', 'sense', 'inhumanity', 'presented', 'core', 'story.But', 'course', 'Civl', 'War', 'held', 'different', 'context', 'WWII', 'perhaps', 'rightly', 'so', 'enemy', 'here', 'quite', 'different', 'Nazi', 'troops', 'watch', 'Quiet', 'Western', 'Front', 'want', 'explore', 'question', 'further.The', 'film', 'well-made', 'Huston', 'direction', 'quite', 'good', 'interesting', 'camera', 'angles', 'great', 'cinematography', 'censored', 'language', 'quaint', 'now', 'overall', 'feel', 'still', 'one', 'comeraderie', 'realism', 'Newcomers', 'Murphy', 'Mauldin', 'hold', 'own', 'quite', 'well', 'great', 'see', 'Andy', 'Devine', 'even', 'William', 'Schallert', 'supporting', 'roles', 'DVD', 'would', 'like', 'have', 'seen', 'more', 'extras', 'more', 'notes', 'production', 'were', 'actors', 'just', 'were', 'early', 're-enactors', 'war', 'movie', 'just', 'wonder', 'side', 'war', 'movie', 'really', 'supporting']",The Red Badge of Courage VHS
576127,A1N3XVN3MWM0YZ,B00005A1VF,Eleanor,"[0, 0]",Civil War time. Audie Murphy was wonderful. This is a movie on history and courage.,4,Very interesting movie,1280016000,"07 25, 2010",2010,83,"['Civil', 'War', 'time', 'Audie', 'Murphy', 'was', 'wonderful', 'movie', 'history', 'courage']",The Red Badge of Courage VHS
576128,AXS4QJ0CGH45R,B00005A1VF,Elocutus55,"[0, 1]","Like so many classic films from this era, RBC ivory good and stays more or less true to the text. Note to Hollywood : REMAKE THIS MOVIE. This version doesn't emphasize the dark tone of most of the book does.",4,Oldie but Goodie,1367625600,"05 4, 2013",2013,207,"['so', 'many', 'classic', 'films', 'era', 'RBC', 'ivory', 'good', 'more', 'less', 'true', 'text', 'Note', 'Hollywood', 'REMAKE', 'THIS', 'MOVIE', 'version', ""n't"", 'emphasize', 'dark', 'tone', 'most', 'book']",The Red Badge of Courage VHS
