,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
651842,A1ALOIPRR8Q06J,B00005JPK8,"2 cents ""meaningless memes""","[1, 5]","Well, at least the kids aren't shooting each other and killing people. They form little gangs that dance against each other like the dancers in Michael Jackson's ""Beat It"". It's a positive step for black youth culture that a film be about black, or urban, youths... Ohh wait a second. Man,__Nevermind__ .I SWEAR TO GOD -- just as I was typing this out on my computer, just NOW, it got to the part where they beat each other up and dude has a gun and kills somebody. Oh well.(I know, I know, you should see an entire film before ""reviewing"" it, but I was too inspired by all the fabulous dancing. I felt the spirit of the music in me. And I'm white!)I have nothing to say now. When will the madness end?!! When we will stop killing each other with guns?! I hope that one day dumb, hormonally challenged kids will resolve conflicts and relieve their fustrations by ""stomping yards"", not shooting guns. No offense, but hopehully with better music and dance moves cause dat shiz is cheeezy yo. Yall kids might not rememba, but back in like tha 80s there wuz these break dancin' movies called ""Breakin'"" or somethan and this ain't much cooler.",2,Simp kultur,1208476800,"04 18, 2008",2008,1138,"['Well', 'least', 'kids', 'are', ""n't"", 'shooting', 'other', 'killing', 'people', 'form', 'little', 'gangs', 'dance', 'other', 'dancers', 'Michael', 'Jackson', 'Beat', 'positive', 'step', 'black', 'youth', 'culture', 'film', 'be', 'black', 'urban', 'youths', 'Ohh', 'wait', 'second', 'Man', '__Nevermind__', '.I', 'SWEAR', 'TO', 'GOD', 'just', 'was', 'typing', 'out', 'computer', 'just', 'NOW', 'got', 'part', 'where', 'beat', 'other', 'up', 'dude', 'gun', 'kills', 'somebody', 'Oh', 'well', 'know', 'know', 'should', 'see', 'entire', 'film', 'reviewing', 'was', 'too', 'inspired', 'fabulous', 'dancing', 'felt', 'spirit', 'music', ""'m"", 'white', 'have', 'nothing', 'say', 'now', 'When', 'will', 'madness', 'end', 'When', 'will', 'stop', 'killing', 'other', 'guns', 'hope', 'one', 'day', 'dumb', 'hormonally', 'challenged', 'kids', 'will', 'resolve', 'conflicts', 'relieve', 'fustrations', 'stomping', 'yards', 'not', 'shooting', 'guns', 'offense', 'hopehully', 'better', 'music', 'dance', 'moves', 'cause', 'dat', 'shiz', 'cheeezy', 'yo', 'kids', 'might', 'not', 'rememba', 'back', 'tha', '80s', 'break', 'dancin', 'movies', 'called', 'Breakin', 'somethan', 'ai', ""n't"", 'much', 'cooler']",Stomp the Yard
651843,AYPCUQS6ARWFH,B00005JPK8,"Andre M. ""brnn64""","[2, 5]","Okay folks, if you've seen Drumline, you've seen this already. Just substitute stepping (and ""krumping""-the street dancing of the West Coast) with Black marching show bands and you get the idea.The stepping (which the film does NOT acknowledge as having its roots among the gumboots and ""careful treading"" styles of the Zulus of South Africa) and Krump dancing scenes are entertaining. But as for the story, you've seen it all before. Arrogant street punk goes to college and learns the meaning of friendship, love and teamwork, etc. etc.It is true that the only similarities between this film and ""School Daze"" are that stepping is shown (in only one scene in ""School Daze"") and they are both based at fictional Black colleges in Atlanta. The only reason I really liked School Daze THEN was because I was in college at the time and could relate to it. From a perspective of some 20 years, I realize now that it wasn't that hot. This film likewise will find its biggest audience among the college crowd and the hiphoppers. As Jerry Seinfeld would say, ""Not that there's anything wrong with that.""",3,Drumline goes stepping,1171929600,"02 20, 2007",2007,1096,"['Okay', 'folks', ""'ve"", 'seen', 'Drumline', ""'ve"", 'seen', 'already', 'Just', 'substitute', 'stepping', 'krumping', '-the', 'street', 'dancing', 'West', 'Coast', 'Black', 'marching', 'show', 'bands', 'get', 'idea.The', 'stepping', 'film', 'NOT', 'acknowledge', 'having', 'roots', 'gumboots', 'careful', 'treading', 'styles', 'Zulus', 'South', 'Africa', 'Krump', 'dancing', 'scenes', 'are', 'entertaining', 'story', ""'ve"", 'seen', 'Arrogant', 'street', 'punk', 'college', 'meaning', 'friendship', 'love', 'teamwork', 'etc', 'etc.It', 'true', 'only', 'similarities', 'film', 'School', 'Daze', 'are', 'stepping', 'shown', 'only', 'one', 'scene', 'School', 'Daze', 'are', 'based', 'fictional', 'Black', 'colleges', 'Atlanta', 'only', 'reason', 'really', 'liked', 'School', 'Daze', 'THEN', 'was', 'was', 'college', 'time', 'could', 'relate', 'perspective', '20', 'years', 'realize', 'now', 'was', ""n't"", 'hot', 'film', 'likewise', 'will', 'find', 'biggest', 'audience', 'college', 'crowd', 'hiphoppers', 'Jerry', 'Seinfeld', 'would', 'say', 'Not', 'anything', 'wrong']",Stomp the Yard
651844,ANCOMAI0I7LVG,B00005JPK8,Andrew Ellington,"[0, 0]","Yeah, I'm kind of shocked too.  I mean, I like stuff like this sometimes, but as a rule I usually avoid these kinds of films.  It just so happened that my wife was sick and in bed this weekend and happened to watch this film simply because there was nothing else on.  I came in about halfway through and it sparked my interest, so I made her rewind and we watched it together.I'd watch it again.The story is very much `Romeo + Juliet' meets `Drumline', with MTV editing and a whole lot of `stank face', but that combination works rather well here.  I wasn't a fan of `Drumline', but this one kept my attention.When DJ's brother is shot and killed, he finds himself living with his aunt and uncle.  Hoping for a better life, with a good education, DJ's uncle pulls some strings and gets him into Truth University.  Immediately, DJ finds that he doesn't quite fit in, or maybe it's that he fits in too well.  He makes rivals with an arrogant `stepper' named Grant who happens to be dating mega-hottie April, who seems to have eyes for DJ.  When DJ is pressured to pledge with the fraternity Grant is a member of, he opts to join his rival, using their tradition of `step' competitions (an aggressive hip-hop, krump-like dance style) as a way to `battle' his new adversary.  All the while, DJ is pining for April's affections, causing issues with DJ's education, especially when her father gets word and pushes to have DJ expelled.But love, and dance, prevail.The storyline is a tad overdone, but it works here thanks to some high intensity dance sequences, some really good acting and some sizzling chemistry.  Columbus Short can dance and act, which is a plus here.  He has a `Vin Deisel' baritone and a smooth delivery (not to mention some modelesque good looks) that makes him rather irresistible, and his screen partner (the ubber-gorgeous Meagan Good) is more than enough hotness to make them a tantalizing couple.  You just WANT to watch them.  Darrin Henson is a pretty bad actor, but he's a convincing dancer, so he's forgivable.  I really liked Brian White here too.  He has a suave yet commanding presence.And then you have the killer dance scenes that just get better and better as the film progresses.Yes, `Stomp the Yard' is brainless at times and even a tad corny (the forced sense of `tension' in the films finale is rather laughable) but it also has rare and unexpected moments of touching and moving `heart' (the ""I love you"" even made my wife go ""WOW"") and for a film claiming to offer a fun, good time, `Stomp the Yard' definitely does what it sets out to do.",4,I actually liked this...,1269216000,"03 22, 2010",2010,2576,"['Yeah', ""'m"", 'kind', 'shocked', 'too', 'mean', 'like', 'stuff', 'sometimes', 'rule', 'usually', 'avoid', 'kinds', 'films', 'just', 'so', 'happened', 'wife', 'was', 'sick', 'bed', 'weekend', 'happened', 'watch', 'film', 'simply', 'was', 'nothing', 'else', 'came', 'halfway', 'sparked', 'interest', 'made', 'rewind', 'watched', 'together.I', ""'d"", 'watch', 'again.The', 'story', 'very', 'much', 'Romeo', '+', 'Juliet', 'meets', 'Drumline', 'MTV', 'editing', 'whole', 'lot', 'stank', 'face', 'combination', 'rather', 'well', 'here', 'was', ""n't"", 'fan', 'Drumline', 'one', 'kept', 'attention.When', 'DJ', 'brother', 'shot', 'killed', 'living', 'aunt', 'uncle', 'Hoping', 'better', 'life', 'good', 'education', 'DJ', 'uncle', 'strings', 'Truth', 'University', 'Immediately', 'DJ', ""n't"", 'quite', 'fit', 'maybe', 'too', 'well', 'rivals', 'arrogant', 'stepper', 'named', 'Grant', 'who', 'be', 'dating', 'mega-hottie', 'April', 'who', 'have', 'eyes', 'DJ', 'When', 'DJ', 'pressured', 'pledge', 'fraternity', 'Grant', 'member', 'join', 'rival', 'using', 'tradition', 'step', 'competitions', 'aggressive', 'hip-hop', 'krump-like', 'dance', 'style', 'way', 'battle', 'new', 'adversary', 'while', 'DJ', 'pining', 'April', 'affections', 'causing', 'issues', 'DJ', 'education', 'especially', 'when', 'father', 'word', 'pushes', 'have', 'DJ', 'expelled.But', 'love', 'dance', 'prevail.The', 'storyline', 'tad', 'overdone', 'here', 'thanks', 'high', 'intensity', 'dance', 'sequences', 'really', 'good', 'acting', 'sizzling', 'chemistry', 'Columbus', 'Short', 'can', 'dance', 'act', 'plus', 'here', 'Vin', 'Deisel', 'baritone', 'smooth', 'delivery', 'not', 'mention', 'modelesque', 'good', 'looks', 'rather', 'irresistible', 'screen', 'partner', 'ubber-gorgeous', 'Meagan', 'Good', 'more', 'enough', 'hotness', 'make', 'tantalizing', 'couple', 'just', 'WANT', 'watch', 'Darrin', 'Henson', 'pretty', 'bad', 'actor', 'convincing', 'dancer', 'forgivable', 'really', 'liked', 'Brian', 'White', 'here', 'too', 'suave', 'yet', 'commanding', 'presence.And', 'then', 'have', 'killer', 'dance', 'scenes', 'just', 'get', 'better', 'better', 'film', 'progresses.Yes', 'Stomp', 'Yard', 'brainless', 'times', 'even', 'tad', 'corny', 'forced', 'sense', 'tension', 'films', 'finale', 'rather', 'laughable', 'also', 'rare', 'unexpected', 'moments', 'touching', 'moving', 'heart', 'love', 'even', 'made', 'wife', 'go', 'WOW', 'film', 'claiming', 'offer', 'fun', 'good', 'time', 'Stomp', 'Yard', 'definitely', 'what', 'out', 'do']",Stomp the Yard
651845,A3TZV5SXQ8F6ST,B00005JPK8,Best Of All,"[0, 0]","The choreography is visually impressive and carries a mostly plodding script on tragedy, redemption and the power of friendship/love which centers on DJ Williams (Columbus Short) and his journey from Los Angeles to Truth University in Atlanta.Williams is torn from his family after an evening that goes terribly wrong - his brother is murdered in the aftermath of an underground krumping competition - and his mother sends him to Atlanta to live with an aunt and uncle.There is tension on the campus grounds as Williams pursues his love interest, April Palmer (Meagan Good), while attempting to achieve new personal growth, though his talent in dancing may ultimately prove to be the path to triumph.The morality play has no real twists that would keep the ending in suspense, though the message of doing the right thing - no matter what the odds - is refreshing.",3,Doing the Right Thing,1229385600,"12 16, 2008",2008,863,"['choreography', 'visually', 'impressive', 'mostly', 'plodding', 'script', 'tragedy', 'redemption', 'power', 'friendship/love', 'centers', 'DJ', 'Williams', 'Columbus', 'Short', 'journey', 'Los', 'Angeles', 'Truth', 'University', 'Atlanta.Williams', 'torn', 'family', 'evening', 'terribly', 'wrong', 'brother', 'murdered', 'aftermath', 'underground', 'krumping', 'competition', 'mother', 'Atlanta', 'live', 'aunt', 'uncle.There', 'tension', 'campus', 'Williams', 'love', 'interest', 'April', 'Palmer', 'Meagan', 'Good', 'attempting', 'achieve', 'new', 'personal', 'growth', 'talent', 'dancing', 'may', 'ultimately', 'prove', 'be', 'path', 'triumph.The', 'morality', 'play', 'real', 'twists', 'would', 'keep', 'ending', 'suspense', 'message', 'doing', 'right', 'thing', 'matter', 'what', 'odds', 'refreshing']",Stomp the Yard
651846,A27IEH7MJOOA8R,B00005JPK8,Big Sistah Patty,"[3, 8]","She referred to black culture as the ""underbelly"" of America.  What an ignorant comment.  African/Black America culture is American culture.  Without us, the descendents of West and Central Africans, America would a hellified, boring excuse for a country.Anywhere there are African people, there is greatness.  She is pissed, that black folks have smarten up.  By the way, Betty Boo, pissed is a Black American expression. In addition, the mainstream uses this word everyday, as if they created it.  As always, we are the innovators and inventors, and you the appropriators. She is mad that a movie was financed, produced, and acted by people of African descent held the coveted spot for three weeks.Betty guurrrllll don't hate. Emulate. Celebrate! Participate. Get that stick up out of your [...].I apologize to the other posters for this rant. I know it is not the right place.  I don't normally read posts by people who rate books or movies low, when the majority is overwhelmingly satisfied.  They usually have some serious issues and a beef to fight.We must remember that African American culture is innovative and exciting.  There will always be people who are envious and threatened by it.  In other words, you can always expect haters.  But even haters are entitled to their opinions.  I just put them on ignore.  These same people will try and copy our style and call it there creation.For example I saw a suburb community having a double dutch. I laughed.  The double dutch is ancient history in Africa America.  We did it first.  Now they are doing it.  My mama was a double dutch champion in the neighborhood in the early 60s.  It is simple the nature of the beast.  We are just fantastic and interesting people.  These haters know it, and they are bothered.I love this movie.  It is so much fun to watch.  I wasn't a part of a black Greek organziation, but have been to my share of step shows and have a couple of family members involved.",5,Betty Striaght Smack Talkin'!,1173225600,"03 7, 2007",2007,1951,"['referred', 'black', 'culture', 'underbelly', 'America', 'What', 'ignorant', 'comment', 'African/Black', 'America', 'culture', 'American', 'culture', 'descendents', 'West', 'Central', 'Africans', 'America', 'would', 'hellified', 'boring', 'excuse', 'country.Anywhere', 'are', 'African', 'people', 'greatness', 'pissed', 'black', 'folks', 'have', 'smarten', 'up', 'way', 'Betty', 'Boo', 'pissed', 'Black', 'American', 'expression', 'addition', 'mainstream', 'word', 'everyday', 'created', 'always', 'are', 'innovators', 'inventors', 'appropriators', 'mad', 'movie', 'was', 'financed', 'produced', 'acted', 'people', 'African', 'descent', 'held', 'coveted', 'spot', 'three', 'weeks.Betty', 'guurrrllll', 'do', ""n't"", 'hate', 'Emulate', 'Celebrate', 'Participate', 'Get', 'stick', 'up', '[', ']', '.I', 'apologize', 'other', 'posters', 'rant', 'know', 'not', 'right', 'place', 'do', ""n't"", 'normally', 'read', 'posts', 'people', 'who', 'rate', 'books', 'movies', 'low', 'when', 'majority', 'overwhelmingly', 'satisfied', 'usually', 'have', 'serious', 'issues', 'beef', 'fight.We', 'must', 'remember', 'African', 'American', 'culture', 'innovative', 'exciting', 'will', 'always', 'be', 'people', 'who', 'are', 'envious', 'threatened', 'other', 'words', 'can', 'always', 'expect', 'haters', 'even', 'haters', 'are', 'entitled', 'opinions', 'just', 'put', 'ignore', 'same', 'people', 'will', 'try', 'copy', 'style', 'call', 'there', 'example', 'saw', 'suburb', 'community', 'having', 'double', 'dutch', 'laughed', 'double', 'dutch', 'ancient', 'history', 'Africa', 'America', 'did', 'first', 'Now', 'are', 'doing', 'mama', 'was', 'double', 'dutch', 'champion', 'neighborhood', 'early', '60s', 'simple', 'nature', 'beast', 'are', 'just', 'fantastic', 'interesting', 'people', 'haters', 'know', 'are', 'bothered.I', 'movie', 'so', 'much', 'fun', 'watch', 'was', ""n't"", 'part', 'black', 'Greek', 'organziation', 'have', 'been', 'share', 'step', 'shows', 'have', 'couple', 'family', 'members', 'involved']",Stomp the Yard
651847,A1X93ES4DITTWK,B00005JPK8,Blueberry Muffin,"[3, 5]","I agree with Kurupt: If you've seen ""You've Got Served"" and/or ""Drumline"" then you've already seen ""Stomp The Yard."" The plots are very similiar. And if you've seen ""ATL"" and remember the conflict with NuNu and her father, you'll find a similiar conflict with Megan Good's character and her father in this movie. Other than that the music was just okay and the dancing was great- it was like watching a music video. The only similarities ""STY"" has with ""School Daze"" is that both deal with fraternities on HBCU campuses and that's pretty much it; ""School Daze"" has more depth to it.Overall, ""STY"" is a fun, entertaining movie geared towards the younger crowd. Even though Chris Brown wasn't in the movie for long, he did a good job and I'd like to see him in more movies.",3,"It Was Pretty Good, Entertaining",1169769600,"01 26, 2007",2007,771,"['agree', 'Kurupt', ""'ve"", 'seen', ""'ve"", 'Got', 'Served', 'and/or', 'Drumline', 'then', ""'ve"", 'already', 'seen', 'Stomp', 'Yard', 'plots', 'are', 'very', 'similiar', ""'ve"", 'seen', 'ATL', 'remember', 'conflict', 'NuNu', 'father', ""'ll"", 'find', 'similiar', 'conflict', 'Megan', 'Good', 'character', 'father', 'movie', 'Other', 'music', 'was', 'just', 'okay', 'dancing', 'was', 'great-', 'was', 'watching', 'music', 'video', 'only', 'STY', 'School', 'Daze', 'deal', 'fraternities', 'HBCU', 'campuses', 'pretty', 'much', 'School', 'Daze', 'more', 'depth', 'it.Overall', 'STY', 'fun', 'entertaining', 'movie', 'geared', 'younger', 'crowd', 'Even', 'Chris', 'Brown', 'was', ""n't"", 'movie', 'long', 'did', 'good', 'job', ""'d"", 'like', 'see', 'more', 'movies']",Stomp the Yard
651848,A3V3K35ZPFQH1D,B00005JPK8,Calvin L. Toler,"[0, 4]",It's a good showing how clubs can become one either when both are trying to get people to join their clubs.,3,"It was ok, it just lets you know ties can become stronger",1261958400,"12 28, 2009",2009,107,"['good', 'showing', 'how', 'clubs', 'can', 'become', 'one', 'when', 'are', 'trying', 'get', 'people', 'join', 'clubs']",Stomp the Yard
651849,A3FU4UD3Q105YB,B00005JPK8,Crystal Wilson,"[0, 0]","I purchased this movie for my daughter and it arrived relatively fast and in the condition specified.  She's very happy with it, which means I am too!",5,No complaints. .,1271203200,"04 14, 2010",2010,150,"['purchased', 'movie', 'daughter', 'arrived', 'relatively', 'fast', 'condition', 'specified', 'very', 'happy', 'am', 'too']",Stomp the Yard
651850,AWG2O9C42XW5G,B00005JPK8,"David ""Black Widow 2014""","[0, 0]",this movie is awesome. the dance steps in this movie are great. this is a must see.,5,Awesome Movie,1254960000,"10 8, 2009",2009,83,"['movie', 'awesome', 'dance', 'steps', 'movie', 'are', 'great', 'must', 'see']",Stomp the Yard
651851,A23R9Z69A9LSH9,B00005JPK8,D. B. Diederich,"[2, 4]","I'm surprised Stomp the Yard gets so many good reviews.  I thought it was not that great.  The best thing about it is when it touched on history of university educated Black men and women, so for that alone I am giving 3 stars.  The rest of the movie rated lower in my opinion.I thought the story was trite and had a lot of holes in it.  But who cares, that is secondary to wanting to see the Stomping.  Some of the dance scenes were good but there is a lot of flashing light so you can't even see the real action -- not a good sign.  The big ending seems unrealistic, does a fraternity really put together a rock star show with smoke and blacklights?  The ending scene reminded me of -- horrors -- the disney movie, Jump In.  In fact, the story line in Stomp the Yard is a lot like Jump In, just more corny and fake.  The only good thing was the honor of the guys in the fraternity.  But everyone else is a scumbucket, even the university leaders, that's weak.If you want to see a really really good movie with hot moves and poignancy try The ATL (also set in Atlanta).  ATL also has a guy going to college.  The love story is similar but better told.  The moves are more real, and I have never seen the team skate thing - it's hot.  It is just a way better movie of this type and hasn't got the attention it deserves.  There is some violence but it might touch someone for real unlike the gratuitous violence in Stomp (where you learn the brother is an idiot who gets killed, surprise surprise).",3,Not as good as I had hoped for,1179705600,"05 21, 2007",2007,1497,"[""'m"", 'surprised', 'Stomp', 'Yard', 'so', 'many', 'good', 'reviews', 'thought', 'was', 'not', 'great', 'best', 'thing', 'when', 'touched', 'history', 'university', 'educated', 'Black', 'men', 'women', 'so', 'alone', 'am', 'giving', '3', 'stars', 'rest', 'movie', 'rated', 'lower', 'opinion.I', 'thought', 'story', 'was', 'trite', 'had', 'lot', 'holes', 'who', 'secondary', 'wanting', 'see', 'Stomping', 'dance', 'scenes', 'were', 'good', 'lot', 'flashing', 'light', 'so', 'ca', ""n't"", 'even', 'see', 'real', 'action', 'not', 'good', 'sign', 'big', 'ending', 'unrealistic', 'fraternity', 'really', 'put', 'together', 'rock', 'star', 'show', 'smoke', 'blacklights', 'ending', 'scene', 'reminded', 'horrors', 'disney', 'movie', 'Jump', 'fact', 'story', 'line', 'Stomp', 'Yard', 'lot', 'Jump', 'just', 'more', 'corny', 'fake', 'only', 'good', 'thing', 'was', 'honor', 'guys', 'fraternity', 'everyone', 'else', 'scumbucket', 'even', 'university', 'leaders', 'weak.If', 'want', 'see', 'really', 'really', 'good', 'movie', 'hot', 'moves', 'poignancy', 'try', 'ATL', 'also', 'set', 'Atlanta', 'ATL', 'also', 'guy', 'going', 'college', 'love', 'story', 'similar', 'better', 'told', 'moves', 'are', 'more', 'real', 'have', 'never', 'seen', 'team', 'skate', 'thing', 'hot', 'just', 'way', 'better', 'movie', 'type', ""n't"", 'got', 'attention', 'violence', 'might', 'touch', 'someone', 'real', 'gratuitous', 'violence', 'Stomp', 'where', 'learn', 'brother', 'idiot', 'who', 'killed', 'surprise', 'surprise']",Stomp the Yard
