,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
681750,AREFQN7W6C2RH,B00005T7H7,,"[4, 4]","ok.  although everything was alright ( except the horrible gut wrenching songs) and it's cool to find out what happened to everyone, what the heck?  this movie is like remember when type of movie.  where there are three or four segments of cinderellas mishaps as princess.  the animation is pretty good, but the plot and story are kind of weak.  i think it would have been better to see a whole movie on where everyone is and developed it into one major story.  it's a good rental, and actually pretty good for young kids, if you're an adult, don't buy it!",2,a waste of time ( for the most part),1048896000,"03 29, 2003",2003,556,"['ok.', 'everything', 'was', 'alright', 'horrible', 'gut', 'wrenching', 'songs', 'cool', 'find', 'out', 'what', 'happened', 'everyone', 'what', 'heck', 'movie', 'remember', 'when', 'type', 'movie', 'where', 'are', 'three', 'four', 'segments', 'cinderellas', 'mishaps', 'princess', 'animation', 'pretty', 'good', 'plot', 'story', 'are', 'kind', 'weak', 'i', 'think', 'would', 'have', 'been', 'better', 'see', 'whole', 'movie', 'where', 'everyone', 'developed', 'one', 'major', 'story', 'good', 'rental', 'actually', 'pretty', 'good', 'young', 'kids', ""'re"", 'adult', 'do', ""n't"", 'buy']",Cinderella II - Dreams Come True
681751,AOXX0U2T2BGYM,B00005T7H7,A Human,"[1, 1]","This can be pretty annoying to some people, due to the amount of scenes involving the mice.I however recommend the movie. It has little to do with 'Ella, unlike ""A Twist in Time"".I recommend both movies, actually.The parts about Anastasia and the baker are absolutely adorable.",5,"Nice, actually.",1255132800,"10 10, 2009",2009,277,"['can', 'be', 'pretty', 'annoying', 'people', 'due', 'amount', 'scenes', 'involving', 'mice.I', 'however', 'recommend', 'movie', 'little', 'do', ""'Ella"", 'Twist', 'Time', '.I', 'recommend', 'movies', 'actually.The', 'parts', 'Anastasia', 'baker', 'are', 'absolutely', 'adorable']",Cinderella II - Dreams Come True
681752,A19K5DILM15WU3,B00005T7H7,Alex,"[4, 10]","This is one of the best straight to video movies ever! It's much better than &quot;Lady and the Tramp 2&quot;! While it is clearly targeted at girls younger than 13, my 9 year old brother and I enjoyed it, as well as both my parents. The mice love hearing the Fairy God Mother tell them the story of Cinderella, but when the story gets old, they go about writing more adventures. The first tells the story of Cinderella's first day as a Princess. The Prince has to leave already for something important, and leaves Cinderella to plan and host a big party for royalty only. They try to teach her how to be a princess and have many rules that Cinderella dosen't agree with, such as not allowing commoners into the castle. She then realizes that her Prince loves her for who she is and she adds her own style to the party. In the second story, Jaq decides he wants to be human to help Cinderella in return for all the nice things she does for the mice. But when the Fairy God Mother grants his wish, he finds that he liked being a mouse better. In the 3rd and final story, love is in the air! Lady Tremain decides that if her two daughters, Anastacia and Drisella, aren't good enough for a prince, she'll fix them up with a duke or someone noble. But Anastacia falls in love with a baker wich is unacceptable to her mother. With the help of Cinderella, she'll win the heart of the baker and stand up to her mother! The last story is my favorite. Lucifer also falls in love with the cat from the castle, Pon Pon. While non of the characters sing a song(except for the Fairy God Mother sings &quot;Bibidi Bobidi Boo&quot;), teen pop star Brooke Allison sings 4 songs wich sort of help narrate the storys. They are good songs that my family found their toes tapping to! If you loved the original like my family did, you'll love the sequel!",5,The Whole Family Will Love It No Matter What Age They Are!,1014768000,"02 27, 2002",2002,1833,"['one', 'best', 'straight', 'video', 'movies', 'ever', 'much', 'better', 'quot', 'Lady', 'Tramp', '2', 'quot', 'clearly', 'targeted', 'girls', 'younger', '13', '9', 'year', 'old', 'brother', 'enjoyed', 'as', 'well', 'parents', 'mice', 'love', 'hearing', 'Fairy', 'God', 'Mother', 'tell', 'story', 'Cinderella', 'when', 'story', 'old', 'go', 'writing', 'more', 'adventures', 'first', 'story', 'Cinderella', 'first', 'day', 'Princess', 'Prince', 'leave', 'already', 'something', 'important', 'Cinderella', 'plan', 'host', 'big', 'party', 'royalty', 'only', 'try', 'teach', 'how', 'be', 'princess', 'have', 'many', 'rules', 'Cinderella', 'dose', ""n't"", 'agree', 'such', 'not', 'allowing', 'commoners', 'castle', 'then', 'Prince', 'who', 'own', 'style', 'party', 'second', 'story', 'Jaq', 'be', 'human', 'help', 'Cinderella', 'return', 'nice', 'things', 'mice', 'when', 'Fairy', 'God', 'Mother', 'grants', 'wish', 'liked', 'being', 'mouse', 'better', '3rd', 'final', 'story', 'love', 'air', 'Lady', 'Tremain', 'two', 'daughters', 'Anastacia', 'Drisella', 'are', ""n't"", 'good', 'enough', 'prince', ""'ll"", 'fix', 'up', 'duke', 'someone', 'noble', 'Anastacia', 'love', 'baker', 'wich', 'unacceptable', 'mother', 'help', 'Cinderella', ""'ll"", 'win', 'heart', 'baker', 'stand', 'up', 'mother', 'last', 'story', 'favorite', 'Lucifer', 'also', 'love', 'cat', 'castle', 'Pon', 'Pon', 'non', 'characters', 'sing', 'song', 'Fairy', 'God', 'Mother', 'sings', 'quot', 'Bibidi', 'Bobidi', 'Boo', 'quot', 'teen', 'pop', 'star', 'Brooke', 'Allison', '4', 'songs', 'wich', 'sort', 'help', 'narrate', 'storys', 'are', 'good', 'songs', 'family', 'found', 'toes', 'tapping', 'loved', 'original', 'family', 'did', ""'ll"", 'love', 'sequel']",Cinderella II - Dreams Come True
681753,A2H14IVUNRZPD1,B00005T7H7,Alex Hutchins,"[2, 5]","&quot;Cinderella II&quot; is Absolutly a classic. Cinderella, I believe is on of the best Disney movies, and then when I found out that they made a second...I had to run out an buy it.It is divided into three stories happening after Cinderella and Prince Charming return for their honeymoon. Cinderella learns what it is like for a Princess. I was entertained THE WHOLE TIME. The song are also nice, nothing like the original, but they keep you upbeat.This is THE BEST Disney sequel ever, I like it because they keep the focus on Cinderella and not someone's boring 12 year old child.Disney...this is truely a masterpiece I will FOREVER treasure!",5,Cinderella II - Dreams Come True  Indeed a classic!,1015113600,"03 3, 2002",2002,646,"['quot', 'Cinderella', 'II', 'quot', 'Absolutly', 'classic', 'Cinderella', 'believe', 'best', 'Disney', 'movies', 'then', 'when', 'found', 'out', 'made', 'second', 'had', 'run', 'out', 'buy', 'it.It', 'divided', 'three', 'stories', 'happening', 'Cinderella', 'Prince', 'Charming', 'return', 'honeymoon', 'Cinderella', 'what', 'Princess', 'was', 'entertained', 'THE', 'WHOLE', 'TIME', 'song', 'are', 'also', 'nice', 'nothing', 'original', 'keep', 'upbeat.This', 'BEST', 'Disney', 'sequel', 'ever', 'like', 'keep', 'focus', 'Cinderella', 'not', 'someone', 'boring', '12', 'year', 'old', 'child.Disney', 'truely', 'masterpiece', 'will', 'FOREVER', 'treasure']",Cinderella II - Dreams Come True
681754,A2KT3RASE8B81R,B00005T7H7,Alli H.,"[2, 6]","This movie was bothering me because I loved the first Cinderella and it looked just as wonderful as the first one.  I kept wanting to buy it but kept seeing the price rise and eventually gave into it.  Anyway, I watched it the first time and wasn't too impressed...there was a really adorable scene between Lucifer and the other female white fat cat...Lucifer falls for her and there's about a 2 minute scene where lucifer is at the bottom of the stair case looking up at the other cat but that is just about as far as it goes.  I really didn't like the whole &quot;Jack turning into Sir Hue&quot; thing...that was kind of dumb...okay, REALLY dumb!  I would have rather seen the princess have a baby or something sweet like that.  A lot of the same phrases &quot;zug zug&quot; were used from the original which was cool and eventually the voices even sorta half sounded like the original ones.  The animation wasn't nearly as good as the original but then Disney sequels rarely are.  Bottom line?  It's a children's movie!  Most adults aren't going to be too amused with it at first!  But give it a chance!  After spending a lot of money on a 1 hour DVD watch it more than once...don't give up on it.  I began to love it.  I still don't approve of some of the music (too harsh/pop) and some of the sayings (This hair *ewww!* --valley girl accent--) but it really is a cute movie once you've watched it two or three times.  I like to do homework to it because it is a noise in the background that doesn't take a lot of attention to understand.  Anyway, don't judge it at first glance...give it a chance!  It really is cute.",4,Don't judge at first glance...,1019865600,"04 27, 2002",2002,1622,"['movie', 'was', 'bothering', 'loved', 'first', 'Cinderella', 'looked', 'just', 'as', 'wonderful', 'first', 'one', 'kept', 'wanting', 'buy', 'kept', 'seeing', 'price', 'rise', 'eventually', 'gave', 'Anyway', 'watched', 'first', 'time', 'was', ""n't"", 'too', 'impressed', 'was', 'really', 'adorable', 'scene', 'Lucifer', 'other', 'female', 'white', 'fat', 'cat', 'Lucifer', '2', 'minute', 'scene', 'where', 'lucifer', 'bottom', 'stair', 'case', 'looking', 'up', 'other', 'cat', 'just', 'about', 'as', 'far', 'really', 'did', ""n't"", 'whole', 'quot', 'Jack', 'turning', 'Sir', 'Hue', 'quot', 'thing', 'was', 'kind', 'dumb', 'okay', 'REALLY', 'would', 'have', 'rather', 'seen', 'princess', 'have', 'baby', 'something', 'sweet', 'lot', 'same', 'quot', 'zug', 'zug', 'quot', 'were', 'used', 'original', 'was', 'cool', 'eventually', 'voices', 'even', 'sorta', 'half', 'sounded', 'original', 'ones', 'animation', 'was', ""n't"", 'nearly', 'as', 'good', 'original', 'then', 'Disney', 'sequels', 'rarely', 'are', 'Bottom', 'line', 'children', 'movie', 'Most', 'adults', 'are', ""n't"", 'going', 'be', 'too', 'amused', 'first', 'give', 'chance', 'spending', 'lot', 'money', '1', 'hour', 'DVD', 'watch', 'more', 'once', 'do', ""n't"", 'give', 'up', 'began', 'love', 'still', 'do', ""n't"", 'approve', 'music', 'too', 'harsh/pop', 'sayings', 'hair', '*', 'valley', 'girl', 'accent', 'really', 'cute', 'movie', 'once', ""'ve"", 'watched', 'two', 'three', 'times', 'like', 'do', 'homework', 'noise', 'background', ""n't"", 'take', 'lot', 'attention', 'understand', 'Anyway', 'do', ""n't"", 'judge', 'first', 'glance', 'give', 'chance', 'really', 'cute']",Cinderella II - Dreams Come True
681755,ACOO1NZKALM44,B00005T7H7,AzureBlu,"[7, 9]","Why? This is a total waste of time and money on Disney's part. They just don't have that ""magic"" that they had in the 90's. I hope something happens because some of the animated movies are losing credibility. JMHO",1,WHY??,1124582400,"08 21, 2005",2005,213,"['Why', 'total', 'waste', 'time', 'money', 'Disney', 'part', 'just', 'do', ""n't"", 'have', 'magic', 'had', '90', 'hope', 'something', 'happens', 'animated', 'movies', 'are', 'losing', 'credibility', 'JMHO']",Cinderella II - Dreams Come True
681756,A2548UYWS356HQ,B00005T7H7,Brian Jacobson,"[0, 1]","I absolutly despise this movie, and I am so glad I didn't buy it. I read in one review that Walt's films were designed to leave a ""happily every after"" feeling in the viewers. that certainly is true for most of them. even the spiritually uplifting Fantasia Finale accomplishes this.the sequels to Alladin and Lion King Are OK, because they were made by the same people. but today's disney should not even attempt to sequelize Walt's Films. I will never see Peter Pan 2 or lady and the tramp 2, and I will never buy a ""snow white 2"" or ""aristocats 2"" or ""pinnochio 2"" remember what George Lucas said he wanted to do with the Star Wars Holiday special? I'll bet Walt Disney would do the same thing with this awful sequel and every one else like it.",1,Walt disney must be rolling around in his grave,1030579200,"08 29, 2002",2002,746,"['absolutly', 'despise', 'movie', 'am', 'so', 'glad', 'did', ""n't"", 'buy', 'read', 'one', 'review', 'Walt', 'films', 'were', 'designed', 'leave', 'happily', 'feeling', 'viewers', 'certainly', 'true', 'most', 'even', 'spiritually', 'uplifting', 'Fantasia', 'Finale', 'this.the', 'sequels', 'Alladin', 'Lion', 'King', 'Are', 'OK', 'were', 'made', 'same', 'people', 'today', 'disney', 'should', 'not', 'even', 'attempt', 'sequelize', 'Walt', 'Films', 'will', 'never', 'see', 'Peter', 'Pan', '2', 'lady', 'tramp', '2', 'will', 'never', 'buy', 'snow', 'white', '2', 'aristocats', '2', 'pinnochio', '2', 'remember', 'what', 'George', 'Lucas', 'said', 'wanted', 'do', 'Star', 'Wars', 'Holiday', 'special', ""'ll"", 'bet', 'Walt', 'Disney', 'would', 'do', 'same', 'thing', 'awful', 'sequel', 'one', 'else']",Cinderella II - Dreams Come True
681757,A3CAHLMCRNJP1W,B00005T7H7,Cat Harvey,"[0, 0]","I really enjoyed it. Yes it is made for little kids. If you don't want to buy the video, then don't. Disney is created for kids. My daughter loves the Disney princess.",5,great,1212019200,"05 29, 2008",2008,167,"['really', 'enjoyed', 'Yes', 'made', 'little', 'kids', 'do', ""n't"", 'want', 'buy', 'video', 'then', 'do', ""n't"", 'Disney', 'created', 'kids', 'daughter', 'Disney', 'princess']",Cinderella II - Dreams Come True
681758,A1XR18QWF1UJPU,B00005T7H7,"christy ""Christy Wuestewald""","[0, 0]","The Cinderella movies are so great,my favorites actually.I own all 3 of them and like them all.You are never too old for Disney. :-)",5,The greatest ever!,1358899200,"01 23, 2013",2013,132,"['Cinderella', 'movies', 'are', 'so', 'great', 'favorites', 'actually.I', '3', 'like', 'all.You', 'are', 'never', 'too', 'old', 'Disney']",Cinderella II - Dreams Come True
681759,A3QZC9T1ZD0IN3,B00005T7H7,cold2,"[0, 0]","My mom loved her dvd I gave her for Christmas and has not stopped watching it lol smh, thank you!!!",5,Great,1358294400,"01 16, 2013",2013,99,"['mom', 'loved', 'dvd', 'gave', 'Christmas', 'not', 'stopped', 'watching', 'lol', 'smh', 'thank']",Cinderella II - Dreams Come True
