,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
703989,A3DGB4HN3QCGAL,B0000687CX,A. Burchfield,"[0, 1]","I got Mr. Gurney's first two Dinotopia books several years ago and thought they were pretty good, (especially the 1st one), this miniseries disappointed me. Instead of going with the book plotline set in the 1860's we are presented with two half brothers and their father in the present crashing their plane near Dinotopian shores. Dad is lost, presumed dead, for most of the show. References are made to several of the book characters but none make an actual appearance and the storyline itself is only vaguely like that of the books. I had hoped for better, the sets and Dinosaurs look acceptable especially for a big TV budget but the characters weren't very interesting to me (not well developed, hurried or soomehow not ture to form). It seems that most of the people speak with a British accent (I think parts of the show were filmed in Britain). When the regular series comes on this fall I think all of the miniseries humans will have been replace with new actors, I hate it when a series does that.Does anybody know where to find the hidden scenes?",3,Fun to look at but the books are much better,1033776000,"10 5, 2002",2002,1057,"['got', 'Mr.', 'Gurney', 'first', 'two', 'Dinotopia', 'books', 'several', 'years', 'ago', 'thought', 'were', 'pretty', 'good', 'especially', '1st', 'one', 'miniseries', 'disappointed', 'Instead', 'going', 'book', 'plotline', 'set', '1860', 'are', 'presented', 'two', 'half', 'brothers', 'father', 'present', 'crashing', 'plane', 'Dinotopian', 'shores', 'Dad', 'lost', 'presumed', 'dead', 'most', 'show', 'References', 'are', 'made', 'several', 'book', 'characters', 'none', 'make', 'actual', 'appearance', 'storyline', 'only', 'vaguely', 'books', 'had', 'hoped', 'better', 'sets', 'Dinosaurs', 'look', 'acceptable', 'especially', 'big', 'TV', 'budget', 'characters', 'were', ""n't"", 'very', 'interesting', 'not', 'well', 'developed', 'hurried', 'soomehow', 'not', 'ture', 'form', 'most', 'people', 'speak', 'British', 'accent', 'think', 'parts', 'show', 'were', 'filmed', 'Britain', 'When', 'regular', 'series', 'fall', 'think', 'miniseries', 'humans', 'will', 'have', 'been', 'replace', 'new', 'actors', 'hate', 'when', 'series', 'that.Does', 'anybody', 'know', 'where', 'find', 'hidden', 'scenes']",N/A
703990,A19K5DILM15WU3,B0000687CX,Alex,"[5, 7]","I first heard of Dinotopia a few years ago when I caught my younger brother reading one of the books in the series. Not long after, I started hearing rumors of a Miniseries to air on ABC. I decided I would watch it to see what all of the hype was about. After twenty minuits I was hooked! This 6 hour long epic is able to hold the interest of young and old for a long period of time.David and Karl are half brothers who go on a rutine flight with their father. But they hit a thunderstorm and crash into the ocean. David and Karl are forced to leave their father behind and swim ashore. They are both shocked to find that not only do dinosaurs still exsist, but that they co-exist with humans in a utopian society. But when the sunstones, wich give the poeple power and keep carnivours away from the villages, fail, David and Karl set out to restore power before all of Dinotopia is lost forever.The special effects were very well done compared to other made for television movies. This movie was so popular, there is a t.v series comeing to ABC this fall starring Eric Von Detten (The Princess Diaries."" You and your family will love Dinotopia.",5,A Great Family Epic!,1022457600,"05 27, 2002",2002,1145,"['first', 'heard', 'Dinotopia', 'few', 'years', 'ago', 'when', 'caught', 'younger', 'brother', 'reading', 'one', 'books', 'series', 'Not', 'long', 'started', 'hearing', 'rumors', 'Miniseries', 'air', 'ABC', 'decided', 'would', 'watch', 'see', 'what', 'hype', 'was', 'about', 'twenty', 'minuits', 'was', 'hooked', '6', 'hour', 'long', 'epic', 'able', 'hold', 'interest', 'young', 'old', 'long', 'period', 'time.David', 'Karl', 'are', 'half', 'brothers', 'who', 'go', 'rutine', 'flight', 'father', 'hit', 'thunderstorm', 'crash', 'ocean', 'David', 'Karl', 'are', 'forced', 'leave', 'father', 'swim', 'ashore', 'are', 'shocked', 'find', 'not', 'only', 'do', 'dinosaurs', 'still', 'exsist', 'co-exist', 'humans', 'utopian', 'society', 'when', 'sunstones', 'give', 'poeple', 'power', 'keep', 'carnivours', 'away', 'villages', 'fail', 'David', 'Karl', 'set', 'out', 'restore', 'power', 'Dinotopia', 'lost', 'forever.The', 'special', 'effects', 'were', 'very', 'well', 'done', 'compared', 'other', 'made', 'television', 'movies', 'movie', 'was', 'so', 'popular', 't.v', 'series', 'comeing', 'ABC', 'fall', 'starring', 'Eric', 'Von', 'Detten', 'Princess', 'Diaries', 'family', 'will', 'love', 'Dinotopia']",N/A
703991,A1G0VFQ9198IUF,B0000687CX,al,"[0, 0]",like Jurassic park and Indiana Jones in a way.  this movie is funny.  one cool thing about this is they use dinosaurs like machinery.,5,cool,1339027200,"06 7, 2012",2012,133,"['Jurassic', 'park', 'Indiana', 'Jones', 'way', 'movie', 'funny', 'one', 'cool', 'thing', 'use', 'dinosaurs', 'machinery']",N/A
703992,A3EBHHCZO6V2A4,B0000687CX,"Amaranth ""music fan""","[3, 3]","""Dinotopia"", based on the best selling series of books, sounded compelling on paper. People crash land in a country where humans and dinosaurs live together in peace&harmony.; It's an interesting series, with some potentially good ideas, with a pre-Prison Break Wentworth Miller and David Thewlis as a surprisingly sympathetic villain.In ""Dinotopia"", Miller and Tyron Leitso star as a pair of half-brothers who crash land in Dinotopia. (To make this movie family-friendly, they describe their late father as ""socially active"") They are greeted by the presiding matriarch, Alice Krige. Since they are in a worker's paradise, they can't choose their own jobs. She also has them listening to dinosaurs pound their feet, getting them into polytheistic/pantheistic meditation. Furthermore, the half-brothers must abide by Dinotopia's laws. They must be vegetarian-and the kicker- they can't fight in self-defense if carnivorous dinosaurs attack. In the meantime, the half-brothers end up smitten with the mayor of Waterfall City's daughter. (In a not-so-family friendly twist, she skinny dips with one of them,but nothing results from the love triangle) They also encounter the free-thinking villain, David Thewlis. He wants the people of Dinotopia to have freedom of thought and freedom of motion,as well as the freedom to defend themselves- but he's stigmatized.The sunstones that are defending Dinotopia from carnivorous dinosaurs are failing. The half-brothers embark on a quest to restore them. As for the love triangle, it's left unresolved.""Dinotopia"" has some good special effects and great acting. Krige is at once menacing and maternal as Dinotopia's leader. She's the organic, vegetarian Borg Queen. The script is turgid. There are aspects problematic for youngsters. ""Dinotopia"" isn't utopia. It's loveably bad. It has dinosaurs! So why complain?",3,Still haven't found the Dinotopia I'm looking for,1213574400,"06 16, 2008",2008,1853,"['Dinotopia', 'based', 'best', 'selling', 'series', 'books', 'sounded', 'compelling', 'paper', 'People', 'crash', 'land', 'country', 'where', 'humans', 'dinosaurs', 'live', 'together', 'peace', 'harmony', 'interesting', 'series', 'potentially', 'good', 'ideas', 'pre-Prison', 'Break', 'Wentworth', 'Miller', 'David', 'Thewlis', 'surprisingly', 'sympathetic', 'villain.In', 'Dinotopia', 'Miller', 'Tyron', 'Leitso', 'star', 'pair', 'half-brothers', 'who', 'crash', 'land', 'Dinotopia', 'make', 'movie', 'family-friendly', 'describe', 'late', 'father', 'socially', 'active', 'are', 'greeted', 'presiding', 'matriarch', 'Alice', 'Krige', 'are', 'worker', 'paradise', 'ca', ""n't"", 'choose', 'own', 'jobs', 'also', 'listening', 'dinosaurs', 'pound', 'feet', 'getting', 'polytheistic/pantheistic', 'meditation', 'Furthermore', 'half-brothers', 'must', 'abide', 'Dinotopia', 'laws', 'must', 'be', 'vegetarian-and', 'kicker-', 'ca', ""n't"", 'fight', 'self-defense', 'carnivorous', 'dinosaurs', 'attack', 'meantime', 'half-brothers', 'end', 'up', 'smitten', 'mayor', 'Waterfall', 'City', 'daughter', 'not-so-family', 'friendly', 'twist', 'skinny', 'dips', 'one', 'nothing', 'results', 'love', 'triangle', 'also', 'encounter', 'free-thinking', 'villain', 'David', 'Thewlis', 'people', 'Dinotopia', 'have', 'freedom', 'thought', 'freedom', 'motion', 'as', 'well', 'freedom', 'defend', 'themselves-', 'stigmatized.The', 'sunstones', 'are', 'defending', 'Dinotopia', 'carnivorous', 'dinosaurs', 'are', 'failing', 'half-brothers', 'embark', 'quest', 'restore', 'love', 'triangle', 'left', 'unresolved', 'Dinotopia', 'good', 'special', 'effects', 'great', 'acting', 'Krige', 'once', 'menacing', 'maternal', 'Dinotopia', 'leader', 'organic', 'vegetarian', 'Borg', 'Queen', 'script', 'turgid', 'are', 'aspects', 'problematic', 'youngsters', 'Dinotopia', ""n't"", 'utopia', 'loveably', 'bad', 'dinosaurs', 'So', 'why', 'complain']",N/A
703993,A2GANR9I6XHTU9,B0000687CX,Amy Lynn,"[0, 0]",i saw some of the reviews on this site about dinotopia and most of them were right but one named inre said it was not suitable for children and the review was totally crazy. anyway this movie is suitable for children and has great special effects and a nice story. its suitable for any age! its a great story and fun to watch. i recomend this film.,4,FUN MOVIE,1051142400,"04 24, 2003",2003,348,"['i', 'saw', 'reviews', 'site', 'dinotopia', 'most', 'were', 'right', 'one', 'named', 'inre', 'said', 'was', 'not', 'suitable', 'children', 'review', 'was', 'totally', 'crazy', 'anyway', 'movie', 'suitable', 'children', 'great', 'special', 'effects', 'nice', 'story', 'suitable', 'age', 'great', 'story', 'fun', 'watch', 'i', 'recomend', 'film']",N/A
703994,A2WBVYWDIITDDB,B0000687CX,A Person from Earth,"[1, 1]",I want to go to Dinotopia!!! I really loved this series and I would love to see more!Seek Peace.,5,Beautiful!,1193011200,"10 22, 2007",2007,96,"['want', 'go', 'Dinotopia', 'really', 'loved', 'series', 'would', 'love', 'see', 'more', 'Seek', 'Peace']",N/A
703995,A1KFC9A441EWFF,B0000687CX,"B. Boxbangieleroerrwwerevrwrer III ""inre-""","[11, 25]","I have serious problems with this ""childrens"" film. Here are some of the elements of the story that I think worth mentioning.It's about a matriarchal, agricultural ""Utopian"" society. Modern technology is almost nonexistent and discouraged. A woman rules the island with a clenched fist hidden behind her saccharin smile. Alice Krige (back in a part reminiscent of her Borg role) is downright creepy as The Leader.Anyone marooned on the island is immediately registered with the society and told what worker role they are required to live out. For life. No one is ever allowed to leave the island.All citizens are required to have and are assigned a dinosaur mate to have ""spiritual union"" with.Children in Society schools are programmed to believe that the Group is paramount and the individual is nothing. They must memorize and recite The Code (Commandments)which lays all this out. They are graded on this.School children are taught they are no more valuable and have no more right to live than lizards and other animals.Citizens are told that all weapons are Evil. Even for defense. Marauding carnivorous dinosaurs are to be ""appeased"" and served.Citizens are required to eat vegetables and fruit since meat eating is disrespectful to animals.This film goes on and on like this, delivering the same not so subtle messages to the audience. Are these the values for American children? Sounds more like an indoctrination film from Communist China.",1,Socio-political  brainwashing in a society ruled by women.,1041379200,"01 1, 2003",2003,1448,"['have', 'serious', 'problems', 'childrens', 'film', 'Here', 'are', 'elements', 'story', 'think', 'worth', 'mentioning.It', 'matriarchal', 'agricultural', 'Utopian', 'society', 'Modern', 'technology', 'almost', 'nonexistent', 'discouraged', 'woman', 'rules', 'island', 'clenched', 'fist', 'hidden', 'saccharin', 'smile', 'Alice', 'Krige', 'back', 'part', 'reminiscent', 'Borg', 'role', 'downright', 'creepy', 'Leader.Anyone', 'marooned', 'island', 'immediately', 'registered', 'society', 'told', 'what', 'worker', 'role', 'are', 'required', 'live', 'out', 'life', 'one', 'ever', 'allowed', 'leave', 'island.All', 'citizens', 'are', 'required', 'have', 'are', 'assigned', 'dinosaur', 'mate', 'have', 'spiritual', 'union', 'with.Children', 'Society', 'schools', 'are', 'programmed', 'believe', 'Group', 'paramount', 'individual', 'nothing', 'must', 'memorize', 'recite', 'Code', 'Commandments', 'out', 'are', 'graded', 'this.School', 'children', 'are', 'taught', 'are', 'more', 'valuable', 'have', 'more', 'right', 'live', 'lizards', 'other', 'animals.Citizens', 'are', 'told', 'weapons', 'are', 'Evil', 'Even', 'defense', 'Marauding', 'carnivorous', 'dinosaurs', 'are', 'be', 'appeased', 'served.Citizens', 'are', 'required', 'eat', 'vegetables', 'fruit', 'meat', 'eating', 'disrespectful', 'animals.This', 'film', 'delivering', 'same', 'not', 'so', 'subtle', 'messages', 'audience', 'values', 'American', 'children', 'more', 'indoctrination', 'film', 'Communist', 'China']",N/A
703996,A25UZ7MA72SMKM,B0000687CX,Brent Butler,"[1, 1]","Dinotopia was at one time (for all I know might still be) a popular series of children's books, where a society of humans lives in harmony with a society of intelligent dinosaurs. In this miniseries, after a plane crash two brothers are marooned on the Dinotopia island, and must go through the process of learning a new way of life and a new set of philosophies about life. They arrive in a time of conflict, as not ALL the dinosaurs are so friendly.The story is engaging, characters are well formed and interesting, the acting is competent, and the special effects are pretty good for a TV production. My only knock on the special effects is that certain sequences were used over and over again in the climactic battle. Evidently their budget ran a bit short.I bought this as a present for our ten year old granddaughter, who particularly enjoyed it, and that was the important consideration. I didn't find any age inappropriate material. Violence was present but in control. The plot had enough meat to interest the adults watching along with her, but was not at all difficult for her to follow. In all, it was a good family viewing choice.",4,Enjoyable,1311724800,"07 27, 2011",2011,1143,"['Dinotopia', 'was', 'one', 'time', 'know', 'might', 'still', 'be', 'popular', 'series', 'children', 'books', 'where', 'society', 'humans', 'lives', 'harmony', 'society', 'intelligent', 'dinosaurs', 'miniseries', 'plane', 'crash', 'two', 'brothers', 'are', 'marooned', 'Dinotopia', 'island', 'must', 'go', 'process', 'learning', 'new', 'way', 'life', 'new', 'set', 'philosophies', 'life', 'arrive', 'time', 'conflict', 'not', 'dinosaurs', 'are', 'so', 'friendly.The', 'story', 'engaging', 'characters', 'are', 'well', 'formed', 'interesting', 'acting', 'competent', 'special', 'effects', 'are', 'pretty', 'good', 'TV', 'production', 'only', 'knock', 'special', 'effects', 'certain', 'sequences', 'were', 'used', 'over', 'again', 'climactic', 'battle', 'Evidently', 'budget', 'ran', 'bit', 'short.I', 'bought', 'present', 'ten', 'year', 'old', 'granddaughter', 'who', 'particularly', 'enjoyed', 'was', 'important', 'consideration', 'did', ""n't"", 'find', 'age', 'inappropriate', 'material', 'Violence', 'was', 'present', 'control', 'plot', 'had', 'enough', 'meat', 'interest', 'adults', 'watching', 'along', 'was', 'not', 'difficult', 'follow', 'was', 'good', 'family', 'viewing', 'choice']",N/A
703997,AKVU4HUG6AN1U,B0000687CX,"""chick_flick""","[1, 4]","""Dinotopia"" is not your average ""Jurassic Park"" film. It's almost the opposite of what you'd expect in ""Jurassic Park"". There is only one scene that truly looks like it was taken right out of ""Jurassic Park""--and that would be a quick fight scene between two Tyranasorousrex dinosaurs.PLOT SUMMARY: Based on the novel, the film (actually a made-for-TV miniseries movie), is about two teenage half brothers, called Carl (Tyron Leitso) and David (Wentworth Miller) Scott, who couldn't be more different. Carl is the outgoing, rebellious teen, while David is the quiet, serious one who would rather be studying than going out. Their father decides to take them on a plane trip for his birthday in his personal airplane (Mr. Scott is supposibly a millionaire). On the plane ride, Mr. Scott lets Carl drive the airplane and they soon are stuck right in the middle of a deadly storm out in the middle of the ocean. Their plane crashes into the ocean, and Carl and David manage to escape the plane, while their father is still stuck inside. They swim to shore, and find themselves on a strange island they at first think is deserted, until they come across an odd archaeologist with a wooden leg who explains that they are on the island of Dinotopia. Carl and David insist that they need to find some help because they believe their father is dead. So the archaeologist takes them to a village where they are encountered by the most astonishing discovery of all--dinosaurs living amoungest humans! After they are taken to Dinotopia's main city, Waterville City, they are introduced to the mayor and his beautiful daughter, Marion (Katie Carr), who the boys both fall in love with. The mayor tells them that there is no way off the island and that they are stuck there forever. Carl, is of course, very upset about this. Carl doesn't want anything more than to go home. David, on the other hand, tries to make the best of their situation, and has come to reconile his destiny in Dinotopia. Like all Dinotopian citizans, Carl and David are given assignments--Carl is supposed to raise a baby dinosaur, while David is assigned to become a Skyrider, and help protect Dinotopia from harm, which is ironic, because David has a great fear of heights and Carl doesn't feel as though he can take care of a baby dinosaur. Carl and David both try to win over the affection of Marion, and become friends with the archaeologist...who seems to know a lot about Dinotopia and also is trying to look for a way off the island. The villages uses these strange stones called ""sunstones"", which shine a bright white light and help protect the villages from the evil man-eating dinosaurs. When the sunstone supply mysteriously runs low, fear strikes over the villages that they will be attacked by the man-eating dinosaurs. Now, it's up to Carl, David, and Marion to save the villages of Dinotopia before the dinosaurs attack and destroy the cities by finding more sunstones to put into the towers that hold the sunstones.OVERALL THOUGHTS: ""Dinotopia"" is a very long film--about 240 minutes to be exact, but it was originally made into a miniseries on TV, so I can understand why it would seem longer on DVD. The acting is pretty average--there is some stiff acting at points during the film, but it was fairly good. It wasn't ""great"", but it was ""good enough"". There were a lot of plots twisted into the film...almost too many, such as the love triangle between Carl, David, and Marion; Carl trying to get home; dinosaurs attacking, etc., but they tried to set up the story in a way in which all plots could be resolved by the end. And, amazingly, it pretty much worked. The special effects were well-done, and there is non-stop action. I also have to add that the setting is beautiful and so are the costumes.The DVD is wonderfully packaged, with a ""making of"" documentary, behind the scenes, two deleted scenes, interviews, a ""Dinotopia Encyclopedia"", photo gallery, cast and crew information, tips and tricks for the Game Boy adventure game, a maze game, hidden footage, dinosaur facts and sounds for kids, and DVD-ROM features. The DVD is available in full frame format.I highly recommend ""Dinotopia"".Score:97/100A+",5,Fun and adventurous ride through a fantasy fairytale world.,1039651200,"12 12, 2002",2002,4192,"['Dinotopia', 'not', 'average', 'Jurassic', 'Park', 'film', 'almost', 'opposite', 'what', ""'d"", 'expect', 'Jurassic', 'Park', 'only', 'one', 'scene', 'truly', 'was', 'taken', 'right', 'Jurassic', 'Park', 'would', 'be', 'quick', 'fight', 'scene', 'two', 'Tyranasorousrex', 'dinosaurs.PLOT', 'SUMMARY', 'Based', 'novel', 'film', 'actually', 'made-for-TV', 'miniseries', 'movie', 'two', 'teenage', 'half', 'brothers', 'called', 'Carl', 'Tyron', 'Leitso', 'David', 'Wentworth', 'Miller', 'Scott', 'who', 'could', ""n't"", 'be', 'more', 'different', 'Carl', 'outgoing', 'rebellious', 'teen', 'David', 'quiet', 'serious', 'one', 'who', 'would', 'rather', 'be', 'studying', 'going', 'out', 'father', 'take', 'plane', 'trip', 'birthday', 'personal', 'airplane', 'Mr.', 'Scott', 'supposibly', 'millionaire', 'plane', 'ride', 'Mr.', 'Scott', 'Carl', 'drive', 'airplane', 'soon', 'are', 'stuck', 'right', 'middle', 'deadly', 'storm', 'middle', 'ocean', 'plane', 'crashes', 'ocean', 'Carl', 'David', 'manage', 'escape', 'plane', 'father', 'still', 'stuck', 'inside', 'swim', 'shore', 'find', 'strange', 'island', 'first', 'think', 'deserted', 'come', 'odd', 'archaeologist', 'wooden', 'leg', 'who', 'are', 'island', 'Dinotopia', 'Carl', 'David', 'insist', 'need', 'find', 'help', 'believe', 'father', 'dead', 'archaeologist', 'village', 'where', 'are', 'encountered', 'most', 'astonishing', 'discovery', 'dinosaurs', 'living', 'amoungest', 'humans', 'are', 'taken', 'Dinotopia', 'main', 'city', 'Waterville', 'City', 'are', 'introduced', 'mayor', 'beautiful', 'daughter', 'Marion', 'Katie', 'Carr', 'who', 'boys', 'fall', 'love', 'mayor', 'way', 'island', 'are', 'stuck', 'there', 'forever', 'Carl', 'course', 'very', 'upset', 'Carl', ""n't"", 'want', 'anything', 'more', 'go', 'home', 'David', 'other', 'hand', 'tries', 'make', 'best', 'situation', 'come', 'reconile', 'destiny', 'Dinotopia', 'Dinotopian', 'citizans', 'Carl', 'David', 'are', 'given', 'assignments', 'Carl', 'supposed', 'raise', 'baby', 'dinosaur', 'David', 'assigned', 'become', 'Skyrider', 'help', 'protect', 'Dinotopia', 'harm', 'ironic', 'David', 'great', 'fear', 'heights', 'Carl', ""n't"", 'feel', 'can', 'take', 'care', 'baby', 'dinosaur', 'Carl', 'David', 'try', 'win', 'affection', 'Marion', 'become', 'friends', 'archaeologist', 'who', 'know', 'lot', 'Dinotopia', 'also', 'trying', 'look', 'way', 'island', 'villages', 'strange', 'stones', 'called', 'sunstones', 'shine', 'bright', 'white', 'light', 'help', 'protect', 'villages', 'evil', 'man-eating', 'dinosaurs', 'When', 'sunstone', 'supply', 'mysteriously', 'low', 'fear', 'strikes', 'villages', 'will', 'be', 'attacked', 'man-eating', 'dinosaurs', 'Now', 'up', 'Carl', 'David', 'Marion', 'save', 'villages', 'Dinotopia', 'dinosaurs', 'attack', 'destroy', 'cities', 'finding', 'more', 'sunstones', 'put', 'towers', 'hold', 'sunstones.OVERALL', 'THOUGHTS', 'Dinotopia', 'very', 'long', 'film', '240', 'minutes', 'be', 'exact', 'was', 'originally', 'made', 'miniseries', 'TV', 'can', 'understand', 'why', 'would', 'seem', 'longer', 'DVD', 'acting', 'pretty', 'average', 'stiff', 'acting', 'points', 'film', 'was', 'fairly', 'good', 'was', ""n't"", 'great', 'was', 'good', 'enough', 'were', 'lot', 'plots', 'twisted', 'film', 'almost', 'too', 'many', 'such', 'love', 'triangle', 'Carl', 'David', 'Marion', 'Carl', 'trying', 'get', 'home', 'dinosaurs', 'attacking', 'etc.', 'tried', 'set', 'up', 'story', 'way', 'plots', 'could', 'be', 'resolved', 'end', 'amazingly', 'pretty', 'much', 'worked', 'special', 'effects', 'were', 'well-done', 'non-stop', 'action', 'also', 'have', 'add', 'setting', 'beautiful', 'so', 'are', 'costumes.The', 'DVD', 'wonderfully', 'packaged', 'making', 'documentary', 'scenes', 'two', 'deleted', 'scenes', 'interviews', 'Dinotopia', 'Encyclopedia', 'photo', 'gallery', 'cast', 'crew', 'information', 'tips', 'tricks', 'Game', 'Boy', 'adventure', 'game', 'maze', 'game', 'hidden', 'footage', 'dinosaur', 'facts', 'sounds', 'kids', 'DVD-ROM', 'features', 'DVD', 'available', 'full', 'frame', 'format.I', 'highly', 'recommend', 'Dinotopia', '.Score:97/100A+']",N/A
703998,A3GFPC4MTFIQK1,B0000687CX,ChrisLanders6694,"[0, 0]","This was one of my favorite things as a kid, I could spend days watching over and over. But, nowhere does it say that it is in ""full screen"" and you don't find out until you open the case and read the discs. ""full screen"" doesn't make it better in any way, it just takes almost a third of the movie out of the screen.",3,"I would have given it 5 stars, but...",1343779200,"08 1, 2012",2012,317,"['was', 'one', 'favorite', 'things', 'kid', 'could', 'spend', 'days', 'watching', 'nowhere', 'say', 'full', 'screen', 'do', ""n't"", 'find', 'out', 'open', 'case', 'read', 'discs', 'full', 'screen', ""n't"", 'make', 'better', 'way', 'just', 'almost', 'third', 'movie', 'screen']",N/A
