,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
727663,A9T1R7JIWX3EU,B00007ELFF,A. M. Smith,"[16, 16]","When I first heard about this film, I thought, &quot;Harris and Quinn?&quot;  How will they pull it off?  For one thing, there was the item of physical non-resemblance.  But with the addition of a little nose putty, I was suprised to be able to see Lennon quite easily in Harris.  Quinn's physical resemblance to McCartney is even more remote (you can add putty to a nose but you can't perform rhinoplastic reduction with makeup!), but factor in the clothes and hair and he comes closer.  But it's the body language and speech which make him convincing.  I didn't notice in the credits if there was a vocal coach, but if there was, he/she knows his/her stuff.  If the actors developed their own accents and cadences, that's even more to their credit.  They obviously studied these men assiduously.  In some scenes I found myself feeling horribly sentimental, being of a &quot;certain age.&quot;  The picture is nicely staged, paced, and photographed.  Entertaining start to finish.",5,Fooled me!,1075939200,"02 5, 2004",2004,981,"['When', 'first', 'heard', 'film', 'thought', 'quot', 'Harris', 'Quinn', 'quot', 'How', 'will', 'pull', 'off', 'one', 'thing', 'was', 'item', 'physical', 'non-resemblance', 'addition', 'little', 'nose', 'putty', 'was', 'suprised', 'be', 'able', 'see', 'Lennon', 'quite', 'easily', 'Harris', 'Quinn', 'physical', 'resemblance', 'McCartney', 'even', 'more', 'remote', 'can', 'add', 'putty', 'nose', 'ca', ""n't"", 'perform', 'rhinoplastic', 'reduction', 'makeup', 'factor', 'clothes', 'hair', 'closer', 'body', 'language', 'speech', 'make', 'convincing', 'did', ""n't"", 'notice', 'credits', 'was', 'vocal', 'coach', 'was', 'he/she', 'stuff', 'actors', 'developed', 'own', 'accents', 'cadences', 'even', 'more', 'credit', 'obviously', 'studied', 'men', 'assiduously', 'scenes', 'found', 'feeling', 'horribly', 'sentimental', 'being', 'quot', 'certain', 'age.', 'quot', 'picture', 'nicely', 'staged', 'paced', 'photographed', 'Entertaining', 'start', 'finish']",Two of Us
727664,A2HVKT2ZYDMFKQ,B00007ELFF,"Captdoherty ""Captdoherty""","[3, 4]","This is probably the best piece of ""Beatles Fiction"" ever made- because it might actually have some truth to it.""Two of us"" is a fictionalized account of a meeting between John and Paul in 1976, six years after the Beatles' official break up.Paul shows up at the dakota one morning when Wings are in town and John isn't particulary thrilled to see him. After some initial awkwardness (which pops up again throughout the film when they talk about open wounds) they unexpectedly spend the day catching up, leading to an uneasy reconciliation (personal of course, not professional)This movie is great because it not only captures John and Paul at this particular moment of their lives, (Aidan Quinn surprisingly plays Paul very well and Jared Harris as John is even better)but it also effectively captures the feeling of seeing an old friend who you may have outgrown but still love.It also captured the feel of 1976 well for a low budget production and beatle fans will enjoy the little snippets of beatle lore in the script .(the saturday night live offer was great as were the stories of Ringo and George circa 1976)The only thing that didn't ring true was Yoko's total absence- which was unlikely but probably dramatically necessary. After all, this was ""two of us"", not ""two of us and the one who ruined our friendship!""It would be nice if an interviewer someday asked Paul McCartney if he has seen this film. I would love to hear Sir Paul's opinion of it!5 stars for the beatle fans - 4 for everybody else (all three of you)",5,A treasure for Beatle fans,1140480000,"02 21, 2006",2006,1527,"['probably', 'best', 'piece', 'Beatles', 'Fiction', 'ever', 'made-', 'might', 'actually', 'have', 'truth', 'Two', 'fictionalized', 'account', 'meeting', 'John', 'Paul', '1976', 'six', 'years', 'Beatles', 'official', 'break', 'up.Paul', 'up', 'dakota', 'one', 'morning', 'when', 'Wings', 'are', 'town', 'John', ""n't"", 'particulary', 'thrilled', 'see', 'initial', 'awkwardness', 'up', 'again', 'film', 'when', 'talk', 'open', 'wounds', 'unexpectedly', 'spend', 'day', 'catching', 'up', 'leading', 'uneasy', 'reconciliation', 'personal', 'course', 'not', 'professional', 'movie', 'great', 'not', 'only', 'John', 'Paul', 'particular', 'moment', 'lives', 'Aidan', 'Quinn', 'surprisingly', 'Paul', 'very', 'well', 'Jared', 'Harris', 'John', 'even', 'better', 'also', 'effectively', 'feeling', 'seeing', 'old', 'friend', 'who', 'may', 'have', 'outgrown', 'still', 'also', 'captured', 'feel', '1976', 'well', 'low', 'budget', 'production', 'beatle', 'fans', 'will', 'enjoy', 'little', 'snippets', 'beatle', 'lore', 'script', 'saturday', 'night', 'live', 'offer', 'was', 'great', 'were', 'stories', 'Ringo', 'George', 'circa', '1976', 'only', 'thing', 'did', ""n't"", 'ring', 'true', 'was', 'Yoko', 'total', 'absence-', 'was', 'unlikely', 'probably', 'dramatically', 'necessary', 'was', 'two', 'not', 'two', 'one', 'who', 'ruined', 'friendship', 'would', 'be', 'nice', 'interviewer', 'someday', 'asked', 'Paul', 'McCartney', 'seen', 'film', 'would', 'love', 'hear', 'Sir', 'Paul', 'opinion', '5', 'stars', 'beatle', 'fans', '4', 'everybody', 'else', 'three']",Two of Us
727665,AGYZK4719LVKW,B00007ELFF,Dean Caudill,"[1, 1]","I have read a ton on the lives of the Beatles dating back to when they were kids, through their fantastic journey in changing the music world and their breakup.  I have to say this is the best because it takes two iconic figures, breaks them down and brings them to earth.  It dispenses with ""Beatle Mania"" and all the fancy wrappings.  It's not so much about them as Beatles, but as two best friends who've had their friendship ripped asunder being Beatles.",5,BEST BEATLE MOVIE EVER,1354752000,"12 6, 2012",2012,458,"['have', 'read', 'ton', 'lives', 'Beatles', 'dating', 'back', 'when', 'were', 'kids', 'fantastic', 'journey', 'changing', 'music', 'world', 'breakup', 'have', 'say', 'best', 'two', 'iconic', 'figures', 'breaks', 'down', 'brings', 'earth', 'Beatle', 'Mania', 'fancy', 'wrappings', 'not', 'so', 'much', 'Beatles', 'two', 'best', 'friends', 'who', ""'ve"", 'had', 'friendship', 'ripped', 'asunder', 'being', 'Beatles']",Two of Us
727666,ACIVERYCX16RX,B00007ELFF,D. Stock,"[4, 9]","This movie is one long cliche after another. First of all, though they did their share, there is a unwarranted dope scene where John sniffs weed like an idiot. The wigs and accents are terrible. They sound worse then the old Beatle cartoons. John is the nasty, envious, closet homosexual, slave to Yoko he is portrayed as being in the discredited Albert Goldman book. They even keep spouting song titles in regular conversation ""it was always just the Two Of Us""! John would not have been mean to his fans like this either. Like his death showed us he was too nice if anything. The one funny scene is where a dumb Beatle fan only recognizes John and asks him to sing Paul's Yesterday. An insulted John says something along the lines of ""Sure and while I croon why don't you get down on your knees, put on your wife's wig, and lick my liggin"". That made me laugh for days. Really this movie is funny in how serious it tries to be while coming off ridiculous. John and Paul also did not sit pontificating all day, they were funny light hearted guys who even during The Beatles break up where far more personable then portrayed here. Forget it.",2,A long Clich&eacute;,1308528000,"06 20, 2011",2011,1141,"['movie', 'one', 'long', 'cliche', 'First', 'did', 'share', 'unwarranted', 'dope', 'scene', 'where', 'John', 'weed', 'idiot', 'wigs', 'accents', 'are', 'terrible', 'sound', 'worse', 'then', 'old', 'Beatle', 'cartoons', 'John', 'nasty', 'envious', 'closet', 'homosexual', 'slave', 'Yoko', 'portrayed', 'being', 'discredited', 'Albert', 'Goldman', 'book', 'even', 'keep', 'spouting', 'song', 'titles', 'regular', 'conversation', 'was', 'always', 'just', 'Two', 'Us', 'John', 'would', 'not', 'have', 'been', 'mean', 'fans', 'death', 'showed', 'was', 'too', 'nice', 'anything', 'one', 'funny', 'scene', 'where', 'dumb', 'Beatle', 'fan', 'only', 'John', 'sing', 'Paul', 'Yesterday', 'insulted', 'John', 'something', 'lines', 'Sure', 'croon', 'why', 'do', ""n't"", 'get', 'down', 'knees', 'put', 'wife', 'wig', 'lick', 'liggin', 'made', 'days', 'Really', 'movie', 'funny', 'how', 'serious', 'be', 'coming', 'off', 'ridiculous', 'John', 'Paul', 'also', 'did', 'not', 'sit', 'pontificating', 'day', 'were', 'funny', 'light', 'hearted', 'guys', 'who', 'even', 'Beatles', 'break', 'up', 'where', 'far', 'more', 'personable', 'then', 'portrayed', 'here', 'Forget']",Two of Us
727667,A1G42TTYZYQC5S,B00007ELFF,Enslowe,"[3, 3]","This movie is an amusing piece of fiction. The actors do a pretty good job channeling the personas of Lennon and McCartney, and giving obsessed fans a happier ending than ever was. The entire enterprise is strange; so beloved are the Beatles, that some fans must sit around imagining how wonderful it would be if John and Paul had made up completely in the seventies, palled around with feeling, ran around Central Park like schoolboys in ""A Hard Day's Night,"" sang together, etc. Fans take it all so personally. Can we not love the Beatles warts and all, as genuine flawed human beings who never entirely conformed to our image of what they ought to be and do? Must they be the friendly mop tops forever? The second half of Lennon's life was a difficult struggle against that image and the expectations of fame in general. Here all that is cheerily kicked aside, because the public would rather he had made peace with his old partner. Okay, there is some complexity in this film, and it isn't a hack job, but the underlying premise remains unsettling to me. This film does not claim to be fact, but the real history was so interesting that I don't like fictional rewrites of that history. Read Lennon's fascinating ""Playboy"" interviews from 1980 and you will get a much truer picture of this situation late in Lennon's life. Rest assured, this is pure fiction, and frankly kinda weird. Here is the heart-to-heart chat they never had; what are we supposed to do when we wake up from this dream? The dream is over, mate. If we want to enjoy the Beatles, we can always revisit work from their genuine collaboration in the sixties. If we want to enjoy the ex-Beatles, perhaps we could take them on their own terms.",2,Pizza and fairy tales,1307491200,"06 8, 2011",2011,1711,"['movie', 'amusing', 'piece', 'fiction', 'actors', 'do', 'pretty', 'good', 'job', 'channeling', 'personas', 'Lennon', 'McCartney', 'giving', 'obsessed', 'fans', 'happier', 'ending', 'ever', 'was', 'entire', 'enterprise', 'strange', 'so', 'beloved', 'are', 'Beatles', 'fans', 'must', 'sit', 'around', 'imagining', 'how', 'wonderful', 'would', 'be', 'John', 'Paul', 'had', 'made', 'up', 'completely', 'seventies', 'palled', 'feeling', 'ran', 'Central', 'Park', 'schoolboys', 'A', 'Hard', 'Day', 'Night', 'sang', 'together', 'etc', 'Fans', 'take', 'so', 'personally', 'Can', 'not', 'love', 'Beatles', 'warts', 'genuine', 'flawed', 'human', 'beings', 'who', 'never', 'entirely', 'conformed', 'image', 'what', 'ought', 'be', 'do', 'Must', 'be', 'friendly', 'mop', 'tops', 'forever', 'second', 'half', 'Lennon', 'life', 'was', 'difficult', 'struggle', 'image', 'expectations', 'fame', 'general', 'Here', 'cheerily', 'kicked', 'aside', 'public', 'would', 'rather', 'had', 'made', 'peace', 'old', 'partner', 'Okay', 'complexity', 'film', ""n't"", 'hack', 'job', 'underlying', 'premise', 'unsettling', 'film', 'not', 'claim', 'be', 'fact', 'real', 'history', 'was', 'so', 'interesting', 'do', ""n't"", 'like', 'fictional', 'rewrites', 'history', 'Read', 'Lennon', 'fascinating', 'Playboy', 'interviews', '1980', 'will', 'get', 'much', 'truer', 'picture', 'situation', 'late', 'Lennon', 'life', 'Rest', 'assured', 'pure', 'fiction', 'frankly', 'kinda', 'weird', 'Here', 'heart-to-heart', 'chat', 'never', 'had', 'what', 'are', 'supposed', 'do', 'when', 'wake', 'up', 'dream', 'dream', 'mate', 'want', 'enjoy', 'Beatles', 'can', 'always', 'revisit', 'work', 'genuine', 'collaboration', 'sixties', 'want', 'enjoy', 'ex-Beatles', 'perhaps', 'could', 'take', 'own', 'terms']",Two of Us
727668,A1RP6YCOS5VJ5I,B00007ELFF,"GameraRocks ""captpicardfan""","[2, 2]","I am also one of those fans that watched this movie ten years ago and bought this because of it being so good. What can I say? This movie may not be based on a true story, but it is still a great film anyway. It feels like a Beatles fan's fantasy of what it would have been like if the two really hung out for the entire day together again. It also gives me a sad feeling, which it does all fans, to see John and know what was going to happen to him in just a few years. Wish that part of his life could be re-written in reality. Anyway, this is a really touching film for the fans.",5,Fantastic,1246406400,"07 1, 2009",2009,582,"['am', 'also', 'one', 'fans', 'watched', 'movie', 'ten', 'years', 'ago', 'bought', 'being', 'so', 'good', 'What', 'can', 'say', 'movie', 'may', 'not', 'be', 'based', 'true', 'story', 'still', 'great', 'film', 'anyway', 'Beatles', 'fan', 'fantasy', 'what', 'would', 'have', 'been', 'two', 'really', 'out', 'entire', 'day', 'together', 'again', 'also', 'sad', 'feeling', 'fans', 'see', 'John', 'know', 'what', 'was', 'going', 'happen', 'just', 'few', 'years', 'Wish', 'part', 'life', 'could', 'be', 're-written', 'reality', 'Anyway', 'really', 'touching', 'film', 'fans']",Two of Us
727669,A1ST1XBL6EQTBV,B00007ELFF,HE WHO FUNKS BEHIND THE ROWS!!,"[2, 2]","I think Aidan Quinn (Paul McCartney), who I've appreciated in many different rolesdown through the years, and Jared Harris (looks and acts like Lennon so much thatit's spooky at times!), did a wonderful job in this ""what-if"" movie that's supposedlybased on an actual impromptu meeting between ex-Beatles / musical partners / friendsPaul McCartney and John Lennon in NYC in 1976.In this movie, the Beatles have been broken up since 1970, and it wasn'ta nice clean break either!---Many hurt feelings and bruised egos.After not speaking for six years and throwing barbs at each other ininterviews (well, John at least!), Paul, who is at the peak of his WINGS period,is in NYC for 4 sold-out shows at Madison Square Garden when he decides to pay hisold friend / nemesis John Lennon at visit at The Dakota.John has been basically out of the music game (with exceptions) sincethe early 70's, and has moved to New York with Yoko Ono and they have asmall child together..Sean Lennon, who John is more than happy to dote on andbe the father and husband that he could never be back in his youth when oldest sonJulian was born and his first wife, Cynthia were together.He basically likes hanging out and living the life that he wants to live,free of being controlled by the madness of Beatlemania in the 60's, and he and Yoko'sprotest period in the early 70's. He could give two hoots about the record businessat this point, and works only when he wants to.Paul, on the other hand, loves being who he is and making music, which John chidesevery chance he gets as ""Silly Love Songs"" and ""Nursery Rhymes"", much to Paul's chagrin.These two start off cautious and cool towards each other....Paul more warm than John.Slowly the ice begins to melt as they reminisce and re-connect.They laugh and joke and play music and sing songs one minute, then arein heated verbal fights the next, running the gamut of emotions you might(ehh-hem!) imagine (forgive the pun!) them to feel after seeing each other forthe first time in six years.  (-:They even go out on the town incognito, dressed in ridiculous derby hats and moustaches.John, ever caustic and sardonic, really reams out a fan or two who recognize the twoin a restuarant and come over with Beatles-talk and making ridiculous demands.The scene is hilarious, and seems like something that John may have actually done.Overall, this is a great little flight of creative fancy which gives us an glimpseof what might have really happened in this alleged and fateful reunion.I found it to be engrossing, humorous in places, and very charming.If you're into The Beatles, Paul McCartney and John Lennon, you'll love this!",5,"An Interesting ""What-If"" Movie!!---Spectres Of What Might've Been??",1286928000,"10 13, 2010",2010,2647,"['think', 'Aidan', 'Quinn', 'Paul', 'McCartney', 'who', ""'ve"", 'appreciated', 'many', 'different', 'rolesdown', 'years', 'Jared', 'Harris', 'looks', 'acts', 'Lennon', 'so', 'much', 'thatit', 'spooky', 'times', 'did', 'wonderful', 'job', 'what-if', 'movie', 'supposedlybased', 'actual', 'impromptu', 'meeting', 'ex-Beatles', '/', 'musical', 'partners', '/', 'friendsPaul', 'McCartney', 'John', 'Lennon', 'NYC', '1976.In', 'movie', 'Beatles', 'have', 'been', 'broken', 'up', '1970', 'nice', 'clean', 'break', '-Many', 'hurt', 'feelings', 'bruised', 'egos.After', 'not', 'speaking', 'six', 'years', 'throwing', 'barbs', 'other', 'ininterviews', 'well', 'John', 'least', 'Paul', 'who', 'peak', 'WINGS', 'period', 'NYC', '4', 'sold-out', 'shows', 'Madison', 'Square', 'Garden', 'when', 'pay', 'hisold', 'friend', '/', 'nemesis', 'John', 'Lennon', 'visit', 'Dakota.John', 'been', 'basically', 'music', 'game', 'exceptions', 'sincethe', 'early', '70', 'moved', 'New', 'York', 'Yoko', 'Ono', 'have', 'child', 'together..Sean', 'Lennon', 'who', 'John', 'more', 'happy', 'dote', 'father', 'husband', 'could', 'never', 'be', 'back', 'youth', 'when', 'oldest', 'sonJulian', 'was', 'born', 'first', 'wife', 'Cynthia', 'were', 'together.He', 'basically', 'likes', 'hanging', 'out', 'living', 'life', 'live', 'free', 'being', 'controlled', 'madness', 'Beatlemania', '60', ""Yoko'sprotest"", 'period', 'early', '70', 'could', 'give', 'two', 'hoots', 'record', 'businessat', 'point', 'only', 'when', 'to.Paul', 'other', 'hand', 'loves', 'being', 'who', 'making', 'music', 'John', 'chidesevery', 'chance', 'Silly', 'Love', 'Songs', 'Nursery', 'Rhymes', 'much', 'Paul', 'chagrin.These', 'two', 'start', 'cautious', 'cool', 'towards', 'other', 'more', 'warm', 'John.Slowly', 'ice', 'melt', 'reminisce', 're-connect.They', 'laugh', 'joke', 'play', 'music', 'sing', 'songs', 'one', 'minute', 'then', 'arein', 'heated', 'verbal', 'fights', 'next', 'running', 'gamut', 'emotions', 'might', 'ehh-hem', 'imagine', 'forgive', 'pun', 'feel', 'seeing', 'other', 'forthe', 'first', 'time', 'six', 'years', 'even', 'go', 'out', 'town', 'incognito', 'dressed', 'ridiculous', 'derby', 'hats', 'moustaches.John', 'ever', 'caustic', 'sardonic', 'really', 'out', 'fan', 'two', 'who', 'recognize', 'twoin', 'restuarant', 'come', 'Beatles-talk', 'making', 'ridiculous', 'demands.The', 'scene', 'hilarious', 'something', 'John', 'may', 'have', 'actually', 'done.Overall', 'great', 'little', 'flight', 'creative', 'fancy', 'glimpseof', 'what', 'might', 'have', 'really', 'happened', 'alleged', 'fateful', 'reunion.I', 'found', 'be', 'engrossing', 'humorous', 'places', 'very', 'charming.If', ""'re"", 'Beatles', 'Paul', 'McCartney', 'John', 'Lennon', ""'ll"", 'love']",Two of Us
727670,A11P7PDFFZFVWO,B00007ELFF,"HUGH H. KIRKPATRICK ""Chuck Kirkpatrick""","[1, 2]","....for all the memories it brought back.  This is an absolutely brilliant play about ""what if...."".  I was so lucky to have grown up with the Beatles.  They changed the world.",5,Made me cry....,1290816000,"11 27, 2010",2010,176,"['.for', 'memories', 'brought', 'back', 'absolutely', 'brilliant', 'play', 'what', 'was', 'so', 'lucky', 'have', 'grown', 'up', 'Beatles', 'changed', 'world']",Two of Us
727671,A39I79H1A2A8C3,B00007ELFF,Irving Faqua,"[0, 0]","This was an enjoyable dipiction of one day in their life.  Many of the facts are documented and many are stretched for drama sake.I wasn't too pleased with the choice of Aidan Quinn as Paul.  He was a little over the top with the forced Liverpool accent sounding almost ""Yellow Submarinish.""What is nice is seeing how John might have acted in a normal situation doing normal things.While not perfect.....very good!",4,Easy Watch,1295308800,"01 18, 2011",2011,414,"['was', 'enjoyable', 'dipiction', 'one', 'day', 'life', 'Many', 'facts', 'are', 'documented', 'many', 'are', 'stretched', 'drama', 'sake.I', 'was', ""n't"", 'too', 'pleased', 'choice', 'Aidan', 'Quinn', 'Paul', 'was', 'little', 'top', 'forced', 'Liverpool', 'accent', 'sounding', 'almost', 'Yellow', 'Submarinish', 'What', 'nice', 'seeing', 'how', 'John', 'might', 'have', 'acted', 'normal', 'situation', 'doing', 'normal', 'not', 'perfect', '..very', 'good']",Two of Us
727672,A19JYLHD94K94D,B00007ELFF,Itamar Katz,"[6, 7]","Being the Beatlemaniac that I am, I approached Two Of Us with a combination of fear and fascination. Having seen 'In His Life: The John Lennon Story', I was quite concerned that Two Of Us will turn out no better. The fact that Aidan Quinn and Jared Harris look absolutely nothing like John Lennon and Paul McCartney - even with some make-up and proper hairdos - didn't help one bit.But I was more than a bit pleasantly surprised. It's probably thanks to the involvement of Michael Lindsay-Hogg, who directed Let It Be in 1970 and consequently probably knew John and Paul quite well, that the characters and the dialogue came across as convincing as they did. (The writing credit for Two Of Us is given to a man named Mark Stanfield, of whom I know absolutely nothing; I feel confident that director Lindsay-Hogg had more than a bit to do with the script.) Two Of Us is not a biography of the Beatles; it has very little plot, in fact, and takes place all in one day in New York City. What it does is imagine a meeting between John and Paul in 1976, while John lived in New York. That meeting is entirely fictitious, of course - though it can't truly be disproved that such a meeting actually took place. But through that imagined conversation it gives us a glimpse into the personalities of these two great musicians - their intelligence, their sense of humor, their different reaction to stardom, and most of all their relationship; what made them such a great team, and what broke them up.Since it's a talk movie, nothing much except for dialogue between two characters for an hour and a half, it's likely to bore all but true fans of the Beatles; but it's a fantastic piece of writing and storytelling, and is both informative and touching. For those interested in these two musical giants, very quickly you'll get over the shock of how different the actors look from their counterparts and feel like John and Paul had come to life - so intimate and convincing is the script, and so committed are the actors. Two Of Us gives you priceless insight into the lives of two geniuses, and a tale that is both sad and funny. Most certainly recommended.",5,Surprisingly good,1127606400,"09 25, 2005",2005,2148,"['Being', 'Beatlemaniac', 'am', 'approached', 'Two', 'Us', 'combination', 'fear', 'fascination', 'Having', 'seen', 'Life', 'John', 'Lennon', 'Story', 'was', 'quite', 'concerned', 'Two', 'Us', 'will', 'turn', 'out', 'better', 'fact', 'Aidan', 'Quinn', 'Jared', 'Harris', 'look', 'absolutely', 'nothing', 'John', 'Lennon', 'Paul', 'McCartney', 'even', 'make-up', 'proper', 'hairdos', 'did', ""n't"", 'help', 'one', 'bit.But', 'was', 'more', 'bit', 'pleasantly', 'surprised', 'probably', 'thanks', 'involvement', 'Michael', 'Lindsay-Hogg', 'who', 'directed', 'Let', 'Be', '1970', 'consequently', 'probably', 'knew', 'John', 'Paul', 'quite', 'well', 'characters', 'dialogue', 'came', 'as', 'convincing', 'did', 'writing', 'credit', 'Two', 'Us', 'given', 'man', 'named', 'Mark', 'Stanfield', 'whom', 'know', 'absolutely', 'nothing', 'feel', 'confident', 'director', 'Lindsay-Hogg', 'had', 'more', 'bit', 'do', 'script', 'Two', 'Us', 'not', 'biography', 'Beatles', 'very', 'little', 'plot', 'fact', 'place', 'one', 'day', 'New', 'York', 'City', 'What', 'imagine', 'meeting', 'John', 'Paul', '1976', 'John', 'lived', 'New', 'York', 'meeting', 'entirely', 'fictitious', 'course', 'ca', ""n't"", 'truly', 'be', 'disproved', 'meeting', 'actually', 'took', 'place', 'imagined', 'conversation', 'glimpse', 'personalities', 'two', 'great', 'musicians', 'intelligence', 'sense', 'humor', 'different', 'reaction', 'stardom', 'most', 'relationship', 'what', 'made', 'great', 'team', 'what', 'broke', 'up.Since', 'talk', 'movie', 'nothing', 'much', 'dialogue', 'two', 'characters', 'hour', 'half', 'likely', 'bore', 'true', 'fans', 'Beatles', 'fantastic', 'piece', 'writing', 'storytelling', 'informative', 'touching', 'interested', 'two', 'musical', 'giants', 'very', 'quickly', ""'ll"", 'get', 'shock', 'how', 'different', 'actors', 'look', 'counterparts', 'feel', 'John', 'Paul', 'had', 'come', 'life', 'so', 'intimate', 'convincing', 'script', 'so', 'committed', 'are', 'actors', 'Two', 'Us', 'priceless', 'insight', 'lives', 'two', 'geniuses', 'tale', 'sad', 'funny', 'Most', 'certainly', 'recommended']",Two of Us
