,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
746013,AVB1QMJ8ONEQR,B00008OM6K,"Anam Cara  Hawaii ""anamcarahawaii""","[0, 0]","I bought this for my 8 year old as part of her Homeschooling. She loves David Attenborough, she refers to him as her &#34;teacher&#34;!Thank you",5,Excellent,1374451200,"07 22, 2013",2013,144,"['bought', '8', 'year', 'old', 'part', 'Homeschooling', 'David', 'Attenborough', '34', '34', 'Thank']",N/A
746014,A3LTZGHZBBBQX0,B00008OM6K,Anthony L.,"[1, 1]","Everything David Attenborough has done is great. No one captures the natural world, in all it's pride and glory, in all it's splendour and hardship, like BBC and David Attenborough.From The Living Planet to Planet Earth, Attenborough has brought the earth that we could never go to, right to our living rooms.Not only does he excite our eyes and hearts, but also our brains, as these documentaries are informative without being talky, and interesting without being silly.The Life of Mammals is _must watching_. It's brilliant, and I guarantee an information packed, exciting watch! The footage the BBC team has gone some far to get is more than worth it!Strongest recommendation for families, students, and the general public!",5,Brilliant Documentary Series. By far the Best!,1352419200,"11 9, 2012",2012,726,"['Everything', 'David', 'Attenborough', 'done', 'great', 'one', 'natural', 'world', 'pride', 'glory', 'splendour', 'hardship', 'BBC', 'David', 'Attenborough.From', 'Living', 'Planet', 'Planet', 'Earth', 'Attenborough', 'brought', 'earth', 'could', 'never', 'go', 'right', 'living', 'rooms.Not', 'only', 'excite', 'eyes', 'hearts', 'also', 'brains', 'documentaries', 'are', 'informative', 'being', 'talky', 'interesting', 'being', 'silly.The', 'Life', 'Mammals', '_must', 'watching_', 'brilliant', 'guarantee', 'information', 'packed', 'exciting', 'watch', 'footage', 'BBC', 'team', 'gone', 'far', 'get', 'more', 'Strongest', 'recommendation', 'families', 'students', 'general', 'public']",N/A
746015,A318YMWV6R5DNT,B00008OM6K,"Arcade Bear ""AC""","[60, 61]",I've watched this series three times over the last couple years. I can say that after seeing tens of thousands of movies and documentaries over my entire lifetime that this is hands down the greatest series I've ever seen.It will change your life and make you look at the world differently. You will never look at a non-human the same way again.The photography is perfect. It never gets boring. It's like seeing an alien world that you live on. You will see things that you would never see if you spent a lifetime searching.,5,"Great DVD Series, Ever, Period. It's Miraculous.",1209686400,"05 2, 2008",2008,524,"[""'ve"", 'watched', 'series', 'three', 'times', 'last', 'couple', 'years', 'can', 'say', 'seeing', 'tens', 'thousands', 'movies', 'documentaries', 'entire', 'lifetime', 'down', 'greatest', 'series', ""'ve"", 'ever', 'seen.It', 'will', 'change', 'life', 'make', 'look', 'world', 'differently', 'will', 'never', 'look', 'non-human', 'same', 'way', 'photography', 'perfect', 'never', 'boring', 'seeing', 'alien', 'world', 'live', 'will', 'see', 'things', 'would', 'never', 'see', 'spent', 'lifetime', 'searching']",N/A
746016,A2VMT89TCSF105,B00008OM6K,"Ashtar Command ""Seeker""","[0, 0]","David Attenborough strikes again. What more can I say? This time, he takes on some of our own kind: mammals.Meet beavers building their huge dams, racoons swarming all over American cities (now I understand why blogger John Michael Greer believes that racoons will eventually evolve into the next intelligent species!), hedgehogs in Attenborough's own backyard, kangaroos, orang-utans trying out saws and hammers (Planet of the Apes, anyone?), chimps on a stampede...you get the picture.The deepest mystery: why do tree-living sloths insist on defecate on the ground, where they are easy pray? Unintelligent design, anyone? As usual, Attenborough inserts himself into the action, at one point trailing a Siberian tiger. For once, he's cheating - the tiger lives behind a fence, and I don't blame David for not getting inside the fenced area!I haven't seen this particular DVD, so this is a review of the show itself, which I've seen elsewhere.",4,"Well, it's David Attenborough again",1382400000,"10 22, 2013",2013,943,"['David', 'Attenborough', 'strikes', 'again', 'What', 'more', 'can', 'say', 'time', 'own', 'kind', 'mammals.Meet', 'beavers', 'building', 'huge', 'dams', 'racoons', 'swarming', 'American', 'cities', 'now', 'understand', 'why', 'blogger', 'John', 'Michael', 'Greer', 'racoons', 'will', 'eventually', 'evolve', 'next', 'intelligent', 'species', 'hedgehogs', 'Attenborough', 'own', 'backyard', 'kangaroos', 'orang-utans', 'trying', 'out', 'saws', 'hammers', 'Planet', 'Apes', 'anyone', 'chimps', 'stampede', 'get', 'picture.The', 'deepest', 'mystery', 'why', 'do', 'tree-living', 'sloths', 'insist', 'defecate', 'ground', 'where', 'are', 'easy', 'pray', 'Unintelligent', 'design', 'anyone', 'usual', 'Attenborough', 'action', 'one', 'point', 'trailing', 'Siberian', 'tiger', 'once', 'cheating', 'tiger', 'fence', 'do', ""n't"", 'blame', 'David', 'not', 'getting', 'fenced', 'area', 'have', ""n't"", 'seen', 'particular', 'DVD', 'review', 'show', ""'ve"", 'seen', 'elsewhere']",N/A
746017,A8P076YJHIMBN,B00008OM6K,buen chapin,"[0, 0]","Another magnificent production from  the BBC!  In a way, even better and more focused, than ""Planet Earth"".  This production deserves more than 5 stars. Isn't nature a wonderful thing?  This should be a must see for everyone on the planet.",5,Magnificent!!!!!,1189036800,"09 6, 2007",2007,239,"['magnificent', 'production', 'BBC', 'way', 'even', 'better', 'more', 'focused', 'Planet', 'Earth', 'production', 'more', '5', 'stars', ""n't"", 'nature', 'wonderful', 'thing', 'should', 'be', 'must', 'see', 'everyone', 'planet']",N/A
746018,A1O834DDK5QNKE,B00008OM6K,"Christopher Beard ""I...review...huh?""","[11, 11]","Mammals is another must see from David Attenborough. These DVD's are simply amazing. The photography they shoot in these is just incredible. David Attenborough has the perfect voice to commentate. I love every aspect of these and I watch them over and over again.If these were just music and the films they shot it would still be amazing without all the fun, exciting, and interesting things you learn. It is that beautiful. There is something about these DVD's that is so relaxing, I just love to turn them on and lay down and nap to the relaxing background music and David talking me to sleep.This is a DVD set that will rarely leave your player, it is the fruits of a lot of hard work by the crew. Buy it and enjoy it to the fullest.I also strongly recommend Blue Planet in addition to the Mammals DVD's, buy them both, sit back, relax, learn, and enjoy. David Attenborough does very good work and I highly recommend all of his documentary work.Good stuff.",5,Simply beautiful,1097712000,"10 14, 2004",2004,959,"['Mammals', 'must', 'see', 'David', 'Attenborough', 'DVD', 'are', 'simply', 'amazing', 'photography', 'shoot', 'just', 'incredible', 'David', 'Attenborough', 'perfect', 'voice', 'commentate', 'love', 'aspect', 'watch', 'again.If', 'were', 'just', 'music', 'films', 'shot', 'would', 'still', 'be', 'amazing', 'fun', 'exciting', 'interesting', 'things', 'learn', 'beautiful', 'something', 'DVD', 'so', 'relaxing', 'just', 'love', 'turn', 'lay', 'down', 'nap', 'relaxing', 'background', 'music', 'David', 'talking', 'sleep.This', 'DVD', 'set', 'will', 'rarely', 'leave', 'player', 'fruits', 'lot', 'hard', 'work', 'crew', 'Buy', 'enjoy', 'fullest.I', 'also', 'strongly', 'recommend', 'Blue', 'Planet', 'addition', 'Mammals', 'DVD', 'buy', 'sit', 'back', 'relax', 'learn', 'enjoy', 'David', 'Attenborough', 'very', 'good', 'work', 'highly', 'recommend', 'documentary', 'work.Good', 'stuff']",N/A
746019,A2ZOOT9IT4U4KZ,B00008OM6K,Clifford C. Perera,"[0, 0]",i cllect the bbc seriesas they are educational to the kids ihave donated some& encurage warching itcliff  this shoud be a must read for all ages to unhave a glimpse into darvin,5,documetaries about the animal kigdomby B>B>C is exceptional,1362441600,"03 5, 2013",2013,176,"['i', 'cllect', 'bbc', 'seriesas', 'are', 'educational', 'kids', 'ihave', 'donated', 'encurage', 'warching', 'itcliff', 'shoud', 'be', 'must', 'read', 'ages', 'unhave', 'glimpse', 'darvin']",N/A
746020,A2DAAPYZTJ9PZA,B00008OM6K,C. Moon,"[100, 117]","I will not shirk Attenborough's knighthood.  He certainly deserves the title, probably far more than a plenty of others.  I can't pick a series of his that I haven't enjoyed, but having now watched this series through a couple times, I'm struck with a sense that I've seen all this before.And, well, maybe I have.  Back in seventies, Attenborough and his team were given apparently limitless funds and some seven years or so to make the most amazing nature documentary possible--and they did.  Life on Earth redefined the scope of what you could do with with a science program.  It was something like the Citizen Kane of nature shows, covering the evolution of life on earth (all 3.5 billion years!)The only problem is what do you do for an encore...well, you do The Living Planet, Trials of Live, The Life of Birds, Life in the Freezer, Secret Life of Plants, etc. etc.  And of course, The Life of Mammals.  And not a one was I dissapointed with (though there are two I haven't seen yet), yet everyone felt a little lesser than the original 'Life on Earth'.  At least with 'Life of Plants' he's mostly covering new material (and hence this is one of his stronger outings, but with Mammals, we have what is more or less a rehash of material already covered extensively in Life On Earth and Trials of Life (and probably Living Planet, but I haven't seen this one yet.)That isn't necessarily a bad thing since Sir Attenborough has all new equipment this time round, a gorgeous soundtrack and as always a top notch crew that is both talented and dedicated in their filming of animals from all over the world.  The question however is if the new footage justifies a new series.  And...well...I'm not really sure.  I love owning these DVDs and I really enjoy watching them.  They are extensively entertaining while in truth not really breaking any ground that David Attenborough didn't first break himself back in 1979.My final take is that if you haven't seen the older series, this is DEFINITELY worth it.  It's absolutely a work of quality and we're lucky to get DVDs of these BBC releases.  For fans of Attenborough's work however, this becomes a different matter.  Side by side with 'life on earth', 'Mammals' feels rather vacant but still enjoyable.",4,Both fantastic and a little dissapointing...,1063843200,"09 18, 2003",2003,2250,"['will', 'not', 'shirk', 'Attenborough', 'knighthood', 'certainly', 'title', 'probably', 'far', 'more', 'plenty', 'others', 'ca', ""n't"", 'pick', 'series', 'have', ""n't"", 'enjoyed', 'having', 'now', 'watched', 'series', 'couple', 'times', ""'m"", 'struck', 'sense', ""'ve"", 'seen', 'before.And', 'well', 'maybe', 'have', 'Back', 'seventies', 'Attenborough', 'team', 'were', 'given', 'apparently', 'limitless', 'funds', 'seven', 'years', 'so', 'make', 'most', 'amazing', 'nature', 'documentary', 'possible', 'did', 'Life', 'Earth', 'redefined', 'scope', 'what', 'could', 'do', 'science', 'program', 'was', 'something', 'Citizen', 'Kane', 'nature', 'shows', 'covering', 'evolution', 'life', 'earth', '3.5', 'billion', 'years', 'only', 'problem', 'what', 'do', 'do', 'encore', 'well', 'do', 'Living', 'Planet', 'Trials', 'Live', 'Life', 'Birds', 'Life', 'Freezer', 'Secret', 'Life', 'Plants', 'etc', 'etc', 'course', 'Life', 'Mammals', 'not', 'one', 'was', 'dissapointed', 'are', 'two', 'have', ""n't"", 'seen', 'yet', 'yet', 'everyone', 'felt', 'little', 'lesser', 'original', ""'Life"", 'Earth', 'least', ""'Life"", 'Plants', 'mostly', 'covering', 'new', 'material', 'hence', 'one', 'stronger', 'outings', 'Mammals', 'have', 'what', 'more', 'less', 'rehash', 'material', 'already', 'covered', 'extensively', 'Life', 'Earth', 'Trials', 'Life', 'probably', 'Living', 'Planet', 'have', ""n't"", 'seen', 'one', 'yet', ""n't"", 'necessarily', 'bad', 'thing', 'Sir', 'Attenborough', 'new', 'equipment', 'time', 'round', 'gorgeous', 'soundtrack', 'always', 'top', 'notch', 'crew', 'talented', 'dedicated', 'filming', 'animals', 'world', 'question', 'however', 'new', 'footage', 'new', 'series', 'well', ""'m"", 'not', 'really', 'sure', 'love', 'owning', 'DVDs', 'really', 'enjoy', 'watching', 'are', 'extensively', 'entertaining', 'truth', 'not', 'really', 'breaking', 'ground', 'David', 'Attenborough', 'did', ""n't"", 'first', 'break', 'back', '1979.My', 'final', 'take', 'have', ""n't"", 'seen', 'older', 'series', 'DEFINITELY', 'absolutely', 'work', 'quality', ""'re"", 'lucky', 'get', 'DVDs', 'BBC', 'releases', 'fans', 'Attenborough', 'work', 'however', 'different', 'matter', 'Side', 'side', ""'life"", 'earth', ""'Mammals"", 'feels', 'rather', 'vacant', 'still', 'enjoyable']",N/A
746021,A2XWU6Y8PF8L17,B00008OM6K,"CreepyT ""CreepyTendencies""","[1, 1]","This DVD series has been required supplemental viewing for a college course, and I must say that I was a little skeptical at first about spending this much money on supplemental material that was in addition to the required text.  However, I was pleasantly surprised to find the money was very well spent.  Indeed, this is a DVD set that I will watch over and over again.The Life of Mammals captures some fantastic video footage, with simply amazing cinematography.  Some of the shots are absolutely incredible, very accurately depicting the sheer beauty that is our natural world and the beings encapsulated within it.David Attenborough's narration is at times informative and at other times whimsical and humorous.  However, it is never overly serious or dry.  Furthermore, there isn't so much information packed into the narration that it's overwhelming.  The material supplemented our text quite well.  That is not to say, however, that there is nothing to be gained from this DVD set if you are not a biology/mammology student.The DVD set opens with A Winning Design, which describes monotremes and marsupials, the base of the evolutionary tree as far as mammals are concerned.  Insect Hunters, obviously, depicts insectivores such as bats and anteaters.  Plant Predators goes on to discuss herbivores such as giraffes and elephants.  Chisellers is all about the largest and most abundant mammal group, the rodents.  Meat Eaters covers the canids and felids.  The Opportunists is a fascinating look at omnivorous animals such as raccoons.  Return to the Water covers whales, otters, dolphins, etc.  Life in the Trees is a veritable hodge-podge of different mammals groups taking advantage of this unique ecosystem (squirrels, bats, primates).  Social Climbers goes into detail on primates.  Food for thought links us with our mammalian ancestors.The Life of Mammals is definitely not your average nature documentary.  Animal lovers the world over will fall in love with this DVD set, and perhaps learn something new from it in the process.  I look forward to checking out what some of the other BBC/David Attenborough DVD series have to offer.",5,Beautifully filmed and narrated,1194134400,"11 4, 2007",2007,2148,"['DVD', 'series', 'been', 'required', 'supplemental', 'viewing', 'college', 'course', 'must', 'say', 'was', 'little', 'skeptical', 'first', 'spending', 'much', 'money', 'supplemental', 'material', 'was', 'addition', 'required', 'text', 'However', 'was', 'pleasantly', 'surprised', 'find', 'money', 'was', 'very', 'well', 'spent', 'Indeed', 'DVD', 'set', 'will', 'watch', 'again.The', 'Life', 'Mammals', 'fantastic', 'video', 'footage', 'simply', 'amazing', 'cinematography', 'shots', 'are', 'absolutely', 'incredible', 'very', 'accurately', 'depicting', 'sheer', 'beauty', 'natural', 'world', 'beings', 'encapsulated', 'it.David', 'Attenborough', 'narration', 'times', 'informative', 'other', 'times', 'whimsical', 'humorous', 'However', 'never', 'overly', 'serious', 'dry', 'Furthermore', ""n't"", 'so', 'much', 'information', 'packed', 'narration', 'overwhelming', 'material', 'supplemented', 'text', 'quite', 'well', 'not', 'say', 'however', 'nothing', 'be', 'gained', 'DVD', 'set', 'are', 'not', 'biology/mammology', 'student.The', 'DVD', 'set', 'opens', 'A', 'Winning', 'Design', 'monotremes', 'marsupials', 'base', 'evolutionary', 'tree', 'as', 'far', 'mammals', 'are', 'concerned', 'Insect', 'Hunters', 'obviously', 'insectivores', 'such', 'bats', 'anteaters', 'Plant', 'Predators', 'discuss', 'herbivores', 'such', 'giraffes', 'elephants', 'Chisellers', 'largest', 'most', 'abundant', 'mammal', 'group', 'rodents', 'Meat', 'Eaters', 'canids', 'felids', 'Opportunists', 'fascinating', 'look', 'omnivorous', 'animals', 'such', 'raccoons', 'Return', 'Water', 'covers', 'whales', 'otters', 'dolphins', 'etc', 'Life', 'Trees', 'veritable', 'hodge-podge', 'different', 'mammals', 'groups', 'taking', 'advantage', 'unique', 'ecosystem', 'squirrels', 'bats', 'primates', 'Social', 'Climbers', 'detail', 'primates', 'Food', 'thought', 'links', 'mammalian', 'ancestors.The', 'Life', 'Mammals', 'definitely', 'not', 'average', 'nature', 'documentary', 'Animal', 'lovers', 'world', 'will', 'fall', 'love', 'DVD', 'set', 'perhaps', 'learn', 'something', 'new', 'process', 'look', 'forward', 'checking', 'out', 'what', 'other', 'BBC/David', 'Attenborough', 'DVD', 'series', 'have', 'offer']",N/A
746022,A19VXJN27K39QJ,B00008OM6K,Diane Hoffman,"[0, 1]",bought this last year for my daughter.  She loves it and watches it over and over.,5,the life of mammals dvd,1197331200,"12 11, 2007",2007,82,"['bought', 'last', 'year', 'daughter']",N/A
