,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
768005,A126BY05VWKNZG,B0000AUHQ9,Abby Lundstrom,"[1, 1]",I thought they could have done better with the ending of this series but all in all the entire series was good. At least there was an ending nowadays your lucky if they even let you know the show is canceled.,5,Good show weird ending,1254700800,"10 5, 2009",2009,208,"['thought', 'could', 'have', 'done', 'better', 'ending', 'series', 'entire', 'series', 'was', 'good', 'least', 'was', 'ending', 'nowadays', 'lucky', 'even', 'let', 'know', 'show', 'canceled']",N/A
768006,A3QDALCWH5OB80,B0000AUHQ9,Andreas,"[5, 9]","After disappointing season 3, 4, partly 5 and 6 of Dawson's Creek the series finale clearly bears the mark of director and writer Kevin Williamson. His returns is reflected in the focus on the 5 friends Dawson, Joey, Jen, Pacey and Jack. Thanks to obviously Mr. Williamson, the final episode got rid of those unnecessary characters of Audrey, C.J. and whoever. These characters along with Charly (season 5) and Gretchen (season 4) did not fit anyway with the original concept of Dawson's Creek.Although season 3 did include some interesting episodes, the final episode was by far the best episode since season 2. The most touching scene was the one with Dawson reflecting at the creek, seeing Jen getting out of the cab 10 years ago. The scene also shows that Dawson is the best character in the series, the only (besides Jack) really thinking about Jen. Pacey and Joey rather busy with their own relationship, pretty egoistic. In addition, it also highlights the talent of James van der Beek as an actor.To make a long story short: the series finale is a &quot;must&quot; for every fan of the show and what it originally wanted to convey to the audience. &quot;The series that spoke to a generation ...&quot;",5,Back to the roots with Kevin Williamson,1081814400,"04 13, 2004",2004,1209,"['disappointing', 'season', '3', '4', 'partly', '5', '6', 'Dawson', 'Creek', 'series', 'clearly', 'mark', 'director', 'writer', 'Kevin', 'Williamson', 'returns', 'reflected', 'focus', '5', 'friends', 'Dawson', 'Joey', 'Jen', 'Pacey', 'Jack', 'Thanks', 'obviously', 'Mr.', 'Williamson', 'final', 'episode', 'got', 'rid', 'unnecessary', 'characters', 'Audrey', 'C.J', 'whoever', 'characters', 'Charly', 'season', '5', 'Gretchen', 'season', '4', 'did', 'not', 'fit', 'anyway', 'original', 'concept', 'Dawson', 'Creek.Although', 'season', '3', 'did', 'include', 'interesting', 'episodes', 'final', 'episode', 'was', 'far', 'best', 'episode', 'season', '2', 'most', 'touching', 'scene', 'was', 'one', 'Dawson', 'reflecting', 'creek', 'seeing', 'Jen', 'getting', 'cab', '10', 'years', 'ago', 'scene', 'also', 'Dawson', 'best', 'character', 'series', 'only', 'Jack', 'really', 'thinking', 'Jen', 'Pacey', 'Joey', 'rather', 'busy', 'own', 'relationship', 'pretty', 'egoistic', 'addition', 'also', 'talent', 'James', 'van', 'der', 'Beek', 'actor.To', 'make', 'long', 'story', 'short', 'series', 'finale', 'quot', 'must', 'quot', 'fan', 'show', 'what', 'originally', 'wanted', 'convey', 'audience', 'quot', 'series', 'spoke', 'generation', 'quot']",N/A
768007,A3CPULCKC59T1F,B0000AUHQ9,Autumn Garcia,"[6, 7]","This finale was a great ending to a great show!!!!***Part One: All Good Things...It goes 5 years into the future where Dawson, Joey, Pacey, Jen, and Jack are reunited in Capeside for Dawson's mom's wedding. They also find out some heartbreaking news about one of the characters.***Part Two: ...Must Come To An EndThe whole DC crew faces a future more uncertain than ever before, Joey is trying to come to terms with her feelings for Dawson, Pacey, and her current boyfriend. She finally makes her decision and shocks everyone.*Very good buy for anyone who has been into the Dawson's Creek Series. But I definitely recommend watching the other seasons before this one or you won't understand everything.**Good extras too: Alternate endings to the orginal Pilot episode, a commentary for the series finale, and three alternate scenes to original Pilot presentation.****Check it out!!!****",5,Series Finale Rocked!!,1071878400,"12 20, 2003",2003,886,"['finale', 'was', 'great', 'ending', 'great', 'show', '***Part', 'One', 'Good', 'Things', '5', 'years', 'future', 'where', 'Dawson', 'Joey', 'Pacey', 'Jen', 'Jack', 'are', 'reunited', 'Capeside', 'Dawson', 'mom', 'wedding', 'also', 'find', 'out', 'heartbreaking', 'news', 'one', 'characters', '***Part', 'Two', 'Must', 'Come', 'EndThe', 'whole', 'DC', 'crew', 'future', 'more', 'uncertain', 'ever', 'Joey', 'trying', 'come', 'terms', 'feelings', 'Dawson', 'Pacey', 'current', 'boyfriend', 'finally', 'decision', 'shocks', 'everyone', '*Very', 'good', 'buy', 'anyone', 'who', 'been', 'Dawson', 'Creek', 'Series', 'definitely', 'recommend', 'watching', 'other', 'seasons', 'one', 'wo', ""n't"", 'understand', 'everything', '**Good', 'extras', 'too', 'Alternate', 'endings', 'orginal', 'Pilot', 'episode', 'commentary', 'series', 'finale', 'three', 'alternate', 'scenes', 'original', 'Pilot', 'presentation', '****Check', 'out', '****']",N/A
768008,A2620OKD8G71CL,B0000AUHQ9,Bob,"[2, 7]","I was both pleased with this season finale, and sad. Now, I never liked Jen (Michelle Williams) being on the show. I don't know why, but the character and how it was played was just awful. She was too concerned about herself ALL the time. Anyway, when I found out that she had a heart problem, and was going to die, I just broke into tears. She was never my favorite character, but her death made me see her in a different way. I was pleased with the ending. Joey (Katie Holmes) and Pacey (Joshua Jackson) ended up together. I am a huge fan of this relationship, and loved that they got to be together. Dawson has been producing a television show called ""The Creek"", which is about the life of him, Joey, Pacey, and the whole gang. Jack (Kerr Smith), and Pacey's brother Doug end up together. Jack wanted to raise Jen's baby, Amy, so that's what those two end up doing. The ending shows Joey ans Pacey sitting together in her New York apartment watching Dawson's show. They call him up to tell him how great it was. Once again, I love these two together, so if you don't like the Joey/Pacey relationship, you probably won't like the series finale.",4,Pretty Good,1136073600,"01 1, 2006",2006,1147,"['was', 'pleased', 'season', 'finale', 'sad', 'Now', 'never', 'liked', 'Jen', 'Michelle', 'Williams', 'being', 'show', 'do', ""n't"", 'know', 'why', 'character', 'how', 'was', 'played', 'was', 'just', 'awful', 'was', 'too', 'concerned', 'time', 'Anyway', 'when', 'found', 'out', 'had', 'heart', 'problem', 'was', 'going', 'die', 'just', 'broke', 'tears', 'was', 'never', 'favorite', 'character', 'death', 'made', 'see', 'different', 'way', 'was', 'pleased', 'ending', 'Joey', 'Katie', 'Holmes', 'Pacey', 'Joshua', 'Jackson', 'ended', 'up', 'together', 'am', 'huge', 'fan', 'relationship', 'loved', 'got', 'be', 'together', 'Dawson', 'been', 'producing', 'television', 'show', 'called', 'Creek', 'life', 'Joey', 'Pacey', 'whole', 'gang', 'Jack', 'Kerr', 'Smith', 'Pacey', 'brother', 'Doug', 'end', 'up', 'together', 'Jack', 'wanted', 'raise', 'Jen', 'baby', 'Amy', 'what', 'two', 'end', 'up', 'doing', 'ending', 'shows', 'Joey', 'Pacey', 'sitting', 'together', 'New', 'York', 'apartment', 'watching', 'Dawson', 'show', 'call', 'up', 'tell', 'how', 'great', 'was', 'Once', 'again', 'love', 'two', 'together', 'so', 'do', ""n't"", 'like', 'Joey/Pacey', 'relationship', 'probably', 'wo', ""n't"", 'like', 'series', 'finale']",N/A
768009,A19IT5EUTAAC6X,B0000AUHQ9,"CHANTELf@n16 ""Chantel""","[9, 9]",Ok I'm a guy & I cried!I don't like shows to go away forever when they are great ones!This episode pulled my tears.The scene where Jen is recording a tape for her daughter killed me.I don't know why the show ended but I miss it already.I liked how Joey ended up with Pacey but I wanted Jen to live and end up with Dawson!But I still love the ending.One scene that reminded me of all the old episodes that really got to me was where Dawson was ouside and imagines Jen coming to her Grandmother's from New York.I think any Dawson's Creek fan should add this to your collection!,5,They know how to make you cry!,1105228800,"01 9, 2005",2005,575,"[""'m"", 'guy', 'cried', 'do', ""n't"", 'like', 'shows', 'go', 'away', 'forever', 'when', 'are', 'great', 'ones', 'episode', 'pulled', 'tears.The', 'scene', 'where', 'Jen', 'recording', 'tape', 'daughter', 'killed', 'me.I', 'do', ""n't"", 'know', 'why', 'show', 'ended', 'miss', 'liked', 'how', 'Joey', 'ended', 'up', 'Pacey', 'wanted', 'Jen', 'live', 'end', 'up', 'Dawson', 'still', 'love', 'ending.One', 'scene', 'reminded', 'old', 'episodes', 'really', 'got', 'was', 'where', 'Dawson', 'was', 'ouside', 'imagines', 'Jen', 'coming', 'Grandmother', 'New', 'York.I', 'think', 'Dawson', 'Creek', 'fan', 'should', 'add', 'collection']",N/A
768010,A3V1FM9EJC1T00,B0000AUHQ9,"EllenMuthFan ""JoshandChristinaCursed""","[5, 18]","I did NOT like the series finale. Michelle was the only saving grace for this episode. I don't like how Pacey is always undermining his other relationships. IMO, it is all a plot to get people to like Joey more than Audrey and even Andie. Funny, how people say that Pacey and Joey were the true romance of the show. I don't agree with that at all. Pacey and Joey didn't have any romantic feelings during seasons 1 and 2. They didn't have any romantic feelings until Pacey kissed her in The Cinderella Story. Joey finally kisses him in Stolen Kisses and then they get together but break up and then get back together. Then they date for an entire season ( season 4) break up because of Pacey's insecurities ( some true romance, Pacey was too insecureto actually want to make it work). Then Pacey and Joey DON'T date during seasons 5 and half of season 6. They get together and then break up and then Bam! FIVE YEARS LATER, they get together.What the heck was so speical about their romance besides Pacey mooning over how beautiful Joey was?I don't like this show and never will.",2,Better off Not being a Pacey and Joey reunion,1079913600,"03 22, 2004",2004,1077,"['did', 'NOT', 'series', 'finale', 'Michelle', 'was', 'only', 'saving', 'grace', 'episode', 'do', ""n't"", 'like', 'how', 'Pacey', 'always', 'undermining', 'other', 'relationships', 'IMO', 'plot', 'get', 'people', 'like', 'Joey', 'more', 'Audrey', 'even', 'Andie', 'Funny', 'how', 'people', 'say', 'Pacey', 'Joey', 'were', 'true', 'romance', 'show', 'do', ""n't"", 'agree', 'Pacey', 'Joey', 'did', ""n't"", 'have', 'romantic', 'feelings', 'seasons', '1', '2', 'did', ""n't"", 'have', 'romantic', 'feelings', 'Pacey', 'kissed', 'Cinderella', 'Story', 'Joey', 'finally', 'Stolen', 'Kisses', 'then', 'get', 'together', 'break', 'up', 'then', 'get', 'back', 'together', 'Then', 'date', 'entire', 'season', 'season', '4', 'break', 'up', 'Pacey', 'insecurities', 'true', 'romance', 'Pacey', 'was', 'too', 'insecureto', 'actually', 'want', 'make', 'work', 'Then', 'Pacey', 'Joey', 'DO', ""N'T"", 'date', 'seasons', '5', 'half', 'season', '6', 'get', 'together', 'then', 'break', 'up', 'then', 'Bam', 'FIVE', 'YEARS', 'LATER', 'get', 'heck', 'was', 'so', 'speical', 'romance', 'Pacey', 'mooning', 'how', 'beautiful', 'Joey', 'was', 'do', ""n't"", 'like', 'show', 'never', 'will']",N/A
768011,A3HETHW2XD3DWH,B0000AUHQ9,frisky2000,"[10, 10]","Though I didn't get hooked on this series till season four, I have to say I didn't miss an episode after that.  This finale was one of the best series finales on television, and I've managed to see them all, from Friends, Seinfeld, Millennium, X-Files, and some far too old for many young readers and viewers to remember -- MASH, All in the Family, One Day at a Time...etc.  Dawson's Creek was one of those wonderful shows that allowed the viewer to care about the characters and about what happens to them.  Though many young people across the country cannot relate to the New England lives of these teens, their stories are human enough to cross the barriers that separate the various cultures in the U.S.  Let's face it, not many kids can jump on a boat and go sailing all summer instead of finding gainful employment.But most will relate to the on and off romances between Joey and Dawson, Pacey and Andie and Joey {and just about every other cute babe who crossed his path}, Jack's struggle with his homosexualtiy, Joey's determination to succeed in school and be happy in life, Dawson's never-ending angst, and Jen's 180 degree turnabout from being the town floozy with drug and alcohol issues, to the dedicated single mom in the finale.  We laugh, cry, and cheer for these characters, and as they close the book on this series, we aren't left with any unanswered questions.  One by one all the ends are tied up, some not as neatly as we'd like, but in the end we know they'll all be okay.  The music chosen, as always with this show, is just perfect.  You will need a box of tissues for this one, take my word.  It is very memorable and worthwhile viewing.",5,Adults can love this show too....,1132012800,"11 15, 2005",2005,1663,"['did', ""n't"", 'get', 'hooked', 'series', 'till', 'season', 'four', 'have', 'say', 'did', ""n't"", 'miss', 'episode', 'finale', 'was', 'one', 'best', 'series', 'finales', 'television', ""'ve"", 'managed', 'see', 'Friends', 'Seinfeld', 'Millennium', 'X-Files', 'far', 'too', 'old', 'many', 'young', 'readers', 'viewers', 'remember', 'MASH', 'All', 'Family', 'One', 'Day', 'Time', 'etc', 'Dawson', 'Creek', 'was', 'one', 'wonderful', 'shows', 'allowed', 'viewer', 'care', 'characters', 'what', 'many', 'young', 'people', 'country', 'can', 'not', 'relate', 'New', 'England', 'teens', 'stories', 'are', 'human', 'enough', 'cross', 'barriers', 'separate', 'various', 'cultures', 'U.S.', 'Let', 'face', 'not', 'many', 'kids', 'can', 'jump', 'boat', 'go', 'sailing', 'summer', 'instead', 'finding', 'gainful', 'employment.But', 'most', 'will', 'relate', 'off', 'romances', 'Joey', 'Dawson', 'Pacey', 'Andie', 'Joey', 'just', 'about', 'other', 'cute', 'babe', 'who', 'crossed', 'path', 'Jack', 'struggle', 'homosexualtiy', 'Joey', 'determination', 'succeed', 'school', 'be', 'happy', 'life', 'Dawson', 'never-ending', 'angst', 'Jen', '180', 'degree', 'turnabout', 'being', 'town', 'floozy', 'drug', 'alcohol', 'issues', 'dedicated', 'single', 'mom', 'finale', 'laugh', 'cry', 'cheer', 'characters', 'close', 'book', 'series', 'are', ""n't"", 'left', 'unanswered', 'questions', 'One', 'one', 'ends', 'are', 'tied', 'up', 'not', 'as', 'neatly', ""'d"", 'like', 'end', 'know', ""'ll"", 'be', 'okay', 'music', 'chosen', 'always', 'show', 'just', 'perfect', 'will', 'need', 'box', 'tissues', 'one', 'take', 'word', 'very', 'memorable', 'worthwhile', 'viewing']",N/A
768012,A3GA09FYFKL4EY,B0000AUHQ9,Fruit Loop,"[3, 7]","The worst thing about this series is that it's over for good. Any ending to this series would disappoint but I found Jen's fate to be too soapy and too many questions weren't answered - who was her baby's father? Does Dawson become a real star? Pacey and Joey's coupling alone made sense. Still, recommend because it's full circle to a grand series",4,"Somewhat unsatisfying, but any ending would be",1093824000,"08 30, 2004",2004,348,"['worst', 'thing', 'series', 'good', 'ending', 'series', 'would', 'disappoint', 'found', 'Jen', 'fate', 'be', 'too', 'soapy', 'too', 'many', 'questions', 'were', ""n't"", 'answered', 'who', 'was', 'baby', 'father', 'Does', 'Dawson', 'become', 'real', 'star', 'Pacey', 'Joey', 'coupling', 'alone', 'made', 'sense', 'Still', 'recommend', 'full', 'circle', 'grand', 'series']",N/A
768013,A2JAKHFYI88ZX0,B0000AUHQ9,"Jake Z ""holden84""","[6, 7]","The season finale of DAWSON'S CREEK is excellent. The show borrows a lot from its history, like it always has, but honors it in a touching way. The writers also poke fun at the show too, not taking itself too seriously. The show follows the Capeside gang 5 years later. They all come back to Capeside for Mrs. Leery's wedding. Joey is startled when she finds out her boyfriend Christopher is going to propose to her, and in true Joey fashion, runs away. Pacey is running the restaurant in town. Jack is dating Pacey's brother the cop, who is still in the closet. Jen comes back with a baby, who she is raising with Grams.Suddenly at the reception, Jen collapses and Grams reveals Jen's secret, that she has a heart condition. Soon we find out that Jen is dying. The last half of the show was especially sad, I found myself crying for the whole thing. It was just done so poignantly, playing on the show's history, and the characters we've grown to love. That's what was so sad about Jen dying. She wasn't a huge part of the triangle of Joey, Dawson and Pacey which enompassed most of the show, but in a way she really was the heart of the show. In the end, Jack ends up raising her daughter Amy with Pacey's brother. Pacey and Joey end up being together, while Dawson finally gets to meet his hero Steven Speilberg.A great end to a great show!",5,Touching ending to a great show,1137456000,"01 17, 2006",2006,1343,"['season', 'finale', 'DAWSON', 'CREEK', 'excellent', 'show', 'lot', 'history', 'always', 'honors', 'touching', 'way', 'writers', 'also', 'poke', 'fun', 'show', 'too', 'not', 'taking', 'too', 'seriously', 'show', 'Capeside', 'gang', '5', 'years', 'later', 'come', 'back', 'Capeside', 'Mrs', 'Leery', 'wedding', 'Joey', 'startled', 'when', 'out', 'boyfriend', 'Christopher', 'going', 'propose', 'true', 'Joey', 'fashion', 'away', 'Pacey', 'running', 'restaurant', 'town', 'Jack', 'dating', 'Pacey', 'brother', 'cop', 'who', 'still', 'closet', 'Jen', 'back', 'baby', 'who', 'raising', 'Grams.Suddenly', 'reception', 'Jen', 'Grams', 'Jen', 'secret', 'heart', 'condition', 'Soon', 'find', 'out', 'Jen', 'dying', 'last', 'half', 'show', 'was', 'especially', 'sad', 'found', 'crying', 'whole', 'thing', 'was', 'just', 'done', 'so', 'poignantly', 'playing', 'show', 'history', 'characters', ""'ve"", 'grown', 'love', 'what', 'was', 'so', 'sad', 'Jen', 'dying', 'was', ""n't"", 'huge', 'part', 'triangle', 'Joey', 'Dawson', 'Pacey', 'enompassed', 'most', 'show', 'way', 'really', 'was', 'heart', 'show', 'end', 'Jack', 'up', 'raising', 'daughter', 'Amy', 'Pacey', 'brother', 'Pacey', 'Joey', 'end', 'up', 'being', 'together', 'Dawson', 'finally', 'meet', 'hero', 'Steven', 'Speilberg.A', 'great', 'end', 'great', 'show']",N/A
768014,A2NK2HX2ILW3Z7,B0000AUHQ9,James Jenkins,"[0, 0]",I love this show. I bought it as a gift for my daughter and she was in static. Great price for the package with the entire season,5,Classic,1384300800,"11 13, 2013",2013,129,"['love', 'show', 'bought', 'gift', 'daughter', 'was', 'static', 'Great', 'price', 'package', 'entire', 'season']",N/A
