,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
771668,A279AT4OT92T2E,B0000BZLGC,"BLESSED ""Help it's not Letting my change my p...","[0, 0]","I had another DVD Like the one, but the Little girl died it was  and friend of the family that killed her.",5,A Wonderful film,1367366400,"05 1, 2013",2013,106,"['had', 'DVD', 'one', 'Little', 'girl', 'died', 'was', 'friend', 'family', 'killed']",N/A
771669,A1I4SFB4IFG1H9,B0000BZLGC,Carolyn Tyler,"[1, 1]",what a nice and refreshing view of GOD'S love and care for each of us and in accordance with Psalms 91,5,in the arms of angels,1370822400,"06 10, 2013",2013,102,"['what', 'nice', 'refreshing', 'view', 'GOD', 'love', 'care', 'accordance', 'Psalms', '91']",N/A
771670,AWG2O9C42XW5G,B0000BZLGC,"David ""Black Widow 2014""","[0, 16]",This Movie Is Not worth 1 dollar it is to short and ridiculous. thats all,1,Yuck,1132185600,"11 17, 2005",2005,73,"['Movie', 'Not', 'worth', '1', 'dollar', 'short', 'ridiculous', 'thats']",N/A
771671,ABJLL66NMY9ZG,B0000BZLGC,Dianne Henriksen,"[0, 0]",It was a good story but it was only 30 minutes long. I love story's about angels. It was Worth watching.,3,It  was a good story,1376956800,"08 20, 2013",2013,104,"['was', 'good', 'story', 'was', 'only', '30', 'minutes', 'long', 'love', 'story', 'angels', 'was', 'Worth', 'watching']",N/A
771672,A3MDRBWMQBI2PS,B0000BZLGC,"Gadget Queen ""Gadget Queen""","[2, 2]","Even though this video is only 15 minutes, it would be impossible to expand it further without distorting the touchingly beautiful story. The photography was incredible, the film itself, poignant. That said, the price to buy should not be so high, but it is a good film that warms your heart. The young actor who plays the young boy is magnificent. YOU WILL WANT TO WATCH THIS OVER AND OVER AGAIN!!",5,Touches Your Soul! A Must See! Tugs At The Heart For Sure!,1351728000,"11 1, 2012",2012,398,"['Even', 'video', 'only', '15', 'minutes', 'would', 'be', 'impossible', 'expand', 'further', 'distorting', 'touchingly', 'beautiful', 'story', 'photography', 'was', 'incredible', 'film', 'poignant', 'said', 'price', 'buy', 'should', 'not', 'be', 'so', 'high', 'good', 'film', 'heart', 'young', 'actor', 'who', 'young', 'boy', 'magnificent', 'WILL', 'WANT', 'TO', 'WATCH', 'THIS', 'OVER', 'AND', 'OVER', 'AGAIN']",N/A
771673,A3MWP39R0W9TQX,B0000BZLGC,"Heather W. ""heartful_home""","[3, 3]","Short, but sweet. It seems a little pricey for such a short movie, but I imagine they don't have the bulk discounts of big films.A great one to buy and watch as a family before game night or on a religious holiday or the Sabbath. Inspiring true story during early America.",5,Great little story,1202860800,"02 13, 2008",2008,272,"['Short', 'sweet', 'little', 'pricey', 'short', 'movie', 'imagine', 'do', ""n't"", 'have', 'bulk', 'discounts', 'big', 'films.A', 'great', 'one', 'buy', 'watch', 'family', 'game', 'night', 'religious', 'holiday', 'Sabbath', 'Inspiring', 'true', 'story', 'early', 'America']",N/A
771674,A36OAZC74PZBFD,B0000BZLGC,Joan W. Schnibbe,"[2, 2]","Though this is a short movie ( only about 15 minutes), it is very emotionally moving. It tells the story of a pioneer family where a miracle took place that changed the children's lives. It is a sweet story that is true or at least based on a true incident. It is interesting for both adults and children.",5,An endearing movie,1368576000,"05 15, 2013",2013,305,"['short', 'movie', 'only', 'about', '15', 'minutes', 'very', 'emotionally', 'moving', 'story', 'pioneer', 'family', 'where', 'miracle', 'took', 'place', 'changed', 'children', 'lives', 'sweet', 'story', 'true', 'least', 'based', 'true', 'incident', 'interesting', 'adults', 'children']",N/A
771675,AL8XS3UFKN639,B0000BZLGC,Juanita,"[0, 0]",Now this is a really good movie for the whole family to watch even though it's not long at all.  It's a good lesson in life if the children watch this movie.,5,Movie-In The Arms of Angels,1365206400,"04 6, 2013",2013,157,"['Now', 'really', 'good', 'movie', 'whole', 'family', 'watch', 'even', 'not', 'long', 'good', 'lesson', 'life', 'children', 'watch', 'movie']",N/A
771676,A1IM0ISU8SARW4,B0000BZLGC,"Kassidy ""Living for Christ""","[0, 0]","Very amazing story about the power of Jesus and Angels among us.  Great, encouraging , empowering dramatization about a girls true life experience.",5,Amazing,1388707200,"01 3, 2014",2014,147,"['Very', 'amazing', 'story', 'power', 'Jesus', 'Angels', 'Great', 'encouraging', 'empowering', 'dramatization', 'girls', 'true', 'life', 'experience']",N/A
771677,A2AGSKU2MQMSFJ,B0000BZLGC,kim,"[2, 3]",Did not read that this was a 15 minute clip......VERY DISAPPOINTED!Why would you put a 15 minute clip out on AMAZON for rent that is only15 minutes long?,1,15 MINUTES?????,1374105600,"07 18, 2013",2013,153,"['Did', 'not', 'read', 'was', '15', 'minute', 'clip', 'VERY', 'DISAPPOINTED', 'Why', 'would', 'put', '15', 'minute', 'clip', 'AMAZON', 'rent', 'only15', 'minutes', 'long']",N/A
771678,A9LJG3K5TEVPB,B0000BZLGC,"Mark M. ""X111""","[0, 1]",4 stars because the story is too short :)This DVD is a great story and every family should see it.Great kid movie,4,Very Good Story,1241654400,"05 7, 2009",2009,113,"['4', 'stars', 'story', 'too', 'short', 'DVD', 'great', 'story', 'family', 'should', 'see', 'it.Great', 'kid', 'movie']",N/A
771679,A3CWU2P4M8DIWC,B0000BZLGC,"Michele P. Thomas ""specmom""","[0, 0]",When I rented this &#34;movie&#34; I expected to see a full length film. It was not! The reason I did not like it is because it was way too short and the characters could have been developed much more! I felt it could have been a much better script.,2,Too short,1403913600,"06 28, 2014",2014,249,"['When', 'rented', '34', 'movie', '34', 'expected', 'see', 'full', 'length', 'film', 'was', 'not', 'reason', 'did', 'not', 'was', 'way', 'too', 'short', 'characters', 'could', 'have', 'been', 'developed', 'much', 'more', 'felt', 'could', 'have', 'been', 'much', 'better', 'script']",N/A
771680,A30VOYJAP992XF,B0000BZLGC,Patti,"[0, 0]",It comes to show you that you just never know what life is handing you until you pay attention to the signs given,5,Loved,1357603200,"01 8, 2013",2013,113,"['show', 'just', 'never', 'know', 'what', 'life', 'handing', 'pay', 'attention', 'signs', 'given']",N/A
771681,ASOUMMJO9S3M5,B0000BZLGC,sheila connors,"[0, 0]",A good story and surprising ending.  Worth a viewing if one is of the faith and enjoys movies of faith..,3,In the Arms of Angels,1367020800,"04 27, 2013",2013,104,"['good', 'story', 'surprising', 'ending', 'viewing', 'one', 'faith', 'enjoys', 'movies', 'faith..']",N/A
771682,A337Q644ATID4I,B0000BZLGC,Zoie Kern,"[0, 0]",This could have been a longer movie adding to the changes of the persons in more detail. The message was clear. It would have had more impact had it been written with a bit more dynamics included.,3,Great testimony to the unseen.,1367193600,"04 29, 2013",2013,196,"['could', 'have', 'been', 'longer', 'movie', 'adding', 'changes', 'persons', 'more', 'detail', 'message', 'was', 'clear', 'would', 'have', 'had', 'more', 'impact', 'had', 'been', 'written', 'bit', 'more', 'dynamics', 'included']",N/A
