,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
773255,A3L3B81RJIDO56,B0000C2IWL,"A. L. Chavarin ""Alchav21""","[0, 0]","Loco Love was okay, with a sexy story line.  ALC",3,Loco Love,1404950400,"07 10, 2014",2014,48,"['Loco', 'Love', 'was', 'okay', 'sexy', 'story', 'line', 'ALC']",N/A
773256,A17Q2SGG1BNCZH,B0000C2IWL,bruce timmerman,"[0, 0]",fun,4,Four Stars,1404518400,"07 5, 2014",2014,3,['fun'],N/A
773257,AL5AHFSQEIPOA,B0000C2IWL,DM,"[0, 0]","This should not have worked on so many levels, but it did and I enjoyed it. The chemistry between the couple and the gradual acceptance of each other made a nice little romantic comedy.",4,I enjoyed it.,1373673600,"07 13, 2013",2013,185,"['should', 'not', 'have', 'worked', 'so', 'many', 'levels', 'did', 'enjoyed', 'chemistry', 'couple', 'gradual', 'acceptance', 'other', 'made', 'nice', 'little', 'romantic', 'comedy']",N/A
773258,A4UDLOVNMYSGT,B0000C2IWL,Gary Rae Jones,"[0, 0]",A different twist on the old theme of love stories.  The movie was enjoyable and I would recommend it for somebody looking for a wholesome movie.,4,Pleasantly surprised,1395705600,"03 25, 2014",2014,145,"['different', 'twist', 'old', 'theme', 'love', 'stories', 'movie', 'was', 'enjoyable', 'would', 'recommend', 'somebody', 'looking', 'wholesome', 'movie']",N/A
773259,A1YTR8FI6UPMA6,B0000C2IWL,Get Serious,"[0, 5]","One of the major ploys of the J N*w W*rld Ord*r to destroy the White race was to marry white males off to other races. This is the major premise behind all the Jenifer Lopez films. This film utilizes the identical premise. But this film goes seriously over the line in having Hispanics (primarily Mexicans) overtly denigrate, control and demean Whites. The so-called White is portrayed by a 'sweet', subservient and recessive male dominated by an overbearing and obnoxious Mexican family; which calls him a 'dancing bear' and blackmails him. This is the mentality displayed now by all the states physically and governmentally taken over by the Mexican state--all of Southern California, the entire states of New Mexico and Arizona and Southern Texas. This is the first time I have seen such overt and damaging propaganda pushed by the film industry! If you get a chance, throw this piece of crap in the trash!",1,Seriously damaging propaganda film,1396051200,"03 29, 2014",2014,909,"['One', 'major', 'ploys', 'J', 'N*w', 'W*rld', 'Ord*r', 'destroy', 'White', 'race', 'was', 'marry', 'white', 'males', 'other', 'races', 'major', 'premise', 'Jenifer', 'Lopez', 'films', 'film', 'identical', 'premise', 'film', 'seriously', 'line', 'having', 'Hispanics', 'primarily', 'Mexicans', 'overtly', 'denigrate', 'control', 'demean', 'Whites', 'so-called', 'White', 'portrayed', ""'sweet"", 'subservient', 'recessive', 'male', 'dominated', 'overbearing', 'obnoxious', 'Mexican', 'family', ""'dancing"", 'bear', 'mentality', 'displayed', 'now', 'states', 'physically', 'governmentally', 'taken', 'over', 'Mexican', 'state', 'Southern', 'California', 'entire', 'states', 'New', 'Mexico', 'Arizona', 'Southern', 'Texas', 'first', 'time', 'have', 'seen', 'such', 'overt', 'damaging', 'propaganda', 'pushed', 'film', 'industry', 'get', 'chance', 'throw', 'piece', 'crap', 'trash']",N/A
773260,A2OG3RARQWX7XV,B0000C2IWL,Gramma Retta,"[0, 0]",I enjoyed this movie but it was just okay. The acting wasn't great. It was kind of funny. Best of all it wasn't vulgar.,3,It's Okay,1394582400,"03 12, 2014",2014,119,"['enjoyed', 'movie', 'was', 'just', 'okay', 'acting', 'was', ""n't"", 'great', 'was', 'kind', 'funny', 'Best', 'was', ""n't"", 'vulgar']",N/A
773261,A38L1FZNX9MU0X,B0000C2IWL,Harold A. Fretheim,"[0, 0]",I own this film and have watched it many times. In some ways it blends the ideas of Green Card and Taming of the Shrew (Hence the name Catalina for Laura Harring's character). But the writers very wisely took the story in another direction. It is really about family- and about learning to love. It is a great movie and I enjoy it more each time I see it.,5,FUN movie,1209772800,"05 3, 2008",2008,355,"['own', 'film', 'have', 'watched', 'many', 'times', 'ways', 'ideas', 'Green', 'Card', 'Taming', 'Shrew', 'Hence', 'name', 'Catalina', 'Laura', 'Harring', 'character', 'writers', 'very', 'wisely', 'took', 'story', 'direction', 'really', 'family-', 'learning', 'love', 'great', 'movie', 'enjoy', 'more', 'time', 'see']",N/A
773262,A1PVLVDOVMOT1C,B0000C2IWL,jkthinking,"[0, 0]",this is a good movie. Something for me couples to think about it specially having issues. Didn't quite expect it to end the way it did but I liked it. Great movie to watch on a sick day,4,good twist,1372982400,"07 5, 2013",2013,185,"['good', 'movie', 'Something', 'think', 'specially', 'having', 'issues', 'Did', ""n't"", 'quite', 'expect', 'end', 'way', 'did', 'liked', 'Great', 'movie', 'watch', 'sick', 'day']",N/A
773263,ALX233P3M7QKB,B0000C2IWL,joey,"[0, 1]",A true comedy about a man who losses h is restaurant to his ex wife and his gardener hits the lottery  and marries his gardeners sister sister to keep her in the countty.a must see movie!,5,"a great movie,must see!",1373932800,"07 16, 2013",2013,187,"['true', 'comedy', 'man', 'who', 'losses', 'h', 'restaurant', 'ex', 'wife', 'gardener', 'lottery', 'gardeners', 'sister', 'sister', 'keep', 'countty.a', 'must', 'see', 'movie']",N/A
773264,A2QAZ0PR7TSSLJ,B0000C2IWL,Johnny Mo,"[1, 2]","the writing, acting, and everything else is so cheap and cheesy and substandard that this movie is surprisingly watchable, well at least for a few minutes.  but even with that said, the movie is still a complete piece of garbage.  nothing to see here people, keep moving.",1,this movie is so bad its kinda okay,1397260800,"04 12, 2014",2014,271,"['writing', 'acting', 'everything', 'else', 'so', 'cheap', 'cheesy', 'substandard', 'movie', 'surprisingly', 'watchable', 'well', 'least', 'few', 'minutes', 'even', 'said', 'movie', 'still', 'complete', 'piece', 'garbage', 'nothing', 'see', 'here', 'people', 'keep', 'moving']",N/A
