,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
773624,AQ6J4B5WLGRJ5,B0000C5RQF,"Abert ""AMY""","[4, 4]","There are many strengths of this production but admittedly one or two weaklinks.It is convincing as a fairytale, but please do not try to read more into it than a fairytale.Seen as a fairytale, the characters are mostly well-portrayed, and well-sung.The direction of Sir Colin Davies was masterful, and most of the protagonists gave outstanding performances. Keenlyside, Damrau and Roeschmann led the starry performance, followed closely by the Two armoured men, the Three Ladies, and even the Three Boys were well portrayed. The Speaker of the Temple was a convincing figure and superbly acted out by Thomas Allen. One or two weaker links though, from Hartmann's Tamino and Selig's Sarastro.Hartmann in particular was too stolid and vocally lack-lustre as Tamino. He fared better in the latter acts, but in Act I he was simply eclipsed by the Three Ladies. Selig lacked the low notes, which was a great shame, since his acting was impeccable.Tons of admiration to Diana Damrau's Queen of the Night.  Although the first great aria wasn't the best, the next one was a real thriller. And her acting was simply wonderful - the entire body language, plus the costume and makeup. Only one small imperfection - had the Three Ladies been dressed in a slightly different manner than their Queen, the visual effect would have been even better.The duets between Pamina and Papageno were immaculately given by Roeschmann and Keenlyside, the other two strong links in this production.I would say that Keenlyside is the current best Papageno around operatic world.This production is a joy to watch, and a treat to the ears.",5,Highly successful though imperfect.,1177372800,"04 24, 2007",2007,1610,"['are', 'many', 'strengths', 'production', 'admittedly', 'one', 'two', 'weaklinks.It', 'convincing', 'fairytale', 'please', 'do', 'not', 'try', 'read', 'more', 'fairytale.Seen', 'fairytale', 'characters', 'are', 'mostly', 'well-portrayed', 'well-sung.The', 'direction', 'Sir', 'Colin', 'Davies', 'was', 'masterful', 'most', 'protagonists', 'gave', 'outstanding', 'performances', 'Keenlyside', 'Damrau', 'Roeschmann', 'led', 'starry', 'performance', 'followed', 'closely', 'Two', 'armoured', 'men', 'Three', 'Ladies', 'even', 'Three', 'Boys', 'were', 'well', 'portrayed', 'Speaker', 'Temple', 'was', 'convincing', 'figure', 'superbly', 'acted', 'out', 'Thomas', 'Allen', 'One', 'two', 'weaker', 'links', 'Hartmann', 'Tamino', 'Selig', 'Sarastro.Hartmann', 'particular', 'was', 'too', 'stolid', 'vocally', 'lack-lustre', 'Tamino', 'fared', 'better', 'latter', 'acts', 'Act', 'was', 'simply', 'eclipsed', 'Three', 'Ladies', 'Selig', 'lacked', 'low', 'notes', 'was', 'great', 'shame', 'acting', 'was', 'impeccable.Tons', 'admiration', 'Diana', 'Damrau', 'Queen', 'Night', 'first', 'great', 'aria', 'was', ""n't"", 'best', 'next', 'one', 'was', 'real', 'thriller', 'acting', 'was', 'simply', 'wonderful', 'entire', 'body', 'language', 'costume', 'makeup', 'Only', 'one', 'small', 'imperfection', 'had', 'Three', 'Ladies', 'been', 'dressed', 'slightly', 'different', 'manner', 'Queen', 'visual', 'effect', 'would', 'have', 'been', 'even', 'better.The', 'duets', 'Pamina', 'Papageno', 'were', 'immaculately', 'given', 'Roeschmann', 'Keenlyside', 'other', 'two', 'strong', 'links', 'production.I', 'would', 'say', 'Keenlyside', 'current', 'best', 'Papageno', 'operatic', 'world.This', 'production', 'joy', 'watch', 'treat', 'ears']",N/A
773625,AZXR5HB99P936,B0000C5RQF,"A. Delaspozas ""Alicia""","[2, 2]","Mozart - Die Zauberfl&ouml;te (The Magic Flute) / Keenlyside, Roschmann, Hartmann, Damrau, Selig, Allen, Sir Colin Davis, Covent GardenI read some comments about Simon Keenlyside being one of the best Papaguino in our days as well as Diana Damrau in the character of Queen of the Night, and knowing that both were part of this cast I had to buy this production. Beside I was very impressed with Simon Keenlyside in the role of Hamlet for his qualities as a singer-actor.I didn't know about the rest of the cast, but I have to agree that all of them are very good.The quality of the DVD was outstanding. The sound, light effect was very successful.The scenery, although plane was very effective enhancing the argument very successfully.I highly recommend this production.",5,High quality DVD,1281139200,"08 7, 2010",2010,770,"['Mozart', 'Die', 'Zauberfl', 'ouml', 'Magic', 'Flute', '/', 'Keenlyside', 'Roschmann', 'Hartmann', 'Damrau', 'Selig', 'Allen', 'Sir', 'Colin', 'Davis', 'Covent', 'GardenI', 'read', 'comments', 'Simon', 'Keenlyside', 'being', 'one', 'best', 'Papaguino', 'days', 'as', 'well', 'Diana', 'Damrau', 'character', 'Queen', 'Night', 'knowing', 'were', 'part', 'cast', 'had', 'buy', 'production', 'was', 'very', 'impressed', 'Simon', 'Keenlyside', 'role', 'Hamlet', 'qualities', 'singer-actor.I', 'did', ""n't"", 'know', 'rest', 'cast', 'have', 'agree', 'are', 'very', 'good.The', 'quality', 'DVD', 'was', 'outstanding', 'sound', 'light', 'effect', 'was', 'very', 'successful.The', 'scenery', 'plane', 'was', 'very', 'effective', 'enhancing', 'argument', 'very', 'successfully.I', 'highly', 'recommend', 'production']",N/A
773626,A1QMKAH64799OP,B0000C5RQF,Aggressive Arms,"[1, 2]","This is an excellent performance of the opera and well worth owning, unless, perhaps, you're looking for just one version for your collection, and in a traditional production. The principals range from good (Will Hartmann as Tamino) to outstanding (Simon Keenlyside as Papageno). Colin Davis conducts at a moderate pace, never making you think that things are moving too quickly or too slowly. The orchestra sounds excellent, too, and there is very good sound quality. (I listened in 5.1 Dolby Digital.)The production is interesting, for the most part serious, though at times in the second act it becomes hard to follow. After Tamino and Pamina are reunited, for example, there are dancers behind them apparently writhing in pain, but then moments later these same dancers congratulate Tamino and Pamino. It was never clear to me what they were meant to represent, or even why they were there at all. That said, this really is only a minor complaint. The production never distracts from the music.All in all I think this is more than worth the money.",4,An excellent performance,1160438400,"10 10, 2006",2006,1051,"['excellent', 'performance', 'opera', 'well', 'worth', 'owning', 'perhaps', ""'re"", 'looking', 'just', 'one', 'version', 'collection', 'traditional', 'production', 'principals', 'range', 'good', 'Will', 'Hartmann', 'Tamino', 'outstanding', 'Simon', 'Keenlyside', 'Papageno', 'Colin', 'Davis', 'moderate', 'pace', 'never', 'making', 'think', 'things', 'are', 'moving', 'too', 'quickly', 'too', 'slowly', 'orchestra', 'sounds', 'excellent', 'too', 'very', 'good', 'sound', 'quality', 'listened', '5.1', 'Dolby', 'Digital', 'production', 'interesting', 'most', 'part', 'serious', 'though', 'times', 'second', 'act', 'hard', 'follow', 'Tamino', 'Pamina', 'are', 'reunited', 'example', 'are', 'dancers', 'apparently', 'writhing', 'pain', 'then', 'moments', 'later', 'same', 'dancers', 'congratulate', 'Tamino', 'Pamino', 'was', 'never', 'clear', 'what', 'were', 'meant', 'represent', 'even', 'why', 'were', 'there', 'said', 'really', 'only', 'minor', 'complaint', 'production', 'never', 'music.All', 'think', 'more', 'money']",N/A
773627,A17RTM9M4SBO3R,B0000C5RQF,Alan Axelrod,"[1, 1]",Worth it alone for the &#34;Queen of the Night&#34; aria.  Great production and great singing all around. A Magic Flute worth owning.  Played it for a non opera lover and he enjoyed it very much.,5,Great Zaubrflote,1353542400,"11 22, 2012",2012,195,"['alone', '34', 'Queen', 'Night', '34', 'aria', 'Great', 'production', 'great', 'singing', 'around', 'Magic', 'Flute', 'owning', 'Played', 'non', 'opera', 'lover', 'enjoyed', 'very', 'much']",N/A
773628,A3B5MYBEG5AZ66,B0000C5RQF,Alex Craig,"[7, 9]","The best thing about this performance is the conducting of that great Mozartean Colin Davis. He brings to the performance a mature wisdom and a serene, effortless mastery of the score. The performance is perhaps even better than his audio recording of twenty years earlier. The cast is generally good. Dorothea R&ouml;schmann is a lovely Pamina. Diana Damrau is a spectacular Queen of the Night, singing with pinpoint accuracy. Will Hartmann is a rather beefy-sounding Tamino for my taste. Simon Keenlyside is a beautifully sung but rather joyless Papageno, but perhaps this is the director's fault. Franz-Josef Selig is a solid Sarastro. The British veterans Adrian Thompson (Monastatos) and Thomas Allen (Speaker) acquit themselves well. The three boys are less accomplished than their counterparts in the Sawallisch/Munich video. But then, there's the staging. In an interview on the disc, Davis sounds a bit equivocal about the production, though he allows that it lets the music speak. And so it does, especially in the serious parts of the opera. But on the whole, I don't like it much. It's an unconvincing mishmash of style and tone, with a motley collection of costumes. And it often looks downright ugly. For example: R&ouml;schmann is not the most svelte of singers, and her white gown shows an unflattering excess of flesh. There's no reason for the Queen and her Ladies to look like such grotesque hags; after all, they're trying to charm Tamino, not frighten him away. I emphatically dislike the Papagena - monumentally endowed, sleazy-looking, and totally charmless. Like most ""concept"" productions, I think this one tells us more about the director's psychological baggage than about the work being staged.For a production that does justice to ""The Magic Flute"" in both musical and visual terms, go for the Bergman TV film or the Sawallisch/Munich production.",3,A disappointing staging of a masterpiece,1277510400,"06 26, 2010",2010,1875,"['best', 'thing', 'performance', 'conducting', 'great', 'Mozartean', 'Colin', 'Davis', 'performance', 'mature', 'wisdom', 'serene', 'effortless', 'mastery', 'score', 'performance', 'perhaps', 'even', 'better', 'audio', 'recording', 'twenty', 'years', 'earlier', 'cast', 'generally', 'good', 'Dorothea', 'R', 'ouml', 'schmann', 'lovely', 'Pamina', 'Diana', 'Damrau', 'spectacular', 'Queen', 'Night', 'singing', 'pinpoint', 'accuracy', 'Will', 'Hartmann', 'rather', 'beefy-sounding', 'Tamino', 'taste', 'Simon', 'Keenlyside', 'beautifully', 'sung', 'rather', 'joyless', 'Papageno', 'perhaps', 'director', 'fault', 'Franz-Josef', 'Selig', 'solid', 'Sarastro', 'British', 'veterans', 'Adrian', 'Thompson', 'Monastatos', 'Thomas', 'Allen', 'Speaker', 'acquit', 'well', 'three', 'boys', 'are', 'less', 'accomplished', 'counterparts', 'Sawallisch/Munich', 'video', 'then', 'staging', 'interview', 'disc', 'Davis', 'bit', 'equivocal', 'production', 'music', 'speak', 'especially', 'serious', 'parts', 'opera', 'whole', 'do', ""n't"", 'like', 'much', 'unconvincing', 'mishmash', 'style', 'tone', 'motley', 'collection', 'costumes', 'often', 'downright', 'ugly', 'example', 'R', 'ouml', 'not', 'most', 'svelte', 'singers', 'white', 'gown', 'shows', 'unflattering', 'excess', 'flesh', 'reason', 'Queen', 'Ladies', 'look', 'such', 'grotesque', 'hags', ""'re"", 'trying', 'charm', 'Tamino', 'not', 'frighten', 'away', 'emphatically', 'dislike', 'Papagena', 'monumentally', 'endowed', 'sleazy-looking', 'totally', 'charmless', 'most', 'concept', 'productions', 'think', 'one', 'more', 'director', 'psychological', 'baggage', 'work', 'being', 'staged.For', 'production', 'justice', 'Magic', 'Flute', 'musical', 'visual', 'terms', 'go', 'Bergman', 'TV', 'film', 'Sawallisch/Munich', 'production']",N/A
773629,A1B351ZWFKFFNW,B0000C5RQF,"Amazon Customer ""adubash""","[11, 12]","There is no disagreement with any of the reviewers here - this performance blew me away and had me completely enthralled. I bought this recording for simon keenlyside and colin davis, but all the main characters are fantastic.To start with the queen of the night, diana damrau has to be heard and SEEN to be believed..she sings and acts her heart out - this is the most exciting portrayal of the queen I have ever witnessed. Will Hartmann and Dorothea Roschmann are excellent as tamino and pamina, and simon keenlyside is as brilliant and touching as his review in opera news claims.The sets and costumes are marvelously tasteful, the conducting is magnificent, and the performances have you laughing one moment, excited the next, and in delicate ecstacy after that. I cannot count the number of times this DVD had me jumping off my couch and yelling bravo! bravAA! to my TV screen. How often does something this perfect come by? GET IT NOW!!!!",5,Get it! Get it! Get it now!!,1072137600,"12 23, 2003",2003,944,"['disagreement', 'reviewers', 'here', 'performance', 'blew', 'away', 'had', 'completely', 'enthralled', 'bought', 'recording', 'simon', 'keenlyside', 'colin', 'davis', 'main', 'characters', 'are', 'fantastic.To', 'start', 'queen', 'night', 'diana', 'damrau', 'be', 'heard', 'SEEN', 'be', 'believed..she', 'sings', 'heart', 'most', 'exciting', 'portrayal', 'queen', 'have', 'ever', 'witnessed', 'Will', 'Hartmann', 'Dorothea', 'Roschmann', 'are', 'excellent', 'tamino', 'pamina', 'simon', 'keenlyside', 'brilliant', 'touching', 'review', 'opera', 'news', 'claims.The', 'sets', 'costumes', 'are', 'marvelously', 'tasteful', 'conducting', 'magnificent', 'performances', 'have', 'laughing', 'one', 'moment', 'excited', 'next', 'delicate', 'ecstacy', 'can', 'not', 'count', 'number', 'times', 'DVD', 'had', 'jumping', 'off', 'couch', 'yelling', 'bravo', 'bravAA', 'TV', 'screen', 'How', 'often', 'something', 'perfect', 'come', 'GET', 'IT', 'NOW']",N/A
773630,AVRK0MPQ7LD7E,B0000C5RQF,"Audrey ""avid reader""","[0, 0]","I could just keep playing this over and over.  The actors are well-cast, costumes and set are good (though not the very best I've seen), the orchestra great, and the music itself is glorious.  I have seen &#34;Die Zauberflote&#34; in other productions, both live and recorded.  Some productions soared and others were dismally bad. This one is a keeper.",5,glorious,1392508800,"02 16, 2014",2014,353,"['could', 'just', 'keep', 'playing', 'over', 'over', 'actors', 'are', 'well-cast', 'costumes', 'set', 'are', 'good', 'not', 'very', 'best', ""'ve"", 'seen', 'orchestra', 'great', 'music', 'glorious', 'have', 'seen', '34', 'Die', 'Zauberflote', '34', 'other', 'productions', 'live', 'recorded', 'productions', 'soared', 'others', 'were', 'dismally', 'bad', 'one', 'keeper']",N/A
773631,A2TAPL67U2A5HM,B0000C5RQF,Bjorn Viberg,"[2, 3]","Mozart - Die Zauberfl&ouml;te (The Magic Flute) / Keenlyside, Roschmann, Hartmann, Damrau, Selig, Allen, Sir Colin Davis, Covent Garden is a BBC production being led by the interantionally reknowned interpreter of Mozart, i.e., Sir Colin Davis. You feel he understands Mozart. Like Von Karajan understands Wagner Sir Colin Davis understands Mozart. The sound quality is outstanding. Misha Donat has written excellent music notes. Also included in the book are photographs of the performance. Also included are short biographies of the performers and the conductor. Truly a magnificient performance indeed. Amazing vocal performances. Highly recommended indeed. 5/5.",5,"Mozart - Die Zauberfl&ouml;te (The Magic Flute) / Keenlyside, Roschmann, Hartmann, Damrau, Selig, Allen, Sir Colin Davis, Covent Gard",1317945600,"10 7, 2011",2011,665,"['Mozart', 'Die', 'Zauberfl', 'ouml', 'Magic', 'Flute', '/', 'Keenlyside', 'Roschmann', 'Hartmann', 'Damrau', 'Selig', 'Allen', 'Sir', 'Colin', 'Davis', 'Covent', 'Garden', 'BBC', 'production', 'being', 'led', 'interantionally', 'reknowned', 'interpreter', 'Mozart', 'i.e.', 'Sir', 'Colin', 'Davis', 'feel', 'Mozart', 'Von', 'Karajan', 'Wagner', 'Sir', 'Colin', 'Davis', 'Mozart', 'sound', 'quality', 'outstanding', 'Misha', 'Donat', 'written', 'excellent', 'music', 'notes', 'Also', 'included', 'book', 'are', 'photographs', 'performance', 'Also', 'included', 'are', 'short', 'biographies', 'performers', 'conductor', 'Truly', 'magnificient', 'performance', 'indeed', 'Amazing', 'vocal', 'performances', 'Highly', 'recommended', 'indeed', '5/5']",N/A
773632,A3FFUH993YEOA3,B0000C5RQF,chacha,"[0, 0]","This is one of the best operas I have seen.  The music is wonderfull.  Sinc&eacute; I bought it I have seen it at least four times, my granddaughter love it and love papageno.  Simon Keenlyside as papageno is just amazing. I recomend this opera complete.",5,Super,1397952000,"04 20, 2014",2014,254,"['one', 'best', 'operas', 'have', 'seen', 'music', 'wonderfull', 'Sinc', 'eacute', 'bought', 'have', 'seen', 'least', 'four', 'times', 'granddaughter', 'love', 'love', 'papageno', 'Simon', 'Keenlyside', 'papageno', 'just', 'amazing', 'recomend', 'opera', 'complete']",N/A
773633,A12XDEMP7PQPDT,B0000C5RQF,D. DEGEORGE,"[41, 43]","Let nothing I say here imply that this is less than a first-class production of Zauberfl&ouml;te, and it's not a bad way to start one's collection of operas on Blu-ray. The singers are all at least good, if not uniformly great. The following singers are excellent: Simon Keenlyside (Papageno) with a voice that is expressive, well-managed, and handsome in every way, not to mention that his acting is a thorough delight; Diana Damrau  (Queen of the Night), manic and technically and dramatically brilliant; and Dorothea R&ouml;schmann (Pamina) with creamy tone and perfect technique. This is not a girlish princess, which is to say that the role is often sung with a lighter voice; but I cannot complain about a voice as luxuriant as this. Sometimes Tamino and Pamina are presented as characters just barely out of their teens, which can suit the freshness and innocence implied by their roles; however, this thirtyish-looking couple works fine, too, especially as it allows us to experience fuller voices. R&ouml;schmann probably looks rather young from seats in the theater, but the Blu-ray close-ups aren't very flattering. The Three Ladies are also among the most excellent singers in this performance. Choral work is very good, as would be expected in Britain.This performance falls short of the best in several respects. The first weakness I observed was during the overture, which failed to build much excitement or sense of anticipation for this evening of magic & music. I have never wholly understood why Colin Davis is held in such high regard as a Mozart & Haydn conductor (his reputation as a Berlioz interpreter is better deserved in my opinion). ""Fortune favors the bold"" is a line in the libretto, which should have been heeded by Davis, who fails to ask much of the orchestra and doesn't get any more than asks for. Everything is elegant, safe, and in its place; and only rarely do things sound stodgy; but there is neither fire nor anything else particularly revelatory or affecting.The sets and costumes are just OK; they do not detract (as in the stark & cartoonish Met production premiered in 2006); but they don't add much either, except for those worn by the Queen of the Night and Sarastro.Will Hartmann is not especially well cast as Tamino--it would be nice if he looked more youthful; however, in the world of operatic tenors, one could do a lot worse; and I am being especially picky here, but I must say that his intonation falls a touch short of the ideal in that it is not 100% secure, and he often lands a bit sharp on upward leaps.Franz-Josef Selig is convincing as Sarastro and has a voice that is rich throughout its range but especially impressive in the lower registers. At the risk of undermining my own credibility, I have to admit that I do not like the work of operatic basses very much; their bellowing is often wobbly & pitch-inaccurate. Once in a great while one runs across a bass who is fully in command of his instrument, but this is not one of those times. So that I don't malign all of bassdom, I'll mention that John Relyea and Bryn Terfel are excellent positive examples; unfortunately, both are bass-baritones rather than bassi profundi; and I have to admit that Selig's heft on the low notes is perfect for Sarastro.Adrian Thompson is suitably snarly & nasty as Monostatos. I have heard the role sung much more pleasantly by others, more for its musical beauty than dramatic character; here, however, Thompson trades prettiness for loathsomeness. Of course by that reasoning, a Papageno should have been chosen with more vulnerability in his voice, rather than the strength we get from Keenlyside. All things considered, if I had to be absolutely consistent, I'd say go with Keenlyside's musicality rather than Thompson's theatricality; but I am not upset to have both approaches in the same opera. The inconsistency in casting philosophy may, however, help to account for the lack of a sense of unity in this performance; there is little chemistry among the cast.Even though the Popageno-Papagena romance is nominally a side show next to the serious subject of ""rescuing"" Pamina, the former is the emotional center of the opera for me. The duet that starts off silly with the repetition of Popageno's and Papagena's names but then makes a turn into one of the most rapturous climaxes in all music. Productions can make a big deal of it or not and be dramatically true; but a great opportunity is lost if it is not played to the hilt, which, to change metaphors, means that the music has to be milked for all its considerable worth. It has to be allowed to breathe and reach its climax at full force with no rushing or glibness. This performance doesn't reach the height of the very best; but neither does it trivialize, even though the scene is played mostly for its comic value; and Keenlyside's & Ailish Tynan's rich voices provide an abundance of beauty and substance.To sum up, this is an expert performance, with many fine moments, that runs just a bit too much like clockwork. One of the reviews of the standard DVD version of this production gets it right: ""Flute, yes. Magic, no."" Also among the reviews of the standard DVD, there is as of this writing a very accurate assessment of this production, which gives it two stars and is titled ""Disappointing,"" Although I rate the disc a little more highly, I find myself almost completely in agreement with the detailed assessment there, one exception being that, as noted above, I thought the chorus was rather good. When looking at reviews of a Blu-ray disc, for which there is only a small sample of opinion, it behooves one to look at the more plentiful reviews available for the standard-DVD issue.Finally, speaking of Blu-ray, this disc is technically fine, in 5.1 PCM audio, which is to say no matrixing or compression--each channel has at least the full quality of a CD. That is not to say that the miking and dynamic range are perfect, but they are quite good. With a large-screen monitor the sharp HD image puts one right onstage.",3,"Very good, but lacking the ""magic""",1252454400,"09 9, 2009",2009,6048,"['Let', 'nothing', 'say', 'here', 'imply', 'less', 'first-class', 'production', 'Zauberfl', 'ouml', 'not', 'bad', 'way', 'start', 'one', 'collection', 'operas', 'Blu-ray', 'singers', 'are', 'least', 'good', 'not', 'uniformly', 'great', 'following', 'singers', 'are', 'excellent', 'Simon', 'Keenlyside', 'Papageno', 'voice', 'expressive', 'well-managed', 'handsome', 'way', 'not', 'mention', 'acting', 'thorough', 'delight', 'Diana', 'Damrau', 'Queen', 'Night', 'manic', 'technically', 'dramatically', 'brilliant', 'Dorothea', 'R', 'ouml', 'Pamina', 'creamy', 'tone', 'perfect', 'technique', 'not', 'girlish', 'princess', 'say', 'role', 'often', 'sung', 'lighter', 'voice', 'can', 'not', 'complain', 'voice', 'as', 'luxuriant', 'Sometimes', 'Tamino', 'Pamina', 'are', 'presented', 'characters', 'just', 'barely', 'teens', 'can', 'suit', 'freshness', 'innocence', 'implied', 'roles', 'however', 'thirtyish-looking', 'couple', 'works', 'fine', 'too', 'especially', 'experience', 'fuller', 'voices', 'R', 'ouml', 'probably', 'rather', 'young', 'seats', 'theater', 'Blu-ray', 'close-ups', 'are', ""n't"", 'very', 'flattering', 'Three', 'Ladies', 'are', 'also', 'most', 'excellent', 'singers', 'performance', 'Choral', 'work', 'very', 'good', 'would', 'be', 'expected', 'Britain.This', 'performance', 'short', 'best', 'several', 'respects', 'first', 'weakness', 'observed', 'was', 'overture', 'failed', 'build', 'much', 'excitement', 'sense', 'anticipation', 'evening', 'magic', 'music', 'have', 'never', 'wholly', 'understood', 'why', 'Colin', 'Davis', 'held', 'such', 'high', 'regard', 'Mozart', 'Haydn', 'conductor', 'reputation', 'Berlioz', 'interpreter', 'better', 'deserved', 'opinion', 'Fortune', 'bold', 'line', 'libretto', 'should', 'have', 'been', 'heeded', 'Davis', 'who', 'ask', 'much', 'orchestra', ""n't"", 'get', 'more', 'asks', 'Everything', 'elegant', 'safe', 'place', 'only', 'rarely', 'do', 'things', 'sound', 'stodgy', 'fire', 'anything', 'else', 'particularly', 'revelatory', 'affecting.The', 'sets', 'costumes', 'are', 'just', 'OK', 'do', 'not', 'detract', 'stark', 'cartoonish', 'Met', 'production', 'premiered', '2006', 'do', ""n't"", 'add', 'much', 'worn', 'Queen', 'Night', 'Sarastro.Will', 'Hartmann', 'not', 'especially', 'well', 'cast', 'Tamino', 'would', 'be', 'nice', 'looked', 'more', 'youthful', 'however', 'world', 'operatic', 'tenors', 'one', 'could', 'do', 'lot', 'worse', 'am', 'being', 'especially', 'picky', 'here', 'must', 'say', 'intonation', 'touch', 'short', 'ideal', 'not', '100', '%', 'secure', 'often', 'bit', 'sharp', 'upward', 'leaps.Franz-Josef', 'Selig', 'convincing', 'Sarastro', 'voice', 'rich', 'range', 'especially', 'impressive', 'lower', 'registers', 'risk', 'undermining', 'own', 'credibility', 'have', 'admit', 'do', 'not', 'work', 'operatic', 'basses', 'very', 'much', 'bellowing', 'often', 'wobbly', 'pitch-inaccurate', 'Once', 'great', 'one', 'bass', 'who', 'fully', 'command', 'instrument', 'not', 'one', 'times', 'do', ""n't"", 'malign', 'bassdom', ""'ll"", 'mention', 'John', 'Relyea', 'Bryn', 'Terfel', 'are', 'excellent', 'positive', 'examples', 'unfortunately', 'are', 'bass-baritones', 'rather', 'bassi', 'profundi', 'have', 'admit', 'Selig', 'heft', 'low', 'notes', 'perfect', 'Sarastro.Adrian', 'Thompson', 'suitably', 'snarly', 'nasty', 'Monostatos', 'have', 'heard', 'role', 'sung', 'much', 'more', 'pleasantly', 'others', 'more', 'musical', 'beauty', 'dramatic', 'character', 'here', 'however', 'Thompson', 'prettiness', 'loathsomeness', 'course', 'reasoning', 'Papageno', 'should', 'have', 'been', 'chosen', 'more', 'vulnerability', 'voice', 'rather', 'strength', 'get', 'Keenlyside', 'things', 'considered', 'had', 'be', 'absolutely', 'consistent', ""'d"", 'say', 'go', 'Keenlyside', 'musicality', 'rather', 'Thompson', 'theatricality', 'am', 'not', 'upset', 'have', 'approaches', 'same', 'opera', 'inconsistency', 'casting', 'philosophy', 'may', 'however', 'help', 'account', 'lack', 'sense', 'unity', 'performance', 'little', 'chemistry', 'cast.Even', 'Popageno-Papagena', 'romance', 'nominally', 'side', 'show', 'serious', 'subject', 'rescuing', 'Pamina', 'former', 'emotional', 'center', 'opera', 'duet', 'silly', 'repetition', 'Popageno', 'Papagena', 'names', 'then', 'turn', 'one', 'most', 'rapturous', 'climaxes', 'music', 'Productions', 'can', 'make', 'big', 'deal', 'not', 'be', 'dramatically', 'true', 'great', 'opportunity', 'lost', 'not', 'played', 'hilt', 'change', 'metaphors', 'music', 'be', 'milked', 'considerable', 'worth', 'be', 'allowed', 'breathe', 'reach', 'climax', 'full', 'force', 'rushing', 'glibness', 'performance', ""n't"", 'reach', 'height', 'very', 'best', 'trivialize', 'even', 'scene', 'played', 'mostly', 'comic', 'value', 'Keenlyside', 'Ailish', 'Tynan', 'rich', 'voices', 'provide', 'abundance', 'beauty', 'substance.To', 'sum', 'up', 'expert', 'performance', 'many', 'fine', 'moments', 'just', 'bit', 'too', 'much', 'clockwork', 'One', 'reviews', 'standard', 'DVD', 'version', 'production', 'right', 'Flute', 'yes', 'Magic', 'Also', 'reviews', 'standard', 'DVD', 'writing', 'very', 'accurate', 'assessment', 'production', 'two', 'stars', 'titled', 'Disappointing', 'rate', 'disc', 'little', 'more', 'highly', 'find', 'almost', 'completely', 'agreement', 'detailed', 'assessment', 'there', 'one', 'exception', 'being', 'that', 'noted', 'thought', 'chorus', 'was', 'rather', 'good', 'When', 'looking', 'reviews', 'Blu-ray', 'disc', 'only', 'small', 'sample', 'opinion', 'one', 'look', 'more', 'plentiful', 'reviews', 'available', 'standard-DVD', 'issue.Finally', 'speaking', 'Blu-ray', 'disc', 'technically', 'fine', '5.1', 'PCM', 'audio', 'say', 'matrixing', 'compression', 'channel', 'least', 'full', 'quality', 'CD', 'not', 'say', 'miking', 'dynamic', 'range', 'are', 'perfect', 'are', 'quite', 'good', 'large-screen', 'monitor', 'sharp', 'HD', 'image', 'one', 'right', 'onstage']",N/A
