,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
806877,ADJ4M8X3UWSZF,B0001I55QU,Amazon Customer,"[0, 0]",Not the greatest Disney movie but is still nicefor the whole family to watch.  No obscene language to deal with when children are watching.  Not particularly interesting - based on true story.,2,"The One and Only, Genuine, Original Family Band",1362787200,"03 9, 2013",2013,192,"['Not', 'greatest', 'Disney', 'movie', 'still', 'nicefor', 'whole', 'family', 'watch', 'obscene', 'language', 'deal', 'when', 'children', 'are', 'watching', 'Not', 'particularly', 'interesting', 'based', 'true', 'story']",N/A
806878,ABH4G7TVI6G2T,B0001I55QU,Byron Kolln,"[34, 34]","Who invented music?  Because, whoever they were, the Bower family wants to personally shake their hand.  Despite being a staunch Republican, Calvin Bower (Buddy Ebsen) still sings the pro-Democratic anthem composed by his father (Walter Brennan), because, he reasons, why let politics get in the way of a good song?When Grandpa and the Bower Family Band are invited to the 1888 convention in order to perform their anthem for Grover Cleveland's re-election campaign, things take another turn altogether when oldest daughter Alice's (Lesley Ann Warren) pen-pal/fianc&eacute;e Joe Carder (John Davidson), a dedicated Republican, makes a visit and sings the praises of the Dakota territory where he lives.  The Bowers' relocation to Dakota soon causes immense family friction, with Grandpa's Democratic rants getting him into hot water with Dakota's mostly Republican population.There-in hangs the rather slender plot of this Disney musical, which was sadly one of the last live action projects to be green-lit by Walt Disney before his death.  At the time of it's production, the Disney Studio was heavily into big, Roadshow-style musicals thanks to the successes of ""Mary Poppins"" and ""The Happiest Millionaire"".  With another chirpy score by the Sherman Brothers and reuniting ""Happiest Millionaire""'s young leads Lesley Ann Warren and John Davidson, THE ONE AND ONLY GENUINE ORIGINAL FAMILY BAND sadly doesn't quite measure up to the overall quality or repeat value of ""Poppins"" or ""Millionaire"".The film's main failing, especially during it's international engagements was the plot.  Unless you are American you probably won't fully appreciate or understand the plot which relies on an established knowledge of American politics.  This is what sadly limits FAMILY BAND's entertainment value.  The Sherman Brothers' score is quite underwhelming as well, with only two songs (""Ten Feet Off the Ground"" and ""'Bout Time"") that are at all memorable.  The rest is quite derivative, notably John Davidson's big number ""Dakota"" (in ""The Happiest Millionaire"" he sang a similar number called ""Detroit"").  Lesley Ann Warren also has a tentative ballad entitled ""The Happiest Girl Alive"", firmly entrenched in ""Valentine Candy"" mode from ""Millionaire"".  Following a formula much?The casting is first-rate with old school song-and-dance man Buddy Ebsen (""Captain January"") soft-shoeing away with vivacious musical theatre veteran Janet Blair as his wife.  Walter Brennan is his warm-hearted, irascible best as Grandpa.  Just as they did in ""Happiest Millionaire"", Lesley Ann Warren and John Davidson blend well as Alice and Joe.Amongst the dancing extras you'll find a 23-year-old giggly blonde named Goldie Hawn.  She has a large solo spot during the film's climactic number on Election Night in which she challenges Lesley Ann Warren to a dancing duel.  Kurt Russell, 17 at the time, also appeared in this film as one of the Bower kids; but while they might have met and exchanged a few passing remarks, their relationship didn't start until many years later.The DVD of FAMILY BAND includes a rather nice 2004 featurette entitled ""The Family Band Album"", which has interviews with Lesley Ann Warren, John Davidson and composer Richard Sherman.  All three also appear on an audio commentary track for the film itself (though each participant recorded their portion separately - a bit disappointing when more memories may have been jolted if Lesley Ann and John had recorded together).  The film itself is presented in fullscreen and looks respectable, but clearly hasn't undergone a specific restoration.  Presumably the original aspect would have been in the 1:75 range, and hard-matted to fit most theatre screens.",4,"(Almost) ""Ten Feet Off the Ground"" in charming Disney tuner",1110412800,"03 10, 2005",2005,3707,"['Who', 'invented', 'music', 'whoever', 'were', 'Bower', 'family', 'personally', 'shake', 'hand', 'being', 'staunch', 'Republican', 'Calvin', 'Bower', 'Buddy', 'Ebsen', 'still', 'pro-Democratic', 'anthem', 'composed', 'father', 'Walter', 'Brennan', 'because', 'reasons', 'why', 'let', 'politics', 'get', 'way', 'good', 'song', 'When', 'Grandpa', 'Bower', 'Family', 'Band', 'are', 'invited', '1888', 'convention', 'order', 'perform', 'anthem', 'Grover', 'Cleveland', 're-election', 'campaign', 'things', 'take', 'turn', 'altogether', 'when', 'oldest', 'daughter', 'Alice', 'Lesley', 'Ann', 'Warren', 'pen-pal/fianc', 'eacute', 'Joe', 'Carder', 'John', 'Davidson', 'dedicated', 'Republican', 'visit', 'praises', 'Dakota', 'territory', 'where', 'Bowers', 'relocation', 'Dakota', 'soon', 'immense', 'family', 'friction', 'Grandpa', 'Democratic', 'rants', 'getting', 'hot', 'water', 'Dakota', 'mostly', 'Republican', 'population.There-in', 'hangs', 'rather', 'slender', 'plot', 'Disney', 'musical', 'was', 'sadly', 'one', 'last', 'live', 'action', 'projects', 'be', 'green-lit', 'Walt', 'Disney', 'death', 'time', 'production', 'Disney', 'Studio', 'was', 'heavily', 'big', 'Roadshow-style', 'musicals', 'thanks', 'successes', 'Mary', 'Poppins', 'Happiest', 'Millionaire', 'chirpy', 'score', 'Sherman', 'Brothers', 'reuniting', 'Happiest', 'Millionaire', 'young', 'Lesley', 'Ann', 'Warren', 'John', 'Davidson', 'THE', 'ONE', 'AND', 'ONLY', 'GENUINE', 'ORIGINAL', 'FAMILY', 'BAND', 'sadly', ""n't"", 'quite', 'measure', 'up', 'overall', 'quality', 'repeat', 'value', 'Poppins', 'Millionaire', '.The', 'film', 'main', 'failing', 'especially', 'international', 'engagements', 'was', 'plot', 'are', 'American', 'probably', 'wo', ""n't"", 'fully', 'appreciate', 'understand', 'plot', 'established', 'knowledge', 'American', 'politics', 'what', 'sadly', 'FAMILY', 'BAND', 'entertainment', 'value', 'Sherman', 'Brothers', 'score', 'quite', 'underwhelming', 'as', 'well', 'only', 'two', 'songs', 'Ten', 'Feet', 'Ground', ""'Bout"", 'Time', 'are', 'memorable', 'rest', 'quite', 'derivative', 'notably', 'John', 'Davidson', 'big', 'number', 'Dakota', 'Happiest', 'Millionaire', 'sang', 'similar', 'number', 'called', 'Detroit', 'Lesley', 'Ann', 'Warren', 'also', 'tentative', 'ballad', 'entitled', 'Happiest', 'Girl', 'Alive', 'firmly', 'entrenched', 'Valentine', 'Candy', 'mode', 'Millionaire', 'Following', 'formula', 'much', 'casting', 'first-rate', 'old', 'school', 'song-and-dance', 'man', 'Buddy', 'Ebsen', 'Captain', 'January', 'soft-shoeing', 'away', 'vivacious', 'musical', 'theatre', 'veteran', 'Janet', 'Blair', 'wife', 'Walter', 'Brennan', 'warm-hearted', 'irascible', 'best', 'Grandpa', 'Just', 'did', 'Happiest', 'Millionaire', 'Lesley', 'Ann', 'Warren', 'John', 'Davidson', 'blend', 'well', 'Alice', 'Joe.Amongst', 'dancing', 'extras', ""'ll"", 'find', '23-year-old', 'giggly', 'blonde', 'named', 'Goldie', 'Hawn', 'large', 'solo', 'spot', 'film', 'climactic', 'number', 'Election', 'Night', 'Lesley', 'Ann', 'Warren', 'dancing', 'duel', 'Kurt', 'Russell', '17', 'time', 'also', 'appeared', 'film', 'one', 'Bower', 'kids', 'might', 'have', 'met', 'exchanged', 'few', 'passing', 'remarks', 'relationship', 'did', ""n't"", 'start', 'many', 'years', 'later.The', 'DVD', 'FAMILY', 'BAND', 'rather', 'nice', '2004', 'featurette', 'entitled', 'Family', 'Band', 'Album', 'interviews', 'Lesley', 'Ann', 'Warren', 'John', 'Davidson', 'composer', 'Richard', 'Sherman', 'three', 'also', 'appear', 'audio', 'commentary', 'track', 'film', 'participant', 'recorded', 'portion', 'separately', 'bit', 'disappointing', 'when', 'more', 'memories', 'may', 'have', 'been', 'jolted', 'Lesley', 'Ann', 'John', 'had', 'recorded', 'together', 'film', 'presented', 'fullscreen', 'respectable', 'clearly', ""n't"", 'undergone', 'specific', 'restoration', 'Presumably', 'original', 'aspect', 'would', 'have', 'been', '1:75', 'range', 'hard-matted', 'fit', 'most', 'theatre', 'screens']",N/A
806879,A3N8RZSXKN1OR2,B0001I55QU,Chrijeff,"[3, 3]","Based upon Family Band - From the Missouir to the Black Hills 1881-1900, this is the story of how a Presidential election affects a three-generation family of musical performers.  It's 1888, and the Bowers--Grandpa Rensselaer (Walter Brennan), a passionate Democrat and Confederate veteran (though thoroughly reconstructed) who plays violin and conducts; father Calvin (Buddy Ebsen), an easygoing Republican who plays banjo; mother Katie (Janet Blair), who plays woodwind and has, in self-defense, imposed a rule forbidding political talk in the house; and eight kids, three boys and five girls, ranging from 16-year-old Alice (Lesley Ann Warren) to to six-year-old Laura (Pamelyn Ferdin)--are prosperous farmers in Iowa, adding to their income by playing music locally.  With a Presidential election looming, and Grover Cleveland set to defend his office, Grandpa has written a lively campaign song, ""Let's Put It Over With Grover,"" which compares the incumbent to Washington and Lincoln, and which he hopes will gain the family an invitation to the Democratic convention in St. Louis and a chance for the youngsters to ride on a train, something they've always wanted to do.  Meanwhile, Alice has been corresponding with Joe Carder (John Davidson) of Rapid City, DT, the young editor of the town's Republican newspaper, who comes to Iowa to meet her and incidentally drum up enthusiasm for emigration by ""good Republican families.""  Calvin is so enthused by the possibility of his sons being able to file on their own homesteads that he decides to head West, and Grandpa unselfishly gives up his dream of playing at the convention to allow it.  But he's still a fiery Democrat, and when Benjamin Harrison is nominated to oppose Cleveland--on a platform including ""no new states""--and the people of the Black Hills Region begin talking about forming a government and dividing the Territory into a North and a South Dakota, his well-meaning attempts to indoctrinate the schoolchildren in what he considers proper loyalty to Washington backfires into powerful community sentiment and a break with his own family as well as trouble for the two young lovers.With several infectious musical numbers (including ""The Family Band,"" ""The Happiest Girl Alive,"" ""Ten Feet Off the Ground,"" ""Drummin', Drummin', Drummin',"" ""Oh, Benjamin Harrison,"" the ensemble ""West of the Wide Missouri,"" Davidson's stirring solo ""Dakota,"" and his duet with Warren, ""'Bout Time"") and a good period feel (though rather a lot of showing of leg by supposedly virtuous females!), this is an interesting if little-known Disney family musical that gives a good sense of the kind of powerful passions aroused by political partisanship in the America of c. 1865-1916.  Brennan, who was 74 when he made it, provides one of the high points in his portrayal of a former Confederate who on his return from the war told his son that the nation's newly confirmed unity must be preserved forever, and has lived by that motto ever since.  The big dance number on Election Night reminds me somewhat of the barn dance inSeven Brides for Seven Brothers, and Davidson shows he's more than just a pretty face as he brings to life a passionate young man with powerful political views and a deep attachment to the girl he's chosen, even though the combination leads him to a rivalry with local cowboy (and Democrat) Ernie Stubbins (Steve Harmon).  Watch for Goldie Hawn (credited as Goldie Jeanne) as a giggly dancer at the Election party.",4,Politics divides a family,1256688000,"10 28, 2009",2009,3489,"['Based', 'Family', 'Band', 'Missouir', 'Black', 'Hills', '1881-1900', 'story', 'how', 'Presidential', 'election', 'three-generation', 'family', 'musical', 'performers', '1888', 'Bowers', 'Grandpa', 'Rensselaer', 'Walter', 'Brennan', 'passionate', 'Democrat', 'Confederate', 'veteran', 'thoroughly', 'reconstructed', 'who', 'violin', 'conducts', 'Calvin', 'Buddy', 'Ebsen', 'easygoing', 'Republican', 'who', 'banjo', 'Katie', 'Janet', 'Blair', 'who', 'woodwind', 'self-defense', 'imposed', 'rule', 'forbidding', 'political', 'talk', 'house', 'eight', 'kids', 'three', 'boys', 'five', 'girls', 'ranging', '16-year-old', 'Alice', 'Lesley', 'Ann', 'Warren', 'six-year-old', 'Laura', 'Pamelyn', 'Ferdin', 'are', 'prosperous', 'farmers', 'Iowa', 'adding', 'income', 'playing', 'music', 'locally', 'Presidential', 'election', 'looming', 'Grover', 'Cleveland', 'set', 'defend', 'office', 'Grandpa', 'written', 'lively', 'campaign', 'song', 'Let', 'Put', 'Grover', 'incumbent', 'Washington', 'Lincoln', 'will', 'gain', 'family', 'invitation', 'Democratic', 'convention', 'St.', 'Louis', 'chance', 'youngsters', 'ride', 'train', 'something', ""'ve"", 'always', 'wanted', 'do', 'Meanwhile', 'Alice', 'been', 'corresponding', 'Joe', 'Carder', 'John', 'Davidson', 'Rapid', 'City', 'DT', 'young', 'editor', 'town', 'Republican', 'newspaper', 'who', 'Iowa', 'meet', 'incidentally', 'drum', 'up', 'enthusiasm', 'emigration', 'good', 'Republican', 'families', 'Calvin', 'so', 'enthused', 'possibility', 'sons', 'being', 'able', 'file', 'own', 'homesteads', 'head', 'West', 'Grandpa', 'unselfishly', 'up', 'dream', 'playing', 'convention', 'allow', 'still', 'fiery', 'Democrat', 'when', 'Benjamin', 'Harrison', 'nominated', 'oppose', 'Cleveland', 'platform', 'including', 'new', 'states', 'people', 'Black', 'Hills', 'Region', 'begin', 'talking', 'forming', 'government', 'dividing', 'Territory', 'North', 'South', 'Dakota', 'well-meaning', 'attempts', 'indoctrinate', 'schoolchildren', 'what', 'proper', 'loyalty', 'Washington', 'powerful', 'community', 'sentiment', 'break', 'own', 'family', 'as', 'well', 'trouble', 'two', 'young', 'lovers.With', 'several', 'infectious', 'musical', 'numbers', 'including', 'Family', 'Band', 'Happiest', 'Girl', 'Alive', 'Ten', 'Feet', 'Ground', 'Drummin', 'Drummin', 'Drummin', 'Oh', 'Benjamin', 'Harrison', 'ensemble', 'West', 'Wide', 'Missouri', 'Davidson', 'stirring', 'solo', 'Dakota', 'duet', 'Warren', 'Time', 'good', 'period', 'feel', 'rather', 'lot', 'showing', 'leg', 'supposedly', 'virtuous', 'females', 'interesting', 'little-known', 'Disney', 'family', 'musical', 'good', 'sense', 'kind', 'powerful', 'passions', 'aroused', 'political', 'partisanship', 'America', 'c.', '1865-1916', 'Brennan', 'who', 'was', '74', 'when', 'made', 'one', 'high', 'points', 'portrayal', 'former', 'Confederate', 'who', 'return', 'war', 'told', 'son', 'nation', 'newly', 'confirmed', 'unity', 'must', 'be', 'preserved', 'forever', 'lived', 'motto', 'ever', 'big', 'dance', 'number', 'Election', 'Night', 'somewhat', 'barn', 'dance', 'inSeven', 'Brides', 'Seven', 'Brothers', 'Davidson', 'more', 'just', 'pretty', 'face', 'life', 'passionate', 'young', 'man', 'powerful', 'political', 'views', 'deep', 'attachment', 'girl', 'chosen', 'even', 'combination', 'rivalry', 'local', 'cowboy', 'Democrat', 'Ernie', 'Stubbins', 'Steve', 'Harmon', 'Watch', 'Goldie', 'Hawn', 'credited', 'Goldie', 'Jeanne', 'giggly', 'dancer', 'Election', 'party']",N/A
806880,A1WNJVA59HLMO5,B0001I55QU,"Chris ""Chris""","[6, 6]","I have this VHS in the 1983 White Clamshell Release. And I was so happy when I found out that this was coming out on DVD. I Bought it off amazon.com along with 4 of the other July 6th Releases. This movie brings back such fond memories. I love the songs. Walter Brennan was so nice as Rencalid Bower. And Buddy Ebsen and Janet Blair shined as the parents. This is such a sweet kids movie. Full of great songs like 10 feet off the ground, lets put Grover Over Again, Bout Time, He Kept Drummin Drummin Drummin and many more. And who can forget Lesley Ann Warren as Laura Bower and John Davidson as Joe Carder. While the family is having a fun time. Laura and Joe are having romantic fun. I also loved the special features. The Family Band Album was very nice. Lesley,John, and Robert Sherman. Lesley talks about making the movie and how Kurt Russel hated the dancing. And John talks about everything in paticular and Robert Sherman talks about the music and how they made it without Walt. This is a great film that I highly suggest to all of you.Buy a DVD tonight and share it with your family.",5,You Better Get Readdy To Hear You Better Get Readdy To Cheer,1090368000,"07 21, 2004",2004,1093,"['have', 'VHS', '1983', 'White', 'Clamshell', 'Release', 'was', 'so', 'happy', 'when', 'found', 'out', 'was', 'coming', 'out', 'DVD', 'Bought', 'off', '4', 'other', 'July', '6th', 'Releases', 'movie', 'back', 'such', 'fond', 'memories', 'love', 'songs', 'Walter', 'Brennan', 'was', 'so', 'nice', 'Rencalid', 'Bower', 'Buddy', 'Ebsen', 'Janet', 'Blair', 'shined', 'parents', 'such', 'sweet', 'kids', 'movie', 'Full', 'great', 'songs', '10', 'feet', 'ground', 'put', 'Grover', 'Over', 'Again', 'Bout', 'Time', 'Kept', 'Drummin', 'Drummin', 'Drummin', 'many', 'more', 'who', 'can', 'forget', 'Lesley', 'Ann', 'Warren', 'Laura', 'Bower', 'John', 'Davidson', 'Joe', 'Carder', 'family', 'having', 'fun', 'time', 'Laura', 'Joe', 'are', 'having', 'romantic', 'fun', 'also', 'loved', 'special', 'features', 'Family', 'Band', 'Album', 'was', 'very', 'nice', 'Lesley', 'John', 'Robert', 'Sherman', 'Lesley', 'talks', 'making', 'movie', 'how', 'Kurt', 'Russel', 'hated', 'dancing', 'John', 'talks', 'everything', 'paticular', 'Robert', 'Sherman', 'music', 'how', 'made', 'Walt', 'great', 'film', 'highly', 'suggest', 'you.Buy', 'DVD', 'tonight', 'share', 'family']",N/A
806881,AH034DI41T0C7,B0001I55QU,Daniel Thompson,"[3, 4]","I remember seeing ""Family Band"" when it first came out on the big screen in the 1960's and was enchanted with it then. I am still enjoying it today on DVD. Everything about it is so beautiful. The digital remastering, the bright, crisp images, the gorgeous music, etc. So many talented actors are in this film, and the score is chock full of tunes that will stay in your head for a long time. The music is so fine. Like ""Mary Poppins,"" the Sherman brothers worked their magic again to produce tunes that will keep you singing for days. The dancing is so good, too. And then there's the story! You'll get an American history lesson on top of everything else. You can amaze your friends with your knowledge of the Grover Cleveland/Benjamin Harrison presidential campaign of the late 1880's! This is truly a family movie, one that will surely please the little ones as well as the adults. And any musicians and singers in your viewing audience will love and appreciate the talent and hard work that went into making this musical. I just cannot say enough about this fine movie. I thoroughly enjoyed it. They just don't make 'em like this anymore, sadly.",5,Simply Divine!,1175212800,"03 30, 2007",2007,1150,"['remember', 'seeing', 'Family', 'Band', 'when', 'first', 'came', 'out', 'big', 'screen', '1960', 'was', 'enchanted', 'then', 'am', 'still', 'enjoying', 'today', 'DVD', 'Everything', 'so', 'beautiful', 'digital', 'remastering', 'bright', 'crisp', 'images', 'gorgeous', 'music', 'etc', 'So', 'many', 'talented', 'actors', 'are', 'film', 'score', 'chock', 'full', 'tunes', 'will', 'stay', 'head', 'long', 'time', 'music', 'so', 'fine', 'Mary', 'Poppins', 'Sherman', 'brothers', 'worked', 'magic', 'again', 'produce', 'tunes', 'will', 'keep', 'singing', 'days', 'dancing', 'so', 'good', 'too', 'then', 'story', ""'ll"", 'get', 'American', 'history', 'lesson', 'top', 'everything', 'else', 'can', 'amaze', 'friends', 'knowledge', 'Grover', 'Cleveland/Benjamin', 'Harrison', 'presidential', 'campaign', 'late', '1880', 'truly', 'family', 'movie', 'one', 'will', 'surely', 'please', 'little', 'ones', 'as', 'well', 'adults', 'musicians', 'singers', 'viewing', 'audience', 'will', 'love', 'appreciate', 'talent', 'hard', 'work', 'went', 'making', 'musical', 'just', 'can', 'not', 'say', 'enough', 'fine', 'movie', 'thoroughly', 'enjoyed', 'just', 'do', ""n't"", 'make', ""'em"", 'like', 'anymore', 'sadly']",N/A
806882,A1JEJARMS84A7Q,B0001I55QU,david,"[0, 0]","Great for families with small children. Well directed and engaging. Clean, believable and a great investment. Add it to your library.",4,Cute,1389398400,"01 11, 2014",2014,133,"['Great', 'families', 'small', 'children', 'Well', 'directed', 'engaging', 'Clean', 'believable', 'great', 'investment', 'Add', 'library']",N/A
806883,A3TIWKGKINYJ9W,B0001I55QU,David Kenner,"[31, 31]","I didn't expect to like this film. The title was too corny for one thing. Also, I'd seen Disney's trailers for the film and noticed how they always focused on a scene featuring Goldie Hawn even though she's only in the movie for a few minutes toward the end. If they have to try to sell it with shots of Goldie Hawn, how good can it be?But I finally got the chance to see it in its entirety and found out that it's a pretty darn good film. I've heard the Sherman Brothers songs for this movie dismissed as ""forgettable"" by notable critics but, while this film isn't loaded with Academy Award winning songs, there are still some good tunes sprinkled throughout, most notably a duet between John Davidson and Lesley Ann Warren entitled ""Bout Time"". The film has a lot of good choreography too and the dance sequences are thouroughly engaging without being over the top.Walter Brennan and Buddy Ebsen are perfect for their roles here and both do a fantastic job. (Although I'm not sure that Brennan was really old enough to be Ebsen's father.)The film is in full screen but in the documentary that's included here as a bonus feature, there's a mention of this being a made for TV film. The bonus features are nice and a commentary track with Davidson, Warren and one of the Sherman brothers is included too.",4,Surprisingly satisfying late 60s Disney feature.,1121644800,"07 18, 2005",2005,1304,"['did', ""n't"", 'expect', 'like', 'film', 'title', 'was', 'too', 'corny', 'one', 'thing', 'Also', ""'d"", 'seen', 'Disney', 'trailers', 'film', 'noticed', 'how', 'always', 'focused', 'scene', 'featuring', 'Goldie', 'Hawn', 'even', 'only', 'movie', 'few', 'minutes', 'end', 'have', 'try', 'sell', 'shots', 'Goldie', 'Hawn', 'how', 'good', 'can', 'be', 'finally', 'got', 'chance', 'see', 'entirety', 'found', 'out', 'pretty', 'darn', 'good', 'film', ""'ve"", 'heard', 'Sherman', 'Brothers', 'songs', 'movie', 'dismissed', 'forgettable', 'notable', 'critics', 'film', ""n't"", 'loaded', 'Academy', 'Award', 'winning', 'songs', 'are', 'still', 'good', 'tunes', 'sprinkled', 'most', 'notably', 'duet', 'John', 'Davidson', 'Lesley', 'Ann', 'Warren', 'entitled', 'Time', 'film', 'lot', 'good', 'choreography', 'too', 'dance', 'sequences', 'are', 'thouroughly', 'engaging', 'being', 'top.Walter', 'Brennan', 'Buddy', 'Ebsen', 'are', 'perfect', 'roles', 'here', 'do', 'fantastic', 'job', ""'m"", 'not', 'sure', 'Brennan', 'was', 'really', 'old', 'enough', 'be', 'Ebsen', 'father', 'film', 'full', 'screen', 'documentary', 'included', 'here', 'bonus', 'feature', 'mention', 'being', 'made', 'TV', 'film', 'bonus', 'features', 'are', 'nice', 'commentary', 'track', 'Davidson', 'Warren', 'one', 'Sherman', 'brothers', 'included', 'too']",N/A
806884,A3UYGUZR3HYF3G,B0001I55QU,Diane,"[0, 0]","Another classic musical for our family! The setting, the songs, the acting! Good movie of large family living, how even though they have different political views, they can come together.",5,Family Musical,1358294400,"01 16, 2013",2013,187,"['classic', 'musical', 'family', 'setting', 'songs', 'acting', 'Good', 'movie', 'large', 'family', 'living', 'how', 'even', 'have', 'different', 'political', 'views', 'can', 'come', 'together']",N/A
806885,A2EYMELYXZFO5Q,B0001I55QU,Disney Movie Fan,"[17, 19]","A disappointing release from Disney Home Video of a charming film with great stars and wonderful Sherman Brothers' music.  The extras are nice:  a short ""making of"" documentary and optional audio commentary.  Why the one star?  A poor pan-and-scan release with below par video quality are truly unacceptable in today's DVD market.  It would be better for the Disney Company to slow down its release sechedule and take the time to create quality releases of these older title that appeal to ""grown up"" Disney fans and film students.",1,Four Star movie -- one star DVD,1092787200,"08 18, 2004",2004,531,"['disappointing', 'release', 'Disney', 'Home', 'Video', 'charming', 'film', 'great', 'stars', 'wonderful', 'Sherman', 'Brothers', 'music', 'extras', 'are', 'nice', 'short', 'making', 'documentary', 'optional', 'audio', 'commentary', 'Why', 'one', 'star', 'poor', 'pan-and-scan', 'release', 'par', 'video', 'quality', 'are', 'truly', 'unacceptable', 'today', 'DVD', 'market', 'would', 'be', 'better', 'Disney', 'Company', 'slow', 'down', 'release', 'sechedule', 'take', 'time', 'create', 'quality', 'releases', 'older', 'title', 'appeal', 'grown', 'up', 'Disney', 'fans', 'film', 'students']",N/A
806886,A2XYLB2XOCST1X,B0001I55QU,GmaO,"[0, 0]","I loved this movie years ago and still do.Great to see family values. We can all ,earn from looking back.",5,Memories of a past era,1351987200,"11 4, 2012",2012,105,"['loved', 'movie', 'years', 'ago', 'still', 'do.Great', 'see', 'family', 'values', 'can', 'earn', 'looking', 'back']",N/A
