,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
820062,A1RNLPUDOD5ZNG,B00020HAWY,A. Banaag,"[8, 9]","*sigh* It seems like it was only yesterday Rachel walked into Central Perk in a wet wedding dress. But it wasn't. It was TEN years ago.Re-live the comedy and drama and romance in the final episode, originally aired on NBC on May 6, 2004 @ 9:00/8:00c.Go back to Central Perk for a cup of coffee and scone for one last time...The Final episode left us with the answer to a 10-year question: will Ross and Rachel end up together? Yes. In the Final episode, Chandler and Monica finally become parents after years of trying, Joey gets a chick and a duck again, named Chick Jr. &amp; Duck Jr., and Phoebe and her husband decide to have kids as well. Who'd thunk their FRIENDShip would last this long and through all the bad, and good stuff? The birth of Phoebe's brother's triplets, the birth of Ross &amp; Rachel's Emma, Chanler and Monica's wedding, and Joey's first real-starring role.This DVD is awesome and it'll help you remember how good these F*R*I*E*N*D*S really are. It's loaded with extra stuff you'll love, and comes with the un-cut finale, and the original broadcast.",5,It's Really Over...,1089763200,"07 14, 2004",2004,1074,"['*sigh*', 'was', 'only', 'yesterday', 'Rachel', 'walked', 'Central', 'Perk', 'wet', 'wedding', 'dress', 'was', ""n't"", 'was', 'TEN', 'years', 'ago.Re-live', 'comedy', 'drama', 'romance', 'final', 'episode', 'originally', 'aired', 'NBC', 'May', '6', '2004', '@', '9:00/8:00c.Go', 'back', 'Central', 'Perk', 'cup', 'coffee', 'scone', 'one', 'last', 'time', 'Final', 'episode', 'left', 'answer', '10-year', 'question', 'will', 'Ross', 'Rachel', 'end', 'up', 'together', 'Yes', 'Final', 'episode', 'Chandler', 'Monica', 'finally', 'become', 'parents', 'years', 'trying', 'Joey', 'chick', 'duck', 'again', 'named', 'Chick', 'Jr.', 'amp', 'Duck', 'Jr.', 'Phoebe', 'husband', 'decide', 'have', 'kids', 'as', 'well', 'Who', ""'d"", 'thunk', 'FRIENDShip', 'would', 'last', 'long', 'bad', 'good', 'stuff', 'birth', 'Phoebe', 'brother', 'triplets', 'birth', 'Ross', 'amp', 'Rachel', 'Emma', 'Chanler', 'Monica', 'wedding', 'Joey', 'first', 'real-starring', 'role.This', 'DVD', 'awesome', ""'ll"", 'help', 'remember', 'how', 'good', 'F*R*I*E*N*D*S', 'really', 'are', 'loaded', 'extra', 'stuff', ""'ll"", 'love', 'un-cut', 'finale', 'original', 'broadcast']",Friends - The Series Finale
820063,ABXPRXMK3Z9GW,B00020HAWY,Anthony Chiu,"[3, 4]","Huge fan of FRIENDS here.  Sure, its a bit too &quot;overated&quot; and those who hate like this show are just sick and tired of its popularity.  Or they expect too much out of a &quot;simple&quot; sitcom!  Its really only a TV show.  This show actually happens to be one of a couple of all shows that I ever watch on TV!Anyway, the acting was definately great, I thought!  But I am never a picky one anyhow.However, I can see that Season 10 is probably one of the most disappointing comparing to Season 3-9 (which are my favourites).  I can only recall a FEW episodes from Season 10 that were good...only one that was REALLY good.As of the Finale, I was hoping for a bit more.  Some viewers are right, there were truly only a few parts of the episode that were humourous.  To sum up, the Finale episode was quite a disappointment for me.  It didn't &quot;complete&quot; FRIENDS as I hoped it to do.  It seemed to me that the show has ended too quickly, and the producers were too much in a hurry to plot the whole episode in a short time frame.  I am a bit surprised some of the characteres didn't even show up (such as Emma, Carol &amp; Susan, Ben, etc.).The best of FRIENDS (according to my own opinion), must definately be within Seasons 4 and 9.  By Season 10, most of the episodes have lost its touch and its humour.  What a shame...",3,"AWESOME TV show, but a disappointing Finale",1088208000,"06 26, 2004",2004,1339,"['Huge', 'fan', 'FRIENDS', 'here', 'Sure', 'bit', 'too', 'quot', 'overated', 'quot', 'who', 'hate', 'show', 'are', 'just', 'sick', 'tired', 'popularity', 'expect', 'too', 'much', 'quot', 'simple', 'quot', 'really', 'only', 'TV', 'show', 'show', 'actually', 'be', 'one', 'couple', 'shows', 'ever', 'watch', 'TV', 'Anyway', 'acting', 'was', 'definately', 'great', 'thought', 'am', 'never', 'picky', 'one', 'anyhow.However', 'can', 'see', 'Season', '10', 'probably', 'one', 'most', 'disappointing', 'comparing', 'Season', '3-9', 'are', 'favourites', 'can', 'only', 'recall', 'FEW', 'episodes', 'Season', '10', 'were', 'good', 'only', 'one', 'was', 'REALLY', 'good.As', 'Finale', 'was', 'hoping', 'bit', 'more', 'viewers', 'are', 'right', 'were', 'truly', 'only', 'few', 'parts', 'episode', 'were', 'humourous', 'sum', 'up', 'Finale', 'episode', 'was', 'quite', 'disappointment', 'did', ""n't"", 'quot', 'complete', 'quot', 'hoped', 'do', 'seemed', 'show', 'ended', 'too', 'quickly', 'producers', 'were', 'too', 'much', 'hurry', 'plot', 'whole', 'episode', 'short', 'time', 'frame', 'am', 'bit', 'surprised', 'characteres', 'did', ""n't"", 'even', 'show', 'up', 'such', 'Emma', 'Carol', 'amp', 'Susan', 'Ben', 'etc', '.The', 'best', 'FRIENDS', 'according', 'own', 'opinion', 'must', 'definately', 'be', 'Seasons', '4', '9', 'Season', '10', 'most', 'episodes', 'have', 'lost', 'touch', 'humour', 'What', 'shame']",Friends - The Series Finale
820064,A27JBA4I47XJ91,B00020HAWY,Barnaby Twyman,"[4, 7]","I love Friends and have been watching it since the beginning. It's gone on for 10 years which is amazing considering all the cast have stuck together and haven't been replaced by younger stars to keep the show updated. Of course everyone thought the final Friends episode would be the most amazing thing ever seen on television but we were SO wrong!The episode seems really plain and just drags along. They try to build a huge suspense factor with the Ross and Rachel storyline which has been done so many times already. Also you'd think these characters would find more resolution in their lives. I was really dissapointed with how they just blanked Phoebe throughout the episode. We've grown to love her for ten years and the resolution we get is that she's decided to have kids with Mike. That's really worth it! NOT!!! Also where were the guest characters? Janice made her exit earlier in the season but we didn't see Carol, Susan and Ben once! We didn't even see Emma in this episode! Yet Phoebe's annoying husband Mike seems to pop up everywhere throughout the finale. I thought the last shot of the empty apartment was nice it's just that for the rest of the episode you're sitting there thinking ""Ok so when is something big going to happen?"" Finally they never explain Joey's exit to leave for Los Angeles and star in his own show!Season 10 was a rushed season and you can tell by how short it is compared to the other 9. Why were they in such a hurry to finish it? Did they just get bored with writing more new episodes? All in all I think the ending was really poor and lacked any creativity compared to the great endings of Buffy, Sex and the City and Ally McBeal. Hopefully Rachel, Chandler, Monica, Ross and Phoebe will come and visit Joey for an episode in his new show where we'll be satisfied with some big resolution in their lives.As for the reviewer who is complaining about all of Friends not being released in the US as it is in the UK stop whining and head over to amazon.co.uk where you can get them imported legally. The complete seasons 1-5 of Ally Mcbeal, seasons 1-7 of Buffy, seasons 1-4 of Angel and seasons 1-4 of Will & Grace are also available from the same website.",3,A really boring ending to a fantastic show!,1088294400,"06 27, 2004",2004,2199,"['love', 'Friends', 'have', 'been', 'watching', 'beginning', 'gone', '10', 'years', 'amazing', 'considering', 'cast', 'have', 'stuck', 'together', 'have', ""n't"", 'been', 'replaced', 'younger', 'stars', 'keep', 'show', 'updated', 'course', 'everyone', 'thought', 'final', 'Friends', 'episode', 'would', 'be', 'most', 'amazing', 'thing', 'ever', 'seen', 'television', 'were', 'SO', 'wrong', 'episode', 'really', 'plain', 'just', 'drags', 'along', 'try', 'build', 'huge', 'suspense', 'factor', 'Ross', 'Rachel', 'storyline', 'been', 'done', 'so', 'many', 'times', 'already', 'Also', ""'d"", 'think', 'characters', 'would', 'find', 'more', 'resolution', 'lives', 'was', 'really', 'dissapointed', 'how', 'just', 'blanked', 'Phoebe', 'episode', ""'ve"", 'grown', 'love', 'ten', 'years', 'resolution', 'get', 'decided', 'have', 'kids', 'Mike', 'really', 'worth', 'NOT', 'Also', 'where', 'were', 'guest', 'characters', 'Janice', 'made', 'exit', 'earlier', 'season', 'did', ""n't"", 'see', 'Carol', 'Susan', 'Ben', 'once', 'did', ""n't"", 'even', 'see', 'Emma', 'episode', 'Phoebe', 'annoying', 'husband', 'Mike', 'pop', 'up', 'everywhere', 'finale', 'thought', 'last', 'shot', 'empty', 'apartment', 'was', 'nice', 'just', 'rest', 'episode', ""'re"", 'sitting', 'there', 'thinking', 'Ok', 'so', 'when', 'something', 'big', 'going', 'happen', 'Finally', 'never', 'explain', 'Joey', 'exit', 'leave', 'Los', 'Angeles', 'star', 'own', 'show', 'Season', '10', 'was', 'rushed', 'season', 'can', 'tell', 'how', 'short', 'compared', 'other', '9', 'Why', 'were', 'hurry', 'finish', 'Did', 'just', 'get', 'bored', 'writing', 'more', 'new', 'episodes', 'think', 'ending', 'was', 'really', 'poor', 'lacked', 'creativity', 'compared', 'great', 'endings', 'Buffy', 'Sex', 'City', 'Ally', 'McBeal', 'Hopefully', 'Rachel', 'Chandler', 'Monica', 'Ross', 'Phoebe', 'will', 'come', 'visit', 'Joey', 'episode', 'new', 'show', 'where', ""'ll"", 'be', 'satisfied', 'big', 'resolution', 'lives.As', 'reviewer', 'who', 'complaining', 'Friends', 'not', 'being', 'released', 'US', 'UK', 'stop', 'whining', 'head', 'amazon.co.uk', 'where', 'can', 'get', 'imported', 'legally', 'complete', 'seasons', '1-5', 'Ally', 'Mcbeal', '1-7', 'Buffy', '1-4', 'Angel', 'seasons', '1-4', 'Will', 'Grace', 'are', 'also', 'available', 'same', 'website']",Friends - The Series Finale
820065,A1NV8HZTGKIPXQ,B00020HAWY,"Barry ""Barrybgb""","[0, 0]","1994. Episode 1. You knew. You just knew. There was a feeling that there was something here. You didn't know what it was going to be, or how it would turn out, but it was there. 10 years later, as the curtain falls for the final time, you are not surprised that it has lasted this long, gained this much success and respect. It was there in the beginning. (...). The finale, coming off of much hype and publicity, is what series finales should be. I am being careful what to say as to not spoil anything for anyone. Of course, the whole world watched, so it might not ruin anything. The adventures of Ross, Rachel, Monica, Chandler, Phoebe, and Joey, are wrapped up in a satisfying send off that showcased the best of the show. It was truly vintage. Being a spoiler junkie, I knew what was to come, but most of it could of been figured out in advance. Loose ends were tied up and everything was wrapped up in a big red bow. Would we want it any other way?. The writing was superb and it handled the festivities as a classic episode, and not like other finales who try so hard to be something special and come off as feeling out of place and out of character. Not this one. It was vintage ""Friends"" through and through. With great little touches like Gunther's confrontation with Rachel, to the chick and duck homage between Joey and Chandler, the writers knew how to give it a little something here and there to touch upon the show's long and celebrated history. The foosball table scenario, disliked by some, was symbolic and overlooked and misunderstood by a lot of people. The same people who probably go after the show for no reason and never actually think beforehand. There was a surprise here and there, but quite frankly, big twists and turns isn't necessary. It would only seem forced and trite, when all you need for the big send off are the characters. The people and the story. That's all. The final moments were sad, and the leaving of the keys was symbolic, touching, and a nice little touch. The actors, some say over-paid and talentless, are, of course, very talented. No one else could be these people. Each with their own quirk and character. They do some great work in the finale. The new beginnings with the babies and the move were brilliantly downplayed by the writers, who knew that while these were special moments, the main focus were on the people themselves. The show could sometimes go for an easy joke, but is that a problem?. No. Like the show itself, the finale was funny, sweet, heartwarming, touching, smart, and comfortable. The show and these characters served the TV viewing audience in a way that the detractors cannot understand. All finales will be reviewed and ripped apart to analyze everything, and it will never satisy everyone, but for me, this one did. They served us well for 10 years, and they gave us a finale that we, and they, all deserved.",5,"""Didn't Think It Would Be This Hard....""",1083888000,"05 7, 2004",2004,2890,"['1994', 'Episode', '1', 'knew', 'just', 'knew', 'was', 'feeling', 'was', 'something', 'here', 'did', ""n't"", 'know', 'what', 'was', 'going', 'be', 'how', 'would', 'turn', 'out', 'was', 'there', '10', 'years', 'later', 'curtain', 'final', 'time', 'are', 'not', 'surprised', 'lasted', 'long', 'gained', 'much', 'success', 'respect', 'was', 'there', 'beginning', 'finale', 'coming', 'much', 'hype', 'publicity', 'what', 'series', 'finales', 'should', 'be', 'am', 'being', 'careful', 'what', 'say', 'not', 'spoil', 'anything', 'anyone', 'course', 'whole', 'world', 'watched', 'might', 'not', 'ruin', 'anything', 'adventures', 'Ross', 'Rachel', 'Monica', 'Chandler', 'Phoebe', 'Joey', 'are', 'wrapped', 'up', 'satisfying', 'send', 'showcased', 'best', 'show', 'was', 'truly', 'vintage', 'Being', 'spoiler', 'junkie', 'knew', 'what', 'was', 'come', 'most', 'could', 'been', 'figured', 'out', 'advance', 'Loose', 'ends', 'were', 'tied', 'up', 'everything', 'was', 'wrapped', 'up', 'big', 'red', 'bow', 'Would', 'want', 'other', 'way', 'writing', 'was', 'superb', 'handled', 'festivities', 'classic', 'episode', 'not', 'other', 'finales', 'who', 'try', 'so', 'hard', 'be', 'something', 'special', 'come', 'off', 'feeling', 'place', 'character', 'Not', 'one', 'was', 'vintage', 'Friends', 'great', 'little', 'touches', 'Gunther', 'confrontation', 'Rachel', 'chick', 'duck', 'homage', 'Joey', 'Chandler', 'writers', 'knew', 'how', 'give', 'little', 'something', 'here', 'there', 'touch', 'show', 'long', 'celebrated', 'history', 'foosball', 'table', 'scenario', 'disliked', 'was', 'symbolic', 'overlooked', 'misunderstood', 'lot', 'people', 'same', 'people', 'who', 'probably', 'go', 'show', 'reason', 'never', 'actually', 'think', 'beforehand', 'was', 'surprise', 'here', 'there', 'quite', 'frankly', 'big', 'twists', 'turns', ""n't"", 'necessary', 'would', 'only', 'seem', 'forced', 'trite', 'when', 'need', 'big', 'send', 'off', 'are', 'characters', 'people', 'story', 'final', 'moments', 'were', 'sad', 'leaving', 'keys', 'was', 'symbolic', 'touching', 'nice', 'little', 'touch', 'actors', 'say', 'over-paid', 'talentless', 'are', 'course', 'very', 'talented', 'one', 'else', 'could', 'be', 'people', 'own', 'quirk', 'character', 'do', 'great', 'work', 'finale', 'new', 'beginnings', 'babies', 'move', 'were', 'brilliantly', 'downplayed', 'writers', 'who', 'knew', 'were', 'special', 'moments', 'main', 'focus', 'were', 'people', 'show', 'could', 'sometimes', 'go', 'easy', 'joke', 'problem', 'show', 'finale', 'was', 'funny', 'sweet', 'heartwarming', 'touching', 'smart', 'comfortable', 'show', 'characters', 'served', 'TV', 'viewing', 'audience', 'way', 'detractors', 'can', 'not', 'understand', 'finales', 'will', 'be', 'reviewed', 'ripped', 'apart', 'analyze', 'everything', 'will', 'never', 'satisy', 'everyone', 'one', 'did', 'served', 'well', '10', 'years', 'gave', 'finale', 'deserved']",Friends - The Series Finale
820066,AEM0O1B4O9KP0,B00020HAWY,"Brian Shaw ""bshaw20""","[6, 28]","I've been a Friends fan since Day One, and man, what an amazing ten years. This DVD is a must-have for every fan. I remember the first time I saw Jennifer Aniston on TV, she was like 25 during the first season, and just like every guy in America, I fell in love with her and she made me melt like Velveeta. I had followed her career since then, but she will forever be Rachel. Speaking of Rachel, what a classic hairdo that was. I loved it! If this disc will have the pilot and music video, then it is a great value. By the way my favorite episode of all time is a season one episode, the one where Rachel has to return the ring and it got lost and she was freaking out, ""And now I'm going to have to return the ring, without the ring, which makes it so much harder!"" This show is truly an all time classic and I'm glad to have been a devoted watcher for the last 10 years.",5,An essential,1082073600,"04 16, 2004",2004,873,"[""'ve"", 'been', 'Friends', 'fan', 'Day', 'One', 'man', 'what', 'amazing', 'ten', 'years', 'DVD', 'must-have', 'fan', 'remember', 'first', 'time', 'saw', 'Jennifer', 'Aniston', 'TV', 'was', 'like', '25', 'first', 'season', 'just', 'guy', 'America', 'fell', 'love', 'made', 'melt', 'like', 'Velveeta', 'had', 'followed', 'career', 'then', 'will', 'forever', 'be', 'Rachel', 'Speaking', 'Rachel', 'what', 'classic', 'hairdo', 'was', 'loved', 'disc', 'will', 'have', 'pilot', 'music', 'video', 'then', 'great', 'value', 'way', 'favorite', 'episode', 'time', 'season', 'one', 'episode', 'one', 'where', 'Rachel', 'return', 'ring', 'got', 'lost', 'was', 'freaking', 'out', 'now', ""'m"", 'going', 'have', 'return', 'ring', 'ring', 'so', 'much', 'harder', 'show', 'truly', 'time', 'classic', ""'m"", 'glad', 'have', 'been', 'devoted', 'watcher', 'last', '10', 'years']",Friends - The Series Finale
820067,A14OKJXPQ7F7GB,B00020HAWY,Bri,"[5, 5]","It was a nice thought.  Offer the finale days after it airs on television, and put two versions on the DVD. The broadcast version, and an extended version.  But then to tack on the same music video and pilot that is available on Season 1's DVD, and to offer a montage of opening credits is somewhat disappointing.  The finale could have included some inkling of a ""goodbye"": promos, a cast interview, the ""ten years"" special that aired on NBC? Perhaps on the season 10 DVD we can look forward to such things.However, this is a great episode. Having watched this show for 10 years, I felt it takes each of the character's stories full circle. All the relationships are resolved, the children born. Everything ending on a bittersweet, yet complete note.",4,Friends forever.,1099440000,"11 3, 2004",2004,751,"['was', 'nice', 'thought', 'Offer', 'finale', 'days', 'television', 'put', 'two', 'versions', 'DVD', 'broadcast', 'version', 'extended', 'version', 'then', 'tack', 'same', 'music', 'video', 'pilot', 'available', 'Season', '1', 'DVD', 'offer', 'montage', 'opening', 'credits', 'somewhat', 'disappointing', 'finale', 'could', 'have', 'included', 'inkling', 'goodbye', 'promos', 'cast', 'interview', 'ten', 'years', 'special', 'aired', 'NBC', 'Perhaps', 'season', '10', 'DVD', 'can', 'look', 'forward', 'such', 'things.However', 'great', 'episode', 'Having', 'watched', 'show', '10', 'years', 'felt', 'character', 'stories', 'full', 'circle', 'relationships', 'are', 'resolved', 'children', 'born', 'Everything', 'ending', 'bittersweet', 'yet', 'complete', 'note']",Friends - The Series Finale
820068,A242NT93V44CAF,B00020HAWY,Bryan Karlik,"[0, 1]","Friends: The Final Season  LD  just DVD not much to say about them you have to like Friends  ""Board"" with this one",2,Friends Final,1353369600,"11 20, 2012",2012,114,"['Friends', 'Final', 'Season', 'LD', 'just', 'DVD', 'not', 'much', 'say', 'have', 'like', 'Friends', 'Board', 'one']",Friends - The Series Finale
820069,A3KXRZCN90F9BB,B00020HAWY,"Carlos ""Carlos Says Relax""","[35, 37]","Cons:Both episodes appear in season packages, and the main reason you would have to buy this DVD is because you want to watch the extended version of the finale. Besides, it's just a waste of time to watch the intro videos of the 10 seasons...like 7 minutes of the same, and the music video ""I'll Be There For You"" just sucks!.Pros:However, I own this DVD because the 10th season still hasn't been released in my country, and the extended edition of the finale has lots of really funny parts that don't appear in the broadcasted edition, and it's very funny. Plus, you can watch also the 1st Friends episode ever, which is so, so funny, I think it's one of my favorites so far (I already own 4 complete seasons).Now, to end with this:WHY SOULD I BUY THIS?: Because you want to see the ending and you don't own the 10th season. Because you want to watch the extended version of the finale, which has about 3 minutes with extra scenes (they're so funny). Because you want to watch the first episode, which is very good. Because you're just a collector who owns every single ""Friends"" item there is.WHY SOULDN'T I BUY THIS: Because you own the 1st and 10th season. Because you don't care about the 3 extra minutes in the extended version of the finale. Because the 3 episodes it includes don't worth the money. Because it's boring to watch the intro videos and the music video.======I really like this DVD and I gave it 4 stars because of the extended finale and the first episode. I didn't give it 5 stars because it doesn't include almost any interesting bonus features.Now I just told you the pros and cons I could find, you make the decision. Bye.",4,There are pros and cons,1141257600,"03 2, 2006",2006,1648,"['Cons', 'episodes', 'appear', 'season', 'packages', 'main', 'reason', 'would', 'have', 'buy', 'DVD', 'want', 'watch', 'extended', 'version', 'finale', 'just', 'waste', 'time', 'watch', 'intro', 'videos', '10', 'seasons', '7', 'minutes', 'same', 'music', 'video', ""'ll"", 'Be', 'just', '.Pros', 'However', 'own', 'DVD', '10th', 'season', 'still', ""n't"", 'been', 'released', 'country', 'extended', 'edition', 'finale', 'lots', 'really', 'funny', 'parts', 'do', ""n't"", 'appear', 'broadcasted', 'edition', 'very', 'funny', 'can', 'watch', 'also', '1st', 'Friends', 'episode', 'ever', 'so', 'funny', 'think', 'one', 'favorites', 'so', 'far', 'already', 'own', '4', 'complete', 'seasons', '.Now', 'end', 'WHY', 'SOULD', 'BUY', 'THIS', 'want', 'see', 'ending', 'do', ""n't"", 'own', '10th', 'season', 'want', 'watch', 'extended', 'version', 'finale', '3', 'minutes', 'extra', 'scenes', ""'re"", 'so', 'funny', 'want', 'watch', 'first', 'episode', 'very', 'good', ""'re"", 'just', 'collector', 'who', 'single', 'Friends', 'item', 'is.WHY', 'SOULD', ""N'T"", 'BUY', 'own', '1st', '10th', 'season', 'do', ""n't"", 'care', '3', 'extra', 'minutes', 'extended', 'version', 'finale', '3', 'episodes', 'do', ""n't"", 'worth', 'money', 'boring', 'watch', 'intro', 'videos', 'music', 'really', 'DVD', 'gave', '4', 'stars', 'extended', 'finale', 'first', 'episode', 'did', ""n't"", 'give', '5', 'stars', ""n't"", 'include', 'almost', 'interesting', 'bonus', 'features.Now', 'just', 'told', 'pros', 'cons', 'could', 'find', 'make', 'decision', 'Bye']",Friends - The Series Finale
820070,AE42JLYPXUI45,B00020HAWY,"Chad DeFeo ""(ChandlerBingFan)""","[18, 23]","It's been ten years already and our six best friends are saying good-bye. Over the past ten years, we've watched these six actors grow into the huge stars that they are today and we will never forget them. Even though the show has to end, seeing it end is very heartbreaking because we've been watching it for so long. I, as well as the rest of the fans of this show, feel like that I've grown very close to the six actors. I know that we all can watch the re-runs at 6:00 and 7:00 on the WB mondays thru fridays and 7:30 on TBS mondays thru fridays. We can always watch every episode on our COMPLETE SEASON DVDs, but it's not that same as turning on NBC at 8:00 every thursday night to watch the new episodes.Over the years, we've had so many laughs from our most favorite characters, from RACHEL GREEN to MONICA GELLAR-BING to PHOEBE BUFFAY-HANNIGAN to JOEY TRIBBIANNI to CHANDLER BING to ROSS GELLAR. We've had so many laughs from Janice's annoying OH MY GOD's to Joey's HOW YOU DOIN' to Monica's, I KNOW, to Phoebe's SMELLY CAT, SMELLY CAT WHAT ARE THEY FEEDING YOU. Having to give all those things up is like giving up a part of our lives. When I tune on this thursday to watch my best friends bid their farewell, I'll be wearing black and most likely will have eyes that look like Niagra Falls. We all know that they'll be appearing in more movies, but no matter what movie rolls they take, those rolls will never compare to RACHEL, MONICA, PHOEBE, JOEY, CHANDLER, & ROSS.I just want to thank the six of you guys: JENNFER ANISTON, COURTENEY COX ARQUETTE, LISA KUDROW, MATT LEBLANC, MATTHEW PERRY, & DAVID SCHWIMMER. You have had a huge impact on all us fans. The six of you made my days when I was feeling sad. The six of you made my life a lot better than what it was before. I want to wish you all nothing but the very best of luck in your careers and where you take them in the near future. I hope to see you all in 15-20 years for a reunion. Again, thank you all for an outstanding show and may God Bless you all.",5,FRIENDS Season Farewell Finale (2004),1083542400,"05 3, 2004",2004,2023,"['been', 'ten', 'years', 'already', 'six', 'best', 'friends', 'are', 'saying', 'good-bye', 'past', 'ten', 'years', ""'ve"", 'watched', 'six', 'actors', 'grow', 'huge', 'stars', 'are', 'today', 'will', 'never', 'forget', 'Even', 'show', 'end', 'seeing', 'end', 'very', 'heartbreaking', ""'ve"", 'been', 'watching', 'so', 'long', 'as', 'well', 'rest', 'fans', 'show', 'feel', ""'ve"", 'grown', 'very', 'close', 'six', 'actors', 'know', 'can', 'watch', 're-runs', '6:00', '7:00', 'WB', 'mondays', 'thru', 'fridays', '7:30', 'TBS', 'mondays', 'thru', 'fridays', 'can', 'always', 'watch', 'episode', 'COMPLETE', 'SEASON', 'DVDs', 'not', 'that', 'same', 'turning', 'NBC', '8:00', 'thursday', 'night', 'watch', 'new', 'years', ""'ve"", 'had', 'so', 'many', 'laughs', 'most', 'favorite', 'characters', 'RACHEL', 'GREEN', 'MONICA', 'GELLAR-BING', 'PHOEBE', 'BUFFAY-HANNIGAN', 'JOEY', 'TRIBBIANNI', 'CHANDLER', 'BING', 'ROSS', 'GELLAR', ""'ve"", 'had', 'so', 'many', 'laughs', 'Janice', 'annoying', 'OH', 'MY', 'GOD', 'Joey', 'HOW', 'YOU', 'DOIN', 'Monica', 'KNOW', 'Phoebe', 'SMELLY', 'CAT', 'SMELLY', 'CAT', 'WHAT', 'ARE', 'THEY', 'FEEDING', 'YOU', 'Having', 'give', 'things', 'up', 'giving', 'up', 'part', 'lives', 'When', 'tune', 'thursday', 'watch', 'best', 'friends', 'bid', 'farewell', ""'ll"", 'be', 'wearing', 'black', 'most', 'likely', 'will', 'have', 'eyes', 'look', 'Niagra', 'Falls', 'know', ""'ll"", 'be', 'appearing', 'more', 'movies', 'matter', 'what', 'movie', 'take', 'rolls', 'will', 'never', 'compare', 'RACHEL', 'MONICA', 'PHOEBE', 'JOEY', 'CHANDLER', 'ROSS.I', 'just', 'want', 'thank', 'six', 'guys', 'JENNFER', 'ANISTON', 'COURTENEY', 'COX', 'ARQUETTE', 'LISA', 'KUDROW', 'MATT', 'LEBLANC', 'MATTHEW', 'PERRY', 'DAVID', 'SCHWIMMER', 'have', 'had', 'huge', 'impact', 'fans', 'six', 'made', 'days', 'when', 'was', 'feeling', 'sad', 'six', 'made', 'life', 'lot', 'better', 'what', 'was', 'want', 'wish', 'nothing', 'very', 'best', 'luck', 'careers', 'where', 'take', 'near', 'future', 'hope', 'see', '15-20', 'years', 'reunion', 'Again', 'thank', 'outstanding', 'show', 'may', 'God', 'Bless']",Friends - The Series Finale
820071,A32EDSKLEUZ3Y7,B00020HAWY,Chris,"[0, 0]",This was probally the best episode of Friend I have been watching it for 9 years missed about 3 episodes when they  1st premier and I really liked the show I was expecting a great episode I am not a cryer but me and even my dad almost cried.Beind a dude I loved Rachel and I thought Chandler and Joey were cool.I loved the ending when Ross and Rachel got  back together it will be hard but I will survive they were all Friends we all felt like Friends with them.This was a great show and I will truly miss it comedies-sitcoms rule,5,My Favorite Show,1084406400,"05 13, 2004",2004,530,"['was', 'probally', 'best', 'episode', 'Friend', 'have', 'been', 'watching', '9', 'years', 'missed', '3', 'episodes', 'when', '1st', 'premier', 'really', 'liked', 'show', 'was', 'expecting', 'great', 'episode', 'am', 'not', 'cryer', 'even', 'dad', 'almost', 'cried.Beind', 'dude', 'loved', 'Rachel', 'thought', 'Chandler', 'Joey', 'were', 'cool.I', 'loved', 'ending', 'when', 'Ross', 'Rachel', 'got', 'back', 'together', 'will', 'be', 'hard', 'will', 'survive', 'were', 'Friends', 'felt', 'Friends', 'them.This', 'was', 'great', 'show', 'will', 'truly', 'miss', 'comedies-sitcoms', 'rule']",Friends - The Series Finale
