,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
837035,A20EEWWSFMZ1PN,B0002J58GU,"bernie ""xyzzy""","[2, 2]",This time Allan Quatermain (Patrick Swayze) and Elizabeth Maitland (Alison Doody) go after her father Dr. Sam Maitland (John Standing). He is held prisoner by nasty natives and they want his key to King Solomon's mine. They are accompanied by a not so mysterious native Umbopa (Sidede Onyulo).  On the way they are encumbered be some bad guys with their own agendas.I will not go into detail but those loyal to the book and/or familiar with the Stewart Granger version may be disappointed. Thos uneducated may enjoy it to the end.Very few videos can match or best a book. And this one does not. Yet it does top most of the others attempts as a variation on the story. Being long enough it could have been the book. But it is someone else's idea of what we want to see.  This is well worth watching as its own variation on the story they added a few twists turns and characters. They are probably trying to as an Indiana Jones feel. Alison Doody was in the Indiana Jones movie.,3,Yet another variation,1125878400,"09 5, 2005",2005,976,"['time', 'Allan', 'Quatermain', 'Patrick', 'Swayze', 'Elizabeth', 'Maitland', 'Alison', 'Doody', 'go', 'father', 'Dr.', 'Sam', 'Maitland', 'John', 'Standing', 'held', 'prisoner', 'nasty', 'natives', 'want', 'key', 'King', 'Solomon', 'mine', 'are', 'accompanied', 'not', 'so', 'mysterious', 'native', 'Umbopa', 'Sidede', 'Onyulo', 'way', 'are', 'encumbered', 'be', 'bad', 'guys', 'own', 'agendas.I', 'will', 'not', 'go', 'detail', 'loyal', 'book', 'and/or', 'familiar', 'Stewart', 'Granger', 'version', 'may', 'be', 'disappointed', 'Thos', 'uneducated', 'may', 'enjoy', 'end.Very', 'few', 'videos', 'can', 'match', 'best', 'book', 'one', 'not', 'top', 'most', 'others', 'attempts', 'variation', 'story', 'Being', 'long', 'enough', 'could', 'have', 'been', 'book', 'someone', 'else', 'idea', 'what', 'want', 'see', 'well', 'worth', 'watching', 'own', 'variation', 'story', 'added', 'few', 'twists', 'turns', 'characters', 'are', 'probably', 'trying', 'Indiana', 'Jones', 'feel', 'Alison', 'Doody', 'was', 'Indiana', 'Jones', 'movie']",N/A
837036,A1GHUN5HXMHZ89,B0002J58GU,"C. A. Luster ""The Rook""","[0, 0]","Patrick Swayze, Alison Doody, Gavin Hood, and Robert WhiteheadSteven Berman did an above average job of adapting this story for TV.  Take it from someone that watches a lot of movies, this version of King Solomon's Mines is the best. Patrick Swayze is Allan Quartermain in this movie. The rest of the cast is good, but Patrick goes above and beyond to make Quartermain live, breath, and bleed.  The production values are good, the acting great, and the locations are beautiful.  Add to that good directing and music and you have the best version I have seen to date.Recommendations:The Count Of Monte Cristo,Sahara,Librarian : The Curse Of The Judas ChaliceCA Luster",5,King Solomon's,1368403200,"05 13, 2013",2013,666,"['Patrick', 'Swayze', 'Alison', 'Doody', 'Gavin', 'Hood', 'Robert', 'WhiteheadSteven', 'Berman', 'did', 'above', 'average', 'job', 'adapting', 'story', 'TV', 'Take', 'someone', 'lot', 'movies', 'version', 'King', 'Solomon', 'Mines', 'best', 'Patrick', 'Swayze', 'Allan', 'Quartermain', 'movie', 'rest', 'cast', 'good', 'Patrick', 'make', 'Quartermain', 'live', 'breath', 'bleed', 'production', 'values', 'are', 'good', 'acting', 'great', 'locations', 'are', 'beautiful', 'Add', 'good', 'directing', 'music', 'have', 'best', 'version', 'have', 'seen', 'date.Recommendations', 'Count', 'Monte', 'Cristo', 'Sahara', 'Librarian', 'Curse', 'Judas', 'ChaliceCA', 'Luster']",N/A
837037,A2QW83GYT28E71,B0002J58GU,"Carmen L. Norris ""CNorris video lover""","[1, 1]",It's hard to find some of these DVD's in the stores now.  I like the Indiana Jones atmosphere of this DVD and is something I can watch over and over.  Its clean and easy to follow story line make it an enjoyable evening in front of the TV.,5,King Solomons Mines DVD,1285200000,"09 23, 2010",2010,239,"['hard', 'find', 'DVD', 'stores', 'now', 'Indiana', 'Jones', 'atmosphere', 'DVD', 'something', 'can', 'watch', 'over', 'clean', 'easy', 'follow', 'story', 'line', 'make', 'enjoyable', 'evening', 'front', 'TV']",N/A
837038,AY2Z3981YLIBU,B0002J58GU,Cottonjenn,"[2, 2]",I enjoyed this movie more than I expected to especially for the length of it. But not once did I feel like this movie was dragging or wow what a long movie. I thought for sure I would never make it thru to the end but I was wrong. It moved and kept me watching at a decent pace. I enjoy the Indy kind of movies and this one was really pretty good.,5,An enjoyable movie,1253750400,"09 24, 2009",2009,347,"['enjoyed', 'movie', 'more', 'expected', 'especially', 'length', 'not', 'once', 'did', 'feel', 'movie', 'was', 'dragging', 'wow', 'what', 'long', 'movie', 'thought', 'sure', 'would', 'never', 'make', 'thru', 'end', 'was', 'wrong', 'moved', 'kept', 'watching', 'decent', 'pace', 'enjoy', 'Indy', 'kind', 'movies', 'one', 'was', 'really', 'pretty', 'good']",N/A
837039,A2NXAAR67XNJMA,B0002J58GU,"DancingInTheWind ""DancingInTheWind""","[0, 0]",Another great movie and this awesome too.  If you like Patrick in any of his movies you'll love this one.,5,King Solomon's Mine,1392422400,"02 15, 2014",2014,105,"['great', 'movie', 'awesome', 'too', 'like', 'Patrick', 'movies', ""'ll"", 'love', 'one']",N/A
837040,A36M0MCSAZG669,B0002J58GU,Dan Hollingsworth,"[0, 0]",Dang good movie. Patrick Swayze is never a disappointment. Well worth watching and I will recommend it to everyone I know,5,Great,1366329600,"04 19, 2013",2013,121,"['Dang', 'good', 'movie', 'Patrick', 'Swayze', 'never', 'disappointment', 'Well', 'watching', 'will', 'recommend', 'everyone', 'know']",N/A
837041,A309SRXS2L8FGK,B0002J58GU,Doris Seltzer,"[0, 0]",I received the movie in excellent condition within a week of ordering it.  I enjoyed it very much and it will make a wonderful addition to my collection.  I will enjoy watching it many times as I do all my movies.,5,movie purchased,1392336000,"02 14, 2014",2014,213,"['received', 'movie', 'excellent', 'condition', 'week', 'ordering', 'enjoyed', 'very', 'much', 'will', 'make', 'wonderful', 'addition', 'collection', 'will', 'enjoy', 'watching', 'many', 'times', 'do', 'movies']",N/A
837042,AVYPOYFT320BU,B0002J58GU,E. A Hill,"[7, 8]","An entertaining adventure, except for the opening scene with the elephant being shot.  As an animal lover I found this scene disturbing.  The only minor complaint I have about the movie was with the actress who portrayed Elizabeth.  Although a talented actress, I feel that her look was too contemporary for the setting of the movie.  Her eyebrows were too thin and her bleached blonde hair too artificial for the time period.  In fact in one of the last scenes when she and Patrick Swayze's character were lying on the ground kissing, you can see her obvious very dark grown-out roots.  For a Hallmark movie which typically pays extraordinary attention to detail, I'm surprised this obvious point was overlooked.  All in all it's a good adventure movie and I recommend it.",4,"Flawed, But Worth a View",1096934400,"10 5, 2004",2004,773,"['entertaining', 'adventure', 'opening', 'scene', 'elephant', 'being', 'shot', 'animal', 'lover', 'found', 'scene', 'disturbing', 'only', 'minor', 'complaint', 'have', 'movie', 'was', 'actress', 'who', 'portrayed', 'Elizabeth', 'talented', 'actress', 'feel', 'look', 'was', 'too', 'contemporary', 'setting', 'movie', 'eyebrows', 'were', 'too', 'thin', 'bleached', 'blonde', 'hair', 'too', 'artificial', 'time', 'period', 'fact', 'one', 'last', 'scenes', 'when', 'Patrick', 'Swayze', 'character', 'were', 'lying', 'ground', 'kissing', 'can', 'see', 'obvious', 'very', 'dark', 'grown-out', 'roots', 'Hallmark', 'movie', 'typically', 'extraordinary', 'attention', 'detail', ""'m"", 'surprised', 'obvious', 'point', 'was', 'overlooked', 'good', 'adventure', 'movie', 'recommend']",N/A
837043,A19OQ7LWE2YJL3,B0002J58GU,"F.Faulkner ""F.F.""","[59, 62]","This movie was an unexpected pleasure and really fun to watch!Swayze does a great job as Quartermaine & Alison Doody is wonderful as the female lead. There are never annoying moments of disgusted ""They'd never do that"", or ridiculous temple-of-doom type comedy lines. The screenplay and plot were terrific, the adventure was compelling, and the entire movie was heartwarming. Villains were even well-wrought. Scenery was breathtaking.Well done, highly recommended, and perfect for family viewing on a Sunday afternoon or early Saturday evening.",5,Best movie adaptation!,1169942400,"01 28, 2007",2007,544,"['movie', 'was', 'unexpected', 'pleasure', 'really', 'fun', 'watch', 'Swayze', 'great', 'job', 'Quartermaine', 'Alison', 'Doody', 'wonderful', 'female', 'lead', 'are', 'never', 'annoying', 'moments', 'disgusted', ""'d"", 'never', 'do', 'ridiculous', 'temple-of-doom', 'type', 'comedy', 'lines', 'screenplay', 'plot', 'were', 'terrific', 'adventure', 'was', 'compelling', 'entire', 'movie', 'was', 'heartwarming', 'Villains', 'were', 'even', 'well-wrought', 'Scenery', 'was', 'breathtaking.Well', 'done', 'highly', 'recommended', 'perfect', 'family', 'viewing', 'Sunday', 'afternoon', 'early', 'Saturday', 'evening']",N/A
837044,A2L1S50GABL5SI,B0002J58GU,"Glenda Simshauser ""Peaches""","[0, 0]",It was a good Patrick Swayze movie to add to my collection and my husband even  enjoyed it since he had never seen it,4,Movie,1395619200,"03 24, 2014",2014,117,"['was', 'good', 'Patrick', 'Swayze', 'movie', 'add', 'collection', 'husband', 'even', 'enjoyed', 'had', 'never', 'seen']",N/A
