,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
842881,A2BZFPVJAQBBSR,B0002PYS5G,Adam C. Guthrie,"[0, 0]","In an age of reality shows, that 70's show holds it's own. A great set full of extras and retro menus and screens, a pure joy.",5,One of the best shows of modern time,1199232000,"01 2, 2008",2008,126,"['age', 'reality', 'shows', '70', 'show', 'own', 'great', 'set', 'full', 'extras', 'retro', 'menus', 'screens', 'pure', 'joy']",That '70s Show: Season 1
842882,A2PV6GK1HV54Y9,B0002PYS5G,ADRIENNE MILLER,"[0, 0]","That '70s Show - Season One is funny, offbeat, and oh so groovy. Energetic and talented cast especially Topher Grace, Laura Prepon, and Mila Kunis. Every episode from season one is a hoot, I love how the characters are not one dimensional. Wonderful price so buy this classic and much-missed show today!",5,Hello That '70s Show!,1204934400,"03 8, 2008",2008,303,"['Show', 'Season', 'One', 'funny', 'offbeat', 'oh', 'so', 'groovy', 'Energetic', 'talented', 'cast', 'especially', 'Topher', 'Grace', 'Laura', 'Prepon', 'Mila', 'Kunis', 'Every', 'episode', 'season', 'one', 'hoot', 'love', 'how', 'characters', 'are', 'not', 'one', 'dimensional', 'Wonderful', 'price', 'so', 'buy', 'classic', 'much-missed', 'show', 'today']",That '70s Show: Season 1
842883,A2GVM2T7J83D22,B0002PYS5G,Amazon Customer,"[2, 3]","This is probably the best show that has ever been on TV.  I don't know why it took them sooo long to put them on DVD... I just hope that they pop out the other seasons on DVD ASAP!!! and they should do things like add commentary options.  that's the only thing that could make this any better.  Get it and watch them all!  you'll laugh so hard, and if you want roll up some Oregano and you know what to do!!!",5,incredible... simply incredible,1099267200,"11 1, 2004",2004,408,"['probably', 'best', 'show', 'ever', 'been', 'TV', 'do', ""n't"", 'know', 'why', 'took', 'sooo', 'long', 'put', 'DVD', 'just', 'hope', 'pop', 'out', 'other', 'seasons', 'DVD', 'ASAP', 'should', 'do', 'things', 'add', 'commentary', 'options', 'only', 'thing', 'could', 'make', 'better', 'Get', 'watch', ""'ll"", 'laugh', 'so', 'hard', 'want', 'roll', 'up', 'Oregano', 'know', 'what', 'do']",That '70s Show: Season 1
842884,ABSX5TGEGRH76,B0002PYS5G,"Andrew ""Radaar""","[5, 5]","I can still remember seeing ads for this show 7 years ago, and I can't believe that this show has been on that long.  Don't get me wrong, this show is hilarious, probably one of my favorite comedy shows (although based on what's out there, there aren't too many truly great comedies).  It's just that I never thought that a period show such as this could ever become so popular.The show centers around Eric Forman (Topher Grace), a 17-year-old living in 1976 Point Place, Wicsonsin.  Eric, along with his friends Hyde (Danny Masterson) and Kelso (Ashton Kutcher), his best friend/girlfriend Donna (Laura Prepon), Kelso's on-again/off-again girlfriend Jackie (Mila Kunis), and a foreign exchange student nicknamed Fez (Wilmer Valderama) go around town in an Oldsmobile Vista Cruiser stopping at discos, hanging out at burger places, and going to see Star Wars.  Meanwhile, they try to avoid their quoirky parents.  Eric has Red (Kurtwood Smith) and Kitty (Debra Jo Rupp), two people who prove that there is truth behind the saying ""opposites attract"".  Red is short-tempered and conservative, while Kitty is a loving and passive woman.  And Donna has to deal with Bob (Don Stark) and Midge (Tanya Roberts).  Bob is an old-fashioned (read: somewhat mysogonistic) guy and Midge is a very dull (yet very attractive) girl who gets wrapped up in every fad just for the fun of it (she joins feminism groups to fit it, much to the chagrin of Donna, who truly believes in feminism and the Equal Rights Amendment).The gang gets involved in a bunch of crazy situations, such as the time they decide to go streaking at a Ford for President rally, when they decide to throw a keggar in an empty swimming pool, their trip to Jackie's remote ski lodge, or their outing to a WWF match.  About half of the humor comes from the setting (there is a lot to poke fun at in the 70's), while the other half comes from the characters themselves.  Whether it be Kelso's stupidity, Jackie's shallowness, Red's curtness, or Eric's cluelessness, there's a lot of fun to be had with this group.One of the cool things about this show was that a lot of big names from the 70's showed up to do guest spots.  This season, Danny Bonaduci shows up as Eric's boss in one episode, but as the seasons go on, we will be treated to Ted Nugent, Alice Cooper, and even Tommy Chong (who becomes a regular castmember).This show is particularly strong for its first season; while it would go on to have some really great episodes, I had forgotten just how funny these early episodes were.  One of my favorite episodes of the series is ""A New Hope"", which is about the gang going to see Star Wars.  And while the show would definitely go on to become better, it was by no means bad this year.As someone who's been a fan of the show since it came on, it was great to see the beginnings again, and to see how the show has changed.  While we get to see the origins of amazing running gags, such as the single camera panning around circular tables while characters were eating or ""relaxing"", we also get to see old gags that were discontinued at some point, such as the mock videos that parody educational and training tapes of the time.The one problem that I do have with this boxed set isn't even the fault of the show; it is the fault of the producers of the DVD set.  For some reason, FOX aired a a few episodes from the middle of the season later in the year, and the episodes are in order of air-date on this set, as opposed to the order of production/continuity.  While this show isn't very arc-heavy, and for the most part can be seen out of order, there is a continuity to it, and the episode order on Disc 4 is a little off.  The last three episodes of the season were ""A New Hope"", ""Hyde Moves In"", and ""The Good Son"".  However, a few middle-of-the-season episodes were placed in between those three episodes on Disc 4.  Strangely, this is one of the few DVD sets that arranges episodes by air-date rather than by continuity's order.  Even shows like Arrested Development and Firefly (both of which are also FOX DVDs), which were aired out of order, have their episodes arranged correctly (although episode order is much more important for those two shows).  But while I would have preferred the correct order, it doesn't take too much away from the overall set, since the show doesn't depend too much on the arcs (at least not yet anyway).As I said, this is a great show.  While it isn't as witty or clever as Arrested Development, it is far better than most of the comedy shows that appear on television.  If you've never seen the show before, you should consider checking it out.  Unlike certain shows, I could reccomend this as a ""blind buy"".  Enjoy.",5,Flashbacks Have Never Been This Much Fun,1114646400,"04 28, 2005",2005,4715,"['can', 'still', 'remember', 'seeing', 'ads', 'show', '7', 'years', 'ago', 'ca', ""n't"", 'believe', 'show', 'been', 'long', 'Do', ""n't"", 'get', 'wrong', 'show', 'hilarious', 'probably', 'one', 'favorite', 'comedy', 'shows', 'based', 'what', 'out', 'there', 'are', ""n't"", 'too', 'many', 'truly', 'great', 'comedies', 'just', 'never', 'thought', 'period', 'show', 'such', 'could', 'ever', 'become', 'so', 'popular.The', 'show', 'centers', 'Eric', 'Forman', 'Topher', 'Grace', '17-year-old', 'living', '1976', 'Point', 'Place', 'Wicsonsin', 'Eric', 'friends', 'Hyde', 'Danny', 'Masterson', 'Kelso', 'Ashton', 'Kutcher', 'best', 'friend/girlfriend', 'Donna', 'Laura', 'Prepon', 'Kelso', 'on-again/off-again', 'girlfriend', 'Jackie', 'Mila', 'Kunis', 'foreign', 'exchange', 'student', 'nicknamed', 'Fez', 'Wilmer', 'Valderama', 'go', 'around', 'town', 'Oldsmobile', 'Vista', 'Cruiser', 'stopping', 'discos', 'hanging', 'out', 'burger', 'places', 'going', 'see', 'Star', 'Wars', 'Meanwhile', 'try', 'avoid', 'quoirky', 'parents', 'Eric', 'Red', 'Kurtwood', 'Smith', 'Kitty', 'Debra', 'Jo', 'Rupp', 'two', 'people', 'who', 'prove', 'truth', 'saying', 'opposites', 'attract', 'Red', 'short-tempered', 'conservative', 'Kitty', 'loving', 'passive', 'woman', 'Donna', 'deal', 'Bob', 'Don', 'Stark', 'Midge', 'Tanya', 'Roberts', 'Bob', 'old-fashioned', 'read', 'somewhat', 'mysogonistic', 'guy', 'Midge', 'very', 'dull', 'yet', 'very', 'attractive', 'girl', 'who', 'wrapped', 'up', 'fad', 'just', 'fun', 'feminism', 'groups', 'fit', 'much', 'chagrin', 'Donna', 'who', 'truly', 'feminism', 'Equal', 'Rights', 'Amendment', '.The', 'gang', 'involved', 'bunch', 'crazy', 'situations', 'such', 'time', 'decide', 'go', 'streaking', 'Ford', 'President', 'rally', 'when', 'decide', 'throw', 'keggar', 'empty', 'swimming', 'pool', 'trip', 'Jackie', 'remote', 'ski', 'lodge', 'outing', 'WWF', 'match', 'half', 'humor', 'setting', 'lot', 'poke', 'fun', '70', 'other', 'half', 'characters', 'be', 'Kelso', 'stupidity', 'Jackie', 'shallowness', 'Red', 'curtness', 'Eric', 'cluelessness', 'lot', 'fun', 'be', 'had', 'group.One', 'cool', 'things', 'show', 'was', 'lot', 'big', 'names', '70', 'showed', 'do', 'guest', 'spots', 'season', 'Danny', 'Bonaduci', 'up', 'Eric', 'boss', 'one', 'episode', 'seasons', 'go', 'will', 'be', 'treated', 'Ted', 'Nugent', 'Alice', 'Cooper', 'even', 'Tommy', 'Chong', 'who', 'regular', 'castmember', '.This', 'show', 'particularly', 'strong', 'first', 'season', 'would', 'go', 'have', 'really', 'great', 'episodes', 'had', 'forgotten', 'just', 'how', 'funny', 'early', 'episodes', 'were', 'One', 'favorite', 'episodes', 'series', 'A', 'New', 'Hope', 'gang', 'going', 'see', 'Star', 'Wars', 'show', 'would', 'definitely', 'go', 'become', 'better', 'was', 'means', 'bad', 'year.As', 'someone', 'who', 'been', 'fan', 'show', 'came', 'was', 'great', 'see', 'beginnings', 'again', 'see', 'how', 'show', 'changed', 'get', 'see', 'origins', 'amazing', 'running', 'gags', 'such', 'single', 'camera', 'panning', 'circular', 'tables', 'characters', 'were', 'eating', 'relaxing', 'also', 'get', 'see', 'old', 'gags', 'were', 'discontinued', 'point', 'such', 'mock', 'videos', 'parody', 'educational', 'training', 'tapes', 'time.The', 'one', 'problem', 'do', 'have', 'boxed', 'set', ""n't"", 'even', 'fault', 'show', 'fault', 'producers', 'DVD', 'set', 'reason', 'FOX', 'aired', 'few', 'episodes', 'middle', 'season', 'later', 'year', 'episodes', 'are', 'order', 'air-date', 'set', 'opposed', 'order', 'production/continuity', 'show', ""n't"", 'very', 'arc-heavy', 'most', 'part', 'can', 'be', 'seen', 'order', 'continuity', 'episode', 'order', 'Disc', '4', 'little', 'off', 'last', 'three', 'episodes', 'season', 'were', 'A', 'New', 'Hope', 'Hyde', 'Good', 'Son', 'However', 'few', 'middle-of-the-season', 'episodes', 'were', 'placed', 'three', 'episodes', 'Disc', '4', 'Strangely', 'one', 'few', 'DVD', 'sets', 'episodes', 'air-date', 'rather', 'continuity', 'order', 'Even', 'Arrested', 'Development', 'Firefly', 'are', 'also', 'FOX', 'DVDs', 'were', 'aired', 'order', 'have', 'episodes', 'arranged', 'correctly', 'episode', 'order', 'much', 'more', 'important', 'two', 'shows', 'would', 'have', 'preferred', 'correct', 'order', ""n't"", 'take', 'too', 'much', 'away', 'overall', 'set', 'show', ""n't"", 'depend', 'too', 'much', 'arcs', 'least', 'not', 'yet', 'anyway', '.As', 'said', 'great', 'show', ""n't"", 'witty', 'clever', 'Arrested', 'Development', 'far', 'better', 'most', 'comedy', 'appear', 'television', ""'ve"", 'never', 'seen', 'show', 'should', 'consider', 'checking', 'out', 'certain', 'shows', 'could', 'reccomend', 'blind', 'buy', 'Enjoy']",That '70s Show: Season 1
842885,A186CE1JM5M392,B0002PYS5G,Anthony,"[6, 9]","It seems like after decades, T7S is finally on DVD! Great move Fox! This release is AMAZING! The packaging and menus are great! All 25 episodes from the first season are included as they were originally aired with a crisp look and great sound. A+ quality stuff you get here. This is the premiere season that kicks off the funniest show of all time and it's one of the funniest, if not THE funniest, seasons of the series.There's only three bonus materials but they're worth it. A good yet short quiz, a great promo-palooza, which is very worth the watch, and the featurette. Bloopers are the only thing missing on this DVD and maybe some more interviews. But the DVD is AWESOME! I got it on the 23rd and I've been watching NONSTOP!Not only is this a must-own for fans of the show but ANYONE will enjoy this show and love it to death. I don't know one person who doesn't like the show, from my 6-year-old cousin to my 50-year-old dad. It's perfect all around fun for all generations!Can't wait for the next seasons to be released!",5,Finally After Decades!,1098576000,"10 24, 2004",2004,1029,"['decades', 'T7S', 'finally', 'DVD', 'Great', 'move', 'Fox', 'release', 'AMAZING', 'packaging', 'menus', 'are', 'great', '25', 'episodes', 'first', 'season', 'are', 'included', 'were', 'originally', 'aired', 'crisp', 'look', 'great', 'sound', 'A+', 'quality', 'stuff', 'get', 'here', 'premiere', 'season', 'funniest', 'show', 'time', 'one', 'funniest', 'not', 'THE', 'funniest', 'seasons', 'series.There', 'only', 'three', 'bonus', 'materials', ""'re"", 'good', 'yet', 'short', 'quiz', 'great', 'promo-palooza', 'very', 'worth', 'watch', 'featurette', 'Bloopers', 'are', 'only', 'thing', 'missing', 'DVD', 'maybe', 'more', 'interviews', 'DVD', 'AWESOME', 'got', '23rd', ""'ve"", 'been', 'watching', 'NONSTOP', 'Not', 'only', 'must-own', 'fans', 'show', 'ANYONE', 'will', 'enjoy', 'show', 'love', 'death', 'do', ""n't"", 'know', 'one', 'person', 'who', ""n't"", 'like', 'show', '6-year-old', 'cousin', '50-year-old', 'dad', 'perfect', 'fun', 'generations', 'Ca', ""n't"", 'wait', 'next', 'seasons', 'be', 'released']",That '70s Show: Season 1
842886,A2ON685GQN173V,B0002PYS5G,Aries,"[0, 0]","I love this show I got it for my sister and the two of us became coach potatos and watched the entire first disc in one night. Will make you laugh. The only thing that kinda dissapointed me, which i knew before i bought it was the way the disc are packaged. i wouldnt have minded spending alittle extra money for them to add alittle more plastic for the disc to connect too. The outer caseing is fine like you would get with regular dvd you buy but the disc are in these little paper shleves.They could of done better!! But all in all i love the product and would recomend it if you like the show or just want a few laughs.!",4,Love this show,1336953600,"05 14, 2012",2012,624,"['love', 'show', 'got', 'sister', 'two', 'became', 'coach', 'potatos', 'watched', 'entire', 'first', 'disc', 'one', 'night', 'Will', 'make', 'only', 'thing', 'kinda', 'dissapointed', 'i', 'knew', 'i', 'bought', 'was', 'way', 'disc', 'are', 'packaged', 'i', 'wouldnt', 'have', 'minded', 'spending', 'alittle', 'extra', 'money', 'add', 'alittle', 'more', 'plastic', 'disc', 'connect', 'too', 'outer', 'caseing', 'fine', 'would', 'get', 'regular', 'dvd', 'buy', 'disc', 'are', 'little', 'paper', 'shleves.They', 'could', 'done', 'better', 'i', 'love', 'product', 'would', 'recomend', 'like', 'show', 'just', 'want', 'few', 'laughs']",That '70s Show: Season 1
842887,A2C4VJ158Y0JFB,B0002PYS5G,bd,"[0, 0]","That 70's Show, what else is there to say about a fantastic show that  stopped too soon. I wish they would have continued the show longer.",5,That 70's SHow,1373587200,"07 12, 2013",2013,138,"['70', 'Show', 'what', 'else', 'there', 'say', 'fantastic', 'show', 'stopped', 'too', 'soon', 'wish', 'would', 'have', 'continued', 'show', 'longer']",That '70s Show: Season 1
842888,A3RQ0VN4KUKH8G,B0002PYS5G,beatcall,"[0, 0]","I received the item fast and in great shape. This takes me back in time, and is the way it was, great.",5,The 70's,1326412800,"01 13, 2012",2012,102,"['received', 'item', 'fast', 'great', 'shape', 'back', 'time', 'way', 'was', 'great']",That '70s Show: Season 1
842889,A214WET2D31BQA,B0002PYS5G,Brent W. Patterson,"[4, 7]","15. 1-15 119 07-Feb-1999 That Wrestling Show was edited. During one of the begining scenes where Donna has Eric in a head lock and his face is buried in her chest, she goes ""Why arent you fighting back??"" Hyde goes ""Why should he fight back"", then its cut to hit shakling his head and goes to a shot of them sitting on the couch. Well in the original airing on tv Hyde says ""Why should he fight back, look where you have his head"". Then Donna stops and shoves Eric back off her onto the couch.I couldve sworn this scene was in the original airing. Sadly they cannot include unedited material. So for this I give this set four stars i wonder if anything else is edited.Brent",4,Great set but one episode was slightly edited :(,1098835200,"10 27, 2004",2004,673,"['15', '1-15', '119', '07-Feb-1999', 'Wrestling', 'Show', 'was', 'edited', 'one', 'begining', 'scenes', 'where', 'Donna', 'Eric', 'head', 'lock', 'face', 'buried', 'chest', 'Why', 'arent', 'fighting', 'back', 'Hyde', 'Why', 'should', 'fight', 'back', 'then', 'cut', 'hit', 'shakling', 'head', 'shot', 'sitting', 'couch', 'Well', 'original', 'airing', 'tv', 'Hyde', 'Why', 'should', 'fight', 'back', 'look', 'where', 'have', 'head', 'Then', 'Donna', 'stops', 'shoves', 'Eric', 'back', 'couch.I', 'couldve', 'sworn', 'scene', 'was', 'original', 'airing', 'Sadly', 'can', 'not', 'include', 'unedited', 'material', 'So', 'give', 'set', 'four', 'stars', 'i', 'wonder', 'anything', 'else', 'edited.Brent']",That '70s Show: Season 1
842890,A2OTX4X3895YXT,B0002PYS5G,BuyCurious,"[4, 4]","I think Season 1 was the best, with 2 and 3 coming in close.  They jumped the shark with the 100th episode that was a musical--paintful to watch.Anyway, mainly wanted to comment that the special features listed here at Amazon are nowhere to be found on the disks as far as I can tell--No Cheap Trick music video, no Never-before-seen cast auditions, and the itneractive trivia challenge is NOT interactive...they just ask about 5 questions and give you the answer right away.  I was particularly disappointed that there were no cast audition clips as described.",4,best season,1103932800,"12 25, 2004",2004,561,"['think', 'Season', '1', 'was', 'best', '2', '3', 'coming', 'close', 'jumped', 'shark', '100th', 'episode', 'was', 'musical', 'paintful', 'watch.Anyway', 'mainly', 'wanted', 'comment', 'special', 'features', 'listed', 'here', 'Amazon', 'are', 'nowhere', 'be', 'found', 'disks', 'as', 'far', 'can', 'tell', 'Cheap', 'Trick', 'music', 'video', 'Never-before-seen', 'cast', 'auditions', 'itneractive', 'trivia', 'challenge', 'NOT', 'interactive', 'just', 'ask', '5', 'questions', 'give', 'answer', 'right', 'away', 'was', 'particularly', 'disappointed', 'were', 'cast', 'audition', 'clips', 'described']",That '70s Show: Season 1
