,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
875097,A3MZ24N3A9WPVX,B0006VY6JO,Abbe Anderson,"[1, 1]","This is a powerful work out but most anyone can do it. Kundalini yoga is great at combining the physical with the mental, emotional and spiritual. So we are cleansing and purifying ourselves as warriors on all fronts. I feel energized all day after this one.",5,excellent for the gentle warrior in us all,1228176000,"12 2, 2008",2008,258,"['powerful', 'work', 'out', 'most', 'anyone', 'can', 'do', 'Kundalini', 'yoga', 'great', 'combining', 'physical', 'mental', 'emotional', 'spiritual', 'are', 'cleansing', 'purifying', 'warriors', 'fronts', 'feel', 'energized', 'day', 'one']",Warrior Workout: Kundalini Yoga
875098,A1TBC4BIC8QLM6,B0006VY6JO,A. Hogan,"[2, 2]","If you're looking for a workout that can kick your butt and leave you with that peaceful calm of a yoga session, look no further. But be warned, as others have stated, this is hard work. Warrior Workout was my 5th DVD from Ravi and Ana, and I loved them so much, and they were becoming such a big part of my workout routine, that I wanted to go for something a little harder, but man did I underestimate. This DVD starts off innocently enough, with a warmup that's something of an amped up version of the first half of Begginers and Beyond, before moving into some more strenuous stretches, transformed into a cardio workout.I have to admit, the first time I tried it, I didn't even make it through the whole workout. Poses I thought I had more or less mastered (ok maybe not mastered, but got the hang of) in Ultimate Stretch, were making me fall over. My legs were shaking, I was getting hungry, trying really hard not to curse Ana out, and I decided to get better control over my poses and try again. And I am so happy I did. This workout is tough, for reasons I can't even really explain, but it is so so worth it. So if you're looking for your first kundalini yoga DVD, even if you are good at other kinds of yoga, it is probably better to start somewhere else, like Ultimate Stretch or Beginners and Beyond.A must have, I think, but not a first-buy.",5,"Deeply Rewarding, requires practice",1380672000,"10 2, 2013",2013,1355,"[""'re"", 'looking', 'workout', 'can', 'kick', 'butt', 'leave', 'peaceful', 'calm', 'yoga', 'session', 'look', 'further', 'be', 'warned', 'others', 'have', 'stated', 'hard', 'work', 'Warrior', 'Workout', 'was', '5th', 'DVD', 'Ravi', 'Ana', 'loved', 'so', 'much', 'were', 'becoming', 'big', 'part', 'workout', 'routine', 'wanted', 'go', 'something', 'little', 'harder', 'man', 'did', 'underestimate', 'DVD', 'off', 'innocently', 'enough', 'warmup', 'something', 'amped', 'up', 'version', 'first', 'half', 'Begginers', 'Beyond', 'moving', 'more', 'strenuous', 'stretches', 'transformed', 'cardio', 'have', 'admit', 'first', 'time', 'tried', 'did', ""n't"", 'even', 'make', 'whole', 'workout', 'thought', 'had', 'more', 'less', 'mastered', 'ok', 'maybe', 'not', 'mastered', 'got', 'hang', 'Ultimate', 'Stretch', 'were', 'making', 'fall', 'legs', 'were', 'shaking', 'was', 'getting', 'hungry', 'trying', 'really', 'hard', 'not', 'curse', 'Ana', 'decided', 'get', 'better', 'control', 'poses', 'try', 'again', 'am', 'so', 'happy', 'did', 'workout', 'tough', 'reasons', 'ca', ""n't"", 'even', 'really', 'explain', 'so', 'so', 'worth', 'So', ""'re"", 'looking', 'first', 'kundalini', 'yoga', 'DVD', 'even', 'are', 'good', 'other', 'kinds', 'yoga', 'probably', 'better', 'start', 'somewhere', 'else', 'Ultimate', 'Stretch', 'Beginners', 'Beyond.A', 'must', 'have', 'think', 'not', 'first-buy']",Warrior Workout: Kundalini Yoga
875099,A2FJ7SICG806OZ,B0006VY6JO,"Ana Lewis ""coopweb""","[5, 5]","The first time I tried this DVD I thought it was pretty challenging.  After using the DVD for a few weeks, I love it! The cleansing techniques are helpful and the mediation at the end is one of my favorites on prosperity.",5,Cleansing,1228176000,"12 2, 2008",2008,221,"['first', 'time', 'tried', 'DVD', 'thought', 'was', 'pretty', 'challenging', 'using', 'DVD', 'few', 'weeks', 'love', 'cleansing', 'techniques', 'are', 'helpful', 'mediation', 'end', 'one', 'favorites', 'prosperity']",Warrior Workout: Kundalini Yoga
875100,A3MRVUGU43G3K5,B0006VY6JO,Annie,"[12, 13]","For anyone looking to add to their collection of Ana and Ravi DVDs, this is an awesome, exhilarating workout.There are a few 'traditional' yoga poses here, including a great down dog - chaturanga - up dog sequence, but no warrior poses.Be prepared to do the breath of fire many times, and expect to sweat! There are also fewer meditations between poses, making it 'more aerobic than aerobics' (as Ravi Singh would say).I did this DVD for the first time last night and can't wait to do it again. I've been bursting with energy all day today.",5,Add this to your Ana and Ravi collection!,1175212800,"03 30, 2007",2007,540,"['anyone', 'looking', 'add', 'collection', 'Ana', 'Ravi', 'DVDs', 'awesome', 'exhilarating', 'are', 'few', ""'traditional"", 'yoga', 'poses', 'here', 'including', 'great', 'down', 'dog', 'chaturanga', 'up', 'dog', 'sequence', 'warrior', 'poses.Be', 'prepared', 'do', 'breath', 'fire', 'many', 'times', 'expect', 'sweat', 'are', 'also', 'fewer', 'meditations', 'poses', 'making', ""'more"", 'aerobic', 'aerobics', 'Ravi', 'Singh', 'would', 'say', '.I', 'did', 'DVD', 'first', 'time', 'last', 'night', 'ca', ""n't"", 'wait', 'do', 'again', ""'ve"", 'been', 'bursting', 'energy', 'day', 'today']",Warrior Workout: Kundalini Yoga
875101,A32LSGIQ37AVY6,B0006VY6JO,"BookishMatters ""epoch_everlasting""","[39, 40]","I'm very, very new to yoga (I've only been practicing two or three times a week for about two weeks). On top of that, I'm not one of those people who's just blessed with good flexibility. In fact, I'm very inflexible. I've been doing the Ultimate Stretch DVD for about a week and could more or less do all the poses. I couldn't go as far into the stretch as Ana, but I could do it, so I figured I'd try a different DVD. The Warrior Workout is very good and definitely gets your heart going. I felt like I got an awesome workout with this DVD. The only reason I knocked a star off of the rating is because this DVD is NOT for beginners. On just about every pose, I had to make a modification or stop earlier than Ana. I still loved the workout and while I'm going to put this DVD on hold for now, I'm really looking forward to the day I can do the entire DVD. So I recommend this DVD to anyone looking for a challenge and who is more in the intermediate range of yoga but if your a beginner, try the DVDs Ultimate Stretch or Kundalini Yoga for Beginners and Beyond. Those two DVDs are more geared towards yogis of every skill level.",4,Newbie to yoga,1154217600,"07 30, 2006",2006,1131,"[""'m"", 'very', 'very', 'new', 'yoga', ""'ve"", 'only', 'been', 'practicing', 'two', 'three', 'times', 'week', 'about', 'two', 'weeks', 'top', ""'m"", 'not', 'one', 'people', 'who', 'just', 'blessed', 'good', 'flexibility', 'fact', ""'m"", 'very', 'inflexible', ""'ve"", 'been', 'doing', 'Ultimate', 'Stretch', 'DVD', 'about', 'week', 'could', 'more', 'less', 'do', 'poses', 'could', ""n't"", 'go', 'far', 'stretch', 'Ana', 'could', 'do', 'so', 'figured', ""'d"", 'try', 'different', 'DVD', 'Warrior', 'Workout', 'very', 'good', 'definitely', 'heart', 'going', 'felt', 'got', 'awesome', 'workout', 'DVD', 'only', 'reason', 'knocked', 'star', 'rating', 'DVD', 'NOT', 'beginners', 'just', 'pose', 'had', 'make', 'modification', 'stop', 'earlier', 'Ana', 'still', 'loved', 'workout', ""'m"", 'going', 'put', 'DVD', 'hold', 'now', ""'m"", 'really', 'looking', 'forward', 'day', 'can', 'do', 'entire', 'DVD', 'So', 'recommend', 'DVD', 'anyone', 'looking', 'challenge', 'who', 'more', 'intermediate', 'range', 'yoga', 'beginner', 'try', 'DVDs', 'Ultimate', 'Stretch', 'Kundalini', 'Yoga', 'Beginners', 'Beyond', 'two', 'DVDs', 'are', 'more', 'geared', 'towards', 'yogis', 'skill', 'level']",Warrior Workout: Kundalini Yoga
875102,A2KTFTRTY0ONWF,B0006VY6JO,CarlaVeg,"[134, 144]","I don't really know how to start this review. I'm a terrible writer but I MUST review this DVD. This workout/meditation is just perfect and beautiful!!! I've been doing yoga for years and have many many DVD's. This is definitely in the top of my list. Kundalini is new to me, and after trying Ana and Ravi's DVD's I'm totally hooked!!! I'm addicted to this kind of yoga... all I think about is coming home to this DVD.I have two other Fat free yoga DVD's, the Journey through chakras, the one for weight loss and this Warrior DVD. They are all great, but this is definitely my favorite. I love the workout and I love the meditation. The music is great and the meditation/chanting for prosperity at the end of the DVD is just AMAZING!!!!! I haven't felt as connected and great with any other yoga workouts in my entire life. This DVD brings out my true self. It makes me a better person, it makes me happier!!! After I finished this DVD I just wanted to cry of happiness.... this is truly a complete workout for the body, mind a soul. Don't look any further!!!!!! This DVD is just fabulous!!!",5,I can't say enough about this DVD,1149379200,"06 4, 2006",2006,1091,"['do', ""n't"", 'really', 'know', 'how', 'start', 'review', ""'m"", 'terrible', 'writer', 'MUST', 'review', 'DVD', 'workout/meditation', 'just', 'perfect', 'beautiful', ""'ve"", 'been', 'doing', 'yoga', 'years', 'have', 'many', 'many', 'DVD', 'definitely', 'top', 'list', 'Kundalini', 'new', 'trying', 'Ana', 'Ravi', 'DVD', ""'m"", 'totally', 'hooked', ""'m"", 'addicted', 'kind', 'yoga', 'think', 'coming', 'home', 'DVD.I', 'have', 'two', 'other', 'Fat', 'free', 'yoga', 'DVD', 'Journey', 'chakras', 'one', 'weight', 'loss', 'Warrior', 'DVD', 'are', 'great', 'definitely', 'favorite', 'love', 'workout', 'love', 'meditation', 'music', 'great', 'meditation/chanting', 'prosperity', 'end', 'DVD', 'just', 'AMAZING', 'have', ""n't"", 'felt', 'connected', 'great', 'other', 'yoga', 'workouts', 'entire', 'life', 'DVD', 'out', 'true', 'self', 'better', 'person', 'happier', 'finished', 'DVD', 'just', 'wanted', 'cry', 'happiness', 'truly', 'complete', 'workout', 'body', 'mind', 'soul', 'Do', ""n't"", 'look', 'further', 'DVD', 'just', 'fabulous']",Warrior Workout: Kundalini Yoga
875103,A5BK61FUB2D24,B0006VY6JO,CBInteresting,"[1, 11]","Ugh - the reviews were pretty good for this video so I thought I would give it a try. I started Yoga about 6 months ago and have been looking for more advanced stuff. This might be great for some people, but for me, it was a total waste of time and really, really weird. My husband came down and asked WHAT I was doing. Plus, I barely started to sweat and this workout is LONG. A waste of my money.",2,"Very weird, uncomfortable, NOT a workout",1250812800,"08 21, 2009",2009,398,"['Ugh', 'reviews', 'were', 'pretty', 'good', 'video', 'thought', 'would', 'give', 'try', 'started', 'Yoga', '6', 'months', 'ago', 'have', 'been', 'looking', 'more', 'advanced', 'stuff', 'might', 'be', 'great', 'people', 'was', 'total', 'waste', 'time', 'really', 'really', 'weird', 'husband', 'came', 'down', 'asked', 'WHAT', 'was', 'doing', 'barely', 'started', 'sweat', 'workout', 'LONG', 'A', 'waste', 'money']",Warrior Workout: Kundalini Yoga
875104,A3JCTEDZ00KFCJ,B0006VY6JO,Charmaine Fletcher,"[7, 7]","Never ever Done a workout that keeps your body moving and energy flowing all day long like this one! Really it is true this one fires up your engines and gets the motor running in turbo charge, you feel like speedy Gonzales after this one. A must do to start the day in a great way!!!!!",5,This DVD gives you bounce!!!!!!,1213142400,"06 11, 2008",2008,286,"['Never', 'ever', 'workout', 'body', 'moving', 'energy', 'flowing', 'day', 'long', 'one', 'Really', 'true', 'one', 'engines', 'motor', 'running', 'turbo', 'charge', 'feel', 'speedy', 'Gonzales', 'one', 'must', 'do', 'start', 'day', 'great', 'way']",Warrior Workout: Kundalini Yoga
875105,A33JPMX0F132JM,B0006VY6JO,"D. Johnston ""dmj""","[7, 7]","Again, I just can't stop raving about Ana & Ravi's workouts. I was a little nervous after previewing Warrior Workout before trying it. Yes, it is definetly challenging but so worth it in the end. I get a great full body workout as well as a mental workout. I absolutely love how they show you modifications as well as tell you not to overdue it. The meditation at the end is fantastic. After completing the workout I keep the meditation in my head all day and I find it keeps me calm.I own all but 2 of their workouts, but will be ordering them within the next week.I recommend giving this 1 a try and do as much as you can and work up to the level you are comfortable with. Each time I do it I am able to do more.",5,Challenging but so much fun,1227312000,"11 22, 2008",2008,714,"['Again', 'just', 'ca', ""n't"", 'stop', 'raving', 'Ana', 'Ravi', 'workouts', 'was', 'little', 'nervous', 'previewing', 'Warrior', 'Workout', 'trying', 'Yes', 'definetly', 'challenging', 'so', 'worth', 'end', 'get', 'great', 'full', 'body', 'workout', 'as', 'well', 'mental', 'workout', 'absolutely', 'love', 'how', 'show', 'modifications', 'as', 'well', 'tell', 'not', 'overdue', 'meditation', 'end', 'fantastic', 'completing', 'workout', 'keep', 'meditation', 'head', 'day', 'find', 'calm.I', 'own', '2', 'workouts', 'will', 'be', 'ordering', 'next', 'week.I', 'recommend', 'giving', '1', 'try', 'do', 'as', 'much', 'can', 'work', 'up', 'level', 'are', 'comfortable', 'time', 'do', 'am', 'able', 'do', 'more']",Warrior Workout: Kundalini Yoga
875106,A2RLCUHO93ZNVX,B0006VY6JO,Dwayne Forrest,"[5, 5]","I found this excellent DVD is great for circulation, de-toxing, and strengthening. It's great for reshaping your body, but it goes beyond that and reshapes your sensibility to help you draw on the inner determination and grit to do just about anything. I was very interested in the review below which says this is great for martial arts. I totally agree. I loved the Sarbang Danday Kriya (sp?), which is sort of a Kundalini Yoga version of the Sun Salute. Ana & Ravi explain that Sikh warriors did that 108x, 26x per for those who want something extra, and it delivers! P.S. if you're a beginner or intermediate yoga practitioner, don't let the word Warrior put you off. You'll definitely be able to do this workout. Just listen to your body and go at your own pace.",5,From the Warrior in Me to the Warrior in You!,1250121600,"08 13, 2009",2009,766,"['found', 'excellent', 'DVD', 'great', 'circulation', 'de-toxing', 'strengthening', 'great', 'reshaping', 'body', 'reshapes', 'sensibility', 'help', 'draw', 'inner', 'determination', 'grit', 'do', 'just', 'anything', 'was', 'very', 'interested', 'review', 'great', 'martial', 'arts', 'totally', 'agree', 'loved', 'Sarbang', 'Danday', 'Kriya', 'sp', 'sort', 'Kundalini', 'Yoga', 'version', 'Sun', 'Salute', 'Ana', 'Ravi', 'explain', 'Sikh', 'warriors', 'did', '108x', '26x', 'who', 'want', 'something', 'extra', 'P.S', ""'re"", 'beginner', 'intermediate', 'yoga', 'practitioner', 'do', ""n't"", 'let', 'word', 'Warrior', 'put', 'off', ""'ll"", 'definitely', 'be', 'able', 'do', 'workout', 'Just', 'listen', 'body', 'go', 'own', 'pace']",Warrior Workout: Kundalini Yoga
