,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
880956,A3UT41TWD7N0D5,B0007IO6PA,AbeStreet,"[8, 8]","I can honestly say that I have never seen another show or sitcom quite like this one.  Bob Newhart has that soft spoken and subtle humor, similar to other great comedians like Jack Benny.  He doesn't need to use slap stick to get you laughing.  Whoever had the idea of centering the show around a mild mannered psychologist, his patients, his friends and his family was a genius!  The ensemble cast was just great.  After a few shows you really begin to like Jerry the Dentist, Carol the Secretary, Howard the Neighbor, and of course Emily the Wife.  The chemistry between Emily (Suzanne Pleshette) and Bob (Bob Newhart) was so good it almost seemed as though they were married for real.  They argued, bickered and had misunderstandings just like normal couples do.  Still the affection and love they had for eachother always came through. I have to admit that as a kid I used to think that if plain old Bob could end up with an attractive and nice lady like Emily than there was hope for me.I should also mention how fun Bob's patients were.  I'm sure most psychologists don't have such loveable patients.  I'm sure most psychologists don't have their patients over to their home for Christmas either.  Still these were some of the nice things about the show.  Bob was just a nice guy.  If I ever need therapy I hope to get a shrink like Bob. Bob always seems to be on the job.  He's usually tyring to sort out the emotional troubles of friends, family, co-workers and patients in each show.There are no DVD extras but that's not a surprise considering how the first season release of THE MARY TYLER MOORE show turned out.  They pulled all the stops out for that release, interviews and commentaries.  The initial release price was over $40 and I guess not as many people purchased it as the studio thought would.  The elevated price turned off prospective purchasers.  So now, as with THE BOB NEWHART SHOW, the sudios release the DVD's with no extras but the price is under $30.  I hope that strategy does the trick because I can't wait for the remaining three seasons to be released.",5,A one of a kind show.,1117756800,"06 3, 2005",2005,2086,"['can', 'honestly', 'say', 'have', 'never', 'seen', 'show', 'sitcom', 'quite', 'one', 'Bob', 'Newhart', 'soft', 'spoken', 'subtle', 'humor', 'similar', 'other', 'great', 'comedians', 'Jack', 'Benny', ""n't"", 'need', 'use', 'slap', 'stick', 'get', 'laughing', 'had', 'idea', 'centering', 'show', 'mild', 'mannered', 'psychologist', 'patients', 'friends', 'family', 'was', 'genius', 'ensemble', 'cast', 'was', 'just', 'great', 'few', 'shows', 'really', 'begin', 'like', 'Jerry', 'Dentist', 'Carol', 'Secretary', 'Howard', 'Neighbor', 'course', 'Emily', 'Wife', 'chemistry', 'Emily', 'Suzanne', 'Pleshette', 'Bob', 'Bob', 'Newhart', 'was', 'so', 'good', 'almost', 'seemed', 'were', 'married', 'real', 'argued', 'bickered', 'had', 'misunderstandings', 'just', 'normal', 'couples', 'do', 'Still', 'affection', 'love', 'had', 'eachother', 'always', 'came', 'have', 'admit', 'kid', 'used', 'think', 'plain', 'old', 'Bob', 'could', 'end', 'up', 'attractive', 'nice', 'lady', 'Emily', 'was', 'hope', 'me.I', 'should', 'also', 'mention', 'how', 'fun', 'Bob', 'patients', 'were', ""'m"", 'sure', 'most', 'psychologists', 'do', ""n't"", 'have', 'such', 'loveable', 'patients', ""'m"", 'sure', 'most', 'psychologists', 'do', ""n't"", 'have', 'patients', 'home', 'Christmas', 'Still', 'were', 'nice', 'things', 'show', 'Bob', 'was', 'just', 'nice', 'guy', 'ever', 'need', 'therapy', 'hope', 'get', 'shrink', 'Bob', 'Bob', 'always', 'be', 'job', 'usually', 'tyring', 'sort', 'out', 'emotional', 'troubles', 'friends', 'family', 'co-workers', 'patients', 'are', 'DVD', 'extras', 'not', 'surprise', 'considering', 'how', 'first', 'season', 'release', 'THE', 'MARY', 'TYLER', 'MOORE', 'show', 'turned', 'out', 'pulled', 'stops', 'out', 'release', 'interviews', 'commentaries', 'initial', 'release', 'price', 'was', '40', 'guess', 'not', 'many', 'people', 'purchased', 'studio', 'thought', 'would', 'elevated', 'price', 'turned', 'off', 'prospective', 'purchasers', 'So', 'now', 'THE', 'BOB', 'NEWHART', 'SHOW', 'sudios', 'release', 'DVD', 'extras', 'price', '30', 'hope', 'strategy', 'trick', 'ca', ""n't"", 'wait', 'remaining', 'three', 'seasons', 'be', 'released']",The Bob Newhart Show: The Complete First Season
880957,A2QCOMI8FDKBN8,B0007IO6PA,Agostinelli,"[1, 1]","This was a great investment.  I am more entertained by these old shows than by 95% of what is on TV today.  The editing is a bit choppy, but I'm assuming that is due to the time it was filmed to begin with.  Great buy!",4,blast from the past!,1231286400,"01 7, 2009",2009,218,"['was', 'great', 'investment', 'am', 'more', 'entertained', 'old', 'shows', '95', '%', 'what', 'TV', 'today', 'editing', 'bit', 'choppy', ""'m"", 'assuming', 'due', 'time', 'was', 'filmed', 'begin', 'Great', 'buy']",The Bob Newhart Show: The Complete First Season
880958,A2K57GVR6Q0HR4,B0007IO6PA,A. Long,"[1, 1]","This series got off to an imperfect start. Bob Newhart deserved more-consistently funny characters around him. It's probably not fair to fault the perfectly-annoying character Kirk, the maid Leslie, or even Joanna. In the early going the writers struggled to come up with funny material for them. They did, at least, come through with funny stuff for Larry, Darryl and Darryl whenever they showed up. (Not very often, unfortunately, in season one.) And Tom Poston did his comedic best, as well.This set is worth owning if you're a fan of Bob Newhart, Tom Poston, or even Larry, Darryl and Darryl. Fans of ""Newhart"" will remember the early episodes and probably will enjoy, as I have, watching as it found its stride.",4,"""Newhart"" In The Beginning",1272412800,"04 28, 2010",2010,716,"['series', 'got', 'off', 'imperfect', 'start', 'Bob', 'Newhart', 'deserved', 'more-consistently', 'funny', 'characters', 'probably', 'not', 'fair', 'fault', 'perfectly-annoying', 'character', 'Kirk', 'maid', 'Leslie', 'even', 'Joanna', 'early', 'going', 'writers', 'struggled', 'come', 'up', 'funny', 'material', 'did', 'least', 'come', 'funny', 'stuff', 'Larry', 'Darryl', 'Darryl', 'whenever', 'showed', 'up', 'Not', 'very', 'often', 'unfortunately', 'season', 'one', 'Tom', 'Poston', 'did', 'comedic', 'best', 'well.This', 'set', 'worth', 'owning', ""'re"", 'fan', 'Bob', 'Newhart', 'Tom', 'Poston', 'even', 'Larry', 'Darryl', 'Darryl', 'Fans', 'Newhart', 'will', 'remember', 'early', 'episodes', 'probably', 'will', 'enjoy', 'have', 'watching', 'found', 'stride']",The Bob Newhart Show: The Complete First Season
880959,A1A4R6PU3QYVJ5,B0007IO6PA,"Amazon Customer ""Serious Reader""","[2, 2]","Bob Newhart was four years removed from his first CBS sitcom when he stepped into this one, which finds him playing a how-to book writer who decides to have a go at running a rustic Vermont inn.  He and his wife, Joanna (played by the gorgeous and talent Mary Frann), deal with the normal run of tourists and locals as they get adjusted to their new life.  That includes Tom Poston, a good friend of Newhart's who played the inn's caretaker, George Utley; Steven Kampmann, who wrote for another CBS sitcom, ""WKRP in Cincinnati"", as the pathological owner of the Minuteman Cafe, Kirk Devane; and Jennifer Holmes, who played student and skier Leslie Vanderkellen.  Along the way, a number of other stars make appearances, including Howard Dodson (Jack Sprague from ""Andy Griffith""), Rue McClanahan (Blanche Devereaux from ""The Golden Girls""), Daniel J. Travanti (Captain Frank Furillo from ""Hill Street Blues"") and Julia Duffy (who appears in one episode at Leslie's cousin, Stephanie, and plays the character much differently than how she defined the role in later seasons).The first season of ""Newhart"" was shot on live-look videotape, like many other sitcoms of the era (including ""The Cosby Show"" and ""Kate & Allie"").  Later seasons were shot on film and on videotape processed to look like film.  But that's part of the charm of the show, as is the fact that you can actually see the actors shaping and molding their characters in each episode.  They're not yet ""set"" into a predictable pattern.  They're growing as you watch.  The acting is very good, but I'm inclined to agree with other posters that it does get better as the seasons progress - especially as Stephanie and the brothers Larry, Darryl and Darryl (William Sanderson, Tony Papenfuss and John Volstad) - become integral characters.Regardless of whether 20th Century-Fox, the company that owns the MTM library, releases additional seasons, if you're a fan of the show or a fan of Bob Newhart, you really owe it to yourself to pick up the first season of ""Newhart"".",4,"The first season of ""Newhart"" is a gem...",1297987200,"02 18, 2011",2011,2031,"['Bob', 'Newhart', 'was', 'four', 'years', 'removed', 'first', 'CBS', 'sitcom', 'when', 'stepped', 'one', 'playing', 'how-to', 'book', 'writer', 'who', 'have', 'go', 'running', 'rustic', 'Vermont', 'inn', 'wife', 'Joanna', 'played', 'gorgeous', 'talent', 'Mary', 'Frann', 'deal', 'normal', 'run', 'tourists', 'locals', 'get', 'adjusted', 'new', 'life', 'Tom', 'Poston', 'good', 'friend', 'Newhart', 'who', 'played', 'inn', 'caretaker', 'George', 'Utley', 'Steven', 'Kampmann', 'who', 'wrote', 'CBS', 'sitcom', 'WKRP', 'Cincinnati', 'pathological', 'owner', 'Minuteman', 'Cafe', 'Kirk', 'Devane', 'Jennifer', 'Holmes', 'who', 'played', 'student', 'skier', 'Leslie', 'Vanderkellen', 'way', 'number', 'other', 'stars', 'make', 'appearances', 'including', 'Howard', 'Dodson', 'Jack', 'Sprague', 'Andy', 'Griffith', 'Rue', 'McClanahan', 'Blanche', 'Devereaux', 'Golden', 'Girls', 'Daniel', 'J.', 'Travanti', 'Captain', 'Frank', 'Furillo', 'Hill', 'Street', 'Blues', 'Julia', 'Duffy', 'who', 'one', 'episode', 'Leslie', 'cousin', 'Stephanie', 'character', 'much', 'differently', 'how', 'defined', 'role', 'later', 'seasons', '.The', 'first', 'season', 'Newhart', 'was', 'shot', 'live-look', 'videotape', 'many', 'other', 'sitcoms', 'era', 'including', 'Cosby', 'Show', 'Kate', 'Allie', 'Later', 'seasons', 'were', 'shot', 'film', 'videotape', 'processed', 'look', 'film', 'part', 'charm', 'show', 'fact', 'can', 'actually', 'see', 'actors', 'shaping', 'molding', 'characters', 'episode', ""'re"", 'not', 'yet', 'set', 'predictable', 'pattern', ""'re"", 'growing', 'watch', 'acting', 'very', 'good', ""'m"", 'inclined', 'agree', 'other', 'posters', 'get', 'better', 'seasons', 'progress', 'especially', 'Stephanie', 'brothers', 'Larry', 'Darryl', 'Darryl', 'William', 'Sanderson', 'Tony', 'Papenfuss', 'John', 'Volstad', 'become', 'integral', 'characters.Regardless', '20th', 'Century-Fox', 'company', 'MTM', 'library', 'additional', 'seasons', ""'re"", 'fan', 'show', 'fan', 'Bob', 'Newhart', 'really', 'owe', 'pick', 'up', 'first', 'season', 'Newhart']",The Bob Newhart Show: The Complete First Season
880960,A1RQCHEUH50KQU,B0007IO6PA,Andrew Griffin,"[2, 2]",One of my favourite TV shows.  Ever.  The only surprise was Kirk--I don't remember him coming across as such a jerk so often.  No wonder they swapped him out for the Daryls later on.  Waiting on Season 2...,4,One of my favourite TV shows...,1265155200,"02 3, 2010",2010,206,"['One', 'favourite', 'TV', 'shows', 'Ever', 'only', 'surprise', 'was', 'Kirk', 'do', ""n't"", 'remember', 'coming', 'such', 'jerk', 'so', 'often', 'wonder', 'swapped', 'out', 'Daryls', 'later', 'Waiting', 'Season', '2']",The Bob Newhart Show: The Complete First Season
880961,AHN9ZE23OQK9I,B0007IO6PA,"Andy De Vore ""Andy""","[17, 21]","My guess is they will release one or two seasons of this great show, realize that 'not enough' people are buying it, and stop making them. They did that w/Simon and Simon and the Bob Newhart Show. They released 4 friggin seasons of Bob Newhart, then just stopped. Simon and Simon was unluckier as they only received their premire season before being called off. These stupid DVD companies have no idea how in demand these shows are. Please do not buy this DVD. Barrage the studio with letters, e-mail, whatever. And let them know they are not going to get anymore of our money. They aren't gonna screw us anymore. No more of this crap of releasing one or two seasons of a series and then bailing out on the rest. It costs the studio maybe...maybe $[...] to make a DVD of a season of a TV show. And how much is it sold for? Exactly. This excuse of ""Oh, they sales aren't good enough."" What?? That's pure BS. You sell one friggin DVD and you have made a profit. Al you're doing is screwing the fans of these shows. But you aren't gonna do it anymore. Not to me. Only when you create box sets, or once the entire series has been released will you get anymore of my money. And if we all do this, the studios will listen. Try it now. DO NOT BUY NEWHART UNTIL ALL THE SEASONS ARE RELEASED!!!! They pulled out of the original Bob Newhart Show after 4 season. Four seasons!!!  Two more and the series would have been finished. Where in the hell is the sense in this? 2 more f-ing seasons?!?! Unreal. Until we stand up to these a-hole studio suits, then they will continue to bend us over and have their way with us. Drop Fox an e-mail. Inundate them. Let them know we are no longer spending our money on their products until changes are made.Their address is foxdrop@4icc.com.",5,One season and out,1195776000,"11 23, 2007",2007,1768,"['guess', 'will', 'release', 'one', 'two', 'seasons', 'great', 'show', 'realize', ""'not"", 'enough', 'people', 'are', 'buying', 'stop', 'making', 'did', 'w/Simon', 'Simon', 'Bob', 'Newhart', 'Show', 'released', '4', 'friggin', 'seasons', 'Bob', 'Newhart', 'then', 'just', 'stopped', 'Simon', 'Simon', 'was', 'unluckier', 'only', 'received', 'premire', 'season', 'being', 'called', 'off', 'stupid', 'DVD', 'companies', 'have', 'idea', 'how', 'demand', 'shows', 'are', 'Please', 'do', 'not', 'buy', 'DVD', 'Barrage', 'studio', 'letters', 'e-mail', 'let', 'know', 'are', 'not', 'going', 'get', 'anymore', 'money', 'are', ""n't"", 'gon', 'screw', 'anymore', 'more', 'crap', 'releasing', 'one', 'two', 'seasons', 'series', 'then', 'bailing', 'out', 'rest', 'studio', 'maybe', 'maybe', '[', 'make', 'DVD', 'season', 'TV', 'show', 'how', 'much', 'sold', 'Exactly', 'excuse', 'Oh', 'sales', 'are', ""n't"", 'good', 'enough', 'What', 'pure', 'BS', 'sell', 'one', 'friggin', 'DVD', 'have', 'made', 'profit', 'Al', ""'re"", 'doing', 'screwing', 'fans', 'shows', 'are', ""n't"", 'gon', 'do', 'anymore', 'Not', 'Only', 'when', 'create', 'box', 'sets', 'once', 'entire', 'series', 'been', 'released', 'will', 'get', 'anymore', 'money', 'do', 'studios', 'will', 'listen', 'Try', 'now', 'DO', 'NOT', 'BUY', 'NEWHART', 'UNTIL', 'ALL', 'THE', 'SEASONS', 'ARE', 'RELEASED', 'pulled', 'out', 'original', 'Bob', 'Newhart', 'Show', '4', 'season', 'Four', 'seasons', 'Two', 'more', 'series', 'would', 'have', 'been', 'finished', 'Where', 'hell', 'sense', '2', 'more', 'f-ing', 'seasons', 'Unreal', 'stand', 'up', 'a-hole', 'studio', 'suits', 'then', 'will', 'continue', 'bend', 'have', 'way', 'Drop', 'Fox', 'e-mail', 'Inundate', 'Let', 'know', 'are', 'no', 'longer', 'spending', 'money', 'products', 'changes', 'are', 'made.Their', 'address', 'foxdrop', '@', '4icc.com']",The Bob Newhart Show: The Complete First Season
880962,A3H3ZALLQP2W6B,B0007IO6PA,Ann Bonetti,"[0, 4]",MY PERSONAL REVIEW IS IT IS A SILLY COMMEDY...BUT SO MANY R JUST THAT NOW DAYS AND SOME MAY LIKE THIS KIND OF. COMMEDY (LIKE MY HUSBAND)...MY HUSBAND THINKS BOB NEWHEARTS DRY COMMEDY RULES...THATS WAY I PUT IT ON MY KINDLE...TO EACH HIS OWN...ANN BONETTI,3,just okay,1374796800,"07 26, 2013",2013,254,"['MY', 'PERSONAL', 'REVIEW', 'IS', 'IT', 'A', 'SILLY', 'COMMEDY', 'BUT', 'SO', 'MANY', 'R', 'JUST', 'THAT', 'NOW', 'DAYS', 'AND', 'SOME', 'MAY', 'LIKE', 'THIS', 'KIND', 'OF', 'COMMEDY', 'LIKE', 'MY', 'HUSBAND', 'HUSBAND', 'THINKS', 'BOB', 'NEWHEARTS', 'DRY', 'COMMEDY', 'RULES', 'THATS', 'WAY', 'PUT', 'IT', 'ON', 'MY', 'KINDLE', 'TO', 'EACH', 'HIS', 'OWN', 'ANN', 'BONETTI']",The Bob Newhart Show: The Complete First Season
880963,A2AIK3TLDPYSI2,B0007IO6PA,A. Oberkrieser,"[2, 2]","Oh my god!  This show should have been put on DVD years ago.  Bob Newhart is one of the greatest comedians of all time, and he has had the uncanny ability to reinvent himself in multiple series.  I loved Newhart when it was still in reruns, and I've never understood why shows like this don't stay on TV in rerun longer.  Tom Poston (now deceased) was great, Bob is SO DRY, and if you watch carefully, he gets a little pleased look on his face when he makes a good joke.  There are a few really good jokes.  Sorry to say I don't like Kirk, but otherwise a great show.  When can I get season 2?",5,It's been too long a wait!,1221696000,"09 18, 2008",2008,593,"['Oh', 'god', 'show', 'should', 'have', 'been', 'put', 'DVD', 'years', 'ago', 'Bob', 'Newhart', 'one', 'greatest', 'comedians', 'time', 'had', 'uncanny', 'ability', 'reinvent', 'multiple', 'series', 'loved', 'Newhart', 'when', 'was', 'still', 'reruns', ""'ve"", 'never', 'understood', 'why', 'shows', 'do', ""n't"", 'stay', 'TV', 'rerun', 'longer', 'Tom', 'Poston', 'now', 'deceased', 'was', 'great', 'Bob', 'SO', 'DRY', 'watch', 'carefully', 'little', 'pleased', 'look', 'face', 'when', 'good', 'joke', 'are', 'few', 'really', 'good', 'jokes', 'Sorry', 'say', 'do', ""n't"", 'like', 'Kirk', 'otherwise', 'great', 'show', 'When', 'can', 'get', 'season', '2']",The Bob Newhart Show: The Complete First Season
880964,A34T3A9GIXCSLD,B0007IO6PA,A. Sprank,"[0, 0]","Bob Newhart is truly an American original--distinctive low-key humor that sets him apart.  All of his series are marked by TALENT rather than obsenity or put-downs to others, as all too many flash-in-the-pan comedians rely on.  This is my favorite of his series, very low-key, and often too real (I grew up in a small town, and can relate to some of the ecentric characters/guests that ran throughout the show).  I was delighted to find the first in the series for sale, and there are many interesting things about it.  The first season has a cozy, intimate setting rather than the impersonal studio-audience &#34;laugh-tracks&#34; feel.  It had been awhile since I've seen the series since, sadly, Bob ANYTHING seems to be lacking from TV these days.  So, it reintruced me to how Dick & Joanna came to buy the inn, the meeting of original characters, and some great storylines.  Great television!",5,Hey-where's the rest of the series?!,1388188800,"12 28, 2013",2013,897,"['Bob', 'Newhart', 'truly', 'American', 'original', 'distinctive', 'low-key', 'humor', 'apart', 'series', 'are', 'marked', 'TALENT', 'rather', 'obsenity', 'put-downs', 'others', 'too', 'many', 'flash-in-the-pan', 'comedians', 'rely', 'favorite', 'series', 'very', 'low-key', 'often', 'too', 'real', 'grew', 'up', 'small', 'town', 'can', 'relate', 'ecentric', 'characters/guests', 'ran', 'show', 'was', 'delighted', 'find', 'first', 'series', 'sale', 'are', 'many', 'interesting', 'things', 'first', 'season', 'cozy', 'intimate', 'setting', 'rather', 'impersonal', 'studio-audience', '34', 'laugh-tracks', '34', 'feel', 'had', 'been', 'awhile', ""'ve"", 'seen', 'series', 'sadly', 'Bob', 'ANYTHING', 'be', 'lacking', 'TV', 'days', 'So', 'reintruced', 'how', 'Dick', 'Joanna', 'came', 'buy', 'inn', 'meeting', 'original', 'characters', 'great', 'storylines', 'Great', 'television']",The Bob Newhart Show: The Complete First Season
880965,AMQQMZE9M1IZN,B0007IO6PA,atticmom,"[0, 0]",Love this series and it is the BEST.  We can watch it as a family and the grand kids watch it over and over. Hope to get the entire show series real soon.,5,GReat Great Great,1389484800,"01 12, 2014",2014,154,"['Love', 'series', 'BEST', 'can', 'watch', 'family', 'grand', 'kids', 'watch', 'Hope', 'get', 'entire', 'show', 'series', 'real', 'soon']",The Bob Newhart Show: The Complete First Season
