,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
900073,A3KQM3KEDFITWI,B00092ZL80,"A. Garcia Mendoza ""Big Al""","[0, 0]","I have this concert video on regular dvd and when I saw it at Amazon for a low price for the blu-ray version I just had to give it a try.  The quality of the video on blu-ray is so much better than regular dvd that it's worth buying it.  This is a two disc regular dvd set, but on blu-ray since it holds more information, it's all on a single disc.  If you like Earth, Wind & Fire and Chicago this was a great concert, BUY IT.",5,Rocking video,1234656000,"02 15, 2009",2009,426,"['have', 'concert', 'video', 'regular', 'dvd', 'when', 'saw', 'Amazon', 'low', 'price', 'blu-ray', 'version', 'just', 'had', 'give', 'try', 'quality', 'video', 'blu-ray', 'so', 'much', 'better', 'regular', 'dvd', 'worth', 'buying', 'two', 'disc', 'regular', 'dvd', 'set', 'blu-ray', 'more', 'information', 'single', 'disc', 'like', 'Earth', 'Wind', 'Fire', 'Chicago', 'was', 'great', 'concert', 'BUY', 'IT']",N/A
900074,A35A50LZKY0Q3F,B00092ZL80,Alan Perry,"[0, 0]",This is another Chicago concert to get  for the collection plus you get all the hits of earth wind and fire and Chicago sound is fantastic and picture is excellent,5,Chicago rocks,1365120000,"04 5, 2013",2013,163,"['Chicago', 'concert', 'get', 'collection', 'get', 'hits', 'earth', 'wind', 'fire', 'Chicago', 'sound', 'fantastic', 'picture', 'excellent']",N/A
900075,A2JSHJ8LO7H6UG,B00092ZL80,Andrew Tyler,"[0, 0]",State of the art picture quality combined with top notch performance's from Chicago and Earth Wind &Fire.With this HD-DVD you get the feeling of beeing there Live .Music Videos rarely Look as good as this.,5,Get the live feeling,1179014400,"05 13, 2007",2007,205,"['State', 'art', 'picture', 'quality', 'combined', 'top', 'notch', 'performance', 'Chicago', 'Earth', 'Wind', 'Fire.With', 'HD-DVD', 'get', 'feeling', 'beeing', 'Live', '.Music', 'Videos', 'rarely', 'Look', 'as', 'good']",N/A
900076,A26MI2FJFBZ8UF,B00092ZL80,April Mae,"[1, 1]","I really enjoy the performance shown on this disc. If you are into Chicago, go for it! (Earth Wind and Fire too)",4,Entertaining,1379548800,"09 19, 2013",2013,112,"['really', 'enjoy', 'performance', 'shown', 'disc', 'are', 'Chicago', 'go', 'Earth', 'Wind', 'Fire', 'too']",N/A
900077,A22TVCW7PDCVYE,B00092ZL80,atomicdogz,"[0, 0]",Excellent concert with two of the best bands in their field of music.They compliment each other very well and funk the place up.,5,excellent,1338768000,"06 4, 2012",2012,128,"['Excellent', 'concert', 'two', 'best', 'bands', 'field', 'music.They', 'compliment', 'other', 'very', 'well', 'funk', 'place', 'up']",N/A
900078,AATD008OTFXT1,B00092ZL80,Bill Fleck,"[3, 3]","By now, fans of each band know how successful their two-season tour has been.  Since it's unlikely that CHI and EW&F; will hit the road together in 2006, this DVD is a great item to own.The performance captured here is terrific.  Both bands perform with energy and style (unlike some of the subsequent 2005 shows, where lighting, sound, and a shortened set list plagued Chicago).  As others have noted, the highlights happen when the bands perform together; particularly great is the brass performance on Chicago's ""Free""--a tour deforce for EW&F; saxman Gary Bias and the rest of the horns.  Also really cool are Phillip Bailey's soaring high notes, Bill Champlin's rendition of ""After the Love Is Gone,"" Russian guitarist Vadim Zibershtein's solo on ""25 or 6 to 4,"" and the combined joy evident in this rendition of ""September Song.""Individual sets rock, too.  EW&F; simple defy age and gravity, and the relatively new horn section (Reggie Young, Bias, and Bob Burns) rips.  The Chicago set captured here is almost as high-energy, and the famous Chicago horns (Jimmy Pankow, Lee Loughnane, Walt Parazaider) play tweaked arrangements perfectly and with style.  My only compaint is that I feel Chicago does too many of their ballad hits to 'compete' with EW&F;, but I'm sure I'm in the minority; most fans would probably select exactly the same songs the band performs here.In short, it's great to see those two powerhouse bands at the top of their game, pushing each other and obviously enjoying it.  As Robert Lamm says, ""Music is unity.""  This is a DVD well worth owning.",5,The Dream Team,1133913600,"12 7, 2005",2005,1574,"['now', 'fans', 'band', 'know', 'how', 'successful', 'two-season', 'tour', 'been', 'unlikely', 'CHI', 'EW', 'F', 'will', 'hit', 'road', 'together', '2006', 'DVD', 'great', 'item', 'own.The', 'performance', 'captured', 'here', 'terrific', 'bands', 'perform', 'energy', 'style', 'subsequent', '2005', 'shows', 'where', 'lighting', 'sound', 'shortened', 'set', 'list', 'plagued', 'Chicago', 'others', 'have', 'noted', 'highlights', 'happen', 'when', 'bands', 'perform', 'together', 'particularly', 'great', 'brass', 'performance', 'Chicago', 'Free', 'tour', 'deforce', 'EW', 'F', 'saxman', 'Gary', 'Bias', 'rest', 'horns', 'Also', 'really', 'cool', 'are', 'Phillip', 'Bailey', 'soaring', 'high', 'notes', 'Bill', 'Champlin', 'rendition', 'Love', 'Is', 'Gone', 'Russian', 'guitarist', 'Vadim', 'Zibershtein', 'solo', '25', '6', '4', 'combined', 'joy', 'evident', 'rendition', 'September', 'Song', 'Individual', 'sets', 'rock', 'too', 'EW', 'F', 'simple', 'defy', 'age', 'gravity', 'relatively', 'new', 'horn', 'section', 'Reggie', 'Young', 'Bias', 'Bob', 'Burns', 'Chicago', 'set', 'captured', 'here', 'almost', 'high-energy', 'famous', 'Chicago', 'horns', 'Jimmy', 'Pankow', 'Lee', 'Loughnane', 'Walt', 'Parazaider', 'play', 'tweaked', 'arrangements', 'perfectly', 'style', 'only', 'compaint', 'feel', 'Chicago', 'too', 'many', 'ballad', 'hits', ""'compete"", 'EW', 'F', ""'m"", 'sure', ""'m"", 'minority', 'most', 'fans', 'would', 'probably', 'select', 'exactly', 'same', 'band', 'here.In', 'short', 'great', 'see', 'two', 'powerhouse', 'bands', 'top', 'game', 'pushing', 'other', 'obviously', 'enjoying', 'Robert', 'Lamm', 'Music', 'unity', 'DVD', 'well', 'owning']",N/A
900079,A8NWLXTH7ZHJY,B00092ZL80,Bill Haleck,"[0, 0]",I highly recommend this DVD concert featuring the two best groups in music. This is a must have for Chicago and Earth Wind and Fire fans like me. The music is tight and solid and the concert was absolutely amazing to watch. having these two groups on stage at once featuring their hits which they both shared signing one anothers song was also pretty awesome. A must have DVD concert.,5,Wow - The Best Groupd Together on One Stage,1395100800,"03 18, 2014",2014,384,"['highly', 'recommend', 'DVD', 'concert', 'featuring', 'two', 'best', 'groups', 'music', 'must', 'have', 'Chicago', 'Earth', 'Wind', 'Fire', 'fans', 'music', 'tight', 'solid', 'concert', 'was', 'absolutely', 'amazing', 'watch', 'having', 'two', 'groups', 'stage', 'once', 'featuring', 'hits', 'shared', 'signing', 'one', 'anothers', 'song', 'was', 'also', 'pretty', 'awesome', 'must', 'have', 'DVD', 'concert']",N/A
900080,A14KKBXV1L0AB9,B00092ZL80,"BLUZMAN ""bluzman333""","[6, 27]","I'LL BE QUITE FRANK ! I'M NOT A HUGE EWF FAN BUT I GREW UP ON CHICAGO TRANSIT AUTHORITY, THE EARLY MUSIC.THAT SAID, WHO IS THIS COVER BAND CALLED ""CHICAGO"" ? I TRIED TO WATCH THE CHICAGO PORTION OUT OF RESPECT FOR THEIR NAME, BUT I FELT LIKE THIS WAS NOT REALITY. WELL, THIS IS REALITY AND IF YOU WANT ""CHICAGO"" THIS IS WHATS LEFT. SAD BUT TRUE. I'LL BE TAKING THIS BACK AND TRADING IT IN TOMORROW. THE ONLY REASON I GAVE THIS 2 STARS IS FOR THE EFFORT AND ENERGY OF THE MUSICIANS..........",2,I MUST BE MISSING SOMETHING..............,1119484800,"06 23, 2005",2005,490,"[""'LL"", 'BE', 'QUITE', 'FRANK', ""'M"", 'NOT', 'A', 'HUGE', 'EWF', 'FAN', 'BUT', 'GREW', 'UP', 'ON', 'CHICAGO', 'TRANSIT', 'AUTHORITY', 'THE', 'EARLY', 'MUSIC.THAT', 'SAID', 'WHO', 'THIS', 'COVER', 'BAND', 'CALLED', 'CHICAGO', 'TRIED', 'TO', 'WATCH', 'THE', 'CHICAGO', 'PORTION', 'OUT', 'OF', 'RESPECT', 'FOR', 'THEIR', 'NAME', 'BUT', 'FELT', 'THIS', 'WAS', 'NOT', 'REALITY', 'WELL', 'THIS', 'REALITY', 'AND', 'IF', 'YOU', 'WANT', 'CHICAGO', 'THIS', 'IS', 'WHATS', 'LEFT', 'SAD', 'BUT', 'TRUE', ""'LL"", 'BE', 'TAKING', 'THIS', 'BACK', 'AND', 'TRADING', 'IT', 'IN', 'TOMORROW', 'THE', 'ONLY', 'REASON', 'GAVE', '2', 'STARS', 'IS', 'THE', 'EFFORT', 'AND', 'ENERGY', 'THE', 'MUSICIANS']",N/A
900081,A18WUFMBHX1MWC,B00092ZL80,BooBoo,"[0, 0]","Two great bands! Chicago and Earth, Wind, & Fire.  The bands play alone and also together.  The combo works! great brass section,drums, guitars, everything!  They still sound great and that is why they are both still around!",5,Legends concert,1317081600,"09 27, 2011",2011,224,"['Two', 'great', 'bands', 'Chicago', 'Earth', 'Wind', 'Fire', 'bands', 'play', 'alone', 'also', 'together', 'combo', 'great', 'brass', 'section', 'drums', 'guitars', 'everything', 'still', 'sound', 'great', 'why', 'are', 'still']",N/A
900082,A2GNAUX19600VL,B00092ZL80,Boston Patterson,"[0, 0]","After listening to these great bands and artists, I feel like I left the earth and went on mystical ride with a one-way-ticket.  Who needs alcohol or mary jane or any narcotics, not me, this music makes me &#34;high as kite.&#34;  I LOVE IT!",5,WOW!,1355875200,"12 19, 2012",2012,241,"['listening', 'great', 'bands', 'artists', 'feel', 'left', 'earth', 'went', 'mystical', 'ride', 'one-way-ticket', 'Who', 'alcohol', 'mary', 'jane', 'narcotics', 'not', 'music', '34', 'high', 'kite.', '34', 'LOVE', 'IT']",N/A
