,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
905263,A20EEWWSFMZ1PN,B0009GX1EM,"bernie ""xyzzy""","[0, 0]","I have not read the book so I can not compare; however I hope a lot was left out because there sure is a lot missing. The theory is not really quite formed or proven. All I can glean from this series is that the difference between the haves and have-nots is the luck of location and the luck of location is not always lucky for the haves when they step out of their bounds.Many of the facts are just down right wrong it is like the tail waging the dog. One good example is that as you can see in the series ""The Ascent of Man"" (Available in Britten) or the book by Jacob Bronowski it was the natural change in wheat that brought on agriculture not agriculture that brought on the change in wheat; he also misses the boat by ignoring the economic reasons for culture, commerce and war. A good book to read on the subject of plants migration and commerce is ""Green Cargoes"" by Anne Dorrance. There are too many examples of missed or purposely ignored more logical reasons for differences in cultures for example it is never mentioned, for example, ""why"" the Chinese, having developed gunpowder used it in a more benign manner.Now it was not all a waste. First there may be some credence in his theory. However it was very interesting to watch the confutation between the conquistadors and the Natives of Peru.The Ascent of Man (5 volume set)Green Cargoes",3,One man's theory,1147478400,"05 13, 2006",2006,1352,"['have', 'not', 'read', 'book', 'can', 'not', 'compare', 'however', 'hope', 'lot', 'was', 'left', 'out', 'sure', 'lot', 'missing', 'theory', 'not', 'really', 'quite', 'formed', 'proven', 'can', 'glean', 'series', 'difference', 'haves', 'have-nots', 'luck', 'location', 'luck', 'location', 'not', 'always', 'lucky', 'haves', 'when', 'step', 'bounds.Many', 'facts', 'are', 'just', 'down', 'right', 'wrong', 'tail', 'waging', 'dog', 'One', 'good', 'example', 'can', 'see', 'series', 'Ascent', 'Man', 'Available', 'Britten', 'book', 'Jacob', 'Bronowski', 'was', 'natural', 'change', 'wheat', 'brought', 'agriculture', 'not', 'agriculture', 'brought', 'change', 'wheat', 'also', 'boat', 'ignoring', 'economic', 'reasons', 'culture', 'commerce', 'war', 'good', 'book', 'read', 'subject', 'plants', 'migration', 'commerce', 'Green', 'Cargoes', 'Anne', 'Dorrance', 'are', 'too', 'many', 'examples', 'missed', 'purposely', 'ignored', 'more', 'logical', 'reasons', 'differences', 'cultures', 'example', 'never', 'mentioned', 'example', 'why', 'Chinese', 'having', 'developed', 'gunpowder', 'used', 'more', 'benign', 'manner.Now', 'was', 'not', 'waste', 'First', 'may', 'be', 'credence', 'theory', 'However', 'was', 'very', 'interesting', 'watch', 'confutation', 'conquistadors', 'Natives', 'Peru.The', 'Ascent', 'Man', '5', 'volume', 'set', 'Green', 'Cargoes']",N/A
905264,A1WCYFUYT4HADS,B0009GX1EM,Chad M,"[0, 0]","&#34;Jared Diamond&#8217;s journey of discovery began on the island of Papua New Guinea. There, in 1974, a local named Yali asked Diamond a deceptively simple question:&#8220;Why is it that you white people developed so much cargo, but we black people had little cargo of our own?&#8221;Diamond realized that Yali&#8217;s question penetrated the heart of a great mystery of human history -- the roots of global inequality.&#34; (from a PBS website review)It turns out that accidents of biology, not even faintly understood to Europeans of the 1400s, provided an advantage.  That is, natural or partial immunity to diseases such as smallpox allowed European explorers and settlers to survive in a land that had experienced a plague of diseases.  Having arrived in America and able to survive the first few years because of &#34;Germs,&#34; it was the &#34;Guns and Steel&#34; that allowed the continued settlement of Europeans (since some Native Americans survived and became immune to some Germs at that point).I think it is also notable that Yali's question is the same sort of incredulous statement that prompted the philosophy of science Professor Thomas Kuhn to investigate historical change in science, or scientific revolution.  For Kuhn, the question was:  How could the 1400s scholastics and Aristotelians -- among the smartest people of their society -- have believed such obviously wrong ideas such as the world being composed of four elements, or that human health is determined mainly by the balance of four elements.  So, just as Yali questioned how could Papua New Guinea natives and similar peoples not have developed modern tools and modern material wealth and Europeans did, Kuhn analogously questioned why could today's people have validated scientific knowledge about the periodic table of elements, gravity and the like while earlier people utterly lacked these concepts and appeared ignorant.  However, Diamond's explanation through biology (germs - infectious disease science) and technology (guns and steel) is stronger than Kuhn's approach, because Kuhn looks to voluntary changing of one's mind through a paradigm shift, when in fact explanations and events that span decades and centuries are needed for a more thorough explanation.  If Kuhn's idea about voluntary change of mind could be applied to the context Diamond explores (can a traditional people simply will themselves into creation of modern tools and material wealth?), it is clear that Diamond is on the right track:  it takes a series of geographic, biological, and technological accidents, along with scientific achievements, to provide a decisive edge to one society or another.Yet even the advantages of modern society can be questioned, as Diamond does in &#34;The World until Yesterday&#34;.  Now Yali's question can be turned around:  &#34;How is it that you industrial people have material wealth but often lack bodily and psychological health?&#34;  Prof. Diamond proceeds to show how modern society can learn health lessons from traditional peoples, just as they can learn about modern technology from us.",5,Yali's question about European and American material wealth -- intriguing connection to Thomas Kuhn's question,1389225600,"01 9, 2014",2014,3103,"['34', 'Jared', 'Diamond', '8217', 's', 'journey', 'discovery', 'began', 'island', 'Papua', 'New', 'Guinea', '1974', 'local', 'named', 'Yali', 'asked', 'Diamond', 'deceptively', 'simple', 'question', '8220', 'Why', 'white', 'people', 'developed', 'so', 'much', 'cargo', 'black', 'people', 'had', 'little', 'cargo', 'own', '8221', 'Diamond', 'realized', 'Yali', '8217', 'question', 'penetrated', 'heart', 'great', 'mystery', 'human', 'history', 'roots', 'global', 'inequality.', '34', 'PBS', 'website', 'review', 'out', 'accidents', 'biology', 'not', 'even', 'faintly', 'understood', 'Europeans', '1400s', 'provided', 'advantage', 'natural', 'partial', 'immunity', 'diseases', 'such', 'smallpox', 'allowed', 'European', 'explorers', 'settlers', 'survive', 'land', 'had', 'experienced', 'plague', 'diseases', 'Having', 'arrived', 'America', 'able', 'survive', 'first', 'few', 'years', '34', 'Germs', '34', 'was', '34', 'Guns', 'Steel', '34', 'allowed', 'continued', 'settlement', 'Europeans', 'Native', 'Americans', 'survived', 'became', 'immune', 'Germs', 'point', 'think', 'also', 'notable', 'Yali', 'question', 'same', 'sort', 'incredulous', 'statement', 'prompted', 'philosophy', 'science', 'Professor', 'Thomas', 'Kuhn', 'investigate', 'historical', 'change', 'science', 'scientific', 'revolution', 'Kuhn', 'question', 'was', 'How', 'could', '1400s', 'scholastics', 'Aristotelians', 'smartest', 'people', 'society', 'have', 'believed', 'such', 'obviously', 'wrong', 'ideas', 'such', 'world', 'being', 'composed', 'four', 'elements', 'human', 'health', 'determined', 'mainly', 'balance', 'four', 'elements', 'So', 'just', 'Yali', 'questioned', 'how', 'could', 'Papua', 'New', 'Guinea', 'natives', 'similar', 'peoples', 'not', 'have', 'developed', 'modern', 'tools', 'modern', 'material', 'wealth', 'Europeans', 'did', 'Kuhn', 'analogously', 'questioned', 'why', 'could', 'today', 'people', 'have', 'validated', 'scientific', 'knowledge', 'periodic', 'table', 'elements', 'gravity', 'like', 'earlier', 'people', 'utterly', 'lacked', 'concepts', 'appeared', 'ignorant', 'However', 'Diamond', 'explanation', 'biology', 'germs', 'infectious', 'disease', 'science', 'technology', 'guns', 'steel', 'stronger', 'Kuhn', 'approach', 'Kuhn', 'voluntary', 'changing', 'one', 'mind', 'paradigm', 'shift', 'when', 'fact', 'explanations', 'events', 'span', 'decades', 'centuries', 'are', 'needed', 'more', 'thorough', 'explanation', 'Kuhn', 'idea', 'voluntary', 'change', 'mind', 'could', 'be', 'applied', 'context', 'Diamond', 'explores', 'can', 'traditional', 'people', 'simply', 'will', 'creation', 'modern', 'tools', 'material', 'wealth', 'clear', 'Diamond', 'right', 'track', 'series', 'geographic', 'biological', 'technological', 'accidents', 'scientific', 'achievements', 'provide', 'decisive', 'edge', 'one', 'society', 'another.Yet', 'even', 'advantages', 'modern', 'society', 'can', 'be', 'questioned', 'Diamond', '34', 'World', 'Yesterday', '34', 'Now', 'Yali', 'question', 'can', 'be', 'turned', '34', 'How', 'industrial', 'people', 'have', 'material', 'wealth', 'often', 'lack', 'bodily', 'psychological', 'health', '34', 'Prof.', 'Diamond', 'proceeds', 'show', 'how', 'modern', 'society', 'can', 'learn', 'health', 'lessons', 'traditional', 'peoples', 'just', 'can', 'learn', 'modern', 'technology']",N/A
905265,AQZH7YTWQPOBE,B0009GX1EM,Enjolras,"[1, 1]","First of all, there's no substitute for Jared Diamond'sGuns, Germs and Steel. It's a brilliant book but written accessibly. Read it.If you can't, this documentary is an adequate substitute. Like many documentaries, it's a bit slow and repetitive. However, for many high school and college classes, you can't really expect students to have read the entire book. I showed this documentary for a class where we only had one chapter of the book assigned and used this documentary to help students appreciate the bigger picture. For that it does its job fine.",3,"a bit repetitive, a bit slow, but good summary",1347494400,"09 13, 2012",2012,554,"['First', 'all', 'substitute', 'Jared', ""Diamond'sGuns"", 'Germs', 'Steel', 'brilliant', 'book', 'written', 'accessibly', 'Read', 'it.If', 'ca', ""n't"", 'documentary', 'adequate', 'substitute', 'many', 'documentaries', 'bit', 'slow', 'repetitive', 'However', 'many', 'high', 'school', 'college', 'classes', 'ca', ""n't"", 'really', 'expect', 'students', 'have', 'read', 'entire', 'book', 'showed', 'documentary', 'class', 'where', 'only', 'had', 'one', 'chapter', 'book', 'assigned', 'used', 'documentary', 'help', 'students', 'appreciate', 'bigger', 'picture', 'job', 'fine']",N/A
905266,A9QZGSWH9MW0W,B0009GX1EM,"E. Powell ""Customer""","[0, 0]","My eyes were open to things that I didnt even know influenced our civilization and culture. This DVD shows that much of the progress and stagnation in our world has been largely due to geographic forces displaying themselves in the form of guns, germs, and steel. This documentary is not law but a look at a very creative yet credible theory on the division between the modern day rich and poor and how they came to be.",5,Simply an Awesome Eye Opener,1198886400,"12 29, 2007",2007,419,"['eyes', 'were', 'open', 'things', 'didnt', 'even', 'know', 'influenced', 'civilization', 'culture', 'DVD', 'much', 'progress', 'stagnation', 'world', 'been', 'largely', 'due', 'geographic', 'forces', 'displaying', 'form', 'guns', 'germs', 'steel', 'documentary', 'not', 'law', 'look', 'very', 'creative', 'yet', 'credible', 'theory', 'division', 'modern', 'day', 'rich', 'poor', 'how', 'came', 'be']",N/A
905267,A3S0ERJ4EL4ECZ,B0009GX1EM,Eric,"[12, 13]","Personally, I have used this documentary for my classes and I found it to be highly useful.  The episode ""Into the Tropics"" is especially useful for a lesson on European imperialism in Africa.  Diamond does a wonderful job of showing the uniqueness of Africa in terms of the affect of imperialism on it, as well as why unlike Australia and the Americas, the population of subSaharan Africa is not primarly Caucasian.One sad note.  The scene of children dying of malaria had my children saddened, especially when Jared Diamond himself is shown bursting into tears.The special feautures of this DVD are great to for an introduction to world history course.Note for non-teachers:  If you have read the book already, this DVD is not a necessity, as it is a lightened version of the book.",5,Great for teachers,1144454400,"04 8, 2006",2006,783,"['Personally', 'have', 'used', 'documentary', 'classes', 'found', 'be', 'highly', 'useful', 'episode', 'Tropics', 'especially', 'useful', 'lesson', 'European', 'imperialism', 'Africa', 'Diamond', 'wonderful', 'job', 'showing', 'uniqueness', 'Africa', 'terms', 'affect', 'imperialism', 'as', 'well', 'why', 'Australia', 'Americas', 'population', 'subSaharan', 'Africa', 'not', 'primarly', 'Caucasian.One', 'sad', 'note', 'scene', 'children', 'dying', 'malaria', 'had', 'children', 'saddened', 'especially', 'when', 'Jared', 'Diamond', 'shown', 'bursting', 'tears.The', 'special', 'feautures', 'DVD', 'are', 'great', 'introduction', 'world', 'history', 'course.Note', 'non-teachers', 'have', 'read', 'book', 'already', 'DVD', 'not', 'necessity', 'lightened', 'version', 'book']",N/A
905268,A2UU3I9VAGNVRB,B0009GX1EM,Erik E. Byberg,"[19, 24]","Most science or history based dvd's have a companion book that goes along with them. In the case of Guns, germs and steel, it's the other way around. This dvd series touches on some of the major points of the book very well. It is a good companion to the book. It is also a plus that Jarad Diamond is the host of this documentary, because you get to see and hear the man speak about this most facinating idea that has driven him for so long. If this idea of geography playing a major role in the fundemental developement of sociaty intrests you buy this dvd. But also buy the book and once you've seen the documentary, read the book. You will get a much better understanding of the concepts being put forth by Mr. Diamond if you do both these things as apposed to doing one or the other. In the end I know I was left with a better understanding of this facinating subject.",5,A worthy companion to a great book,1121817600,"07 20, 2005",2005,872,"['Most', 'science', 'history', 'based', 'dvd', 'have', 'companion', 'book', 'along', 'case', 'Guns', 'germs', 'steel', 'other', 'way', 'dvd', 'series', 'touches', 'major', 'points', 'book', 'very', 'well', 'good', 'companion', 'book', 'also', 'Jarad', 'Diamond', 'host', 'documentary', 'get', 'see', 'hear', 'man', 'speak', 'most', 'facinating', 'idea', 'driven', 'so', 'long', 'idea', 'geography', 'playing', 'major', 'role', 'fundemental', 'developement', 'sociaty', 'intrests', 'buy', 'dvd', 'also', 'buy', 'book', 'once', ""'ve"", 'seen', 'documentary', 'read', 'book', 'will', 'get', 'much', 'better', 'understanding', 'concepts', 'being', 'put', 'forth', 'Mr.', 'Diamond', 'do', 'things', 'apposed', 'doing', 'one', 'other', 'end', 'know', 'was', 'left', 'better', 'understanding', 'facinating', 'subject']",N/A
905269,A1EDLI3D8MOSUA,B0009GX1EM,"Feral Puma ""(Sea tea bee)""","[0, 0]","The fact that the perspective on history in this is so refreshing gives it the 4 stars.  However, it repeats itself way too often on certain points and if you subtract that you're left with probably just under two hours.  If you travel the world a bit you'll probably be left scratching your head at the inequality, and left wondering why the world is really that way.  I think this film shows a very valid reason for why but of course not the whole picture.  There's no doubt that geography played a central role in why, during the last 13,000 years since the last ice age, some peoples prospered and some didn't.  I happen to think that there's some corruption involved but this film deals only with the geographical aspects.  Still a very valid part of the whole story.  A bit of advice, when you watch it just try and overlook the annoyance of hearing certain points repeated several times, but because of that annoyance, I'm giving it 4 out of 5.",4,Nice Perspective on History,1233964800,"02 7, 2009",2009,951,"['fact', 'perspective', 'history', 'so', 'refreshing', '4', 'stars', 'However', 'way', 'too', 'often', 'certain', 'points', 'subtract', ""'re"", 'left', 'probably', 'just', 'two', 'hours', 'travel', 'world', 'bit', ""'ll"", 'probably', 'be', 'left', 'scratching', 'head', 'inequality', 'left', 'wondering', 'why', 'world', 'really', 'way', 'think', 'film', 'very', 'valid', 'reason', 'why', 'course', 'not', 'whole', 'picture', 'doubt', 'geography', 'played', 'central', 'role', 'why', 'last', '13,000', 'years', 'last', 'ice', 'age', 'peoples', 'prospered', 'did', ""n't"", 'happen', 'think', 'corruption', 'involved', 'film', 'only', 'geographical', 'aspects', 'Still', 'very', 'valid', 'part', 'whole', 'story', 'bit', 'advice', 'when', 'watch', 'just', 'try', 'overlook', 'annoyance', 'hearing', 'certain', 'points', 'repeated', 'several', 'times', 'annoyance', ""'m"", 'giving', '4', '5']",N/A
905270,A2ACUB2881HW0X,B0009GX1EM,"Hammer + Jazz ""rock of jib altar""","[1, 1]","While i do feel there's , probably , a GREAT deal more to the plight of various Nations and peoples , i did find this program thought provoking . I'll be combing through the many reviews on this one as i'm not an academic . It's certainly a good starting point for folks interested in human history though .",4,Interesting thinking to me,1347753600,"09 16, 2012",2012,307,"['i', 'do', 'feel', 'probably', 'GREAT', 'deal', 'more', 'plight', 'various', 'Nations', 'peoples', 'i', 'did', 'find', 'program', 'thought', 'provoking', ""'ll"", 'be', 'combing', 'many', 'reviews', 'one', 'i', ""'m"", 'not', 'academic', 'certainly', 'good', 'starting', 'point', 'folks', 'interested', 'human', 'history']",N/A
905271,A1XIDKCJ7SOVXP,B0009GX1EM,Jackal,"[5, 6]","Diamond's book had some amazing insights. These insight do not come across in this documentary. The first episode is quite good because it shares some of Diamond's genuine insights. The remaining two episodes are okay, but they are not closely linked to Diamond's theory.",3,Read the book instead,1135641600,"12 27, 2005",2005,271,"['Diamond', 'book', 'had', 'amazing', 'insights', 'insight', 'do', 'not', 'come', 'documentary', 'first', 'episode', 'quite', 'good', 'shares', 'Diamond', 'genuine', 'insights', 'remaining', 'two', 'episodes', 'are', 'okay', 'are', 'not', 'closely', 'linked', 'Diamond', 'theory']",N/A
905272,AKT8TGIT6VVZ5,B0009GX1EM,John Kwok,"[59, 62]","Jared Diamond, a distinguished professor of physiology and ecology and evolutionary biology at the University of California, Los Angeles, has devoted much of his life trying to understand man's impact on nature, through significant, often pioneering, work on bird species diversity in New Guinea, and the extinctions of endemic species of plants and animals in the aftermath of human colonization of the South Pacific by the ancestors of the Melanesians and especially, Polynesians. For this excellent work he has earned numerous accolades, including - if my memory is correct - membership in the National Academy of Sciences. He is also a superb writer and a mesmerizing lecturer; qualities which are shown in ample abundance throughout this National Geographic miniseries devoted to his Pulitzer Prize-winning book ""Guns, Germs and Steel"".Originally published back in 1997, ""Guns, Germs and Steel"" posed the interesting hypothesis that Western civilization's preeminence is due to mere happenstance, simply because its ancestral Fertile Crescent civilizations were lucky to have the richest abundance of potentially domesticated grains and animals. The eventual triumph of Western civilization is due to its successful colonization of the temperate regions of the globe, via its rich abundance in domesticated grains and animals, advanced weaponry and technology, and the accidental spread of virulent, often deadly, diseases associated with domesticated animals such as pigs and sheep.This National Georgraphic miniseries is a somewhat successful exploration of Jared Diamond's work and the ideas described in ""Guns, Germs and Steel"". The first hour-long episode, devoted to domestication of grains and animals, is the most successful of the three. It is followed immediately by a second episode describing the clash of  Western civilization with an indigenous, technologically advanced, American civilization - the Inkas - in 1532 and 1533 - in which the Spanish conquistadors succeeded only because an Old World disease - smallpox - had decimated the Inka population in 1531. The third episode is a more contemporary test of Diamond's hypothesis, set in Sub-Saharan Africa, but yielding a result not nearly as clear cut as the Spanish invasion of the Inkan Empire. Still, despite the mixed quality of these episodes, I can recommend this DVD set as a visual introduction to Diamond's hypothesis; an ecologically-oriented, testable hypothesis which was virtually unknown to anthropologists and other social scientists prior to the book's original publication.",4,"Fine Overview of Jared Diamond's Ideas, But.....",1147651200,"05 15, 2006",2006,2563,"['Jared', 'Diamond', 'distinguished', 'professor', 'physiology', 'ecology', 'evolutionary', 'biology', 'University', 'California', 'Los', 'Angeles', 'devoted', 'much', 'life', 'trying', 'understand', 'man', 'impact', 'nature', 'significant', 'often', 'pioneering', 'work', 'bird', 'species', 'diversity', 'New', 'Guinea', 'extinctions', 'endemic', 'species', 'plants', 'animals', 'aftermath', 'human', 'colonization', 'South', 'Pacific', 'ancestors', 'Melanesians', 'especially', 'Polynesians', 'excellent', 'work', 'earned', 'numerous', 'accolades', 'including', 'memory', 'correct', 'membership', 'National', 'Academy', 'Sciences', 'also', 'superb', 'writer', 'mesmerizing', 'lecturer', 'qualities', 'are', 'shown', 'ample', 'abundance', 'National', 'Geographic', 'miniseries', 'devoted', 'Pulitzer', 'Prize-winning', 'book', 'Guns', 'Germs', 'Steel', '.Originally', 'published', 'back', '1997', 'Guns', 'Germs', 'Steel', 'posed', 'interesting', 'hypothesis', 'Western', 'civilization', 'preeminence', 'due', 'mere', 'happenstance', 'simply', 'ancestral', 'Fertile', 'Crescent', 'civilizations', 'were', 'lucky', 'have', 'richest', 'abundance', 'potentially', 'domesticated', 'grains', 'animals', 'eventual', 'triumph', 'Western', 'civilization', 'due', 'successful', 'colonization', 'temperate', 'regions', 'globe', 'rich', 'abundance', 'domesticated', 'grains', 'animals', 'advanced', 'weaponry', 'technology', 'accidental', 'spread', 'virulent', 'often', 'deadly', 'diseases', 'associated', 'domesticated', 'animals', 'such', 'pigs', 'sheep.This', 'National', 'Georgraphic', 'miniseries', 'somewhat', 'successful', 'exploration', 'Jared', 'Diamond', 'work', 'ideas', 'described', 'Guns', 'Germs', 'Steel', 'first', 'hour-long', 'episode', 'devoted', 'domestication', 'grains', 'animals', 'most', 'successful', 'three', 'followed', 'immediately', 'second', 'episode', 'describing', 'clash', 'Western', 'civilization', 'indigenous', 'technologically', 'advanced', 'American', 'civilization', 'Inkas', '1532', '1533', 'Spanish', 'conquistadors', 'succeeded', 'only', 'Old', 'World', 'disease', 'smallpox', 'had', 'decimated', 'Inka', 'population', '1531', 'third', 'episode', 'more', 'contemporary', 'test', 'Diamond', 'hypothesis', 'set', 'Sub-Saharan', 'Africa', 'yielding', 'result', 'not', 'nearly', 'clear', 'cut', 'Spanish', 'invasion', 'Inkan', 'Empire', 'Still', 'mixed', 'quality', 'episodes', 'can', 'recommend', 'DVD', 'set', 'visual', 'introduction', 'Diamond', 'hypothesis', 'ecologically-oriented', 'testable', 'hypothesis', 'was', 'virtually', 'unknown', 'anthropologists', 'other', 'social', 'scientists', 'prior', 'book', 'original', 'publication']",N/A
