,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
920218,AQ6J4B5WLGRJ5,B000A3VTT8,"Abert ""AMY""","[3, 3]","Why?Because the recent 'star' sets simply overshadowed this 1981 La Scala recording.My first Cenerentola was Bartoli/Gimenez.  A perfectly good performance, with Corbelli as Don Magnificio.  Bartoli looked and sounded fresh in that recording, and she IS Italian! As Ramiro, a not too young Raul Gimenez sings wonderfully in true bel canto style. So I thought - well, Prince Charming, that's about it (i.e. there's none such in REAL operatic world).Then I got Florez and DiDonato's 'cartoon' set.  Well, let me admit it - I did not watch that one in one sitting.  It is simply TOO much - what horrific sets! And DiDonato is no Cinderella, and Florez is too earthly a Prince - not tall, not masculine-voiced, though singing very floridly and fluently. The dramatic impact of this production is simply way too low.Then I got a much better viewing of the MET Cenerentola, with Garanca as (eventually) the REAL Cindarella, both in looks and singing. The cast performed SO WELL that I forgot entirely about Brownlee's Prince, who was neither charming, nor tall, nor regal looking, but who sings adequately.My experience with Rossini's La Cenerentola, therefore, is rather drab.Until I watched this one - what a jaw-dropping performance and terrific production, as well as top-rate shooting.The camera work deserves special commendation. In the romantic scenes, the shots are close - and it works SO well in this production, since we have here two MOST credible Cinderella and Prince Charming in the persons of Frederica von Stade and Franciso Araiza. In short, my hopes IN La Cenerentola are restored.The acting is terrific - Desderi and Montarsolo are simply the best exponents of Italian buffa style, just as Alberghini and Corbelli in the MET production.While Frederica von Stade is not as proficient as Rossinian mezzo as either Bartoli, DiDonato or probably even Garanca, her singing is adequate, and her acting is wonderful here. La Cenerentola is a bit difficult to stage, since mezzos are generally tall ladies, and Rossinian tenors not known for their height.We have the big exception in the Bartoli/Gimenez production, but then back to the big reverse in the MET with a tall and slender Garanca and a short (and fat) Brownlee. Florez is barely the same height as DiDonato, who somehow looked more like Angelina's mother than Angelina herself, alas.So visually this La Scala production of von Stade and Araiza is well-neigh the IDEAL combination.Admittedly, von Stade has some vocal limitations here. Her Rossini is not, vocally, in the same league as Valentini-Terrani, Ann Murray, Agnes Baltsa or Joyce Didonato, let alone Cecilia Bartoli. While some people took far too seriously on Araiza's aspirated coloraturas, it is in fact an old vocal technique that is seldom employed for want of vocal proficiency in many modern singers.  Now, with Bartoli being the foremost 'aspirated coloratura' exponent, this aspect can safely be put to rest. Still, purely in terms of vocal proficiency in Rossini, I would opt either for DiDonato/Florez, Bartoli/Gimenez or even Garanca/Brownlee, since von Stade is barely adequate vocally as Angelina and is no match for the other three mezzos who are all Rossini experts.  For the strongest vocal combination of this work, go for Ferro's CD of Francisco Araiza/Lucia Valentini-Terrani.Having said that, a La Cenerentola production without a pair of convincing leads is simply doomed to failure, however vocally brilliant, and I have seen much more flops of this opera's productions than successes.  This La Scala performance WILL definitely stand unsurpassed.",5,"The best opera film? Simply so, BUT I almost overlooked this one...",1349395200,"10 5, 2012",2012,3598,"['Why', 'recent', ""'star"", 'sets', 'simply', 'overshadowed', '1981', 'La', 'Scala', 'recording.My', 'first', 'Cenerentola', 'was', 'Bartoli/Gimenez', 'A', 'perfectly', 'good', 'performance', 'Corbelli', 'Don', 'Magnificio', 'Bartoli', 'looked', 'sounded', 'fresh', 'recording', 'Italian', 'Ramiro', 'not', 'too', 'young', 'Raul', 'Gimenez', 'sings', 'wonderfully', 'true', 'bel', 'canto', 'style', 'thought', 'well', 'Prince', 'Charming', 'i.e', 'none', 'such', 'REAL', 'operatic', 'world', '.Then', 'got', 'Florez', 'DiDonato', ""'cartoon"", 'set', 'Well', 'let', 'admit', 'did', 'not', 'watch', 'one', 'one', 'sitting', 'simply', 'TOO', 'much', 'what', 'horrific', 'DiDonato', 'Cinderella', 'Florez', 'too', 'earthly', 'Prince', 'not', 'tall', 'not', 'masculine-voiced', 'singing', 'very', 'floridly', 'fluently', 'dramatic', 'impact', 'production', 'simply', 'way', 'too', 'low.Then', 'got', 'much', 'better', 'viewing', 'MET', 'Cenerentola', 'Garanca', 'eventually', 'REAL', 'Cindarella', 'looks', 'singing', 'cast', 'performed', 'SO', 'WELL', 'forgot', 'entirely', 'Brownlee', 'Prince', 'who', 'was', 'charming', 'tall', 'regal', 'looking', 'who', 'sings', 'adequately.My', 'experience', 'Rossini', 'La', 'Cenerentola', 'therefore', 'rather', 'drab.Until', 'watched', 'one', 'what', 'jaw-dropping', 'performance', 'terrific', 'production', 'as', 'well', 'top-rate', 'shooting.The', 'camera', 'work', 'special', 'commendation', 'romantic', 'scenes', 'shots', 'are', 'close', 'SO', 'well', 'production', 'have', 'here', 'two', 'MOST', 'credible', 'Cinderella', 'Prince', 'Charming', 'persons', 'Frederica', 'von', 'Stade', 'Franciso', 'Araiza', 'short', 'hopes', 'IN', 'La', 'Cenerentola', 'are', 'restored.The', 'acting', 'terrific', 'Desderi', 'Montarsolo', 'are', 'simply', 'best', 'exponents', 'Italian', 'buffa', 'style', 'just', 'Alberghini', 'Corbelli', 'MET', 'production.While', 'Frederica', 'von', 'Stade', 'not', 'as', 'proficient', 'Rossinian', 'mezzo', 'Bartoli', 'DiDonato', 'probably', 'even', 'Garanca', 'singing', 'adequate', 'acting', 'wonderful', 'here', 'La', 'Cenerentola', 'bit', 'difficult', 'stage', 'mezzos', 'are', 'generally', 'tall', 'ladies', 'Rossinian', 'tenors', 'not', 'known', 'height.We', 'have', 'big', 'exception', 'Bartoli/Gimenez', 'production', 'then', 'back', 'big', 'reverse', 'MET', 'tall', 'slender', 'Garanca', 'short', 'fat', 'Brownlee', 'Florez', 'barely', 'same', 'height', 'DiDonato', 'who', 'somehow', 'looked', 'more', 'Angelina', 'mother', 'Angelina', 'alas.So', 'visually', 'La', 'Scala', 'production', 'von', 'Stade', 'Araiza', 'well-neigh', 'IDEAL', 'combination.Admittedly', 'von', 'Stade', 'vocal', 'limitations', 'here', 'Rossini', 'not', 'vocally', 'same', 'league', 'Valentini-Terrani', 'Ann', 'Murray', 'Agnes', 'Baltsa', 'Joyce', 'Didonato', 'let', 'alone', 'Cecilia', 'Bartoli', 'people', 'took', 'far', 'too', 'seriously', 'Araiza', 'aspirated', 'coloraturas', 'fact', 'old', 'vocal', 'technique', 'seldom', 'employed', 'want', 'vocal', 'proficiency', 'many', 'modern', 'singers', 'Now', 'Bartoli', 'being', 'foremost', ""'aspirated"", 'coloratura', 'exponent', 'aspect', 'can', 'safely', 'be', 'put', 'rest', 'Still', 'purely', 'terms', 'vocal', 'proficiency', 'Rossini', 'would', 'opt', 'either', 'DiDonato/Florez', 'Bartoli/Gimenez', 'even', 'Garanca/Brownlee', 'von', 'Stade', 'barely', 'adequate', 'vocally', 'Angelina', 'match', 'other', 'three', 'mezzos', 'who', 'are', 'Rossini', 'experts', 'strongest', 'vocal', 'combination', 'work', 'go', 'Ferro', 'CD', 'Francisco', 'Araiza/Lucia', 'Valentini-Terrani.Having', 'said', 'La', 'Cenerentola', 'production', 'pair', 'convincing', 'leads', 'simply', 'doomed', 'failure', 'however', 'vocally', 'brilliant', 'have', 'seen', 'much', 'more', 'flops', 'opera', 'productions', 'successes', 'La', 'Scala', 'performance', 'WILL', 'definitely', 'stand', 'unsurpassed']","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio Abbado"
920219,AZXR5HB99P936,B000A3VTT8,"A. Delaspozas ""Alicia""","[2, 2]","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio AbbadoIt is a very beautiful DVD.When I saw that the Director was Jean-Pierre Ponelli I decided to buy this DVD, I've got his Cosi fan tutti of last year and I loved it, I am pleased to select this DVD, it is outstanding.Everyone is very familiar with the Cinderella tale and with the music, acting and the scenery the charming of the story is very well captured in this filmI enjoyed the overture with the tour through La Scala.Von Stade is a lovely heroine, her singing and acting was very good, as well as the rest of the cast.The sound was perfect and the film was beautiful the cast.",5,very beautiful DVD.,1231027200,"01 4, 2009",2009,712,"['Rossini', 'La', 'Cenerentola', '/', 'Frederica', 'von', 'Stade', 'Francisco', 'Araiza', 'Paolo', 'Montarsolo', 'Claudio', 'Desderi', 'Laura', 'Zannini', 'Claudio', 'AbbadoIt', 'very', 'beautiful', 'DVD.When', 'saw', 'Director', 'was', 'Jean-Pierre', 'Ponelli', 'decided', 'buy', 'DVD', ""'ve"", 'got', 'Cosi', 'fan', 'tutti', 'last', 'year', 'loved', 'am', 'pleased', 'select', 'DVD', 'outstanding.Everyone', 'very', 'familiar', 'Cinderella', 'tale', 'music', 'acting', 'scenery', 'charming', 'story', 'very', 'well', 'captured', 'filmI', 'enjoyed', 'overture', 'tour', 'La', 'Scala.Von', 'Stade', 'lovely', 'heroine', 'singing', 'acting', 'was', 'very', 'good', 'as', 'well', 'rest', 'cast.The', 'sound', 'was', 'perfect', 'film', 'was', 'beautiful', 'cast']","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio Abbado"
920220,A1FEKH66XUTTOP,B000A3VTT8,"A. F. S. Mui ""Mui""","[2, 2]","In more recent recordings, there are mezzo-sopranos who fill the role of Angelina wonderfully - Cecilia Bartoli, Elina Garanca, but to name two. Vocally, there are a lot more, from Lucia Valentini Terrani to Jennifer Lamore, and others.But admittedly, to find a singer who looks the part as well as sings the part is sometimes a big stretch for producers. Frederica von Stade is not the vocally strongest Cenerentola, for sure.  Her voice has an unpleasant wimpy quality that she employs far too much in this recording, even in Cenerentola's final triumphant aria, which is a put off.  But her acting is very good, and she makes a wonderful visual pair with Prince Ramiro, unsurpassably performed by Francisco Araiza.Claudio Desderi as Dandini is hilarious and he employs his coloraturas to great buffo effect.The entire cast is fantastic and the direction is truly immaculate, since even the usually stolid Araiza is an animated Prince Charming in this recording.  His characterisation and singing simply beats Raul Gimenez in the Bartoli DVD, and even Juan Diego Florez in the Didonato DVD.This is probably the best shot opera film, as so many have observed.  The scenary and sets are fabulous, and the camera's close-ups of von Stade and Araiza really put many of those currently performing at the MET HD broadcasts to shame, am afraid.A must see, no less.",5,"Not the strongest Angelina, but who cares?",1349827200,"10 10, 2012",2012,1359,"['more', 'recent', 'recordings', 'are', 'mezzo-sopranos', 'who', 'fill', 'role', 'Angelina', 'wonderfully', 'Cecilia', 'Bartoli', 'Elina', 'Garanca', 'name', 'two', 'Vocally', 'are', 'lot', 'more', 'Lucia', 'Valentini', 'Terrani', 'Jennifer', 'Lamore', 'others.But', 'admittedly', 'find', 'singer', 'who', 'part', 'as', 'well', 'sings', 'part', 'sometimes', 'big', 'stretch', 'producers', 'Frederica', 'von', 'Stade', 'not', 'vocally', 'strongest', 'Cenerentola', 'sure', 'voice', 'unpleasant', 'wimpy', 'quality', 'far', 'too', 'much', 'recording', 'even', 'Cenerentola', 'final', 'triumphant', 'aria', 'put', 'off', 'acting', 'very', 'good', 'wonderful', 'visual', 'pair', 'Prince', 'Ramiro', 'unsurpassably', 'performed', 'Francisco', 'Araiza.Claudio', 'Desderi', 'Dandini', 'hilarious', 'coloraturas', 'great', 'buffo', 'effect.The', 'entire', 'cast', 'fantastic', 'direction', 'truly', 'immaculate', 'even', 'usually', 'stolid', 'Araiza', 'animated', 'Prince', 'Charming', 'recording', 'characterisation', 'singing', 'simply', 'beats', 'Raul', 'Gimenez', 'Bartoli', 'DVD', 'even', 'Juan', 'Diego', 'Florez', 'Didonato', 'DVD.This', 'probably', 'best', 'shot', 'opera', 'film', 'so', 'many', 'have', 'observed', 'scenary', 'sets', 'are', 'fabulous', 'camera', 'close-ups', 'von', 'Stade', 'Araiza', 'really', 'put', 'many', 'currently', 'performing', 'MET', 'HD', 'shame', 'am', 'afraid.A', 'must', 'see', 'less']","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio Abbado"
920221,AYBCLPBOZHSFB,B000A3VTT8,"Barbara A. Powell ""bpowell170""","[4, 4]","This is probably the BEST film adaptation of an opera EVER. And I've never seen as good a cast of Cenerentola as this one. Frederica von Stade is perfect as Cenerentola -- her acting and her singing are stellar. Francisco Araiza is a dashing Prince, and Paulo Montarsolo's father is wonderfully three dimensional. The sisters are fun. The direction takes advantage of both the cast's talents and the medium of video -- imaginative, creative. This is just a brilliant DVD.",5,How an opera SHOULD be adapted to video,1174780800,"03 25, 2007",2007,471,"['probably', 'BEST', 'film', 'adaptation', 'opera', 'EVER', ""'ve"", 'never', 'seen', 'good', 'cast', 'Cenerentola', 'one', 'Frederica', 'von', 'Stade', 'perfect', 'Cenerentola', 'acting', 'singing', 'are', 'stellar', 'Francisco', 'Araiza', 'dashing', 'Prince', 'Paulo', 'Montarsolo', 'father', 'wonderfully', 'three', 'dimensional', 'sisters', 'are', 'fun', 'direction', 'advantage', 'cast', 'talents', 'medium', 'video', 'imaginative', 'creative', 'just', 'brilliant', 'DVD']","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio Abbado"
920222,A21OFC02P17G8B,B000A3VTT8,Brian Wrangham,"[14, 15]","Compared to the old laserdisc release of this opera, this new DVD is a joy to behold. To my eyes much loving attention has been lavished on restoring and cleaning up this disc with the result that the colours throughout are rich and saturated. While the quality of the video has been significantly improved the audio remains about the same as the laserdisc---- the addition of 5.1 DTS does not really offer any audible differences over the PCM stereo which incidentally is very good indeed. The DVD now offers subtitles in five languages including English.In my opinion this production of the work stands head and shouldersover the competition. The entire cast, the musical direction of Abbado and the imaginative video direction of Jean-Pierre Ponnelle make this a winner all round. Standouts in the singers are von Stade and Montarsolo.Compared to other Unitel releases of Ponnelle operatic productions on DVD this is be far the best to date.",5,Glorious colours make this DVD a winner,1136332800,"01 4, 2006",2006,944,"['Compared', 'old', 'laserdisc', 'release', 'opera', 'new', 'DVD', 'joy', 'behold', 'eyes', 'much', 'loving', 'attention', 'been', 'lavished', 'restoring', 'cleaning', 'up', 'disc', 'result', 'colours', 'are', 'rich', 'saturated', 'quality', 'video', 'been', 'significantly', 'improved', 'audio', 'same', 'laserdisc', 'addition', '5.1', 'DTS', 'not', 'really', 'offer', 'audible', 'differences', 'PCM', 'stereo', 'incidentally', 'very', 'good', 'indeed', 'DVD', 'now', 'subtitles', 'five', 'languages', 'including', 'English.In', 'opinion', 'production', 'work', 'head', 'shouldersover', 'competition', 'entire', 'cast', 'musical', 'direction', 'Abbado', 'imaginative', 'video', 'direction', 'Jean-Pierre', 'Ponnelle', 'make', 'winner', 'round', 'Standouts', 'singers', 'are', 'von', 'Stade', 'Montarsolo.Compared', 'other', 'Unitel', 'releases', 'Ponnelle', 'operatic', 'productions', 'DVD', 'be', 'far', 'best', 'date']","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio Abbado"
920223,A2IUC6AWSTSFH5,B000A3VTT8,Britt Jansson,"[1, 1]","This is a truly splendid performance of one of the funniest and wittiest operas I have ever seen or heard. For those who are new to the wonderful world of opera, this opera is a great way to start. And for those who already love opera, it will give a couple of hours of sheer pleasure. I can truly recommend it to all viewers.",5,Wonderful!,1383264000,"11 1, 2013",2013,326,"['truly', 'splendid', 'performance', 'one', 'funniest', 'wittiest', 'operas', 'have', 'ever', 'seen', 'heard', 'who', 'are', 'new', 'wonderful', 'world', 'opera', 'opera', 'great', 'way', 'start', 'who', 'already', 'love', 'opera', 'will', 'give', 'couple', 'hours', 'sheer', 'pleasure', 'can', 'truly', 'recommend', 'viewers']","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio Abbado"
920224,A27MRHG6C9LSKP,B000A3VTT8,Dino Starcevic Rivera,"[3, 3]","This Cenerentola have everything to be the perfect recipe: La Scala, Claudio Abbado conducting, Jean Pierre Ponelle directing (vero factotum), a glorious cast, and the superb music of the master of opera buffa, Gioacchino Rossini. Who could ask for anything more?Truly a landmark among filmed operas, this production is a must not only for opera lovers, but also for everyone who wants to begin to know and love the genre.The cast, flawless: Frederica von Stade, marvelous voice and beautiful presence; the buffo trio of Paolo Montarsolo (the best of the group), Margherita Guglielmi and Laura Zannini; the funny impersonation of Claudio Desideri; the fresh performance of Francisco Araiza, and the secure Paul Plishka as the supportive Alidoro.Scene after scene, this is first class opera: look at the ""shadow-theatre"" ensemble at second act and you will be convinced of the genius of Ponnelle.In front of La Scala orchestra Abbado remains what he is, one of the leading italian conductors of all times.There is no way to be disappointed with this DVD.",5,Landmark among filmed opera,1197763200,"12 16, 2007",2007,1053,"['Cenerentola', 'have', 'everything', 'be', 'perfect', 'recipe', 'La', 'Scala', 'Claudio', 'Abbado', 'conducting', 'Jean', 'Pierre', 'Ponelle', 'directing', 'vero', 'factotum', 'glorious', 'cast', 'superb', 'music', 'master', 'opera', 'buffa', 'Gioacchino', 'Rossini', 'Who', 'could', 'ask', 'anything', 'more', 'Truly', 'landmark', 'filmed', 'operas', 'production', 'must', 'not', 'only', 'opera', 'lovers', 'also', 'everyone', 'who', 'begin', 'know', 'love', 'genre.The', 'cast', 'flawless', 'Frederica', 'von', 'Stade', 'marvelous', 'voice', 'beautiful', 'presence', 'buffo', 'trio', 'Paolo', 'Montarsolo', 'best', 'group', 'Margherita', 'Guglielmi', 'Laura', 'Zannini', 'funny', 'impersonation', 'Claudio', 'Desideri', 'fresh', 'performance', 'Francisco', 'Araiza', 'secure', 'Paul', 'Plishka', 'supportive', 'Alidoro.Scene', 'scene', 'first', 'class', 'opera', 'look', 'shadow-theatre', 'ensemble', 'second', 'act', 'will', 'be', 'convinced', 'genius', 'Ponnelle.In', 'front', 'La', 'Scala', 'orchestra', 'Abbado', 'what', 'one', 'leading', 'italian', 'conductors', 'way', 'be', 'disappointed', 'DVD']","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio Abbado"
920225,A1HUDHPQFZYHQW,B000A3VTT8,"eugenia maldonado ""2nd WW""","[1, 1]","Once upon a time, M. Jean Pierre Ponelle was my teacher .And,eventhough I had aredy seen the Cenerentola, it always delights me greatly, it is really unbelievable how can we enjoy opera, and this one was exquisite. The quality of reproduction is excellent, the images superb. And Araiza, Montarsolo and dear Frederica von Stade are enourmous in this performane. I recommend it to every one of your Opera's lovers.Eugenia",5,Superb,1381881600,"10 16, 2013",2013,420,"['Once', 'time', 'M.', 'Jean', 'Pierre', 'Ponelle', 'was', 'teacher', '.And', 'had', 'aredy', 'seen', 'Cenerentola', 'always', 'delights', 'greatly', 'really', 'unbelievable', 'how', 'can', 'enjoy', 'opera', 'one', 'was', 'exquisite', 'quality', 'reproduction', 'excellent', 'images', 'superb', 'Araiza', 'Montarsolo', 'dear', 'Frederica', 'von', 'Stade', 'are', 'enourmous', 'performane', 'recommend', 'one', 'Opera', 'lovers.Eugenia']","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio Abbado"
920226,A38M4BOJ8XXH1X,B000A3VTT8,"Flippy ""Buchlieber""","[3, 4]","For most newcomers, viewing opera is a unique experience. It is unlike watching plays yet the staging is similar. When viewed on DVD, one expects to be entertained as if watching a standard film.I truly enjoy opera at home when a piece is given a theatrical film feel. Opera must be seen on stage for it to be truly appreciated for what it is and what it is meant to be.Rossini's most famous opera is The Barber of Seville. If you have experienced 'Barber' then please watch this beautiful piece. It is based on Perrault's 'Cinderella' but without the witches and magic. The magic here is the music, the fun story, the bungling cast of characters and the playful situation.Don Ramiro is a prince briefly disguised as a groom while his groom portrays him. As the groom, Ramiro visits Don Magnifico and his two daughters. He first encounters Cenerentola, Magnifico's step-daughter. They immediately fall in love but the prince has to know for sure if her heart is pure with goodness. The two daughters, Tisbe and Clorinda fall over the livery-disguised prince, suffocating him for a chance to be the lucky bride. Don Ramiro looks on. The philosopher Alidoro sets things up a notch by giving Cenerentola a chance to visit the prince's mansion.Claodio abbado conducts the Orchestra del Teatro Alla Scala. This production is based on the 1973 production which Jean-Pierre Ponelle originally directed. The setting, the staging, everything feels like a dream, from the comical costumes of the two sisters to the battered home of Don Magnfico to the palatial mansion of Don Ramiro. A DVD worth getting if you want to sink your teeth into the best of Bel Canto Italian Opera. Also highly recommended: L'Elisir d'Amore (Donizetti - Netrebko/Villazon with Alfred Eschwe conducting).For those new to opera, also, check out A Night at the Opera by Sir Denis Forman. This book is the most essential reference book. I've had my copy for nearly ten years. Unquestionably the greatest approach to enjoying and following opera.",4,Opera as an Adult Fairy Tale,1240185600,"04 20, 2009",2009,2009,"['most', 'newcomers', 'viewing', 'opera', 'unique', 'experience', 'watching', 'plays', 'yet', 'staging', 'similar', 'When', 'viewed', 'DVD', 'one', 'be', 'entertained', 'watching', 'standard', 'film.I', 'truly', 'enjoy', 'opera', 'home', 'when', 'piece', 'given', 'theatrical', 'film', 'feel', 'must', 'be', 'seen', 'stage', 'be', 'truly', 'appreciated', 'what', 'what', 'meant', 'be.Rossini', 'most', 'famous', 'opera', 'Barber', 'Seville', 'have', 'experienced', ""'Barber"", 'then', 'please', 'watch', 'beautiful', 'piece', 'based', 'Perrault', ""'Cinderella"", 'witches', 'magic', 'magic', 'here', 'music', 'fun', 'story', 'bungling', 'cast', 'characters', 'playful', 'situation.Don', 'Ramiro', 'prince', 'briefly', 'disguised', 'groom', 'groom', 'groom', 'Ramiro', 'Don', 'Magnifico', 'two', 'daughters', 'first', 'Cenerentola', 'Magnifico', 'step-daughter', 'immediately', 'fall', 'love', 'prince', 'know', 'sure', 'heart', 'pure', 'goodness', 'two', 'daughters', 'Tisbe', 'Clorinda', 'fall', 'livery-disguised', 'prince', 'suffocating', 'chance', 'be', 'lucky', 'bride', 'Don', 'Ramiro', 'philosopher', 'Alidoro', 'things', 'up', 'notch', 'giving', 'Cenerentola', 'chance', 'visit', 'prince', 'mansion.Claodio', 'abbado', 'Orchestra', 'del', 'Teatro', 'Alla', 'Scala', 'production', 'based', '1973', 'production', 'Jean-Pierre', 'Ponelle', 'originally', 'directed', 'setting', 'staging', 'everything', 'feels', 'dream', 'comical', 'costumes', 'two', 'sisters', 'battered', 'home', 'Don', 'Magnfico', 'palatial', 'mansion', 'Don', 'Ramiro', 'A', 'DVD', 'getting', 'want', 'sink', 'teeth', 'best', 'Bel', 'Canto', 'Italian', 'Opera', 'Also', 'highly', 'recommended', ""L'Elisir"", ""d'Amore"", 'Donizetti', 'Netrebko/Villazon', 'Alfred', 'Eschwe', 'conducting', '.For', 'new', 'opera', 'also', 'check', 'out', 'Night', 'Opera', 'Sir', 'Denis', 'Forman', 'book', 'most', 'essential', 'reference', 'book', ""'ve"", 'had', 'copy', 'nearly', 'ten', 'years', 'Unquestionably', 'greatest', 'approach', 'enjoying', 'following', 'opera']","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio Abbado"
920227,A2W2WVT8Y97NML,B000A3VTT8,Fredrick O. Smetana,"[2, 3]",I have this on VHS and it remains the standard so far as I'm concerned.,5,Tour de Force,1175731200,"04 5, 2007",2007,71,"['have', 'VHS', 'standard', 'so', 'far', ""'m"", 'concerned']","Rossini - La Cenerentola / Frederica von Stade, Francisco Araiza, Paolo Montarsolo, Claudio Desderi, Laura Zannini, Claudio Abbado"
