,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
933466,A3AYK1I6RAHYR1,B000ATQYWY,"Abigail ""Abby""","[0, 0]","06/21/2014THE BEST OF THE BEST...SO GOOD TO SEE HIM ON HERE.IF U CANNOT FIND ANYTHING U WANT ANYWHERE, ALWAYS TRYAMAZON FIRST...THX, AMAZON",5,LOVE KOLCHAK....,1403308800,"06 21, 2014",2014,139,"['06/21/2014THE', 'BEST', 'THE', 'BEST', 'SO', 'GOOD', 'TO', 'SEE', 'HIM', 'ON', 'HERE.IF', 'U', 'CAN', 'NOT', 'FIND', 'ANYTHING', 'U', 'WANT', 'ANYWHERE', 'ALWAYS', 'TRYAMAZON', 'FIRST', 'THX', 'AMAZON']",N/A
933467,A3QWHQK6CVMT3M,B000ATQYWY,A Customer,"[1, 1]","The Night Stalker blends mystery,horror and imagination into one. Although this series doesn't have alot of blood or gore, the suspense comes from shadows, glimpes or ideas the stories portray. Some humor is added by Darren Mcgavin as the bumbling Kolchak. While trying to convince the police he is not insane or just plain seeing things, Kolchak manages to solve the murder or mystery of this once weekly series. Series was taken from the movie, ""The Night Stalker"", about a vampire who terrorizes Las Vegas. Some of my favorite episodes include, The Ripper, Chopper, Horror In The Heights and Demon In Lace. Series is nothing special by today's standards, but people who watched it back in the 70's will still appreciate this fine show.",5,Classic Science Fiction,1215734400,"07 11, 2008",2008,738,"['Night', 'Stalker', 'mystery', 'horror', 'imagination', 'one', 'series', ""n't"", 'have', 'alot', 'blood', 'gore', 'suspense', 'shadows', 'glimpes', 'ideas', 'stories', 'portray', 'humor', 'added', 'Darren', 'Mcgavin', 'bumbling', 'Kolchak', 'trying', 'convince', 'police', 'not', 'insane', 'just', 'plain', 'seeing', 'things', 'Kolchak', 'solve', 'murder', 'mystery', 'once', 'weekly', 'series', 'Series', 'was', 'taken', 'movie', 'Night', 'Stalker', 'vampire', 'who', 'Las', 'Vegas', 'favorite', 'episodes', 'include', 'Ripper', 'Chopper', 'Horror', 'Heights', 'Demon', 'Lace', 'Series', 'nothing', 'special', 'today', 'standards', 'people', 'who', 'watched', 'back', '70', 'will', 'still', 'appreciate', 'fine', 'show']",N/A
933468,AIW2B5CZEUTS5,B000ATQYWY,ajay,"[0, 0]",I loved watching these episodes every Friday night 1974-1975. They seem corny by todays standards- but this series was the basis for the X Files in the 90's. Kolchak is an independent news reporter investigating paranormal activity in the Chicago area. Only 20 episodes were filmed. This dvd compilation is worth it. Nothing else (other than the X Files) compares to it.,5,A good 1970's classic,1398038400,"04 21, 2014",2014,370,"['loved', 'watching', 'episodes', 'Friday', 'night', '1974-1975', 'seem', 'corny', 'todays', 'standards-', 'series', 'was', 'basis', 'X', 'Files', '90', 'Kolchak', 'independent', 'news', 'reporter', 'investigating', 'paranormal', 'activity', 'Chicago', 'area', 'Only', '20', 'episodes', 'were', 'filmed', 'dvd', 'compilation', 'Nothing', 'else', 'other', 'X', 'Files']",N/A
933469,AT972OCEIUPIX,B000ATQYWY,Albert Wallace,"[1, 1]",It is fun and exciting.  Watching it provides a great incite into its time.  Everybody loves Darren McGavin.  What more could you ask for?,4,Every bit as screwy as I remember it!,1375747200,"08 6, 2013",2013,138,"['fun', 'exciting', 'Watching', 'great', 'incite', 'time', 'Everybody', 'Darren', 'McGavin', 'What', 'more', 'could', 'ask']",N/A
933470,A3UHTJTBCEG448,B000ATQYWY,Amazon Customer,"[2, 3]","Yea! I am glad to have this series to enjoy once again. I read the complaints about how dark the scenes can be. It was like that when I first watched the series on TV, you know, back when you had to get off your rear and change the channel or adjust the sound using knobs on your TV set. (grin)",5,An old favorite,1367539200,"05 3, 2013",2013,294,"['Yea', 'am', 'glad', 'have', 'series', 'enjoy', 'once', 'again', 'read', 'complaints', 'how', 'dark', 'scenes', 'can', 'be', 'was', 'when', 'first', 'watched', 'series', 'TV', 'know', 'back', 'when', 'had', 'get', 'off', 'rear', 'change', 'channel', 'adjust', 'sound', 'using', 'knobs', 'TV', 'set', 'grin']",N/A
933471,A1QL89RQ6OGHIC,B000ATQYWY,Ann McArthur,"[2, 3]","Even though it only has 22 episodes, its very worth getting.  Darren McGavin plays it serously hense the love of the series.  Thanks Kolchak!",5,It's so CAMPY it's Grand!,1366502400,"04 21, 2013",2013,141,"['Even', 'only', '22', 'episodes', 'very', 'worth', 'getting', 'Darren', 'McGavin', 'serously', 'love', 'series', 'Thanks', 'Kolchak']",N/A
933472,A1YD89C7L1EXHP,B000ATQYWY,Archie Pyle,"[2, 2]","I lived in Chicago when this series came out & it brings back sweet memories seeing this show again, since Kolchak is based in Chicago as a reporter for a 2nd tier newspaper. I like the plots, as they're interesting & with many lines of humor mixing with the supernatural. I also like Simon Oakland as his boss. Kolchak is of the old school of reporters like Edgar R. Morrow & Ernie Pyle, just updated to horror school. It's interesting to see the big cars used back then & the fashions. The scripts are intelligent & each episode moves so fast.I love watching this late at night with a storm raging outside. I just don't understand why this show only lasted one season. A true classic. BUY!",5,What a great show to watch!!!,1212278400,"06 1, 2008",2008,691,"['lived', 'Chicago', 'when', 'series', 'came', 'out', 'back', 'sweet', 'memories', 'seeing', 'show', 'again', 'Kolchak', 'based', 'Chicago', 'reporter', '2nd', 'tier', 'newspaper', 'plots', ""'re"", 'interesting', 'many', 'lines', 'humor', 'mixing', 'supernatural', 'also', 'Simon', 'Oakland', 'boss', 'Kolchak', 'old', 'school', 'reporters', 'Edgar', 'R.', 'Morrow', 'Ernie', 'Pyle', 'just', 'updated', 'horror', 'school', 'interesting', 'see', 'big', 'cars', 'used', 'back', 'then', 'fashions', 'scripts', 'are', 'intelligent', 'episode', 'so', 'fast.I', 'love', 'watching', 'late', 'night', 'storm', 'raging', 'outside', 'just', 'do', ""n't"", 'understand', 'why', 'show', 'only', 'lasted', 'one', 'season', 'true', 'classic', 'BUY']",N/A
933473,A1X90SEW99DK3G,B000ATQYWY,Aung Htun,"[1, 5]","""INCLUDES ALL 20 EPISODES OF THE 1974-1975 SERIES!""[from the sticker of front cover of the DVD case]",5,Includes All 20 Episodes Of The 1974-1975 Series!,1216684800,"07 22, 2008",2008,100,"['INCLUDES', 'ALL', '20', 'EPISODES', 'THE', '1974-1975', 'SERIES', '[', 'sticker', 'front', 'cover', 'DVD', 'case', ']']",N/A
933474,A1D22OU25XABAK,B000ATQYWY,Baranabus,"[1, 4]","If you remember this as a kid, you may find this a fun trip down memory lane. However, like some have said, sometimes, people wonder if they should've left their memories in the past and not revisited what scared them at age 5, since those films will appear stupid and bad as an adult. That's the nostalgic's dilemma, always. But if you enjoy regressing to 70s badness, this will appeal to you. It's also proof that the old rule of what you don't see is scarier than what you do- there are some dumb effects here that are laughable.Also, it is very dark, literally; I don't know if that's due to a poor transfer, as others have complained, or partly due to the fact that it was likely photographed in very dark lighting for a spooky effect and the limitations of the times, and the budgets, produced a flat effect visually. You can see how dark photography also influenced its thematic offspring, ""The X Files"", where the photography technology was miles above technically and you get much more depth of field and complexity of imagery.This is probably of interest to fans of this particular genre, but not to horror fans in general. If you want a good scare, you won't find much here, especially if you are accustomed to CGI, and Blue-Ray/hi-def etc etc. you will likely be frustrated by the poor quality. But if you're like me and you grew up watching low-fi stuff, you might have some fun with this.Also, Darren McGavin's cliched yet fun gumshoe act saves the day; his personality really carries this show.Post-script: I have re-watched more of this and how could I have only given it 3 stars? This is the bomb. Sure, it's not quite scary but so entertaining and it has that weird early 70s feel to it; my inner child squeals with glee watching stuff that was so hard to get permission to watch when I was little. It was also pretty risque for its time- lots of hookers, massage parlors, etc. This is sort of like ""Streets of San francisco meets Night Gallery."". TV has not been this great since; the era just had its own feel that can't be replicated. Also, I find the lack of gore a relief from the gross-outs on TV now. What would've been an R movie in the 70s is on Criminal Minds (which I like) and CSI all the time. It just gets disgusting, stressful, and a little too close to the sickness of the real world to be entertaining. This show is so removed from reality that it's pure joy.The snappy dialogue is also very fun; and again, Darren McGavin is perfect, even if they never gave him more than one suit to wear. It's also interesting that McGavin was a noir actor, and his boss was the Dr. in ""Psycho"", so they bring pedigree to what could've been a really bad show had it been handled wrong.I am loving and cherishing this!",5,70s fans and kitsch fans will love this- a delight,1338768000,"06 4, 2012",2012,2738,"['remember', 'kid', 'may', 'find', 'fun', 'trip', 'down', 'memory', 'lane', 'However', 'have', 'said', 'sometimes', 'people', 'wonder', 'should', ""'ve"", 'left', 'memories', 'past', 'not', 'revisited', 'what', 'scared', 'age', '5', 'films', 'will', 'appear', 'stupid', 'bad', 'adult', 'nostalgic', 'dilemma', 'always', 'enjoy', 'regressing', '70s', 'badness', 'will', 'appeal', 'also', 'proof', 'old', 'rule', 'what', 'do', ""n't"", 'see', 'scarier', 'what', 'do-', 'are', 'dumb', 'effects', 'here', 'are', 'laughable.Also', 'very', 'dark', 'literally', 'do', ""n't"", 'know', 'due', 'poor', 'transfer', 'others', 'have', 'complained', 'partly', 'due', 'fact', 'was', 'likely', 'photographed', 'very', 'dark', 'lighting', 'spooky', 'effect', 'limitations', 'times', 'budgets', 'produced', 'flat', 'effect', 'visually', 'can', 'see', 'how', 'dark', 'photography', 'also', 'influenced', 'thematic', 'offspring', 'X', 'Files', 'where', 'photography', 'technology', 'was', 'miles', 'technically', 'get', 'much', 'more', 'depth', 'field', 'complexity', 'imagery.This', 'probably', 'interest', 'fans', 'particular', 'genre', 'not', 'horror', 'fans', 'general', 'want', 'good', 'scare', 'wo', ""n't"", 'find', 'much', 'here', 'especially', 'are', 'accustomed', 'CGI', 'Blue-Ray/hi-def', 'etc', 'etc', 'will', 'likely', 'be', 'frustrated', 'poor', 'quality', ""'re"", 'grew', 'up', 'watching', 'low-fi', 'stuff', 'might', 'have', 'fun', 'this.Also', 'Darren', 'McGavin', 'cliched', 'yet', 'fun', 'gumshoe', 'act', 'day', 'personality', 'really', 'show.Post-script', 'have', 're-watched', 'more', 'how', 'could', 'have', 'only', 'given', '3', 'stars', 'bomb', 'Sure', 'not', 'quite', 'scary', 'so', 'entertaining', 'weird', 'early', '70s', 'feel', 'inner', 'child', 'squeals', 'glee', 'watching', 'stuff', 'was', 'so', 'hard', 'get', 'permission', 'watch', 'when', 'was', 'little', 'was', 'also', 'pretty', 'risque', 'time-', 'lots', 'hookers', 'massage', 'parlors', 'etc', 'sort', 'Streets', 'San', 'francisco', 'meets', 'Night', 'Gallery.', 'TV', 'not', 'been', 'great', 'era', 'just', 'had', 'own', 'feel', 'ca', ""n't"", 'be', 'replicated', 'Also', 'find', 'lack', 'gore', 'relief', 'gross-outs', 'TV', 'now', 'What', 'would', ""'ve"", 'been', 'R', 'movie', '70s', 'Criminal', 'Minds', 'like', 'CSI', 'time', 'just', 'disgusting', 'stressful', 'little', 'too', 'close', 'sickness', 'real', 'world', 'be', 'entertaining', 'show', 'so', 'removed', 'reality', 'pure', 'joy.The', 'snappy', 'dialogue', 'also', 'very', 'fun', 'again', 'Darren', 'McGavin', 'perfect', 'even', 'never', 'gave', 'more', 'one', 'suit', 'wear', 'also', 'interesting', 'McGavin', 'was', 'noir', 'actor', 'boss', 'was', 'Dr.', 'Psycho', 'bring', 'pedigree', 'what', 'could', ""'ve"", 'been', 'really', 'bad', 'show', 'had', 'been', 'handled', 'wrong.I', 'am', 'loving', 'cherishing']",N/A
933475,A8SPPHKETDZ41,B000ATQYWY,barbre,"[0, 0]","I've been waiting to see uncut episodes of the Night Stalker for years.  The reruns on TV kept cutting the best parts of the show out.Now we can see the entire short lived series.  Four stars for getting it to DVD.  However, there is no commentary or bonus features on the DVD set.  Also, they crammed the episodes on double sided DVDs making it more important to protect them from damage.This IS the Night Stalker.  I credit the 'new' series for only one thing...getting this DVD set into production.  If you watch these you'll realize how bad the new series is.Favorite line:  I'll have to come down on you like a ton of [chicken blood]?",4,About time...,1129248000,"10 14, 2005",2005,639,"[""'ve"", 'been', 'waiting', 'see', 'uncut', 'episodes', 'Night', 'Stalker', 'years', 'reruns', 'TV', 'kept', 'cutting', 'best', 'parts', 'show', 'can', 'see', 'entire', 'short', 'lived', 'series', 'Four', 'stars', 'getting', 'DVD', 'However', 'commentary', 'bonus', 'features', 'DVD', 'set', 'Also', 'crammed', 'episodes', 'double', 'sided', 'DVDs', 'making', 'more', 'important', 'protect', 'damage.This', 'Night', 'Stalker', 'credit', ""'new"", 'series', 'only', 'one', 'thing', 'getting', 'DVD', 'set', 'production', 'watch', ""'ll"", 'realize', 'how', 'bad', 'new', 'series', 'is.Favorite', 'line', ""'ll"", 'have', 'come', 'down', 'ton', '[', 'chicken', 'blood', ']']",N/A
