,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
942869,A36JO8IHKYBMMJ,B000BITUX4,Bart Motes,"[0, 0]","From an ugly palette of ghetto life--pimping, dealing, and violence--writer-director Craig Brewer, star Terrence Dashon Howard, and the talented supporting cast have created a compelling and often beautiful portrait of desperation and hope. The product is not a film that glorifies pimping, that degrades women, or even that glamorizes rap music. Instead, it is an archetypal story of trying to make it against all odds. This has led to critics sneering at Hustle & Flow's cliched storyline, but the sneers are too quick and misguided. The story arc may be conventional, but it's the boldness of the vision as a whole--capturing the truth of Memphis and DJay's life--and plotting it out with the necessary commercial compromises to make it happen. The film deserves more than knee-jerk dismissal on grounds of being a retread, portraying blacks poorly, or being evil towards women. These criticisms can be briefly addressed. Quick name all the movies that deal with a sensitive pimp trying to get out of poverty. As far as the portrayal of blacks, there are a number of very positive portrayals, from the character of the producer Keith, to the choir singer who inspires DJay, even the bar owner who encourages DJay. And ultimately, it's a movie about a pimp. It's hard to have a strong female character in a movie about a pimp. But note that Shug provides the hook for DJay's song and Nola is crucial too.This dirty-beautiful movie should not be prejudged, it should be savored. It has something to say to anyone who has a dream and is trying to make it. Very compelling and far too short.Quick facts:--Craig Brewer's wife worked as a stripper for two years.--Terrence Howard says he doesn't like rap music because it is violent and he doesn't listen to it or allow his children to listen to it.--The executive producer of the film is a woman.",5,Dirty-beautiful,1123545600,"08 9, 2005",2005,1844,"['ugly', 'palette', 'ghetto', 'life', 'pimping', 'dealing', 'violence', 'writer-director', 'Craig', 'Brewer', 'star', 'Terrence', 'Dashon', 'Howard', 'talented', 'supporting', 'cast', 'have', 'created', 'compelling', 'often', 'beautiful', 'portrait', 'desperation', 'hope', 'product', 'not', 'film', 'pimping', 'women', 'even', 'rap', 'music', 'Instead', 'archetypal', 'story', 'trying', 'make', 'odds', 'led', 'critics', 'sneering', 'Hustle', 'Flow', 'cliched', 'storyline', 'sneers', 'are', 'too', 'quick', 'misguided', 'story', 'arc', 'may', 'be', 'conventional', 'boldness', 'vision', 'whole', 'capturing', 'truth', 'Memphis', 'DJay', 'life', 'plotting', 'necessary', 'commercial', 'compromises', 'make', 'happen', 'film', 'more', 'knee-jerk', 'dismissal', 'grounds', 'being', 'retread', 'portraying', 'blacks', 'poorly', 'being', 'evil', 'towards', 'women', 'criticisms', 'can', 'be', 'briefly', 'addressed', 'Quick', 'name', 'movies', 'deal', 'sensitive', 'pimp', 'trying', 'get', 'poverty', 'As', 'far', 'portrayal', 'blacks', 'are', 'number', 'very', 'positive', 'portrayals', 'character', 'producer', 'Keith', 'choir', 'singer', 'who', 'DJay', 'even', 'bar', 'owner', 'who', 'DJay', 'ultimately', 'movie', 'pimp', 'hard', 'have', 'strong', 'female', 'character', 'movie', 'pimp', 'note', 'Shug', 'hook', 'DJay', 'song', 'Nola', 'crucial', 'too.This', 'dirty-beautiful', 'movie', 'should', 'not', 'be', 'prejudged', 'should', 'be', 'savored', 'something', 'say', 'anyone', 'who', 'dream', 'trying', 'make', 'Very', 'compelling', 'far', 'too', 'short.Quick', 'facts', 'Craig', 'Brewer', 'wife', 'worked', 'stripper', 'two', 'years.', 'Terrence', 'Howard', ""n't"", 'like', 'rap', 'music', 'violent', ""n't"", 'listen', 'allow', 'children', 'listen', 'it.', 'executive', 'producer', 'film', 'woman']",Hustle & Flow
942870,AR37967IAR6ZT,B000BITUX4,Benjamin,"[62, 70]","HUSTLE & FLOW, which I saw last night, is a terrific movie, both gritty and a hell of a lot of fun. Terrence Howard is terrific as DJay, a Memphis pimp with a dream of recording a rap demo. The supporting cast is really strong. The movie has one of the best screenplays I've seen in a while, too. Though there are stereotypical characters, nothing turns out the way you'd expect, and the dialogue and soundtrack are excellent. The good reviews this has received are deserved. HUSTLE & FLOW is a great movie.For me, the entire movie was worth seeing just for the lava lamp scene.",5,Terrific movie.,1121990400,"07 22, 2005",2005,578,"['HUSTLE', 'FLOW', 'saw', 'last', 'night', 'terrific', 'movie', 'gritty', 'hell', 'lot', 'fun', 'Terrence', 'Howard', 'terrific', 'DJay', 'Memphis', 'pimp', 'dream', 'recording', 'rap', 'demo', 'supporting', 'cast', 'really', 'strong', 'movie', 'one', 'best', 'screenplays', ""'ve"", 'seen', 'while', 'too', 'are', 'stereotypical', 'characters', 'nothing', 'out', 'way', ""'d"", 'expect', 'dialogue', 'soundtrack', 'are', 'excellent', 'good', 'reviews', 'received', 'are', 'deserved', 'HUSTLE', 'FLOW', 'great', 'movie.For', 'entire', 'movie', 'was', 'worth', 'seeing', 'just', 'lava', 'lamp', 'scene']",Hustle & Flow
942871,A3BEF4IHWI0VC,B000BITUX4,Chris Luallen,"[7, 9]","This movie does several things really well. First of all, the acting is excellent, especially Terence Howard. Also the film has a raw and gritty quality in its portrait of Memphis street life. Finally, the story moves along at rapid pace. I was not bored by this movie.However, where the movie goes wrong is in its attempt to turn DJay into some sort of ""up from the gutter"" hero along the lines of the ""Rocky"" movies. DJay does have some good qualities. But the bottom line is that he is a pimp, a man he makes his living off the abuse and exploitation of women. In another incident, DJay throws his toddler-age son out of the house after having an argument with the mother - an unforgivable action. Finally, in the movie's climax, DJ pistol whips and possibly kills Skinny B, a more famous rapper that DJay was hoping would help him out, for throwing his tape in the toilet while in a drunken stupor. DJay does have his dream of becoming a rap star. But where the movie becomes absurd is in its depiction of DJay finding meaning in his life through the discovery of his ""artistic voice."" So-called ""gangster rap"" was at least new and provocative, though still sexist and violent, when NWA and others first came out around 15 years ago. But this music genre has been done to death and DJay is adding nothing new with songs like ""Whup That Trick"". He's only looking to become rich and famous rather than having to find a real job like the rest of us.I am all for ""keeping it real"" and if this movie was intended only as an accurate depiction of the life of a Memphis street hustler wanna-be rapper then I would say it was successful. But instead they try to show DJay as a heroic charcter struggling to achieve his dream. DJay is actually a tragedy rather than a hero and for that reason the movie fails.But what bothered me more than the movie itself was reading a review by the famous critic Roger Ebert. Ebert goes on at great length about how DJay is a victim of his circumstances who in another life might be running for Congress. To me this shows a huge disrespect to all the people out there, African-American and otherwise, who have come up from a difficult background. But still manage to be decent and responsible citizens who work hard and support their families. My wife grew up with 13 siblings in the country of Ecuador, living in worse poverty than most Americans can even imagine. But she choose to do something better with her life than become a criminal. DJay lives like he does not because he is a ""victim."" But because he has made wrong decisions in his life. There is nothing cool or heroic about being a pimp. But this movie, along with other aspects of popular culture, continue to glorify it as an exciting alternative to the real world. We have to do better!",2,DJay is not a hero,1122249600,"07 25, 2005",2005,2783,"['movie', 'several', 'things', 'really', 'well', 'First', 'all', 'acting', 'excellent', 'especially', 'Terence', 'Howard', 'Also', 'film', 'raw', 'gritty', 'quality', 'portrait', 'Memphis', 'street', 'life', 'Finally', 'story', 'along', 'rapid', 'pace', 'was', 'not', 'bored', 'movie.However', 'where', 'movie', 'wrong', 'attempt', 'turn', 'DJay', 'sort', 'gutter', 'hero', 'lines', 'Rocky', 'movies', 'DJay', 'have', 'good', 'qualities', 'bottom', 'line', 'pimp', 'man', 'living', 'off', 'abuse', 'exploitation', 'women', 'incident', 'DJay', 'toddler-age', 'son', 'house', 'having', 'argument', 'mother', 'unforgivable', 'action', 'Finally', 'movie', 'climax', 'DJ', 'whips', 'possibly', 'kills', 'Skinny', 'B', 'more', 'famous', 'rapper', 'DJay', 'was', 'hoping', 'would', 'help', 'out', 'throwing', 'tape', 'toilet', 'drunken', 'stupor', 'DJay', 'have', 'dream', 'becoming', 'rap', 'star', 'where', 'movie', 'absurd', 'depiction', 'DJay', 'finding', 'meaning', 'life', 'discovery', 'artistic', 'voice', 'So-called', 'gangster', 'rap', 'was', 'least', 'new', 'provocative', 'still', 'sexist', 'violent', 'when', 'NWA', 'others', 'first', 'came', 'out', '15', 'years', 'ago', 'music', 'genre', 'been', 'done', 'death', 'DJay', 'adding', 'nothing', 'new', 'songs', 'Whup', 'Trick', 'only', 'looking', 'become', 'rich', 'famous', 'rather', 'having', 'find', 'real', 'job', 'rest', 'us.I', 'am', 'keeping', 'real', 'movie', 'was', 'intended', 'only', 'accurate', 'depiction', 'life', 'Memphis', 'street', 'hustler', 'wanna-be', 'rapper', 'then', 'would', 'say', 'was', 'successful', 'instead', 'try', 'show', 'DJay', 'heroic', 'charcter', 'struggling', 'achieve', 'dream', 'DJay', 'actually', 'tragedy', 'rather', 'hero', 'reason', 'movie', 'what', 'bothered', 'more', 'movie', 'was', 'reading', 'review', 'famous', 'critic', 'Roger', 'Ebert', 'Ebert', 'great', 'length', 'how', 'DJay', 'victim', 'circumstances', 'who', 'life', 'might', 'be', 'running', 'Congress', 'huge', 'disrespect', 'people', 'there', 'African-American', 'otherwise', 'who', 'have', 'come', 'up', 'difficult', 'background', 'still', 'manage', 'be', 'decent', 'responsible', 'citizens', 'who', 'work', 'hard', 'support', 'families', 'wife', 'grew', 'up', '13', 'siblings', 'country', 'Ecuador', 'living', 'worse', 'poverty', 'most', 'Americans', 'can', 'even', 'imagine', 'choose', 'do', 'something', 'better', 'life', 'become', 'criminal', 'DJay', 'not', 'victim', 'made', 'wrong', 'decisions', 'life', 'nothing', 'cool', 'heroic', 'being', 'pimp', 'movie', 'other', 'aspects', 'popular', 'culture', 'continue', 'glorify', 'exciting', 'alternative', 'real', 'world', 'have', 'do', 'better']",Hustle & Flow
942872,A461VTLW9G9YB,B000BITUX4,Dance Dance Dance,"[0, 9]","This movie is possibly the worst movie I have ever seen. Terrance Howard is a great actor normally. He must have been STARVING when he agreed to do this movie. Worst plot I have ever seen. Horrible movie. Ugly strippers, horrible acting. Every thing about this movie is a joke.",1,a long time ago,1127088000,"09 19, 2005",2005,277,"['movie', 'possibly', 'worst', 'movie', 'have', 'ever', 'seen', 'Terrance', 'Howard', 'great', 'actor', 'normally', 'must', 'have', 'been', 'STARVING', 'when', 'agreed', 'do', 'movie', 'Worst', 'plot', 'have', 'ever', 'seen', 'Horrible', 'movie', 'Ugly', 'strippers', 'horrible', 'acting', 'Every', 'thing', 'movie', 'joke']",Hustle & Flow
942873,A9I40WFF40R4,B000BITUX4,"H. F. Corbin ""Foster Corbin""","[4, 5]","Just when it seemed the movie season was as stagnant as the weather, another great one pops up. HUSTLE & FLOW stars Terrence Howard, last seen in a totally different role in CRASH, as a pimp who dreams of becoming a rapper. ""Everyone should have a dream,"" he says. The film is gritty and in your face but very well directed, acted and filmed. The entire cast gives great performances although the movie ultimately belongs to Howard who is in practically every frame. He is sure to be nominated for an Oscar for best actor.Filmed in Memphis, the movie does not have one dishonest frame. While it may not be for the squeamish, the rest of us are glad we saw it. Oh, near the beginning of the film soprano Jennifer Byneum does a wonderful rendition of the spiritual ""Changed Mah Name."" Hearing that song, which makes Howard cry, convinces him to follow his dream. There is also a kiss between Howard and his pregnant girl friend that is steamier than an August afternoon in any Southern state.",5,"Gritty, Raw, Fantastic Movie",1122940800,"08 2, 2005",2005,990,"['Just', 'when', 'seemed', 'movie', 'season', 'was', 'as', 'stagnant', 'weather', 'great', 'one', 'up', 'HUSTLE', 'FLOW', 'Terrence', 'Howard', 'last', 'seen', 'totally', 'different', 'role', 'CRASH', 'pimp', 'who', 'becoming', 'rapper', 'Everyone', 'should', 'have', 'dream', 'film', 'gritty', 'face', 'very', 'well', 'directed', 'acted', 'filmed', 'entire', 'cast', 'great', 'performances', 'movie', 'ultimately', 'Howard', 'who', 'practically', 'frame', 'sure', 'be', 'nominated', 'Oscar', 'best', 'actor.Filmed', 'Memphis', 'movie', 'not', 'have', 'one', 'dishonest', 'frame', 'may', 'not', 'be', 'squeamish', 'rest', 'are', 'glad', 'saw', 'Oh', 'beginning', 'film', 'soprano', 'Jennifer', 'Byneum', 'wonderful', 'rendition', 'spiritual', 'Changed', 'Mah', 'Name', 'Hearing', 'song', 'Howard', 'cry', 'follow', 'dream', 'also', 'kiss', 'Howard', 'pregnant', 'girl', 'friend', 'steamier', 'August', 'afternoon', 'Southern', 'state']",Hustle & Flow
942874,AZ5WK99NSFNRV,B000BITUX4,"Justin Maldonado ""JM""","[3, 3]","Every dog has his day. So is true with most actors. Hustle & Flow is Terrence Howard's day.He plays DJay, a pimp going through a mid-life crisis. He's 35, and has nothing to show for his life. He lives in a house with no air conditioning along with a pregnant Shug (Taraji P. Henson), skinny white Nola (Taryn Manning), and ungrateful Lexus (Paula Jai Parker). He runs into an old school pal Clyde (a surprisingly good Anthony Anderson), and convinces him to help him record some tracks for a demo he's hoping to hand over to Skinny Black (Chris ""Ludacris"" Bridges), a former school mate who is now a platinum rapper. By handing Skinny over the tape, DJay hopes he can make it big and finally leave behind his life of failure.Howard give an Oscar-nomination worthy performance in a role that requires a certain machismo yet a soul of pain and depth. He commands the screen with a power rarely seen.First time writer/director Craig Brewer gives us a story of inspiration, hope, persistence, courage, and passion. It may not be totally original, but it has a heart many films nowadays are missing, and unfolds in unexpected ways.I was absorbed by every second of this film. This is one of 2005's finest films.",5,"Ready, set,...'Flow'",1131494400,"11 9, 2005",2005,1207,"['dog', 'day', 'true', 'most', 'actors', 'Hustle', 'Flow', 'Terrence', 'Howard', 'day.He', 'DJay', 'pimp', 'going', 'mid-life', 'crisis', '35', 'nothing', 'show', 'life', 'house', 'air', 'conditioning', 'along', 'pregnant', 'Shug', 'Taraji', 'P.', 'Henson', 'skinny', 'white', 'Nola', 'Taryn', 'Manning', 'ungrateful', 'Lexus', 'Paula', 'Jai', 'Parker', 'old', 'school', 'pal', 'Clyde', 'surprisingly', 'good', 'Anthony', 'Anderson', 'help', 'record', 'tracks', 'demo', 'hoping', 'hand', 'Skinny', 'Black', 'Chris', 'Ludacris', 'Bridges', 'former', 'school', 'mate', 'who', 'now', 'platinum', 'rapper', 'handing', 'Skinny', 'tape', 'DJay', 'can', 'make', 'big', 'finally', 'leave', 'life', 'failure.Howard', 'give', 'Oscar-nomination', 'worthy', 'performance', 'role', 'certain', 'machismo', 'yet', 'soul', 'pain', 'depth', 'screen', 'power', 'rarely', 'seen.First', 'time', 'writer/director', 'Craig', 'Brewer', 'story', 'inspiration', 'hope', 'persistence', 'courage', 'passion', 'may', 'not', 'be', 'totally', 'original', 'heart', 'many', 'films', 'nowadays', 'are', 'missing', 'unfolds', 'unexpected', 'ways.I', 'was', 'absorbed', 'second', 'film', 'one', '2005', 'finest', 'films']",Hustle & Flow
942875,A6ADO7B6FUVN,B000BITUX4,"Kim Anehall ""www.cinematica.org""","[39, 52]","Memphis, Tennessee, is a location like any other where poverty and human struggle exist on any level.  Some, unfortunately, where born in rough situations while others might have been born with a gold spoon in their mouth.  Together with poverty ventures an undesirable travel companion known as criminality that spreads further dismay among the poor.  It does not necessarily mean that the poor are criminals, but through criminal activities youth often discover their chance to accomplish their materialistic dreams often induced from television.  The director Craig Brewer discloses his vision of a struggling pimp and drug dealer trying to find direction in his life while continue to hustle his business on others in Hustle & Flow.A lengthy introduction of the main character DJay (Terrence Dashon Howard) and his background opens Hustle & Flow, which intriguingly gives the audience an understanding for his situation.  It is obvious that DJay is a street smart and intelligent young man, as he in the initial scene gives an existential exposition on the nature of mankind related to his situation.  In the light of his philosophical notions one could understand why he is where he is in life, pimping and selling drugs in his neighborhood.  In addition, DJay does not get the feeling of satisfaction from his job, but it must be done as he seems to feel some form of responsibility to the women who work for him.  Instead DJay dreams of making music and rapping his lyrics, but has never taken the opportunity to try.DJay understands the simple functions of society, as people wish to themselves away from the poverty and never having to return to a life of poverty on any level whether it is a physical visit or through reminiscence.  The mindset of avoiding poverty sadly allows for very few, if ever any opportunities for the poor to get out of poverty.  However, an opportunity begins with a dream, which must be executed.  When DJay meets an old high school friend, Key (Anthony Anderson), he sees an opportunity, but Key is hesitant for the same reason many others are in regards to people in poverty.  Key gives DJay a lecture in walking the walk instead of talking the talk through which he wants DJay to understand to accomplish a dream requires much hard work.  DJay finds a way to convince Key that he intends to work hard in order to achieve his dream.Together DJay and Key begin to create a temporary home studio where they can record the music that they both love so much.  Key also brings in Shelby (DJ Qualls), a skinny guy from the church, who helps out creating a great sound to DJay's lyrics.  Much of the second act of the film revolves Key, Shelby, and DJay sitting in the studio trying to find the right sound and the right words to make a hit song.  In between rehearsals and musical exploration DJay finds himself pimping and selling drugs to raise the money to make his songs, but it is hard as he cannot raise much money.  Setbacks begin to affect DJay, and he must face his own demons through his insecurities and the fear of failing.  All aspects of DJay's life begin to affect his music making, but he must remain persistent, or he will fail.Hustle & Flow offers a truly terrific cinematic experience which deals with the notion of having dreams and hopes about the future.  Brewer takes this notion even one step further, as he explores the idea of fulfilling the dreams which requires a large amount of hard work.  Terrence Dashon Howard turns out to be the perfect actor for the part, as everything he does only makes the film better.  To understand the quality of talent that Howard possess, one should understand the vast number of characters that he has performed.  Recently, he was in Crash (2004) where he was a wonderful television producer and now comes across as a genuine pimp and drug dealer who has desires to becomes something else.",4,Everyone Has to Have Dreams...,1122163200,"07 24, 2005",2005,3883,"['Memphis', 'Tennessee', 'location', 'other', 'where', 'poverty', 'human', 'struggle', 'exist', 'level', 'unfortunately', 'where', 'born', 'rough', 'situations', 'others', 'might', 'have', 'been', 'born', 'gold', 'spoon', 'mouth', 'Together', 'poverty', 'ventures', 'undesirable', 'travel', 'companion', 'known', 'criminality', 'further', 'dismay', 'poor', 'not', 'necessarily', 'mean', 'poor', 'are', 'criminals', 'criminal', 'activities', 'youth', 'often', 'discover', 'chance', 'accomplish', 'materialistic', 'dreams', 'often', 'induced', 'television', 'director', 'Craig', 'Brewer', 'vision', 'struggling', 'pimp', 'drug', 'dealer', 'trying', 'find', 'direction', 'life', 'continue', 'hustle', 'business', 'others', 'Hustle', 'Flow.A', 'lengthy', 'introduction', 'main', 'character', 'DJay', 'Terrence', 'Dashon', 'Howard', 'background', 'Hustle', 'Flow', 'intriguingly', 'audience', 'understanding', 'situation', 'obvious', 'DJay', 'street', 'smart', 'intelligent', 'young', 'man', 'initial', 'scene', 'existential', 'exposition', 'nature', 'mankind', 'related', 'situation', 'light', 'philosophical', 'notions', 'one', 'could', 'understand', 'why', 'where', 'life', 'pimping', 'selling', 'drugs', 'neighborhood', 'addition', 'DJay', 'not', 'get', 'feeling', 'satisfaction', 'job', 'must', 'be', 'done', 'feel', 'form', 'responsibility', 'women', 'who', 'work', 'Instead', 'DJay', 'dreams', 'making', 'music', 'rapping', 'lyrics', 'never', 'taken', 'opportunity', 'try.DJay', 'understands', 'simple', 'functions', 'society', 'people', 'wish', 'away', 'poverty', 'never', 'having', 'return', 'life', 'poverty', 'level', 'physical', 'visit', 'reminiscence', 'mindset', 'avoiding', 'poverty', 'sadly', 'very', 'few', 'ever', 'opportunities', 'poor', 'get', 'poverty', 'However', 'opportunity', 'dream', 'must', 'be', 'executed', 'When', 'DJay', 'old', 'high', 'school', 'friend', 'Key', 'Anthony', 'Anderson', 'opportunity', 'Key', 'hesitant', 'same', 'reason', 'many', 'others', 'are', 'regards', 'people', 'poverty', 'Key', 'DJay', 'lecture', 'walking', 'walk', 'instead', 'talking', 'talk', 'DJay', 'understand', 'accomplish', 'dream', 'much', 'hard', 'work', 'DJay', 'way', 'convince', 'Key', 'work', 'hard', 'order', 'achieve', 'dream.Together', 'DJay', 'Key', 'begin', 'create', 'temporary', 'home', 'studio', 'where', 'can', 'record', 'music', 'love', 'so', 'much', 'Key', 'also', 'Shelby', 'DJ', 'Qualls', 'skinny', 'guy', 'church', 'who', 'out', 'creating', 'great', 'sound', 'DJay', 'lyrics', 'Much', 'second', 'act', 'film', 'Key', 'Shelby', 'DJay', 'sitting', 'studio', 'trying', 'find', 'right', 'sound', 'right', 'words', 'make', 'hit', 'song', 'rehearsals', 'musical', 'exploration', 'DJay', 'pimping', 'selling', 'drugs', 'raise', 'money', 'make', 'songs', 'hard', 'can', 'not', 'raise', 'much', 'money', 'Setbacks', 'begin', 'affect', 'DJay', 'must', 'face', 'own', 'demons', 'insecurities', 'fear', 'failing', 'aspects', 'DJay', 'life', 'begin', 'affect', 'music', 'making', 'must', 'remain', 'persistent', 'will', 'fail.Hustle', 'Flow', 'truly', 'terrific', 'cinematic', 'experience', 'notion', 'having', 'dreams', 'future', 'Brewer', 'notion', 'even', 'one', 'step', 'further', 'idea', 'fulfilling', 'dreams', 'large', 'amount', 'hard', 'work', 'Terrence', 'Dashon', 'Howard', 'out', 'be', 'perfect', 'actor', 'part', 'everything', 'only', 'film', 'better', 'understand', 'quality', 'talent', 'Howard', 'possess', 'one', 'should', 'understand', 'vast', 'number', 'characters', 'performed', 'Recently', 'was', 'Crash', '2004', 'where', 'was', 'wonderful', 'television', 'producer', 'now', 'across', 'genuine', 'pimp', 'drug', 'dealer', 'who', 'desires', 'becomes', 'something', 'else']",Hustle & Flow
942876,A1CDZNPO7U4E6N,B000BITUX4,LadyLestat,"[6, 8]","The first thing I have to say is that some people really need to learn how to accept entertainment for what it is ""ENTERTAINMENT"". I've been reading reviews with people complaining about the subject matter of the movie, but if that's the case they should've gone to see ""Bewitched"" or some crap like. This movie is about a black man in the ""Dirty South"" hustling (you can't knock the hustle) by any means necessary to make his dream happen. Any means being, prostitution, stripping, selling weed, braiding hair, shooting dice, or selling your demos out the trunk of your car. Everybody got a hustle of some kind. This movie is real, and if you aren't from the streets, or the hood, then you won't feel or understand why this movie is so good to others. This movie will go down as another hood classic like so many of the other ones before it (which I won't name them all) I thought that the crunk music in this movie was awesome, and Terrance Howard did a great job of delivering it, and still making it seem believable at the same time. I'm so glad that Terrance is finally blowing up after all this time, and it's about time he got a chance.",5,AWESOME!,1125878400,"09 5, 2005",2005,1143,"['first', 'thing', 'have', 'say', 'people', 'really', 'need', 'learn', 'how', 'accept', 'entertainment', 'what', 'ENTERTAINMENT', ""'ve"", 'been', 'reading', 'reviews', 'people', 'complaining', 'subject', 'matter', 'movie', 'case', 'should', ""'ve"", 'gone', 'see', 'Bewitched', 'crap', 'movie', 'black', 'man', 'Dirty', 'South', 'hustling', 'ca', ""n't"", 'knock', 'hustle', 'means', 'necessary', 'make', 'dream', 'happen', 'means', 'being', 'prostitution', 'stripping', 'selling', 'weed', 'braiding', 'hair', 'shooting', 'dice', 'selling', 'demos', 'trunk', 'car', 'Everybody', 'got', 'hustle', 'kind', 'movie', 'real', 'are', ""n't"", 'streets', 'hood', 'then', 'wo', ""n't"", 'feel', 'understand', 'why', 'movie', 'so', 'good', 'others', 'movie', 'will', 'go', 'down', 'as', 'hood', 'classic', 'so', 'many', 'other', 'ones', 'wo', ""n't"", 'name', 'thought', 'crunk', 'music', 'movie', 'was', 'awesome', 'Terrance', 'Howard', 'did', 'great', 'job', 'delivering', 'still', 'making', 'seem', 'believable', 'same', 'time', ""'m"", 'so', 'glad', 'Terrance', 'finally', 'blowing', 'up', 'time', 'time', 'got', 'chance']",Hustle & Flow
942877,A21QD0BWS0GWC3,B000BITUX4,L. Shelton,"[5, 14]","Terrence Howard just starred in his first and last feature role. What a disappointment; I am shocked that this movie was as bad as it was. DJay in this movie is the lead character, yet he's a despicable piece of garbage who can't rap and is a pimp. Yep a no-good pimp who murders rivals and exploits women. DJay is not at all likeable; who wants to see a no-good loser make it anyway? Where are the movies showing brothers making it out of the ghetto as doctors or lawyers? There are 100x more of them out there, yet the media loves to lionize 'hustlas' like this loser DJay. What a load of garbage. An easily forgettable flick.",1,"Pitiful uninteresting acting, tired story",1122336000,"07 26, 2005",2005,628,"['Terrence', 'Howard', 'just', 'starred', 'first', 'last', 'feature', 'role', 'What', 'disappointment', 'am', 'shocked', 'movie', 'was', 'as', 'bad', 'was', 'DJay', 'movie', 'lead', 'character', 'despicable', 'piece', 'garbage', 'who', 'ca', ""n't"", 'rap', 'pimp', 'Yep', 'no-good', 'pimp', 'who', 'rivals', 'exploits', 'women', 'DJay', 'not', 'likeable', 'who', 'see', 'no-good', 'loser', 'make', 'anyway', 'Where', 'are', 'movies', 'showing', 'brothers', 'making', 'ghetto', 'doctors', 'lawyers', 'are', '100x', 'more', 'there', 'media', 'lionize', ""'hustlas"", 'loser', 'DJay', 'What', 'load', 'garbage', 'easily', 'forgettable', 'flick']",Hustle & Flow
942878,A2FOZVHA7922QG,B000BITUX4,mark twain,"[5, 25]","blech. z-list 'stars'. stupid ideas, cra##y music. i want my money and time back dammit. an absolute waste.avoid",1,this movie blows,1121990400,"07 22, 2005",2005,112,"['blech', 'z-list', ""'stars"", 'stupid', 'ideas', 'cra', 'y', 'music', 'i', 'want', 'money', 'time', 'back', 'dammit', 'absolute', 'waste.avoid']",Hustle & Flow
