,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
957316,A35R8PJSEURHHF,B000CDGVOY,Aaron Merkel,"[1, 1]","I rented this movie and while watching it I remembered I had already seen this years ago.  Maybe back then the CGI effects were amazing, but no one would think the same thing today.  The story moves along at a fast pace and there are some moments of emotion. Overall, fun to watch and laugh at the wierd story and CGI effects.  Worth a rent only.",3,Eh,1142812800,"03 20, 2006",2006,346,"['rented', 'movie', 'watching', 'remembered', 'had', 'already', 'seen', 'years', 'ago', 'Maybe', 'back', 'then', 'CGI', 'effects', 'were', 'amazing', 'one', 'would', 'think', 'same', 'thing', 'today', 'story', 'along', 'fast', 'pace', 'are', 'moments', 'emotion', 'Overall', 'fun', 'watch', 'laugh', 'wierd', 'story', 'CGI', 'effects', 'rent', 'only']",N/A
957317,A3PIPHWD45VOGI,B000CDGVOY,Ace-of-Stars,"[72, 84]","*[[IMPORTANT NOTE!: Amazon has regretably been combining ''ALL'' of the reviews of the two different films mentioned in this review-- ""THE LEGEND OF ZU"" and ""ZU WARRIORS"" --into one lump group of reviews (extremely confusing & annoying!). So please be aware -- If you are reading this review on the ""THE LEGEND OF ZU"" (""China Star"") import DVD page, that this is a review of the (""Miramax"") 'Region-1' DVD, ""ZU WARRIORS"" and that this review does not apply to the import DVD.]]*It should come as no great surprise that MIRAMAX is in the habit of destroying decent films -- (they have routinely overstepped their bounds of reasoning ever since the company was bought out by DISNEY all those many years ago). Add THIS movie to that long list!""ZU WARRIORS"" is a ""hack & attack"" piece of ""re-editing"" of the ORIGINAL Hong Kong version of this film, ""THE LEGEND OF ZU"" (which is the official English ""dual title"" to its original Cantonese title, ""SUK SAAN CHUEN"" (trans.: ""Zu Mountain Legend"").Not only did the ""brains"" at ""DISNAMAX"" needlessly change the title, but they went so far as to change it in such a way that would allow it to become easily confused with an earlier Tsui Hark movie about the ""Zu"" legend called, ""ZU: WARRIORS OF THE MAGIC MOUNTAIN"" (dual Cantonese title, ""SUK SAAN: SUN SUK SAAN GEEN HAP"" - trans.: ""Zu Mountain: New Zu Mountain Sword Heroes"") -- a couple of unfortunate examples of just how much damage this ""name change"" caused can be readily discerned from the Amazon ""customer reviews"" of this film by ""Mojo Jojo"" from Dallas and the reviewer calling him/herself ""Bumbo clot,"" both of whom clearly having never seen this film but are very familiar with that earlier film: so as a result they both attribute things related to that earlier movie over to this one -- things which have no relevance to this newer film whatsoever; ""Bumbo"" even going so far as to apply that first movie's original titles to this one! (Sorry ""Jojo"" and ""Bumbo,"" but it was not my intention to pick on you, but merely to show just how easily ""Disney/Miramax"" set everyone up to be so effortlessly misled -- it was THEIR fault for changing the title in the way they did, NOT your fault for being caught off guard because of it! That's the only point I'm trying to make by using your reviews as examples, and I only picked yours to highlight simply because they were the first of however-many that are likely to follow that were posted.)In addition to this, if there is one thing I have learned about American film distributors, it is that whenever they change the title of a ""foreign"" film-- ESPECIALLY one from Asia --you can reasonably expect that they have changed other more IMPORTANT things about the actual content of the movie itself. And, sure enough....This ""hack job"" version of ""The Legend of Zu"" was so bad that it had been left sitting on the distributors' shelves for several years after they had ""test screened"" it on at least one occasion (some sources say a couple of them) and found itself being booed right off of the court. No $#!T, Sherlock??? What did those geniuses at DISNAMAX honestly expect would be the audiences' reaction??? Rather than showing their test audiences the movie in its original 'unadulterated' form (then editing afterwards, if necessary), they instead insisted on showing their audience a version of the movie in which they had stripped out around 20 minutes worth of celluloid (from a movie that the larger number of viewers already find confusing enough as it is). They had also covered over the original actors' own voices with a ""dubbed"" English track (rarely a good idea for Asian movies). Then to top it all off (as if all that were not bad enough), they proceeded to engage in the same kind of sneaky and sleazy ""false marketing"" tactics that American film distributors have of late become unashamedly guilty of when marketing lesser-known Asian films to American audiences -- by ""giving credit"" where such credit is NOT DUE (for instance, such as when ""BANGKOK HAUNTED"" [""Pee Sam Baht"" - trans.: ""Three-Baht Ghost""] was credited as having been directed by ""Oxide and Danny Pang"" [the brothers who co-directed ""THE EYE""] when, in truth, ONLY a single 'vignette' of the entire movie had been directed by ""OXIDE"" Pang alone): In the case of ""ZU WARRIORS,"" the transgression comes in the form of an announcement or ""implication"" that the very lovely & popular ZHANG ZIYI is the ""STAR"" of this movie, when, in fact, hers is a very MINOR (almost peripheral) role!If you don't mind having your intelligence insulted by DISNAMAX, then go right ahead and waste $21 bucks on this diced & shreaded bastardization -- Lord knows you could just as easily waste it on something much worse! But if you are at all like me-- or like those 'test audience' members who PANNED this remolded abomination --and you really want to see this movie for what it was MEANT to be, your options are to find a ""region-compatible"" official release DVD from the Asian market, or snatching up any one of the many ""all-region"" pirate DVDs on eBay, or tracking down a VCD version -- all of which, in either case, will cost you CONSIDERABLY LESS MONEY than what Disney/Miramax is expecting you to shell out for their ""Region-1"" 'shicken-chit'.",1,"Another MIRAMAX ""Hack Job""! (Don't Say You Weren't Warned)",1135036800,"12 20, 2005",2005,5257,"['*', '[', '[', 'IMPORTANT', 'NOTE', 'Amazon', 'regretably', 'been', 'combining', 'reviews', 'two', 'different', 'films', 'mentioned', 'review', 'LEGEND', 'OF', 'ZU', 'ZU', 'WARRIORS', 'one', 'lump', 'group', 'reviews', 'extremely', 'confusing', 'annoying', 'please', 'be', 'aware', 'are', 'reading', 'review', 'THE', 'LEGEND', 'OF', 'ZU', 'China', 'Star', 'import', 'DVD', 'page', 'review', 'Miramax', ""'Region-1"", 'DVD', 'ZU', 'WARRIORS', 'review', 'not', 'apply', 'import', 'DVD', ']', ']', '*It', 'should', 'come', 'great', 'surprise', 'MIRAMAX', 'habit', 'destroying', 'decent', 'films', 'have', 'routinely', 'overstepped', 'bounds', 'reasoning', 'ever', 'company', 'was', 'bought', 'out', 'DISNEY', 'many', 'years', 'ago', 'Add', 'THIS', 'movie', 'long', 'list', 'ZU', 'WARRIORS', 'hack', 'attack', 'piece', 're-editing', 'ORIGINAL', 'Hong', 'Kong', 'version', 'film', 'LEGEND', 'OF', 'ZU', 'official', 'English', 'dual', 'title', 'original', 'Cantonese', 'title', 'SUK', 'SAAN', 'CHUEN', 'trans', 'Zu', 'Mountain', 'Legend', 'only', 'did', 'brains', 'DISNAMAX', 'needlessly', 'change', 'title', 'went', 'so', 'far', 'change', 'way', 'would', 'allow', 'become', 'easily', 'confused', 'earlier', 'Tsui', 'Hark', 'movie', 'Zu', 'legend', 'called', 'ZU', 'WARRIORS', 'THE', 'MAGIC', 'MOUNTAIN', 'dual', 'Cantonese', 'title', 'SUK', 'SAAN', 'SUN', 'SUK', 'SAAN', 'GEEN', 'HAP', 'trans', 'Zu', 'Mountain', 'New', 'Zu', 'Mountain', 'Sword', 'Heroes', 'couple', 'unfortunate', 'examples', 'just', 'how', 'much', 'damage', 'name', 'change', 'caused', 'can', 'be', 'readily', 'discerned', 'Amazon', 'customer', 'reviews', 'film', 'Mojo', 'Jojo', 'Dallas', 'reviewer', 'calling', 'Bumbo', 'clot', 'whom', 'clearly', 'having', 'never', 'seen', 'film', 'are', 'very', 'familiar', 'earlier', 'film', 'so', 'result', 'attribute', 'things', 'related', 'earlier', 'movie', 'one', 'things', 'have', 'relevance', 'newer', 'film', 'whatsoever', 'Bumbo', 'even', 'going', 'so', 'far', 'apply', 'first', 'movie', 'original', 'titles', 'one', 'Sorry', 'Jojo', 'Bumbo', 'was', 'not', 'intention', 'pick', 'merely', 'show', 'just', 'how', 'easily', 'Disney/Miramax', 'set', 'everyone', 'be', 'so', 'effortlessly', 'misled', 'was', 'THEIR', 'fault', 'changing', 'title', 'way', 'did', 'NOT', 'fault', 'being', 'caught', 'off', 'guard', 'only', 'point', ""'m"", 'trying', 'make', 'using', 'reviews', 'examples', 'only', 'picked', 'yours', 'highlight', 'simply', 'were', 'first', 'however-many', 'are', 'likely', 'follow', 'were', 'posted', 'addition', 'one', 'thing', 'have', 'learned', 'American', 'film', 'distributors', 'whenever', 'change', 'title', 'foreign', 'film', 'ESPECIALLY', 'one', 'Asia', 'can', 'reasonably', 'expect', 'have', 'changed', 'other', 'more', 'IMPORTANT', 'things', 'actual', 'content', 'movie', 'sure', 'enough', 'hack', 'job', 'version', 'Legend', 'Zu', 'was', 'so', 'bad', 'had', 'been', 'left', 'sitting', 'distributors', 'shelves', 'several', 'years', 'had', 'test', 'screened', 'least', 'one', 'occasion', 'sources', 'say', 'couple', 'found', 'being', 'booed', 'right', 'court', 'T', 'Sherlock', 'What', 'did', 'geniuses', 'DISNAMAX', 'honestly', 'expect', 'would', 'be', 'audiences', 'reaction', 'Rather', 'showing', 'test', 'movie', 'original', ""'unadulterated"", 'form', 'then', 'editing', 'afterwards', 'necessary', 'instead', 'insisted', 'showing', 'audience', 'version', 'movie', 'had', 'stripped', 'out', '20', 'minutes', 'celluloid', 'movie', 'larger', 'number', 'viewers', 'already', 'find', 'confusing', 'enough', 'had', 'also', 'covered', 'original', 'actors', 'own', 'voices', 'dubbed', 'English', 'track', 'rarely', 'good', 'idea', 'Asian', 'movies', 'Then', 'top', 'off', 'were', 'not', 'bad', 'enough', 'proceeded', 'engage', 'same', 'kind', 'sneaky', 'sleazy', 'false', 'marketing', 'tactics', 'American', 'film', 'distributors', 'have', 'late', 'become', 'unashamedly', 'guilty', 'when', 'marketing', 'lesser-known', 'Asian', 'films', 'American', 'audiences', 'giving', 'credit', 'where', 'such', 'credit', 'NOT', 'DUE', 'instance', 'such', 'when', 'BANGKOK', 'HAUNTED', 'Pee', 'Sam', 'Baht', 'trans', 'Three-Baht', 'Ghost', ']', 'was', 'credited', 'having', 'been', 'directed', 'Oxide', 'Danny', 'Pang', 'brothers', 'who', 'co-directed', 'EYE', ']', 'when', 'truth', 'ONLY', 'single', ""'vignette"", 'entire', 'movie', 'had', 'been', 'directed', 'OXIDE', 'Pang', 'alone', 'case', 'ZU', 'WARRIORS', 'transgression', 'form', 'announcement', 'implication', 'very', 'lovely', 'popular', 'ZHANG', 'ZIYI', 'STAR', 'movie', 'when', 'fact', 'hers', 'very', 'MINOR', 'almost', 'peripheral', 'role', 'do', ""n't"", 'mind', 'having', 'intelligence', 'insulted', 'DISNAMAX', 'then', 'go', 'right', 'ahead', 'waste', '21', 'bucks', 'diced', 'shreaded', 'bastardization', 'Lord', 'could', 'just', 'easily', 'something', 'much', 'worse', 'are', ""'test"", 'audience', 'members', 'who', 'PANNED', 'remolded', 'abomination', 'really', 'want', 'see', 'movie', 'what', 'was', 'MEANT', 'be', 'options', 'are', 'find', 'region-compatible', 'official', 'release', 'DVD', 'Asian', 'market', 'snatching', 'up', 'one', 'many', 'all-region', 'pirate', 'DVDs', 'eBay', 'tracking', 'down', 'VCD', 'version', 'case', 'will', 'cost', 'CONSIDERABLY', 'LESS', 'MONEY', 'what', 'Disney/Miramax', 'expecting', 'shell', 'out', 'Region-1', ""'shicken-chit""]",N/A
957318,A1N16EU00XJWRD,B000CDGVOY,Anibal Madeira,"[0, 0]","The premises for this film are all extremely attractive. Immortals that reincarnate and live in an Olympus style mountain look over the mortals and battle a fallen brother, reminiscing Melkor/Morgoth against the other Valar in the Silmarillion. And sacrifice and wisdom can lead the heroes through sorrowful sacrifices to ultimate victory against the odds.But the director filmed in such an accelerated state that this movie jumps from an action scene to another without pause leading to extremely basic dialogues, paper thin characters and confusing reincarnations. Sometimes there are scenes of exquisite beauty showing strong cinematographic skills by the professionals involved. That saves the movie from a one star rating.This saga needed more footage, maybe even a series, to become a true epic worthy of remembering.",2,This saga needs less caffeinne,1321574400,"11 18, 2011",2011,823,"['premises', 'film', 'are', 'extremely', 'attractive', 'Immortals', 'reincarnate', 'live', 'Olympus', 'style', 'mountain', 'look', 'mortals', 'battle', 'fallen', 'brother', 'reminiscing', 'Melkor/Morgoth', 'other', 'Valar', 'Silmarillion', 'sacrifice', 'wisdom', 'can', 'lead', 'heroes', 'sorrowful', 'sacrifices', 'ultimate', 'victory', 'odds.But', 'director', 'filmed', 'such', 'accelerated', 'state', 'movie', 'action', 'scene', 'pause', 'leading', 'extremely', 'basic', 'dialogues', 'paper', 'thin', 'characters', 'confusing', 'reincarnations', 'Sometimes', 'are', 'scenes', 'exquisite', 'beauty', 'showing', 'strong', 'cinematographic', 'skills', 'professionals', 'involved', 'movie', 'one', 'star', 'rating.This', 'saga', 'needed', 'more', 'footage', 'maybe', 'even', 'series', 'become', 'true', 'epic', 'worthy', 'remembering']",N/A
957319,AM9MWTO42TH2N,B000CDGVOY,Bob Emmerich,"[0, 0]","Came across this last night on KungFuHD and was more than pleasantly surprised. While this may be considered a remake of the 1983 original it was different enough that I didn't know. Yes, some character was sacrificed for CGI effects - this was all about the special effects. I saw the longer 1:47 subtitled version which was mostly non-stop action so I don't see how they could have have cut this down to 80 minutes and have ANY story left. As others have said it's like DBZ and Star Wars (new ones) with a hint of LoTR thrown in - the Evil guy was named Mordo.",5,"was great on HDTV, can't speak for the DVD",1206748800,"03 29, 2008",2008,562,"['Came', 'last', 'night', 'KungFuHD', 'was', 'more', 'pleasantly', 'surprised', 'may', 'be', 'considered', 'remake', '1983', 'original', 'was', 'different', 'enough', 'did', ""n't"", 'know', 'Yes', 'character', 'was', 'sacrificed', 'CGI', 'effects', 'was', 'special', 'effects', 'saw', 'longer', '1:47', 'subtitled', 'version', 'was', 'mostly', 'non-stop', 'action', 'do', ""n't"", 'see', 'how', 'could', 'have', 'have', 'cut', 'down', '80', 'minutes', 'have', 'ANY', 'story', 'left', 'others', 'have', 'said', 'DBZ', 'Star', 'Wars', 'new', 'ones', 'hint', 'LoTR', 'thrown', 'Evil', 'guy', 'was', 'named', 'Mordo']",N/A
957320,AINEXVPR5094O,B000CDGVOY,david,"[5, 7]","Dmuel is right, this is the remake of "" Zu;warriors of magic mountain'. They replaced Bridgette Lin with Cecillia Cheung, and put in the young stars such as Louis Koo, Ekin Cheng, Kelly Lin, and the infamous Sammo Hung. Zhang Ziyi is a cameo. Her role is so horrible that i think she should sue Tsui Hark for making her do it.anyway, the plot is simple, the ultimate good vs evil type of thing.in the beginning of the movie, Cecilia Chueng is Ekin's teacher. She gives him her weapon(which looks like moon and flies around) tellin him that fate will decide her life...then she gets attacked by the 'evil force' and dissappears....200 years later, the evil force comes back, this time even more stronger than ever. Sammo Hung, whom is the leader of the other clan that rules the Zu mountain, tells his apprentice, Louis Koo to fight the evil force with his friend Ekin. ........im sorry for not sayin their character name in the movie...it is exteremly hard to say or spell their name.visually, it was all right. some scenes were choppy like  when Sammo's clan were flying in the air, or Ceci and her friends' 'fusion' and when Ekin revives himself, but overall the special effects were crazy.i believe that the actors were asked not to 'act' in this movie, Cecilia chueng is a good actress, but she could not take the bridgette Lin's presence in the movie. Ekin tried too hard, Louis Koo.....not saying anything and wuts the point of Zhang Ziyi in the movie...saying ' i have to learn new moves' like 9 times....many critics criticzed this flim, but surpringly, i liked it. i suggest u wach the movie with caution....some will like it ..some will hate it",4,somewhat a surprise....,1019952000,"04 28, 2002",2002,1654,"['Dmuel', 'right', 'remake', 'Zu', 'warriors', 'magic', 'mountain', 'replaced', 'Bridgette', 'Lin', 'Cecillia', 'Cheung', 'put', 'young', 'stars', 'such', 'Louis', 'Koo', 'Ekin', 'Cheng', 'Kelly', 'Lin', 'infamous', 'Sammo', 'Hung', 'Zhang', 'Ziyi', 'cameo', 'role', 'so', 'horrible', 'i', 'think', 'should', 'sue', 'Tsui', 'Hark', 'making', 'do', 'it.anyway', 'plot', 'simple', 'ultimate', 'good', 'vs', 'evil', 'type', 'thing.in', 'beginning', 'movie', 'Cecilia', 'Chueng', 'Ekin', 'teacher', 'weapon', 'moon', 'flies', 'tellin', 'fate', 'will', 'decide', 'life', 'then', 'attacked', ""'evil"", 'force', 'dissappears', '.200', 'years', 'later', 'evil', 'force', 'back', 'time', 'even', 'more', 'stronger', 'ever', 'Sammo', 'Hung', 'whom', 'leader', 'other', 'clan', 'rules', 'Zu', 'mountain', 'apprentice', 'Louis', 'Koo', 'fight', 'evil', 'force', 'friend', 'Ekin', '..im', 'sorry', 'not', 'sayin', 'character', 'name', 'movie', 'exteremly', 'hard', 'say', 'spell', 'name.visually', 'was', 'right', 'scenes', 'were', 'choppy', 'when', 'Sammo', 'clan', 'were', 'flying', 'air', 'Ceci', 'friends', ""'fusion"", 'when', 'Ekin', 'special', 'effects', 'were', 'crazy.i', 'believe', 'actors', 'were', 'asked', 'not', ""'act"", 'movie', 'Cecilia', 'chueng', 'good', 'actress', 'could', 'not', 'take', 'bridgette', 'Lin', 'presence', 'movie', 'Ekin', 'tried', 'too', 'hard', 'Louis', 'Koo', 'saying', 'anything', 'point', 'Zhang', 'Ziyi', 'movie', 'saying', 'i', 'have', 'learn', 'new', 'moves', '9', 'times', '.many', 'critics', 'criticzed', 'flim', 'surpringly', 'i', 'liked', 'i', 'suggest', 'u', 'wach', 'movie', 'caution', '.some', 'will', 'like', '..some', 'will', 'hate']",N/A
957321,A14AQBT1D5AEIG,B000CDGVOY,D. Mueller,"[6, 7]","This is Tsui Hark's follow up to his 1983 ""Zu Warriors of the Magic Mountain"". While this film is visually dazzling, the earlier film is something of a visual treat in its own right. Unfortunately the sequel lacks the charm of the original, at least for me. While Legend of Zu certainly rivals the special effects ability that we've grown accustomed to from Hollywood, the story seems a bit empty. Zhang Ziyi's role is nearly a cameo--don't expect to see much of her. Still, I found the film entertaining and, if you like Asian cinema, it's worth a look.",4,Hong Kong rivals hollywood,1019001600,"04 17, 2002",2002,554,"['Tsui', 'Hark', 'follow', 'up', '1983', 'Zu', 'Warriors', 'Magic', 'Mountain', 'film', 'visually', 'dazzling', 'earlier', 'film', 'something', 'visual', 'treat', 'own', 'right', 'Unfortunately', 'sequel', 'charm', 'original', 'least', 'Legend', 'Zu', 'certainly', 'special', 'effects', 'ability', ""'ve"", 'grown', 'accustomed', 'Hollywood', 'story', 'bit', 'empty', 'Zhang', 'Ziyi', 'role', 'nearly', 'cameo', 'do', ""n't"", 'expect', 'see', 'much', 'Still', 'found', 'film', 'entertaining', 'like', 'Asian', 'cinema', 'look']",N/A
957322,A32AK8FOAZEPE2,B000CDGVOY,"JustAReader ""NoNeed2Comment""","[2, 8]","this is a ridiculous and clueless graphical junk! terrible! after watching it going mindlessly nowhere for 20 minutes, all of us, parents and teenagers, cursed loudly and decided to reject the dvd. WHAT A PIECE OF JUNK! we are very angry at the screenplay writer, director, the production and the release companies. acting? absolutely non-exist. pure computer generated junk so crappy that almost made us puke!",1,"hollow and meaningless graphic junk, deserve NO STAR!!",1143331200,"03 26, 2006",2006,410,"['ridiculous', 'clueless', 'graphical', 'junk', 'terrible', 'watching', 'going', 'mindlessly', 'nowhere', '20', 'minutes', 'parents', 'teenagers', 'cursed', 'loudly', 'decided', 'reject', 'dvd', 'WHAT', 'PIECE', 'OF', 'JUNK', 'are', 'very', 'angry', 'screenplay', 'writer', 'director', 'production', 'release', 'companies', 'acting', 'absolutely', 'non-exist', 'pure', 'computer', 'generated', 'junk', 'so', 'crappy', 'almost', 'made', 'puke']",N/A
957323,A2PBUYQ975Z92A,B000CDGVOY,Kerry Ryan Maloney,"[0, 0]",I thought that it was good but there could have been a lot more to the movie. The action sequences were okay & the special effects were 50/50 for me. It was still a good show though.,3,Yes,1376784000,"08 18, 2013",2013,182,"['thought', 'was', 'good', 'could', 'have', 'been', 'lot', 'more', 'movie', 'action', 'sequences', 'were', 'okay', 'special', 'effects', 'were', '50/50', 'was', 'still', 'good', 'show']",N/A
957324,A291Q46ZTQD2HK,B000CDGVOY,K. T. Ong,"[1, 1]","There are TWO films made by the film director Tsui Hark which are supposedly (I want to stress: SUPPOSEDLY) based on a long Chinese fantasy novel titled 'Shushan Jianxia Zhuan' (Tales of the Swordfighters of Mount Shu), written by an author by the name of Li Shoumin (1902 - 1961) in the late 1930's. (He is better known by his pen-name Huanzhu Louzhu, literally 'the Pearl-Returning Master of the Mansion', this being an allusion to an ancient poem.) The classic novel has inspired several films, TV serials, comic book serials and even computer games -- and, sad to relate, very few of them show any respect for the original. Mount Shu (or Zu Mountain, to use a better-known romanization) has been merely an excuse for film directors (and comic book artists etc) to throw together commercial Chinese fantasy yarns using elements picked at random from the novel (and sometimes not even that). Tsui Hark's films are two cases in point. One honestly wonders if the concept of intellectual property rights is something truly alien to the Chinese mind. Can you imagine Western film directors, comic artists etc doing the same with Tolkien's trilogy and then parading their hodge-podge creation as 'The Lord of the Rings'?But on to the films -- more specifically the more recent film, titled 'The Legend of Zu' or 'Zu Warriors', in which Zhang Ziyi appears. (The earlier film, in which Brigette Lin appears, was titled 'Zu: Warriors from the Magic Mountain'.) While it is bad enough that a film's story shows no respect for any literary work on which it might be supposedly based, it is even worse when the film in itself has no comprehensible, easy-to-follow storyline. The present film provides a superb example. As with virtually all his films, but especially in this one, Tsui Hark LOVES to RUSH everything. No scene lasts more than a few seconds. The result is that you have no time to really grasp what is going on before new turns of events are presented to you, and you never get to really KNOW any of the characters, let alone FEEL for them. Seriously, Mr Tsui Hark, what's your problem? Do you suffer from a special phobia of SLOW moments in films? Also, for some reason Tsui Hark loves characters who act like stupid idiots; they occur in many of his films, and this one is no exception. There's this male character who apparently went bonkers and whose head was literally always in a blur. Don't know about others, but things like this just strike me as stupid. They don't add to my enjoyment of the film. (Not that I enjoyed it much in the first place.)Some of the scenes are visually admittedly kind of pretty. (I'm personally kind of partial towards that scene where a number of lotus blossoms arise from this dish in front of a monk, and a couple of the blossoms go 'poof'.) But pretty visuals do not yet a good film make -- for me anyway. If all you care for in a film are pretty visuals, then this film might have something for you. But if you also want a good, compelling story, then stay away from this. I bought the VCD and after watching I threw the VCD into the dustbin without any second thought. Serious.A FAR better rendering of Li Shoumin's classic novel would be the Hong Kong TV serial 'The God and Demons of Zu Mountain' and its sequel 'The Zu Mountain Saga', both produced in the early 1990's. (Ekin Cheng, who appears in Tsui Hark's abovementioned masterwork [ho hum], appears in the sequel serial as well.) Both serials have been released in VCD format, though they may be a bit hard to find at present. The serials are more faithful to the original novel than most other so-called 'Zu Mountain' films/comics/games etc, though still not 100% faithful. But that's forgivable here in view of the far more 'followable' story and pacing. Get these two serials instead.",1,Tsui Hark doesn't know how to make a good film,1273363200,"05 9, 2010",2010,3793,"['are', 'TWO', 'films', 'made', 'film', 'director', 'Tsui', 'Hark', 'are', 'supposedly', 'want', 'stress', 'SUPPOSEDLY', 'based', 'long', 'Chinese', 'fantasy', 'novel', 'titled', ""'Shushan"", 'Jianxia', 'Zhuan', 'Tales', 'Swordfighters', 'Mount', 'Shu', 'written', 'author', 'name', 'Li', 'Shoumin', '1902', '1961', 'late', '1930', 'better', 'known', 'pen-name', 'Huanzhu', 'Louzhu', 'literally', 'Pearl-Returning', 'Master', 'Mansion', 'being', 'allusion', 'ancient', 'poem', 'classic', 'novel', 'inspired', 'several', 'films', 'TV', 'serials', 'comic', 'book', 'serials', 'even', 'computer', 'games', 'sad', 'relate', 'very', 'few', 'show', 'respect', 'original', 'Mount', 'Shu', 'Zu', 'Mountain', 'use', 'better-known', 'romanization', 'been', 'merely', 'excuse', 'film', 'directors', 'comic', 'book', 'artists', 'etc', 'throw', 'together', 'commercial', 'Chinese', 'fantasy', 'yarns', 'using', 'elements', 'picked', 'random', 'novel', 'sometimes', 'not', 'even', 'Tsui', 'Hark', 'films', 'are', 'two', 'cases', 'point', 'One', 'honestly', 'concept', 'intellectual', 'property', 'rights', 'something', 'truly', 'alien', 'Chinese', 'mind', 'Can', 'imagine', 'Western', 'film', 'directors', 'comic', 'artists', 'etc', 'doing', 'same', 'Tolkien', 'trilogy', 'then', 'parading', 'hodge-podge', 'creation', ""'The"", 'Lord', 'Rings', 'films', 'more', 'specifically', 'more', 'recent', 'film', 'titled', 'Legend', 'Zu', 'Warriors', 'Zhang', 'Ziyi', 'earlier', 'film', 'Brigette', 'Lin', 'was', 'titled', ""'Zu"", 'Warriors', 'Magic', 'Mountain', 'bad', 'enough', 'film', 'story', 'respect', 'literary', 'work', 'might', 'be', 'supposedly', 'based', 'even', 'worse', 'when', 'film', 'comprehensible', 'easy-to-follow', 'storyline', 'present', 'film', 'superb', 'example', 'virtually', 'films', 'especially', 'one', 'Tsui', 'Hark', 'LOVES', 'RUSH', 'everything', 'scene', 'more', 'few', 'seconds', 'result', 'have', 'time', 'really', 'grasp', 'what', 'going', 'new', 'turns', 'events', 'are', 'presented', 'never', 'get', 'really', 'KNOW', 'characters', 'let', 'alone', 'FEEL', 'Seriously', 'Mr', 'Tsui', 'Hark', 'what', 'problem', 'Do', 'suffer', 'special', 'phobia', 'SLOW', 'moments', 'films', 'Also', 'reason', 'Tsui', 'Hark', 'characters', 'who', 'act', 'stupid', 'idiots', 'occur', 'many', 'films', 'one', 'exception', 'male', 'character', 'who', 'apparently', 'went', 'bonkers', 'head', 'was', 'literally', 'always', 'blur', 'Do', ""n't"", 'know', 'others', 'things', 'just', 'strike', 'stupid', 'do', ""n't"", 'add', 'enjoyment', 'film', 'Not', 'enjoyed', 'much', 'first', 'place', 'scenes', 'are', 'visually', 'admittedly', 'kind', 'pretty', ""'m"", 'personally', 'kind', 'partial', 'towards', 'scene', 'where', 'number', 'lotus', 'blossoms', 'arise', 'dish', 'front', 'monk', 'couple', 'blossoms', 'go', ""'poof"", 'pretty', 'visuals', 'do', 'not', 'yet', 'good', 'film', 'make', 'anyway', 'care', 'film', 'are', 'pretty', 'visuals', 'then', 'film', 'might', 'have', 'something', 'also', 'want', 'good', 'compelling', 'story', 'then', 'stay', 'away', 'bought', 'VCD', 'watching', 'threw', 'VCD', 'dustbin', 'second', 'thought', 'Serious.A', 'FAR', 'better', 'rendering', 'Li', 'Shoumin', 'classic', 'novel', 'would', 'be', 'Hong', 'Kong', 'TV', 'serial', ""'The"", 'God', 'Demons', 'Zu', 'Mountain', 'sequel', 'Zu', 'Mountain', 'Saga', 'produced', 'early', '1990', 'Ekin', 'Cheng', 'who', 'Tsui', 'Hark', 'abovementioned', 'masterwork', '[', 'ho', 'hum', ']', 'sequel', 'serial', 'as', 'well', 'serials', 'have', 'been', 'released', 'VCD', 'format', 'may', 'be', 'bit', 'hard', 'find', 'present', 'serials', 'are', 'more', 'faithful', 'original', 'novel', 'most', 'other', 'so-called', 'Mountain', 'films/comics/games', 'etc', 'though', 'still', 'not', '100', '%', 'faithful', 'forgivable', 'here', 'view', 'far', 'more', ""'followable"", 'story', 'pacing', 'Get', 'two', 'serials', 'instead']",N/A
957325,A2UU74BSAJ0WE7,B000CDGVOY,Margaret Dowling,"[0, 0]",if they did a remake with all the CGI technology available today i BET you this would be a massive hit.,4,sketchy graphics,1382745600,"10 26, 2013",2013,103,"['did', 'remake', 'CGI', 'technology', 'available', 'today', 'i', 'BET', 'would', 'be', 'massive', 'hit']",N/A
