,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
965929,A146D8WS9EERVX,B000E1MXWI,Amazon Customer,"[0, 0]","This series inspired me to be a teacher.  It is an absolute shame that all the seasons aren't available for purchase.  Funny, entertaining, and you can see other than technology, not much has changed since the 70's in the classroom.",5,Awesome Series,1401321600,"05 29, 2014",2014,232,"['series', 'inspired', 'be', 'teacher', 'absolute', 'shame', 'seasons', 'are', ""n't"", 'available', 'purchase', 'Funny', 'entertaining', 'can', 'see', 'other', 'technology', 'not', 'much', 'changed', '70', 'classroom']",N/A
965930,AYPCUQS6ARWFH,B000E1MXWI,"Andre M. ""brnn64""","[11, 11]","Its somethines the case that after seeing a show you haven't seen since childhood, you're often disappointed that it really wasn't as good as you remembered. This sampler is an exception to the rule.While not a comprehensive set, it has some really entertaining episodes.""One Flu Over the Cuckoo's Nest"" is the unlikely tale of Kotter's sweathogs being forced to share a class with some gifted studetns durig a flu epidemic. Good comedic moments and an interesitng message about people being gifted in different ways.Another tale has the comically pathetic resident geek-boy Arnold Horshack (Ron Palillo) joining a cult. He's really at his comic best in this one (especially when he recites the Baba's matra) and in an interesting twist Ellen Travolta (castmate John Travolta's mother) plays Horshack's mom. Interestingly, weak and silly characters joining ridiculous cults (see a similar episode involving Rerun in the ""What's happening"" season II set) were a staple of seventies sitcoms. The Jim Jones tragedy of 1978 stopped this trend.The other episodes, such as the Sweathogs joining a gang, Travolta's guilt after a teacher has a heart attack while yelling at him, and were Travolta becomes a priest, all have their moments of knee-slapping leave your brains at the door fun.Gabe Kaplan's storytelling interludes in these tales reign supreme, especially the yarn about his uncle facing a firing squad (you've got to hear this)! Bonzo Maretti was quite a guy.It's too bad that Gabe Kaplan's 1974 comedy album ""Holes and Mellow Rolls"" (which inspired this show) isn't currently available. But in either case, this is a good way to have some knee-slapping belly laughs after a long day at work or school.",5,Schoolday madness holds up well after all these years,1177286400,"04 23, 2007",2007,1707,"['somethines', 'case', 'seeing', 'show', 'have', ""n't"", 'seen', 'childhood', ""'re"", 'often', 'disappointed', 'really', 'was', ""n't"", 'as', 'good', 'remembered', 'sampler', 'exception', 'rule.While', 'not', 'comprehensive', 'set', 'really', 'entertaining', 'episodes', 'One', 'Flu', 'Cuckoo', 'Nest', 'unlikely', 'tale', 'Kotter', 'sweathogs', 'being', 'forced', 'share', 'class', 'gifted', 'studetns', 'durig', 'flu', 'epidemic', 'Good', 'comedic', 'moments', 'interesitng', 'message', 'people', 'being', 'gifted', 'different', 'ways.Another', 'tale', 'comically', 'pathetic', 'resident', 'geek-boy', 'Arnold', 'Horshack', 'Ron', 'Palillo', 'joining', 'cult', 'really', 'comic', 'best', 'one', 'especially', 'when', 'Baba', 'matra', 'interesting', 'twist', 'Ellen', 'Travolta', 'castmate', 'John', 'Travolta', 'mother', 'Horshack', 'mom', 'Interestingly', 'weak', 'silly', 'characters', 'joining', 'ridiculous', 'cults', 'see', 'similar', 'episode', 'involving', 'Rerun', 'What', 'happening', 'season', 'II', 'set', 'were', 'staple', 'seventies', 'sitcoms', 'Jim', 'Jones', 'tragedy', '1978', 'stopped', 'trend.The', 'other', 'episodes', 'such', 'Sweathogs', 'joining', 'gang', 'Travolta', 'guilt', 'teacher', 'heart', 'attack', 'yelling', 'were', 'Travolta', 'priest', 'have', 'moments', 'knee-slapping', 'leave', 'brains', 'door', 'fun.Gabe', 'Kaplan', 'storytelling', 'interludes', 'tales', 'reign', 'supreme', 'especially', 'yarn', 'uncle', 'facing', 'firing', 'squad', ""'ve"", 'got', 'hear', 'Bonzo', 'Maretti', 'was', 'quite', 'guy.It', 'too', 'bad', 'Gabe', 'Kaplan', '1974', 'comedy', 'Holes', 'Mellow', 'Rolls', 'inspired', 'show', ""n't"", 'currently', 'available', 'case', 'good', 'way', 'have', 'knee-slapping', 'belly', 'long', 'day', 'work', 'school']",N/A
965931,A2F7CCPK4QL359,B000E1MXWI,"Bennet Pomerantz ""Bennet Pomerantz, AUDIOWORLD""","[9, 9]","Remember June 12, 2007-that is when Welcome Back Kotter Season one will be availableUntil this season one collecyion happens , this  six episode sampler collection will have to do. This six episodes have the heart of the swries with many of its Marx Brother antics that Kotter and crew did so wellTo make a person wait for June is cruel and harsh, so buy this set now and enjoy the taste of Kotter before you partake of a full season..you will be glad you didBennet Pomerantz, Audioworld",5,Season One is releasing in JUNE,1171843200,"02 19, 2007",2007,487,"['Remember', 'June', '12', '2007-that', 'when', 'Welcome', 'Back', 'Kotter', 'Season', 'one', 'will', 'be', 'availableUntil', 'season', 'one', 'collecyion', 'six', 'episode', 'sampler', 'collection', 'will', 'have', 'do', 'six', 'episodes', 'have', 'heart', 'swries', 'many', 'Marx', 'Brother', 'antics', 'Kotter', 'crew', 'did', 'so', 'wellTo', 'make', 'person', 'wait', 'June', 'cruel', 'harsh', 'so', 'buy', 'set', 'now', 'enjoy', 'taste', 'Kotter', 'partake', 'full', 'season..you', 'will', 'be', 'glad', 'didBennet', 'Pomerantz', 'Audioworld']",N/A
965932,A35CHV6Z75D672,B000E1MXWI,"Elsie ""Value Watcher""","[0, 0]","I love Vinny Barbarino, Horshack, Juan Epstein and Freddy &#34;Boom-Boom&#34; Washington, the central characters in this sex-free,curse-free, murder-free trip down memory lane. Even my millennium babies love the series.",5,Mr. Kottare.. where have you been?,1388016000,"12 26, 2013",2013,219,"['love', 'Vinny', 'Barbarino', 'Horshack', 'Juan', 'Epstein', 'Freddy', '34', 'Boom-Boom', '34', 'Washington', 'central', 'characters', 'sex-free', 'curse-free', 'murder-free', 'trip', 'down', 'memory', 'lane', 'Even', 'millennium', 'babies', 'love', 'series']",N/A
965933,A378SNMKK9HSZU,B000E1MXWI,Evelyn J. Morales,"[0, 0]","If you watched Kotter back then well what can I say it is back and let the good times roll so funny, so good and just plain good.",5,good times,1393718400,"03 2, 2014",2014,129,"['watched', 'Kotter', 'back', 'then', 'well', 'what', 'can', 'say', 'back', 'let', 'good', 'times', 'roll', 'so', 'funny', 'so', 'good', 'just', 'plain', 'good']",N/A
965934,A2QRIAGC06TE7J,B000E1MXWI,"H. J. Matthews ""Soccer Dad""","[0, 0]","It's exactly what you think: a handful of episodes from the original TV series.  Nothing more, nothing less.  For a cheap price, it was the perfect Christmas gift to wrap for myself from my young children.",4,Only for those who liked the TV series,1226448000,"11 12, 2008",2008,205,"['exactly', 'what', 'think', 'handful', 'episodes', 'original', 'TV', 'series', 'Nothing', 'more', 'nothing', 'less', 'cheap', 'price', 'was', 'perfect', 'Christmas', 'gift', 'wrap', 'young', 'children']",N/A
965935,A22VNXHU6IZ5MT,B000E1MXWI,"Jason P. Pumphrey ""the movie & music man""","[0, 0]",A great collection of six classic Welcome Back Kotter episodes!!! See the one and only John Travolta before he hit megastardom!!! The rest of the cast was great too!!! A seventies classic!!! Recommended!!! A+,5,Well hello there Mr. Kotter!!!,1218931200,"08 17, 2008",2008,208,"['great', 'collection', 'six', 'classic', 'Welcome', 'Back', 'Kotter', 'See', 'one', 'only', 'John', 'Travolta', 'hit', 'megastardom', 'rest', 'cast', 'was', 'great', 'too', 'seventies', 'classic', 'Recommended', 'A+']",N/A
965936,A229BPC4AO0OQB,B000E1MXWI,jd,"[0, 0]",I love this show!! I wish there were more episodes/series than what was given. Not enough episodes but great quality.,5,Love it,1358294400,"01 16, 2013",2013,117,"['love', 'show', 'wish', 'were', 'more', 'episodes/series', 'what', 'was', 'given', 'Not', 'enough', 'episodes', 'great', 'quality']",N/A
965937,AHRLOR0VES2N6,B000E1MXWI,lewis stewart,"[1, 1]",I have not seen this series since the 7o's.  It the series as we all know launched Travolta's career.  This is a funny and great series which brings back many memories of a time period I grew up in.  Two of the actors are deceased. however there are memorable portrayals from the ensemble cast  which marks this comedy series as unforgettable ; for me it has a lot of sentimental value.,4,Kotter Redux,1388361600,"12 30, 2013",2013,386,"['have', 'not', 'seen', 'series', '7o', 'series', 'know', 'launched', 'Travolta', 'career', 'funny', 'great', 'series', 'back', 'many', 'memories', 'time', 'period', 'grew', 'up', 'Two', 'actors', 'are', 'deceased', 'however', 'are', 'memorable', 'portrayals', 'ensemble', 'cast', 'comedy', 'series', 'unforgettable', 'lot', 'sentimental', 'value']",N/A
965938,A3FFBM115QM21I,B000E1MXWI,"lionness3 ""Tyler""","[0, 0]",I remember watching Welcome Back Kotter as reruns and I really liked it....I wish they had more episodes available but I am happy with the two episodes that I got...,5,old but good,1333929600,"04 9, 2012",2012,165,"['remember', 'watching', 'Welcome', 'Back', 'Kotter', 'reruns', 'really', 'liked', 'wish', 'had', 'more', 'episodes', 'available', 'am', 'happy', 'two', 'episodes', 'got']",N/A
