,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
980783,A5L1DFVIC7C22,B000EYJHDS,adobe goddess,"[2, 3]","I have cable TV and they had already gone over all of this post to the attack.  It was realistic, but if you are looking for new info there is none.  If you want to see it summarized in a drama form it is well done.  It is nothing new.  It is a tribute to the people who died and that is important.  I have heard that it is respectful and acurate. If you are looking for new info it is not here.",3,No New Information.  If you watched all the news you know this already,1161907200,"10 27, 2006",2006,395,"['have', 'cable', 'TV', 'had', 'already', 'gone', 'post', 'attack', 'was', 'realistic', 'are', 'looking', 'new', 'info', 'none', 'want', 'see', 'summarized', 'drama', 'form', 'well', 'done', 'nothing', 'new', 'tribute', 'people', 'who', 'died', 'important', 'have', 'heard', 'respectful', 'acurate', 'are', 'looking', 'new', 'info', 'not', 'here']",Flight 93: The Movie
980784,A7VEJY79Y0L3Y,B000EYJHDS,"A. J. Westbrook ""GrtBroadwaySinger""","[2, 3]","I saw this initially at a theatre right near Ground Zero.  It was the hardest movie to sit through and watch.  On DVD is it still as powerful!  Learn the lesson...fight back, and I am so glad the filmakers went to such great lengths to portray these ordinary men and women and give them the hero status they deserve.  Kudos to all involved!",5,Powerful - Never Forget!,1163116800,"11 10, 2006",2006,340,"['saw', 'initially', 'theatre', 'right', 'Ground', 'Zero', 'was', 'hardest', 'movie', 'sit', 'watch', 'DVD', 'still', 'powerful', 'Learn', 'lesson', 'fight', 'back', 'am', 'so', 'glad', 'filmakers', 'went', 'such', 'great', 'lengths', 'portray', 'ordinary', 'men', 'women', 'give', 'hero', 'status', 'deserve', 'Kudos', 'involved']",Flight 93: The Movie
980785,A2FVE6V3YTFIDO,B000EYJHDS,"Amazon Customer ""Glen""","[2, 2]","I have not seen United 93, the motion picture but if it is half as good as this retelling of the heroes in the fourth plane that was hijacked on September 11, 2001, then it has to be noteworthy. I had reservations about watching this film for fear it would only sensationalize tragedy, but the movie produced for A & E is a thought provoking, heart breaking tale of people banding together to take back control of their destiny at a great cost. No one should even question the heroism of the passengers aboard this plane and the selflessness with which they gave their lives for their country. The stories of that tragic day are told from different passengers point of view and are beautifully portrayed by all actors involved. Probably one of the most important stories to be told, an absolute must see picture. A full Kleenex box should be kept handy. It broke my heart to watch this but I am glad I did. A true story of patriotism destined for school history textbooks. A+++++++",5,Faithful Re-enactment of a Heartbreaking Story,1150416000,"06 16, 2006",2006,981,"['have', 'not', 'seen', 'United', '93', 'motion', 'picture', 'half', 'as', 'good', 'retelling', 'heroes', 'fourth', 'plane', 'was', 'hijacked', 'September', '11', '2001', 'then', 'be', 'noteworthy', 'had', 'reservations', 'watching', 'film', 'fear', 'would', 'only', 'sensationalize', 'tragedy', 'movie', 'produced', 'A', 'E', 'thought', 'provoking', 'heart', 'breaking', 'tale', 'people', 'banding', 'together', 'take', 'back', 'control', 'destiny', 'great', 'cost', 'one', 'should', 'even', 'question', 'heroism', 'passengers', 'plane', 'selflessness', 'gave', 'lives', 'country', 'stories', 'tragic', 'day', 'are', 'told', 'different', 'passengers', 'point', 'view', 'are', 'beautifully', 'portrayed', 'actors', 'involved', 'Probably', 'one', 'most', 'important', 'stories', 'be', 'told', 'absolute', 'must', 'see', 'picture', 'full', 'Kleenex', 'box', 'should', 'be', 'kept', 'handy', 'broke', 'heart', 'watch', 'am', 'glad', 'did', 'true', 'story', 'patriotism', 'destined', 'school', 'history', 'textbooks', 'A+++++++']",Flight 93: The Movie
980786,A2GWHW5PVUZXL9,B000EYJHDS,"Amazon Customer ""iluvu4uraqt""","[0, 0]",Great movie!  Parts in it make me tear up especially knowing it is based on true events.  I recommend everyone take time to view.,5,Emotional movie!,1367625600,"05 4, 2013",2013,129,"['Great', 'movie', 'Parts', 'make', 'tear', 'up', 'especially', 'knowing', 'based', 'true', 'events', 'recommend', 'everyone', 'take', 'time', 'view']",Flight 93: The Movie
980787,AB9QXH5URDLER,B000EYJHDS,"Amazon Customer ""jrkirkham""","[7, 7]","This is probably one of the best video releases of the year.  The director is careful not to glamorize or sensationalize the events.  Some may wonder if it is too early to depict so recent an event that is so deeply burned into the American consciousness.  The answer is, ""No, the timing is perfect.""  This film is much more than entertainment.  It is healing and should be seen by every American.",5,"Reverent, Appropriate, and Timely",1157328000,"09 4, 2006",2006,397,"['probably', 'one', 'best', 'video', 'releases', 'year', 'director', 'careful', 'not', 'glamorize', 'sensationalize', 'events', 'may', 'wonder', 'too', 'early', 'depict', 'so', 'recent', 'event', 'so', 'deeply', 'burned', 'American', 'consciousness', 'answer', 'No', 'timing', 'perfect', 'film', 'much', 'more', 'entertainment', 'healing', 'should', 'be', 'seen', 'American']",Flight 93: The Movie
980788,A28T0Y6Z2MRIIQ,B000EYJHDS,Andrew Griffiths,"[3, 4]","Jaw dropping, eye-singing have been over-hyped words to describe most films. But beleive me, this is one film which deserves these descriptions. From the beginning to the end I was absorbed with every detail. It was as if I was REALLY THERE. My heart was thumping as the hi-jackers glanced at each other in anticipation of what was to happen.I know I shouldn't say this, but it is amazing how these high-jackers kept their cool and nerve. It was clear a few of them wanted to get on with the high-jacking, but the leader remeined ice-cool waiting for the right time. If I was one of them, I would have been perspiring and cracking up. This was the real deal for them.I saw World Trade with Nicolas Cage on Saturday, and it awful in comparison with this. As a previous comment mentioned, the actors were unknown, which added to to reality of the situation. Throw in a Nicolas Cage and one rolls one's eyes in ""not another American hero film"".So well done to the director for creating this atmosphere. Another thing: it shows just how well trained this hijackers were. There was no sign of panic - they were totally professional.I am a bit ignorant here, but I don't believe it was at the box office ??",5,"Jaw Dropping, eye-singing",1160611200,"10 12, 2006",2006,1200,"['Jaw', 'dropping', 'eye-singing', 'have', 'been', 'over-hyped', 'words', 'describe', 'most', 'films', 'beleive', 'one', 'film', 'descriptions', 'beginning', 'end', 'was', 'absorbed', 'detail', 'was', 'was', 'REALLY', 'THERE', 'heart', 'was', 'thumping', 'hi-jackers', 'glanced', 'other', 'anticipation', 'what', 'was', 'happen.I', 'know', 'should', ""n't"", 'say', 'amazing', 'how', 'high-jackers', 'kept', 'cool', 'nerve', 'was', 'clear', 'few', 'wanted', 'get', 'high-jacking', 'leader', 'remeined', 'ice-cool', 'waiting', 'right', 'time', 'was', 'one', 'would', 'have', 'been', 'perspiring', 'cracking', 'up', 'was', 'real', 'deal', 'them.I', 'saw', 'World', 'Trade', 'Nicolas', 'Cage', 'Saturday', 'comparison', 'previous', 'comment', 'mentioned', 'actors', 'were', 'unknown', 'added', 'reality', 'situation', 'Throw', 'Nicolas', 'Cage', 'one', 'one', 'eyes', 'not', 'American', 'hero', 'film', '.So', 'well', 'done', 'director', 'creating', 'atmosphere', 'thing', 'just', 'how', 'well', 'trained', 'hijackers', 'were', 'was', 'sign', 'panic', 'were', 'totally', 'professional.I', 'am', 'bit', 'ignorant', 'here', 'do', ""n't"", 'believe', 'was', 'box', 'office']",Flight 93: The Movie
980789,A38YUU4J5Q4EJO,B000EYJHDS,"Barbara L. Morris ""BeansMommy""","[7, 7]","Personally I give this movie 5 stars.I hate to use this space to comment on another review, but I see no other way, and I MUST comment to the person who wrote the ""Pure Government Propaganda"" review.What do you mean, These events never happened? And that OUR GOVERNMENT took down Flight 93- and here's the biggest kicker of all...You blame Bush!!! AMAZING!- I say hate Bush all you want, but point the finger where it belongs:  Right at the filthy terrorists!Oh, and also there are recordings of those ""non-calls"" from the plane, too.This is a great movie,If you want to see a recent part of American History, and witness the bravery of the Americans that were so horribly forced to fight for thier lives, Watch this movie.The acting is excellent, and the entire drama is very well directed.It will make you cry, feel SO deeply for the victims, and be VERY proud to be an American.I remember hearing the recordings of some of the actual phone calls shortly after the tradgedy, but to see it played out is something entirely different.It brought home the fact once again that yes, these heroes WERE someone's Son, Husband, Brother, Uncle, and Father.It is a tear jerker, that really makes you feel, think, and remember.Highly reccomended.",5,"Responding to ""Pure Govt Propaganda""",1150243200,"06 14, 2006",2006,1237,"['Personally', 'give', 'movie', '5', 'stars.I', 'hate', 'use', 'space', 'comment', 'review', 'see', 'other', 'way', 'MUST', 'comment', 'person', 'who', 'wrote', 'Pure', 'Government', 'Propaganda', 'do', 'mean', 'events', 'never', 'happened', 'OUR', 'GOVERNMENT', 'took', 'down', 'Flight', '93-', 'here', 'biggest', 'kicker', 'blame', 'Bush', 'AMAZING', 'say', 'hate', 'Bush', 'want', 'point', 'finger', 'where', 'Right', 'filthy', 'terrorists', 'Oh', 'also', 'are', 'recordings', 'non-calls', 'plane', 'too.This', 'great', 'movie', 'want', 'see', 'recent', 'part', 'American', 'History', 'witness', 'bravery', 'Americans', 'were', 'so', 'horribly', 'forced', 'fight', 'thier', 'lives', 'Watch', 'movie.The', 'acting', 'excellent', 'entire', 'drama', 'very', 'well', 'directed.It', 'will', 'make', 'cry', 'feel', 'SO', 'deeply', 'victims', 'be', 'VERY', 'proud', 'be', 'American.I', 'remember', 'hearing', 'recordings', 'actual', 'phone', 'shortly', 'tradgedy', 'see', 'played', 'out', 'something', 'entirely', 'different.It', 'brought', 'home', 'fact', 'once', 'again', 'yes', 'heroes', 'WERE', 'someone', 'Son', 'Husband', 'Brother', 'Uncle', 'Father.It', 'tear', 'jerker', 'really', 'feel', 'think', 'remember.Highly', 'reccomended']",Flight 93: The Movie
980790,A1VMI9DVAFF2OL,B000EYJHDS,Beth,"[0, 0]",This is a very tasteful movie about some real heroes on 9-11. There were many but these knew they would not survive and they did the right thing to save others. I will watch this each year on 9-11 to honor what these people did. We learn about their lives and more about their families. May we all be brave  if we are ever in this situation and in the words of Todd Beamer &#34;Let's Roll&#34;. A wonderful movie !!!,5,Let's Roll !!!,1383177600,"10 31, 2013",2013,416,"['very', 'tasteful', 'movie', 'real', 'heroes', '9-11', 'were', 'many', 'knew', 'would', 'not', 'survive', 'did', 'right', 'thing', 'save', 'others', 'will', 'watch', 'year', '9-11', 'honor', 'what', 'people', 'did', 'learn', 'lives', 'more', 'families', 'May', 'be', 'brave', 'are', 'ever', 'situation', 'words', 'Todd', 'Beamer', '34', 'Let', 'Roll', '34', 'wonderful', 'movie']",Flight 93: The Movie
980791,A3NKRH3TJ4DPVI,B000EYJHDS,Book Glutton,"[3, 3]","Although you know the ending before the movie begins, this is still a real cliffhanger and nail biter. It keeps you on the edge of your seat from beginning to end.The movie is excellent and extremely well-done. It is a great tribute to the men and women who died on Flight 93, and the courage and love they showed in the face of death. They were real martyrs! The movie was also very respectfully done, considering the sensitive nature of this event, the feelings of the families involved, and the trauma they experienced. I think it stands as a living testament for these families to be proud of.I don't think it would hurt for anyone to watch this and re-live the horrible experience that terrorism brought to our shores that day and, because of it, to recommit themselves to personal involvement in the life of our country and its government so that this may never happen again. As President Abraham Lincoln said at Gettysburg:--------------------------------------------------------------It is rather for us to be here dedicated to the great task remaining before us--that from these honored dead we take increased devotion to that cause for which they gave the last full measure of devotion--that we here highly resolve that these dead shall not have died in vain--that this nation, under God, shall have a new birth of freedom--and that government of the people, by the people, for the people, shall not perish from the earth.",5,...that we here highly resolve that these dead shall not have died in vain...,1283212800,"08 31, 2010",2010,1432,"['know', 'ending', 'movie', 'still', 'real', 'cliffhanger', 'nail', 'biter', 'edge', 'seat', 'beginning', 'end.The', 'movie', 'excellent', 'extremely', 'well-done', 'great', 'tribute', 'men', 'women', 'who', 'died', 'Flight', '93', 'courage', 'love', 'showed', 'face', 'death', 'were', 'real', 'martyrs', 'movie', 'was', 'also', 'very', 'respectfully', 'done', 'considering', 'sensitive', 'nature', 'event', 'feelings', 'families', 'involved', 'trauma', 'experienced', 'think', 'living', 'testament', 'families', 'be', 'proud', 'of.I', 'do', ""n't"", 'think', 'would', 'hurt', 'anyone', 'watch', 're-live', 'horrible', 'experience', 'terrorism', 'brought', 'shores', 'day', 'recommit', 'personal', 'involvement', 'life', 'country', 'government', 'so', 'may', 'never', 'happen', 'again', 'President', 'Abraham', 'Lincoln', 'said', 'Gettysburg', 'rather', 'be', 'here', 'dedicated', 'great', 'task', 'remaining', 'honored', 'dead', 'take', 'increased', 'devotion', 'cause', 'gave', 'last', 'full', 'measure', 'devotion', 'here', 'highly', 'resolve', 'dead', 'shall', 'not', 'have', 'died', 'vain', 'nation', 'God', 'shall', 'have', 'new', 'birth', 'freedom', 'government', 'people', 'people', 'people', 'shall', 'not', 'perish', 'earth']",Flight 93: The Movie
980792,ADES8B01WRPI3,B000EYJHDS,"Bryan E. Leed ""Jesus says, 'Go and Sin No More!""","[6, 7]","FLIGHT 93 (rated PG-13) should be compared with the other film about this 9/11 flight, UNITED 93 (rated R), and in my opinion, this FLIGHT 93 is slightly better. This film is less graphically violent than the other, so it managed a PG-13 rating, while the other film shows more blood and violence. But the PG-13 rating of this FLIGHT 93 does not make it a lesser version, overall. This FLIGHT 93 has less blood but a bit more warmth and personality with deeper looks at the human relationships and elements that are part of this real life event.Both films are very realistic portrayals of this tragic, historical event in American history. UNITED 93 is better at showing more realistic sets in the Air Traffic Control locations, but this DVD, FLIGHT 93 is better at showing the scary rollercoaster flight and this FLIGHT 93 focuses on the heroic passengers better, (where UNITED 93 seems to refrain from focusing on individuals too much, unfortunately making everybody almost equally anonymous as a result, in comparison).I actually saw UNITED 93 first, and I was very impressed with it, so I was surprised after seeing this FLIGHT 93, that I liked it even better!Both films have director commentary, which is immensely informative, so be sure to watch this film at least once with the commentary turned on!There are slightly different sources used for each film, so it is interesting to see the slight differences as well as what both films have in common, especially when the details had to be speculated upon, due to lack of hard evidence. For instance, both films must speculate on the precise details of the final moments of the passenger revolt against the terrorists. Both movies feature The Lord's Prayer from the Holy Bible, but UNITED 93 has several people reciting it together, while the superior FLIGHT 93 shows Todd ""Let's Roll"" Beamer reciting it with the telephone operator on the ground, with whom Todd had been talking with during the last 17 minutes of the hijacking.Todd Beamer, perhaps the most prominently discussed passenger in the media, looks a littler older and professional, wearing a business suit in this FLIGHT 93; while UNITED 93 shows him looking and dressing younger, in a pullover shirt with bold, sporty colors, (the way I pictured him in my mind).Both films are very intense and emotional. The other film, UNITED 93, is a bit more gritty and realistic, while this FLIGHT 93 has better focus on the individual passengers and heroes of this tragic flight. UNITED 93 seems a bit more personally detached but looks more realistic, while this better FLIGHT 93 allows itself to show more of the personalized human elements of many individual passengers and the family and strangers with whom they spoke over cell phones with, from which many of the details of the events have been gleaned from.There is talk of Academy Award Oscar Nominations for the other UNITED 93, but if that film deserves the recognition, which it does, so does this FLIGHT 93, and perhaps slightly more so.Both films are highly recommended by me, but if I had to choose only one, it would be this one, FLIGHT 93!",5,Slightly Better than the More Highly Praised UNITED 93 Movie!,1167091200,"12 26, 2006",2006,3114,"['FLIGHT', '93', 'rated', 'PG-13', 'should', 'be', 'compared', 'other', 'film', '9/11', 'flight', 'UNITED', '93', 'rated', 'R', 'opinion', 'FLIGHT', '93', 'slightly', 'better', 'film', 'less', 'graphically', 'violent', 'other', 'managed', 'PG-13', 'rating', 'other', 'film', 'shows', 'more', 'blood', 'violence', 'PG-13', 'rating', 'FLIGHT', '93', 'not', 'make', 'lesser', 'version', 'overall', 'FLIGHT', '93', 'less', 'blood', 'bit', 'more', 'warmth', 'personality', 'deeper', 'looks', 'human', 'relationships', 'elements', 'are', 'part', 'real', 'life', 'films', 'are', 'very', 'realistic', 'portrayals', 'tragic', 'historical', 'event', 'American', 'history', '93', 'better', 'showing', 'more', 'realistic', 'sets', 'Air', 'Traffic', 'Control', 'locations', 'DVD', 'FLIGHT', '93', 'better', 'showing', 'scary', 'rollercoaster', 'flight', 'FLIGHT', '93', 'focuses', 'heroic', 'passengers', 'better', 'where', 'UNITED', '93', 'refrain', 'focusing', 'individuals', 'too', 'much', 'unfortunately', 'making', 'everybody', 'almost', 'equally', 'anonymous', 'result', 'comparison', 'actually', 'saw', 'UNITED', '93', 'first', 'was', 'very', 'impressed', 'was', 'surprised', 'seeing', 'FLIGHT', '93', 'liked', 'even', 'better', 'films', 'have', 'director', 'commentary', 'immensely', 'informative', 'so', 'be', 'sure', 'watch', 'film', 'least', 'once', 'commentary', 'turned', 'are', 'slightly', 'different', 'sources', 'used', 'film', 'interesting', 'see', 'slight', 'differences', 'as', 'well', 'what', 'films', 'have', 'common', 'especially', 'when', 'details', 'had', 'be', 'speculated', 'due', 'lack', 'hard', 'evidence', 'instance', 'films', 'must', 'speculate', 'precise', 'details', 'final', 'moments', 'passenger', 'revolt', 'terrorists', 'movies', 'feature', 'Lord', 'Prayer', 'Holy', 'Bible', 'UNITED', '93', 'several', 'people', 'reciting', 'together', 'superior', 'FLIGHT', '93', 'shows', 'Todd', 'Let', 'Roll', 'Beamer', 'reciting', 'telephone', 'operator', 'ground', 'whom', 'Todd', 'had', 'been', 'talking', 'last', '17', 'minutes', 'hijacking.Todd', 'Beamer', 'perhaps', 'most', 'prominently', 'discussed', 'passenger', 'media', 'littler', 'older', 'professional', 'wearing', 'business', 'suit', 'FLIGHT', '93', 'UNITED', '93', 'looking', 'dressing', 'younger', 'pullover', 'shirt', 'bold', 'sporty', 'colors', 'way', 'pictured', 'mind', 'films', 'are', 'very', 'intense', 'emotional', 'other', 'film', 'UNITED', '93', 'bit', 'more', 'gritty', 'realistic', 'FLIGHT', '93', 'better', 'focus', 'individual', 'passengers', 'heroes', 'tragic', 'flight', '93', 'bit', 'more', 'personally', 'detached', 'more', 'realistic', 'better', 'FLIGHT', '93', 'show', 'more', 'personalized', 'human', 'elements', 'many', 'individual', 'passengers', 'family', 'strangers', 'whom', 'spoke', 'over', 'cell', 'phones', 'many', 'details', 'events', 'have', 'been', 'gleaned', 'from.There', 'talk', 'Academy', 'Award', 'Oscar', 'Nominations', 'other', 'UNITED', '93', 'film', 'recognition', 'so', 'FLIGHT', '93', 'perhaps', 'slightly', 'more', 'so.Both', 'films', 'are', 'highly', 'recommended', 'had', 'choose', 'only', 'one', 'would', 'be', 'one', 'FLIGHT', '93']",Flight 93: The Movie
