,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
998650,ARMG4L2GLW25A,B000G1R4TI,A. J. Stavsky,"[0, 1]","...this series is not for the squeamish. Think of it as ""Hitchcock meets Jack the Ripper at Sweeney Todd's for a bar-b-que"" and you'll get the idea...",5,"Excellent, but with the caveat...",1212451200,"06 3, 2008",2008,150,"['series', 'not', 'squeamish', 'Think', 'Hitchcock', 'meets', 'Jack', 'Ripper', 'Sweeney', 'Todd', 'bar-b-que', ""'ll"", 'get', 'idea']",Epitafios - The Complete First Season
998651,A36S3B9YN37K05,B000G1R4TI,Cartoon Head,"[2, 2]","See other reviews for details about this series.  It's awesome!  Seriously, Hollywood should fire its striking writers (since the product they produce lately is pretty amateurish and pathetic anyway) and hire some of these foreign production writers.Regarding the quality, it's excellent.  OK, yes, it is presented in full screen mode, but that's actually standard for most foreign films, because they rely on the the space in the bottom black bar for subtitle captioning.  But it could also be that presenting it in the widescreen mode would make it more grainy.  After all, this series was filmed on 16mm film.  In the full screen mode, projected onto a 112"" diagonal home theater screen, it looked perfectly fine, like any good quality film.Yes, you can't examine actors' pores for zits and blackheads like you can with HD widescreen, but frankly, that's not what I watch films for.The sound quality is excellent.  The behind-the-scenes bonus is interesting too.Well worth getting a copy to enjoy over and over again.",5,A phenomenal original series that's unique and exciting,1197331200,"12 11, 2007",2007,1020,"['See', 'other', 'reviews', 'details', 'series', 'awesome', 'Seriously', 'Hollywood', 'should', 'fire', 'striking', 'writers', 'product', 'produce', 'lately', 'pretty', 'amateurish', 'pathetic', 'anyway', 'hire', 'foreign', 'production', 'writers.Regarding', 'quality', 'excellent', 'OK', 'yes', 'presented', 'full', 'screen', 'mode', 'actually', 'standard', 'most', 'foreign', 'films', 'rely', 'space', 'bottom', 'black', 'bar', 'subtitle', 'captioning', 'could', 'also', 'be', 'presenting', 'widescreen', 'mode', 'would', 'make', 'more', 'grainy', 'series', 'was', 'filmed', '16mm', 'film', 'full', 'screen', 'mode', 'projected', '112', 'diagonal', 'home', 'theater', 'screen', 'looked', 'perfectly', 'fine', 'good', 'quality', 'film.Yes', 'ca', ""n't"", 'examine', 'actors', 'pores', 'zits', 'blackheads', 'can', 'HD', 'widescreen', 'frankly', 'not', 'what', 'watch', 'films', 'for.The', 'sound', 'quality', 'excellent', 'behind-the-scenes', 'bonus', 'interesting', 'too.Well', 'getting', 'copy', 'enjoy', 'over', 'again']",Epitafios - The Complete First Season
998652,A1G0EBQYLN6STU,B000G1R4TI,Cinephiliac,"[31, 34]","I was a little hesitant before initially viewing the 13-part Argentinean miniseries import, ""Epitafios"" (Epitaphs).  There had been so much attendant hyperbole that I thought there was no way it could live up to its buzz.  I am pleased to say that I couldn't have been more wrong.Renzo Marquez (Julio Chavez) is an emotionally numb, part-time taxicab driver who left the police force five years earlier.  Guilt-ridden and traumatized after a literal misstep on his part led to the horrific deaths of four 16-year-old students taken hostage by a mentally unbalanced professor, Renzo is living a marginal existence--with no interests and few friends, caring only for his wheelchair bound father in his spare time.  Renzo is drawn back into the case that ended his fast track career when he is contacted by his former commanding officer, Captain Benitez (Lito Cruz).  Upon receiving an anonymous phone call, Benitez is directed to an abandoned house that is the scene of an elaborately staged murder.  In the backyard, the police discover two shallow open graves with headstones.  The epitaph on one of the headstones contains Benitez's name, and the other has Renzo's name sharing space with that of Laura Santini (Paola Krum), the psychiatrist who had been called in as a consultant on the student hostage case before the whole thing went pear-shaped.Meting out almost Biblical retributions to anyone directly or indirectly involved in the events leading up to the student deaths, the killer sees himself as an avenging angel delivering postponed justice.  He leaves the bodies of his victims displayed with grotesque, almost Grand Guignol, theatricality.  The killer also leaves drawings of headstones with cryptically worded epitaphs--clues to the identity of his next victim--at each new murder scene.  As Renzo tries to figure out the identity and motives of the killer, potential suspects become victims, trails evaporate and red herrings appear everywhere.  (The complete insanity of the killer is manifested in the emotionally charged (albeit 1-sided) conversations that he has with his ""girlfriend,"" a huge hairy grey rat that he keeps in a cage!  Pouring out his heart to his ""rodent accomplice,"" every squeak is seen as an affirmation or a criticism.  It would be hilarious--except that it is so pitiable.)What really sets this series apart from most crime shows/police procedural mysteries is that it takes its time developing its characters.  Even minor characters--usually relegated to thinly drawn types or caricatures of types--are fleshed out and given a complexity that engages the viewer's interest and emotions.  You slowly come to care about these deeply flawed people whose lives and careers were destroyed as a result of the failed rescue attempt. There isn't even one wasted scene in this intense film series and the pacing is frantic and harrowing.The music (which reminded me of the moody and emotionally rich film scores of Bernard Herrmann) and the cinematography are both really gorgeous and highly atmospheric.  This is a truly engrossing film series, with first-rate acting, but may not be for the squeamish as there is a great deal of graphic violence and its aftermath.  Some nudity and explicit sexuality.  In Spanish, with English subtitles.",5,Mesmerizing Crime Series From Argentina,1150934400,"06 22, 2006",2006,3274,"['was', 'little', 'hesitant', 'initially', 'viewing', '13-part', 'Argentinean', 'miniseries', 'import', 'Epitafios', 'Epitaphs', 'had', 'been', 'so', 'much', 'attendant', 'hyperbole', 'thought', 'was', 'way', 'could', 'live', 'up', 'buzz', 'am', 'pleased', 'say', 'could', ""n't"", 'have', 'been', 'more', 'wrong.Renzo', 'Marquez', 'Julio', 'Chavez', 'emotionally', 'numb', 'part-time', 'taxicab', 'driver', 'who', 'left', 'police', 'force', 'five', 'years', 'earlier', 'Guilt-ridden', 'traumatized', 'literal', 'misstep', 'part', 'led', 'horrific', 'deaths', 'four', '16-year-old', 'students', 'taken', 'hostage', 'mentally', 'unbalanced', 'professor', 'Renzo', 'living', 'marginal', 'existence', 'interests', 'few', 'friends', 'caring', 'only', 'wheelchair', 'father', 'spare', 'time', 'Renzo', 'drawn', 'back', 'case', 'ended', 'fast', 'track', 'career', 'when', 'contacted', 'former', 'commanding', 'officer', 'Captain', 'Benitez', 'Lito', 'Cruz', 'receiving', 'anonymous', 'phone', 'call', 'Benitez', 'directed', 'abandoned', 'house', 'scene', 'elaborately', 'staged', 'murder', 'backyard', 'police', 'discover', 'two', 'shallow', 'open', 'graves', 'headstones', 'epitaph', 'one', 'headstones', 'Benitez', 'name', 'other', 'Renzo', 'name', 'sharing', 'space', 'Laura', 'Santini', 'Paola', 'Krum', 'psychiatrist', 'who', 'had', 'been', 'called', 'consultant', 'student', 'hostage', 'case', 'whole', 'thing', 'went', 'pear-shaped.Meting', 'almost', 'Biblical', 'retributions', 'anyone', 'directly', 'indirectly', 'involved', 'events', 'leading', 'up', 'student', 'deaths', 'killer', 'avenging', 'angel', 'delivering', 'postponed', 'justice', 'bodies', 'victims', 'displayed', 'grotesque', 'almost', 'Grand', 'Guignol', 'theatricality', 'killer', 'also', 'drawings', 'headstones', 'cryptically', 'worded', 'epitaphs', 'clues', 'identity', 'next', 'victim', 'new', 'murder', 'scene', 'Renzo', 'figure', 'out', 'identity', 'motives', 'killer', 'potential', 'become', 'victims', 'trails', 'evaporate', 'red', 'herrings', 'appear', 'everywhere', 'complete', 'insanity', 'killer', 'manifested', 'emotionally', 'charged', '1-sided', 'conversations', 'girlfriend', 'huge', 'hairy', 'grey', 'rat', 'cage', 'Pouring', 'out', 'heart', 'rodent', 'accomplice', 'squeak', 'seen', 'affirmation', 'criticism', 'would', 'be', 'hilarious', 'so', 'pitiable', 'What', 'really', 'series', 'apart', 'most', 'crime', 'shows/police', 'procedural', 'mysteries', 'time', 'developing', 'characters', 'Even', 'minor', 'characters', 'usually', 'relegated', 'thinly', 'drawn', 'types', 'caricatures', 'types', 'are', 'fleshed', 'given', 'complexity', 'viewer', 'interest', 'emotions', 'slowly', 'come', 'care', 'deeply', 'flawed', 'people', 'lives', 'careers', 'were', 'destroyed', 'result', 'failed', 'rescue', 'attempt', ""n't"", 'even', 'one', 'wasted', 'scene', 'intense', 'film', 'series', 'pacing', 'frantic', 'harrowing.The', 'music', 'reminded', 'moody', 'emotionally', 'rich', 'film', 'scores', 'Bernard', 'Herrmann', 'cinematography', 'are', 'really', 'gorgeous', 'highly', 'atmospheric', 'truly', 'engrossing', 'film', 'series', 'first-rate', 'acting', 'may', 'not', 'be', 'squeamish', 'great', 'deal', 'graphic', 'violence', 'aftermath', 'nudity', 'explicit', 'sexuality', 'Spanish', 'English', 'subtitles']",Epitafios - The Complete First Season
998653,A1S8FJT0AQSF60,B000G1R4TI,C. Williamson,"[3, 3]","This mini-series is entertaining in parts, but there's too little plot to last 13 episodes. The serial killer is always one step ahead of the cops, but we never know how he's attained his mad phat skillz, and come to the conclusion that he's just one very lucky serial killer. It also helps that the Argentine cops are as completely inept as they seem to be, and, as others have observed, actually get dumber as the series goes along. The one thing I learned from this series is that if I ever want to turn to a life of crime, I'm going to Buenos Aires, since the police there seem to be totally ineffectual at policing. This is an okay time waster, but if you want some real serial killer thrills that won't make you suspend your disbelief to this extent, try Dexter...",3,"Starts off fine, ends up being a disappointment...",1303516800,"04 23, 2011",2011,770,"['mini-series', 'entertaining', 'parts', 'too', 'little', 'plot', 'last', '13', 'episodes', 'serial', 'killer', 'always', 'one', 'step', 'ahead', 'cops', 'never', 'know', 'how', 'attained', 'mad', 'skillz', 'come', 'conclusion', 'just', 'one', 'very', 'lucky', 'serial', 'killer', 'also', 'Argentine', 'cops', 'are', 'completely', 'seem', 'be', 'others', 'have', 'observed', 'actually', 'get', 'dumber', 'series', 'along', 'one', 'thing', 'learned', 'series', 'ever', 'want', 'turn', 'life', 'crime', ""'m"", 'going', 'Buenos', 'Aires', 'police', 'there', 'seem', 'be', 'totally', 'ineffectual', 'policing', 'okay', 'time', 'waster', 'want', 'real', 'serial', 'killer', 'wo', ""n't"", 'make', 'suspend', 'disbelief', 'extent', 'try', 'Dexter']",Epitafios - The Complete First Season
998654,A2CP4N7R587T3C,B000G1R4TI,D. A. Nicastro,"[0, 0]","This has been one of the most fascinating series in years! It was a roller coaster from beginning to end, with many twists. The level of writing, acting and directing were top-knotch!",5,THRILLINGLY SUPERB!,1167782400,"01 3, 2007",2007,183,"['been', 'one', 'most', 'fascinating', 'series', 'years', 'was', 'roller', 'coaster', 'beginning', 'end', 'many', 'twists', 'level', 'writing', 'acting', 'directing', 'were', 'top-knotch']",Epitafios - The Complete First Season
998655,A29VKODW4R5U7W,B000G1R4TI,dooby,"[39, 40]","This outstanding miniseries marks HBO's first foray into Latin American TV. It centres around a serial killer who is methodically killing off people connected to a botched hostage rescue at a local Buenos Aires highschool five years earlier. Ex-detective Renzo Marquez (Julio Chavez) was responsible for the disaster in which four 16-year old hostages burnt to death. Someone is now seeking revenge. The story revolves around the retired detective and his ex-lover, the psychiatrist Laura Santini (Paola Krum). Santini had the misfortune of acting as hostage negotiator during the seige. Both are the main targets but the killer delights in a sadistic cat-and-mouse game as he spares them while despatching other victims in increasingly bizarre and gruesome ways, accompanying each with a tombstone carved with a cryptic epitaph outlining their supposed crime, hence the title.Made in Argentina with an excellent all Spanish-speaking cast, this was originally intended for broadcast only in Latin America. Its popularity and critical acclaim led to its inclusion on the US HBO-Latino channel. Now it is being released on DVD, suitably subtitled for non Spanish-speaking Americans. The miniseries consists of just 13 45-min-long episodes. It is unlike anything you've seen on TV before. It is unremittingly dark. And it is gruesome. In the opening episode, the first victim is dismembered, with his body parts strewn artistically around the house. The violence is almost always off-camera. We are shown the gory after-effects. It is definitely not for the squeamish. The identity of the killer is made known by the third episode but the tension never flags and builds inexorably to a very satisfying if dark climax. There is no happy ending. Some have described it as bleak but there is a ray of defiant optimism at the end which for me just manages to dispel the utter darkness.This is an altogether excellent production, with a literate and suspense-filled script, complex, believable characters, and a superb all-round cast. However the HBO DVD is marred by the absence of anamorphic enhancement (not enhanced for widescreen TV). It is presented in its original 16x9 widescreen aspect but letterboxed into a standard 4x3 frame. Although the picture quality is very good for a non-anamorphic transfer, it still falls below what is possible with suitable anamorphic enhancement. Considering the high asking-price, HBO should have done better. The original Spanish 2.0 Dolby Surround track is provided. There is satisfyingly deep bass, heard best in Ivan Wyszogord's darkly throbbing score, with its haunting soprano line soaring above the gloom. Dialogue is crystal clear and the operatic exerpts are reproduced very accurately. (The killer has a penchant for Bizet's Carmen, especially for the Habanera - you hear it in every episode - if he's not listening to it, he'll be whistling it). Optional Spanish and English subtitles are provided. The only Extra is an 11-minute ""Behind the Scenes"" featurette in Spanish with optional English subtitles. HBO has gone out of its way to make this DVD accessible to both Spanish and English audiences. The box-art, the DVD menus and submenus, and the plot-summaries for each episode, are all available in both Spanish and English.Note: Being a TV series, it is not rated. If this were a film submitted to the MPAA, it would likely receive an R-rating for ""disturbing violence, offensive language, nudity and sexual situations.""",4,Outstanding Latin American crime drama... Marred by non-anamorphic DVD from HBO,1158451200,"09 17, 2006",2006,3469,"['outstanding', 'miniseries', 'HBO', 'first', 'foray', 'Latin', 'American', 'TV', 'serial', 'killer', 'who', 'methodically', 'killing', 'off', 'people', 'connected', 'botched', 'hostage', 'rescue', 'local', 'Buenos', 'Aires', 'highschool', 'five', 'years', 'earlier', 'Ex-detective', 'Renzo', 'Marquez', 'Julio', 'Chavez', 'was', 'responsible', 'disaster', 'four', '16-year', 'old', 'hostages', 'burnt', 'death', 'Someone', 'now', 'seeking', 'revenge', 'story', 'retired', 'detective', 'ex-lover', 'psychiatrist', 'Laura', 'Santini', 'Paola', 'Krum', 'Santini', 'had', 'misfortune', 'acting', 'hostage', 'negotiator', 'seige', 'are', 'main', 'targets', 'killer', 'delights', 'sadistic', 'cat-and-mouse', 'game', 'despatching', 'other', 'victims', 'increasingly', 'bizarre', 'gruesome', 'ways', 'accompanying', 'tombstone', 'carved', 'cryptic', 'epitaph', 'outlining', 'supposed', 'crime', 'hence', 'title.Made', 'Argentina', 'excellent', 'Spanish-speaking', 'cast', 'was', 'originally', 'intended', 'broadcast', 'only', 'Latin', 'America', 'popularity', 'critical', 'acclaim', 'led', 'inclusion', 'US', 'HBO-Latino', 'channel', 'Now', 'being', 'released', 'DVD', 'suitably', 'subtitled', 'non', 'Spanish-speaking', 'Americans', 'miniseries', 'just', '13', '45-min-long', 'episodes', 'anything', ""'ve"", 'seen', 'TV', 'unremittingly', 'dark', 'gruesome', 'opening', 'episode', 'first', 'victim', 'dismembered', 'body', 'parts', 'strewn', 'artistically', 'house', 'violence', 'almost', 'always', 'off-camera', 'are', 'shown', 'gory', 'after-effects', 'definitely', 'not', 'squeamish', 'identity', 'killer', 'made', 'known', 'third', 'episode', 'tension', 'never', 'flags', 'builds', 'inexorably', 'very', 'satisfying', 'dark', 'climax', 'happy', 'ending', 'have', 'described', 'bleak', 'ray', 'defiant', 'optimism', 'end', 'just', 'dispel', 'utter', 'darkness.This', 'altogether', 'excellent', 'production', 'literate', 'suspense-filled', 'script', 'complex', 'believable', 'characters', 'superb', 'all-round', 'cast', 'However', 'HBO', 'DVD', 'marred', 'absence', 'anamorphic', 'enhancement', 'not', 'enhanced', 'widescreen', 'TV', 'presented', 'original', '16x9', 'widescreen', 'aspect', 'letterboxed', 'standard', '4x3', 'frame', 'picture', 'quality', 'very', 'good', 'non-anamorphic', 'transfer', 'still', 'what', 'possible', 'suitable', 'anamorphic', 'enhancement', 'Considering', 'high', 'asking-price', 'HBO', 'should', 'have', 'done', 'better', 'original', 'Spanish', '2.0', 'Dolby', 'Surround', 'track', 'provided', 'satisfyingly', 'deep', 'bass', 'heard', 'best', 'Ivan', 'Wyszogord', 'darkly', 'throbbing', 'score', 'haunting', 'soprano', 'line', 'soaring', 'gloom', 'Dialogue', 'crystal', 'clear', 'operatic', 'exerpts', 'are', 'reproduced', 'very', 'accurately', 'killer', 'penchant', 'Bizet', 'Carmen', 'especially', 'Habanera', 'hear', 'episode', 'not', 'listening', ""'ll"", 'be', 'whistling', 'Optional', 'Spanish', 'English', 'subtitles', 'are', 'provided', 'only', 'Extra', '11-minute', 'Scenes', 'featurette', 'Spanish', 'optional', 'English', 'subtitles', 'HBO', 'gone', 'way', 'make', 'DVD', 'accessible', 'Spanish', 'English', 'audiences', 'box-art', 'DVD', 'menus', 'submenus', 'plot-summaries', 'episode', 'are', 'available', 'Spanish', 'English.Note', 'Being', 'TV', 'series', 'not', 'rated', 'were', 'film', 'submitted', 'MPAA', 'would', 'likely', 'receive', 'R-rating', 'disturbing', 'violence', 'offensive', 'language', 'nudity', 'sexual', 'situations']",Epitafios - The Complete First Season
998656,A1361KPZFNNX8Y,B000G1R4TI,ED,"[0, 0]",THE LIVES OF ARGENTINE DECTECTIVES AND  THE STRANGE CASES THEYENCOUNTER. ALOT OF DRAMA AND SUSPENSE. COULD NOT TO SEE THE SECONDSEASON,5,EPITAFIOS IST SEASON,1355356800,"12 13, 2012",2012,134,"['LIVES', 'OF', 'ARGENTINE', 'DECTECTIVES', 'THE', 'STRANGE', 'CASES', 'THEYENCOUNTER', 'ALOT', 'DRAMA', 'AND', 'SUSPENSE', 'COULD', 'NOT', 'TO', 'SEE', 'THE', 'SECONDSEASON']",Epitafios - The Complete First Season
998657,A29QA79VLQGHY6,B000G1R4TI,Flipper Campbell,"[14, 16]","""Epitafios"" is more violent than ""The Sopranos,"" stranger than ""Carnivale"" and features characters at least as damaged as the ""Six Feet Under"" undertakers. But for El Norte viewers with savory tastes and strong stomachs to match, ""Epitafios"" is a seriously cool find. Think ""Seven"" churned with ""Millennium,"" ""The Wire"" and a dash of telenova passion.Driving the narrative is the story's brilliant young psychopath, Bruno (Antonio Birabent). He's an evildoer pulled from the same Jungian well as Hannibal Lecter -- only meaner and better looking. His obsessions include torture as an art form and Bizet's ""Carmen."" He's kind to corpses and his pet rat. He can't be stopped.There's one featured murder per episode, with plenty of collateral damage. ""Epitafios"" specializes in making its audience care about key characters, and then ripping them away. Part of the show's voodoo is its deep reserve of ways to creep out viewers.Good as it is, ""Epitafios"" isn't consistently up to first-rate horror/thriller standards -- the writing goes brain-dead here and there; the romance feels like daytime TV; the villain eventually comes off like a gay Terminator. The series' momentum sags in the middle, as the filmmakers struggle with the task of making what is essentially a 13-hour horror film.Nevermind the quibbling. If you've read this far, you gotta check it out. ""Epitafios"" comes guaranteed as addictive, creepy as hell and intellectually challenging. It remains true to its grisly aesthetic to the final stop.Side notes: The Season 1 reference seems optimistic, as Argentine co-producer Pol-ka appears unlikely to revive the series.) As to the audio questions below: Buy with confidence. It's in Spanish. Period. English subtitles. No dubbed version. More than adequate sound and images.",4,Great HBO series ... that never aired on HBO,1155772800,"08 17, 2006",2006,1786,"['Epitafios', 'more', 'violent', 'Sopranos', 'stranger', 'Carnivale', 'characters', 'least', 'as', 'damaged', 'Six', 'Feet', 'undertakers', 'El', 'Norte', 'viewers', 'savory', 'tastes', 'strong', 'stomachs', 'match', 'Epitafios', 'seriously', 'cool', 'find', 'Think', 'Seven', 'churned', 'Millennium', 'Wire', 'dash', 'telenova', 'passion.Driving', 'narrative', 'story', 'brilliant', 'young', 'psychopath', 'Bruno', 'Antonio', 'Birabent', 'evildoer', 'pulled', 'same', 'Jungian', 'well', 'Hannibal', 'Lecter', 'only', 'meaner', 'better', 'looking', 'obsessions', 'include', 'torture', 'art', 'form', 'Bizet', 'Carmen', 'kind', 'corpses', 'pet', 'rat', 'ca', ""n't"", 'be', 'stopped.There', 'one', 'featured', 'murder', 'episode', 'plenty', 'collateral', 'damage', 'Epitafios', 'making', 'audience', 'care', 'key', 'characters', 'then', 'ripping', 'away', 'Part', 'show', 'voodoo', 'deep', 'reserve', 'ways', 'creep', 'out', 'viewers.Good', 'Epitafios', ""n't"", 'consistently', 'first-rate', 'horror/thriller', 'standards', 'writing', 'brain-dead', 'here', 'there', 'romance', 'feels', 'daytime', 'TV', 'villain', 'eventually', 'gay', 'Terminator', 'series', 'momentum', 'sags', 'middle', 'filmmakers', 'struggle', 'task', 'making', 'what', 'essentially', '13-hour', 'horror', 'quibbling', ""'ve"", 'read', 'far', 'got', 'ta', 'check', 'out', 'Epitafios', 'guaranteed', 'addictive', 'creepy', 'hell', 'intellectually', 'challenging', 'true', 'grisly', 'aesthetic', 'final', 'stop.Side', 'notes', 'Season', '1', 'reference', 'optimistic', 'Argentine', 'co-producer', 'Pol-ka', 'unlikely', 'revive', 'series', 'audio', 'questions', 'Buy', 'confidence', 'Spanish', 'Period', 'English', 'subtitles', 'dubbed', 'version', 'More', 'adequate', 'sound', 'images']",Epitafios - The Complete First Season
998658,A1SAZB83QFR0W2,B000G1R4TI,"JackOfMostTrades ""Jack""","[0, 0]","I don't usually get discomfited by violence and gore in film. The 'Walking Dead' series makes me laugh. But Epitafios is really hard to take unless you can completely rationalize the fact you're watching a film and not real life. I won't go into the gruesome ways the serial killer 'offs' his victims--apparently for revenge that occurred when he was a high school student.  But after a while, I just had enough--I found myself wondering what horrible way the killer would find to give his victims their just desserts.  The torture the victims endure make the punishments meted out during the Inquistion seem like mild spankings.  The only element of this series I enjoyed was a look at the culture of Buenes Aires, which, at least in the series, isn't much different from the gritty, urban world of American cities.",4,"OK, even I got grossed out",1359590400,"01 31, 2013",2013,816,"['do', ""n't"", 'usually', 'get', 'discomfited', 'violence', 'gore', 'film', ""'Walking"", 'Dead', 'series', 'laugh', 'Epitafios', 'really', 'hard', 'take', 'can', 'completely', 'rationalize', 'fact', ""'re"", 'watching', 'film', 'not', 'real', 'life', 'wo', ""n't"", 'go', 'gruesome', 'ways', 'serial', 'killer', ""'offs"", 'victims', 'apparently', 'revenge', 'occurred', 'when', 'was', 'high', 'school', 'student', 'while', 'just', 'had', 'enough', 'found', 'wondering', 'what', 'horrible', 'way', 'killer', 'would', 'find', 'give', 'victims', 'just', 'desserts', 'torture', 'victims', 'endure', 'make', 'punishments', 'meted', 'out', 'Inquistion', 'seem', 'mild', 'spankings', 'only', 'element', 'series', 'enjoyed', 'was', 'look', 'culture', 'Buenes', 'Aires', 'least', 'series', ""n't"", 'much', 'different', 'gritty', 'urban', 'world', 'American', 'cities']",Epitafios - The Complete First Season
998659,AFDX0Y0PF6RX1,B000G1R4TI,"J. Canas ""mcr_cr""","[0, 0]","Although Epitafios is TV, I would consider it as good cinema.  It is compeling and keeps you on in suspense until the end.  For the Spanish speakers, although it is filmed in Argentina, the actors don't have the thick argentinian accent and better yet it does not uses argentinian slang that is undecifrable unless you are local.  This is good and you won't regret it.",5,Great script better cinema,1186531200,"08 8, 2007",2007,368,"['Epitafios', 'TV', 'would', 'consider', 'good', 'cinema', 'compeling', 'suspense', 'end', 'Spanish', 'speakers', 'filmed', 'Argentina', 'actors', 'do', ""n't"", 'have', 'thick', 'argentinian', 'accent', 'better', 'yet', 'not', 'uses', 'argentinian', 'slang', 'undecifrable', 'are', 'local', 'good', 'wo', ""n't"", 'regret']",Epitafios - The Complete First Season
