,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1003517,A34LLI6OHSP2CA,B000GFTR1M,"BBL3 ""Lisa""","[0, 0]","These movies are funny, and suppose to be. Her facial movements crack me up.- and the music reminds me of Austin Powers! With her husband playing in every movie with her, it is a hoot. Fun to watch, but really not in the sense of a TRUE Miss Marple movie.",4,"Funny, but just not Miss Marple.",1399420800,"05 7, 2014",2014,255,"['movies', 'are', 'funny', 'suppose', 'be', 'facial', 'movements', 'crack', 'up.-', 'music', 'Austin', 'Powers', 'husband', 'playing', 'movie', 'hoot', 'Fun', 'watch', 'really', 'not', 'sense', 'TRUE', 'Miss', 'Marple', 'movie']",An Agatha Christie's Miss Marple Mystery Movie: Murder Ahoy
1003518,A1SXL7HGYWIUNS,B000GFTR1M,"Christopher E. Reid ""reader mom""","[0, 0]","This is supposed to be Miss Marple, but it is some other writer's interpretation of Miss Marple and unrecognizable as Agatha Christy's character. The plot was okay, but lacked the depth and complexity of Agatha Christy. Lionel Jeffries was the best part. Overall this was a big disappointment.",2,Not for Agatha Christy fans,1383091200,"10 30, 2013",2013,293,"['supposed', 'be', 'Miss', 'Marple', 'other', 'writer', 'interpretation', 'Miss', 'Marple', 'unrecognizable', 'Agatha', 'Christy', 'character', 'plot', 'was', 'okay', 'lacked', 'depth', 'complexity', 'Agatha', 'Christy', 'Lionel', 'Jeffries', 'was', 'best', 'part', 'was', 'big', 'disappointment']",An Agatha Christie's Miss Marple Mystery Movie: Murder Ahoy
1003519,A2BVCF2AKHHCDF,B000GFTR1M,connie,"[0, 0]",i enjoy all agatha christie's movies..the one with margaret rutherford are really great..now i can watch them on my new kindle tooo.....,5,movie for kindle,1360540800,"02 11, 2013",2013,136,"['i', 'enjoy', 'agatha', 'christie', 'movies..the', 'one', 'margaret', 'rutherford', 'are', 'really', 'great..now', 'i', 'can', 'watch', 'new', 'kindle', 'tooo', '..']",An Agatha Christie's Miss Marple Mystery Movie: Murder Ahoy
1003520,A29TKSIWA3JKF3,B000GFTR1M,Einsatz,"[0, 0]","Murder Ahoy has the distinction of being just an ""interpretation"" of Miss Marple (the inspiration coming from They Do It With Mirrors).  It begins as they all do, with a murder.  In this case, a man is snuffed out with snuff.  As with the other installments in the Rutherford series, she comes up against the sanctimonious Inspector Craddock (Charles `Bud' Tingwell), who manages to become more disagreeable as the films progressed in spite of the fact that Miss Marple is always correct.As the title suggests, this film takes place at sea (or near enough as the ship in question is anchored in a harbor not far from shore).  Always underappreciated, Miss Marple is loath to deal with a bombastic Captain (wonderfully played by Lionel Jeffries as an insufferable blowhard).  He wants her off his ship but she will have her way and snoops to her heart's content.Favorite scene, the indomitable Miss Marple (Margaret Rutherford) joining in a rousing rendition of Rule Britannia (if not in good voice, at least in the spirit of it).  Also loved it when she hauled out her chemistry set to discover the poison involved.  No end of fun.",5,"""Run through then hung.  Seems like gilding the lily.""",1385942400,"12 2, 2013",2013,1131,"['Murder', 'Ahoy', 'distinction', 'being', 'just', 'interpretation', 'Miss', 'Marple', 'inspiration', 'coming', 'Do', 'Mirrors', 'do', 'murder', 'case', 'man', 'snuffed', 'out', 'snuff', 'other', 'installments', 'Rutherford', 'series', 'up', 'sanctimonious', 'Inspector', 'Craddock', 'Charles', 'Bud', 'Tingwell', 'who', 'become', 'more', 'disagreeable', 'films', 'progressed', 'spite', 'fact', 'Miss', 'Marple', 'always', 'correct.As', 'title', 'film', 'place', 'sea', 'near', 'enough', 'ship', 'question', 'anchored', 'harbor', 'not', 'far', 'shore', 'Always', 'underappreciated', 'Miss', 'Marple', 'loath', 'deal', 'bombastic', 'Captain', 'wonderfully', 'played', 'Lionel', 'Jeffries', 'insufferable', 'blowhard', 'off', 'ship', 'will', 'have', 'way', 'snoops', 'heart', 'content.Favorite', 'scene', 'indomitable', 'Miss', 'Marple', 'Margaret', 'Rutherford', 'joining', 'rousing', 'rendition', 'Rule', 'Britannia', 'not', 'good', 'voice', 'least', 'spirit', 'Also', 'loved', 'when', 'hauled', 'out', 'chemistry', 'set', 'discover', 'poison', 'involved', 'end', 'fun']",An Agatha Christie's Miss Marple Mystery Movie: Murder Ahoy
1003521,A2GA2SO3YK6CXI,B000GFTR1M,"Esperanza Reynolds ""Hope Reynolds""","[4, 4]","There is nothing better than seeing old movies. Their simplicity and lack of special effects made acting an art, and what is better than to see a good Agatha Christie mystery unfold before our eyes?In Murder Ahoy, we see a chief inspector of police that needs lots of help to solve a murder that takes place... on land and on to sea... Miss Marple is part of the board of trustees of a ship. One of the trustees wants to reveal something he discovered while on board, but he is murdered by a poisonous substance placed in his snuff... and as he draws the powdered tobacco into his nostrils, we see him succumb to the killers plot.Miss Marple suspects the death was not by natural causes as the doctor has ruled, and she takes a sample of the snuff, which by coincidence was left on the paper she had on the conference table, and with the assistance of her chemistry set... for girls, she sets out to discover what substance was used.As usual, Miss Marple comes across as a bit eccentric, her artful way to conceal that she is a sleuth on skirt and high heels. She suspects that what the murdered board of trustee member wanted to talk about has to do with something he discovered while on board, and she decides to spend a few days on the ship to discover what that is. Such fun to see her displace the captain by taking his quarters as her abode, and to see the rank and file displace those beneath her... until they all move from room to room to allow a superior to receive better space...Well, the film will leave you enchanted with such nice detective work, conducted during a time where it was all done by the intelligence and deductive powers of individuals who had no access to computers, finger prints, or laboratories. You will enjoy lots of British humor as you watch Miss Marple take them all on, and at some point, she even duels the murderer... We thoroughly enjoyed this episode of yet another awesome Agatha Christie mystery. Don't miss it!",5,Agatha Christie murder mystery at its best...,1222041600,"09 22, 2008",2008,1955,"['nothing', 'better', 'seeing', 'old', 'movies', 'simplicity', 'lack', 'special', 'effects', 'made', 'acting', 'art', 'what', 'better', 'see', 'good', 'Agatha', 'Christie', 'mystery', 'unfold', 'eyes', 'Murder', 'Ahoy', 'see', 'chief', 'inspector', 'police', 'lots', 'help', 'solve', 'murder', 'place', 'land', 'sea', 'Miss', 'Marple', 'part', 'board', 'trustees', 'ship', 'One', 'trustees', 'reveal', 'something', 'discovered', 'board', 'murdered', 'poisonous', 'substance', 'placed', 'snuff', 'powdered', 'tobacco', 'nostrils', 'see', 'succumb', 'killers', 'plot.Miss', 'Marple', 'death', 'was', 'not', 'natural', 'causes', 'doctor', 'ruled', 'sample', 'snuff', 'coincidence', 'was', 'left', 'paper', 'had', 'conference', 'table', 'assistance', 'chemistry', 'set', 'girls', 'out', 'discover', 'what', 'substance', 'was', 'used.As', 'usual', 'Miss', 'Marple', 'across', 'bit', 'eccentric', 'artful', 'way', 'conceal', 'sleuth', 'skirt', 'high', 'heels', 'what', 'murdered', 'board', 'trustee', 'member', 'wanted', 'talk', 'do', 'something', 'discovered', 'board', 'spend', 'few', 'days', 'ship', 'discover', 'what', 'Such', 'fun', 'see', 'displace', 'captain', 'taking', 'quarters', 'abode', 'see', 'rank', 'file', 'displace', 'move', 'room', 'room', 'allow', 'superior', 'receive', 'better', 'space', 'Well', 'film', 'will', 'leave', 'enchanted', 'such', 'nice', 'detective', 'work', 'conducted', 'time', 'where', 'was', 'done', 'intelligence', 'deductive', 'powers', 'individuals', 'who', 'had', 'access', 'computers', 'finger', 'prints', 'laboratories', 'will', 'enjoy', 'lots', 'British', 'humor', 'watch', 'Miss', 'Marple', 'take', 'point', 'even', 'duels', 'murderer', 'thoroughly', 'enjoyed', 'episode', 'yet', 'awesome', 'Agatha', 'Christie', 'mystery', 'Do', ""n't"", 'miss']",An Agatha Christie's Miss Marple Mystery Movie: Murder Ahoy
1003522,A30IGZLZSVT29,B000GFTR1M,happy camper,"[0, 0]",Margaret Rutherford is my favorite Ms. Marple ever. Not only does the AC Mystery deliver but Ms. Rutherford is comic and generous all at the same time.,5,Ms. Marple,1390867200,"01 28, 2014",2014,151,"['Margaret', 'Rutherford', 'favorite', 'Ms.', 'Marple', 'ever', 'Not', 'only', 'AC', 'Mystery', 'deliver', 'Ms.', 'Rutherford', 'comic', 'generous', 'same', 'time']",An Agatha Christie's Miss Marple Mystery Movie: Murder Ahoy
1003523,A1UFV4HALV2OXW,B000GFTR1M,"Indian Prairie Public Library ""ippl.info""","[0, 0]","Margaret Rutherford is my all time favorite ""Miss Marple."" Although she does not fit the physical description of Agatha Christie's  character, Rutherford brings a delightful touch to the character. The movie blends intrigue with humor and is family friendly. The film's black and white might be off putting to younger audiences.",5,Blends intrigue with humor and is family friendly,1309910400,"07 6, 2011",2011,328,"['Margaret', 'Rutherford', 'time', 'favorite', 'Miss', 'Marple', 'not', 'fit', 'physical', 'description', 'Agatha', 'Christie', 'character', 'Rutherford', 'delightful', 'touch', 'character', 'movie', 'intrigue', 'humor', 'family', 'friendly', 'film', 'black', 'white', 'might', 'be', 'off', 'putting', 'younger', 'audiences']",An Agatha Christie's Miss Marple Mystery Movie: Murder Ahoy
1003524,A3UDYY6L2NH3JS,B000GFTR1M,"Jacques COULARDEAU ""A soul doctor, so to say""","[1, 1]","Nothing is serious in this criminal detective and private eye story. It is all humor, oh no, fun really. But who is getting the fun out of the story? Agatha Christie? For sure, and she even manages to put a direct allusion at her famous dramatic success in London for more years than anyone else, The Mousetrap. But she is making fun at a bishop, a lord and a few other social entities. And she enjoys it enormously. But we could wonder if it is not Miss Marple who is making fun of all these heavy heads and straight jacketed minds. We would be right too. She obviously makes fun of the poor detective inspector or chief inspector, of the captain, of a few more people in the dear society of Winchester. She appears as an eccentric, and she cultivates that appearance because one has to keep up appearances and because that's her true hallmark and method to capture the attention of those she wants not to see what she is really doing. To go inconspicuous, this Miss Marple knows we have to go very visible. But it could also be Margaret Rutherford who is enjoying herself at our expense, and there too I think we have a point. She seems to be enjoying herself so much that she could be God himself come down incognito. This film is a little gem of such nice detective suspense laced and stuffed with a lot of British or English humor, with a lot of tongues in a lot of cheeks. Quite  interesting if we consider it as a remnant and a testimony of a time when computers did not exist and scientific police was not yet a glimmer in the eye of an administrative law and order progenitor. And we managed to arrest criminals in those days when we did not even have a computer to process and identify finger prints.Dr Jacques COULARDEAU, University Paris Dauphine, University Paris 1 Pantheon Sorbonne & University Versailles Saint Quentin en Yvelines",5,Funnier than me you die,1216166400,"07 16, 2008",2008,1846,"['Nothing', 'serious', 'criminal', 'detective', 'private', 'eye', 'story', 'humor', 'oh', 'fun', 'really', 'who', 'getting', 'fun', 'story', 'Agatha', 'Christie', 'sure', 'even', 'put', 'direct', 'allusion', 'famous', 'dramatic', 'success', 'London', 'more', 'years', 'anyone', 'else', 'Mousetrap', 'making', 'fun', 'bishop', 'lord', 'few', 'other', 'social', 'entities', 'enormously', 'could', 'wonder', 'not', 'Miss', 'Marple', 'who', 'making', 'fun', 'heavy', 'heads', 'straight', 'jacketed', 'minds', 'would', 'be', 'right', 'too', 'obviously', 'fun', 'poor', 'detective', 'inspector', 'chief', 'inspector', 'captain', 'few', 'more', 'people', 'dear', 'society', 'Winchester', 'eccentric', 'appearance', 'one', 'keep', 'up', 'appearances', 'true', 'hallmark', 'method', 'capture', 'attention', 'not', 'see', 'what', 'really', 'doing', 'go', 'inconspicuous', 'Miss', 'Marple', 'have', 'go', 'very', 'visible', 'could', 'also', 'be', 'Margaret', 'Rutherford', 'who', 'enjoying', 'expense', 'there', 'too', 'think', 'have', 'point', 'be', 'enjoying', 'so', 'much', 'could', 'be', 'God', 'come', 'down', 'incognito', 'film', 'little', 'gem', 'such', 'nice', 'detective', 'suspense', 'laced', 'stuffed', 'lot', 'British', 'English', 'humor', 'lot', 'tongues', 'lot', 'cheeks', 'Quite', 'interesting', 'consider', 'remnant', 'testimony', 'time', 'when', 'computers', 'did', 'not', 'exist', 'scientific', 'police', 'was', 'not', 'yet', 'glimmer', 'eye', 'administrative', 'law', 'order', 'progenitor', 'managed', 'arrest', 'criminals', 'days', 'when', 'did', 'not', 'even', 'have', 'computer', 'process', 'identify', 'finger', 'prints.Dr', 'Jacques', 'COULARDEAU', 'University', 'Paris', 'Dauphine', 'University', 'Paris', '1', 'Pantheon', 'Sorbonne', 'University', 'Versailles', 'Saint', 'Quentin', 'Yvelines']",An Agatha Christie's Miss Marple Mystery Movie: Murder Ahoy
1003525,A14BTJRH9VNLJJ,B000GFTR1M,Kurt A. Johnson,"[1, 1]","When elderly spinster Jane Marple (played by Margaret Rutherford) attends a meeting of trustees for a training ship for juvenile delinquents, and one of her fellow trustees drops dead under mysterious circumstances, she realizes that it is time for her to investigate. Boarding the ship, HMS Battledore, she soon finds out that things are positively fishy! Somebody about the Battledore is hiding something, and they are prepared to use murder to keep their secret. [Black and White, released in 1964, with a running time of 1 hour, 33 minutes.]I must admit that my wife and I chanced across this Miss Marple movie after having become great fans of Joan Hickson's interpretation of the role, and were not too happy with it. Later, however, having accepted that this is not Joan Hickson's Miss Marple, but accepting it for its self, we came to love this movie. Margaret Rutherford brings a real presence to the role, adding a touch of humor, and making the story (not actually written by Agatha Christie, but a good mystery nonetheless) quite entertaining.So, if you like a good mystery, or if you like old movies, then I highly recommend this movie to you. It's great!",5,It's great!,1359072000,"01 25, 2013",2013,1168,"['When', 'elderly', 'spinster', 'Jane', 'Marple', 'played', 'Margaret', 'Rutherford', 'meeting', 'trustees', 'training', 'ship', 'juvenile', 'delinquents', 'one', 'fellow', 'trustees', 'drops', 'dead', 'mysterious', 'circumstances', 'time', 'investigate', 'Boarding', 'ship', 'HMS', 'Battledore', 'soon', 'out', 'things', 'are', 'positively', 'fishy', 'Somebody', 'Battledore', 'hiding', 'something', 'are', 'prepared', 'use', 'murder', 'keep', 'secret', '[', 'Black', 'White', 'released', '1964', 'running', 'time', '1', 'hour', '33', 'minutes', ']', 'must', 'admit', 'wife', 'chanced', 'Miss', 'Marple', 'movie', 'having', 'become', 'great', 'fans', 'Joan', 'Hickson', 'interpretation', 'role', 'were', 'not', 'too', 'happy', 'Later', 'however', 'having', 'accepted', 'not', 'Joan', 'Hickson', 'Miss', 'Marple', 'accepting', 'self', 'came', 'love', 'movie', 'Margaret', 'Rutherford', 'real', 'presence', 'role', 'adding', 'touch', 'humor', 'making', 'story', 'not', 'actually', 'written', 'Agatha', 'Christie', 'good', 'mystery', 'nonetheless', 'quite', 'entertaining.So', 'like', 'good', 'mystery', 'like', 'old', 'movies', 'then', 'highly', 'recommend', 'movie', 'great']",An Agatha Christie's Miss Marple Mystery Movie: Murder Ahoy
1003526,A4QC76NMWE5OC,B000GFTR1M,"Michael Taylor ""Michael Taylor""","[4, 4]","""Murder Ahoy"", starring Margaret Rutherford, is another charming addition to the Miss Marple Movie series.  The setting is partly an English seaside village while the main setting is a small ship just offshore from the village.The theme is the ship's crew being used to commit crimes for a particular person's benefit.  There are a total of 3 murders before the mastermind is apprehended and brought to justice.  As usual, Miss Marple is assisted by Mr. Stringer and the chief detective, all of which play charming roles.The movie lasts around 1.5 hours and breezes along nicely.Watch and enjoy this installment of the Miss Marple series.Recommended.",5,Murder Ahoy,1265414400,"02 6, 2010",2010,650,"['Murder', 'Ahoy', 'starring', 'Margaret', 'Rutherford', 'charming', 'addition', 'Miss', 'Marple', 'Movie', 'series', 'setting', 'partly', 'English', 'seaside', 'village', 'main', 'setting', 'small', 'ship', 'just', 'offshore', 'village.The', 'theme', 'ship', 'crew', 'being', 'used', 'commit', 'crimes', 'particular', 'person', 'benefit', 'are', 'total', '3', 'murders', 'mastermind', 'apprehended', 'brought', 'justice', 'usual', 'Miss', 'Marple', 'assisted', 'Mr.', 'Stringer', 'chief', 'detective', 'play', 'charming', 'roles.The', 'movie', 'around', '1.5', 'hours', 'breezes', 'nicely.Watch', 'enjoy', 'installment', 'Miss', 'Marple', 'series.Recommended']",An Agatha Christie's Miss Marple Mystery Movie: Murder Ahoy
