,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1058289,ARC7R1Z0J4OUV,B000NOIVV8,"Angela G. Birt ""Silversurf4""","[8, 10]","While the shards of humanity are traversing the galaxy in search of Earth, the producers, cast and actors of Battlestar Galactica have brought thought provoking science fiction to this pale blue dot.  The top notch cast of accomplished actors and relative unknowns blend together seamlessly producing stories with a cutting edge, with applicability to today's problems. You see the fledgling president cut her teeth on tough issues, buck up against a distrustful but honorable military leader and the issues it produces.  Starring such A-list actors as Mary McDonnell and Edward James Olmos, they raise the level of play and while there are effects the story and characters are the centerpience.  Even the bad guy cylons (skin jobs, not the toasters) are complex and multi-faceted.  Season Two was terrific, season three unbelievable and I really can't wait to see where these talented, visionaries take us to next year.  Try it out, guaranteed to catch and hold your attention -- and at times, your breath.",5,Thought provoking sci-fi has arrived on Earth,1178928000,"05 12, 2007",2007,1007,"['shards', 'humanity', 'are', 'traversing', 'galaxy', 'search', 'Earth', 'producers', 'cast', 'actors', 'Battlestar', 'Galactica', 'have', 'brought', 'thought', 'provoking', 'science', 'fiction', 'pale', 'blue', 'dot', 'top', 'notch', 'cast', 'accomplished', 'actors', 'relative', 'unknowns', 'blend', 'together', 'seamlessly', 'producing', 'stories', 'cutting', 'edge', 'applicability', 'today', 'problems', 'see', 'fledgling', 'president', 'cut', 'teeth', 'tough', 'issues', 'buck', 'up', 'distrustful', 'honorable', 'military', 'leader', 'issues', 'Starring', 'such', 'A-list', 'actors', 'Mary', 'McDonnell', 'Edward', 'James', 'Olmos', 'raise', 'level', 'play', 'are', 'effects', 'story', 'characters', 'are', 'centerpience', 'Even', 'bad', 'guy', 'cylons', 'skin', 'jobs', 'not', 'toasters', 'are', 'complex', 'multi-faceted', 'Season', 'Two', 'was', 'terrific', 'season', 'three', 'unbelievable', 'really', 'ca', ""n't"", 'wait', 'see', 'where', 'talented', 'visionaries', 'take', 'next', 'year', 'Try', 'out', 'guaranteed', 'catch', 'hold', 'attention', 'times', 'breath']",Battlestar Galactica(2004): Season 2.0 / Battlestar Galactica (2004): Season 2.5 Value Pack
1058290,A2YS46W9S4SKXB,B000NOIVV8,"Charles ""Snakebit""","[3, 7]","Gritty action, tough politics, cool androids that look just like us....only better in many cases. There will only be three seasons of this show, stroke your sci-fi jones and buy them. It doesn't get any better!!",5,BSG best series ever!,1193184000,"10 24, 2007",2007,211,"['Gritty', 'action', 'tough', 'politics', 'cool', 'androids', 'look', 'just', '.only', 'better', 'many', 'cases', 'will', 'only', 'be', 'three', 'seasons', 'show', 'stroke', 'sci-fi', 'jones', 'buy', ""n't"", 'get', 'better']",Battlestar Galactica(2004): Season 2.0 / Battlestar Galactica (2004): Season 2.5 Value Pack
1058291,ASSBVTLDLI1X3,B000NOIVV8,"Darren Longo ""DL""","[1, 2]","Great series, you will enjoy it, the only draw back is you will end up buying the entire series.",5,New Battlestar Galactica,1188432000,"08 30, 2007",2007,96,"['Great', 'series', 'will', 'enjoy', 'only', 'draw', 'back', 'will', 'end', 'up', 'buying', 'entire', 'series']",Battlestar Galactica(2004): Season 2.0 / Battlestar Galactica (2004): Season 2.5 Value Pack
1058292,A3MUII6MG5EEEN,B000NOIVV8,"Denise ""luv2read""","[0, 0]","I am a Battlestar fan since day one and found the 2.5 season better than the 2.0.  I've watched it at least three times and it never gets old.  If you are new to Battlestar, definately start at the beginning with the two hour SCI FI movie and go from there.  I'm sad the show is ending, but it will not be gone forever thanks to the dvd's. Definately worth the money to purchase and if you like entertainment, there isn't anything on television now that can compare to the drama in Battlestar.......",4,Love Love Love This Show..........,1209081600,"04 25, 2008",2008,499,"['am', 'Battlestar', 'fan', 'day', 'one', 'found', '2.5', 'season', 'better', '2.0', ""'ve"", 'watched', 'least', 'three', 'times', 'never', 'old', 'are', 'new', 'Battlestar', 'definately', 'start', 'beginning', 'two', 'hour', 'SCI', 'FI', 'movie', 'go', 'there', ""'m"", 'sad', 'show', 'ending', 'will', 'not', 'be', 'gone', 'forever', 'thanks', 'dvd', 'Definately', 'money', 'purchase', 'like', 'entertainment', ""n't"", 'anything', 'television', 'now', 'can', 'compare', 'drama', 'Battlestar']",Battlestar Galactica(2004): Season 2.0 / Battlestar Galactica (2004): Season 2.5 Value Pack
1058293,A1TQAK53H2LT5Q,B000NOIVV8,H. Heavens,"[3, 3]","On my review on Battlestar Galactica season 1 I said it was the most engaging show on television. For Season 2 i want to focus on 2 reasons why its the most engaging.Jamie Bamber- My favorite character on BG is Cpt. Lee Adama (potrayed by British Actor Jamie Bamber). Now I have never seen any other work with this fine actor so how could i possibly be such a huge fan of his? If you were ever in a relationship when your father was an important figure you will instantly understand his dilemna. A son that tried hard to become more than his father's shadow is a time old situation and one that has been thoroughly debated over the course of time. Lee Adama not only personfies this but puts you in his very shoes. He potrays this role to perfection, he is so convincing you wonder how he finds the motivation to pull off his lines with such poetic justice. He brings a side to this show that makes you believe, even though it is a sci fi show, it resonates the very struggle between human life and conflicts, he is a major reason to watch this show.Katie Sackoff- the remake of BG caught much flack at first because of loud mouth, wise cracking Starbuck is portrayed as a female character instead of a male lead. The only role i saw her play before this was the eager college girl she played in haloween resurrection.  Katie took the role of loud mouth, cigar toting Starbuck and made it as it was hers to begin with. She brings such a humanizing effect to this role that it simply outshines most other actors not only in this show, but any show on TV. You find yourself laughing at Starbuck when she brutally mentally distresses young pilots fighting for a spot in the fleet, or when she falls in love with a leader of the resistance movement on Caprica, to when she realizes her true love is someone she is too scared to explore fully. Her character is dynamic but also resonates so much truth in all of us, male or female you can relate to her struggles. She is a heroine for the new age.This show continues to amaze me in so many ways.  Battlestar Galactica is a show that only has a few seasons left if not 1 more being Season 4.  Will the fleet eventually find earth, will the relationshsips come to the ending you desire. Will these two (out of many) dynamic characters ever find true peace within themselves. If you never gave BG a second thought until now let me make this very clear. This is without a shadow of a doubt the best show currently on network television.",5,Quite possibly the best show on current T.V.,1189209600,"09 8, 2007",2007,2477,"['review', 'Battlestar', 'Galactica', 'season', '1', 'said', 'was', 'most', 'engaging', 'show', 'television', 'Season', '2', 'i', 'want', 'focus', '2', 'reasons', 'why', 'most', 'engaging.Jamie', 'Bamber-', 'My', 'favorite', 'character', 'BG', 'Cpt', 'Lee', 'Adama', 'potrayed', 'British', 'Actor', 'Jamie', 'Bamber', 'Now', 'have', 'never', 'seen', 'other', 'work', 'fine', 'actor', 'how', 'could', 'i', 'possibly', 'be', 'such', 'huge', 'fan', 'were', 'ever', 'relationship', 'when', 'father', 'was', 'important', 'figure', 'will', 'instantly', 'understand', 'dilemna', 'son', 'tried', 'hard', 'become', 'more', 'father', 'shadow', 'time', 'old', 'situation', 'one', 'been', 'thoroughly', 'debated', 'course', 'time', 'Lee', 'Adama', 'not', 'only', 'very', 'shoes', 'role', 'perfection', 'so', 'convincing', 'wonder', 'how', 'motivation', 'pull', 'off', 'lines', 'such', 'poetic', 'justice', 'side', 'show', 'believe', 'even', 'sci', 'fi', 'show', 'very', 'struggle', 'human', 'life', 'conflicts', 'major', 'reason', 'watch', 'show.Katie', 'Sackoff-', 'remake', 'BG', 'caught', 'much', 'flack', 'first', 'loud', 'mouth', 'wise', 'cracking', 'Starbuck', 'portrayed', 'female', 'character', 'instead', 'male', 'lead', 'only', 'role', 'i', 'saw', 'play', 'was', 'eager', 'college', 'girl', 'played', 'haloween', 'resurrection', 'Katie', 'took', 'role', 'loud', 'mouth', 'cigar', 'toting', 'Starbuck', 'made', 'was', 'hers', 'begin', 'humanizing', 'effect', 'role', 'simply', 'most', 'other', 'actors', 'not', 'only', 'show', 'show', 'TV', 'find', 'laughing', 'Starbuck', 'when', 'brutally', 'mentally', 'young', 'pilots', 'fighting', 'spot', 'fleet', 'when', 'love', 'leader', 'resistance', 'movement', 'Caprica', 'when', 'true', 'love', 'someone', 'too', 'scared', 'explore', 'fully', 'character', 'dynamic', 'also', 'so', 'much', 'truth', 'male', 'female', 'can', 'relate', 'struggles', 'heroine', 'new', 'age.This', 'show', 'amaze', 'so', 'many', 'ways', 'Battlestar', 'Galactica', 'show', 'only', 'few', 'seasons', 'left', 'not', '1', 'more', 'being', 'Season', '4', 'Will', 'fleet', 'eventually', 'find', 'earth', 'will', 'relationshsips', 'come', 'ending', 'desire', 'Will', 'two', 'many', 'dynamic', 'characters', 'ever', 'find', 'true', 'peace', 'never', 'gave', 'BG', 'second', 'thought', 'now', 'let', 'make', 'very', 'clear', 'shadow', 'doubt', 'best', 'show', 'currently', 'network', 'television']",Battlestar Galactica(2004): Season 2.0 / Battlestar Galactica (2004): Season 2.5 Value Pack
1058294,A3OVLUPH7N96YP,B000NOIVV8,Jeffory L. Dodson,"[0, 0]","Great series; great revision to a classic series. Tiny bit of comedy, fair amount of action, tons of drama, and fantastic special effects. A very interesting commentary on human nature and civilization.",5,BSG Rocks!!!,1363824000,"03 21, 2013",2013,202,"['Great', 'series', 'great', 'revision', 'classic', 'series', 'Tiny', 'bit', 'comedy', 'fair', 'amount', 'action', 'tons', 'drama', 'fantastic', 'special', 'effects', 'very', 'interesting', 'commentary', 'human', 'nature', 'civilization']",Battlestar Galactica(2004): Season 2.0 / Battlestar Galactica (2004): Season 2.5 Value Pack
1058295,A8EAOXOZXJPR1,B000NOIVV8,Kenneth Kidd,"[0, 0]","If you are a science fiction fan and demand a story line that makes sense, then you have found the right movie series.....",5,Science fiction has new standards,1279497600,"07 19, 2010",2010,122,"['are', 'science', 'fiction', 'fan', 'demand', 'story', 'line', 'sense', 'then', 'have', 'found', 'right', 'movie', 'series', '..']",Battlestar Galactica(2004): Season 2.0 / Battlestar Galactica (2004): Season 2.5 Value Pack
1058296,AIATBRWAEKYST,B000NOIVV8,"K. Gross ""S.F. Magician""","[0, 1]","The re-imagining of BSG was very creative and definitely made me think about things.I have enjoyed the series and can forgive some of the continuity problems. However I should have stopped viewing after season 3.Visually amazing, the story is at times disturbing and at other times is a long drawn out soap opera. The story is re-watchable, and the extra content is worth watching.The sound is good and the picture is crisp. The pacing is at times hectic, and the story advances either really quickly, or not at all.Even by the end of the series, not all of the plot points are addressed, but I believe the right decision was made to end it where they did.",4,A thinly veiled allegory which will make you think.,1263081600,"01 10, 2010",2010,656,"['re-imagining', 'BSG', 'was', 'very', 'creative', 'definitely', 'made', 'think', 'things.I', 'have', 'enjoyed', 'series', 'can', 'forgive', 'continuity', 'problems', 'However', 'should', 'have', 'stopped', 'viewing', 'season', '3.Visually', 'amazing', 'story', 'times', 'disturbing', 'other', 'times', 'long', 'drawn', 'soap', 'opera', 'story', 're-watchable', 'extra', 'content', 'watching.The', 'sound', 'good', 'picture', 'crisp', 'pacing', 'times', 'hectic', 'story', 'really', 'quickly', 'not', 'all.Even', 'end', 'series', 'not', 'plot', 'points', 'are', 'addressed', 'believe', 'right', 'decision', 'was', 'made', 'end', 'where', 'did']",Battlestar Galactica(2004): Season 2.0 / Battlestar Galactica (2004): Season 2.5 Value Pack
1058297,A2QWF2BJ2FM4R2,B000NOIVV8,Lovblad,"[1, 2]","There is no need to go into the details fo the sries since most other reviewers will spoil the fun by telling everything. This season is even an improvement over the first one by production standards. The acting is improved a lot, the screenplays and the directing are very good. For a TV series this is of simply spectacular standard. Personally the interactions with the Cylons (human or nt) are the least intersting things (at least in my opinion) but that should not dstract one from the fact that this is a superbly produced science-fiction series.",5,Great,1197676800,"12 15, 2007",2007,553,"['need', 'go', 'details', 'fo', 'sries', 'most', 'other', 'reviewers', 'will', 'spoil', 'fun', 'telling', 'everything', 'season', 'even', 'improvement', 'first', 'one', 'production', 'standards', 'acting', 'improved', 'lot', 'screenplays', 'directing', 'are', 'very', 'good', 'TV', 'series', 'simply', 'spectacular', 'standard', 'Personally', 'interactions', 'Cylons', 'human', 'nt', 'are', 'least', 'intersting', 'things', 'least', 'opinion', 'should', 'not', 'dstract', 'one', 'fact', 'superbly', 'produced', 'science-fiction', 'series']",Battlestar Galactica(2004): Season 2.0 / Battlestar Galactica (2004): Season 2.5 Value Pack
1058298,A16QODENBJVUI1,B000NOIVV8,Robert Moore,"[38, 41]","Warning!  Spoilers ahead!Buying all of this incredible series on DVD is a more confusing undertaking than it ought to be.  Grouping both halves of Season Two into this single package definitely simplifies things somewhat.  The set also comes with a friendlier price than when each half was sold separately.BATTLESTAR GALACTICA after three seasons has established a critical reputation unprecedented in the history of TV Sci-fi.  A host of mainstream reviewers and publications have named it not merely the best Sci-fi series on TV, but the best series of any genre.  And we are not talking low-profile critics and publications.  At one time or another TV Guide, Ken Tucker, Rolling Stone, the New York Times, Matt Roush, the Chicago Tribune, Maureen Ryan, the San Francisco Chronicle, Entertainment Weekly, and a host of others have praised the show as the best on TV.  It was only one of two shows to make the American Film Institute's list of the Ten Best Shows on TV two years in a row.  To top it all off, in 2006 it won a prestigious Peabody Award.  And all this for a Sci-fi series!But there has never before been Sci-fi like this.  Normally Sci-fi TV is associated with escapist entertainment, clever perhaps at its best, but never truly challenging.  A few series have previously challenged this, in particular FIREFLY and FARSCAPE, but all other series to some degree kept looking over their shoulders at imagined teen viewers, determined never to get either very dark or very outrageous.  BATTLESTAR GALACTICA was the first Sci-fi series targeted more at intelligent grown ups than young male teens (even if those ""teens"" were in their thirties or forties).  BSG went dark and stayed dark, became grittier and grittier, and had a cast of characters who were sometimes heroic but where more often simply messed up.Narratively BSG will, in the end, contain more or less a single narrative.  It is best to think of the show, like LOST, as a long novel that contains individual chapters.  Arcs overlap from season to season and year to year.  For instance, in the Miniseries we are introduced to a Cylon sleeper agent known as Lt. Sharon ""Boomer"" Valerii and in the first episode of Season One a Cylon who is identical to her who is another Sharon (usually referred to merely as ""Sharon"" though later as ""Athena"").  Over the course of the three seasons we gradually see these two Cylons basically trade places.  Season One focuses more on Boomer, but in Season Two and Three the focus is almost exclusively on the other Sharon.  But their stories are not contained neatly in this or that season.  Similarly, we learn in Season One that the Cylons believe that Starbuck is ""special,"" that she ""has a destiny.""  In Season Two that is expanded upon a bit, but it comes to full fruition in Season Three.  It is, therefore, a tad meaningless to say something like, ""Season One is the best season of BSG"" or ""No, Season Two (or Three) is!""  All the seasons hang together.  In the end it will be one long story.While insisting that BSG must be judged as a whole, Season Two is nonetheless remarkable in its own right.  Not that every episode is golden.  In a recent interview BSG creator Ron Moore revealed that over the first three seasons the network had often insisted on stand alone episodes that they hoped would attract new viewers who are otherwise intimidated by the complexity of the overall story.  As a result, the writers were forced each season to insert some episodes that didn't really carry the story forward and were something of a drag on the series as a whole.  The first half of Season Two was not plagued by this problem.  In fact, few of the first ten episodes can truly be considered stand-alone.  ""Final Cut"" and ""The Flight of the Phoenix"" are stand alones, but both of these are utterly remarkably episodes.  But in the second half of the season the series hits something of a dead spot.  ""Black Market"" is widely regarded (even by Ron Moore) as perhaps the weakest episode in the entire series, but it is followed by other episodes that are considered below par, including ""Scar"" and ""Sacrifice.""  Luckily, the stand alone ""Downloaded"" is one of the season highlights and the two-part finale ""Lay Down Your Burdens"" even better.The first seven episodes of Season Two really continue major events of Season One.  These include the fallout from the attempted assassination of Adama in the Season One finale, what happens after Starbuck arrives on Caprica, her and Helo's meeting members of the resistance movement on Caprica, the determination of Roslin and Lee to lead whoever will follow them to Kobol, what happens to Boomer after everyone realizes she is a Cylon, and the reaction to the arrival of Helo's Sharon and what she does to keep herself alive.  ""Final Cut"" and ""The Flight of the Phoenix"" are stand-alone episodes, but ""Pegasus"" introduces the battlestar of that name and its commander Admiral Cain.  I would, however, caution viewers not to watch the version of ""Pegasus"" that appears on the 2.0 disc, but instead to watch the Extended Version on in the 2.5 set.  It adds a lot to the story.The second half of Season Two, with the exception of the amazing Pegasus trilogy of episodes, doesn't carry the story forward as much as the previous season and a half had.  No doubt the network's desire for stand-alone episodes played a role here.  There were, however, a number of plot developments, many of them centered on what to do about Sharon's pregnancy (indeed, what to do with Sharon in general).  The latter part of the season deals with Baltar's challenge of Roslin for the presidency in the upcoming election.  But I would hasten to add that even at its weakest, BSG remains riveting entertainment.  I will admit that I usually skip ""Black Market"" and ""Scar"" when I rewatch Season Two, but I don't skip anything else.I want to close by stating that BSG is actually a series that might be better suited for fans of other quality TV shows more than those viewers who normally watch nothing but Sci-fi.  There is certainly nothing wrong with watching only shows of a particular genre, but my own experience in talking with others, making recommendations to others, getting their feedback, and spending considerable time on various BSG boards that this show appeals more to people who focus less on genre and more on quality.  If your favorite shows of the past decade include such shows as BUFFY THE VAMPIRE SLAYER, THE SOPRANOS, SIX FEET UNDER, THE WEST WING, ANGEL, LOST, THE WIRE, FRIDAY NIGHT LIGHTS, THE GILMORE GIRLS, and VERONICA MARS, you are almost certain to love this show.  Not all fans of the Star Trek or Stargate franchises, on the other hand, always do.  This series breaks down and reconstructs what we expect of a Sci-fi series.",5,Takes TV Sci-fi to realms never before seen - a must-own set,1179705600,"05 21, 2007",2007,6787,"['Warning', 'Spoilers', 'ahead', 'Buying', 'incredible', 'series', 'DVD', 'more', 'confusing', 'undertaking', 'ought', 'be', 'Grouping', 'halves', 'Season', 'Two', 'single', 'package', 'definitely', 'things', 'somewhat', 'set', 'also', 'friendlier', 'price', 'when', 'half', 'was', 'sold', 'separately.BATTLESTAR', 'GALACTICA', 'three', 'seasons', 'established', 'critical', 'reputation', 'unprecedented', 'history', 'TV', 'Sci-fi', 'host', 'mainstream', 'reviewers', 'publications', 'have', 'named', 'not', 'merely', 'best', 'Sci-fi', 'series', 'TV', 'best', 'series', 'genre', 'are', 'not', 'talking', 'low-profile', 'critics', 'publications', 'one', 'time', 'TV', 'Guide', 'Ken', 'Tucker', 'Rolling', 'Stone', 'New', 'York', 'Times', 'Matt', 'Roush', 'Chicago', 'Tribune', 'Maureen', 'Ryan', 'San', 'Francisco', 'Chronicle', 'Entertainment', 'Weekly', 'host', 'others', 'have', 'praised', 'show', 'best', 'TV', 'was', 'only', 'one', 'two', 'shows', 'make', 'American', 'Film', 'Institute', 'list', 'Ten', 'Best', 'TV', 'two', 'years', 'row', 'top', 'off', '2006', 'won', 'prestigious', 'Peabody', 'Award', 'Sci-fi', 'series', 'never', 'before', 'been', 'Sci-fi', 'Normally', 'Sci-fi', 'TV', 'associated', 'escapist', 'entertainment', 'clever', 'perhaps', 'best', 'never', 'truly', 'challenging', 'few', 'series', 'have', 'previously', 'challenged', 'particular', 'FIREFLY', 'FARSCAPE', 'other', 'series', 'degree', 'kept', 'looking', 'over', 'shoulders', 'imagined', 'teen', 'viewers', 'determined', 'never', 'get', 'very', 'dark', 'very', 'outrageous', 'BATTLESTAR', 'GALACTICA', 'was', 'first', 'Sci-fi', 'series', 'targeted', 'more', 'intelligent', 'grown', 'ups', 'young', 'male', 'teens', 'even', 'teens', 'were', 'thirties', 'forties', 'BSG', 'went', 'dark', 'stayed', 'dark', 'became', 'grittier', 'grittier', 'had', 'cast', 'characters', 'who', 'were', 'sometimes', 'heroic', 'where', 'more', 'often', 'simply', 'messed', 'up.Narratively', 'BSG', 'will', 'end', 'contain', 'more', 'less', 'single', 'narrative', 'best', 'think', 'show', 'LOST', 'long', 'novel', 'individual', 'chapters', 'Arcs', 'overlap', 'season', 'season', 'year', 'year', 'instance', 'Miniseries', 'are', 'introduced', 'Cylon', 'sleeper', 'agent', 'known', 'Lt.', 'Sharon', 'Boomer', 'Valerii', 'first', 'episode', 'Season', 'One', 'Cylon', 'who', 'identical', 'who', 'Sharon', 'usually', 'referred', 'merely', 'Sharon', 'though', 'later', 'Athena', 'course', 'three', 'seasons', 'gradually', 'see', 'two', 'Cylons', 'basically', 'trade', 'places', 'Season', 'One', 'more', 'Boomer', 'Season', 'Two', 'Three', 'focus', 'almost', 'exclusively', 'other', 'Sharon', 'stories', 'are', 'not', 'contained', 'neatly', 'season', 'Similarly', 'learn', 'Season', 'One', 'Cylons', 'believe', 'Starbuck', 'special', 'destiny', 'Season', 'Two', 'expanded', 'bit', 'full', 'fruition', 'Season', 'Three', 'therefore', 'tad', 'meaningless', 'say', 'something', 'Season', 'One', 'best', 'season', 'BSG', 'No', 'Season', 'Two', 'Three', 'seasons', 'hang', 'together', 'end', 'will', 'be', 'one', 'long', 'story.While', 'insisting', 'BSG', 'must', 'be', 'judged', 'whole', 'Season', 'Two', 'nonetheless', 'remarkable', 'own', 'right', 'Not', 'episode', 'golden', 'recent', 'interview', 'BSG', 'creator', 'Ron', 'Moore', 'revealed', 'first', 'three', 'seasons', 'network', 'had', 'often', 'insisted', 'stand', 'alone', 'hoped', 'would', 'attract', 'new', 'viewers', 'who', 'are', 'otherwise', 'intimidated', 'complexity', 'overall', 'story', 'result', 'writers', 'were', 'forced', 'season', 'insert', 'episodes', 'did', ""n't"", 'really', 'carry', 'story', 'forward', 'were', 'something', 'drag', 'series', 'whole', 'first', 'half', 'Season', 'Two', 'was', 'not', 'plagued', 'problem', 'fact', 'few', 'first', 'ten', 'episodes', 'can', 'truly', 'be', 'considered', 'stand-alone', 'Final', 'Cut', 'Flight', 'Phoenix', 'are', 'stand', 'alones', 'are', 'utterly', 'remarkably', 'episodes', 'second', 'half', 'season', 'series', 'something', 'dead', 'spot', 'Black', 'Market', 'widely', 'regarded', 'even', 'Ron', 'Moore', 'perhaps', 'weakest', 'episode', 'entire', 'series', 'followed', 'other', 'episodes', 'are', 'considered', 'par', 'including', 'Scar', 'Sacrifice', 'Luckily', 'stand', 'alone', 'Downloaded', 'one', 'season', 'highlights', 'two-part', 'finale', 'Lay', 'Down', 'Burdens', 'even', 'better.The', 'first', 'seven', 'episodes', 'Season', 'Two', 'really', 'continue', 'major', 'events', 'Season', 'One', 'include', 'fallout', 'attempted', 'assassination', 'Adama', 'Season', 'One', 'finale', 'what', 'Starbuck', 'Caprica', 'Helo', 'meeting', 'members', 'resistance', 'movement', 'Caprica', 'determination', 'Roslin', 'Lee', 'lead', 'whoever', 'will', 'follow', 'Kobol', 'what', 'Boomer', 'everyone', 'Cylon', 'reaction', 'arrival', 'Helo', 'Sharon', 'what', 'keep', 'alive', 'Final', 'Cut', 'Flight', 'Phoenix', 'are', 'stand-alone', 'episodes', 'Pegasus', 'battlestar', 'name', 'commander', 'Admiral', 'Cain', 'would', 'however', 'caution', 'viewers', 'not', 'watch', 'version', 'Pegasus', '2.0', 'disc', 'instead', 'watch', 'Extended', 'Version', '2.5', 'set', 'lot', 'story.The', 'second', 'half', 'Season', 'Two', 'exception', 'amazing', 'Pegasus', 'trilogy', 'episodes', ""n't"", 'carry', 'story', 'forward', 'as', 'much', 'previous', 'season', 'half', 'had', 'No', 'doubt', 'network', 'desire', 'stand-alone', 'episodes', 'played', 'role', 'here', 'were', 'however', 'number', 'plot', 'developments', 'many', 'centered', 'what', 'do', 'Sharon', 'pregnancy', 'indeed', 'what', 'do', 'Sharon', 'general', 'latter', 'part', 'season', 'deals', 'Baltar', 'challenge', 'Roslin', 'presidency', 'upcoming', 'election', 'would', 'hasten', 'add', 'even', 'weakest', 'BSG', 'riveting', 'entertainment', 'will', 'admit', 'usually', 'skip', 'Black', 'Market', 'Scar', 'when', 'rewatch', 'Season', 'Two', 'do', ""n't"", 'skip', 'anything', 'else.I', 'want', 'close', 'stating', 'BSG', 'actually', 'series', 'might', 'be', 'better', 'suited', 'fans', 'other', 'quality', 'TV', 'more', 'viewers', 'who', 'normally', 'watch', 'nothing', 'Sci-fi', 'certainly', 'nothing', 'wrong', 'watching', 'only', 'particular', 'genre', 'own', 'experience', 'talking', 'others', 'making', 'recommendations', 'others', 'getting', 'feedback', 'spending', 'considerable', 'time', 'various', 'BSG', 'boards', 'show', 'appeals', 'more', 'people', 'who', 'focus', 'less', 'genre', 'more', 'quality', 'favorite', 'shows', 'past', 'decade', 'include', 'such', 'shows', 'BUFFY', 'THE', 'VAMPIRE', 'SLAYER', 'THE', 'SOPRANOS', 'SIX', 'FEET', 'UNDER', 'THE', 'WEST', 'WING', 'ANGEL', 'LOST', 'THE', 'WIRE', 'FRIDAY', 'NIGHT', 'LIGHTS', 'THE', 'GILMORE', 'GIRLS', 'VERONICA', 'MARS', 'are', 'almost', 'certain', 'love', 'show', 'Not', 'fans', 'Star', 'Trek', 'Stargate', 'franchises', 'other', 'hand', 'always', 'do', 'series', 'down', 'what', 'expect', 'Sci-fi', 'series']",Battlestar Galactica(2004): Season 2.0 / Battlestar Galactica (2004): Season 2.5 Value Pack
