,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1060197,A25Y22XPPLGPF8,B000NQRSBA,"a customer ""me""","[35, 35]","Many reviews here don't state that the book comes with the dvd in back.The dvd contains and gives you options:1)Play entire workout2)core workout, (their is a seperate dvd being sold by itself, it is on this dvd, so save yourself some money).3) circuit A4) circuit B5) stretch it out (again, there is a separate dvd being sold by itself and is on this dvd as well, so again save yourself some money.All in all for your money plus the book has the exercises in it, so if you travel, take it with you with some bands or weights. has everything broken down for you, right to the recipes/menu you are to eat on a daily basis. the book is really thick, and of all the books I have bought this one has it all.  Inspiration, education, daily menus, receipes, pics of before and after of people and on and on. Tells you the whys and don'ts. I could go on forever.I truly don't feel anyone would be disappointed in the book and dvd.It also, gives you a schedule on what days to do the workouts and a day of rest.It's worth every penny, you can't find a dvd and a book together at this price.I was able to honestly lose 26 pounds in 21 days, I also did walk 2 miles per day everyday.  I didn't follow the menu to the core, I madesome modifications, when I didn't have on hand the foods presented.I've never seen or completed exercises the way she presents them. I honestly look forward to doing them, and that is something for me. I hate exercise.  I did also, just purchase the  pilates and yoga dvds, so will give an update once I have tried them each after about two weeks.  I don't like reviewing, until I've tried something for a couple of weeks.She does lose count sometimes, but she states this, so stay concentrated.Hope this review helps anyone who is looking for an excellent fantasitc workout, with quality and value for their money.",5,excellent dvd,1202515200,"02 9, 2008",2008,1834,"['Many', 'reviews', 'here', 'do', ""n't"", 'state', 'book', 'dvd', 'back.The', 'dvd', 'contains', 'options:1', 'Play', 'entire', 'workout2', 'core', 'workout', 'seperate', 'dvd', 'being', 'sold', 'dvd', 'so', 'save', 'money', '.3', 'circuit', 'A4', 'circuit', 'B5', 'stretch', 'out', 'again', 'separate', 'dvd', 'being', 'sold', 'dvd', 'as', 'well', 'so', 'again', 'save', 'money.All', 'money', 'book', 'exercises', 'so', 'travel', 'take', 'bands', 'weights', 'everything', 'broken', 'down', 'right', 'recipes/menu', 'are', 'eat', 'daily', 'basis', 'book', 'really', 'thick', 'books', 'have', 'bought', 'one', 'Inspiration', 'education', 'daily', 'menus', 'receipes', 'pics', 'people', 'Tells', 'whys', ""don'ts"", 'could', 'go', 'forever.I', 'truly', 'do', ""n't"", 'feel', 'anyone', 'would', 'be', 'disappointed', 'book', 'dvd.It', 'also', 'schedule', 'what', 'days', 'do', 'workouts', 'day', 'rest.It', 'worth', 'penny', 'ca', ""n't"", 'find', 'dvd', 'book', 'together', 'price.I', 'was', 'able', 'honestly', 'lose', '26', 'pounds', '21', 'days', 'also', 'did', 'walk', '2', 'miles', 'day', 'everyday', 'did', ""n't"", 'follow', 'menu', 'core', 'madesome', 'modifications', 'when', 'did', ""n't"", 'have', 'hand', 'foods', 'presented.I', ""'ve"", 'never', 'seen', 'completed', 'exercises', 'way', 'honestly', 'look', 'forward', 'doing', 'something', 'hate', 'exercise', 'did', 'also', 'just', 'purchase', 'pilates', 'yoga', 'dvds', 'so', 'will', 'give', 'update', 'once', 'have', 'tried', 'about', 'two', 'weeks', 'do', ""n't"", 'like', 'reviewing', ""'ve"", 'tried', 'something', 'couple', 'weeks.She', 'lose', 'count', 'sometimes', 'so', 'stay', 'concentrated.Hope', 'review', 'anyone', 'who', 'looking', 'excellent', 'fantasitc', 'workout', 'quality', 'value', 'money']",Jeanette Jenkins: Hollywood Trainer 21 Day Total Body Circuit
1060198,A2CBWSM32C6VLU,B000NQRSBA,ELBB,"[0, 0]","Good blend of cardio and strength training if you decide to complete circuit A , B or both together. This video as well as all of Jeanette's workouts will definitely get your heart rate up.",5,Great work out.,1372896000,"07 4, 2013",2013,189,"['Good', 'blend', 'cardio', 'strength', 'training', 'decide', 'complete', 'circuit', 'A', 'B', 'together', 'video', 'as', 'well', 'Jeanette', 'workouts', 'will', 'definitely', 'get', 'heart', 'rate', 'up']",Jeanette Jenkins: Hollywood Trainer 21 Day Total Body Circuit
1060199,A3F68N9OI8Y67,B000NQRSBA,Fitness Fan,"[47, 48]","I bought this workout recently and did both workouts on consecutive days.  Jeanette is a very bubbly instructor and I enjoy her personality.  Workout 1 (Circuit A) is 38 minutes long and Workout 2 (Circuit B) is 36 minutes.  Each circuit covers different body parts (except the abs, which are worked in both circuits).  Both have virtually the same warmup and cooldown (but the outfits are different in each, so they are slightly different).  If you combine both of the workouts and skip the 1st cooldown and 2nd warmup, the workout probably comes in at around 60 minutes total.All you need for this one is a mat and a couple of sets of dumbbells...I really enjoy strength workouts that don't require lots of equipment, and this one fit the bill.Jeanette describes this as a circuit (strength + cardio) workout but the cardio bursts are neither long nor overtly intense so I don't consider this a circuit workout myself.  The cardio bursts work the abs pretty good, though and they keep the heartrate up.All body parts are covered.  I wasn't really happy about the upright rows in Circuit B, as they work the shoulders (which I did the day before in Circuit A) so I did hammer curls instead (because the bicep work is light in this workout).  Other than that, I stuck to Jeanette's format.  I appreciated the rotator cuff exercise, as a lot of instructors skip that.The music was pretty good instrumental stuff with a nice loud beat and I recognized a couple of songs.My main issue with this workout is the counting.  Jeanette has the beginners do 15 reps of the strength work and everyone else do 25 reps.  Unfortunately, the girl cannot count accurately!  I frequently found myself above or below the 25 reps stated (once I found myself at rep 42)!  This doesn't bother me if both sides of the body are being worked at the same time (ie - squats) but it bugs the Heck out of me when I'm doing 1 leg at a time (static lunges, 1 legged squats).  So if you're a stickler about even counting on both sides, be sure to count the reps during the 1 legged exercises or you will be uneven.It would have been nice if Jeanette had had someone off screen counting for her to insure that each side was worked evenly!Good workout in spite of the uneven counting and I will be keeping it.  I liked this one Much better than Jeanette's 1st Hollywood Trainer series.Recommend to intermediates, but advanced and beginners can use this one as well (just modify to your level).",4,"Great, no nonsense workout..",1197936000,"12 18, 2007",2007,2460,"['bought', 'workout', 'recently', 'did', 'workouts', 'consecutive', 'days', 'Jeanette', 'very', 'bubbly', 'instructor', 'enjoy', 'personality', '1', 'Circuit', 'A', '38', 'minutes', 'long', '2', 'Circuit', 'B', '36', 'minutes', 'circuit', 'different', 'body', 'parts', 'abs', 'are', 'worked', 'circuits', 'have', 'virtually', 'same', 'warmup', 'cooldown', 'outfits', 'are', 'different', 'are', 'slightly', 'different', 'combine', 'workouts', 'skip', '1st', 'cooldown', '2nd', 'warmup', 'workout', 'probably', '60', 'minutes', 'need', 'one', 'mat', 'couple', 'sets', 'dumbbells', 'really', 'enjoy', 'strength', 'workouts', 'do', ""n't"", 'require', 'lots', 'equipment', 'one', 'fit', 'bill.Jeanette', 'circuit', 'strength', '+', 'cardio', 'workout', 'cardio', 'bursts', 'are', 'neither', 'long', 'overtly', 'intense', 'do', ""n't"", 'consider', 'circuit', 'workout', 'cardio', 'work', 'abs', 'pretty', 'good', 'though', 'keep', 'heartrate', 'up.All', 'body', 'parts', 'are', 'covered', 'was', ""n't"", 'really', 'happy', 'upright', 'rows', 'Circuit', 'B', 'work', 'shoulders', 'did', 'day', 'Circuit', 'A', 'did', 'hammer', 'curls', 'instead', 'bicep', 'work', 'light', 'workout', 'Other', 'stuck', 'Jeanette', 'format', 'appreciated', 'rotator', 'cuff', 'exercise', 'lot', 'instructors', 'skip', 'that.The', 'music', 'was', 'pretty', 'good', 'instrumental', 'stuff', 'nice', 'loud', 'beat', 'recognized', 'couple', 'songs.My', 'main', 'issue', 'workout', 'counting', 'Jeanette', 'beginners', 'do', '15', 'reps', 'strength', 'work', 'everyone', 'else', 'do', '25', 'reps', 'Unfortunately', 'girl', 'can', 'not', 'count', 'accurately', 'frequently', 'found', '25', 'reps', 'stated', 'once', 'found', '42', ""n't"", 'bother', 'sides', 'body', 'are', 'being', 'worked', 'same', 'time', 'ie', 'squats', 'Heck', 'when', ""'m"", 'doing', '1', 'leg', 'time', 'static', 'lunges', '1', 'legged', 'squats', 'So', ""'re"", 'stickler', 'even', 'counting', 'sides', 'be', 'sure', 'count', 'reps', '1', 'legged', 'exercises', 'will', 'be', 'uneven.It', 'would', 'have', 'been', 'nice', 'Jeanette', 'had', 'had', 'someone', 'off', 'screen', 'counting', 'insure', 'side', 'was', 'worked', 'evenly', 'Good', 'workout', 'spite', 'uneven', 'counting', 'will', 'be', 'keeping', 'liked', 'one', 'Much', 'better', 'Jeanette', '1st', 'Hollywood', 'Trainer', 'series.Recommend', 'intermediates', 'advanced', 'beginners', 'can', 'use', 'one', 'as', 'well', 'just', 'modify', 'level']",Jeanette Jenkins: Hollywood Trainer 21 Day Total Body Circuit
1060200,A2AHZTXI0D7L0F,B000NQRSBA,"F. Wilds ""Boondocks Fan""","[11, 14]","This is a complete body workout split into 2 segments (about 35 mins each).  No complicated choreography, just straight to the point.",5,Great workout!,1194220800,"11 5, 2007",2007,133,"['complete', 'body', 'workout', 'split', '2', 'segments', '35', 'mins', 'No', 'complicated', 'choreography', 'just', 'straight', 'point']",Jeanette Jenkins: Hollywood Trainer 21 Day Total Body Circuit
1060201,A24ZFFRQ4MG3XL,B000NQRSBA,Little Miss Cutey,"[22, 28]","I have to say that I'd never heard of Jeanette before, nor did I know how good (or not good) her workouts were.  However, I took a chance and I'm really happy I did.  This is a fantastic workout and it's enjoyable and fun.It's fast paced, and it's interval cardio with weights for body sculpting.  You burn lots of fat and calories and have fun while doing it.  The choreography is easy to follow along to.  There is nothing too fancy; - your usual pushups and squats etc, but they are concentrated moves so while there are quite a few reps, you are getting excellent results.  The cardio is also easy to follow and all you really need are some weights so it's easy to get started.  Jeanette is friendly and professional and based on this, I'd definately look out for other titles by her.",5,Really good :),1191801600,"10 8, 2007",2007,788,"['have', 'say', ""'d"", 'never', 'heard', 'Jeanette', 'did', 'know', 'how', 'good', 'not', 'good', 'workouts', 'were', 'However', 'took', 'chance', ""'m"", 'really', 'happy', 'did', 'fantastic', 'workout', 'enjoyable', 'fun.It', 'fast', 'paced', 'interval', 'cardio', 'weights', 'body', 'sculpting', 'burn', 'lots', 'fat', 'calories', 'have', 'fun', 'doing', 'choreography', 'easy', 'follow', 'along', 'nothing', 'too', 'fancy', 'usual', 'pushups', 'squats', 'etc', 'are', 'concentrated', 'moves', 'so', 'are', 'quite', 'few', 'reps', 'are', 'getting', 'excellent', 'results', 'cardio', 'also', 'easy', 'follow', 'really', 'need', 'are', 'weights', 'easy', 'get', 'started', 'Jeanette', 'friendly', 'professional', 'based', ""'d"", 'definately', 'look', 'out', 'other', 'titles']",Jeanette Jenkins: Hollywood Trainer 21 Day Total Body Circuit
1060202,A3H4J3J391G5NI,B000NQRSBA,"logicofwar00 ""Andrea S""","[0, 0]",Didn't think I would sweat at first but I did and I love that the moves/explanations are easy and not complicated. I am new to Jeanette Jenkins' workouts but I love her energy and enthusiasm. I use this along with the Cardio Kickboxing DVD on alternate days and I am noticing a change in my body. My butt is definitely getting lifted and my arms finally losing their bat wings. Very happy with my purchase.,5,simple and effective!,1387497600,"12 20, 2013",2013,406,"['Did', ""n't"", 'think', 'would', 'sweat', 'first', 'did', 'love', 'moves/explanations', 'are', 'easy', 'not', 'complicated', 'am', 'new', 'Jeanette', 'Jenkins', 'workouts', 'love', 'energy', 'enthusiasm', 'use', 'along', 'Cardio', 'Kickboxing', 'DVD', 'alternate', 'days', 'am', 'noticing', 'change', 'body', 'butt', 'definitely', 'getting', 'lifted', 'arms', 'finally', 'losing', 'bat', 'wings', 'Very', 'happy', 'purchase']",Jeanette Jenkins: Hollywood Trainer 21 Day Total Body Circuit
1060203,A14OJS0VWMOSWO,B000NQRSBA,Midwest Book Review,"[13, 21]","Jeanette Jenkins: The Hollywood Trainer is a DVD offering a twenty-one day total body circuit workout in just 30 minutes a day. Hosted by Jeanette Jenkins, founder and president of The Hollywood Trainer and professional trainer to Hollywood stars including Queen Latifah, Christina Applegate, and Carmen Electra. The exercises are designed for any person capable of vigorous activity, and employ hand weights for resistance training in one circuit, as well as offering the fat burning benefits of cardio training in a separate circuit. Designed to work every major muscle group to fatigue, and offering cues to help beginners and advanced exercisers alike to work out to their full potential, Jeanette Jenkins: The Hollywood Trainer is an excellent supplement to any personal weight loss program. 60 minutes, color.",5,Trainer is an excellent supplement to any personal weight loss program.,1188691200,"09 2, 2007",2007,815,"['Jeanette', 'Jenkins', 'Hollywood', 'Trainer', 'DVD', 'offering', 'twenty-one', 'day', 'total', 'body', 'circuit', 'workout', 'just', '30', 'minutes', 'day', 'Hosted', 'Jeanette', 'Jenkins', 'founder', 'president', 'Hollywood', 'Trainer', 'professional', 'trainer', 'Hollywood', 'stars', 'including', 'Queen', 'Latifah', 'Christina', 'Applegate', 'Carmen', 'Electra', 'exercises', 'are', 'designed', 'person', 'capable', 'vigorous', 'activity', 'employ', 'hand', 'weights', 'resistance', 'training', 'one', 'circuit', 'as', 'well', 'offering', 'fat', 'burning', 'benefits', 'cardio', 'training', 'separate', 'circuit', 'Designed', 'work', 'major', 'muscle', 'group', 'fatigue', 'offering', 'cues', 'help', 'beginners', 'advanced', 'exercisers', 'alike', 'work', 'out', 'full', 'potential', 'Jeanette', 'Jenkins', 'Hollywood', 'Trainer', 'excellent', 'supplement', 'personal', 'weight', 'loss', 'program', '60', 'minutes', 'color']",Jeanette Jenkins: Hollywood Trainer 21 Day Total Body Circuit
1060204,A3V4F9CWY7F6MV,B000NQRSBA,"Mo833 ""Mo""","[1, 1]","I love this DVD. I did both circuits in one day and I'm feeling it. However, what I like best about the DVD is Jeanette. Not only does she provide useful information throughout the workout, but she gets goofy too. I love that. It makes me feel like I'm part of the class. There are instructors out there that are great at teaching, but there are very few that are engaging and make you forget how hard you are working out. It encourages me to keep going.",5,Great Workout and Fun,1227571200,"11 25, 2008",2008,454,"['love', 'DVD', 'did', 'circuits', 'one', 'day', ""'m"", 'feeling', 'However', 'what', 'like', 'best', 'DVD', 'Jeanette', 'Not', 'only', 'provide', 'useful', 'information', 'workout', 'goofy', 'too', 'love', 'feel', ""'m"", 'part', 'class', 'are', 'instructors', 'there', 'are', 'great', 'teaching', 'are', 'very', 'few', 'are', 'engaging', 'make', 'forget', 'how', 'hard', 'are', 'working', 'out', 'keep', 'going']",Jeanette Jenkins: Hollywood Trainer 21 Day Total Body Circuit
1060205,A2GTFCHJBMZJ78,B000NQRSBA,R. Lynn,"[1, 2]","Circuit A is excellent.  Great workout to grow into if you're a beginner, but will still challenge the more fit.  Someone is doing the low-impact version the whole time, or you can follow the instructor for maximum impact.  Circuit B was kind of annoying to me; the instructor is goofing off and keeps losing count of the reps.",3,Great Circuit A; Circuit B Only So-so,1224460800,"10 20, 2008",2008,327,"['Circuit', 'excellent', 'Great', 'workout', 'grow', ""'re"", 'beginner', 'will', 'still', 'challenge', 'more', 'fit', 'Someone', 'doing', 'low-impact', 'version', 'whole', 'time', 'can', 'follow', 'instructor', 'maximum', 'impact', 'Circuit', 'B', 'was', 'kind', 'annoying', 'instructor', 'goofing', 'off', 'losing', 'count', 'reps']",Jeanette Jenkins: Hollywood Trainer 21 Day Total Body Circuit
1060206,AHEDV7AG7SKD3,B000NQRSBA,SuzKin,"[2, 6]",These are two good workouts for days when you don't have too much time. Trouble is the instructor.. She is projects way too much and doesn't seem to realize that her style is not appropriate for the DVD format.  The joke that is funny the first time is not funny after that. I bet if she had to pop this DVD in and try and workout to it every day for a week she would be ready to gag before the end of the week.  Instructors need to keep it simple and not get funny or cute during the workout. Also save the special instructions for the introduction when it will be viewed once for informational purposes but won't need to be heard every time the video is played ad nauseam.,4,Mixed review,1212883200,"06 8, 2008",2008,674,"['are', 'two', 'good', 'workouts', 'days', 'when', 'do', ""n't"", 'have', 'too', 'much', 'time', 'Trouble', 'instructor..', 'projects', 'way', 'too', 'much', ""n't"", 'seem', 'realize', 'style', 'not', 'appropriate', 'DVD', 'format', 'joke', 'first', 'time', 'not', 'funny', 'bet', 'had', 'pop', 'DVD', 'try', 'workout', 'day', 'week', 'would', 'be', 'ready', 'gag', 'end', 'week', 'Instructors', 'need', 'keep', 'simple', 'not', 'get', 'funny', 'cute', 'workout', 'Also', 'save', 'special', 'instructions', 'introduction', 'when', 'will', 'be', 'viewed', 'once', 'informational', 'purposes', 'wo', ""n't"", 'need', 'be', 'heard', 'time', 'video', 'played', 'ad', 'nauseam']",Jeanette Jenkins: Hollywood Trainer 21 Day Total Body Circuit
