,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1088189,A9QY9F2Y7KDFW,B000T28PG0,"Amazon Customer ""Book Obsessed""","[3, 3]","If you ever wanted to explore all the hidden places in the world or are amazed that people actually lived under the cities as we know them, get this series.  I couldn't stop watching them and learned so much about our history.  Great to watch alone or with another history geek.  Heck, call me and I'll come watch them again with you!",5,Buy it and you'll love it,1216166400,"07 16, 2008",2008,334,"['ever', 'wanted', 'explore', 'hidden', 'places', 'world', 'are', 'amazed', 'people', 'actually', 'lived', 'cities', 'know', 'get', 'series', 'could', ""n't"", 'stop', 'watching', 'learned', 'so', 'much', 'history', 'Great', 'watch', 'alone', 'history', 'geek', 'Heck', 'call', ""'ll"", 'come', 'watch', 'again']",Cities of the Underworld: Season 1
1088190,A27F1WYCM6IEYH,B000T28PG0,Colten,"[0, 0]","The hosts are grating, some shows have more filler than substance, and they make claims that aren't backed up very convincingly.  Add to that the lack of an anamorphic picture, and this is a series that people should just avoid.",1,"Though this is a great idea and a potentially interesting concept, the program really doesn't work well.",1391904000,"02 9, 2014",2014,228,"['hosts', 'are', 'grating', 'shows', 'have', 'more', 'filler', 'substance', 'make', 'claims', 'are', ""n't"", 'backed', 'up', 'very', 'convincingly', 'Add', 'lack', 'anamorphic', 'picture', 'series', 'people', 'should', 'just', 'avoid']",Cities of the Underworld: Season 1
1088191,A30FBVCQAKTV8U,B000T28PG0,"David ""I'm a guy that likes to listen to musi...","[0, 0]","this show was very intresting.I love this type of showthe show was very informingit was fun, funny and informing",5,I love things to do with history,1364428800,"03 28, 2013",2013,112,"['show', 'was', 'very', 'intresting.I', 'love', 'type', 'showthe', 'show', 'was', 'very', 'informingit', 'was', 'fun', 'funny', 'informing']",Cities of the Underworld: Season 1
1088192,A1YJQ0I05KU3M,B000T28PG0,Dennis,"[0, 0]",This was a series that was easy to get hooked on. Interesting mix of past and present.  The host's antics really adds to the show also.,3,Very good. Some much better than others,1384214400,"11 12, 2013",2013,135,"['was', 'series', 'was', 'easy', 'get', 'hooked', 'Interesting', 'mix', 'past', 'present', 'host', 'antics', 'really', 'show', 'also']",Cities of the Underworld: Season 1
1088193,A22RY8N8CNDF3A,B000T28PG0,"Loyd E. Eskildson ""Pragmatist""","[2, 2]","I've always been fascinated by abandoned underground settings, the older, the better.  ""Cities of the Underworld"" is a dream come true, especially the material on Rome and Paris.  Not only does the series get access to these sites, but also knowledgeable guides and excellent lighting.  This really is ""Must See TV!""",5,Fascinating and Informative!,1210032000,"05 6, 2008",2008,316,"[""'ve"", 'always', 'been', 'fascinated', 'abandoned', 'underground', 'settings', 'older', 'better', 'Cities', 'Underworld', 'dream', 'come', 'true', 'especially', 'material', 'Rome', 'Paris', 'Not', 'only', 'series', 'get', 'access', 'sites', 'also', 'knowledgeable', 'guides', 'excellent', 'lighting', 'really', 'Must', 'See', 'TV']",Cities of the Underworld: Season 1
1088194,A2EV34WFAYU8JO,B000T28PG0,Lurch,"[0, 0]",A great show if you have traveled to large cities you should see what you can't underground it will thrill you. Amazon was great to work with.,5,You need to see this,1305590400,"05 17, 2011",2011,142,"['great', 'show', 'have', 'traveled', 'large', 'cities', 'should', 'see', 'what', 'ca', ""n't"", 'underground', 'will', 'thrill', 'Amazon', 'was', 'great', 'work']",Cities of the Underworld: Season 1
1088195,A13MFCO9OD38KB,B000T28PG0,Megsiemay,"[0, 0]","As above, a great series and a nice change from all the reality shows which are mindless drivel. Bring it on!",5,Ditto,1393718400,"03 2, 2014",2014,109,"['above', 'great', 'series', 'nice', 'change', 'reality', 'are', 'mindless', 'drivel', 'Bring']",Cities of the Underworld: Season 1
1088196,A1DC6020U080W,B000T28PG0,Robert M. Wallace,"[0, 0]",This account of EDINBURGH'S  Underground Vaults is so incredible.  .  .what an Amazing City and her history is something that could partially come out of Robert Louis Stevenson's and Sir Arthur Conan Doyle's fervent imaginations.DVD arrived on time and perfect condition!  Thanks so much.,5,"Incredible, Inspiring Edinburgh!",1400198400,"05 16, 2014",2014,288,"['account', 'EDINBURGH', 'Underground', 'Vaults', 'so', 'incredible', 'Amazing', 'City', 'history', 'something', 'could', 'partially', 'come', 'Robert', 'Louis', 'Stevenson', 'Sir', 'Arthur', 'Conan', 'Doyle', 'fervent', 'imaginations.DVD', 'arrived', 'time', 'perfect', 'condition', 'Thanks', 'so', 'much']",Cities of the Underworld: Season 1
1088197,A3FPSY1M6G7XIB,B000T28PG0,RonAnnArbor,"[16, 21]","These episodes are addictive, and I was thrilled to see them released on DVD, as my DVR was too full to keep them and I enjpy repeat viewings....and so do my students.Note that this is NOT PBS-babble -- it's a fun exploration of the underground of major (and some minor) cities. It's written and performed for the everyman, not for the scholar (many of whom have already seen these things themselves). The hosts are alternately fun, annoying, and intrusive. Like a personal buddy might be if he was guiding you underground. This is obviously directed that way, since Don Wildman is a trained professional actor and Eric Geller is normally softspoken and introspective -- here both are ""in awe"" a lot.The camera work here is absolutely stunning -- as they explore underground, you forget that there is a camera crew attached to the project, lighting the walls, lighting everything you see. It is truly amazing camera work.So Paris includes the highly-tourist travelled Catacombs...and NYC includes the Waldorf-Astoria presidential track (are there New Yorkers that still don't look out the windows of the subway or Metro North and see those things for themselves?) but it also includes the mysterious M42 subbasement, and a cool look at the Empire State Building basement. Best Episode: Dracula's Underground and the Pilot Episode: Istanbul (amazing). Worst Episode: Portland.These are completely entertaining, and include cities and town that you might normally not know about and see. They are also left wide-open for repeat visits to larger cities (there have already been two Rome episodes for example) and they could do countless Paris underground episodes.If you have already seen the series, you will be as hooked as most of us who can't wait for each new episode. If you are new to the series, download an episode from Amazon or iTunes and you will most likely be as hooked as the rest of us, then you can purchase the entire set.This is genuinely one of the few tv dvd box sets that I bought the day it came out. Of course, containing only 10 1/2 hours of programming it had all been watched two days later.",5,Well done and fascinating stuff for the everyman,1201824000,"02 1, 2008",2008,2115,"['episodes', 'are', 'addictive', 'was', 'thrilled', 'see', 'released', 'DVD', 'DVR', 'was', 'too', 'full', 'keep', 'enjpy', 'repeat', 'viewings', '.and', 'so', 'do', 'students.Note', 'NOT', 'PBS-babble', 'fun', 'exploration', 'underground', 'major', 'minor', 'cities', 'written', 'performed', 'everyman', 'not', 'scholar', 'many', 'whom', 'have', 'already', 'seen', 'things', 'hosts', 'are', 'alternately', 'fun', 'annoying', 'intrusive', 'personal', 'buddy', 'might', 'be', 'was', 'guiding', 'underground', 'obviously', 'directed', 'way', 'Don', 'Wildman', 'trained', 'professional', 'actor', 'Eric', 'Geller', 'normally', 'softspoken', 'introspective', 'here', 'are', 'awe', 'lot.The', 'camera', 'work', 'here', 'absolutely', 'stunning', 'explore', 'underground', 'forget', 'camera', 'crew', 'attached', 'project', 'lighting', 'walls', 'lighting', 'everything', 'see', 'truly', 'amazing', 'camera', 'work.So', 'Paris', 'highly-tourist', 'travelled', 'Catacombs', 'NYC', 'Waldorf-Astoria', 'presidential', 'track', 'are', 'there', 'New', 'Yorkers', 'still', 'do', ""n't"", 'look', 'out', 'windows', 'subway', 'Metro', 'North', 'see', 'things', 'also', 'mysterious', 'M42', 'subbasement', 'cool', 'look', 'Empire', 'State', 'Building', 'basement', 'Best', 'Episode', 'Dracula', 'Underground', 'Pilot', 'Episode', 'Istanbul', 'amazing', 'Worst', 'Episode', 'Portland.These', 'are', 'completely', 'entertaining', 'include', 'cities', 'town', 'might', 'normally', 'not', 'know', 'see', 'are', 'also', 'left', 'wide-open', 'repeat', 'visits', 'larger', 'cities', 'have', 'already', 'been', 'two', 'Rome', 'episodes', 'example', 'could', 'do', 'countless', 'Paris', 'underground', 'episodes.If', 'have', 'already', 'seen', 'series', 'will', 'be', 'as', 'hooked', 'most', 'who', 'ca', ""n't"", 'wait', 'new', 'episode', 'are', 'new', 'series', 'episode', 'Amazon', 'iTunes', 'will', 'most', 'likely', 'be', 'as', 'hooked', 'rest', 'then', 'can', 'purchase', 'entire', 'set.This', 'genuinely', 'one', 'few', 'tv', 'dvd', 'box', 'bought', 'day', 'came', 'out', 'course', 'containing', 'only', '10', '1/2', 'hours', 'programming', 'had', 'been', 'watched', 'two', 'days', 'later']",Cities of the Underworld: Season 1
1088198,AF929U2N3LQPQ,B000T28PG0,Shantonu,"[9, 18]","I bought this series at the Strand for about $10. Simply put, it's bad. I attribute most of its badness to the host. He is incredibly annoying and seems to know little more about history or culture than the average teenager. And he's your guide. What does that say about the producers of this series?What little credibility this series had was then flushed down the toilet by the action-movie music that accompanies the host's break-neck race through various caverns and tunnels. With his pace, and that soundtrack, there is little time for reflection and less for analysis.",1,A good idea poorly executed,1230076800,"12 24, 2008",2008,574,"['bought', 'series', 'Strand', 'about', '10', 'Simply', 'put', 'bad', 'attribute', 'most', 'badness', 'host', 'incredibly', 'annoying', 'know', 'little', 'more', 'history', 'culture', 'average', 'teenager', 'guide', 'What', 'say', 'producers', 'series', 'What', 'little', 'credibility', 'series', 'had', 'was', 'then', 'flushed', 'down', 'toilet', 'action-movie', 'music', 'host', 'break-neck', 'race', 'various', 'caverns', 'tunnels', 'pace', 'soundtrack', 'little', 'time', 'reflection', 'less', 'analysis']",Cities of the Underworld: Season 1
