,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1093844,A2ZMZ4MXVW4KK9,B000UAE7H2,Amazon Customer,"[0, 1]",I really do like this movie;Patty Duke plays like a aunt that has special needs but really her heart was bigger than any brain.She gets so close to her nephew who's parents had gotten killed and he was sent to live with his older aunts only Patty Duke was the only one who had time for young Buddy.They had quit the good time bakeing Christmas cakes for all the families that live close to them.But after Christmas the old mean aunt sents him to brodeing school.,5,i Love This movie,1353801600,"11 25, 2012",2012,462,"['really', 'do', 'movie', 'Patty', 'Duke', 'aunt', 'special', 'needs', 'really', 'heart', 'was', 'bigger', 'brain.She', 'so', 'close', 'nephew', 'who', 'parents', 'had', 'gotten', 'killed', 'was', 'sent', 'live', 'older', 'aunts', 'only', 'Patty', 'Duke', 'was', 'only', 'one', 'who', 'had', 'time', 'young', 'Buddy.They', 'had', 'quit', 'good', 'time', 'bakeing', 'Christmas', 'cakes', 'families', 'live', 'close', 'them.But', 'Christmas', 'old', 'mean', 'aunt', 'brodeing', 'school']",N/A
1093845,ANGH6401L9Y0T,B000UAE7H2,"Barbara Frederick ""auntb93""","[0, 0]","This is a story by Truman Capote, and biographical to some extent. I read it years ago. But I'm guessing that anyone seeing this movie who didn't know who Truman Capote is would not even think of his name. It's not at all like his novels.Buddy (Eric Lloyd) was left with three aunts and an uncle in the house they inherited from their mother (Buddy's grandmother) when Buddy's parents broke up. He's been there for about two years, and has become very close to his Aunt Sook (Patty Duke), the one who is considered ""slow"" or ""not quite right."" The authoritarian of the family is his oldest aunt, Jennie (Piper Laurie), who apparently raised the others when their mother died. Bossy old thing who clearly disapproves of how close Buddy is with Sook.The story opens on Fruitcake Weather: the day every November when Sook decides it is time for her and Buddy to make their annual batch of fruitcakes for Christmas gifts. They decide that this year they must make 30 of them -- later raised to 32 as trade for the whiskey from local bootlegger to put in the cakes.The story is mostly a character study of the different somewhat odd people in this small southern town where Buddy is happy. But the crisis comes when Aunt Jennie decides he must be sent off to a military academy, since he's spending too much time with Sook, cooking and reading and flying kites and -- well, being a kid.It's a charming little story, and Buddy is a lovable kid.",4,Charming Truman Capote Story,1336694400,"05 11, 2012",2012,1438,"['story', 'Truman', 'Capote', 'biographical', 'extent', 'read', 'years', 'ago', ""'m"", 'guessing', 'anyone', 'seeing', 'movie', 'who', 'did', ""n't"", 'know', 'who', 'Truman', 'Capote', 'would', 'not', 'even', 'think', 'name', 'not', 'novels.Buddy', 'Eric', 'Lloyd', 'was', 'left', 'three', 'aunts', 'uncle', 'house', 'inherited', 'mother', 'Buddy', 'grandmother', 'when', 'Buddy', 'parents', 'broke', 'up', 'been', 'there', 'two', 'years', 'become', 'very', 'close', 'Aunt', 'Sook', 'Patty', 'Duke', 'one', 'who', 'considered', 'slow', 'not', 'quite', 'right', 'authoritarian', 'family', 'oldest', 'aunt', 'Jennie', 'Piper', 'Laurie', 'who', 'apparently', 'raised', 'others', 'when', 'mother', 'died', 'Bossy', 'old', 'thing', 'who', 'clearly', 'disapproves', 'how', 'close', 'Buddy', 'Sook.The', 'story', 'Fruitcake', 'Weather', 'day', 'November', 'when', 'Sook', 'time', 'Buddy', 'make', 'annual', 'batch', 'fruitcakes', 'Christmas', 'gifts', 'decide', 'year', 'must', 'make', '30', 'later', 'raised', '32', 'trade', 'whiskey', 'local', 'bootlegger', 'put', 'cakes.The', 'story', 'mostly', 'character', 'study', 'different', 'somewhat', 'odd', 'people', 'small', 'southern', 'town', 'where', 'Buddy', 'happy', 'crisis', 'when', 'Aunt', 'Jennie', 'must', 'be', 'sent', 'off', 'military', 'academy', 'spending', 'too', 'much', 'time', 'Sook', 'cooking', 'reading', 'flying', 'kites', 'well', 'being', 'kid.It', 'charming', 'little', 'story', 'Buddy', 'lovable', 'kid']",N/A
1093846,A7Q4EVM01AT09,B000UAE7H2,Betty J. Kilgore,"[5, 5]","Whether it's Geraldine Page or Patty Duke playing in this fantastic film, it's always a pleasure to pop each movie into the player, come 'fruitcakeweather' each year.  The 'fruit jar' drinking glasses bring back pleasant memories of growing up in the South in the '30s and '40s...this is a delightful film for the family.",5,Truman Capote's best!,1206748800,"03 29, 2008",2008,321,"['Geraldine', 'Page', 'Patty', 'Duke', 'playing', 'fantastic', 'film', 'always', 'pleasure', 'pop', 'movie', 'player', 'come', 'year', ""'fruit"", 'jar', 'drinking', 'glasses', 'bring', 'back', 'pleasant', 'memories', 'growing', 'up', 'South', ""'30s"", 'delightful', 'film', 'family']",N/A
1093847,A165UK7MK8DT1N,B000UAE7H2,CDC,"[4, 4]","I thought this movie was very good. It has a good message and I cried when I watched it. It reminded me of Christmas' past spending time with my Grandmother.It's worth buying, you can't go wrong. It's a decent family movie and the little dog is adorable.",5,Good movie....,1288915200,"11 5, 2010",2010,254,"['thought', 'movie', 'was', 'very', 'good', 'good', 'message', 'cried', 'when', 'watched', 'reminded', 'Christmas', 'spending', 'time', 'Grandmother.It', 'worth', 'buying', 'ca', ""n't"", 'go', 'wrong', 'decent', 'family', 'movie', 'little', 'dog', 'adorable']",N/A
1093848,A2J4OLMTLC0XNX,B000UAE7H2,Charlotte Jenkins,"[0, 0]","This is a sweet Christmas story Capote style, but no bad words and a long ago charm...but I love it too because my Dad spent part of his childhood in the small town the picture was filmed in, Sharpesburg, Georgia. and I go there sometimes. It is truly a town lost in a time warp now, but captured the essence of the story so beautifully.",5,lovely long ago sweet story,1354492800,"12 3, 2012",2012,337,"['sweet', 'Christmas', 'story', 'Capote', 'style', 'bad', 'words', 'long', 'ago', 'charm', 'love', 'too', 'Dad', 'spent', 'part', 'childhood', 'small', 'town', 'picture', 'was', 'filmed', 'Sharpesburg', 'Georgia', 'go', 'there', 'sometimes', 'truly', 'town', 'lost', 'time', 'warp', 'now', 'captured', 'essence', 'story', 'so', 'beautifully']",N/A
1093849,A1XHMQPM46LBME,B000UAE7H2,Christmaslover,"[0, 0]","If you love Christmas and Christmas movies, you will enjoy this story.  We have enjoyed watching it and think you will, too.",5,A good movie.,1393977600,"03 5, 2014",2014,124,"['love', 'Christmas', 'Christmas', 'movies', 'will', 'enjoy', 'story', 'have', 'enjoyed', 'watching', 'think', 'will', 'too']",N/A
1093850,A2XJV8WWLH4XX,B000UAE7H2,"Dee from Gary, Indiana","[3, 3]","This is a very sweet film and Patty Duke, as usual, is acting at her finest.  I really enjoyed this film and didn't want to see it end.  A must see for anyone with a heart.  It deserves 6 stars out of 5.",5,Sweet and Delightful film to watch,1289779200,"11 15, 2010",2010,203,"['very', 'sweet', 'film', 'Patty', 'Duke', 'usual', 'acting', 'finest', 'really', 'enjoyed', 'film', 'did', ""n't"", 'want', 'see', 'end', 'must', 'see', 'anyone', 'heart', '6', 'stars', '5']",N/A
1093851,A1B8I9PKTS67VV,B000UAE7H2,Dr. Eason,"[0, 1]","I laughed and cried the entire time I watched this movie, in the end I cried and cried and cried.  Two best friends loved each other beyond measure despite the difference of other ages separated by a spiteful not so older sister who said her intentions were for the best interest of the child. Watch this movie, it shows that loves has no bounds.  You will definitely enjoy it.",5,A Christmas Memory,1324425600,"12 21, 2011",2011,377,"['laughed', 'cried', 'entire', 'time', 'watched', 'movie', 'end', 'cried', 'cried', 'cried', 'Two', 'best', 'friends', 'loved', 'other', 'measure', 'difference', 'other', 'ages', 'separated', 'spiteful', 'not', 'so', 'older', 'sister', 'who', 'said', 'intentions', 'were', 'best', 'interest', 'child', 'Watch', 'movie', 'bounds', 'will', 'definitely', 'enjoy']",N/A
1093852,A3F87HZTNMCU7L,B000UAE7H2,"D Rose ""Baffeled""","[3, 3]",A touch your heart movie.  Patty Duke was wonderful and you could feel the love she had for the boy and his love for her.,4,Applegator43,1264809600,"01 30, 2010",2010,121,"['touch', 'heart', 'movie', 'Patty', 'Duke', 'was', 'wonderful', 'could', 'feel', 'love', 'had', 'boy', 'love']",N/A
1093853,A23GW1UNPECXJT,B000UAE7H2,Emily,"[0, 0]",such a heart warming movie.  the aunt may have been slow but the lessons she taught the boy - many people today should be teaching the same to their kids.,5,a christmas memory,1358467200,"01 18, 2013",2013,154,"['such', 'heart', 'warming', 'movie', 'aunt', 'may', 'have', 'been', 'slow', 'lessons', 'taught', 'boy', 'many', 'people', 'today', 'should', 'be', 'teaching', 'same', 'kids']",N/A
