,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1105248,A81EVHPRUFUB3,B000VXUW90,"Badwolf ""Badwolf""","[1, 5]",LOVE THIS MOVIE. EXPERT ON THIS MOVIE! This dvd is a bootleg. The 11.99 recent release is the best way to go unless you can get a copy from the OOP LD. Buyer Beware!,1,BOOTLEG BOOTLEG BOOTLEG!,1196208000,"11 28, 2007",2007,165,"['LOVE', 'THIS', 'MOVIE', 'EXPERT', 'ON', 'THIS', 'MOVIE', 'dvd', 'bootleg', '11.99', 'recent', 'release', 'best', 'way', 'go', 'can', 'get', 'copy', 'OOP', 'LD', 'Buyer', 'Beware']",N/A
1105249,A3L61G6N7AT8N2,B000VXUW90,"Bartok Kinski ""A casual stroll through the lu...","[0, 0]","Psychedelic vampire film from the director of &#34;Terminal Island&#34; comes this mod vampire story. More or less a 1970 updating of the Dracula story, sultry Diane LeFanu (Celeste Yarnell) meets a young couple (California blond Sherry Miles and &#34;Beyond the Valley of the Dolls&#34; star Michael Blodgett) and invites them to her pad in the desert...Is she a vampire? And who does she have her fangs set on? Shot the same year as Jess Franco's similar themed &#34;Vampyros Lesbos&#34;, the somewhat stilted acting and dated hippy dialogue is salvaged by the director's excellent dream-like photography.",4,updating of the Dracula,1386633600,"12 10, 2013",2013,607,"['Psychedelic', 'vampire', 'film', 'director', '34', 'Terminal', 'Island', '34', 'mod', 'vampire', 'story', 'More', 'less', '1970', 'updating', 'Dracula', 'story', 'sultry', 'Diane', 'LeFanu', 'Celeste', 'Yarnell', 'young', 'couple', 'California', 'blond', 'Sherry', 'Miles', '34', 'Beyond', 'Valley', 'Dolls', '34', 'star', 'Michael', 'Blodgett', 'pad', 'desert', 'vampire', 'who', 'have', 'fangs', 'set', 'Shot', 'same', 'year', 'Jess', 'Franco', 'similar', 'themed', '34', 'Vampyros', 'Lesbos', '34', 'somewhat', 'stilted', 'acting', 'dated', 'hippy', 'dialogue', 'salvaged', 'director', 'excellent', 'dream-like', 'photography']",N/A
1105250,AI0NMYA3LKXW1,B000VXUW90,"Bartok Kinski ""A casual stroll through the lu...","[2, 2]","Psychedelic vampire film from the director of ""Terminal Island"" comes this mod vampire story. More or less a 1970 updating of the Dracula story, sultry Diane LeFanu (Celeste Yarnell) meets a young couple (California blond Sherry Miles and ""Beyond the Valley of the Dolls"" star Michael Blodgett) and invites them to her pad in the desert...Is she a vampire? And who does she have her fangs set on? Shot the same year as Jess Franco's similar themed ""Vampyros Lesbos"", the somewhat stilted acting and dated hippy dialogue is salvaged by the director's excellent dream-like photography.",4,updating of the Dracula,1238889600,"04 5, 2009",2009,583,"['Psychedelic', 'vampire', 'film', 'director', 'Terminal', 'Island', 'mod', 'vampire', 'story', 'More', 'less', '1970', 'updating', 'Dracula', 'story', 'sultry', 'Diane', 'LeFanu', 'Celeste', 'Yarnell', 'young', 'couple', 'California', 'blond', 'Sherry', 'Miles', 'Valley', 'Dolls', 'star', 'Michael', 'Blodgett', 'pad', 'desert', 'vampire', 'who', 'have', 'fangs', 'set', 'Shot', 'same', 'year', 'Jess', 'Franco', 'similar', 'themed', 'Vampyros', 'Lesbos', 'somewhat', 'stilted', 'acting', 'dated', 'hippy', 'dialogue', 'salvaged', 'director', 'excellent', 'dream-like', 'photography']",N/A
1105251,AIMR915K4YCN,B000VXUW90,"Bindy Sue Frnknschtein ""bigfootsalienbaby""","[3, 3]","THE VELVET VAMPIRE is one of the better 70s vampire movies. If you enjoy stuff like COUNT YORGA 1 and 2, DEATHMASTER, or LET'S SCARE JESSICA TO DEATH, you'll absolutely love TVV! Loads of dreamy, topless,  neck-nipping fun! Dianne LeFanu (Celeste Yarnall) is the perrrrfect seductress / hungering throat-sucker. Her pale frame is exquisite to say the least! Who could resist her vampiric charms? Not me...",5,Sweeter Than Wine...,1245974400,"06 26, 2009",2009,405,"['VELVET', 'VAMPIRE', 'one', 'better', '70s', 'vampire', 'movies', 'enjoy', 'stuff', 'COUNT', 'YORGA', '1', '2', 'DEATHMASTER', 'LET', 'SCARE', 'JESSICA', 'TO', 'DEATH', ""'ll"", 'absolutely', 'love', 'TVV', 'Loads', 'dreamy', 'topless', 'neck-nipping', 'fun', 'Dianne', 'LeFanu', 'Celeste', 'Yarnall', 'perrrrfect', 'seductress', 'hungering', 'throat-sucker', 'pale', 'frame', 'exquisite', 'say', 'least', 'Who', 'could', 'resist', 'vampiric', 'charms', 'Not']",N/A
1105252,A3B4FW6U2EVXUP,B000VXUW90,Brad Shaw,"[0, 1]","Only have seen it once, late at night but it goes with my large collection of sexy vampires. Keep the garlic ready!",4,Classic Modern Vampire,1393718400,"03 2, 2014",2014,115,"['Only', 'have', 'seen', 'once', 'late', 'night', 'large', 'collection', 'sexy', 'vampires', 'Keep', 'garlic', 'ready']",N/A
1105253,AMV4KOYNSP2UB,B000VXUW90,"buny-in-the-headlights ""bith""","[0, 1]","not worth the time or the money - storyline wasn't much, acting even less so, but atmosphere was non-existent. yes it is a vampire flick, but the best of them have an atmospheric sense of foreboding or menace, something to keep you on edge. these actors were just reading their lines. don't bother with this, look for something with christopher lee!",1,forget it!!!,1283385600,"09 2, 2010",2010,349,"['not', 'time', 'money', 'storyline', 'was', ""n't"", 'much', 'acting', 'even', 'less', 'so', 'atmosphere', 'was', 'non-existent', 'yes', 'vampire', 'flick', 'best', 'have', 'atmospheric', 'sense', 'foreboding', 'menace', 'something', 'keep', 'edge', 'actors', 'were', 'just', 'reading', 'lines', 'do', ""n't"", 'bother', 'look', 'something', 'christopher', 'lee']",N/A
1105254,A3KF4IP2MUS8QQ,B000VXUW90,"Daniel Jolley ""darkgenius""","[1, 1]","You don't find many vampires living miles away from nowhere in the middle of the desert, but that is where Diane LeFanu has set up residence.  Then again, Diane isn't your typical vampire.  It gets pretty darned hot in those parts, yet she is able to go out and about during the day (although she doesn't have anything good to say about the sun), and she seems to enjoy the erotic temptress more than the blood-sucking aspect of the job.  With supplies limited in the middle of nowhere, she comes to town periodically to restock.  That's where we meet Lee and Susan Ritter (Michael Blodgett and Sherry Miles), an incredibly uninteresting young hippie couple.  Lee is more than happy to accept this total stranger's invitation to spend a weekend at her abode.  Despite an unpropitious sign or two along the way, the couple finally arrives, whereupon Lee and Diane indulge in some of the most pointedly obvious flirtation ever seen by man (right in front of poor, dumb Susan).  By night, Diane secretly watches her guests; by day, she takes them on a series of mind-numbingly boring desert tours.  It eventually becomes clear that Diane doesn't want her guests to leave; she's far too busy seducing husband and wife (separately, of course) - but, of course, she has to feed eventually.  Things then waddle on to a wholly predictable ending.The Velvet Vampire is actually fairly racy for its time (1971), featuring a fair amount of nudity.  Director Stephanie Rothman's emphasis is wholly on the female aspect of that whole erotic vampire thing.  Celeste Yarnall is pretty effective as the vampire, especially in terms of the erotic factor.  She's also the only cast member with a discernible amount of acting ability.  I would describe her as a poor man's Morgan Brittany.  The horror comes more in the form of overtones than anything else, as there just isn't a whole lot of blood-sucking going on.On the plus side, the art show (at the, ahem, Stoker Gallery) that brings our characters together features some pretty good musical entertainment in the form of Johnny Shines singing Evil Hearted Woman.  The film's average at best, but at least the blues riffs are killer.",3,She wore bloody velvet,1136332800,"01 4, 2006",2006,2169,"['do', ""n't"", 'find', 'many', 'vampires', 'living', 'miles', 'away', 'nowhere', 'middle', 'desert', 'where', 'Diane', 'LeFanu', 'set', 'up', 'residence', 'Then', 'again', 'Diane', ""n't"", 'typical', 'vampire', 'pretty', 'darned', 'hot', 'parts', 'yet', 'able', 'go', 'out', 'day', ""n't"", 'have', 'anything', 'good', 'say', 'sun', 'enjoy', 'erotic', 'temptress', 'more', 'blood-sucking', 'aspect', 'job', 'supplies', 'limited', 'middle', 'nowhere', 'town', 'periodically', 'restock', 'where', 'meet', 'Lee', 'Susan', 'Ritter', 'Michael', 'Blodgett', 'Sherry', 'Miles', 'incredibly', 'uninteresting', 'young', 'hippie', 'couple', 'Lee', 'more', 'happy', 'accept', 'total', 'stranger', 'invitation', 'spend', 'weekend', 'abode', 'unpropitious', 'sign', 'two', 'way', 'couple', 'finally', 'whereupon', 'Lee', 'Diane', 'indulge', 'most', 'pointedly', 'obvious', 'flirtation', 'ever', 'seen', 'man', 'right', 'front', 'poor', 'dumb', 'Susan', 'night', 'Diane', 'secretly', 'guests', 'day', 'series', 'mind-numbingly', 'boring', 'desert', 'tours', 'eventually', 'clear', 'Diane', ""n't"", 'want', 'guests', 'leave', 'far', 'too', 'busy', 'seducing', 'husband', 'wife', 'separately', 'course', 'course', 'feed', 'eventually', 'Things', 'then', 'waddle', 'wholly', 'predictable', 'ending.The', 'Velvet', 'Vampire', 'actually', 'fairly', 'racy', 'time', '1971', 'featuring', 'fair', 'amount', 'nudity', 'Director', 'Stephanie', 'Rothman', 'emphasis', 'wholly', 'female', 'aspect', 'whole', 'erotic', 'vampire', 'thing', 'Celeste', 'Yarnall', 'pretty', 'effective', 'vampire', 'especially', 'terms', 'erotic', 'factor', 'also', 'only', 'cast', 'member', 'discernible', 'amount', 'acting', 'ability', 'would', 'describe', 'poor', 'man', 'Morgan', 'Brittany', 'horror', 'more', 'form', 'overtones', 'anything', 'else', 'just', ""n't"", 'whole', 'lot', 'blood-sucking', 'going', 'plus', 'side', 'art', 'show', 'ahem', 'Stoker', 'Gallery', 'characters', 'together', 'pretty', 'good', 'musical', 'entertainment', 'form', 'Johnny', 'Shines', 'singing', 'Evil', 'Hearted', 'Woman', 'film', 'average', 'best', 'least', 'blues', 'riffs', 'are', 'killer']",N/A
1105255,A2ANL60MDOE36Z,B000VXUW90,"Liz KS ""deoby6836""","[1, 5]","Thank god I didn't buy this DVD. I rented here at Amazon after reading some reviews.  I wish I had believed the ones who reviewed this movie negatively.  This was such a bad movie that I couldn't even give it ""b"" status.  If there was an ""f"" status that's what I would give it.  If you're looking for a good Vampire movie don't look for it in this lame excuse. Yes, it is that bad. I watched it all the way to the end just because I didn't want to say I hadn't seen it all. It was torturous, inane, and BORING! The acting was atrocious and whoever directed it must have been working on his first movie ever having absolutely no idea what he was doing.  Please don't even waste the $1.99 that I did to watch it.  Save your money and your mind.",1,One of the worst,1266105600,"02 14, 2010",2010,742,"['Thank', 'god', 'did', ""n't"", 'buy', 'DVD', 'rented', 'here', 'Amazon', 'reading', 'reviews', 'wish', 'had', 'believed', 'ones', 'who', 'reviewed', 'movie', 'negatively', 'was', 'such', 'bad', 'movie', 'could', ""n't"", 'even', 'give', 'b', 'status', 'was', 'f', 'status', 'what', 'would', 'give', ""'re"", 'looking', 'good', 'Vampire', 'movie', 'do', ""n't"", 'look', 'lame', 'excuse', 'Yes', 'bad', 'watched', 'way', 'end', 'just', 'did', ""n't"", 'want', 'say', 'had', ""n't"", 'seen', 'was', 'torturous', 'inane', 'BORING', 'acting', 'was', 'atrocious', 'directed', 'must', 'have', 'been', 'working', 'first', 'movie', 'ever', 'having', 'absolutely', 'idea', 'what', 'was', 'doing', 'Please', 'do', ""n't"", 'even', 'waste', '1.99', 'did', 'watch', 'Save', 'money', 'mind']",N/A
1105256,A3O1K7BL7E91SD,B000VXUW90,Micah,"[33, 37]","The Film:  The Velvet VampireYear Made:  1971Overview:  Diane, a beautiful woman with a thirst for something red lives in a place that no other vampire has ever been known to live.  She invites a couple to come visit her at her tranquil desert estate.  Slowly she seduces them into her web of death.  Why does she stay in the desert of all places?  Is she really a vampire or is it all a illusion?  Who will escape the bite of the Velvet Vampire!The Package:  4 Stars.  The graphics on this DVD holder is really cool and it just has this spooky, bloody, vampire phycodelic feel to it.  It really is cool just to look at.  Inside the case there is no inlay which was a let down, the disc itself holds very nicely into the holder and is easy to pop out at the same time.  On the disc itself is a picture graphic of the eyes/face of Diane (The Velvet Vampire) which is really cool.  It's a letdown that the trailer for the film is not included but their are some really nice extras.  The company that put out this version is called cheezy flicks entertainment.  There is a extras section on the disc that has all kinds of ""cheezy"" old trailers for films as well as old TV commercials that most anyone would really love who appreciates older low budget films and ads.  I really loved that and can't wait to buy more films from cheezy entertainment to see even more of these extras I hope.Spook Meter:  3 Stars.  First off, I LOVED this film.  It's not a overly scary film by any means, but as I watched it, I found my own imagination running wild as scenes popped up like the velvet vampire looking up out of her late husbands grave in the heat of the desert, while she reached out to grab her next victim. I really enjoyed the fact that this was not your ""normal"" vampire film.  How many vampires live in the desert and drive a dune buggy?? The dream scenes, the dry eerie desert scenes, along with the music and 70s phycodelic feel throughout the film really is what made me fall in love with this gem.  I happen to see the name of this film and bought it just based on that, I'm so glad I did.Gore/Violence Meter:  2 Stars.  This is not very gory at all. There is some blood, and there is some violence throughout though.  Scenes of blood where a knife goes into someone, blood is shown after someone is bit on the neck and a few other Simi violent parts but where no blood is shown. The film is not super mild on the gore meter, but will be acceptable for most anyone who enjoys horror with slight gore and violence.Profanity Meter:  3 Stars.  Their is a fair amount of bad language throughout the velvet vampire and was one part that I found to be a bit of a letdown.  Viewers be warned.Sexual Meter:  4 Stars.  There is quite a few make out scenes in this film.  Woman's breasts are shown quite a few times and a mans naked butt is shown.  Nothing else is shown below the waist; however it's quite a bit on the sexual side of things for a horror film so I give the sexual meter pretty high marks as an early warning to all viewers.Final Thoughts:  The velvet vampire is a very special and unique film to watch.  It's got a lot of twists to it that after your done watching you will be left pondering over was if this and what if that.  It's very well done, kind of spooky and will keep you glued to the screen until the credits are shown.  If you can appreciate low budget films and want something that is truly a fun, one of a kind vampire experience, then the velvet vampire will be one that you will be proud to own as I am.",5,A beautiful desert vampire!,1210809600,"05 15, 2008",2008,3529,"['Film', 'Velvet', 'VampireYear', 'Made', '1971Overview', 'Diane', 'beautiful', 'woman', 'thirst', 'something', 'red', 'place', 'other', 'vampire', 'ever', 'been', 'known', 'live', 'couple', 'come', 'visit', 'tranquil', 'desert', 'estate', 'Slowly', 'web', 'death', 'Why', 'stay', 'desert', 'places', 'really', 'vampire', 'illusion', 'Who', 'will', 'escape', 'bite', 'Velvet', 'Vampire', 'Package', '4', 'Stars', 'graphics', 'DVD', 'holder', 'really', 'cool', 'just', 'spooky', 'bloody', 'vampire', 'phycodelic', 'feel', 'really', 'cool', 'just', 'look', 'case', 'inlay', 'was', 'let', 'down', 'disc', 'very', 'nicely', 'holder', 'easy', 'pop', 'out', 'same', 'time', 'disc', 'picture', 'graphic', 'eyes/face', 'Diane', 'Velvet', 'Vampire', 'really', 'cool', 'letdown', 'trailer', 'film', 'not', 'included', 'are', 'really', 'nice', 'extras', 'company', 'put', 'out', 'version', 'called', 'cheezy', 'flicks', 'entertainment', 'extras', 'section', 'disc', 'kinds', 'cheezy', 'old', 'trailers', 'films', 'as', 'well', 'old', 'TV', 'commercials', 'most', 'anyone', 'would', 'really', 'love', 'who', 'older', 'low', 'budget', 'films', 'ads', 'really', 'loved', 'ca', ""n't"", 'wait', 'buy', 'more', 'films', 'cheezy', 'entertainment', 'see', 'even', 'more', 'extras', 'hope.Spook', 'Meter', '3', 'Stars', 'First', 'LOVED', 'film', 'not', 'overly', 'scary', 'film', 'means', 'watched', 'found', 'own', 'imagination', 'running', 'wild', 'scenes', 'popped', 'up', 'velvet', 'vampire', 'looking', 'up', 'late', 'husbands', 'grave', 'heat', 'desert', 'reached', 'out', 'grab', 'next', 'victim', 'really', 'enjoyed', 'fact', 'was', 'not', 'normal', 'vampire', 'film', 'How', 'many', 'vampires', 'live', 'desert', 'drive', 'dune', 'buggy', 'dream', 'scenes', 'dry', 'eerie', 'desert', 'scenes', 'music', '70s', 'phycodelic', 'feel', 'film', 'really', 'what', 'made', 'fall', 'love', 'gem', 'happen', 'see', 'name', 'film', 'bought', 'just', 'based', ""'m"", 'so', 'glad', 'did.Gore/Violence', 'Meter', '2', 'Stars', 'not', 'very', 'gory', 'blood', 'violence', 'Scenes', 'blood', 'where', 'knife', 'someone', 'blood', 'shown', 'someone', 'bit', 'neck', 'few', 'other', 'Simi', 'violent', 'parts', 'where', 'blood', 'shown', 'film', 'not', 'super', 'mild', 'gore', 'meter', 'will', 'be', 'acceptable', 'most', 'anyone', 'who', 'horror', 'slight', 'gore', 'violence.Profanity', 'Meter', '3', 'Stars', 'Their', 'fair', 'amount', 'bad', 'language', 'velvet', 'vampire', 'was', 'one', 'part', 'found', 'be', 'bit', 'letdown', 'Viewers', 'be', 'warned.Sexual', 'Meter', '4', 'Stars', 'quite', 'few', 'make', 'out', 'scenes', 'film', 'Woman', 'breasts', 'are', 'shown', 'quite', 'few', 'times', 'mans', 'naked', 'butt', 'shown', 'Nothing', 'else', 'shown', 'waist', 'however', 'quite', 'bit', 'sexual', 'side', 'things', 'horror', 'film', 'give', 'sexual', 'meter', 'pretty', 'high', 'marks', 'early', 'warning', 'viewers.Final', 'Thoughts', 'velvet', 'vampire', 'very', 'special', 'unique', 'film', 'watch', 'got', 'lot', 'twists', 'done', 'watching', 'will', 'be', 'left', 'pondering', 'was', 'what', 'very', 'well', 'done', 'kind', 'spooky', 'will', 'keep', 'glued', 'screen', 'credits', 'are', 'shown', 'can', 'appreciate', 'low', 'budget', 'films', 'want', 'something', 'truly', 'fun', 'one', 'kind', 'vampire', 'experience', 'then', 'velvet', 'vampire', 'will', 'be', 'one', 'will', 'be', 'proud', 'own', 'am']",N/A
1105257,A3OTSL449WSX64,B000VXUW90,"Michael E. Mitchell ""a Son of Lugosi""","[2, 4]","Relocating a vampire to 20th century America?  ""Count Yorga, Vampire"" and ""The Velvet Vampire"" were amongst the movies that tried this twist; what's more, ""TVV"" adds desert dwelling and dune buggy action.  Perhaps it was considered ""action"" at its time.  Now it just seems kind've clunky.  I DO get a perverse amusement in seeing films that really reflect that era's goofy-looking fads and fashions (aren't ANY era's popular trappings goofy-looking in retrospect?), but aside from the dune buggy, there isn't much that actually nails this film into that era, other than maybe some hairdos and some almost bizarre clothes...but there are examples of both that just seem ordinary, as well.  So as far as ""groovy thrills"", this doesn't especially deliver.  Sherry Miles is almost painfully ""dumb blonde California Girl"" in her performance (IS it a performance?), and Michael Blodgett is typical of that era's ""heroes"".  Early on, we see a street thug, who is played by Robert Tessier, the workhorse toughguy of 60s,70s, and 80s tv and film (the bald musclehead often beaten up by Bronson, Mr. T, Billy Jack, and Lou Ferrigno)...here we see him (briefly) with hair!  What drew me to ""TVV"" is the lead character being played by Celeste Yarnell (or Yarnall, depending on which spelling the filmmakers used...which is proper, who knows?), who had appeared in Star Trek's episode ""The Apple"".  Quite honestly, I would have NEVER recognized her; she really does look like a completely different person to me.  Not just the element of 4 years' difference, but totally different.  Attractive, certainly!  We get to see a good deal of her; not exactly voluptuous, but much more appealing than what we see of Miles, for my tastes.  As for the other criteria sought by genre buffs, GORE, there is very little.  No, I think this film was actually aimed more at being outre' and narrative than shocking and horrific.  It achieves moodiness and gloom, which is in turn shattered by the unlikely desert setting.  Why does the sun only sometimes affect TVV?  This smacks of ""TV movie"", only with nudity.  The music is really, for me, the only thing really superior and creepy...and of course, the best part of it is overplayed to death.  Do NOT expect a blood-saturated journey into grim darkness as the cover art (this is a review of the Cheezy Flix edition) suggests.  I found nothing ""psychedelic"" about this, as other reviews indicate; ""Dracula A.D. 1972"" is far more ""psychedelic"", if that means weird hippies listening to dopey music while wearing fringed bell bottoms, vests, awkward jewelry, ludicrous hair, and a layer of dirt.  This is a trip to the vaguely hip Southwest of early 1970s America.  I felt, several times, very bored; perhaps if the film had been pared by about 11 minutes it would have been more effective.  As it is, it is surpassed on every level (except dune buggy action and naked Star Trek guest yeomen)by other films of the time.",3,Unique Yet Trite,1266105600,"02 14, 2010",2010,2941,"['Relocating', 'vampire', '20th', 'century', 'America', 'Count', 'Yorga', 'Vampire', 'Velvet', 'Vampire', 'were', 'movies', 'tried', 'twist', 'what', 'more', 'TVV', 'desert', 'dwelling', 'dune', 'buggy', 'action', 'Perhaps', 'was', 'considered', 'action', 'time', 'Now', 'just', 'kind', ""'ve"", 'clunky', 'DO', 'get', 'perverse', 'amusement', 'seeing', 'films', 'really', 'reflect', 'era', 'goofy-looking', 'fads', 'fashions', 'are', ""n't"", 'ANY', 'era', 'popular', 'trappings', 'goofy-looking', 'retrospect', 'aside', 'dune', 'buggy', ""n't"", 'much', 'actually', 'film', 'era', 'other', 'maybe', 'hairdos', 'almost', 'bizarre', 'clothes', 'are', 'examples', 'just', 'seem', 'ordinary', 'as', 'well', 'as', 'far', 'groovy', 'thrills', ""n't"", 'especially', 'deliver', 'Sherry', 'Miles', 'almost', 'painfully', 'dumb', 'blonde', 'California', 'Girl', 'performance', 'performance', 'Michael', 'Blodgett', 'typical', 'era', 'heroes', 'Early', 'see', 'street', 'thug', 'who', 'played', 'Robert', 'Tessier', 'workhorse', 'toughguy', '60s,70s', '80s', 'tv', 'film', 'bald', 'musclehead', 'often', 'beaten', 'up', 'Bronson', 'Mr.', 'T', 'Billy', 'Jack', 'Lou', 'Ferrigno', 'here', 'see', 'briefly', 'hair', 'What', 'drew', 'TVV', 'lead', 'character', 'being', 'played', 'Celeste', 'Yarnell', 'Yarnall', 'depending', 'spelling', 'filmmakers', 'used', 'proper', 'who', 'who', 'had', 'appeared', 'Star', 'Trek', 'episode', 'Apple', 'Quite', 'honestly', 'would', 'have', 'NEVER', 'recognized', 'really', 'look', 'completely', 'different', 'person', 'Not', 'just', 'element', '4', 'years', 'difference', 'totally', 'different', 'Attractive', 'certainly', 'get', 'see', 'good', 'deal', 'not', 'exactly', 'voluptuous', 'much', 'more', 'appealing', 'what', 'see', 'Miles', 'tastes', 'other', 'criteria', 'sought', 'genre', 'buffs', 'GORE', 'very', 'little', 'No', 'think', 'film', 'was', 'actually', 'aimed', 'more', 'being', 'outre', 'narrative', 'shocking', 'horrific', 'moodiness', 'gloom', 'turn', 'shattered', 'unlikely', 'desert', 'setting', 'Why', 'sun', 'only', 'sometimes', 'affect', 'TVV', 'TV', 'movie', 'only', 'nudity', 'music', 'really', 'only', 'thing', 'really', 'superior', 'creepy', 'course', 'best', 'part', 'overplayed', 'death', 'Do', 'NOT', 'expect', 'blood-saturated', 'journey', 'grim', 'darkness', 'cover', 'art', 'review', 'Cheezy', 'Flix', 'edition', 'found', 'nothing', 'psychedelic', 'other', 'reviews', 'indicate', 'Dracula', 'A.D.', '1972', 'far', 'more', 'psychedelic', 'weird', 'hippies', 'listening', 'dopey', 'music', 'wearing', 'fringed', 'bell', 'bottoms', 'vests', 'awkward', 'jewelry', 'ludicrous', 'hair', 'layer', 'dirt', 'trip', 'vaguely', 'hip', 'Southwest', 'early', '1970s', 'America', 'felt', 'several', 'times', 'very', 'bored', 'perhaps', 'film', 'had', 'been', 'pared', '11', 'minutes', 'would', 'have', 'been', 'more', 'effective', 'surpassed', 'level', 'dune', 'buggy', 'action', 'naked', 'Star', 'Trek', 'guest', 'yeomen', 'other', 'films', 'time']",N/A
