,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1129722,A3CPMVVSEOXCX1,B00114UUOK,Akira Touya,"[0, 1]","this is a beautiful and wonderful movie that is thoroughly enjoyable to watch. i liked 'voices of a distant star' more, but '5 centimeters per second' is perfectly watchable. i do hope you like it also.",4,sad in a pretty way,1242777600,"05 20, 2009",2009,202,"['beautiful', 'wonderful', 'movie', 'thoroughly', 'enjoyable', 'watch', 'i', 'liked', ""'voices"", 'distant', 'star', 'more', '5', 'centimeters', 'second', 'perfectly', 'watchable', 'i', 'do', 'hope', 'also']",N/A
1129723,A2O1SP6ZPJKCAS,B00114UUOK,Animelover,"[1, 1]",This is an anime that you really cannot find the proper words to explain why it is great. The best way to describe it would be a must buy and to keep it on top of your anime pile at all times because when you watch it you'll want to show all your friends who love anime. At least all the ones that watch anime that have a great deal of emotion and feeling. I suggest getting it and watching it over and over.,5,Amazing,1335312000,"04 25, 2012",2012,408,"['anime', 'really', 'can', 'not', 'find', 'proper', 'words', 'explain', 'why', 'great', 'best', 'way', 'describe', 'would', 'be', 'must', 'buy', 'keep', 'top', 'anime', 'pile', 'times', 'when', 'watch', ""'ll"", 'want', 'show', 'friends', 'who', 'love', 'anime', 'least', 'ones', 'watch', 'anime', 'have', 'great', 'deal', 'emotion', 'feeling', 'suggest', 'getting', 'watching']",N/A
1129724,AJFPMKX6318I1,B00114UUOK,Ashley Gabbey,"[0, 0]",Movie is actually three different stories that tie into each other. Each follow some form of love and growing up. The colors and animation in this film are really amazing.,5,I love this,1363737600,"03 20, 2013",2013,171,"['Movie', 'actually', 'three', 'different', 'stories', 'tie', 'other', 'follow', 'form', 'love', 'growing', 'up', 'colors', 'animation', 'film', 'are', 'really', 'amazing']",N/A
1129725,AM9YB0BKXFH7Z,B00114UUOK,"B. Ackley ""jumpstudios""","[7, 9]","Makoto Shinkai's film ""5 centimeters per second"" is one of the most moving and satisfying anime films of recent memory. The themes of love, loss and the emotional and physical distances between people have been explored before in his two previous works ""Voices of a distant star"" and ""the place promised in our early years"" however this new film strips away all the sci-fi elements and presents a raw and moving slice-of-life tale.Presented as 3 short films examining the same relationship over time I think that anyone that saw this film would be moved by one if not all the  characters in the story. Whether it be the urgency Takaki feels when he goes to visit Akari,the sadness Akari feels as she is separated from her love or the quiet rejection Kanea feels when she realizes that her feelings for Akari are not the same, everyone can relate to some feeling.Shinkai's trademark visuals of course present and as usual they are lush, cinematic and always beautiful. His ability to take everyday places like trainstops, convenience stores and wide grassy fields and imbue them with a realistic yet dreamlike quality is amazing.5 centimeters is an excellent film and worthy of being seen by a larger audience including viewers who may not watch anime. Absolutely stunning.",5,Introspective and moving,1209081600,"04 25, 2008",2008,1272,"['Makoto', 'Shinkai', 'film', '5', 'centimeters', 'second', 'one', 'most', 'moving', 'satisfying', 'anime', 'films', 'recent', 'memory', 'themes', 'love', 'loss', 'emotional', 'physical', 'distances', 'people', 'have', 'been', 'explored', 'two', 'previous', 'works', 'Voices', 'distant', 'star', 'place', 'promised', 'early', 'years', 'however', 'new', 'film', 'strips', 'away', 'sci-fi', 'elements', 'raw', 'moving', 'slice-of-life', 'tale.Presented', '3', 'short', 'films', 'examining', 'same', 'relationship', 'time', 'think', 'anyone', 'saw', 'film', 'would', 'be', 'moved', 'one', 'not', 'characters', 'story', 'be', 'urgency', 'Takaki', 'feels', 'when', 'visit', 'Akari', 'sadness', 'Akari', 'feels', 'separated', 'love', 'quiet', 'rejection', 'Kanea', 'feels', 'when', 'feelings', 'Akari', 'are', 'not', 'same', 'everyone', 'can', 'relate', 'feeling.Shinkai', 'trademark', 'visuals', 'course', 'present', 'usual', 'are', 'lush', 'cinematic', 'always', 'beautiful', 'ability', 'take', 'everyday', 'places', 'trainstops', 'convenience', 'stores', 'wide', 'grassy', 'fields', 'imbue', 'realistic', 'yet', 'dreamlike', 'quality', 'amazing.5', 'centimeters', 'excellent', 'film', 'worthy', 'being', 'seen', 'larger', 'audience', 'including', 'viewers', 'who', 'may', 'not', 'watch', 'anime', 'Absolutely', 'stunning']",N/A
1129726,A2MA7915K8TA68,B00114UUOK,B. Green,"[3, 3]","In all my years of watching Anime films only 2 have been so moving enough to bring me to tears. One being ""Grave of the Fireflies"", and now this one. The characters and their interaction with one another are so human that at times you might find yourself relating to them. The films story isn't 100% perfect by any means, but it's close enough, and the art of the film will dazzle you with it's beauty.Since i have never owned the ADV release of this movie i can't compare it with this new release, but i have to say that Crunchyroll has done a great job with this film, adding an amazing new English voice track made by Bang Zoom entertainment, and a new 4.0 Japanese track.Without a doubt this is a must own film.",5,WOW!,1304467200,"05 4, 2011",2011,715,"['years', 'watching', 'Anime', 'films', 'only', '2', 'have', 'been', 'so', 'moving', 'enough', 'bring', 'tears', 'One', 'being', 'Grave', 'Fireflies', 'now', 'one', 'characters', 'interaction', 'one', 'are', 'so', 'human', 'times', 'might', 'find', 'relating', 'films', 'story', ""n't"", '100', '%', 'perfect', 'means', 'close', 'enough', 'art', 'film', 'will', 'dazzle', 'beauty.Since', 'i', 'have', 'never', 'owned', 'ADV', 'release', 'movie', 'i', 'ca', ""n't"", 'compare', 'new', 'release', 'i', 'have', 'say', 'Crunchyroll', 'done', 'great', 'job', 'film', 'adding', 'amazing', 'new', 'English', 'voice', 'track', 'made', 'Bang', 'Zoom', 'entertainment', 'new', '4.0', 'Japanese', 'track.Without', 'doubt', 'must', 'own', 'film']",N/A
1129727,A104FMOV5TRSSY,B00114UUOK,Blue Wand,"[4, 4]","This is a beautiful story. Strangely enough, the first time I watched it I must admit I felt a tad disappointed. I found the tale a bit depressing and slow, and surprisingly short. But after several more viewings, 5 Centimeters Per Second really began to grow on me. Now I appreciate this fine anime as one of my favorites.For starters, the animation itself is superb. Shinkai has a sense of realism that I haven't seen anywhere else. He knows how to capture everyday reality and yet somehow still imbue it with a magical quality all his own. Secondly, the story--divided into three parts--is simply a beautiful tale of love that most people will be able to relate to. No matter what your take on the ending, this is a subtle and emotional journey, driven by characters who are believable and for whom we feel empathy. Finally, I must say that the music for the end is perfect to the last note and delivers quite an emotional payoff.So, while I can see how 5 Centimeters may not be everyone's cup of tea, I encourage you to check it out and spend some time getting to know this moving story. Since it's only an hour or so long, it actually invites repeated viewings. You may be surprised--and you may find that it rewards your patience, as it did mine.",5,Rewards Patience,1370304000,"06 4, 2013",2013,1252,"['beautiful', 'story', 'Strangely', 'enough', 'first', 'time', 'watched', 'must', 'admit', 'felt', 'tad', 'disappointed', 'found', 'tale', 'bit', 'depressing', 'slow', 'surprisingly', 'short', 'several', 'more', 'viewings', '5', 'Centimeters', 'Per', 'Second', 'really', 'began', 'grow', 'Now', 'appreciate', 'fine', 'anime', 'one', 'favorites.For', 'starters', 'animation', 'superb', 'Shinkai', 'sense', 'realism', 'have', ""n't"", 'seen', 'anywhere', 'else', 'how', 'capture', 'everyday', 'reality', 'yet', 'somehow', 'still', 'imbue', 'magical', 'quality', 'own', 'Secondly', 'story', 'divided', 'three', 'parts', 'simply', 'beautiful', 'tale', 'love', 'most', 'people', 'will', 'be', 'able', 'relate', 'matter', 'what', 'take', 'ending', 'subtle', 'emotional', 'journey', 'driven', 'characters', 'who', 'are', 'believable', 'whom', 'feel', 'empathy', 'Finally', 'must', 'say', 'music', 'end', 'perfect', 'last', 'note', 'delivers', 'quite', 'emotional', 'payoff.So', 'can', 'see', 'how', '5', 'Centimeters', 'may', 'not', 'be', 'everyone', 'cup', 'tea', 'encourage', 'check', 'out', 'spend', 'time', 'getting', 'know', 'moving', 'story', 'only', 'hour', 'so', 'long', 'actually', 'repeated', 'viewings', 'may', 'be', 'surprised', 'may', 'find', 'patience', 'did', 'mine']",N/A
1129728,A809QB9276B6X,B00114UUOK,Caleb J. Hyles,"[88, 94]","Honest; Relatable; Poignant; Heart-wrenching; Wondrous; The most lonely of a film I've ever seen. Almost too brutal too handle in its honest portrayal of modern day relationships. The extemporaneous detail of animation into even the most mundane of things is astounding. Everyday events are brought to life in ways I never imagined. Open your heart, and let it be broken by this amazing film.",5,5 Centimeters Per Second: Quick Review,1299628800,"03 9, 2011",2011,392,"['Honest', 'Relatable', 'Poignant', 'Heart-wrenching', 'Wondrous', 'most', 'lonely', 'film', ""'ve"", 'ever', 'seen', 'Almost', 'too', 'brutal', 'too', 'handle', 'honest', 'portrayal', 'modern', 'day', 'relationships', 'extemporaneous', 'detail', 'animation', 'even', 'most', 'mundane', 'things', 'astounding', 'Everyday', 'events', 'are', 'brought', 'life', 'ways', 'never', 'imagined', 'Open', 'heart', 'let', 'be', 'broken', 'amazing', 'film']",N/A
1129729,A17ELHFWMGGH3T,B00114UUOK,"Christine D. Sumpter ""CanesGalactica""","[1, 1]",,5,A Purchase on a Whim Turns Out to Be A Good One!,1331856000,"03 16, 2012",2012,0,[],N/A
1129730,ABJO8YJEB6RT0,B00114UUOK,"Dale Garza ""Garzilla""","[0, 0]",Total Artistry. They really don't get any better than this. Straight fives in every category. The hyper-realistic drawings would look absolutely like photographs were it not for the surrealistic color palette. Contrasted with the simple looking yet very deep characters. After just a couple of minutes the viewer is so captivated by what he is seeing that he might forget he is watching an animation except that reality isn't nearly that beautiful. Random pauses could be captured and framed every scene has been given the same care. As with nearly all of Shinkai's works time and space are as much a part of the story as are the characters themselves. The beauty of innocence and love and loss is swallowed up by life yet never truly departs. Best of the best.,5,What is the speed of love's loss?,1258329600,"11 16, 2009",2009,761,"['Total', 'Artistry', 'really', 'do', ""n't"", 'get', 'better', 'Straight', 'fives', 'category', 'hyper-realistic', 'drawings', 'would', 'look', 'absolutely', 'photographs', 'were', 'not', 'surrealistic', 'color', 'palette', 'Contrasted', 'simple', 'looking', 'yet', 'very', 'deep', 'characters', 'just', 'couple', 'minutes', 'viewer', 'so', 'captivated', 'what', 'seeing', 'might', 'forget', 'watching', 'animation', 'reality', ""n't"", 'nearly', 'beautiful', 'Random', 'pauses', 'could', 'be', 'captured', 'framed', 'scene', 'been', 'given', 'same', 'care', 'nearly', 'Shinkai', 'works', 'time', 'space', 'are', 'as', 'much', 'part', 'story', 'are', 'characters', 'beauty', 'innocence', 'love', 'loss', 'swallowed', 'up', 'life', 'yet', 'never', 'truly', 'departs', 'Best', 'best']",N/A
1129731,A3KZUBM6S477EQ,B00114UUOK,"Darius Jackson ""Action Jackson""","[1, 1]","""5 centimeters per Second"" is a very down-to-earth, sad film. While most anime's depict extreme depictions of violence and romance, this movie breaks those barriers and gives the viewer a sobering look at an often ignored reality, which is the inevitably that life moves on, and the only thing constant is change.One of the most refreshing things about this movie is the length - its clocks in at 62 min, just a tad over an hour. While most films tend to drag on and on, this one does not. Its broken down into three 22min chapters, and tells the story about a boy (Takaki) and girl (Akira) moving apart from each other - not by choice - but because of circumstances beyond there control. A friendship which starts in elementary school that is filled with happiness, hope, and security... is slowly torn apart by space and time. How does it all end? Does he eventually re-unite with Akira and they live happily ever after, does love and patience eventually pay off for Takaki, who desperatly believes that someday him and Akira will be together? Watch the movie and find out, after all, its only an hour. An hour well spent.The technical aspects of the film are astonishing. This is not your typical anime, the level of color, crispness, and detail that goes into each scene is incredible. A must see in blu-ray.",5,An anime that gives you a reality check.,1253145600,"09 17, 2009",2009,1312,"['5', 'centimeters', 'Second', 'very', 'down-to-earth', 'sad', 'film', 'most', 'anime', 'depict', 'extreme', 'depictions', 'violence', 'romance', 'movie', 'barriers', 'viewer', 'sobering', 'look', 'often', 'ignored', 'reality', 'inevitably', 'life', 'moves', 'only', 'thing', 'constant', 'change.One', 'most', 'refreshing', 'things', 'movie', 'length', 'clocks', '62', 'min', 'just', 'tad', 'hour', 'most', 'films', 'tend', 'drag', 'one', 'not', 'broken', 'down', 'three', '22min', 'chapters', 'story', 'boy', 'Takaki', 'girl', 'Akira', 'moving', 'apart', 'other', 'not', 'choice', 'circumstances', 'control', 'friendship', 'elementary', 'school', 'filled', 'happiness', 'hope', 'security', 'slowly', 'torn', 'apart', 'space', 'time', 'How', 'end', 'eventually', 're-unite', 'Akira', 'live', 'happily', 'ever', 'love', 'patience', 'eventually', 'pay', 'off', 'Takaki', 'who', 'desperatly', 'someday', 'Akira', 'will', 'be', 'together', 'Watch', 'movie', 'find', 'out', 'only', 'hour', 'hour', 'well', 'spent.The', 'technical', 'aspects', 'film', 'are', 'astonishing', 'not', 'typical', 'anime', 'level', 'color', 'crispness', 'detail', 'scene', 'incredible', 'must', 'see', 'blu-ray']",N/A
