,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1163266,A2E3F04ZK7FG66,B0019F02W6,calvinnme,"[4, 7]","Season nine is really the last great season of Cheers. It's the one in which Rebecca and Robin come to a resolution of their relationship after Robin finishes his time in prison, and where Rebecca and Sam finally fall into some form of normalcy in their relationship. Finally, it was the first full season after Sam finally got his bar back after losing it at the end of season five.Season ten can only be judged as ""more of the same"". That's not bad when you consider Cheers' weird cast of characters, but there are really no surprises. The only real season-long storyline is Sam and Rebecca's attempt to have a child together. For things to really get moving again you have to wait for the final season - season eleven. The outstanding episodes of season ten are the two involving the ""Bar Wars"" between Cheers and Gary's Olde Towne Tavern, and the very best of the season is the finale involving Woody's marriage to his wealthy girlfriend, Kelly. For once there is no season-ending cliffhanger here, just lots of fun Cheers-style.The timing between the release of seasons nine and ten - end of May for season nine and the first of September for season ten - makes it look like Paramount will probably release season eleven and probably ""Cheers: The Complete Series"" around Christmas time. Since these sets are always cheaper when packaged together I'd recommend waiting and seeing if that is what is planned.",4,"Not the best of Cheers, but still a good season",1211587200,"05 24, 2008",2008,1411,"['Season', 'nine', 'really', 'last', 'great', 'season', 'Cheers', 'one', 'Rebecca', 'Robin', 'come', 'resolution', 'relationship', 'Robin', 'time', 'prison', 'where', 'Rebecca', 'Sam', 'finally', 'fall', 'form', 'normalcy', 'relationship', 'Finally', 'was', 'first', 'full', 'season', 'Sam', 'finally', 'got', 'bar', 'back', 'losing', 'end', 'season', 'five.Season', 'ten', 'can', 'only', 'be', 'judged', 'more', 'same', 'not', 'bad', 'when', 'consider', 'Cheers', 'weird', 'cast', 'characters', 'are', 'really', 'surprises', 'only', 'real', 'season-long', 'storyline', 'Sam', 'Rebecca', 'attempt', 'have', 'child', 'together', 'things', 'really', 'get', 'moving', 'again', 'have', 'wait', 'final', 'season', 'season', 'eleven', 'outstanding', 'episodes', 'season', 'ten', 'are', 'two', 'involving', 'Bar', 'Wars', 'Cheers', 'Gary', 'Olde', 'Towne', 'Tavern', 'very', 'best', 'season', 'finale', 'involving', 'Woody', 'marriage', 'wealthy', 'girlfriend', 'Kelly', 'once', 'season-ending', 'cliffhanger', 'here', 'just', 'lots', 'fun', 'Cheers-style.The', 'timing', 'release', 'seasons', 'nine', 'ten', 'end', 'May', 'season', 'nine', 'first', 'September', 'season', 'ten', 'look', 'Paramount', 'will', 'probably', 'release', 'season', 'eleven', 'probably', 'Cheers', 'Complete', 'Series', 'Christmas', 'time', 'sets', 'are', 'always', 'cheaper', 'when', 'packaged', 'together', ""'d"", 'recommend', 'waiting', 'seeing', 'what', 'planned']",Cheers: Season 10
1163267,ABRMCRFKZURWJ,B0019F02W6,"cjh ""Chris""","[0, 0]","So many classic episodes in the 10th Season, ""Get Your Kicks on Route 666"", ""The Norm Who Came to Dinner"", and maybe the funniest episodes of Cheers, definitely among the funniest, the classic two parter where Woordy gets married ""An Old-Fashioned Wedding"" among 15 others. Cheers is the greatest show of all time, and the fact it maintained the highest quality througout an 11 year run is amazing. Some shows start to dwindle after 4 or 5 Years, and Cheers was always great. From Yeat One, right up through it's all time classic final episode. My only complaint with the Cheers dvd's is the lack of extras, and the editing of songs out of episodes. But, the episodes themselves are top notch, and hilarious as always. Two Thumbs way up from me!",5,Classic Season!!,1357516800,"01 7, 2013",2013,745,"['So', 'many', 'classic', 'episodes', '10th', 'Season', 'Get', 'Your', 'Kicks', 'Route', '666', 'Norm', 'Who', 'Came', 'Dinner', 'maybe', 'funniest', 'episodes', 'Cheers', 'definitely', 'funniest', 'classic', 'two', 'parter', 'where', 'Woordy', 'married', 'Old-Fashioned', 'Wedding', '15', 'others', 'Cheers', 'greatest', 'show', 'time', 'fact', 'maintained', 'highest', 'quality', '11', 'year', 'run', 'amazing', 'shows', 'start', 'dwindle', '4', '5', 'Years', 'Cheers', 'was', 'always', 'great', 'Yeat', 'One', 'right', 'up', 'time', 'classic', 'final', 'episode', 'only', 'complaint', 'Cheers', 'dvd', 'lack', 'extras', 'editing', 'songs', 'episodes', 'episodes', 'are', 'top', 'notch', 'hilarious', 'always', 'Two', 'Thumbs', 'way', 'up']",Cheers: Season 10
1163268,APMOPIXTU9MVO,B0019F02W6,"Dach Nednil ""lokiv""","[0, 1]","CBS DVD and Paramount Home Entertainment have announced that Cheers - The Final Season will arrive on DVD this January 27th. The 653-minute collection will include all 25 episodes, including the double-length episode ""Rebecca Gaines, Rebecca Loses"" and the triple-length series finale, ""One For The Road"". from tvshowsondvd dot com.",4,Season 11 January 27th 2008,1223251200,"10 6, 2008",2008,332,"['CBS', 'DVD', 'Paramount', 'Home', 'Entertainment', 'have', 'announced', 'Cheers', 'Final', 'Season', 'will', 'arrive', 'DVD', 'January', '27th', '653-minute', 'collection', 'will', 'include', '25', 'episodes', 'including', 'double-length', 'episode', 'Rebecca', 'Gaines', 'Rebecca', 'Loses', 'triple-length', 'series', 'finale', 'One', 'Road', 'tvshowsondvd', 'dot', 'com']",Cheers: Season 10
1163269,A1B48C7BBKZZS4,B0019F02W6,Desha O. Van Every (Van),"[0, 0]",Watched all episodes.  All were good.  I will watch them again in time.  Thanks for making them available.  Thank again.,5,Great series,1369785600,"05 29, 2013",2013,120,"['Watched', 'episodes', 'were', 'good', 'will', 'watch', 'again', 'time', 'Thanks', 'making', 'available', 'Thank', 'again']",Cheers: Season 10
1163270,AH1FE0H8VVV6E,B0019F02W6,"D ""person""","[0, 0]",i love the cheers series. i could watch them over and over. I am so glad they are a part of prime.,5,love it,1390953600,"01 29, 2014",2014,98,"['i', 'love', 'cheers', 'series', 'i', 'could', 'watch', 'over', 'am', 'so', 'glad', 'are', 'part', 'prime']",Cheers: Season 10
1163271,A3L1EOXTVFWAW2,B0019F02W6,Dundnaugh,"[0, 0]","For those who haven't seen the show, of the top five sitcoms of all time, this one is number one for me. I would encourage anyone who didn't follow the seasons to get newer ones so you can become familiar with  and appreciate the characters. Coming into this season, the show was beginning to wind down. For us die-hard Cheers lovers, this season is just as wonderful as the rest. I felt I needed to give heads-up to new viewers.",5,Cheers never disappoints,1382054400,"10 18, 2013",2013,429,"['who', 'have', ""n't"", 'seen', 'show', 'top', 'five', 'sitcoms', 'time', 'one', 'number', 'one', 'would', 'encourage', 'anyone', 'who', 'did', ""n't"", 'follow', 'seasons', 'get', 'newer', 'ones', 'can', 'become', 'familiar', 'appreciate', 'characters', 'Coming', 'season', 'show', 'was', 'beginning', 'wind', 'down', 'die-hard', 'Cheers', 'lovers', 'season', 'just', 'as', 'wonderful', 'rest', 'felt', 'needed', 'give', 'heads-up', 'new', 'viewers']",Cheers: Season 10
1163272,A3E0HCIIP3V11C,B0019F02W6,"Eddie ""gadget buyer""","[0, 0]","My wife and I have enjoyed going back and watching all the episodes being with season 1.  Most have been great, except those that concentrate on Carla or Cliff, which are stupid or boring.Season 11, which we are into now, is really grasping at old jokes and plot lines, so season 10 should have been the last season of cheers.",4,Should have been the last season,1361145600,"02 18, 2013",2013,326,"['wife', 'have', 'enjoyed', 'going', 'back', 'watching', 'episodes', 'being', 'season', '1', 'Most', 'have', 'been', 'great', 'concentrate', 'Carla', 'Cliff', 'are', 'stupid', 'boring.Season', '11', 'are', 'now', 'really', 'grasping', 'old', 'jokes', 'plot', 'lines', 'so', 'season', '10', 'should', 'have', 'been', 'last', 'season', 'cheers']",Cheers: Season 10
1163273,A2IS16K96YSFDV,B0019F02W6,Eric Mayforth,"[0, 0]","This DVD set contains all 25 episodes of the tenth season of ""Cheers"" that aired on NBC from September 1991 to May 1992.  In this classic sitcom, patrons at a Boston bar form a sort of community, even though they are from different walks of life.  The ongoing subplot of Season Ten is whether Sam (Ted Danson) and Rebecca (Kirstie Alley) will have a child.This season has quite a few strong episodes.  In one, four of the guys go on a long car trip; in another, Boston Celtic Kevin McHale guest stars; in another, we learn about an early marriage of Frasier's (Kelsey Grammer's); and the season finale is Woody's (Woody Harrelson's) wedding.  Johnny Carson and Senator John Kerry make cameo appearances during the season.I wonder if there was ever another show that was almost cancelled during its first season that later went on to such great success.  Many sitcoms aren't all that funny, but ""Cheers"" has many laugh-out-loud moments and deserves its status as a classic.",5,Where Everybody Knows Your Name,1346457600,"09 1, 2012",2012,972,"['DVD', 'set', '25', 'episodes', 'tenth', 'season', 'Cheers', 'aired', 'NBC', 'September', '1991', 'May', '1992', 'classic', 'sitcom', 'patrons', 'Boston', 'bar', 'form', 'sort', 'community', 'even', 'are', 'different', 'walks', 'life', 'ongoing', 'subplot', 'Season', 'Ten', 'Sam', 'Ted', 'Danson', 'Rebecca', 'Kirstie', 'Alley', 'will', 'have', 'child.This', 'season', 'quite', 'few', 'strong', 'episodes', 'one', 'four', 'guys', 'go', 'long', 'car', 'trip', 'Boston', 'Celtic', 'Kevin', 'McHale', 'guest', 'stars', 'learn', 'early', 'marriage', 'Frasier', 'Kelsey', 'Grammer', 'season', 'finale', 'Woody', 'Woody', 'Harrelson', 'wedding', 'Johnny', 'Carson', 'Senator', 'John', 'Kerry', 'make', 'cameo', 'appearances', 'season.I', 'wonder', 'was', 'ever', 'show', 'was', 'almost', 'cancelled', 'first', 'season', 'later', 'went', 'such', 'great', 'success', 'Many', 'sitcoms', 'are', ""n't"", 'funny', 'Cheers', 'many', 'laugh-out-loud', 'moments', 'status', 'classic']",Cheers: Season 10
1163274,A18ZI3VZEH7YGD,B0019F02W6,"Gil Wright ""Gil""","[0, 0]",I have loved CHEERS ever since it premiered on TV and now I can watch it anytime i want to.  Season 10 has some of the funniest show of all time and makes me laugh everytime I watch the shows.,4,cheers to CHEERS,1280102400,"07 26, 2010",2010,192,"['have', 'loved', 'CHEERS', 'ever', 'premiered', 'TV', 'now', 'can', 'watch', 'anytime', 'want', 'Season', '10', 'funniest', 'show', 'time', 'everytime', 'watch', 'shows']",Cheers: Season 10
1163275,AUABD7CF09V2O,B0019F02W6,"HILLBILYHIPPYMAN ""Don Silvernail""","[0, 0]","I left other reviews for the other seasons. so I'm running out of things to say. I just hope they at least make some cheers specials. Truth is my favorite patron of Cheers has always been Norm Peterson. Well, I guess many others like him also. All and all, I just hope the networks will give us at least a few more special shows.",5,Dont know what else to say other than I loved Cheers.,1375747200,"08 6, 2013",2013,329,"['left', 'other', 'reviews', 'other', 'seasons', ""'m"", 'running', 'things', 'say', 'just', 'hope', 'least', 'make', 'cheers', 'specials', 'Truth', 'favorite', 'patron', 'Cheers', 'always', 'been', 'Norm', 'Peterson', 'Well', 'guess', 'many', 'others', 'also', 'just', 'hope', 'networks', 'will', 'give', 'least', 'few', 'more', 'special', 'shows']",Cheers: Season 10
