,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1172536,AFL371H7Z7AM5,B001BN4WHW,,"[0, 0]","If you loved the series, you'll enjoy watching these reruns.  Plus, delivery came on time.  It was fun to watch the episodes.",5,If you loved the series,1405468800,"07 16, 2014",2014,125,"['loved', 'series', ""'ll"", 'enjoy', 'watching', 'reruns', 'delivery', 'came', 'time', 'was', 'fun', 'watch', 'episodes']",The Beverly Hillbillies: The Official Second Season
1172537,A3TPMB8S49ZLN,B001BN4WHW,Alan Moore,"[4, 14]","I hope all seasons for Beverly Hillbillies, Petticoat Junction, and Green Acres are released.Where is season 1 of The Beverly Hillbillies?All three series are inter connected in one way or another.",3,Beverly Hillbillies tv show,1228780800,"12 9, 2008",2008,197,"['hope', 'seasons', 'Beverly', 'Hillbillies', 'Petticoat', 'Junction', 'Green', 'Acres', 'are', 'released.Where', 'season', '1', 'Beverly', 'Hillbillies', 'three', 'series', 'are', 'inter', 'connected', 'one', 'way']",The Beverly Hillbillies: The Official Second Season
1172538,A1VRVLZG5SQMDI,B001BN4WHW,Alex S,"[1, 8]","The episodes themselves are entertaining and the minimal extras are somewhat good; however, each of the three sets that I received before giving up had razor blade marks through the UPC codes, and two of them seem to be used copies.The razor blade marks indicate that these were sets that were designated as screeners for TV on DVD reviewers such as myself.I initially bought a $10.99 set through Amazon partner Best Bargains Inc., which I found to be a bad company that uses the EXACT same name as an entirely separate wholesale grocery and probably is not even incorporated. The rep's response was largely that he charges so little because he sells seconds. He was very difficult!I then bought a roughly $30 copy from Amazon, which made up the $20 difference. That one was marked as badly as the other. Amazon's replacement of the replacement was just as bad.Many of us have seen these episodes roughly 20 times; I wanted a good pristine archive copy. That does not seem possible.",1,Seconds-quality Sets,1355184000,"12 11, 2012",2012,982,"['episodes', 'are', 'entertaining', 'minimal', 'extras', 'are', 'somewhat', 'good', 'however', 'three', 'sets', 'received', 'giving', 'up', 'had', 'razor', 'blade', 'marks', 'UPC', 'codes', 'two', 'seem', 'be', 'used', 'copies.The', 'razor', 'blade', 'marks', 'indicate', 'were', 'sets', 'were', 'designated', 'screeners', 'TV', 'DVD', 'reviewers', 'such', 'myself.I', 'initially', 'bought', '10.99', 'set', 'Amazon', 'partner', 'Best', 'Bargains', 'Inc.', 'found', 'be', 'bad', 'company', 'EXACT', 'same', 'name', 'entirely', 'separate', 'wholesale', 'grocery', 'probably', 'not', 'even', 'incorporated', 'rep', 'response', 'was', 'largely', 'so', 'little', 'seconds', 'was', 'very', 'difficult', 'then', 'bought', 'roughly', '30', 'copy', 'Amazon', 'made', 'up', '20', 'difference', 'one', 'was', 'marked', 'as', 'badly', 'other', 'Amazon', 'replacement', 'replacement', 'was', 'just', 'bad.Many', 'have', 'seen', 'episodes', 'roughly', '20', 'times', 'wanted', 'good', 'pristine', 'archive', 'copy', 'not', 'seem', 'possible']",The Beverly Hillbillies: The Official Second Season
1172539,A3RTDO2SLWACO8,B001BN4WHW,Amtrak,"[2, 3]",I love this movie if you like comedy you will love this movie I know I love it i would recommend it,5,Beverly hillbillies,1379116800,"09 14, 2013",2013,99,"['love', 'movie', 'like', 'comedy', 'will', 'love', 'movie', 'know', 'love', 'would', 'recommend']",The Beverly Hillbillies: The Official Second Season
1172540,AGTSSUW09UNDB,B001BN4WHW,Brian,"[4, 5]","I would DEARLY love to BUY season one of this great show, but the official release DVDs seem to have disappeared. To anyone who was lucky enough to buy a copy of season one, would you please consider uploading it online so we can all get it? It seems to be the ONLY way :-(",5,Season One Request ...,1340409600,"06 23, 2012",2012,273,"['would', 'DEARLY', 'love', 'BUY', 'season', 'one', 'great', 'show', 'official', 'release', 'DVDs', 'seem', 'have', 'disappeared', 'anyone', 'who', 'was', 'lucky', 'enough', 'buy', 'copy', 'season', 'one', 'would', 'please', 'consider', 'uploading', 'can', 'get', 'be', 'ONLY', 'way']",The Beverly Hillbillies: The Official Second Season
1172541,AJCNH5XSFG0CU,B001BN4WHW,"Captain Kirk ""Captain Kirk""","[4, 5]",The Video is Razor sharp.  Must see to appreciate it's quality.The Audio fidelity is terriffic.The laugh track is too loud.  There always annoying anyway.A delightfull must have program.,5,"""The Beverly Hillbillies"" season2",1239148800,"04 8, 2009",2009,186,"['Video', 'Razor', 'sharp', 'Must', 'see', 'appreciate', 'quality.The', 'Audio', 'fidelity', 'terriffic.The', 'laugh', 'track', 'too', 'loud', 'always', 'annoying', 'anyway.A', 'delightfull', 'must', 'have', 'program']",The Beverly Hillbillies: The Official Second Season
1172542,A342T9O8B4XWO4,B001BN4WHW,Carol A. Butler,"[6, 6]","This was so surprising for me! All the episodes are complete, with the original theme music! The quality is the same as it looks on TVLAND, which is great! NOTE: On the back of the cover, it says that some episodes have been edited for this DVD edition. Only one episode was edited, and that was ""Granny's Garden"".  It also says some music has been changed. Not that I could notice.  This is a must for die hard fans of ""The Beverly Hillbillies"". Get it ASAP!",5,This is the best TBH collection out!,1227484800,"11 24, 2008",2008,459,"['was', 'so', 'surprising', 'episodes', 'are', 'complete', 'original', 'theme', 'music', 'quality', 'same', 'TVLAND', 'great', 'NOTE', 'back', 'cover', 'episodes', 'have', 'been', 'edited', 'DVD', 'edition', 'Only', 'one', 'episode', 'was', 'edited', 'was', 'Granny', 'Garden', 'also', 'music', 'been', 'changed', 'Not', 'could', 'notice', 'must', 'die', 'hard', 'fans', 'Beverly', 'Hillbillies', 'Get', 'ASAP']",The Beverly Hillbillies: The Official Second Season
1172543,APNY2EVTPTPS0,B001BN4WHW,Chelsea Girl,"[1, 1]",The Beverly Hillbillies are great for TV downtime.  The quality of the DVD set is as good as one can expect.,5,Will Keep You Laughing!,1388880000,"01 5, 2014",2014,108,"['Beverly', 'Hillbillies', 'are', 'great', 'TV', 'downtime', 'quality', 'DVD', 'set', 'as', 'good', 'one', 'can', 'expect']",The Beverly Hillbillies: The Official Second Season
1172544,A369XCX0AB8LSH,B001BN4WHW,choirboyme,"[2, 2]",i recommend after getting the ultimate collector's editions and watching the first season on them starting the second season with this.  the ultimate collector's edition has really good extras so i was happy with getting all of the above. :),4,4 1/2 stars for humor and no grainy episodes :),1370304000,"06 4, 2013",2013,241,"['i', 'recommend', 'getting', 'ultimate', 'collector', 'editions', 'watching', 'first', 'season', 'starting', 'second', 'season', 'ultimate', 'collector', 'edition', 'really', 'good', 'extras', 'so', 'i', 'was', 'happy', 'getting', 'above']",The Beverly Hillbillies: The Official Second Season
1172545,A1PNP10DP0M7V1,B001BN4WHW,"D. Chamberlain ""dchamberlain072002""","[5, 9]","One of the funniest shows of all time finally gets the treatment it deserves - Season Sets.  All of the first season and half of the second season has already been put out by MPI, but they used 16mm transfers that are of an inferior quality.  The MPI sets are still worth picking up however for the shows, an wealth of incredible special features.  The Beverly Hillbillies got Nielson ratings that shows of today could only dream about.  This is one of the few shows from that era that make me laugh as much today as when I first saw them 40 years ago.  Please don't rate the show based on Paramount's treatment of the Fugitive - for the most part Paramount has done a tremendous job releasing many of these classic series from my youth.",5,Great Show Finally Getting The Treatment It Deserves,1223078400,"10 4, 2008",2008,737,"['One', 'funniest', 'shows', 'time', 'finally', 'treatment', 'Season', 'Sets', 'first', 'season', 'half', 'second', 'season', 'already', 'been', 'put', 'out', 'MPI', 'used', '16mm', 'transfers', 'are', 'inferior', 'quality', 'MPI', 'sets', 'are', 'still', 'worth', 'picking', 'up', 'however', 'shows', 'wealth', 'incredible', 'special', 'features', 'Beverly', 'Hillbillies', 'got', 'Nielson', 'ratings', 'today', 'could', 'only', 'dream', 'about', 'one', 'few', 'shows', 'era', 'make', 'as', 'much', 'today', 'when', 'first', 'saw', '40', 'years', 'ago', 'Please', 'do', ""n't"", 'rate', 'show', 'based', 'Paramount', 'treatment', 'Fugitive', 'most', 'part', 'Paramount', 'done', 'tremendous', 'job', 'releasing', 'many', 'classic', 'series', 'youth']",The Beverly Hillbillies: The Official Second Season
