,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1185700,AXBFG8S2D5HIX,B001EHDMW6,CJ,"[4, 5]","A very emotional movie about a boy and his life. His adventure is nothing normal and you will want to watch the whole thing. Prepare to laugh, cry, and possibly get angry at a character or two.",5,Pulls at your heartstrings,1294012800,"01 3, 2011",2011,193,"['very', 'emotional', 'movie', 'boy', 'life', 'adventure', 'nothing', 'normal', 'will', 'want', 'watch', 'whole', 'thing', 'Prepare', 'laugh', 'cry', 'possibly', 'get', 'angry', 'character', 'two']",Jet Boy
1185701,A2R7BL5BF4HYSE,B001EHDMW6,"Dana Skolfield ""Film Lover""","[1, 1]","""Jet Boy"" is a story told with much heart about a boy whose mother dies of an overdose, complicated by the boy's life as a hustler.  When the mysterious man enters his life, the story gets complicated - and is told effectively with lots of events and people many of us can relate to our lives - the long lost childhood sweethart, the boy's gradual discovery of himself - he's really good spirited and respectful - and the truth of his search reveals itself through the eyes of the woman - the ""unclaimed"" romance from the man's earlier years.  Great ending! and that's important to the value of watching this.Jet Boy",4,BOY SEARCHES FOR FATHER,1373587200,"07 12, 2013",2013,616,"['Jet', 'Boy', 'story', 'told', 'much', 'heart', 'boy', 'mother', 'overdose', 'complicated', 'boy', 'life', 'hustler', 'When', 'mysterious', 'man', 'life', 'story', 'complicated', 'told', 'effectively', 'lots', 'events', 'people', 'many', 'can', 'relate', 'lives', 'long', 'lost', 'childhood', 'sweethart', 'boy', 'gradual', 'discovery', 'really', 'good', 'spirited', 'respectful', 'truth', 'search', 'reveals', 'eyes', 'woman', 'unclaimed', 'romance', 'man', 'earlier', 'years', 'Great', 'ending', 'important', 'value', 'watching', 'this.Jet', 'Boy']",Jet Boy
1185702,A3FNQDKGMVBBMU,B001EHDMW6,David F. Scrivens,"[5, 6]",I have watched this movie several times and I think it is one of the best movies I have seen in a while. Young Nathan is out in the world selling his body to survive and getting beat in the process. He runs away after his mom dies from an overdose and meets Boone who is on a mission but we are left to try and figure out what or who Boone really is. It is an interesting movie that doesn't leave us wanting and my favorite scene is when Boone rescues Nathan from the perverts bathroom at the end of the movie and Nathans words to Boone will leave you in tears. Just an all around great movie and if you aren't moved by it then there is something wrong.,5,Loved This Movie,1265587200,"02 8, 2010",2010,653,"['have', 'watched', 'movie', 'several', 'times', 'think', 'one', 'best', 'movies', 'have', 'seen', 'while', 'Young', 'Nathan', 'out', 'world', 'selling', 'body', 'survive', 'getting', 'beat', 'process', 'away', 'mom', 'overdose', 'meets', 'Boone', 'who', 'mission', 'are', 'left', 'try', 'figure', 'out', 'what', 'who', 'Boone', 'really', 'interesting', 'movie', ""n't"", 'leave', 'wanting', 'favorite', 'scene', 'when', 'Boone', 'Nathan', 'perverts', 'bathroom', 'end', 'movie', 'Nathans', 'words', 'Boone', 'will', 'leave', 'tears', 'Just', 'around', 'great', 'movie', 'are', ""n't"", 'moved', 'then', 'something', 'wrong']",Jet Boy
1185703,A1MECEHZHFE5PT,B001EHDMW6,"Dayna Newman ""Slasher Diva""","[2, 2]","Jet Boy was an endearing look at the bonds between Fathers and Sons in a rather unique story revolving around a very young hustler named Nathan and Boon an older man who is sort of mysterious.Dylan Walsh plays Boon a wonderful character who pretends to be hard nosed and hard edged but has a heart of gold.He meets up with Nathan after Nathan's mom overdoses and Nathan flees.The chemistry between the two characters is amazing and makes the film all the more effective.It can make you cry and make you laugh.""Branden Nadon"" who portrays Nathan is a pretty good little actor and draws you in so it's easy to feel his pain and plight.There is some sexual content that some might deem inappropriate because Nathan is so young,about 13..No explicit sex is shown but you know what is going on ,what I liked about it is even though the main storyline revolves around this subject it isn't objectified or gratuitous in the least.It is done very tastefully and in a matter of fact way.I thoroughly enjoyed it and found it to be a very satisfying film and it left me feeling good.",4,Little Boy Lost,1289174400,"11 8, 2010",2010,1072,"['Jet', 'Boy', 'was', 'endearing', 'look', 'bonds', 'Fathers', 'Sons', 'rather', 'unique', 'story', 'revolving', 'very', 'young', 'hustler', 'named', 'Nathan', 'Boon', 'older', 'man', 'who', 'sort', 'mysterious.Dylan', 'Walsh', 'Boon', 'wonderful', 'character', 'who', 'be', 'hard', 'nosed', 'hard', 'edged', 'heart', 'gold.He', 'meets', 'up', 'Nathan', 'Nathan', 'mom', 'overdoses', 'Nathan', 'flees.The', 'chemistry', 'two', 'characters', 'amazing', 'film', 'more', 'effective.It', 'can', 'make', 'cry', 'make', 'laugh', 'Branden', 'Nadon', 'who', 'portrays', 'Nathan', 'pretty', 'good', 'little', 'actor', 'draws', 'easy', 'feel', 'pain', 'plight.There', 'sexual', 'content', 'might', 'deem', 'inappropriate', 'Nathan', 'so', 'young', 'about', '13..No', 'explicit', 'sex', 'shown', 'know', 'what', 'going', 'what', 'liked', 'even', 'main', 'storyline', 'subject', ""n't"", 'objectified', 'gratuitous', 'least.It', 'done', 'very', 'tastefully', 'matter', 'fact', 'way.I', 'thoroughly', 'enjoyed', 'found', 'be', 'very', 'satisfying', 'film', 'left', 'feeling', 'good']",Jet Boy
1185704,A192UPT6KST3E2,B001EHDMW6,Gary W. Phelps,"[1, 1]","This movie is a very real, true-to-life tragedy about a drug addicted parent - even a mother - who sells her 12-13 year old son's sex to other men to pay for her daily fix of cocaine?!  It is no exaggeration such incidents occur and anything can happen when such illegal, potent drugs are involved.  The most impressive development in the plot is how adults step in to give this boy a chance ata decent life, away from survival sex!",5,Jet Boy,1369094400,"05 21, 2013",2013,432,"['movie', 'very', 'real', 'true-to-life', 'tragedy', 'drug', 'addicted', 'parent', 'even', 'mother', 'who', '12-13', 'year', 'old', 'son', 'sex', 'other', 'men', 'pay', 'daily', 'fix', 'cocaine', 'exaggeration', 'such', 'incidents', 'occur', 'anything', 'can', 'happen', 'when', 'such', 'illegal', 'potent', 'drugs', 'are', 'involved', 'most', 'impressive', 'development', 'plot', 'how', 'adults', 'step', 'give', 'boy', 'chance', 'ata', 'decent', 'life', 'away', 'survival', 'sex']",Jet Boy
1185705,A37SE3HAAMTBHP,B001EHDMW6,"Hosaia B. Brown ""'sall good""","[1, 9]","I read 4 pages of positively glowing reviews before deciding to purchase this item. It would seem that would make it a sure sign of its' product quality. Although, brave in its concept and the young actor who plays the wronged victim of systemic child abuse, it is a weak effort overall. Goes to show how different cinematic tastes can be from person-to-person.",2,Overhyped!,1334707200,"04 18, 2012",2012,361,"['read', '4', 'pages', 'positively', 'glowing', 'reviews', 'deciding', 'purchase', 'item', 'would', 'seem', 'would', 'make', 'sure', 'sign', 'product', 'quality', 'brave', 'concept', 'young', 'actor', 'who', 'wronged', 'victim', 'systemic', 'child', 'abuse', 'weak', 'effort', 'overall', 'show', 'how', 'different', 'cinematic', 'tastes', 'can', 'be', 'person-to-person']",Jet Boy
1185706,A30KGYUOZRUCRJ,B001EHDMW6,Hulka,"[98, 103]","This was an awesome movie! A positive uplifting story about a abandoned adolescent boy looking for a father who meets a man trying to forget the pain of his relationship with his own father. Nathan is a sexually confused boy desperately looking for security of a father figure. He runs into Boone, a hardened loner whom Nathan latches onto. We learn that Boone has some emotional father issues of his own, and Nathan shows up to provide him a way to work them out. In other words, Boone finds that he can resolve his own sadness at his father's lack of love by giving Nathan the love and security he needs. This is a low budget made-for-tv movie, but the unusual story line---and the heart rendering performance by Branden Nadon as Nathan---make this a must-see movie for anyone who has familiar with the sort of emotional wounds that too often occur between father and son. It brought tears to my eyes...and a good feeling at the happy ending. I agree--must see.BTW, this is NOT a movie about boylove or child prostitution, this is really about the painful relationships between fathers and sons. The need for men to mentor their sons, and the need of an adolecent boy for a strong male role model. Nathan's involvement in sexual abuse is only important in the development of his character as a lost boy. It adds to the drama that Boone's interest in him was entirely non-sexual. Unfortunately, inclusion of these issues might have doomed this astounding movie to oblivion. That is really sad.Struck by Brandon Nadon's performance, I immediately looked for more pictures by thim only to learn that Branden Nadon subsequent career was making some sleazy horror movies. So I guess he got typecast a little. Sad, he was a tremendous actor that deserved some better roles. See more of Nadon in a bit part in Living with the Dead, Taken and Masters of Horror. Hopefully we will see in some more challenging adult roles in the future.",5,Tender tale of a lost boy and a lonely man,1246060800,"06 27, 2009",2009,1929,"['was', 'awesome', 'movie', 'positive', 'uplifting', 'story', 'abandoned', 'adolescent', 'boy', 'looking', 'father', 'who', 'man', 'trying', 'forget', 'pain', 'relationship', 'own', 'father', 'Nathan', 'sexually', 'confused', 'boy', 'desperately', 'looking', 'security', 'father', 'figure', 'Boone', 'hardened', 'loner', 'whom', 'Nathan', 'learn', 'Boone', 'emotional', 'father', 'issues', 'own', 'Nathan', 'up', 'provide', 'way', 'work', 'out', 'other', 'words', 'Boone', 'can', 'resolve', 'own', 'sadness', 'father', 'lack', 'love', 'giving', 'Nathan', 'love', 'security', 'low', 'budget', 'made-for-tv', 'movie', 'unusual', 'story', 'line', '-and', 'heart', 'rendering', 'performance', 'Branden', 'Nadon', 'Nathan', '-make', 'must-see', 'movie', 'anyone', 'who', 'familiar', 'sort', 'emotional', 'wounds', 'too', 'often', 'occur', 'father', 'son', 'brought', 'tears', 'eyes', 'good', 'feeling', 'happy', 'ending', 'agree', 'must', 'see.BTW', 'NOT', 'movie', 'boylove', 'child', 'prostitution', 'really', 'painful', 'relationships', 'fathers', 'sons', 'need', 'men', 'mentor', 'sons', 'need', 'adolecent', 'boy', 'strong', 'male', 'role', 'model', 'Nathan', 'involvement', 'sexual', 'abuse', 'only', 'important', 'development', 'character', 'lost', 'boy', 'drama', 'Boone', 'interest', 'was', 'entirely', 'non-sexual', 'Unfortunately', 'inclusion', 'issues', 'might', 'have', 'doomed', 'astounding', 'movie', 'oblivion', 'really', 'sad.Struck', 'Brandon', 'Nadon', 'performance', 'immediately', 'looked', 'more', 'pictures', 'thim', 'only', 'learn', 'Branden', 'Nadon', 'subsequent', 'career', 'was', 'making', 'sleazy', 'horror', 'movies', 'So', 'guess', 'got', 'typecast', 'little', 'Sad', 'was', 'tremendous', 'actor', 'deserved', 'better', 'roles', 'See', 'more', 'Nadon', 'bit', 'part', 'Living', 'Dead', 'Taken', 'Masters', 'Horror', 'Hopefully', 'will', 'see', 'more', 'challenging', 'adult', 'roles', 'future']",Jet Boy
1185707,A3UDYY6L2NH3JS,B001EHDMW6,"Jacques COULARDEAU ""A soul doctor, so to say""","[2, 2]","The gay theme is only secondary in this film. A rather young boy, probably ten or eleven, the son of a drug addicted mother who dies one day on him with an overdose she gets from the heroin he has brought her and he had bought with the money he had made with an older man he had serviced intimately.He escapes social services and manages to find himself in the hands, some sort of two way blackmailing or dependence, of a man he decides is going to be his father. He manages to get in his car and the man starts taking him to Vancouver.On the way to there the man goes back to his hometown where he visits his invalid and unconscious father but that leads him to a girl friend from a long time ago and the boy he is transporting, Nathan, falls for the son of the woman. The man, Boon, falls again or anew for the woman, but he is on a big case, though we do not know exactly what, criminal probably.Nathan comes to a desperate proposal to keep Boon, a desperate intimate proposal that Boon refuses and that refusal sets Nathan on the run again.The action ends up in Vancouver for sure where Nathan is more or less in the room of an older man and needs to be reprieved from perdition while Boon is following and arriving and breaking a door, and at the same time he is getting tailed by an important criminal of some kind he is dealing with.The end is sentimental in a way but everything gets clear though most of the important scenes happen in the night with little light and kind of all blurred up in and by darkness.The question of the film is simple. Does a boy need a father? What kind of substitute activities can a boy without a father do to feel close to an older man? The answer is as simple as the question. Yes a boy needs a father or a father substitute and a boy without such a father model next to him will do all kinds of risky and dumb things to feel older than he is and to fill the emptiness he experiences in his heart somewhere between his brain and his diaphragm.Maybe it could be better not to show that film to children under the tender age of ten or something like that. And be ready to answer a few questions if your son is too young and direct enough to ask embarrassing queries.Dr Jacques COULARDEAU",4,To survive a boy and find a father figure...,1341446400,"07 5, 2012",2012,2225,"['gay', 'theme', 'only', 'secondary', 'film', 'rather', 'young', 'boy', 'probably', 'ten', 'eleven', 'son', 'drug', 'addicted', 'mother', 'who', 'one', 'day', 'overdose', 'heroin', 'brought', 'had', 'bought', 'money', 'had', 'made', 'older', 'man', 'had', 'serviced', 'intimately.He', 'escapes', 'social', 'services', 'manages', 'find', 'hands', 'sort', 'two', 'way', 'blackmailing', 'dependence', 'man', 'going', 'be', 'father', 'get', 'car', 'man', 'taking', 'Vancouver.On', 'way', 'there', 'man', 'back', 'hometown', 'where', 'invalid', 'unconscious', 'father', 'girl', 'friend', 'long', 'time', 'ago', 'boy', 'transporting', 'Nathan', 'son', 'woman', 'man', 'Boon', 'again', 'anew', 'woman', 'big', 'case', 'do', 'not', 'know', 'exactly', 'what', 'criminal', 'probably.Nathan', 'desperate', 'proposal', 'keep', 'Boon', 'desperate', 'intimate', 'proposal', 'Boon', 'refuses', 'refusal', 'Nathan', 'run', 'action', 'up', 'Vancouver', 'sure', 'where', 'Nathan', 'more', 'less', 'room', 'older', 'man', 'be', 'reprieved', 'perdition', 'Boon', 'following', 'arriving', 'breaking', 'door', 'same', 'time', 'getting', 'tailed', 'important', 'criminal', 'kind', 'dealing', 'with.The', 'end', 'sentimental', 'way', 'everything', 'clear', 'most', 'important', 'scenes', 'happen', 'night', 'little', 'light', 'kind', 'blurred', 'up', 'darkness.The', 'question', 'film', 'simple', 'boy', 'need', 'father', 'What', 'kind', 'substitute', 'activities', 'can', 'boy', 'father', 'do', 'feel', 'close', 'older', 'man', 'answer', 'as', 'simple', 'question', 'Yes', 'boy', 'father', 'father', 'substitute', 'boy', 'father', 'model', 'next', 'will', 'do', 'kinds', 'risky', 'dumb', 'things', 'feel', 'older', 'fill', 'emptiness', 'heart', 'somewhere', 'brain', 'diaphragm.Maybe', 'could', 'be', 'better', 'not', 'show', 'film', 'children', 'tender', 'age', 'ten', 'something', 'be', 'ready', 'answer', 'few', 'questions', 'son', 'too', 'young', 'direct', 'enough', 'ask', 'embarrassing', 'queries.Dr', 'Jacques', 'COULARDEAU']",Jet Boy
1185708,AXL346BBZGYM4,B001EHDMW6,James Peulecke,"[1, 1]",This was a tremendously well written and very tastefully done story of a very serious subject in our society today.  It had me in tearsseveral times.  It moved along and the plot was well interwoven in that you didn't really know what was happening until the end.  The actors did a great job and their characters were very well played.  I was very happy how the movie ended and it was a pleasant surprise.  I only wish other people could see it.,5,Very Serious Subject and Very Moving.,1375488000,"08 3, 2013",2013,445,"['was', 'tremendously', 'well', 'written', 'very', 'tastefully', 'done', 'story', 'very', 'serious', 'subject', 'society', 'today', 'had', 'tearsseveral', 'times', 'moved', 'along', 'plot', 'was', 'well', 'interwoven', 'did', ""n't"", 'really', 'know', 'what', 'was', 'happening', 'end', 'actors', 'did', 'great', 'job', 'characters', 'were', 'very', 'well', 'played', 'was', 'very', 'happy', 'how', 'movie', 'ended', 'was', 'pleasant', 'surprise', 'only', 'wish', 'other', 'people', 'could', 'see']",Jet Boy
1185709,AXD9E3LNQGJCZ,B001EHDMW6,Jim Shaw,"[1, 1]",This story is excellent and a gread read about a boy rising to the challenges he meets with a twist in the tail,5,Excellent,1373760000,"07 14, 2013",2013,111,"['story', 'excellent', 'gread', 'read', 'boy', 'rising', 'challenges', 'twist', 'tail']",Jet Boy
