,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1222439,ARGUL3V43ZUE,B001OD8E2I,"APL ""ALueb""","[0, 0]",if they dont ever release season 2 on dvd they have it covered on hulu. this series was way ahead of its time for an american cartoon.,5,still holds up,1392940800,"02 21, 2014",2014,134,"['dont', 'ever', 'release', 'season', '2', 'dvd', 'have', 'covered', 'hulu', 'series', 'was', 'way', 'ahead', 'time', 'american', 'cartoon']",Exosquad: Season 1
1222440,A2ZSHXYMYQTHHB,B001OD8E2I,"Bryan Way ""Bryan Way""","[0, 0]","I loved this show as a kid, even if it was mostly made to peddle toys. I always respected the complexity of the show's plots and its parallels to slavery and fascism, but especially the fact that, even during expositional episodes, they still found time for cool fighting scenes.",5,Outstanding!,1306195200,"05 24, 2011",2011,279,"['loved', 'show', 'kid', 'even', 'was', 'mostly', 'made', 'peddle', 'toys', 'always', 'respected', 'complexity', 'show', 'plots', 'parallels', 'slavery', 'fascism', 'especially', 'fact', 'even', 'expositional', 'episodes', 'still', 'found', 'time', 'cool', 'fighting', 'scenes']",Exosquad: Season 1
1222441,A1R69KU700LIY4,B001OD8E2I,CynDee,"[0, 0]","Wow I remember watching this series after school. So this is how it started though, I came in in the middle and we moved around alot. I wasnt able to keep up with it usually what with different channels in different areas so sadly I misssed alot of it. I wonder if they will ever release the rest of the seasons because I never got to see the ending, or well most of the series to be honest, either. It was one of the rare shows that actually had a pretty serious story and wasnt just some flashing images that had no point except to, I dont know, draw the eye across the screen for no discernable reason except to say ""HEY! Look at me, Im Flashing! Arent I pretty!?"". Ah well good times.Take care everyone, Cyn",5,Exosquad: Season 1,1319932800,"10 30, 2011",2011,711,"['Wow', 'remember', 'watching', 'series', 'school', 'how', 'started', 'came', 'middle', 'moved', 'around', 'alot', 'wasnt', 'able', 'keep', 'up', 'usually', 'what', 'different', 'channels', 'different', 'areas', 'so', 'sadly', 'misssed', 'alot', 'wonder', 'will', 'ever', 'release', 'rest', 'seasons', 'never', 'got', 'see', 'ending', 'well', 'most', 'series', 'be', 'honest', 'either', 'was', 'one', 'rare', 'actually', 'had', 'pretty', 'serious', 'story', 'wasnt', 'just', 'flashing', 'images', 'had', 'point', 'dont', 'know', 'draw', 'eye', 'screen', 'discernable', 'reason', 'say', 'HEY', 'Look', 'Im', 'Flashing', 'Arent', 'pretty', 'Ah', 'well', 'good', 'times.Take', 'care', 'everyone', 'Cyn']",Exosquad: Season 1
1222442,A1DSK435LWK9FK,B001OD8E2I,DVD ruined my life,"[5, 6]","Along with Batman: The Animated Series - Exo-Squad was one of the greatest American animated shows ever produced!With elements of Battlestar Galactica, Star Trek, Star Wars and lots of sci-fi lit this show was light years ahead of 80's toons like G.I. Joe or The Transformers.  This wasn't the same characters in new situations - but an epic storyline.  Each of the 52 episodes fit into each other like pieces of a puzzle - making it perfect for the DVD format!Sadly the show wasn't marketed right and given rough time slots. The third season was setup with a shocking season 2 finish but it never happened - hopefully this show will have a new life on DVD, develop a new following, and maybe a new series...it worked for Family Guy.If you like good really good animation and sci-fi/action.  This show is perfect for you.  Much as I loved Star Trek Next Gen, Firefly, and X-Files - EXO-SQUAD was the most original and entertaining sci-fi show of the last twenty years.",5,AT LAST!!!,1230768000,"01 1, 2009",2009,968,"['Batman', 'Animated', 'Series', 'Exo-Squad', 'was', 'one', 'greatest', 'American', 'animated', 'shows', 'ever', 'produced', 'elements', 'Battlestar', 'Galactica', 'Star', 'Trek', 'Star', 'Wars', 'lots', 'sci-fi', 'lit', 'show', 'was', 'light', 'years', 'ahead', '80', 'toons', 'G.I', 'Joe', 'Transformers', 'was', ""n't"", 'same', 'characters', 'new', 'situations', 'epic', 'storyline', '52', 'episodes', 'fit', 'other', 'pieces', 'puzzle', 'making', 'perfect', 'DVD', 'format', 'Sadly', 'show', 'was', ""n't"", 'marketed', 'right', 'given', 'rough', 'time', 'slots', 'third', 'season', 'was', 'setup', 'shocking', 'season', '2', 'finish', 'never', 'happened', 'hopefully', 'show', 'will', 'have', 'new', 'life', 'DVD', 'develop', 'new', 'following', 'maybe', 'new', 'series', 'worked', 'Family', 'Guy.If', 'like', 'good', 'really', 'good', 'animation', 'sci-fi/action', 'show', 'perfect', 'Much', 'loved', 'Star', 'Trek', 'Next', 'Gen', 'Firefly', 'X-Files', 'EXO-SQUAD', 'was', 'most', 'original', 'entertaining', 'sci-fi', 'show', 'last', 'twenty', 'years']",Exosquad: Season 1
1222443,A1RI6AOTZ8WK8U,B001OD8E2I,Gary Seevers,"[0, 0]","This program stood head and shoulders over its peers in the market of early 90's western animation. It tackled topics leagues deeper than any other program of its era and in a manner that was extremely well executed. From deep characters to gorgeously arching plots the narrative was utterly compelling and a joy to watch with superb artwork and exceptional voice work. Can not recommend it enough, I hope that the second season is released soon!",5,At long last on DVD,1351900800,"11 3, 2012",2012,446,"['program', 'stood', 'head', 'shoulders', 'peers', 'market', 'early', '90', 'western', 'animation', 'tackled', 'topics', 'leagues', 'deeper', 'other', 'program', 'era', 'manner', 'was', 'extremely', 'well', 'executed', 'deep', 'characters', 'gorgeously', 'arching', 'plots', 'narrative', 'was', 'utterly', 'compelling', 'joy', 'watch', 'superb', 'artwork', 'exceptional', 'voice', 'work', 'Can', 'not', 'recommend', 'enough', 'hope', 'second', 'season', 'released', 'soon']",Exosquad: Season 1
1222444,A24X0P3SDUOVRN,B001OD8E2I,"Gwadovski ""Kaigeus""","[1, 1]","This show is so much better than GI Joe or any of the mecha shows around the same time... and the toys were possibly the coolest that existed in the 90's.  Now, I'm just waiting for seasons 2 and 3 to come out on DVD... and also how about Pete and Pete Season 3 and the Wonder Years tv series?",5,Excellent,1268265600,"03 11, 2010",2010,293,"['show', 'so', 'much', 'better', 'GI', 'Joe', 'mecha', 'same', 'time', 'toys', 'were', 'possibly', 'coolest', 'existed', '90', 'Now', ""'m"", 'just', 'waiting', 'seasons', '2', '3', 'come', 'out', 'DVD', 'also', 'how', 'Pete', 'Pete', 'Season', '3', 'Wonder', 'Years', 'tv', 'series']",Exosquad: Season 1
1222445,A2LPECS8NDBEQT,B001OD8E2I,manny252,"[0, 0]",loved this series when it first came out and would love for the second season to come out on dvd,4,Exo Squad was a great series which was canceled too soon,1384992000,"11 21, 2013",2013,96,"['loved', 'series', 'when', 'first', 'came', 'out', 'would', 'love', 'second', 'season', 'come', 'out', 'dvd']",Exosquad: Season 1
1222446,A15T3HFIXXAII,B001OD8E2I,"Michael A. Tomkiewicz ""Lynxan""","[6, 6]","Now here's an hard to watch show back when it first came out, and it was out before the USA run, (I first saw it in syndication)This is one has a running storyline that works quite well and is hardly childish, if you liked the much later Roughnecks: Starship Troopers Chronicles this has just as tight in the writing and something that that one never could make it to... an ending.",5,"Thank god, I hope they can get though all these...",1230595200,"12 30, 2008",2008,381,"['Now', 'here', 'hard', 'watch', 'show', 'back', 'when', 'first', 'came', 'out', 'was', 'out', 'USA', 'run', 'first', 'saw', 'syndication', 'one', 'running', 'storyline', 'quite', 'well', 'hardly', 'childish', 'liked', 'much', 'later', 'Roughnecks', 'Starship', 'Troopers', 'Chronicles', 'just', 'as', 'tight', 'writing', 'something', 'one', 'never', 'could', 'make', 'ending']",Exosquad: Season 1
1222447,AJKWF4W7QD4NS,B001OD8E2I,"N. Durham ""Big Evil""","[4, 4]","Originally debuting in 1993, Exo-Squad has finally seen the light of day on DVD.  A mix of G.I. Joe with science fiction and anime-flavorings, Exo-Squad focused on a group of futuristic soldiers led by J.T. Marsh, whose weapons of choice happen to be battle-heavy exo-suits.  As said before in previous reviews, the series as a whole didn't really feature stand-alone episodes, but worked as an overarching season arc instead, in which our heroes battle the powerful and genetically engineered Neo-Sapiens.  This collection features all 13 first season episodes, and while watching Exo-Squad now finds the series hasn't aged all that well (particularly the animation), the series is still notable for some striking mature themes and an ever-compelling storyarc and characters you actually end up caring about.  All in all, it's great to finally have Exo-Squad on DVD, and here's hoping that it doesn't take Universal forever to release the series' future installments.",4,Underrated cartoon series finally comes to DVD,1241395200,"05 4, 2009",2009,968,"['Originally', 'debuting', '1993', 'Exo-Squad', 'finally', 'seen', 'light', 'day', 'DVD', 'A', 'mix', 'G.I', 'Joe', 'science', 'fiction', 'anime-flavorings', 'Exo-Squad', 'focused', 'group', 'futuristic', 'soldiers', 'led', 'J.T', 'Marsh', 'weapons', 'choice', 'happen', 'be', 'battle-heavy', 'exo-suits', 'said', 'previous', 'reviews', 'series', 'whole', 'did', ""n't"", 'really', 'feature', 'stand-alone', 'episodes', 'worked', 'overarching', 'season', 'arc', 'instead', 'heroes', 'battle', 'powerful', 'genetically', 'engineered', 'Neo-Sapiens', 'collection', '13', 'first', 'season', 'episodes', 'watching', 'Exo-Squad', 'now', 'series', ""n't"", 'aged', 'well', 'particularly', 'animation', 'series', 'still', 'notable', 'striking', 'mature', 'themes', 'ever-compelling', 'storyarc', 'characters', 'actually', 'end', 'up', 'caring', 'great', 'finally', 'have', 'Exo-Squad', 'DVD', 'here', 'hoping', ""n't"", 'take', 'Universal', 'forever', 'release', 'series', 'future', 'installments']",Exosquad: Season 1
1222448,A1N677ODJLMOV4,B001OD8E2I,Noel Duran,"[0, 0]",SO i am stuck with ONLY Season 1. Thats what happenns when you wait for all releases. They dont finish releasing Vol after Vol if the previous didnt sell well.,5,I was late to get this,1368748800,"05 17, 2013",2013,159,"['SO', 'i', 'am', 'stuck', 'ONLY', 'Season', '1', 'Thats', 'what', 'happenns', 'when', 'wait', 'releases', 'dont', 'finish', 'releasing', 'Vol', 'Vol', 'previous', 'didnt', 'sell', 'well']",Exosquad: Season 1
