,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1223763,A1GD1G8XXPRYQ8,B001OQCV56,"1337 ""It'll either be night to treasure or a ...","[1, 7]","I liked New Moon more than the first Twilight movie. I am not a fan of the movies, nor I want to read any of the books. It all seems so fluffy and lovely and childish, mostly done for a girls to fall in love with something that is extraordinary. It's not suppose to be all like that. Where's craziness in wolves, where's viciousness? You truly think, one drop of the blood will make it any better? Creatures are not deadly and so on. The list can go on and on. Here you find romance and all creatures seem to like the ugly girl,Bella. Really, I don't find her to be pretty even on a little bit. How come all characters have to be haunting her, loving her,et.c? C'mon it's what every girl would want to happen to her and that is what we see happening. I'm not going to waste my time on that. All I'm saying is I liked the both movies because of the wolf part and I am not willing not to watch it. Because I need to know if the movie will suddenly get any better or worse. Is it rated Teen or 7+? Oh give me a break. It's all so childish. I remember watching goosebumps as a kid. Hell that was better. But anyway I gave it 4 stars for I wanted to see it because of wolves. And at that time I kinda liked it. Enough to view it one time or twice.",4,"Even that it's for girls, I still review it",1294185600,"01 5, 2011",2011,1242,"['liked', 'New', 'Moon', 'more', 'first', 'Twilight', 'movie', 'am', 'not', 'fan', 'movies', 'want', 'read', 'books', 'so', 'fluffy', 'lovely', 'childish', 'mostly', 'done', 'girls', 'fall', 'love', 'something', 'extraordinary', 'not', 'suppose', 'be', 'Where', 'craziness', 'wolves', 'where', 'viciousness', 'truly', 'think', 'one', 'drop', 'blood', 'will', 'make', 'better', 'Creatures', 'are', 'not', 'deadly', 'so', 'list', 'can', 'go', 'Here', 'find', 'romance', 'creatures', 'seem', 'like', 'ugly', 'girl', 'Bella', 'Really', 'do', ""n't"", 'find', 'be', 'pretty', 'even', 'little', 'bit', 'How', 'come', 'characters', 'have', 'be', 'haunting', 'loving', 'et.c', ""C'mon"", 'what', 'girl', 'would', 'want', 'happen', 'what', 'see', 'happening', ""'m"", 'not', 'going', 'waste', 'time', ""'m"", 'saying', 'liked', 'movies', 'wolf', 'part', 'am', 'not', 'willing', 'not', 'watch', 'need', 'know', 'movie', 'will', 'suddenly', 'get', 'better', 'worse', 'rated', 'Teen', '7+', 'Oh', 'give', 'break', 'so', 'childish', 'remember', 'watching', 'goosebumps', 'kid', 'Hell', 'was', 'better', 'anyway', 'gave', '4', 'stars', 'wanted', 'see', 'wolves', 'time', 'kinda', 'liked', 'Enough', 'view', 'one', 'time', 'twice']",N/A
1223764,A2GGB5O6W6D8QN,B001OQCV56,20 Words or less,"[0, 0]",I enjoyed watching all of the twilight movies very good movie and story to it.My wife loved all of them even more.,4,very good,1388102400,"12 27, 2013",2013,114,"['enjoyed', 'watching', 'twilight', 'movies', 'very', 'good', 'movie', 'story', 'it.My', 'wife', 'loved', 'even', 'more']",N/A
1223765,AGLKENC7EJDYW,B001OQCV56,"4u2 ""FAB""","[0, 0]","This was an excellent movie with some hot actors in it and fantastic special effects.  I never saw the first one, but after watching this one, I intend on buying #1.",5,Excellent movie,1273708800,"05 13, 2010",2010,165,"['was', 'excellent', 'movie', 'hot', 'actors', 'fantastic', 'special', 'effects', 'never', 'saw', 'first', 'one', 'watching', 'one', 'intend', 'buying', '1']",N/A
1223766,A21ZOGMPS0Y1OU,B001OQCV56,Abbey and Emma's mommy,"[3, 10]","Twilight was much better.  It seemed the chemistry between Bella and Edward was not there.  Probably because of the real life fiasco they have going on.  The movie was slow but Jacob was the highlight of the movie.  He well deserved the part after making his body look like that.  Edward on the other hand needs to lay of the drugs, as his body makes him look like an emaciated drug addict.",2,What a disappointment...,1259020800,"11 24, 2009",2009,390,"['Twilight', 'was', 'much', 'better', 'seemed', 'chemistry', 'Bella', 'Edward', 'was', 'not', 'there', 'Probably', 'real', 'life', 'fiasco', 'have', 'going', 'movie', 'was', 'slow', 'Jacob', 'was', 'highlight', 'movie', 'well', 'deserved', 'part', 'making', 'body', 'look', 'Edward', 'other', 'hand', 'needs', 'lay', 'drugs', 'body', 'look', 'emaciated', 'drug', 'addict']",N/A
1223767,A1DQHS7MOVYYYA,B001OQCV56,A. Boston,"[0, 0]","I read all the books a couple years ago, and was thrilled when I found out they were being made into movies. For my age(29), its a total guilty pleasure, but I have no shame in going to see the movies at the first opportunity.My boyfriend was excited to tell me he got advanced screening tickets, but I was a little terrified of the 12 year old kids willing to run over adults for the perfect seat. Despite some major theatre hurdles(broken projector in the 1st theatre, OMG, here's the stampede of kids to the next theatre down the hall like Robert Pattinson himself is waiting for them), and seeing it with kids screaming like they're at a rock concert when Jacob takes his shirt off -- it was definitely a fun, entertaining movie.They fit a lot of the book in, with very minor changes, if any. The scenery is amazing, both the forests and the part that takes place in Italy. You can tell more $$ was sunk into this then the first one which had a tiny budget. But here's a shocker, my boyfriend later said if given the choice(of torture really, though he won't admit it to me for fear of hurting my feelings), he'd choose to rewatch the 1st movie over this one. It really depends on what part of the story interests you more. There's only a couple minutes of the Cullens as a family, and a lot more wolves. This one had a couple cheesy scenes, but no more so then the first. More action for the guys, also more skin for the girls. The CGI wolves I thought were awesome, but some people leaving the theatre disagreed apparently(they're too cool to admit to liking the movie.) I honestly still think it's best suited for fans, and those who have read the book. Boyfriends & husbands go, but this still isn't going to be one of their favorites. Enjoy it for what it is, pure entertainment, not Oscar contender.",4,"Fun, well done movie",1258675200,"11 20, 2009",2009,1809,"['read', 'books', 'couple', 'years', 'ago', 'was', 'thrilled', 'when', 'found', 'were', 'being', 'made', 'movies', 'age', '29', 'total', 'guilty', 'pleasure', 'have', 'shame', 'going', 'see', 'movies', 'first', 'opportunity.My', 'boyfriend', 'was', 'excited', 'tell', 'got', 'advanced', 'screening', 'tickets', 'was', 'little', 'terrified', '12', 'year', 'old', 'kids', 'willing', 'run', 'over', 'adults', 'perfect', 'seat', 'major', 'theatre', 'hurdles', 'broken', 'projector', '1st', 'theatre', 'OMG', 'here', 'stampede', 'kids', 'next', 'theatre', 'down', 'hall', 'Robert', 'Pattinson', 'waiting', 'seeing', 'kids', 'screaming', ""'re"", 'rock', 'concert', 'when', 'Jacob', 'shirt', 'off', 'was', 'definitely', 'fun', 'entertaining', 'movie.They', 'fit', 'lot', 'book', 'very', 'minor', 'changes', 'scenery', 'amazing', 'forests', 'part', 'place', 'Italy', 'can', 'tell', 'more', 'was', 'sunk', 'then', 'first', 'one', 'had', 'tiny', 'budget', 'here', 'shocker', 'boyfriend', 'later', 'said', 'given', 'choice', 'torture', 'really', 'wo', ""n't"", 'admit', 'fear', 'hurting', 'feelings', ""'d"", 'choose', 'rewatch', '1st', 'movie', 'one', 'really', 'what', 'part', 'story', 'interests', 'more', 'only', 'couple', 'minutes', 'Cullens', 'family', 'lot', 'more', 'wolves', 'one', 'had', 'couple', 'cheesy', 'scenes', 'more', 'so', 'then', 'first', 'More', 'action', 'guys', 'also', 'more', 'skin', 'girls', 'CGI', 'thought', 'were', 'awesome', 'people', 'leaving', 'theatre', 'disagreed', 'apparently', ""'re"", 'too', 'cool', 'admit', 'liking', 'movie', 'honestly', 'still', 'think', 'best', 'suited', 'fans', 'who', 'have', 'read', 'book', 'Boyfriends', 'husbands', 'go', 'still', ""n't"", 'going', 'be', 'one', 'favorites', 'Enjoy', 'what', 'pure', 'entertainment', 'not', 'Oscar', 'contender']",N/A
1223768,A3DGB4HN3QCGAL,B001OQCV56,A. Burchfield,"[0, 0]","New director, Chris Weitz instead of Catherine Hardwicke, and a very different look (lot's of color,not just a blue tone), my biggest complaint about the variance between the book and the movie is that the Volturi meeting room looked nothing like Stephenie Meyer described in her book. Didn't really care for the differences between the two versions of Bella's meeting Aro and the rest either. I know &#34;Volterra&#34; had to look different because a real Italian town was used, but the interior set stuff, why change that? You hear about &#34;improved wolves in the later movies, I think they might be at their best here.Pretty good movie, if you like extras go for whatever edition seems to suit you best.",4,Not much like the book but still good,1357948800,"01 12, 2013",2013,708,"['New', 'director', 'Chris', 'Weitz', 'instead', 'Catherine', 'Hardwicke', 'very', 'different', 'look', 'lot', 'color', 'not', 'just', 'blue', 'tone', 'biggest', 'complaint', 'variance', 'book', 'movie', 'Volturi', 'meeting', 'room', 'looked', 'nothing', 'Stephenie', 'Meyer', 'described', 'book', 'Did', ""n't"", 'really', 'care', 'differences', 'two', 'versions', 'Bella', 'meeting', 'Aro', 'rest', 'either', 'know', '34', 'Volterra', '34', 'had', 'look', 'different', 'real', 'Italian', 'town', 'was', 'used', 'interior', 'set', 'stuff', 'why', 'change', 'hear', '34', 'improved', 'wolves', 'later', 'movies', 'think', 'might', 'be', 'best', 'here.Pretty', 'good', 'movie', 'like', 'extras', 'go', 'edition', 'suit', 'best']",N/A
1223769,A2AW2NUH6F9YRD,B001OQCV56,acergurl,"[0, 0]","I received the item very quickly & it was free shipping with $25 order.  I ordered this with the other twilight movies so I could watch them before I went to see the new movie ""Breaking Dawn"" that came out in Nov.  I didn't like this part of the movie but you should watch all of them before you see the latest.  Never was into the Twilight stuff but I can say it actually kind of sunk it's teeth in me.  I am hooked!  I absolutely love the series so far.  Cannot wait for Breaking Dawn pt. 2.",5,The Twilight Saga: New Moon Two-Disc DVD Gift Set with Charm Necklace and Bonus Features,1326758400,"01 17, 2012",2012,493,"['received', 'item', 'very', 'quickly', 'was', 'free', 'shipping', '25', 'order', 'ordered', 'other', 'twilight', 'movies', 'could', 'watch', 'went', 'see', 'new', 'movie', 'Breaking', 'Dawn', 'came', 'out', 'Nov', 'did', ""n't"", 'like', 'part', 'movie', 'should', 'watch', 'see', 'latest', 'Never', 'was', 'Twilight', 'stuff', 'can', 'say', 'actually', 'kind', 'sunk', 'teeth', 'am', 'hooked', 'absolutely', 'love', 'series', 'so', 'far', 'Can', 'not', 'wait', 'Breaking', 'Dawn', 'pt', '2']",N/A
1223770,A426KWGG1MI7X,B001OQCV56,adam g,"[6, 9]","My brothers wife got me to watch another Twilight movie. I will not be watching 3 and 4. NO WAY A GUY COULD LIKE THIS MOVIE. Its so obvious its a girl movie when it first shows Edward hes walking in slow motion. Are you F***ing kidding me slow mo to introduce a character. Acting still is terrible. Mostly just talking, not much happening. Jacob turned into a werewolf, thats about the only developed plot there was. Oh and that Black vampire got killed by wolves. Bella's screams of agony when shes depressed are unintentionally hilarious. Like alot of the movie its really funny but for the wrong reasons. I can only imagine her acting when she has sex with Edward in the 4th movie. I could of not watched the last 30 min and not cared about how it ended. My sister in law says she loves the books so its almost like she forces herself to endure and like the movies too.",1,Can i have 2 hours of my life back?,1269475200,"03 25, 2010",2010,872,"['brothers', 'wife', 'got', 'watch', 'Twilight', 'movie', 'will', 'not', 'be', 'watching', '3', '4', 'WAY', 'A', 'GUY', 'COULD', 'LIKE', 'THIS', 'MOVIE', 'so', 'obvious', 'girl', 'movie', 'when', 'first', 'Edward', 'hes', 'walking', 'slow', 'motion', 'Are', 'F***ing', 'kidding', 'slow', 'mo', 'introduce', 'character', 'Acting', 'still', 'terrible', 'Mostly', 'just', 'talking', 'not', 'much', 'happening', 'Jacob', 'turned', 'werewolf', 'thats', 'only', 'developed', 'plot', 'there', 'was', 'Oh', 'Black', 'vampire', 'got', 'killed', 'wolves', 'Bella', 'screams', 'agony', 'when', 'shes', 'depressed', 'are', 'unintentionally', 'hilarious', 'alot', 'movie', 'really', 'funny', 'wrong', 'reasons', 'can', 'only', 'imagine', 'acting', 'when', 'sex', 'Edward', '4th', 'movie', 'could', 'not', 'watched', 'last', '30', 'min', 'not', 'cared', 'how', 'ended', 'sister', 'law', 'books', 'almost', 'endure', 'movies', 'too']",N/A
1223771,A387I5X7QRBNN9,B001OQCV56,ADB,"[0, 0]",The shipping was great and quick and the product was just as described! I will be buying another as soon as the money arrives in my account (meaning I'm a bit broke at the moment).,5,LOVED,1357516800,"01 7, 2013",2013,180,"['shipping', 'was', 'great', 'quick', 'product', 'was', 'just', 'described', 'will', 'be', 'buying', 'as', 'soon', 'money', 'account', 'meaning', ""'m"", 'bit', 'broke', 'moment']",N/A
1223772,A2Q4VZJEW90SSR,B001OQCV56,Admiralissimo Voodoo,"[10, 13]","Being a lover of all things vampire, I really WANT to like The Twilight Saga. Before seeing ""New Moon,"" I saw it as a chance for redemption, since the first film in this series was tolerable, yet slow and a bit shallow. But after seeing this film, I'm convinced that I should give up and move onto something new. This entire film could've been replaced by 130 minutes of Taylor Lautner running around with his shirt off, and I would've felt like I actually got my money's worth. At least the plot would be more interesting that way.",1,I give up.,1280016000,"07 25, 2010",2010,532,"['Being', 'lover', 'things', 'vampire', 'really', 'WANT', 'like', 'Twilight', 'Saga', 'seeing', 'New', 'Moon', 'saw', 'chance', 'redemption', 'first', 'film', 'series', 'was', 'tolerable', 'yet', 'slow', 'bit', 'shallow', 'seeing', 'film', ""'m"", 'convinced', 'should', 'give', 'up', 'move', 'something', 'new', 'entire', 'film', 'could', ""'ve"", 'been', 'replaced', '130', 'minutes', 'Taylor', 'Lautner', 'running', 'around', 'shirt', 'would', ""'ve"", 'felt', 'actually', 'got', 'money', 'worth', 'least', 'plot', 'would', 'be', 'more', 'interesting', 'way']",N/A
