,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1275104,A33EN2ZL2MS0CI,B002KLQ2YK,Compay,"[1, 1]","The Echo is a remake of the 2004 Filipino horror flick ""Sigaw"", also shot by director Yam Laranas.  While it's a visually impressive movie, I was a bit let down at its lack of originality.What's enjoyable about this film is that it's an atmospheric thriller.  Laranas has a quality cast to work with, and offers good visuals.The film also shines an interesting spotlight at what's known as the ""Bystander Effect.""  The Echo takes a page from real life examples of this effect, which had really occurred with New Yorkers such as Kitty Genovese.The problem is that aside from that psychological effect, the film's concept just isn't original.  Countless other horror flicks have used the ""right a wrong to end the curse"" theme.  The Ring, The Grudge, Flatliners, Sometimes They Come Back.The whole point of showing what happens when people don't help others is wasted thanks to the randomness of the victims (a witnessing neighbor is spared, yet a random visitor isn't).  The film also drags on, making the audience wait a little too long for the payoff.So while it was shot well, this would have been a much more enjoyable movie had it incorporated a more unique concept.  I'd suggest renting it before you consider buying the DVD.",3,Shot Well - But Borrows From Too Many Movies,1289606400,"11 13, 2010",2010,1230,"['Echo', 'remake', '2004', 'Filipino', 'horror', 'flick', 'Sigaw', 'also', 'shot', 'director', 'Yam', 'Laranas', 'visually', 'impressive', 'movie', 'was', 'bit', 'let', 'down', 'lack', 'originality.What', 'enjoyable', 'film', 'atmospheric', 'thriller', 'Laranas', 'quality', 'cast', 'work', 'good', 'visuals.The', 'film', 'also', 'interesting', 'spotlight', 'what', 'known', 'Bystander', 'Effect', 'Echo', 'page', 'real', 'life', 'examples', 'effect', 'had', 'really', 'occurred', 'New', 'Yorkers', 'such', 'Kitty', 'Genovese.The', 'problem', 'aside', 'psychological', 'effect', 'film', 'concept', 'just', ""n't"", 'original', 'Countless', 'other', 'horror', 'flicks', 'have', 'used', 'right', 'wrong', 'end', 'curse', 'theme', 'Ring', 'Grudge', 'Flatliners', 'Sometimes', 'Come', 'Back.The', 'whole', 'point', 'showing', 'what', 'when', 'people', 'do', ""n't"", 'help', 'others', 'wasted', 'thanks', 'randomness', 'victims', 'witnessing', 'neighbor', 'spared', 'yet', 'random', 'visitor', ""n't"", 'film', 'also', 'making', 'audience', 'wait', 'little', 'too', 'long', 'payoff.So', 'was', 'shot', 'well', 'would', 'have', 'been', 'much', 'more', 'enjoyable', 'movie', 'had', 'incorporated', 'more', 'unique', 'concept', ""'d"", 'suggest', 'renting', 'consider', 'buying', 'DVD']",N/A
1275105,A3IGEXC062RD5V,B002KLQ2YK,debra stinson,"[0, 0]",I love horror moive this was a good one nice thanks i enjoy itvery much not so scarey but good moive,5,good,1402790400,"06 15, 2014",2014,100,"['love', 'horror', 'moive', 'was', 'good', 'one', 'nice', 'thanks', 'i', 'enjoy', 'itvery', 'much', 'not', 'so', 'scarey', 'good', 'moive']",N/A
1275106,A2IY9M330NKBW6,B002KLQ2YK,Eric Sanberg,"[3, 4]","Though not a great movie this is a solid, honest effort for those looking for something with a bit more resonance in a horror movie.Jesse Bradford (who could easily pass for Colin Ferrell's brother) plays Bobby. Recently out of prison, he's trying to put his life back together. He moves into his recently deceased mother's apartment and weird stuff starts happening. He's seeing and hearing things that, as it turns out, are not really happening. But his girlfriend and others in the building are experiencing the same hallucinations involving a resident cop who may have beaten his wife to death. So what's the scoop?That's where the movie falters. It does a decent enough job of building things and planting clues, but in any movie of this sort everything usually builds to a punchline. Here the punchline never comes. The movie just sort of stops and things aren't resolved.This has a lot going for it. The performances are good. The set direction is great. The building where most events take place is an old New York City building long in need of repair. Everything has a run down, decrepit feeling to it which adds to the overall sense of despair. The shuddering, Japanese style, ghostly apparitions have been overplayed in too many horror movies as of late. Thank God they keep it to a minimum here. But, overall, this has a good look and feel to it. The music score is good and, overall, it's a very professional effort. Had the producers figured a way to provide a more satisfying ending, this would be worth another star.",3,Solid Effort,1292457600,"12 16, 2010",2010,1532,"['not', 'great', 'movie', 'solid', 'honest', 'effort', 'looking', 'something', 'bit', 'more', 'resonance', 'horror', 'movie.Jesse', 'Bradford', 'who', 'could', 'easily', 'pass', 'Colin', 'Ferrell', 'brother', 'Bobby', 'Recently', 'prison', 'trying', 'put', 'life', 'back', 'together', 'recently', 'deceased', 'mother', 'apartment', 'weird', 'stuff', 'happening', 'seeing', 'hearing', 'things', 'that', 'out', 'are', 'not', 'really', 'happening', 'girlfriend', 'others', 'building', 'are', 'experiencing', 'same', 'hallucinations', 'involving', 'resident', 'cop', 'who', 'may', 'have', 'beaten', 'wife', 'death', 'what', 'scoop', 'where', 'movie', 'falters', 'decent', 'enough', 'job', 'building', 'things', 'planting', 'clues', 'movie', 'sort', 'everything', 'usually', 'punchline', 'Here', 'punchline', 'never', 'movie', 'just', 'sort', 'stops', 'things', 'are', ""n't"", 'resolved.This', 'lot', 'going', 'performances', 'are', 'good', 'set', 'direction', 'great', 'building', 'where', 'most', 'events', 'take', 'place', 'old', 'New', 'York', 'City', 'building', 'long', 'need', 'repair', 'Everything', 'run', 'down', 'decrepit', 'feeling', 'overall', 'sense', 'despair', 'shuddering', 'Japanese', 'style', 'ghostly', 'apparitions', 'have', 'been', 'overplayed', 'too', 'many', 'horror', 'movies', 'late', 'Thank', 'God', 'keep', 'minimum', 'here', 'overall', 'good', 'look', 'feel', 'music', 'score', 'good', 'overall', 'very', 'professional', 'effort', 'Had', 'producers', 'figured', 'way', 'provide', 'more', 'satisfying', 'ending', 'would', 'be', 'worth', 'star']",N/A
1275107,A23UGT76JP6PVX,B002KLQ2YK,Gotham Night,"[8, 10]","...but I won't.  I felt cheated by the ending of this movie.  The beginning was unique and atmospheric, mysterious and intriguing.  But toward the end it turned into just another horror movie explanation ending, and the horror itself was more pathetic and a social commentary rather than scary.  I don't think the secret of the building was worthy of the psychosis that it inspired in the residents of the building.  I think the premise for the movie seemed better in the screen writer's mind than it looked on film.  I would have rather not had any explanation at the end and I think I would have enjoyed this movie more.  For me it was a letdown, but it was still worth the viewing.",3,Would love to give this five stars...,1272931200,"05 4, 2010",2010,684,"['wo', ""n't"", 'felt', 'cheated', 'ending', 'movie', 'beginning', 'was', 'unique', 'atmospheric', 'mysterious', 'intriguing', 'end', 'turned', 'just', 'horror', 'movie', 'explanation', 'ending', 'horror', 'was', 'more', 'pathetic', 'social', 'commentary', 'rather', 'scary', 'do', ""n't"", 'think', 'secret', 'building', 'was', 'worthy', 'psychosis', 'inspired', 'residents', 'building', 'think', 'premise', 'movie', 'seemed', 'better', 'screen', 'writer', 'mind', 'looked', 'film', 'would', 'have', 'rather', 'not', 'had', 'explanation', 'end', 'think', 'would', 'have', 'enjoyed', 'movie', 'more', 'was', 'letdown', 'was', 'still', 'viewing']",N/A
1275108,A1LQLQUJJZUBTC,B002KLQ2YK,Jeff  Farrow,"[2, 3]","THE ECHO has some great elements going for it--strong characterizations & actors you can easily identify with. No teens trapped in a mental home or the woods being chased by silly looking, hillbilly cannibals or an apparently immortal, deranged serial killer. THE ECHO mostly takes place in a poor tenement environment that is both bleak & believable (although why the lead actor doesn't bolt at the first sign of horror is anyone's quess, but then we wouldn't have a movie, would we?)On the DVD jacket we learn that ECHO has the same executive producers who backed THE GRUDGE, and you can see elements in this film--good, scary images.Again, the actors are excellent, playing REAL people. For example, the lead character is Bobby, a shortish, butch--yet sensitive. In one scene his boss in the auto repair shop accuses him of pilfering $300 & fires him. He doesn't want to fire Bobby, but his hands are tied in the matter considering how hard he worked to get the place of opening his own shop. Later when he goes to (I think) rehire Bobby, he can't find him--but does run into some very malicious little ghosts with attitude. You find yourself rooting for him because he's a nice guy, but unfortunately...My only problem with the film (and I felt this was true of THE GRUDGE as well) was a sense that the script was not as fully developed as it could be, but then the characterizations & actors are good enough & the terror well done enough to pretty much overcome this.I recommend THE ECHO for renting & for collection purchase.",4,Very Engaging Horror,1282262400,"08 20, 2010",2010,1531,"['ECHO', 'great', 'elements', 'going', 'strong', 'characterizations', 'actors', 'can', 'easily', 'identify', 'teens', 'trapped', 'mental', 'home', 'woods', 'being', 'chased', 'silly', 'looking', 'hillbilly', 'cannibals', 'apparently', 'immortal', 'deranged', 'serial', 'killer', 'ECHO', 'mostly', 'place', 'poor', 'tenement', 'environment', 'bleak', 'believable', 'why', 'lead', 'actor', ""n't"", 'bolt', 'first', 'sign', 'horror', 'anyone', 'quess', 'then', 'would', ""n't"", 'have', 'movie', 'would', 'DVD', 'jacket', 'learn', 'ECHO', 'same', 'executive', 'producers', 'who', 'backed', 'THE', 'GRUDGE', 'can', 'see', 'elements', 'film', 'good', 'scary', 'images.Again', 'actors', 'are', 'excellent', 'playing', 'REAL', 'people', 'example', 'lead', 'character', 'Bobby', 'shortish', 'butch', 'yet', 'sensitive', 'one', 'scene', 'boss', 'auto', 'repair', 'shop', 'pilfering', '300', 'fires', ""n't"", 'want', 'fire', 'Bobby', 'hands', 'are', 'tied', 'matter', 'considering', 'how', 'hard', 'worked', 'get', 'place', 'opening', 'own', 'shop', 'Later', 'when', 'think', 'rehire', 'Bobby', 'ca', ""n't"", 'find', 'run', 'very', 'malicious', 'little', 'ghosts', 'attitude', 'find', 'rooting', 'nice', 'guy', 'unfortunately', 'My', 'only', 'problem', 'film', 'felt', 'was', 'true', 'THE', 'GRUDGE', 'well', 'was', 'sense', 'script', 'was', 'not', 'fully', 'developed', 'could', 'be', 'then', 'characterizations', 'actors', 'are', 'good', 'enough', 'terror', 'well', 'done', 'enough', 'pretty', 'much', 'this.I', 'recommend', 'ECHO', 'renting', 'collection', 'purchase']",N/A
1275109,AFSBFI2JHHD87,B002KLQ2YK,"Jimmy C. ""ScuttleButtCourier""","[0, 0]",Product arrived on time & in excellent condition but I have not viewed this DVD yet so I cannot comment on this movie or how well it plays on the DVD player.,4,The Echo,1389657600,"01 14, 2014",2014,157,"['Product', 'arrived', 'time', 'excellent', 'condition', 'have', 'not', 'viewed', 'DVD', 'yet', 'so', 'can', 'not', 'comment', 'movie', 'how', 'well', 'DVD', 'player']",N/A
1275110,A1BUXRDRK8MXTA,B002KLQ2YK,"Juba Kazoo ""&#34;Judy&#34;""","[5, 7]","Slow creepy atmosphere builds into some very skin crawling moments. Like THE RING, This is a horror movie for thinkers and not gore hounds!",5,Atmospheric,1273104000,"05 6, 2010",2010,139,"['Slow', 'creepy', 'atmosphere', 'very', 'skin', 'crawling', 'moments', 'RING', 'horror', 'movie', 'thinkers', 'not', 'gore', 'hounds']",N/A
1275111,A90NIW2XVJWWE,B002KLQ2YK,KATY,"[2, 3]",THOUGHT I WAS LOSING MY MIND RIGHT ALONG WITH THE CHARACTER...GREAT HORROR MOVIE TWO THUMBS UP.  DEFINATELY WOULD RECOMMEND BUYING. GREAT PRICE WONDERFUL CONDITION.,5,WICKEDLY SCARY,1354320000,"12 1, 2012",2012,164,"['THOUGHT', 'WAS', 'LOSING', 'MY', 'MIND', 'RIGHT', 'ALONG', 'WITH', 'THE', 'CHARACTER', 'GREAT', 'HORROR', 'MOVIE', 'TWO', 'THUMBS', 'UP', 'DEFINATELY', 'WOULD', 'RECOMMEND', 'BUYING', 'GREAT', 'PRICE', 'WONDERFUL', 'CONDITION']",N/A
1275112,ABT86HV6XQNRC,B002KLQ2YK,"Kimo ""Aloha Hiker""","[9, 11]","This is one of those movies to watch if you have absolutely nothing else to do.  It's very slow, very predictable, etc., etc., just like most other so-called horror flicks.  Waiting on Hollywood to release a worthwhile movie of any kind is like waiting on the next pass of Haley's Comet..., this is especially true with horror movies.  The last time I saw a good horror movie was ""The Descent.""  Now THAT was a horror movie!!  It was so original..., so very unique., so well casted & directed, etc., etc.  It's already a classic.  Why can't Hollywood make more movies like that??  So, while we wait on another ""The Descent"" to be made, I guess we have to suffer with B-level stuff like ""The Echo.""",2,I Should Have Rented It,1265932800,"02 12, 2010",2010,697,"['one', 'movies', 'watch', 'have', 'absolutely', 'nothing', 'else', 'do', 'very', 'slow', 'very', 'predictable', 'etc.', 'etc.', 'just', 'most', 'other', 'so-called', 'horror', 'flicks', 'Waiting', 'Hollywood', 'release', 'worthwhile', 'movie', 'kind', 'waiting', 'next', 'pass', 'Haley', 'Comet', 'especially', 'true', 'horror', 'movies', 'last', 'time', 'saw', 'good', 'horror', 'movie', 'was', 'Descent', 'Now', 'THAT', 'was', 'horror', 'movie', 'was', 'so', 'original', 'so', 'very', 'unique.', 'so', 'well', 'casted', 'directed', 'etc.', 'etc', 'already', 'classic', 'Why', 'ca', ""n't"", 'Hollywood', 'make', 'more', 'movies', 'So', 'wait', 'Descent', 'be', 'made', 'guess', 'have', 'suffer', 'B-level', 'stuff', 'Echo']",N/A
1275113,AD1E4MBIBUFUE,B002KLQ2YK,Kindle Customer,"[1, 1]","This movie I got to watch on TV yesterday, I will be buying it.  I was pleasantly surprised by this flick. I wont sit here and bore you with what it was about, because there are other reviews for that, but I would definitely recommend this movie for sure.  I especially like the ending, which was also a surprise because most movies now a days have crappy endings, or cliffhanger ones, this one had a good ""it's actually over"" kind of ending. Don't expect any gore or anything, this movie is basically a ghost story. But I recommend the movie, go check it out.",4,Surprisingly good,1319328000,"10 23, 2011",2011,560,"['movie', 'got', 'watch', 'TV', 'yesterday', 'will', 'be', 'buying', 'was', 'pleasantly', 'surprised', 'flick', 'wont', 'sit', 'here', 'bore', 'what', 'was', 'about', 'are', 'other', 'reviews', 'would', 'definitely', 'recommend', 'movie', 'sure', 'especially', 'ending', 'was', 'also', 'surprise', 'most', 'movies', 'now', 'days', 'have', 'crappy', 'endings', 'cliffhanger', 'ones', 'one', 'had', 'good', 'actually', 'over', 'kind', 'ending', 'Do', ""n't"", 'expect', 'gore', 'anything', 'movie', 'basically', 'ghost', 'story', 'recommend', 'movie', 'go', 'check', 'out']",N/A
