,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1312864,AJUFIGATSP9AQ,B002ZG99MC,"A Customer ""film historian""","[7, 9]","Good natured Spy vs. Kids action flick is a low-cal twinkie even by family film standards. The critics liked to play rough with it; and if you feel snooty about it, better stay away. Cute is its stock in trade and there are no disappointments if expectations remain logical: PG Jackie Chan suburban domestic comedy with mild action. Wacky Russian mobsters and their dominatrix-babe leader wear leathers and generally show bad taste as the foil in the spy plot, which follows Jackie home to his family to be.Good for kids or adults like me who need a balance from the heavy stuff.Blu-ray makes the grade for sight and sound.",5,Puts a Jackie Chan Smlle On,1274572800,"05 23, 2010",2010,623,"['Good', 'natured', 'Spy', 'vs', 'Kids', 'action', 'flick', 'low-cal', 'twinkie', 'even', 'family', 'film', 'standards', 'critics', 'liked', 'play', 'rough', 'feel', 'snooty', 'better', 'stay', 'away', 'Cute', 'stock', 'trade', 'are', 'disappointments', 'expectations', 'remain', 'logical', 'PG', 'Jackie', 'Chan', 'suburban', 'domestic', 'comedy', 'mild', 'action', 'Wacky', 'Russian', 'mobsters', 'dominatrix-babe', 'leader', 'wear', 'leathers', 'generally', 'show', 'bad', 'taste', 'foil', 'spy', 'plot', 'Jackie', 'home', 'family', 'be.Good', 'kids', 'adults', 'who', 'need', 'balance', 'heavy', 'stuff.Blu-ray', 'grade', 'sight', 'sound']",The Spy Next Door
1312865,A3LYSQ67HBPTZN,B002ZG99MC,Amazon Customer,"[0, 0]","Jackie chan still has tye stunts. I liked the plot, but the writing could have heen a tad bit better. Just should have kept it professional and leav3  Billy Ray Cyrus out the movie.",3,This movie is a great family movie.,1381708800,"10 14, 2013",2013,181,"['Jackie', 'chan', 'still', 'tye', 'stunts', 'liked', 'plot', 'writing', 'could', 'have', 'heen', 'tad', 'bit', 'better', 'Just', 'should', 'have', 'kept', 'professional', 'leav3', 'Billy', 'Ray', 'Cyrus', 'movie']",The Spy Next Door
1312866,A1O7V32ZL06L50,B002ZG99MC,Amazon Customer,"[0, 0]","This is such a great clean comedy with excitement, chills and thrills. You will enjoy the laughs and story line.",5,Wonderful Kids Movie,1366761600,"04 24, 2013",2013,112,"['such', 'great', 'clean', 'comedy', 'excitement', 'chills', 'thrills', 'will', 'enjoy', 'laughs', 'story', 'line']",The Spy Next Door
1312867,A20EEWWSFMZ1PN,B002ZG99MC,"bernie ""xyzzy""","[3, 4]","Gillian (Amber Valletta) has next a new potential love of her life; it is her next-door neighbor, the sedate pen salesman Bob Ho (Jackie Chan). However, their relationship is doomed as Gillian's children hold a low opinion of Bob. Gillian wants her kids to be safe and happy. What about Bob? He may not be as sedate as Gillian supposes but he intends to for her kids to like him. His opportunity comes when he gets to babysit. However, it looks like his old job may complicate things.With few exceptions, I am not a Jackie Chan fan. This movie is definitely one of the exceptions.  It has over the top acting and stunts. The story is formula and predictable but this people can act and the dialog is hokey to match.  You will want to kibitz.I have only seen the Blu-ray version. Be sure to look at the few DVD extras.",5,My name is not really Bob,1275264000,"05 31, 2010",2010,817,"['Gillian', 'Amber', 'Valletta', 'next', 'new', 'potential', 'love', 'life', 'next-door', 'neighbor', 'sedate', 'pen', 'salesman', 'Bob', 'Ho', 'Jackie', 'Chan', 'However', 'relationship', 'doomed', 'Gillian', 'children', 'hold', 'low', 'opinion', 'Bob', 'Gillian', 'kids', 'be', 'safe', 'happy', 'What', 'Bob', 'may', 'not', 'be', 'as', 'sedate', 'Gillian', 'supposes', 'kids', 'like', 'opportunity', 'when', 'babysit', 'However', 'old', 'job', 'may', 'complicate', 'things.With', 'few', 'exceptions', 'am', 'not', 'Jackie', 'Chan', 'fan', 'movie', 'definitely', 'one', 'exceptions', 'top', 'acting', 'stunts', 'story', 'formula', 'predictable', 'people', 'can', 'act', 'dialog', 'hokey', 'match', 'will', 'want', 'kibitz.I', 'have', 'only', 'seen', 'Blu-ray', 'version', 'Be', 'sure', 'look', 'few', 'DVD', 'extras']",The Spy Next Door
1312868,A20VF2GY7S7WYX,B002ZG99MC,"bmanthy ""Bob Manthy""","[0, 0]","Jackie chan at his bet, yet totally appropriate for kids.  Slapstick funny and sweet.  Adults will want to watch it again and again, too.",5,So funny!,1392768000,"02 19, 2014",2014,137,"['Jackie', 'chan', 'bet', 'yet', 'totally', 'appropriate', 'kids', 'Slapstick', 'funny', 'sweet', 'Adults', 'will', 'want', 'watch', 'again', 'again', 'too']",The Spy Next Door
1312869,A25EBOOBWBINUG,B002ZG99MC,"C. Dickinson ""jmjgboh""","[0, 0]","Our family (pre-teens and younger) all enjoyed this.  Wasn't anything fantastic, but generally funny and sweet.  Jackie Chan delivers a gentle persona and cool action scenes.  A little weak on the writing and the overall story development.  Worst part of the movie were the fake Russian accents on the bad guys. Made it hard for us to understand what they were saying and wasn't funny.",3,Enjoyable,1364515200,"03 29, 2013",2013,385,"['family', 'pre-teens', 'younger', 'enjoyed', 'Was', ""n't"", 'anything', 'fantastic', 'generally', 'funny', 'sweet', 'Jackie', 'Chan', 'gentle', 'persona', 'cool', 'action', 'scenes', 'little', 'weak', 'writing', 'overall', 'story', 'development', 'Worst', 'part', 'movie', 'were', 'fake', 'Russian', 'accents', 'bad', 'guys', 'Made', 'hard', 'understand', 'what', 'were', 'saying', 'was', ""n't"", 'funny']",The Spy Next Door
1312870,A1Z77BZWQTRIBM,B002ZG99MC,"C. Munoz ""Cinexcess""","[0, 0]","My grandsons, age 6 and 8 have watched this movie several times.  They get a kick out of all the antics and action.  It's hard to find action movies without all the violence but this is a good choice.  It's also entertaining for the adults watching along with the kids.",5,Kids Love it!,1364083200,"03 24, 2013",2013,269,"['grandsons', 'age', '6', '8', 'have', 'watched', 'movie', 'several', 'times', 'get', 'kick', 'antics', 'action', 'hard', 'find', 'action', 'movies', 'violence', 'good', 'choice', 'also', 'entertaining', 'adults', 'watching', 'along', 'kids']",The Spy Next Door
1312871,AAVYV2ZFF6K2H,B002ZG99MC,"C. Perry ""a1c2perry""","[0, 0]","Always enjoy this movie when it first came out. Even after having viewed it several times, I still enjoy it. Jackie Chan is hilarious. This is a good movie to watch with the kids.",5,This is a good family movie.,1383955200,"11 9, 2013",2013,179,"['Always', 'enjoy', 'movie', 'when', 'first', 'came', 'out', 'Even', 'having', 'viewed', 'several', 'times', 'still', 'enjoy', 'Jackie', 'Chan', 'hilarious', 'good', 'movie', 'watch', 'kids']",The Spy Next Door
1312872,AHIK7BUXFRMT8,B002ZG99MC,David Bower,"[1, 2]","This is an entertaining children's movie with an abundance of Disneyesque characters as villains, heroes, and comedic characters. The action is over the top but fun and if one can accept the assumptions one can have a light-hearted romp through spy adventure land at a child's level with plenty of sight gags to entertain even the youngest.This is an enjoyable family movie for the entire family and should provide plenty of laughs all around.",4,Fun Children's Action Movie,1338249600,"05 29, 2012",2012,443,"['entertaining', 'children', 'movie', 'abundance', 'Disneyesque', 'characters', 'villains', 'heroes', 'comedic', 'characters', 'action', 'top', 'fun', 'one', 'can', 'accept', 'assumptions', 'one', 'can', 'have', 'light-hearted', 'romp', 'spy', 'adventure', 'land', 'child', 'level', 'plenty', 'sight', 'gags', 'entertain', 'even', 'youngest.This', 'enjoyable', 'family', 'movie', 'entire', 'family', 'should', 'provide', 'plenty', 'laughs', 'around']",The Spy Next Door
1312873,A121LU1P40URV,B002ZG99MC,"Deborah Terrill ""DebbieT""","[0, 0]",This is a movie my 8-year-old likes to watch over and over.  It is fun to watch the kids play mean tricks on Jackie Chan - and then find out how cool he really is.  Lots of fun stunts and over-the-top bad guys also.,4,Enjoyable family movie,1371427200,"06 17, 2013",2013,215,"['movie', '8-year-old', 'likes', 'watch', 'fun', 'watch', 'kids', 'play', 'mean', 'tricks', 'Jackie', 'Chan', 'then', 'find', 'out', 'how', 'cool', 'really', 'Lots', 'fun', 'stunts', 'over-the-top', 'bad', 'guys', 'also']",The Spy Next Door
1312874,A312DIFAW9RKWP,B002ZG99MC,Donna Nelson,"[0, 0]",This movie was a hilarious mixture of comedy and drama. My granddaughter and I just loved it. We laughed so hard. Great for the whole family. Wonderful action throughout,5,Great family show,1375833600,"08 7, 2013",2013,169,"['movie', 'was', 'hilarious', 'mixture', 'comedy', 'drama', 'granddaughter', 'just', 'loved', 'laughed', 'so', 'hard', 'Great', 'whole', 'family', 'Wonderful', 'action']",The Spy Next Door
