,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1333951,A1FQ1N210IRT2X,B0039S3872,Annette M. Young,"[0, 0]","This was the typical ""B"" Lesbian film. The acting and storyline were not so good! The last scene of the film was the best part of the movie!",2,Typical B Lesbian film,1376092800,"08 10, 2013",2013,140,"['was', 'typical', 'B', 'Lesbian', 'film', 'acting', 'storyline', 'were', 'not', 'so', 'good', 'last', 'scene', 'film', 'was', 'best', 'part', 'movie']",And Then Came Lola
1333952,A1UVO8QN82RNY4,B0039S3872,Anthony Genovese,"[0, 0]","Tried to copy Run Lola Run, the excellent German film: Not even close to the quality; and sort of a rip off of title.",1,Too silly,1382918400,"10 28, 2013",2013,117,"['Tried', 'copy', 'Run', 'Lola', 'Run', 'excellent', 'German', 'film', 'Not', 'even', 'close', 'quality', 'sort', 'rip', 'title']",And Then Came Lola
1333953,AL3EQN8HMELY2,B0039S3872,a work in progress,"[17, 20]","A lot of people seemed to like this movie and I'm surprised by that.  I thought it was boring.  It reminded me of a lesbian version of groundhog's day, repeating the day until she got it right.  I must have missed something because it seemed to me that two thirds of this film was spent watching a character run... and run....and run... and run.....",3,Did I miss something?,1276905600,"06 19, 2010",2010,349,"['lot', 'people', 'seemed', 'like', 'movie', ""'m"", 'surprised', 'thought', 'was', 'boring', 'reminded', 'lesbian', 'version', 'groundhog', 'day', 'repeating', 'day', 'got', 'right', 'must', 'have', 'missed', 'something', 'seemed', 'two', 'thirds', 'film', 'was', 'spent', 'watching', 'character', 'run', 'run', '.and', 'run', 'run', '..']",And Then Came Lola
1333954,A11D9SBVAH1ZRT,B0039S3872,Bethany S.,"[0, 0]",awesome and sexy for lovers that enjoy romantic comedy. a lot of kissing but its still good. the cover looked amazing,5,Take your time for this movie to understand the love for women.,1386201600,"12 5, 2013",2013,117,"['awesome', 'sexy', 'lovers', 'enjoy', 'romantic', 'comedy', 'lot', 'kissing', 'still', 'good', 'cover', 'looked', 'amazing']",And Then Came Lola
1333955,A2HULZV993E7YH,B0039S3872,Bill Turner,"[0, 0]","It was ok,,,,,acting not real good,,,,love story line fair,,,,,,,would not watch again,,,,,,not real life,,,,ok to watch if nothing else to do.",3,not very good,1363219200,"03 14, 2013",2013,143,"['was', 'ok', 'acting', 'not', 'real', 'good', ',love', 'story', 'line', 'fair', 'would', 'not', 'watch', 'again', ',not', 'real', 'life', ',ok', 'watch', 'nothing', 'else', 'do']",And Then Came Lola
1333956,A23XSVPKD6BO0D,B0039S3872,"Borntrue Bethea ""Urban king""","[0, 0]",This movie explains relationships no matter what gender they are attracted to. Real GOod. Very funny. I have enjoyed it.,4,True Relationships,1338595200,"06 2, 2012",2012,120,"['movie', 'matter', 'what', 'gender', 'are', 'attracted', 'Real', 'GOod', 'Very', 'funny', 'have', 'enjoyed']",And Then Came Lola
1333957,A2H1LU7J53QO2M,B0039S3872,Br,"[1, 1]","Ridiculous, superficial and sophomoric depiction of a topic that should be treated with understanding and respect. Unfortunate that this movie could help set back attitudes toward LGBT to a much more prurient time.",1,"No ""Room in Rome""",1380240000,"09 27, 2013",2013,214,"['Ridiculous', 'superficial', 'sophomoric', 'depiction', 'topic', 'should', 'be', 'treated', 'understanding', 'respect', 'Unfortunate', 'movie', 'could', 'help', 'set', 'back', 'attitudes', 'LGBT', 'much', 'more', 'prurient', 'time']",And Then Came Lola
1333958,A3DQYY2XM24E53,B0039S3872,buttercup,"[0, 0]",Really didnt see much of it. I cut it off was bored to death. It may have been better at the end I don't really know.,2,Boring,1379289600,"09 16, 2013",2013,117,"['Really', 'didnt', 'see', 'much', 'cut', 'off', 'was', 'bored', 'death', 'may', 'have', 'been', 'better', 'end', 'do', ""n't"", 'really', 'know']",And Then Came Lola
1333959,A21Q8TYJO50OCU,B0039S3872,Charmaine B. Donato,"[0, 0]","This movie was cute in parts, but very cheesey in others... the acting was not the best, but the charming characters made it worth watching.",3,And Then Came Lola,1378771200,"09 10, 2013",2013,140,"['movie', 'was', 'cute', 'parts', 'very', 'cheesey', 'others', 'acting', 'was', 'not', 'best', 'charming', 'characters', 'made', 'worth', 'watching']",And Then Came Lola
1333960,A1HO39WBQ9MXGS,B0039S3872,C. Renfro,"[0, 0]","I bought the Instant Video download, and I am so glad that I did! Great editing, music selections, word play and acting. Thanks to all involved for making a movie about same-gender loving ladies that's smart, entertaining and concludes with a happy ending!",5,"Finally, a ""Groundhog's Day"" trope done well.",1339286400,"06 10, 2012",2012,256,"['bought', 'Instant', 'Video', 'download', 'am', 'so', 'glad', 'did', 'Great', 'editing', 'music', 'selections', 'word', 'play', 'acting', 'Thanks', 'involved', 'making', 'movie', 'same-gender', 'loving', 'ladies', 'smart', 'entertaining', 'happy', 'ending']",And Then Came Lola
