,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1337021,A3HQXFLZ6WI70Q,B003D7B58I,Abdul Fazrul,"[0, 1]","This movie is about a kid who grows up to be a knight until his end. Story done beautifully. Unknown actors seem to be able to execute their characters way better than hollywood ones. This movie is not about battles and action, but the main character's journey in life.Bluray quality was superb to my eyes and ears.",5,Canadian Troy/Braveheart/Spartacus,1289520000,"11 12, 2010",2010,315,"['movie', 'kid', 'who', 'up', 'be', 'knight', 'end', 'Story', 'done', 'beautifully', 'Unknown', 'actors', 'seem', 'be', 'able', 'execute', 'characters', 'way', 'better', 'hollywood', 'ones', 'movie', 'not', 'battles', 'action', 'main', 'character', 'journey', 'life.Bluray', 'quality', 'was', 'superb', 'eyes', 'ears']",N/A
1337022,A3TNM3C9ENUCFW,B003D7B58I,"A.M.Boughey ""Poetmaster""","[7, 8]","It's quite sad that a movie that was released in 2007 takes until October 2010 to get a BD release here, especially when it's this good. I guess that's not unusual for European films, especially subtitled ones, which it's deemed by someone to not be mainstream enough for US audiences?The story was broken up into two movies in 2007, and 2008 originally so to get the ""whole"" story so to speak, is almost worth the wait, albeit in truncated form.That being said, apparently the original version ( a truly lavish scale of production by European standards ) was released initially in a Mini Series format running about 6 hours in total, much like the original German version ofDas Boot - The Original Uncut VersionTo date, no plans have been made to make this version available, and although it is possible to get the original two movies - ARN: The Knight Templar, and ARN: The Kingdom at Roads End on DVD, they are hard to find, and in PAL format, or region 2 coded.Arn (played by Joakim Nattergvist) is based on the trilogy of books by Swedish author Jan Guillou, and although I have not read the books, I consider this adaptation to be a rare treat for fans of the genre.It's easy to quickly draw many comparisons with movies like ""Kingdom of Heaven"", and even the Lord of the Rings trilogy in some ways, partly due to the fact that the movie is so well made. The acting is great throughout, the locations impressive, and the battle scenes are graphic and realistic.Some will feel that the battle scenes are scant, even though they are done on a grand scale, but the story is about the struggle, not just the fighting.It's a story of two parts really.A young boy growing up in 12th century Sweden is taken by his parents to a monastery as he has an illness, and is not expected to reach adulthood.While there, he is taken under the wing of a monk who previously ""served God"" in the holy crusades, and he nurtures Arn's apparent natural talent with weapons to teach him the finer arts of fighting, swordplay and archery - something the youngster takes to well, aided by the fact he is naturally ambidextrous.Historically, much of Europe around the time the movie is set, was not as geographically delineated as it is today, many countries were a loose collection of warring fiefdoms, vying for power, land and the throne, and Sweden was no exception. It is during one such encounter that while defending his fathers honor, he makes an enemy of the powerful Svenger clan.Against the wishes of his family, the young Arn also falls in love with Cecilia, the daughter of a local family betrothed to the Svenger clan to help cement an alliance between the two most powerful families trying to control the country.Through lies and scorn he is sent to the Holy Land as a Crusader to do penance for 20 years, while his young bride to be is sentenced likewise for 20 years in a local convent, run by a vicious Abbess, who is sympathetic to the Svenger clan.Half of the movie centers on her struggle and life in Sweden, and the other on Arn's arduous and battle ridden path through the Holy land.I'm not going to go into much more detail than that really, and that's about as much information you would get from the movie trailer anyway, so not really a spoiler.Compressing three books into one movie, that runs just under two and a quarter hours, I'm sure will leave some plot holes for people who have read the books, but to me it felt very complete.It's also going to feel a little slow to some people, this movie is as much about love and family as it is about fighting and the crusades.despite these two points, I strongly recommend seeing this movie.There are those who will be put off by subtitles, although a large portion of the movie is in English. What is particularly well done is that all the characters speak their own language, Arabic, French, Swedish and English, clearly stated on screen with the subtitles, so it's easy to keep up.There are a few familiar faces US viewers will probably recognize, not least Stellen Skarsgard, but most I'm sure like me will be amazed that they haven't seen Joakim Nattergvist in anything before.This is top notch acting, whichever way you look at it, from the whole cast but particularly him.Focused, driven and really believable in the role, he seems to embrace all aspects of Arn's character.This feels to me like old fashioned story telling, with modern technology kept to a minimum. It feels ""Epic""If you like this kind of movie genre, see this film. 5 stars",5,Epic,1291593600,"12 6, 2010",2010,4504,"['quite', 'sad', 'movie', 'was', 'released', '2007', 'October', '2010', 'get', 'BD', 'release', 'here', 'especially', 'when', 'good', 'guess', 'not', 'unusual', 'European', 'films', 'especially', 'subtitled', 'ones', 'deemed', 'someone', 'not', 'be', 'mainstream', 'enough', 'US', 'audiences', 'story', 'was', 'broken', 'up', 'two', 'movies', '2007', '2008', 'originally', 'so', 'get', 'whole', 'story', 'so', 'speak', 'almost', 'worth', 'wait', 'albeit', 'truncated', 'form.That', 'being', 'said', 'apparently', 'original', 'version', 'truly', 'lavish', 'scale', 'production', 'European', 'standards', 'was', 'released', 'initially', 'Mini', 'Series', 'format', 'running', 'about', '6', 'hours', 'total', 'much', 'original', 'German', 'version', 'ofDas', 'Boot', 'Original', 'Uncut', 'VersionTo', 'date', 'plans', 'have', 'been', 'made', 'make', 'version', 'available', 'possible', 'get', 'original', 'two', 'movies', 'ARN', 'Knight', 'Templar', 'ARN', 'Kingdom', 'Roads', 'End', 'DVD', 'are', 'hard', 'find', 'PAL', 'format', 'region', '2', 'coded.Arn', 'played', 'Joakim', 'Nattergvist', 'based', 'trilogy', 'books', 'Swedish', 'author', 'Jan', 'Guillou', 'have', 'not', 'read', 'books', 'consider', 'adaptation', 'be', 'rare', 'treat', 'fans', 'genre.It', 'easy', 'quickly', 'draw', 'many', 'comparisons', 'movies', 'Kingdom', 'Heaven', 'even', 'Lord', 'Rings', 'trilogy', 'ways', 'partly', 'due', 'fact', 'movie', 'so', 'well', 'made', 'acting', 'great', 'locations', 'impressive', 'battle', 'scenes', 'are', 'graphic', 'realistic.Some', 'will', 'feel', 'battle', 'scenes', 'are', 'scant', 'even', 'are', 'done', 'grand', 'scale', 'story', 'struggle', 'not', 'just', 'fighting.It', 'story', 'two', 'parts', 'really.A', 'young', 'boy', 'growing', 'up', '12th', 'century', 'Sweden', 'taken', 'parents', 'monastery', 'illness', 'not', 'expected', 'reach', 'there', 'taken', 'wing', 'monk', 'who', 'previously', 'served', 'God', 'holy', 'crusades', 'Arn', 'apparent', 'natural', 'talent', 'weapons', 'teach', 'finer', 'arts', 'fighting', 'swordplay', 'archery', 'something', 'youngster', 'well', 'aided', 'fact', 'naturally', 'ambidextrous.Historically', 'much', 'Europe', 'time', 'movie', 'set', 'was', 'not', 'geographically', 'delineated', 'today', 'many', 'countries', 'were', 'loose', 'collection', 'warring', 'fiefdoms', 'vying', 'power', 'land', 'throne', 'Sweden', 'was', 'exception', 'one', 'such', 'encounter', 'defending', 'fathers', 'honor', 'enemy', 'powerful', 'Svenger', 'clan.Against', 'wishes', 'family', 'young', 'Arn', 'also', 'love', 'Cecilia', 'daughter', 'local', 'family', 'betrothed', 'Svenger', 'clan', 'help', 'cement', 'alliance', 'two', 'most', 'powerful', 'families', 'trying', 'control', 'country.Through', 'scorn', 'sent', 'Holy', 'Land', 'Crusader', 'do', 'penance', '20', 'years', 'young', 'bride', 'be', 'sentenced', 'likewise', '20', 'years', 'local', 'convent', 'run', 'vicious', 'Abbess', 'who', 'sympathetic', 'Svenger', 'clan.Half', 'movie', 'centers', 'struggle', 'life', 'Sweden', 'other', 'Arn', 'arduous', 'battle', 'ridden', 'path', 'Holy', 'land.I', ""'m"", 'not', 'going', 'go', 'much', 'more', 'detail', 'really', 'about', 'as', 'much', 'information', 'would', 'get', 'movie', 'trailer', 'anyway', 'not', 'really', 'spoiler.Compressing', 'three', 'books', 'one', 'movie', 'just', 'two', 'quarter', 'hours', ""'m"", 'sure', 'will', 'leave', 'plot', 'holes', 'people', 'who', 'have', 'read', 'books', 'felt', 'very', 'complete.It', 'also', 'going', 'feel', 'little', 'slow', 'people', 'movie', 'as', 'much', 'love', 'family', 'fighting', 'crusades.despite', 'two', 'points', 'strongly', 'recommend', 'seeing', 'movie.There', 'are', 'who', 'will', 'be', 'put', 'off', 'subtitles', 'large', 'portion', 'movie', 'English', 'What', 'particularly', 'well', 'done', 'characters', 'speak', 'own', 'language', 'Arabic', 'French', 'Swedish', 'English', 'clearly', 'stated', 'screen', 'subtitles', 'easy', 'keep', 'are', 'few', 'familiar', 'US', 'viewers', 'will', 'probably', 'recognize', 'not', 'least', 'Stellen', 'Skarsgard', 'most', ""'m"", 'sure', 'will', 'be', 'amazed', 'have', ""n't"", 'seen', 'Joakim', 'Nattergvist', 'anything', 'before.This', 'top', 'notch', 'acting', 'whichever', 'way', 'look', 'whole', 'cast', 'particularly', 'him.Focused', 'driven', 'really', 'believable', 'role', 'embrace', 'aspects', 'Arn', 'character.This', 'old', 'fashioned', 'story', 'telling', 'modern', 'technology', 'kept', 'minimum', 'Epic', 'like', 'kind', 'movie', 'genre', 'see', 'film', '5', 'stars']",N/A
1337023,A9RNMO9MUSMTJ,B003D7B58I,Andre Villemaire,"[0, 0]","Sure, there are better movies out there on this subject, but for this releasei found the acting, the action and everything else worthy of a view.And because of what the main character did,,, he brought sweeden peace for years.Good, and ill watch it again.",3,Good for what it is........,1297382400,"02 11, 2011",2011,255,"['Sure', 'are', 'better', 'movies', 'out', 'there', 'subject', 'releasei', 'found', 'acting', 'action', 'everything', 'else', 'worthy', 'view.And', 'what', 'main', 'character', 'did', 'brought', 'sweeden', 'peace', 'years.Good', 'ill', 'watch', 'again']",N/A
1337024,A30R28QWC9NGTP,B003D7B58I,angelgoth777,"[0, 0]",I love Swedish movies and this one is awesome It has Stellan Skarsgard great fight scenes true love action drama  etc,5,GREAT SWEDE MOVIE,1356998400,"01 1, 2013",2013,117,"['love', 'Swedish', 'movies', 'one', 'awesome', 'Stellan', 'Skarsgard', 'great', 'fight', 'scenes', 'true', 'love', 'action', 'drama', 'etc']",N/A
1337025,A1ZKSKSGE1VCBT,B003D7B58I,Anthony C. Atilano Jr,"[0, 0]","Big fan of these times in history , love anything that will show great warriors of history espically base on a true story .",5,Very Good !!!!!!,1397865600,"04 19, 2014",2014,123,"['Big', 'fan', 'times', 'history', 'love', 'anything', 'will', 'show', 'great', 'warriors', 'history', 'espically', 'base', 'true', 'story']",N/A
1337026,A1ZY6ZZBK5YXUC,B003D7B58I,Birch Creek,"[0, 0]",A well done love story with historical info.  It is made in Sweden but don't let that put you off.,4,Arn,1359158400,"01 26, 2013",2013,98,"['well', 'done', 'love', 'story', 'historical', 'info', 'made', 'Sweden', 'do', ""n't"", 'let', 'put', 'off']",N/A
1337027,A1IZ5TJ1SKOT8Y,B003D7B58I,Cannucklehead Film Addict,"[176, 188]","A good film in its own right, but still, not the original. I contacted the Swedish producers and they said that there were no plans to release the film in its original shape. The film began life as a TV miniseries, of several hours in length (I think about 6). It was released theatrically in Scandanavia as two films, each about two and a half hours long; and released in this, much shorter, so-called International version, i.e., a dumber, action-oriented version supposedly to appeal to us poorly educated North Americans. Sigh. Since this is likely the only version that will ever be released in Region A, you'd be better off getting it rather than waiting for a (so far purely hypothtetical) longer version. If you have a multi-region blu-ray player, it might be possible to order the two, Scandinavian discs, if you can find them at all, that is.",4,"worthy, but truncated",1286841600,"10 12, 2010",2010,852,"['good', 'film', 'own', 'right', 'still', 'not', 'original', 'contacted', 'Swedish', 'producers', 'said', 'were', 'plans', 'release', 'film', 'original', 'shape', 'film', 'began', 'life', 'TV', 'miniseries', 'several', 'hours', 'length', 'think', '6', 'was', 'released', 'theatrically', 'Scandanavia', 'two', 'films', 'two', 'half', 'hours', 'long', 'released', 'much', 'shorter', 'so-called', 'International', 'version', 'i.e.', 'dumber', 'action-oriented', 'version', 'supposedly', 'appeal', 'poorly', 'educated', 'North', 'Americans', 'Sigh', 'likely', 'only', 'version', 'will', 'ever', 'be', 'released', 'Region', 'A', ""'d"", 'be', 'better', 'off', 'getting', 'rather', 'waiting', 'so', 'far', 'purely', 'hypothtetical', 'longer', 'version', 'have', 'multi-region', 'blu-ray', 'player', 'might', 'be', 'possible', 'order', 'two', 'Scandinavian', 'discs', 'can', 'find']",N/A
1337028,AYWSFRCIMOAYE,B003D7B58I,Cestmoi,"[2, 3]","I rented the international version of this film.Only the last fighting scene is good. It's exciting, fierce, and on a large scale. All the others are so brief that I can't feel any thing.The love between the two main characters is so abrupt that it does not stir up my emotion at all.The only good thing about this movie is it successfully portrays Arn's courage and compassion. He fought on even though he fatally wounded. He spared his enemies' lives when he had the chance to kill  them.According to ""Cannucklehead Film Addict"", one of the other reviewers, this movie was a TV mini series. This international version is about two-third shorter than the original. No wonder, the scenes showing the love between 2 main characters are so short. What a waste!",2,Only the last fighting scene is good. The love between the two main characters is abrupt,1291075200,"11 30, 2010",2010,758,"['rented', 'international', 'version', 'film.Only', 'last', 'fighting', 'scene', 'good', 'exciting', 'fierce', 'large', 'scale', 'others', 'are', 'so', 'brief', 'ca', ""n't"", 'feel', 'thing.The', 'love', 'two', 'main', 'characters', 'so', 'abrupt', 'not', 'stir', 'up', 'emotion', 'only', 'good', 'thing', 'movie', 'successfully', 'Arn', 'courage', 'compassion', 'fought', 'even', 'fatally', 'wounded', 'spared', 'enemies', 'lives', 'when', 'had', 'chance', 'kill', 'them.According', 'Cannucklehead', 'Film', 'Addict', 'one', 'other', 'reviewers', 'movie', 'was', 'TV', 'mini', 'series', 'international', 'version', 'two-third', 'shorter', 'original', 'wonder', 'scenes', 'showing', 'love', '2', 'main', 'characters', 'are', 'so', 'short', 'What', 'waste']",N/A
1337029,A1JAXGQ65ON9IP,B003D7B58I,Cherri Lunn,"[0, 0]",I have watched it over and over. It is a very good movie from a different aspect of a Swedish version of the Crusades.  It makes one know how strick the church and people were at that time in Sweden and it does have a sad ending. As my Grandparents came from Sweden I enjoyed the scenery and story.,5,Swedish movie,1389398400,"01 11, 2014",2014,298,"['have', 'watched', 'very', 'good', 'movie', 'different', 'aspect', 'Swedish', 'version', 'Crusades', 'one', 'know', 'how', 'strick', 'church', 'people', 'were', 'time', 'Sweden', 'have', 'sad', 'ending', 'Grandparents', 'came', 'Sweden', 'enjoyed', 'scenery', 'story']",N/A
1337030,A2M3LA0NDBN1GX,B003D7B58I,"C. Murphey ""Movie Collector""","[0, 1]",Arn: A Knight's Tale is an excellent production of a medieval legend.  It is necessary to read the subtitles for the three languages used in the movie (some in English); but the subtitles were no trouble for me.  This story shows how tough life was in medieval times.,5,Great medieval tale!!!!,1289088000,"11 7, 2010",2010,267,"['Arn', 'Knight', 'Tale', 'excellent', 'production', 'medieval', 'legend', 'necessary', 'read', 'subtitles', 'three', 'languages', 'used', 'movie', 'English', 'subtitles', 'were', 'trouble', 'story', 'how', 'tough', 'life', 'was', 'medieval', 'times']",N/A
