,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1360721,A2OZBJ58CML9OS,B003R4ZMSQ,A. Gammill,"[4, 5]","Some shows thrive not on the quality of their writing or production values, but on the strength of likable, dependable personalities in front of the camera.  Melissa & Joey is such a show.  Sure, WHO'S THE BOSS? already tackled the ""manny"" premise (although it was called ""housekeeper"" in the 80's), and mismatched couples have been the bread & butter of sitcoms since at least the 1960's.  But by casting two beloved t.v. stars (no coincidence, either, since Hart and Lawrence do double duty as executive producers), the show manages to rather easily hook viewers.Truth be told, I found the first 3 or so episodes to be very average.  But things start to pick up as the chemistry builds between the leads, and the relatively small supporting cast starts to find their own voices.  Melissa Joan Hart has been a gifted comic actress since her pre-teen Nickelodeon years, and it's to her credit than the somewhat edgy Mel Burke remains a thoroughly likable character.  Joey Lawrence, himself a 30+ year t.v. veteran, is solid as well, with a slightly more believable character with which to work.One word of caution: Don't be fooled by the ""ABC Family"" logo.  Melissa & Joey, while never really wallowing in gutter humor, can aim low with the best (or worst?) of them at times.  Still, for appropriate ages, it's as good as anything on network television at the moment.  Whether you consider that a compliment or not probably depends on how much t.v. you watch.  My wife and I watch quite a bit, and even though the show IS very familiar at times, it's still entertaining and fun to watch.  And really, does a sitcom need to do more than that?",4,"Hard to resist, even if it lacks originality",1310342400,"07 11, 2011",2011,1641,"['shows', 'thrive', 'not', 'quality', 'writing', 'production', 'values', 'strength', 'likable', 'dependable', 'personalities', 'front', 'camera', 'Melissa', 'Joey', 'such', 'show', 'Sure', 'WHO', 'BOSS', 'already', 'tackled', 'manny', 'premise', 'was', 'called', 'housekeeper', '80', 'mismatched', 'couples', 'have', 'been', 'bread', 'butter', 'sitcoms', 'least', '1960', 'casting', 'two', 'beloved', 't.v', 'stars', 'coincidence', 'either', 'Hart', 'Lawrence', 'do', 'double', 'duty', 'executive', 'producers', 'show', 'rather', 'easily', 'hook', 'viewers.Truth', 'be', 'told', 'found', 'first', '3', 'so', 'episodes', 'be', 'very', 'average', 'things', 'start', 'pick', 'up', 'chemistry', 'leads', 'relatively', 'small', 'supporting', 'cast', 'starts', 'find', 'own', 'voices', 'Melissa', 'Joan', 'Hart', 'been', 'gifted', 'comic', 'actress', 'pre-teen', 'Nickelodeon', 'years', 'credit', 'somewhat', 'edgy', 'Mel', 'Burke', 'thoroughly', 'likable', 'character', 'Joey', 'Lawrence', '30+', 'year', 't.v', 'veteran', 'solid', 'as', 'well', 'slightly', 'more', 'believable', 'character', 'work.One', 'word', 'caution', 'Do', ""n't"", 'be', 'fooled', 'ABC', 'Family', 'logo', 'Melissa', 'Joey', 'never', 'really', 'wallowing', 'gutter', 'humor', 'can', 'aim', 'low', 'best', 'worst', 'times', 'Still', 'appropriate', 'ages', 'as', 'good', 'anything', 'network', 'television', 'moment', 'consider', 'compliment', 'not', 'probably', 'how', 'much', 't.v', 'watch', 'wife', 'watch', 'quite', 'bit', 'even', 'show', 'very', 'familiar', 'times', 'still', 'entertaining', 'fun', 'watch', 'really', 'sitcom', 'need', 'do', 'more']","Melissa & Joey: Season 1, Part One"
1360722,A10FHRP5FRAEUU,B003R4ZMSQ,AsNmA,"[0, 0]","I am so glad that I bought this on dvd, it was so fun to watch back to back to back episodes.  Great cast, fun jokes",5,Woo hoo,1367193600,"04 29, 2013",2013,116,"['am', 'so', 'glad', 'bought', 'dvd', 'was', 'so', 'fun', 'watch', 'back', 'back', 'back', 'episodes', 'Great', 'cast', 'fun', 'jokes']","Melissa & Joey: Season 1, Part One"
1360723,A13EZSNTKO13XW,B003R4ZMSQ,Carmela,"[2, 2]","Starting off by saying I love Melissa Joan Hart. I grew up with Clarissa Explains it All and Sabrina the Teenage Witch and now in Melissa and Joey. It seems that in each main show she has starred in; the target audience is of that age that she is during the show. Clarissa kids to tweens, Sabrina tweens to teens and M&J, well i don't wanna say adult but the show does focus around her and Joey moreover the children. Yes many jokes are more risque than other family ABC shows but this show should not be considered an ""adult"" show. After just a few episodes you immediately start thinking of Who's The Boss, and that idea is cemented when Mona herself makes an appearance on the show. Hart and Lawrence are great sitcom actors and the chemistry is definitely there. My favorite moment of this season was the Halloween ep where Ryder suggests to her aunt Mel to be a teenage witch and Mel replies, been there done that. I love it hahahahaha, us 17 year olds can feel nostalgia too! In conclusion, i HIGHLY recommend this show to ANY age group and to the whole family.",5,Mel&Joey Season 1 Part 1,1325462400,"01 2, 2012",2012,1067,"['Starting', 'off', 'saying', 'love', 'Melissa', 'Joan', 'Hart', 'grew', 'up', 'Clarissa', 'Sabrina', 'Teenage', 'Witch', 'now', 'Melissa', 'Joey', 'main', 'show', 'starred', 'target', 'audience', 'age', 'show', 'Clarissa', 'kids', 'tweens', 'Sabrina', 'teens', 'M', 'J', 'well', 'i', 'do', ""n't"", 'wan', 'na', 'say', 'adult', 'show', 'focus', 'Joey', 'moreover', 'children', 'Yes', 'many', 'jokes', 'are', 'more', 'risque', 'other', 'family', 'ABC', 'show', 'should', 'not', 'be', 'considered', 'adult', 'show', 'just', 'few', 'episodes', 'immediately', 'start', 'thinking', 'Who', 'Boss', 'idea', 'cemented', 'when', 'Mona', 'appearance', 'show', 'Hart', 'Lawrence', 'are', 'great', 'sitcom', 'actors', 'chemistry', 'definitely', 'there', 'favorite', 'moment', 'season', 'was', 'Halloween', 'ep', 'where', 'Ryder', 'aunt', 'Mel', 'be', 'teenage', 'witch', 'Mel', 'replies', 'been', 'there', 'done', 'love', '17', 'year', 'olds', 'can', 'feel', 'nostalgia', 'too', 'conclusion', 'i', 'HIGHLY', 'recommend', 'show', 'ANY', 'age', 'group', 'whole', 'family']","Melissa & Joey: Season 1, Part One"
1360724,A3LCIWZS2VXJHU,B003R4ZMSQ,Crazy-for-TV,"[3, 3]","As you can tell from my title, I am a HUGE Melissa Joan Hart fan. I first watched her on Nickelodeon's ""Clarissa Explains It All"" and have since followed her career. (""Sabrina, the Teenage Witch"" still remains my favorite show to this day.) ""Melissa & Joey"", regardless of my admiration for Ms. Hart, is a smart, fresh, and modern comedy. Too many have commented that this series is a ""Who's the Boss?"" knock-off, but I disagree. While sharing a similar premise, this show is definitely one of a kind and has its own identity, as the characters are well-developed and are brought to life from such a wonderful cast. I have been hooked on ""Melissa & Joey"" since day one. While some may remember Hart and Lawrence from their childhood, this show is for a more mature audience than their previous series. For me, ""Melissa & Joey"" is just as good as my other favorites: ""Modern Family,"" ""The Big Bang Theory,"" ""The Middle"" & ""Rules of Engagement."" If you are a fan of any of these series, you will love ABC Family's hit comedy. Make sure to check out ""Season One, Part Two,"" which features the remaining eighteen episodes of the first season. Trust me; you won't be disappointed.",5,"From ""Clarissa"" to ""Sabrina"" to ""Mel""",1315440000,"09 8, 2011",2011,1175,"['can', 'tell', 'title', 'am', 'HUGE', 'Melissa', 'Joan', 'Hart', 'fan', 'first', 'watched', 'Nickelodeon', 'Clarissa', 'All', 'have', 'followed', 'career', 'Sabrina', 'Teenage', 'Witch', 'still', 'favorite', 'show', 'day', 'Melissa', 'Joey', 'regardless', 'admiration', 'Ms.', 'Hart', 'smart', 'fresh', 'modern', 'comedy', 'Too', 'many', 'have', 'commented', 'series', 'Who', 'Boss', 'knock-off', 'disagree', 'sharing', 'similar', 'premise', 'show', 'definitely', 'one', 'kind', 'own', 'identity', 'characters', 'are', 'well-developed', 'are', 'brought', 'life', 'such', 'wonderful', 'cast', 'have', 'been', 'hooked', 'Melissa', 'Joey', 'day', 'one', 'may', 'remember', 'Hart', 'Lawrence', 'childhood', 'show', 'more', 'mature', 'audience', 'previous', 'series', 'Melissa', 'Joey', 'just', 'as', 'good', 'other', 'favorites', 'Modern', 'Family', 'Big', 'Bang', 'Theory', 'Middle', 'Rules', 'Engagement', 'are', 'fan', 'series', 'will', 'love', 'ABC', 'Family', 'hit', 'comedy', 'Make', 'sure', 'check', 'out', 'Season', 'One', 'Part', 'Two', 'remaining', 'eighteen', 'episodes', 'first', 'season', 'Trust', 'wo', ""n't"", 'be', 'disappointed']","Melissa & Joey: Season 1, Part One"
1360725,ALMMJ21X92QLL,B003R4ZMSQ,Dee Davies,"[8, 9]","I started watching this show because I grew up watching Sabrina the Teenage Witch and loved Melissa Joan Hart. This Show is smart, witty, and just plain funny the cast is great and so is the writing. The DVDs are fine and play very well. Bonus features include a Blooper Reel and a Sneak Peak at Upcoming Episodes. I am very pleased with the DVDs. The 2nd half of season 1 premieres June 29th 2011.CANT WAIT.",5,Best ABC Family Show in Years,1309046400,"06 26, 2011",2011,408,"['started', 'watching', 'show', 'grew', 'up', 'watching', 'Sabrina', 'Teenage', 'Witch', 'loved', 'Melissa', 'Joan', 'Hart', 'Show', 'smart', 'witty', 'just', 'plain', 'funny', 'cast', 'great', 'so', 'writing', 'DVDs', 'are', 'fine', 'play', 'very', 'well', 'Bonus', 'include', 'Blooper', 'Reel', 'Sneak', 'Peak', 'Upcoming', 'Episodes', 'am', 'very', 'pleased', 'DVDs', '2nd', 'half', 'season', '1', 'premieres', 'June', '29th', '2011.CANT', 'WAIT']","Melissa & Joey: Season 1, Part One"
1360726,A1KONL8ECYFG37,B003R4ZMSQ,DVD Verdict,"[15, 16]","Appellate Judge Tom Becker, DVD Verdict -- ""Since it airs on ABC Family, I assumed Melissa & Joey would be a kid-centric sitcom along the lines of Full House or Boy Meets World. At the very least, since it seems a direct descendent (if not outright knock off) of Who's the Boss, I figured it would offer up a ""Will they or won't they?"" coupling along with sitcom-cute moppets and life-lesson moralizing at every turn. Imagine my surprise when Melissa & Joey instead turned out to be more interested in delivering laughs than homilies. Even though it features teenagers and a nontraditional family unit, this is not ""all ages"" television. Much of the humor skews adult and some jokes, while funny, are downright crude. It's not ""appointment TV"" (does that even exist anymore in the world of DVR?), but it's as good as, if not better than, many current network sitcoms, offering solid writing, some pretty funny jokes, and attractive and engaging leads. Shout! Factory has given us the first 12 episodes spread over two discs. Supplements include a blooper reel, ""featurettes"" that are actually family life-oriented questions posed to the stars, and a brief promo for the rest of the season.""",4,"An engaging, moppet-free little comedy with a decidedly grown-up slant",1303257600,"04 20, 2011",2011,1190,"['Appellate', 'Judge', 'Tom', 'Becker', 'DVD', 'Verdict', 'ABC', 'Family', 'assumed', 'Melissa', 'Joey', 'would', 'be', 'kid-centric', 'sitcom', 'lines', 'Full', 'House', 'Boy', 'Meets', 'World', 'very', 'least', 'direct', 'descendent', 'not', 'outright', 'knock', 'off', 'Who', 'Boss', 'figured', 'would', 'offer', 'up', 'Will', 'wo', ""n't"", 'coupling', 'sitcom-cute', 'moppets', 'life-lesson', 'moralizing', 'turn', 'Imagine', 'surprise', 'when', 'Melissa', 'Joey', 'instead', 'turned', 'out', 'be', 'more', 'interested', 'delivering', 'laughs', 'homilies', 'Even', 'teenagers', 'nontraditional', 'family', 'unit', 'not', 'ages', 'television', 'Much', 'humor', 'adult', 'jokes', 'funny', 'are', 'downright', 'crude', 'not', 'appointment', 'TV', 'even', 'exist', 'anymore', 'world', 'DVR', 'as', 'good', 'not', 'better', 'many', 'current', 'network', 'sitcoms', 'offering', 'solid', 'writing', 'pretty', 'funny', 'jokes', 'attractive', 'engaging', 'leads', 'Shout', 'Factory', 'given', 'first', '12', 'episodes', 'spread', 'two', 'discs', 'Supplements', 'include', 'blooper', 'reel', 'featurettes', 'are', 'actually', 'family', 'life-oriented', 'questions', 'posed', 'stars', 'brief', 'promo', 'rest', 'season']","Melissa & Joey: Season 1, Part One"
1360727,A3TJ49U5F2Y0D3,B003R4ZMSQ,"Journeygurl ""Cassie K""","[0, 0]","I love the chemistry of Melissa and Joey, the clean cut comedy and it allows me to have great family time with my family",4,Waiting for more seasons!,1392854400,"02 20, 2014",2014,120,"['love', 'chemistry', 'Melissa', 'Joey', 'clean', 'cut', 'comedy', 'have', 'great', 'family', 'time', 'family']","Melissa & Joey: Season 1, Part One"
1360728,AS2SJP1G389FE,B003R4ZMSQ,"Katie Gallen ""Katie""","[0, 0]",Melissa & Joey starring Melissa Joan Hart and Joey Lawrence. Melissa & Joey is about a local politician woman named Mel Burke who is named guardian of her niece and nephew because her sister is in prison and her brother in-law ran away. Joe (Joey Lawrence) is an out of work and is looking for job. Joe as a nanny for Mel niece and nephew.  Watch this TV to find out what happens to Mel and Joey. It is a great show.,5,Hilarious TV,1401580800,"06 1, 2014",2014,416,"['Melissa', 'Joey', 'starring', 'Melissa', 'Joan', 'Hart', 'Joey', 'Lawrence', 'Melissa', 'Joey', 'local', 'politician', 'woman', 'named', 'Mel', 'Burke', 'who', 'named', 'guardian', 'niece', 'nephew', 'sister', 'prison', 'brother', 'in-law', 'ran', 'away', 'Joe', 'Joey', 'Lawrence', 'work', 'looking', 'job', 'Joe', 'nanny', 'Mel', 'niece', 'nephew', 'Watch', 'TV', 'find', 'out', 'what', 'Mel', 'Joey', 'great', 'show']","Melissa & Joey: Season 1, Part One"
1360729,A3GH28LHPUJOV3,B003R4ZMSQ,NepaGirl10,"[0, 0]","I love Melissa & Joey!  The show is great, the product was great!  I would definitely recommend this to my friends and family!",5,Love this show!,1367280000,"04 30, 2013",2013,126,"['love', 'Melissa', 'Joey', 'show', 'great', 'product', 'was', 'great', 'would', 'definitely', 'recommend', 'friends', 'family']","Melissa & Joey: Season 1, Part One"
1360730,A5UEDIRU8YDXQ,B003R4ZMSQ,Phelps Girl,"[4, 25]","Almost bought this because I liked the main actors.  But, I thought I should watch a couple of episodes on youtube first.  Glad I did.  If you like frequent profanity and extramarital sex treated as a joke with no consequences, then this show is for you.  It was not for me.  The Melissa character is shallow and unlikeable.  Why is this channel called ABC FAMILY?  This show is not for children or teenagers, and not for adults who value fidelity.",1,"Crude, not for families",1317254400,"09 29, 2011",2011,448,"['Almost', 'bought', 'liked', 'main', 'actors', 'thought', 'should', 'watch', 'couple', 'episodes', 'youtube', 'first', 'Glad', 'did', 'like', 'frequent', 'profanity', 'extramarital', 'sex', 'treated', 'joke', 'consequences', 'then', 'show', 'was', 'not', 'Melissa', 'character', 'shallow', 'unlikeable', 'Why', 'channel', 'called', 'ABC', 'FAMILY', 'show', 'not', 'children', 'teenagers', 'not', 'adults', 'who', 'value', 'fidelity']","Melissa & Joey: Season 1, Part One"
