,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1363457,A3DXDVKLSS3XFN,B003UCA55K,Carley A. Asberry,"[1, 1]","This is a family movie involving faith, love, & the power of prayer.  Very realistic & the message dives deep into the struggles we all face @ one time or another.  Inspirational & would recommend this to add to one's DVD collection about Christian Faith.",5,Standing Firm,1362528000,"03 6, 2013",2013,255,"['family', 'movie', 'involving', 'faith', 'love', 'power', 'prayer', 'Very', 'realistic', 'message', 'deep', 'struggles', 'face', 'one', 'time', 'Inspirational', 'would', 'recommend', 'add', 'one', 'DVD', 'collection', 'Christian', 'Faith']",Standing Firm
1363458,A3JAS1JIZEN6WX,B003UCA55K,Craig Neading,"[0, 0]",This was probably one of the most honest movies that I have ever watched. It was very well done. It was a reflection of everyday life and was worth the watch.,5,Great movie,1398470400,"04 26, 2014",2014,158,"['was', 'probably', 'one', 'most', 'honest', 'movies', 'have', 'ever', 'watched', 'was', 'very', 'well', 'done', 'was', 'reflection', 'everyday', 'life', 'was', 'worth', 'watch']",Standing Firm
1363459,A231HAEWH5RTMJ,B003UCA55K,Gerald Khoo,"[15, 15]","I bought a bunch of Christian movies recently, but this is one of the slow moving ones. Though it is slow moving, it is believable. It addresses the fact that bad things happen to good people, and that we do go through difficulty in life, but that does not mean that God does not love us nor does it mean that God does not care. It talks about a man who lost his wife, and his journey to knowing the Lord. I personally did not like the abrupt ending.",2,A slow moving film about a man who turned to Christ,1291852800,"12 9, 2010",2010,450,"['bought', 'bunch', 'Christian', 'movies', 'recently', 'one', 'slow', 'moving', 'ones', 'slow', 'moving', 'believable', 'fact', 'bad', 'things', 'happen', 'good', 'people', 'do', 'go', 'difficulty', 'life', 'not', 'mean', 'God', 'not', 'love', 'mean', 'God', 'not', 'care', 'man', 'who', 'lost', 'wife', 'journey', 'knowing', 'Lord', 'personally', 'did', 'not', 'abrupt', 'ending']",Standing Firm
1363460,A3TIS263EUW4V7,B003UCA55K,hearsmusic,"[0, 0]",What a great film! Americans need to watch this film and take it to heart. It is great and can teach us something about ourselves.,5,Standing Firm,1386547200,"12 9, 2013",2013,130,"['What', 'great', 'film', 'Americans', 'need', 'watch', 'film', 'take', 'heart', 'great', 'can', 'teach', 'something', 'ourselves']",Standing Firm
1363461,A1MKU8G30ILWB9,B003UCA55K,homeschoolmom,"[1, 2]",I can't believe this is low budget.  You get so swept away in the storyline that all else fades away.  You won't be disappointed in this film - especially if you have a loved one you have been praying for.  I have been praying for my elderly father for some time.  This movie encouraged me.,5,Wow,1297641600,"02 14, 2011",2011,290,"['ca', ""n't"", 'believe', 'low', 'budget', 'get', 'so', 'swept', 'away', 'storyline', 'else', 'away', 'wo', ""n't"", 'be', 'disappointed', 'film', 'especially', 'have', 'loved', 'one', 'have', 'been', 'praying', 'have', 'been', 'praying', 'elderly', 'father', 'time', 'movie', 'encouraged']",Standing Firm
1363462,ARHGIT6KRY20P,B003UCA55K,home-to-school,"[0, 0]",Inspirational - We got these films for our son to take with him during his first year of college to inspire him to Stand Firm!,5,Good Film,1365552000,"04 10, 2013",2013,126,"['Inspirational', 'got', 'films', 'son', 'take', 'first', 'year', 'college', 'inspire', 'Stand', 'Firm']",Standing Firm
1363463,A3JHKBF2M3PQCD,B003UCA55K,"Jamie B. Evans ""Proverbs 3: 5 & 6""","[3, 9]","This movie was just okay for me. It did not explain what you really need to do to be forgiven and to forgive. The son in the movie was the best actor of the whole movie. I just do not believe you can become a Christian by asking Jesus to come into your heart and be forgiven. There is more to it according to His word, The Bible. So, I was disappointed in this movie.",2,Not Like I thought it would be,1295222400,"01 17, 2011",2011,367,"['movie', 'was', 'just', 'okay', 'did', 'not', 'explain', 'what', 'really', 'need', 'do', 'be', 'forgiven', 'forgive', 'son', 'movie', 'was', 'best', 'actor', 'whole', 'movie', 'just', 'do', 'not', 'believe', 'can', 'become', 'Christian', 'asking', 'Jesus', 'come', 'heart', 'be', 'forgiven', 'more', 'according', 'word', 'Bible', 'So', 'was', 'disappointed', 'movie']",Standing Firm
1363464,A28VRAKOOO81G9,B003UCA55K,John Macfarlane,"[1, 1]",Received promptly in great condition.Excellent DVD ~ One that we definitely would recommend.(We need more like this one available to the public.),5,Standing Firm DVD,1316736000,"09 23, 2011",2011,145,"['Received', 'promptly', 'great', 'condition.Excellent', 'DVD', '~', 'One', 'definitely', 'would', 'recommend', 'need', 'more', 'one', 'available', 'public']",Standing Firm
1363465,A2C0R5FGHQFLGW,B003UCA55K,Kathleen jensen,"[0, 1]","The concept, story idea of the movie is great but the movie is choppy, forced, and doesn't flow. The acting was awful, too. I could not recommend this film",1,not many stars,1396569600,"04 4, 2014",2014,155,"['concept', 'story', 'idea', 'movie', 'great', 'movie', 'choppy', 'forced', ""n't"", 'flow', 'acting', 'was', 'awful', 'too', 'could', 'not', 'recommend', 'film']",Standing Firm
1363466,A36AXPBGQHZBSS,B003UCA55K,Michael Griffith,"[0, 3]","The movie spends way, way, way too much dwelling on the father's bitterness and rejection of God.  After 20 minutes of seeing the father bad-mouth God and religion, you're like, ""Ok, ok, I get it that he's mad at God!  Now move on!""  This film would be better if it didn't spend so much time on this point.  The acting and production quality are fairly good.  Once the film finally picks up, it's not halfway bad at all--but it drags terribly until that point.  You'll like the movie a lot more if you watch the first 15 minutes and then skip to the last 15 minutes.  Literally, no kidding.",3,Could Have Been A Lot Better,1344297600,"08 7, 2012",2012,590,"['movie', 'way', 'way', 'way', 'too', 'much', 'dwelling', 'father', 'bitterness', 'rejection', 'God', '20', 'minutes', 'seeing', 'father', 'bad-mouth', 'God', 'religion', ""'re"", 'Ok', 'ok', 'get', 'mad', 'God', 'Now', 'move', 'film', 'would', 'be', 'better', 'did', ""n't"", 'spend', 'so', 'much', 'time', 'point', 'acting', 'production', 'quality', 'are', 'fairly', 'good', 'film', 'finally', 'up', 'not', 'halfway', 'bad', 'terribly', 'point', ""'ll"", 'like', 'movie', 'lot', 'more', 'watch', 'first', '15', 'minutes', 'then', 'skip', 'last', '15', 'minutes', 'Literally', 'kidding']",Standing Firm
