,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1372099,AAZRWLML88IZK,B003Y5H52O,A kids review,"[2, 8]","Monte Carlo is very obviously targeted for a specific demographic. It's a travel movie about three young girls who plan a dream trip to Paris, only to be whisked away in glitz and glamour to Monte Carlo when one of them is mistaken for a wealthy heiress, and it stars Selena Gomez, Leighton Meester, and Katie Cassidy. It should, therefore, surprise no one that the film was predictably sweet and charming in parts, and completely riddled with formulaic clich&eacute;s in most others. What we have here is a piece of fantasy fiction for young girls who dream of being princesses - or, at the very least, treated like princesses - so you can take that for what it's worth and decide if it's right for you. What I can tell you is that I wasn't so impressed by it, but let's be honest for a minute here: are the girls who will watch this really going to care what I have to say about it?",1,Monte Carlo,1323648000,"12 12, 2011",2011,884,"['Monte', 'Carlo', 'very', 'obviously', 'targeted', 'specific', 'demographic', 'travel', 'movie', 'three', 'young', 'girls', 'who', 'plan', 'dream', 'trip', 'Paris', 'only', 'be', 'whisked', 'away', 'glitz', 'glamour', 'Monte', 'Carlo', 'when', 'one', 'mistaken', 'wealthy', 'heiress', 'Selena', 'Gomez', 'Leighton', 'Meester', 'Katie', 'Cassidy', 'should', 'therefore', 'surprise', 'one', 'film', 'was', 'predictably', 'sweet', 'charming', 'parts', 'completely', 'riddled', 'formulaic', 'clich', 'eacute', 's', 'most', 'others', 'What', 'have', 'here', 'piece', 'fantasy', 'fiction', 'young', 'girls', 'who', 'dream', 'being', 'princesses', 'very', 'least', 'treated', 'princesses', 'can', 'take', 'what', 'worth', 'decide', 'right', 'What', 'can', 'tell', 'was', ""n't"", 'so', 'impressed', 'let', 'be', 'honest', 'minute', 'here', 'are', 'girls', 'who', 'will', 'watch', 'really', 'going', 'care', 'what', 'have', 'say']",N/A
1372100,AK6DETJWUVME6,B003Y5H52O,Amazon Customer,"[0, 0]","Caught this movie on an international flight, unexpectedly cute and entertaining for a teen flick. DVD arrived just fine. No problems or scratches. Played just fine.",5,Great,1364774400,"04 1, 2013",2013,165,"['Caught', 'movie', 'international', 'flight', 'unexpectedly', 'cute', 'entertaining', 'teen', 'flick', 'DVD', 'arrived', 'just', 'fine', 'problems', 'scratches', 'Played', 'just', 'fine']",N/A
1372101,A1H5KMJ3TAGRCQ,B003Y5H52O,"Amazon Customer ""Sulamita""","[0, 0]","I have been avoiding to watch this movie for a long time, I am just tired of seen just a bunch of pretty girls with no talent and acting skills, but this movie got to be more charming and fun that I was expecting. The girls did a great job, yes it have the same story, girl gone to Paris, meet handsome guys fall in love, etc... but it wasn't just about that. It was more about growing up and letting things go, finding yourself. And it have a good touch of comedy and fantasy. They are good actresses, I think they did a good job and make the movie enjoyable. I really like it.",4,It was fun,1347667200,"09 15, 2012",2012,578,"['have', 'been', 'avoiding', 'watch', 'movie', 'long', 'time', 'am', 'just', 'tired', 'seen', 'just', 'bunch', 'pretty', 'girls', 'talent', 'acting', 'skills', 'movie', 'got', 'be', 'more', 'charming', 'fun', 'was', 'expecting', 'girls', 'did', 'great', 'job', 'yes', 'have', 'same', 'story', 'girl', 'gone', 'Paris', 'handsome', 'guys', 'fall', 'love', 'etc', 'was', ""n't"", 'just', 'was', 'more', 'growing', 'up', 'letting', 'things', 'go', 'finding', 'have', 'good', 'touch', 'comedy', 'fantasy', 'are', 'good', 'actresses', 'think', 'did', 'good', 'job', 'make', 'movie', 'enjoyable', 'really']",N/A
1372102,A1W9JOFE6F89FB,B003Y5H52O,Amber MacDonald,"[0, 0]","When I received the Monte Carlo DVD, my little girl got so excited. It didn't take her long before she went straight to her room to watch the movie. Of course, I didn't get to watch the movie the first time around, so I watched it the 2nd time in the living room with my little girl. This movie is great for young girls and tween's. To be honest even at my age I found it be a really cute movie. The movie has tons of great music that makes you want to dance and sing along with it. My little girl couldn't help but get up and dance when the music started playing.This movie also teaches young girls self confidence with is really important for our girls that are growing up nowadays. Since, my little girl was already a fan of Selena Gomez, I knew she would love the movie, and she did. This movie will give you and young girls tons of laughs, and a great movie to watch together. Another thing this movie is really clean so letting my young daughter watch this was not a worry at all.",5,A very cute movie,1327622400,"01 27, 2012",2012,986,"['When', 'received', 'Monte', 'Carlo', 'DVD', 'little', 'girl', 'got', 'so', 'excited', 'did', ""n't"", 'take', 'long', 'went', 'straight', 'room', 'watch', 'movie', 'course', 'did', ""n't"", 'get', 'watch', 'movie', 'first', 'time', 'around', 'watched', '2nd', 'time', 'living', 'room', 'little', 'girl', 'movie', 'great', 'young', 'girls', 'tween', 'be', 'honest', 'even', 'age', 'found', 'be', 'really', 'cute', 'movie', 'movie', 'tons', 'great', 'music', 'want', 'dance', 'sing', 'along', 'My', 'little', 'girl', 'could', ""n't"", 'help', 'get', 'up', 'dance', 'when', 'music', 'started', 'playing.This', 'movie', 'also', 'young', 'girls', 'self', 'confidence', 'really', 'important', 'girls', 'are', 'growing', 'up', 'nowadays', 'little', 'girl', 'was', 'already', 'fan', 'Selena', 'Gomez', 'knew', 'would', 'love', 'movie', 'did', 'movie', 'will', 'give', 'young', 'girls', 'tons', 'laughs', 'great', 'movie', 'watch', 'together', 'thing', 'movie', 'really', 'clean', 'letting', 'young', 'daughter', 'watch', 'was', 'not', 'worry']",N/A
1372103,A3R7PQAHD3NZM0,B003Y5H52O,Autumn Blues Reviews,"[0, 0]","Monte Carlo was fun, fun and more fun! I loved this movie from the start. As Grace (Selena Gomez), Emma (Katie Cassidy) and Meg (Leighton Meester), race around in Paris then head off to Monte Carlo on a whim, I couldn't wait to see what would happen next. As a graduation present from her parents, Grace receives a trip to London, but that's not all. Grace's parents are also generously sending her best friend Emma and her step-sister Meg along on the trip. The excitement soon dies down once they get to Paris and later end up with sore feet in a seedy hotel room. They decide to book with a tour group and that is when all the fun begins. At first Emma races around ridiculously in her high heeled shoes on the tour as Grace tries to keep the peace between her friend and step-sister. After being left behind by the fast-paced tour group, the girls enter an expensive hotel. It is at this hotel that Grace's looks match exactly to the likes of a high class wealthy lady staying at the same hotel. Soon Grace is being waited on hand and foot and all the action begins. Anyone that has been on a vacation for the first time or to a new destination for the first time can relate to this film. I could relate with this film as I had a similar experience traveling with new friends for the first time to a new destination. Just as in this film you have different personalities thrown together and crazy experiences going on and then there are the boys. Finding love in another country is just plain exciting and so romantic. Monte Carlo has this and so much more. I give this movie 5 stars and recommend it to all you girls out there looking for a movie that includes fun, finding true friendship and romance all wrapped up in a pretty package. This movie, however, is not just a chick-flick. My husband watched the movie with me and he too laughed with me from the start.",5,A delightful treat! Fun in the friend and romance category.,1323648000,"12 12, 2011",2011,1870,"['Monte', 'Carlo', 'was', 'fun', 'fun', 'more', 'fun', 'loved', 'movie', 'start', 'Grace', 'Selena', 'Gomez', 'Emma', 'Katie', 'Cassidy', 'Meg', 'Leighton', 'Meester', 'race', 'around', 'Paris', 'then', 'head', 'Monte', 'Carlo', 'whim', 'could', ""n't"", 'wait', 'see', 'what', 'would', 'happen', 'next', 'graduation', 'present', 'parents', 'Grace', 'trip', 'London', 'not', 'Grace', 'parents', 'are', 'also', 'generously', 'sending', 'best', 'friend', 'Emma', 'step-sister', 'Meg', 'trip', 'excitement', 'soon', 'down', 'once', 'get', 'Paris', 'later', 'end', 'up', 'sore', 'feet', 'seedy', 'hotel', 'room', 'decide', 'book', 'tour', 'group', 'when', 'fun', 'first', 'Emma', 'races', 'around', 'ridiculously', 'high', 'heeled', 'shoes', 'tour', 'Grace', 'keep', 'peace', 'friend', 'step-sister', 'being', 'left', 'fast-paced', 'tour', 'group', 'girls', 'enter', 'expensive', 'hotel', 'hotel', 'Grace', 'looks', 'match', 'exactly', 'likes', 'high', 'class', 'wealthy', 'lady', 'staying', 'same', 'hotel', 'Soon', 'Grace', 'being', 'waited', 'hand', 'foot', 'action', 'Anyone', 'been', 'vacation', 'first', 'time', 'new', 'destination', 'first', 'time', 'can', 'relate', 'film', 'could', 'relate', 'film', 'had', 'similar', 'experience', 'traveling', 'new', 'friends', 'first', 'time', 'new', 'destination', 'Just', 'film', 'have', 'different', 'personalities', 'thrown', 'together', 'crazy', 'experiences', 'going', 'then', 'are', 'boys', 'Finding', 'love', 'country', 'just', 'plain', 'exciting', 'so', 'romantic', 'Monte', 'Carlo', 'so', 'much', 'more', 'give', 'movie', '5', 'stars', 'recommend', 'girls', 'there', 'looking', 'movie', 'fun', 'finding', 'true', 'friendship', 'romance', 'wrapped', 'up', 'pretty', 'package', 'movie', 'however', 'not', 'just', 'chick-flick', 'husband', 'watched', 'movie', 'too', 'laughed', 'start']",N/A
1372104,A2F7CCPK4QL359,B003Y5H52O,"Bennet Pomerantz ""Bennet Pomerantz, AUDIOWORLD""","[1, 1]","Monte Carlo is a teen version of the Prince and the Pauper with girl friends. Be forwarned--This is a Disney-like formula for the teen crowd. A few years ago, it would have Hillary Duff, Miley Cyrus or Lindsay Lohan playing the female lead instead of Disney star from Wizards of Waverly Place's Selina GomezThis film had been done before in a wayt in the Disney Lizzie McGuire movie. Funny,  Who says? (the Lizzie McGuire movie theme song) is sung by  Gomez on the end credits.Before you get to the end credits, you get a lovely  plot of sibbling rivally between two step sisters (Gomez and Gossip Girl's Leighton Meester) who dont respect each other and their parents send them to Paris together. Gomez's waitress friend Emma (Katie Cassidy) joins their trip. It seems almost like a modern day, Europian ""Where the Boys are""!The threesome miss their tour bus in Paris. Gomez also plays a look-a-like monster socialite who is a brat. Gomez is mistaken for the heiress.  The threesome take her hotel since the socialite goes on a unplanned spree. The threesome then ventures to Monte Carlo in the socialite's place and plot gets predictable..but it is fun in a Disney-ish, Frank Capra like wayThere are big names in small roles in this film. Glee's Cory Montieth is Emma's boyfriend who searches Paris for the trio. His four scences of the film  is short at best, but longer than a cameo. Dr Who's Catherine Tate steals the end of the film in her cameo. However Jane by Design's Andie MacDowell and Make It or Break it's Brett Cullen appearances are wasted as Gomez's and Meetser's parents in this movie.The direction is similar to a modern day Disney Teen adventure...something you may get on ABC family channel.  It works and it succeeds on many levels. Its formula, but adults who want to watch something with their teens, other than Pretty Little Liars, will have a GREAT TIME watching this because the films does not talk down to the audience..i do mean it. It is formula that we have all seen before but it is intelligently presented.Its fun in a four star way!Bennet PomerantzAUDIOWORLD",4,Cute and done before,1334102400,"04 11, 2012",2012,2092,"['Monte', 'Carlo', 'teen', 'version', 'Prince', 'Pauper', 'girl', 'friends', 'Be', 'forwarned', 'Disney-like', 'formula', 'teen', 'crowd', 'few', 'years', 'ago', 'would', 'have', 'Hillary', 'Duff', 'Miley', 'Cyrus', 'Lindsay', 'Lohan', 'playing', 'female', 'lead', 'instead', 'Disney', 'star', 'Wizards', 'Waverly', 'Place', 'Selina', 'GomezThis', 'film', 'had', 'been', 'done', 'before', 'wayt', 'Disney', 'Lizzie', 'McGuire', 'movie', 'Funny', 'Who', 'Lizzie', 'McGuire', 'movie', 'theme', 'song', 'sung', 'Gomez', 'end', 'credits.Before', 'get', 'end', 'credits', 'get', 'lovely', 'plot', 'sibbling', 'rivally', 'two', 'step', 'sisters', 'Gomez', 'Gossip', 'Girl', 'Leighton', 'Meester', 'who', 'dont', 'respect', 'other', 'parents', 'send', 'Paris', 'together', 'Gomez', 'waitress', 'friend', 'Emma', 'Katie', 'Cassidy', 'trip', 'almost', 'modern', 'day', 'Europian', 'Where', 'Boys', 'are', 'threesome', 'miss', 'tour', 'bus', 'Paris', 'Gomez', 'also', 'look-a-like', 'monster', 'socialite', 'who', 'brat', 'Gomez', 'mistaken', 'heiress', 'threesome', 'take', 'hotel', 'socialite', 'unplanned', 'spree', 'threesome', 'then', 'ventures', 'Monte', 'Carlo', 'socialite', 'place', 'plot', 'predictable..but', 'fun', 'Disney-ish', 'Frank', 'Capra', 'are', 'big', 'names', 'small', 'roles', 'film', 'Glee', 'Cory', 'Montieth', 'Emma', 'boyfriend', 'who', 'Paris', 'trio', 'four', 'scences', 'film', 'short', 'best', 'longer', 'cameo', 'Dr', 'Who', 'Catherine', 'Tate', 'end', 'film', 'cameo', 'However', 'Jane', 'Design', 'Andie', 'MacDowell', 'Make', 'Break', 'Brett', 'Cullen', 'appearances', 'are', 'wasted', 'Gomez', 'Meetser', 'parents', 'movie.The', 'direction', 'similar', 'modern', 'day', 'Disney', 'Teen', 'adventure', 'something', 'may', 'get', 'ABC', 'family', 'channel', 'many', 'levels', 'formula', 'adults', 'who', 'want', 'watch', 'something', 'teens', 'other', 'Pretty', 'Little', 'Liars', 'will', 'have', 'GREAT', 'TIME', 'watching', 'films', 'not', 'talk', 'audience..i', 'do', 'mean', 'formula', 'have', 'seen', 'intelligently', 'presented.Its', 'fun', 'four', 'star', 'way', 'Bennet', 'PomerantzAUDIOWORLD']",N/A
1372105,A1B0Q0ET5TN66I,B003Y5H52O,BrandyT,"[1, 8]","Boring!There is no action and certainly absolutely no plot. You would see more action by people watching anyone that passes by on any given sidewalk.This flick is yet another prince and the pauper ripoff, only with girls and they hardly never meet (No Character developement). There is a five minute plot halfway in about losing a necklace, but it's not worth producing a whole movie about. All you get really is just people walking around and talking.",1,Stinketh,1321660800,"11 19, 2011",2011,452,"['Boring', 'action', 'certainly', 'absolutely', 'plot', 'would', 'see', 'more', 'action', 'people', 'watching', 'anyone', 'given', 'sidewalk.This', 'flick', 'yet', 'prince', 'pauper', 'ripoff', 'only', 'girls', 'hardly', 'never', 'meet', 'No', 'Character', 'developement', 'five', 'minute', 'plot', 'halfway', 'losing', 'necklace', 'not', 'worth', 'producing', 'whole', 'movie', 'get', 'really', 'just', 'people', 'walking', 'around', 'talking']",N/A
1372106,AVT9Q9PTUCDMR,B003Y5H52O,Brian Maitland,"[0, 0]","The story is very lightweight really but I'll give them props for the settings--Paris and Monte Carlo. Cast was decent and it's fun but a little too predictable. Selena Gomez's English accent seemed to go in and out of character which sort of fit the scenes where she's pretending to be a princess.I just found this a bit too saccharine even for teenage girls who are the main demographic for this sort of thing.Kudos on the extras as they do a feature (for those same teenage girls) on the boys in the movie as well as this personality quiz to see which of the three sisters ""you"" are most like.",3,light tweenage chick flick,1348185600,"09 21, 2012",2012,596,"['story', 'very', 'lightweight', 'really', ""'ll"", 'give', 'props', 'settings', 'Paris', 'Monte', 'Carlo', 'Cast', 'was', 'decent', 'fun', 'little', 'too', 'predictable', 'Selena', 'Gomez', 'English', 'accent', 'seemed', 'go', 'character', 'sort', 'fit', 'scenes', 'where', 'pretending', 'be', 'princess.I', 'just', 'found', 'bit', 'too', 'saccharine', 'even', 'teenage', 'girls', 'who', 'are', 'main', 'demographic', 'sort', 'thing.Kudos', 'extras', 'do', 'feature', 'same', 'teenage', 'girls', 'boys', 'movie', 'as', 'well', 'personality', 'quiz', 'see', 'three', 'sisters', 'are', 'most']",N/A
1372107,A3PO3YRFX4BI2J,B003Y5H52O,CMCM,"[52, 59]","This was a really cute movie probably aimed at teens.  It was not meant to be high art, so I'm rating it for delivering a good job for what it was intended to be:  a cute and well written story about 3 nice and likeable Texas girls, mostly set in wonderful, romantic European settings, and just a lot of fun overall.  All three actresses were quite good and this was a nice afternoon escape film. It was nice to see a teen film that was pretty positive and wholesome for a change, not too old for its intended audience. I saw this in a theater mostly full of mid to late teen girls, and they all seemed to be enjoying it a lot.",4,Cute and enjoyable,1309651200,"07 3, 2011",2011,627,"['was', 'really', 'cute', 'movie', 'probably', 'aimed', 'teens', 'was', 'not', 'meant', 'be', 'high', 'art', ""'m"", 'rating', 'delivering', 'good', 'job', 'what', 'was', 'intended', 'be', 'cute', 'well', 'written', 'story', '3', 'nice', 'likeable', 'Texas', 'girls', 'mostly', 'set', 'wonderful', 'romantic', 'European', 'settings', 'just', 'lot', 'fun', 'overall', 'three', 'actresses', 'were', 'quite', 'good', 'was', 'nice', 'afternoon', 'escape', 'film', 'was', 'nice', 'see', 'teen', 'film', 'was', 'pretty', 'positive', 'wholesome', 'change', 'not', 'too', 'old', 'intended', 'audience', 'saw', 'theater', 'mostly', 'full', 'mid', 'late', 'teen', 'girls', 'seemed', 'be', 'enjoying', 'lot']",N/A
1372108,A25HMVL101P0RT,B003Y5H52O,Cookie Munchkin,"[1, 3]","This was a pretty good movie besides kissing and REALLY immodest oufits. It was also princess diaries again: in a way, that it. You see it's about Grace (selena gomez) and her step-sister I think and best friend who go to Paris because they want to take a ""break"" sort of, but they end up in Monte Carlo because she's mistaken for the princess person of Monte Carlo. It's pretty interesting, but it's a little like princess diaries. and there's lots of ""un-reasonableness"" in it, but it's a pretty good movie.",4,Princess Diaries: again,1310774400,"07 16, 2011",2011,509,"['was', 'pretty', 'good', 'movie', 'kissing', 'REALLY', 'immodest', 'oufits', 'was', 'also', 'princess', 'diaries', 'again', 'way', 'see', 'Grace', 'selena', 'gomez', 'step-sister', 'think', 'best', 'friend', 'who', 'go', 'Paris', 'want', 'take', 'break', 'sort', 'end', 'up', 'Monte', 'Carlo', 'mistaken', 'princess', 'person', 'Monte', 'Carlo', 'pretty', 'interesting', 'little', 'like', 'princess', 'diaries', 'lots', 'un-reasonableness', 'pretty', 'good', 'movie']",N/A
