,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1377254,A9RNMO9MUSMTJ,B003ZD9DX4,Andre Villemaire,"[1, 1]","we seen it before...they make a movie...we love it...they make a second one....itkinda stinks.  I really enjoyed the first one...and was happy that a second onewas made. But once you spend your hard earned money for the sequel, within minutesyou know that you've been had.  Space Chimp 2 does'nt have the magic from the firstone...what changed ?  One problem it seems that not all the same actors came backfor the sequel and with that im sure there are several elements. So now im stuckwith this below par sequel....but ill give it another chance on one of those rainydays...i have too, cause i sure did'nt get my money's worth with the first showing.",2,love the first one....the second is not as good....,1289952000,"11 17, 2010",2010,651,"['seen', 'make', 'movie', 'love', 'make', 'second', 'one', 'stinks', 'really', 'enjoyed', 'first', 'one', 'was', 'happy', 'second', 'onewas', 'made', 'once', 'spend', 'hard', 'earned', 'money', 'sequel', 'minutesyou', 'know', ""'ve"", 'been', 'had', 'Space', 'Chimp', '2', ""does'nt"", 'have', 'magic', 'firstone', 'what', 'changed', 'One', 'problem', 'not', 'same', 'actors', 'came', 'sequel', 'im', 'sure', 'are', 'several', 'elements', 'So', 'now', 'im', 'stuckwith', 'par', 'sequel', '.but', 'ill', 'give', 'chance', 'one', 'rainydays', 'i', 'have', 'too', 'cause', 'i', 'sure', ""did'nt"", 'get', 'money', 'worth', 'first', 'showing']",Space Chimps 2: Zartog Strikes Back
1377255,A3T4NFVA39YLK4,B003ZD9DX4,bigfan,"[0, 0]","I gave this as a gift request from a child, they loved the first one and wanted the second one.",5,Space Chimps 2,1386288000,"12 6, 2013",2013,95,"['gave', 'gift', 'request', 'child', 'loved', 'first', 'one', 'wanted', 'second', 'one']",Space Chimps 2: Zartog Strikes Back
1377256,A2OTX4X3895YXT,B003ZD9DX4,BuyCurious,"[0, 1]","My copy (from an Amazon seller) came with only one pair of red/blue 3D glasses--the box states there should be four pair of red/GREEN glasses (there is a difference!)...the movie is formatted for the red/green glasses so not sure why this 'new' item has the wrong quantity and type of glasses...perhaps a cheapened re-issue is the explanation--it's certainly not the first time I've gotten a 3D DVD with the wrong, or completely missing, 3D glasses.",3,not sure what is going on here....,1290038400,"11 18, 2010",2010,449,"['copy', 'Amazon', 'seller', 'came', 'only', 'one', 'pair', 'red/blue', '3D', 'glasses', 'box', 'states', 'should', 'be', 'four', 'pair', 'red/GREEN', 'glasses', 'difference', 'movie', 'formatted', 'red/green', 'glasses', 'so', 'not', 'sure', 'why', ""'new"", 'item', 'wrong', 'quantity', 'type', 'glasses', 'perhaps', 'cheapened', 're-issue', 'explanation', 'certainly', 'not', 'first', 'time', ""'ve"", 'gotten', '3D', 'DVD', 'wrong', 'completely', 'missing', '3D', 'glasses']",Space Chimps 2: Zartog Strikes Back
1377257,A3ZDQ20ELBHC,B003ZD9DX4,"Cameron Bell ""gevous""","[0, 0]",it awesome movie it not long as I thought but it still good .  the alien got out of  sliver paint and try to get every one to bow down to him .  and the ape who made the banna talkie goes to space not mean to,4,sweet,1368144000,"05 10, 2013",2013,208,"['movie', 'not', 'long', 'thought', 'still', 'good', 'alien', 'got', 'sliver', 'paint', 'try', 'get', 'one', 'bow', 'down', 'ape', 'who', 'made', 'banna', 'talkie', 'space', 'not', 'mean']",Space Chimps 2: Zartog Strikes Back
1377258,AMA6SPA2A43JH,B003ZD9DX4,Cassie,"[1, 3]","I loved ""Space Chimp"", but I will not be buying the sequel. The reason is there is no full screen. ""Space Chimp"" was widescreen and full screen to accomodate everyone, but ""Space Chimps 2"" has only widescreen. If it had full screen too then I would have bought it, if for no other reason then because I loved the first one so much.",1,missing format,1290211200,"11 20, 2010",2010,331,"['loved', 'Space', 'Chimp', 'will', 'not', 'be', 'buying', 'sequel', 'reason', 'full', 'screen', 'Space', 'Chimp', 'was', 'widescreen', 'full', 'screen', 'accomodate', 'everyone', 'Space', 'Chimps', '2', 'only', 'widescreen', 'had', 'full', 'screen', 'too', 'then', 'would', 'have', 'bought', 'other', 'reason', 'then', 'loved', 'first', 'one', 'so', 'much']",Space Chimps 2: Zartog Strikes Back
1377259,AUB63WPLPC65G,B003ZD9DX4,"C. Roth ""Yubba Yubba""","[0, 0]","Standard straight to video fair.  Not very interesting or remarkable.  The kids laughed a couple of times...  So yea, probably not worth it.",2,Mehhh,1391990400,"02 10, 2014",2014,140,"['Standard', 'straight', 'video', 'fair', 'Not', 'very', 'interesting', 'remarkable', 'kids', 'laughed', 'couple', 'times', 'So', 'yea', 'probably', 'not', 'worth']",Space Chimps 2: Zartog Strikes Back
1377260,A17S2EJKFJOVED,B003ZD9DX4,"C. Smith ""ccasmith""","[0, 0]",I like the first one and the second one was even better then the first it is funny and a great one to watch with the kids.,5,Space Chimps 2,1369267200,"05 23, 2013",2013,122,"['like', 'first', 'one', 'second', 'one', 'was', 'even', 'better', 'then', 'first', 'funny', 'great', 'one', 'watch', 'kids']",Space Chimps 2: Zartog Strikes Back
1377261,A3T6BFZ0CYV6KK,B003ZD9DX4,Donna Dobbins,"[0, 0]",very funny movie the circus chimp is still up to his same ole tricks right along with Zartog he's funny,5,great movie,1364083200,"03 24, 2013",2013,103,"['very', 'funny', 'movie', 'circus', 'chimp', 'still', 'up', 'same', 'ole', 'tricks', 'right', 'Zartog', 'funny']",Space Chimps 2: Zartog Strikes Back
1377262,A29TKSIWA3JKF3,B003ZD9DX4,Einsatz,"[0, 0]","Only some of the voice talents came back for this sequel.  One wonders why they didn't jump ship while they had the chance to run for cover.This movie begins with a rehash of the first movie before dragging out a lazy plot that serves no real purpose.  Half of the movie is barely a tour of the planet Malgor with Comet and Kilowatt, while the other half involves dodging the lunacy of Zartog who plots the kill Ham III and take over Earth.  Few people or chimps are present.  The story is mercifully short (but not short enough).  The fact that a chimp could hijack a rocket and no one notices this fairly illustrated just how little thought went into this dismal follow up to Space Chimps.  (And, if they said it once they said it too often, ""you're missing a link."")  A plot actually, but who's going to notice or complain?This one went into the discard pile immediately after watching it.",2,"""To infinity and a blonde!""",1389571200,"01 13, 2014",2014,892,"['Only', 'voice', 'talents', 'came', 'back', 'sequel', 'One', 'why', 'did', ""n't"", 'jump', 'ship', 'had', 'chance', 'run', 'cover.This', 'movie', 'rehash', 'first', 'movie', 'dragging', 'out', 'lazy', 'plot', 'real', 'purpose', 'Half', 'movie', 'barely', 'tour', 'planet', 'Malgor', 'Comet', 'Kilowatt', 'other', 'half', 'dodging', 'lunacy', 'Zartog', 'who', 'plots', 'kill', 'Ham', 'III', 'take', 'over', 'Earth', 'Few', 'people', 'chimps', 'are', 'present', 'story', 'mercifully', 'short', 'not', 'short', 'enough', 'fact', 'chimp', 'could', 'hijack', 'rocket', 'one', 'fairly', 'illustrated', 'just', 'how', 'little', 'thought', 'went', 'dismal', 'follow', 'up', 'Space', 'Chimps', 'said', 'once', 'said', 'too', 'often', ""'re"", 'missing', 'link', 'plot', 'actually', 'who', 'going', 'notice', 'complain', 'one', 'went', 'discard', 'pile', 'immediately', 'watching']",Space Chimps 2: Zartog Strikes Back
1377263,AHF97M45JFCB,B003ZD9DX4,ONENEO,"[2, 2]","Boy if not for a few of Pixar's franchises (Toy Story mainly), one could really start to fear there's no such thing as a good computer generated animated sequel.  I suppose that isn't entirely accurate; a case could be made for some of the Shrek films, perhaps the Ice Ages and Kung-Fu Panda but by and large (uh hum Open Season 2 & 3), usually direct to DVD sequels leave a lot to be desired!Even realizing this, I still took a chance on Space Chimps 2; if, for nothing else, because the first film came out of seemingly nowhere and dazzled with some genuinely funny moments.  The second one however showed immediate signs of concern: Gone was the Starz network affiliation, decreased was the budget and axed was the individual who I'm quite certain made the first film so memorable, Andy Samberg of Saturday Night Live fame.All factors considered, there was a strong chance this film would be a complete and utter disaster.  The good news is that it isn't anywhere near as bad as expected.  The bad news is that it's nowhere near as good as it could have been either.  What you get with Space Chimps 2 is 76-minutes worth of lighthearted computer animation that will likely elicit giggles out of the younger crowd but leave more mature audiences checking the time on their watches.  I suppose another way of saying it would be that there is nothing particularly offensive about Space Chimps 2, but in an era where we have been spoiled in this medium by the likes of Pixar and DreamWorks, this one does absolutely nothing to separate itself from the masses.The story here is quite basic and uninspired; the technical genius chimp Comet from the first film is bummed that he never got to join Ham, Titan and Luna on their space mission and actually gets cut at the last minute (due to budget restraints) from an upcoming mission to return through the wormhole.To further crimp his chimp style, it turns out that via the power of the Internet and webcams, Comet has become good pals with the bulbously headed alien girl Kilowatt from the first film, and their eventual meeting is a pretty big deal for all involved.  Thanks to some mishaps, a little cartoon mayhem, and some laughably inaccurate space/ distance traversing, Comet ends up making his disproportionate alien chickie quite a happy little light bulb-head.Zartog in the mean time comes out of his stasis with suspicious ease and finds himself stuck on earth.  Mistaking the chimp Ham for the leader of all humanity, his plans of intergalactic domination pick up right where they left off in the first tale.The plot, in case this summary doesn't do it justice, comes off as almost an afterthought intended to string the various scenes together rather than as the starting point of a genuine story.  The point that Comet is generally under-appreciated by his peers is driven home so that even the most oblivious viewer can't miss it.  The characters have certainly lost a lot of their richness this time around as well.  Titan (again voiced perfectly by Patrick Warburton) has taken a turn for the clueless and Ham, the very star of the first film, is a one-dimensional shell of his former self.As expected with this type of film, much of the comedic attempts are done visually with slapstick, falls, crashes and so on.  Kids will likely get a rise out of these antics primarily in spite of the paper-thin plot structure.Whereas the first film poked fun of the government, NASA, and humanity in general enough to keep adults entertained, this time around the cleverness is much fewer and farther between.  However, and possibly this whole movie's saving grace, these moments haven't been eliminated completely.  Scenes where pedestrians hit the runaway alien Zartog with their car and wonder if such damage would be covered by their insurance and a dance routine with one of NASA's top scientists in which he busts out, ""When I say Hubble You Say Telescope"" keep this one from being a total washout.Of course the majority of the runtime finds puns aplenty, many of which are a bit beyond the scope of the younger viewer but not clever enough to impress the adults (Blackberry smartphone called the Banana-berry for example).In all, this one had all the makings of an utter disaster but comes off as only a minor one.  A few moments are genuine enough to warrant picking it up as a rental for a rainy night- especially if you some youngsters to entertain- but the much farther-reaching charms of the first film have not transferred.  Couple this fact to the 76-runtime and a DVD with virtually no bonuses or special features and what you get with Space Chimps 2 is a little over an hour of mediocrity.",3,Direct to DVD Mediocrity,1311292800,"07 22, 2011",2011,4658,"['Boy', 'not', 'few', 'Pixar', 'franchises', 'Toy', 'Story', 'mainly', 'one', 'could', 'really', 'start', 'fear', 'such', 'thing', 'good', 'computer', 'generated', 'animated', 'sequel', 'suppose', ""n't"", 'entirely', 'accurate', 'case', 'could', 'be', 'made', 'Shrek', 'films', 'perhaps', 'Ice', 'Ages', 'Kung-Fu', 'Panda', 'large', 'uh', 'hum', 'Open', 'Season', '2', '3', 'usually', 'direct', 'DVD', 'sequels', 'leave', 'lot', 'be', 'desired', 'Even', 'realizing', 'still', 'took', 'chance', 'Space', 'Chimps', '2', 'nothing', 'else', 'first', 'film', 'came', 'seemingly', 'nowhere', 'dazzled', 'genuinely', 'funny', 'moments', 'second', 'one', 'however', 'showed', 'immediate', 'signs', 'concern', 'Gone', 'was', 'Starz', 'network', 'affiliation', 'decreased', 'was', 'budget', 'axed', 'was', 'individual', 'who', ""'m"", 'quite', 'certain', 'made', 'first', 'film', 'so', 'memorable', 'Andy', 'Samberg', 'Saturday', 'Night', 'Live', 'fame.All', 'factors', 'considered', 'was', 'strong', 'chance', 'film', 'would', 'be', 'complete', 'utter', 'disaster', 'good', 'news', ""n't"", 'anywhere', 'as', 'bad', 'expected', 'bad', 'news', 'nowhere', 'near', 'as', 'good', 'could', 'have', 'been', 'What', 'get', 'Space', 'Chimps', '2', '76-minutes', 'worth', 'lighthearted', 'computer', 'animation', 'will', 'likely', 'elicit', 'giggles', 'younger', 'crowd', 'leave', 'more', 'mature', 'audiences', 'checking', 'time', 'watches', 'suppose', 'way', 'saying', 'would', 'be', 'nothing', 'particularly', 'offensive', 'Space', 'Chimps', '2', 'era', 'where', 'have', 'been', 'spoiled', 'medium', 'likes', 'Pixar', 'DreamWorks', 'one', 'absolutely', 'nothing', 'separate', 'masses.The', 'story', 'here', 'quite', 'basic', 'uninspired', 'technical', 'genius', 'chimp', 'Comet', 'first', 'film', 'bummed', 'never', 'got', 'join', 'Ham', 'Titan', 'Luna', 'space', 'mission', 'actually', 'cut', 'last', 'minute', 'due', 'budget', 'restraints', 'upcoming', 'mission', 'return', 'wormhole.To', 'further', 'crimp', 'chimp', 'style', 'out', 'power', 'Internet', 'webcams', 'Comet', 'become', 'good', 'pals', 'bulbously', 'headed', 'alien', 'girl', 'Kilowatt', 'first', 'film', 'eventual', 'meeting', 'pretty', 'big', 'deal', 'involved', 'Thanks', 'mishaps', 'little', 'cartoon', 'mayhem', 'laughably', 'inaccurate', 'space/', 'distance', 'traversing', 'Comet', 'up', 'making', 'disproportionate', 'alien', 'chickie', 'quite', 'happy', 'little', 'light', 'bulb-head.Zartog', 'mean', 'time', 'stasis', 'suspicious', 'ease', 'stuck', 'earth', 'Mistaking', 'chimp', 'Ham', 'leader', 'humanity', 'plans', 'intergalactic', 'domination', 'pick', 'up', 'right', 'where', 'left', 'off', 'first', 'tale.The', 'plot', 'case', 'summary', ""n't"", 'do', 'justice', 'off', 'almost', 'afterthought', 'intended', 'string', 'various', 'scenes', 'together', 'rather', 'starting', 'point', 'genuine', 'story', 'point', 'Comet', 'generally', 'under-appreciated', 'peers', 'driven', 'home', 'even', 'most', 'oblivious', 'viewer', 'ca', ""n't"", 'miss', 'characters', 'have', 'certainly', 'lost', 'lot', 'richness', 'time', 'around', 'as', 'well', 'Titan', 'again', 'voiced', 'perfectly', 'Patrick', 'Warburton', 'taken', 'turn', 'clueless', 'Ham', 'very', 'star', 'first', 'film', 'one-dimensional', 'shell', 'former', 'self.As', 'expected', 'type', 'film', 'much', 'comedic', 'attempts', 'are', 'done', 'visually', 'slapstick', 'crashes', 'so', 'Kids', 'will', 'likely', 'get', 'rise', 'antics', 'primarily', 'spite', 'paper-thin', 'plot', 'structure.Whereas', 'first', 'film', 'poked', 'fun', 'government', 'NASA', 'humanity', 'general', 'enough', 'keep', 'adults', 'entertained', 'time', 'cleverness', 'much', 'fewer', 'farther', 'However', 'possibly', 'whole', 'movie', 'saving', 'grace', 'moments', 'have', ""n't"", 'been', 'eliminated', 'completely', 'Scenes', 'where', 'pedestrians', 'hit', 'runaway', 'alien', 'Zartog', 'car', 'wonder', 'such', 'damage', 'would', 'be', 'covered', 'insurance', 'dance', 'routine', 'one', 'NASA', 'top', 'scientists', 'out', 'When', 'say', 'Hubble', 'Say', 'Telescope', 'keep', 'one', 'being', 'total', 'washout.Of', 'course', 'majority', 'runtime', 'puns', 'aplenty', 'many', 'are', 'bit', 'scope', 'younger', 'viewer', 'not', 'clever', 'enough', 'impress', 'adults', 'Blackberry', 'smartphone', 'called', 'Banana-berry', 'example', 'one', 'had', 'makings', 'utter', 'disaster', 'off', 'only', 'minor', 'one', 'few', 'moments', 'are', 'genuine', 'enough', 'warrant', 'picking', 'up', 'rental', 'rainy', 'night-', 'especially', 'youngsters', 'entertain-', 'much', 'farther-reaching', 'charms', 'first', 'film', 'have', 'not', 'transferred', 'Couple', 'fact', '76-runtime', 'DVD', 'virtually', 'bonuses', 'special', 'features', 'what', 'get', 'Space', 'Chimps', '2', 'little', 'hour', 'mediocrity']",Space Chimps 2: Zartog Strikes Back
