,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1379012,A1AD9GUL4O81UO,B004083REE,AlexsDad,"[0, 0]","Season 4 begins with Rhoda's divorced being final. Joe's name is never uttered. As Rhoda vents her frustration about her divorce decree, Ida knocks on her door. Ida is back!! Thank God! Harold Gould, too, returns to make a few appearances as her father, Martin. Also this season, Rhoda abandons her ""Windows by Rhoda,"" business and gets hired by a costumer, Jack Doyle. Brenda dates both Gary and Benny.Guest stars this season include Judd Hirsch, whom I had read had been considered for the role of Joe Gerard. The chemistry was certainly there with he and Valerie, and the contentious sparks between he and Ida are great. If the producers had cast Judd as Joe, I strongly suspect that they would have been able to successfully write Rhoda as a married woman.A particular favorite episode of mine is the one with home movies. At a boring family dinner, they end up watching home movies. Of course, the audience has to accept the alleged fact that Ida and Martin had had a home movie camera in 1942 when Rhoda was baby. The episode is hysterical as the home movies capture styles of the time periods that the movies were taken and as the characters make their current day comments on what they are watching.Rhoda as a single gal in NYC works.",5,Rhoda is divorced and Ida is back!!!,1357171200,"01 3, 2013",2013,1242,"['Season', '4', 'begins', 'Rhoda', 'divorced', 'being', 'final', 'Joe', 'name', 'never', 'uttered', 'Rhoda', 'vents', 'frustration', 'divorce', 'decree', 'Ida', 'door', 'Ida', 'back', 'Thank', 'God', 'Harold', 'Gould', 'too', 'returns', 'make', 'few', 'appearances', 'father', 'Martin', 'Also', 'season', 'Rhoda', 'Windows', 'Rhoda', 'business', 'hired', 'costumer', 'Jack', 'Doyle', 'Brenda', 'Gary', 'Benny.Guest', 'season', 'include', 'Judd', 'Hirsch', 'whom', 'had', 'read', 'had', 'been', 'considered', 'role', 'Joe', 'Gerard', 'chemistry', 'was', 'certainly', 'there', 'Valerie', 'contentious', 'sparks', 'Ida', 'are', 'great', 'producers', 'had', 'cast', 'Judd', 'Joe', 'strongly', 'suspect', 'would', 'have', 'been', 'able', 'successfully', 'write', 'Rhoda', 'married', 'woman.A', 'particular', 'favorite', 'episode', 'mine', 'one', 'home', 'movies', 'boring', 'family', 'dinner', 'end', 'up', 'watching', 'home', 'movies', 'course', 'audience', 'accept', 'alleged', 'fact', 'Ida', 'Martin', 'had', 'had', 'home', 'movie', 'camera', '1942', 'when', 'Rhoda', 'was', 'baby', 'episode', 'hysterical', 'home', 'movies', 'capture', 'styles', 'time', 'periods', 'movies', 'were', 'taken', 'characters', 'make', 'current', 'day', 'comments', 'what', 'are', 'watching.Rhoda', 'single', 'gal', 'NYC', 'works']",Rhoda: Season 4
1379013,A14GOIC2XB5CAD,B004083REE,"Anthony Chiappette ""chippe01""","[8, 8]","I love this show, and give it 5 stars, for the show itself.  However, I don't know if this was a mastering problem, but the video in this release is choppy.  It seems like they've upsampled the frame rate or something, but it's not smooth at all.I haven't gotten though the first disc yet because of this.  the problem is particularly evident in the 4th season opener, when Rhoda throws the newspapers up in the air, and also the bit with the beads. It's also very evident in panning shots, which should pan smoothly from one side to the other, but this is very choppy as well.The problem does not exist in the previews included on Disc 1 as they play smoothly.  It's only in the episodes I see the choppiness.  Thinking maybe it was just the first episode, I sampled various episodes on all discs, and the problem is persistent throughout the set.I've tried the discs in my home DVD player, as well as my PC - which can play 3D 1080P Blu Ray just fine.Has anyone else noticed this?",3,"I love the show, but the video is choppy",1287446400,"10 19, 2010",2010,982,"['love', 'show', 'give', '5', 'stars', 'show', 'However', 'do', ""n't"", 'know', 'was', 'mastering', 'problem', 'video', 'release', 'choppy', ""'ve"", 'upsampled', 'frame', 'rate', 'something', 'not', 'smooth', 'all.I', 'have', ""n't"", 'gotten', 'first', 'disc', 'yet', 'problem', 'particularly', 'evident', '4th', 'season', 'opener', 'when', 'Rhoda', 'newspapers', 'up', 'air', 'also', 'bit', 'beads', 'also', 'very', 'evident', 'panning', 'shots', 'should', 'pan', 'smoothly', 'one', 'side', 'other', 'very', 'choppy', 'well.The', 'problem', 'not', 'exist', 'previews', 'included', 'Disc', '1', 'play', 'smoothly', 'only', 'episodes', 'see', 'choppiness', 'Thinking', 'maybe', 'was', 'just', 'first', 'episode', 'sampled', 'various', 'episodes', 'discs', 'problem', 'persistent', 'set.I', ""'ve"", 'tried', 'discs', 'home', 'DVD', 'player', 'as', 'well', 'PC', 'can', 'play', '3D', '1080P', 'Blu', 'Ray', 'just', 'fine.Has', 'anyone', 'else', 'noticed']",Rhoda: Season 4
1379014,A2CP4N7R587T3C,B004083REE,D. A. Nicastro,"[0, 0]","First, the only problem I saw on the dvd was the last episode's abrupt ending. It just ends? Second, I have never seen a series where each year gets worse. Series usually get stronger as they reach 3rd season or so. Not in Rhoda's case. Season 1 was the best (even though the dvd was edited.) But as a series it was the best. Season 2 wasn't as good. Season 3 was even worse. Get my drift? Each season got worse. I have even seen part of season 5. I can see why it was cancelled. It was almost unbearable! What a shame...",3,Rhoda continues its decline.,1379289600,"09 16, 2013",2013,521,"['First', 'only', 'problem', 'saw', 'dvd', 'was', 'last', 'episode', 'abrupt', 'ending', 'just', 'Second', 'have', 'never', 'seen', 'series', 'where', 'year', 'worse', 'Series', 'usually', 'get', 'stronger', 'reach', '3rd', 'season', 'so', 'Not', 'Rhoda', 'case', 'Season', '1', 'was', 'best', 'even', 'dvd', 'was', 'edited', 'series', 'was', 'best', 'Season', '2', 'was', ""n't"", 'as', 'good', 'Season', '3', 'was', 'even', 'worse', 'Get', 'drift', 'season', 'got', 'worse', 'have', 'even', 'seen', 'part', 'season', '5', 'can', 'see', 'why', 'was', 'cancelled', 'was', 'almost', 'unbearable', 'What', 'shame']",Rhoda: Season 4
1379015,A1MLMANJTIRI35,B004083REE,"Frank C. Murillo ""movie man""","[3, 4]","I don't know what Amazon is getting lacks in informing us when some dvds are coming out, The Fourth Season of Rhoda is now available from Shout factory direct, with no information available here on amazon, the are behind with Six Million Dollar Man listings too the whole series is available from time life in November, Amazon get on the ball.",5,if amazon doesn't have it look somewhere else,1285804800,"09 30, 2010",2010,343,"['do', ""n't"", 'know', 'what', 'Amazon', 'getting', 'lacks', 'informing', 'when', 'dvds', 'are', 'coming', 'out', 'Fourth', 'Season', 'Rhoda', 'now', 'available', 'Shout', 'factory', 'direct', 'information', 'available', 'here', 'amazon', 'are', 'Six', 'Million', 'Dollar', 'Man', 'too', 'whole', 'series', 'available', 'time', 'life', 'November', 'Amazon', 'get', 'ball']",Rhoda: Season 4
1379016,A1LEJ6348CU275,B004083REE,Gregory Shanley,"[2, 2]","So glad to get ""Rhoda"" season4 through Amazon as Shout couldn't sell outside the US.I have to say I didn't like Rhoda in the custome hire shop with Jack,it took a lot of independance away from the character but Valerie Harper and Julie Kavner are still giving top performances as Rhoda and Brenda.Nancy Walker makes a welcome return as the scene stealing Ida,one of the best epiosdes in season4 is ""Blind Date"" when Ida fixs Rhoda up with an old high school classmate Steve(Alan Landsberg)who is very short and bald,Rhoda goes on a 2nd date with him,to prove she's not shallow and he is painfully rude to her,love it when she explodes!Its a shame we never see Joe(David Groh)again in the series or Myrna or Susie from earlier seasons but the picture quality is excellent,shame the last episode finishes abruptly,seems to have a minute cut out,glad I still have the vhs of it.",4,Great Picture Quality,1295654400,"01 22, 2011",2011,875,"['So', 'glad', 'get', 'Rhoda', 'season4', 'Amazon', 'Shout', 'could', ""n't"", 'sell', 'US.I', 'have', 'say', 'did', ""n't"", 'like', 'Rhoda', 'custome', 'hire', 'shop', 'Jack', 'took', 'lot', 'independance', 'away', 'character', 'Valerie', 'Harper', 'Julie', 'Kavner', 'are', 'still', 'giving', 'top', 'performances', 'Rhoda', 'Brenda.Nancy', 'Walker', 'welcome', 'return', 'scene', 'stealing', 'Ida', 'one', 'best', 'epiosdes', 'season4', 'Blind', 'Date', 'when', 'Ida', 'fixs', 'Rhoda', 'up', 'old', 'high', 'school', 'classmate', 'Steve', 'Alan', 'Landsberg', 'who', 'very', 'short', 'bald', 'Rhoda', '2nd', 'date', 'prove', 'not', 'shallow', 'painfully', 'rude', 'love', 'when', 'shame', 'never', 'see', 'Joe', 'David', 'Groh', 'again', 'series', 'Myrna', 'Susie', 'earlier', 'seasons', 'picture', 'quality', 'excellent', 'shame', 'last', 'episode', 'finishes', 'abruptly', 'have', 'minute', 'cut', 'out', 'glad', 'still', 'have', 'vhs']",Rhoda: Season 4
1379017,A2LXCSX9BKQ2UG,B004083REE,JOHN D DICKEY,"[0, 0]","Wonderful sit-com series that ended too soon, in spite of the absence of Joe. Johnny Venture (Michael DeLano) was great in his over-the-top characterization of the lounge entertainer.",5,A VERY FUNNY AND POIGNANT TV ENTRY THAT ENDED PRE-MATURELY...,1384732800,"11 18, 2013",2013,183,"['Wonderful', 'sit-com', 'series', 'ended', 'too', 'soon', 'spite', 'absence', 'Joe', 'Johnny', 'Venture', 'Michael', 'DeLano', 'was', 'great', 'over-the-top', 'characterization', 'lounge', 'entertainer']",Rhoda: Season 4
1379018,A04736251DAAQ7EXJ44VS,B004083REE,John R. Schwartz,"[0, 0]","Have always in enjoued teh character Rhosa,first when co-starred on The Mary Tyler Moore series,then when she spun-off on to her own series. I feel the way the writers planned it-out with marriage&#62; followed by breakup&#62;followed by the divorce&#62;then showing her as the independent woman ,that she is that she didn't need male counterpart to sustain her character-BRAVO- RHODA(Valerie Harper)! Think Alot of Rhoda character,was reflected byValerie Harper,herself!",4,Rhoda-Season 4,1361145600,"02 18, 2013",2013,471,"['Have', 'always', 'enjoued', 'teh', 'character', 'Rhosa', 'first', 'when', 'co-starred', 'Mary', 'Tyler', 'Moore', 'series', 'then', 'when', 'spun-off', 'own', 'series', 'feel', 'way', 'writers', 'planned', 'it-out', 'marriage', '62', 'followed', 'breakup', '62', 'followed', 'divorce', '62', 'then', 'showing', 'independent', 'woman', 'did', ""n't"", 'need', 'male', 'counterpart', 'sustain', 'character-BRAVO-', 'RHODA', 'Valerie', 'Harper', 'Think', 'Alot', 'Rhoda', 'character', 'was', 'reflected', 'byValerie', 'Harper']",Rhoda: Season 4
1379019,A1CS70DT7ZPCJJ,B004083REE,Kasey G,"[55, 55]","After a melancholy Season Three chronicling Rhoda's separation and eventual divorce from Joe, the show bounces back in its fourth season, originally airing Sunday nights at 8pm on CBS during the 1977-78 TV season with a total of 24 episodes.First, the bad: The script quality was declining at this point, but the cast gamely did their best with what they were given.The good news is that Nancy Walker returns after a one-year absence (and two failed sitcom attempts at rival network ABC: ""The Nancy Walker Show""; ""Blansky's Beauties""). Her scenes with Harper and Kavner are always high points of the show. Kavner even won an Emmy for Best Supporting Actress in a Comedy Series for her work this season, beating out Sally Struthers.With Joe out of the picture for good, the series can now focus on Rhoda and Brenda as two swinging singles in the Big Apple during the disco era. Even the opening credits reflect this, with location scenes of ""Rho and Bren"" throughout NYC backed by the absolute best version of the catchy theme song to date. (This version will get stuck in your head for days, with its powerhouse drumming and lovely bells and chimes).Valerie Harper looks somewhat emaciated when the season begins, and Julie Kavner has grown her hair long, though she goes back to her medium-length hairstyle by mid-season.Rhoda begins her new job working at a costume shop for gruff boss Jack Doyle. Friend and neighbour Gary (Ron Silver) is still in the picture, and Brenda is dating the rollerskating toll-booth operator Benny. Rhoda occasionally dates the flashy nightclub singer Johnny Venture. Verna, the crazy cat lady appears for a few episodes.While many viewers have stated the show had clearly Jumped the Shark at this point, I suggest giving it a second chance because it actually plays better now compared to most of the subpar sitcoms of the late-1990s-today currently in syndication.Some of the more memorable episodes this season include the opener where Ida returns from a one-year travelling vacation; ""Who's Shy"" in which Brenda joins a help group to become more assertive (watch for her dead-on Ida impression); ""So Long, Lucky"" (with ""Phyllis"" star Carmine Caridi) where Rhoda seems to have ""cursed"" a NYC cop; and ""Five For the Road"", which has the gang stranded during a road trip.Shout! Factory has really done right by the fans by continuing to release ""Rhoda"" on DVD. After the Season One debacle with cut and faded prints, they have redeemed themselves because the episodes on subsequent releases look better than ever! The cover art has been gorgeous and the menus very well-done.The design and layout of Season 4 seems a little cheaper than previous releases, but this is still a quality product we should be very grateful for. This volume uses the same graphics and layout as previous releases. However, like other Shout! Select titles, they have forgone the outer box/slim cases format and this set comes in a plastic snapcase. Also, the original episode airdates are not listed this time around.The menus are more static and the closing theme loops as we see an episode selection and the same image of Rhoda that appears on the cover.As with Seasons 2 and 3, the picture has been remastered and has never looked this good before. I can finally toss my old VHS tapes from WTN and Nick@Nite!Fans need to support this Shout! select title so that they will soon bring us the fifth and final season on DVD. You can order it direct from the Shout Factory website. Once there, you will find S4 of ""Rhoda"" under the Shout Select tab, which features all their online exclusives. Here's hoping after that they will bring us a complete series set of ""Phyllis""!",5,The Series Faulters But This Set Is Still a Must Have!,1284768000,"09 18, 2010",2010,3680,"['melancholy', 'Season', 'Three', 'chronicling', 'Rhoda', 'separation', 'eventual', 'divorce', 'Joe', 'show', 'back', 'fourth', 'season', 'originally', 'airing', 'Sunday', 'nights', '8pm', 'CBS', '1977-78', 'TV', 'season', 'total', '24', 'episodes.First', 'bad', 'script', 'quality', 'was', 'declining', 'point', 'cast', 'gamely', 'did', 'best', 'what', 'were', 'given.The', 'good', 'news', 'Nancy', 'Walker', 'one-year', 'absence', 'two', 'failed', 'sitcom', 'attempts', 'rival', 'network', 'ABC', 'Nancy', 'Walker', 'Show', 'Blansky', 'Beauties', 'scenes', 'Harper', 'Kavner', 'are', 'always', 'high', 'points', 'show', 'Kavner', 'even', 'won', 'Emmy', 'Best', 'Supporting', 'Actress', 'Comedy', 'Series', 'work', 'season', 'beating', 'out', 'Sally', 'Struthers.With', 'Joe', 'picture', 'good', 'series', 'can', 'now', 'focus', 'Rhoda', 'Brenda', 'two', 'swinging', 'singles', 'Big', 'Apple', 'disco', 'era', 'Even', 'opening', 'credits', 'reflect', 'location', 'scenes', 'Rho', 'Bren', 'NYC', 'backed', 'absolute', 'best', 'version', 'catchy', 'theme', 'song', 'date', 'version', 'will', 'get', 'stuck', 'head', 'days', 'powerhouse', 'drumming', 'lovely', 'bells', 'chimes', '.Valerie', 'Harper', 'somewhat', 'emaciated', 'when', 'season', 'Julie', 'Kavner', 'grown', 'hair', 'long', 'back', 'medium-length', 'hairstyle', 'mid-season.Rhoda', 'begins', 'new', 'job', 'working', 'costume', 'shop', 'gruff', 'boss', 'Jack', 'Doyle', 'Friend', 'neighbour', 'Gary', 'Ron', 'Silver', 'still', 'picture', 'Brenda', 'dating', 'rollerskating', 'toll-booth', 'operator', 'Benny', 'Rhoda', 'occasionally', 'flashy', 'nightclub', 'singer', 'Johnny', 'Venture', 'Verna', 'crazy', 'cat', 'lady', 'few', 'episodes.While', 'many', 'viewers', 'have', 'stated', 'show', 'had', 'clearly', 'Jumped', 'Shark', 'point', 'suggest', 'giving', 'second', 'chance', 'actually', 'better', 'now', 'compared', 'most', 'subpar', 'sitcoms', 'late-1990s-today', 'currently', 'syndication.Some', 'more', 'memorable', 'episodes', 'season', 'include', 'opener', 'where', 'Ida', 'one-year', 'travelling', 'vacation', 'Who', 'Shy', 'Brenda', 'help', 'group', 'become', 'more', 'assertive', 'watch', 'dead-on', 'Ida', 'impression', 'So', 'Long', 'Lucky', 'Phyllis', 'star', 'Carmine', 'Caridi', 'where', 'Rhoda', 'have', 'cursed', 'NYC', 'cop', 'Five', 'Road', 'gang', 'stranded', 'road', 'trip.Shout', 'Factory', 'really', 'done', 'right', 'fans', 'continuing', 'release', 'Rhoda', 'DVD', 'Season', 'One', 'debacle', 'cut', 'faded', 'prints', 'have', 'redeemed', 'episodes', 'subsequent', 'releases', 'look', 'better', 'ever', 'cover', 'art', 'been', 'gorgeous', 'menus', 'very', 'well-done.The', 'design', 'layout', 'Season', '4', 'little', 'cheaper', 'previous', 'releases', 'still', 'quality', 'product', 'should', 'be', 'very', 'grateful', 'volume', 'same', 'graphics', 'layout', 'previous', 'releases', 'However', 'other', 'Shout', 'Select', 'titles', 'have', 'forgone', 'outer', 'box/slim', 'cases', 'format', 'set', 'plastic', 'snapcase', 'Also', 'original', 'episode', 'airdates', 'are', 'not', 'listed', 'time', 'around.The', 'menus', 'are', 'more', 'static', 'closing', 'theme', 'see', 'episode', 'selection', 'same', 'image', 'Rhoda', 'cover.As', 'Seasons', '2', '3', 'picture', 'been', 'remastered', 'never', 'looked', 'good', 'can', 'finally', 'toss', 'old', 'VHS', 'tapes', 'WTN', 'Nick', '@', 'Nite', 'Fans', 'need', 'support', 'Shout', 'select', 'title', 'will', 'soon', 'bring', 'fifth', 'final', 'season', 'DVD', 'can', 'order', 'direct', 'Shout', 'Factory', 'website', 'Once', 'there', 'will', 'find', 'S4', 'Rhoda', 'Shout', 'Select', 'tab', 'online', 'exclusives', 'Here', 'hoping', 'will', 'bring', 'complete', 'series', 'set', 'Phyllis']",Rhoda: Season 4
1379020,AM9TZBQFLSNNT,B004083REE,Kate,"[0, 0]",I loved this series but I didn't like it once the story changed. I won't say how in case someone hasn't seen it.,4,Love Rhoda,1382140800,"10 19, 2013",2013,112,"['loved', 'series', 'did', ""n't"", 'like', 'once', 'story', 'changed', 'wo', ""n't"", 'say', 'how', 'case', 'someone', ""n't"", 'seen']",Rhoda: Season 4
1379021,A192TR06IXSTBL,B004083REE,Kindle Customer,"[0, 0]","I've been so thrilled with the release of the Rhoda episodes. I love this series, but what about season 5?. Will shout release the last season so we can complete the collection. I have the last season on VHS but would be great to have all on DVD. Lets go Shout whats taking so long.",5,I love Rhoda! Where's season 5?,1318723200,"10 16, 2011",2011,282,"[""'ve"", 'been', 'so', 'thrilled', 'release', 'Rhoda', 'episodes', 'love', 'series', 'what', 'season', '5', 'Will', 'shout', 'release', 'last', 'season', 'can', 'complete', 'collection', 'have', 'last', 'season', 'VHS', 'would', 'be', 'great', 'have', 'DVD', 'Lets', 'go', 'Shout', 'whats', 'taking', 'so', 'long']",Rhoda: Season 4
