,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1381348,A2PV6GK1HV54Y9,B0041KKYHE,ADRIENNE MILLER,"[0, 1]","Water for Elephants starring Robert Pattinson and Reese Witherspoon stays pretty much faithful of the best-selling novel by Sara Gruen. I thought Pattinson was perfectly cast as Jacob, boy his smile can sure light up a room! Pattinson is vulnerable yet smoldering, he captures the right emotion that is needed to play Jacob. I have always been a huge fan of Witherspoon but as Marlena, I thought she didn't quite pull off the part and surprisely seemed stiff and uncomfortable. Christoph Waltz made a very good and very scary August. This movie is just as good as the book, but this version is less sexual and abrasive. Water for Elephants is one classy, entertaining drama...I highly recommend it!",5,Breathtaking.,1323043200,"12 5, 2011",2011,698,"['Water', 'Elephants', 'starring', 'Robert', 'Pattinson', 'Reese', 'Witherspoon', 'pretty', 'much', 'faithful', 'best-selling', 'novel', 'Sara', 'Gruen', 'thought', 'Pattinson', 'was', 'perfectly', 'cast', 'Jacob', 'boy', 'smile', 'can', 'sure', 'light', 'up', 'room', 'Pattinson', 'vulnerable', 'yet', 'smoldering', 'right', 'emotion', 'needed', 'play', 'Jacob', 'have', 'always', 'been', 'huge', 'fan', 'Witherspoon', 'Marlena', 'thought', 'did', ""n't"", 'quite', 'pull', 'off', 'part', 'surprisely', 'seemed', 'stiff', 'uncomfortable', 'Christoph', 'Waltz', 'made', 'very', 'good', 'very', 'scary', 'August', 'movie', 'just', 'as', 'good', 'book', 'version', 'less', 'sexual', 'abrasive', 'Water', 'Elephants', 'one', 'classy', 'entertaining', 'drama', 'highly', 'recommend']",Water for Elephants
1381349,AAZRWLML88IZK,B0041KKYHE,A kids review,"[0, 2]","It's a bit too early to tell whether or not Robert Pattinson will forever be known primarily as Twilight's Edward Cullen, but it would seem that Water for Elephants, based on the NY Times Best Seller of the same name, isn't the film that will memorably set him apart from the popular teen vampire series. Pattinson plays Jacob, a twentysomething Cornell veterinary student during the Great Depression who, after learning his parents have died tragically and left a mountain of debt, decides to hop on a passing train in lieu of returning to school. As it turns out, the train belongs to the Benzini Brothers Circus, who hires Jacob as the circus's vet, and he soon falls in love with the head animal trainer's wife, Marlena. While the tale is tastefully told and beautifully filmed, I felt that that Water for Elephants suffered from a pronounced lack of chemistry between its leads, earning it 2 stars. It might do the trick if you're looking for an old-timey romance, but don't expect many sparks to fly.",2,Water for Elephants,1320710400,"11 8, 2011",2011,1006,"['bit', 'too', 'early', 'tell', 'not', 'Robert', 'Pattinson', 'will', 'forever', 'be', 'known', 'primarily', 'Twilight', 'Edward', 'Cullen', 'would', 'seem', 'Water', 'Elephants', 'based', 'NY', 'Times', 'Best', 'Seller', 'same', 'name', ""n't"", 'film', 'will', 'memorably', 'set', 'apart', 'popular', 'teen', 'vampire', 'series', 'Pattinson', 'Jacob', 'twentysomething', 'Cornell', 'veterinary', 'student', 'Great', 'Depression', 'who', 'learning', 'parents', 'have', 'died', 'tragically', 'left', 'mountain', 'debt', 'hop', 'passing', 'train', 'lieu', 'returning', 'school', 'out', 'train', 'belongs', 'Benzini', 'Brothers', 'Circus', 'who', 'Jacob', 'circus', 'vet', 'soon', 'love', 'head', 'animal', 'trainer', 'wife', 'Marlena', 'tale', 'tastefully', 'told', 'beautifully', 'filmed', 'felt', 'Water', 'Elephants', 'suffered', 'pronounced', 'lack', 'chemistry', 'leads', 'earning', '2', 'stars', 'might', 'do', 'trick', ""'re"", 'looking', 'old-timey', 'romance', 'do', ""n't"", 'expect', 'many', 'sparks', 'fly']",Water for Elephants
1381350,AF9OYN557Z77I,B0041KKYHE,alexis,"[0, 0]","If you like the novel, you'll be happy to know that the movie is pretty close to it.  They didn't make too many changes, which I really liked.  Reese Witherspoon looks drop dead gorgeous in this film, the best she's ever looked.  Rpatz is HOT!!!!  I'm a Twilight fan so I'd watch anything that he's in.  Back to the point, its a worthwhile movie to watch and amazon has a great price.",4,Reese and Rpatz are great.,1320796800,"11 9, 2011",2011,384,"['like', 'novel', ""'ll"", 'be', 'happy', 'know', 'movie', 'pretty', 'close', 'did', ""n't"", 'make', 'too', 'many', 'changes', 'really', 'liked', 'Reese', 'Witherspoon', 'drop', 'dead', 'gorgeous', 'film', 'best', 'ever', 'looked', 'Rpatz', 'HOT', ""'m"", 'Twilight', 'fan', 'so', ""'d"", 'watch', 'anything', 'Back', 'point', 'worthwhile', 'movie', 'watch', 'amazon', 'great', 'price']",Water for Elephants
1381351,AGEIT17HENDIS,B0041KKYHE,Alfred Johnson,"[1, 1]","Everybody, well, almost everybody had been to the circus as a kid, or later maybe. Many probably had their first exposure to the circus when some small side-show ramble wreak operation showed up made up of a three truck gypsy caravan came to you not big city town and put on a show or two and then headed out, laughing at the rubes as they left. Or maybe your first look was even less than a circus, a two bit neon-flamed carnival with every drifter, grafter and midnight sifter trying (and mostly succeeding) to get you to part with your hard-earned dough (back in the day maybe you had a kid job, mowing lawns or a paper route and so those were really hard-earned dollars that were soon departed). But mainly, if you didn't look too closely, at the ragged costumes, the ancient girlies, the broken-down animals, and the broken-down performers you bought into the grand circus illusion, the spectacle. What you bought into as well was the cotton candy, the kewpie dolls, and the other gee-gads. Just don't deny it okayAnd that illusion, or the creation of that illusion, for a couple of hours while rube or sophisticate was in the audience is what the film under review, Water For Elephants, is all about. Also about that seamy back story that any form of entertainment from kid street shows to Super Bowl extravaganza tries to keep away from.  And, naturally since this is a cinematic effort based on a historical romance novel, there has to be  a little off-hand love interest to keep the ""rubes"" in the theater audience (or at DVD home) interested.And just as naturally if Reese Witherspoon is in the house (last seen by this reviewer Oscar-winning for her performance as June Carter Cash in Walk The Line) that love interest must be both torrid and meaningful. And it is.The gist of the story (as told by ancient Hal Holbrook looking back to his youth) is the trials and tribulations of a veterinary doctor (almost) who by some personal misfortune winds up hopping a circus train during the Great Depression (the 1930s one not the current one) and who uses his skill to both help the animals and to become a key aide to the mad man circus owner (and ring master) who also happens to be a very jealous and evil husband of one Reese Witherspoon. The circus, as lots of things in those days, was ready to go belly up if there was not star attraction to pull the rubes in (basically get them under the tent and they are yours, the trick is to get them in). Presto, Ruby the elephant, not without some serious Society for Prevention of Cruelty to Animals-type trauma brought on by the evil ring master, saves the day for a while. In the meantime that handsome young vet falls for one very married ring master's wife. And she for him. Something has to give, and it does. But next time the circus is in town think twice, no think three times, before starry-eyed thinking about heading out of town on that road.",4,...The Circus Is In Town,1350172800,"10 14, 2012",2012,2908,"['Everybody', 'well', 'almost', 'everybody', 'had', 'been', 'circus', 'kid', 'later', 'maybe', 'Many', 'probably', 'had', 'first', 'exposure', 'circus', 'when', 'small', 'side-show', 'ramble', 'wreak', 'operation', 'showed', 'up', 'made', 'three', 'truck', 'gypsy', 'caravan', 'came', 'not', 'big', 'city', 'town', 'put', 'show', 'two', 'then', 'headed', 'out', 'laughing', 'rubes', 'left', 'maybe', 'first', 'look', 'was', 'even', 'less', 'circus', 'two', 'bit', 'neon-flamed', 'carnival', 'drifter', 'grafter', 'midnight', 'sifter', 'trying', 'mostly', 'succeeding', 'get', 'part', 'hard-earned', 'dough', 'back', 'day', 'maybe', 'had', 'kid', 'job', 'mowing', 'lawns', 'paper', 'route', 'so', 'were', 'really', 'hard-earned', 'dollars', 'were', 'soon', 'departed', 'mainly', 'did', ""n't"", 'look', 'too', 'closely', 'ragged', 'costumes', 'ancient', 'girlies', 'broken-down', 'animals', 'broken-down', 'performers', 'bought', 'grand', 'circus', 'illusion', 'spectacle', 'What', 'bought', 'as', 'well', 'was', 'cotton', 'candy', 'kewpie', 'dolls', 'other', 'gee-gads', 'Just', 'do', ""n't"", 'deny', 'okayAnd', 'illusion', 'creation', 'illusion', 'couple', 'hours', 'rube', 'sophisticate', 'was', 'audience', 'what', 'film', 'review', 'Water', 'Elephants', 'Also', 'back', 'story', 'form', 'entertainment', 'kid', 'street', 'shows', 'Super', 'Bowl', 'extravaganza', 'tries', 'keep', 'away', 'naturally', 'cinematic', 'effort', 'based', 'historical', 'romance', 'novel', 'be', 'little', 'off-hand', 'love', 'interest', 'keep', 'rubes', 'theater', 'audience', 'DVD', 'home', 'interested.And', 'just', 'naturally', 'Reese', 'Witherspoon', 'house', 'last', 'seen', 'reviewer', 'Oscar-winning', 'performance', 'June', 'Carter', 'Cash', 'Walk', 'Line', 'love', 'interest', 'must', 'be', 'torrid', 'meaningful', 'is.The', 'gist', 'story', 'told', 'ancient', 'Hal', 'Holbrook', 'looking', 'back', 'youth', 'trials', 'tribulations', 'veterinary', 'doctor', 'almost', 'who', 'personal', 'misfortune', 'up', 'hopping', 'circus', 'train', 'Great', 'Depression', '1930s', 'one', 'not', 'current', 'one', 'who', 'skill', 'help', 'animals', 'become', 'key', 'aide', 'mad', 'man', 'circus', 'owner', 'ring', 'master', 'who', 'also', 'be', 'very', 'jealous', 'evil', 'husband', 'one', 'Reese', 'Witherspoon', 'circus', 'lots', 'things', 'days', 'was', 'ready', 'go', 'belly', 'up', 'was', 'not', 'star', 'attraction', 'pull', 'rubes', 'basically', 'get', 'tent', 'are', 'yours', 'trick', 'get', 'Presto', 'Ruby', 'elephant', 'not', 'serious', 'Society', 'Prevention', 'Cruelty', 'Animals-type', 'trauma', 'brought', 'evil', 'ring', 'master', 'day', 'while', 'meantime', 'handsome', 'young', 'vet', 'one', 'very', 'married', 'ring', 'master', 'wife', 'Something', 'give', 'next', 'time', 'circus', 'town', 'think', 'twice', 'think', 'three', 'times', 'starry-eyed', 'thinking', 'heading', 'town', 'road']",Water for Elephants
1381352,A5N1BMF2SWO2L,B0041KKYHE,Al Milliren,"[1, 1]",Every now and then a good book comes along where the film effectively delivers the story line.  Usually I am disappointed and wish I hadn't seen the film.  This one does a fantastic job.  I put it in the same category as &#34;The Help.&#34;  Excellent across the board.,5,Good read; great film,1362873600,"03 10, 2013",2013,269,"['now', 'then', 'good', 'book', 'along', 'where', 'film', 'effectively', 'story', 'line', 'Usually', 'am', 'disappointed', 'wish', 'had', ""n't"", 'seen', 'film', 'one', 'fantastic', 'job', 'put', 'same', 'category', '34', 'Help.', '34', 'Excellent', 'board']",Water for Elephants
1381353,A3LNKAGMB0DTD8,B0041KKYHE,Amazon Customer,"[0, 0]","Christopher Waltz is once again very good and complicated.  It's easy to hate him for what he does to animals but there are times when the viewer can see a softer side and understand why he does what he does.This movie shows how fragile life is and how it can change for any of us in an instant but the key is to be resilient and learn to change with the situation.  A well done movie but I admit I'm not a fan of elephants in circus or carnival settings so if you're like me it is tough to watch at times but don't skip it, it's a well done movie.If you are a softy and like tearjerkers then have a box of tissue handy.",4,Good Old Fashioned Tearjerker,1371427200,"06 17, 2013",2013,620,"['Christopher', 'Waltz', 'once', 'again', 'very', 'good', 'complicated', 'easy', 'hate', 'what', 'animals', 'are', 'times', 'when', 'viewer', 'can', 'see', 'softer', 'side', 'understand', 'why', 'what', 'movie', 'how', 'fragile', 'life', 'how', 'can', 'change', 'instant', 'key', 'be', 'resilient', 'learn', 'change', 'situation', 'well', 'done', 'movie', 'admit', ""'m"", 'not', 'fan', 'elephants', 'circus', 'carnival', 'settings', 'so', ""'re"", 'tough', 'watch', 'times', 'do', ""n't"", 'skip', 'well', 'done', 'movie.If', 'are', 'softy', 'tearjerkers', 'then', 'have', 'box', 'tissue', 'handy']",Water for Elephants
1381354,A2OFW9CQPT76XR,B0041KKYHE,Amazon Customer,"[0, 0]",The movie itself was excellent. The viewing format on my laptop; however was not satisfactory even though it was connected to a 40&#34; TV.,5,Excellent Movie,1377907200,"08 31, 2013",2013,139,"['movie', 'was', 'excellent', 'viewing', 'format', 'laptop', 'however', 'was', 'not', 'satisfactory', 'even', 'was', 'connected', '40', '34', 'TV']",Water for Elephants
1381355,A3MW4WA710SGZ9,B0041KKYHE,"Amazon Customer ""Major Mitzi fan!!!""","[0, 0]","I do not understand why it did not do better at the theaters. I had a hard time finding it anywhere until I found it on Amazon. I thought it was good. I liked the period theme of the movie but I could not look at the screen sometimes due to the animal abuse, although I knew it was only &#34;Hollywood&#34; blood. There was violence in the movie but nothing compared to some of today's movies where everything is blowing up. It was a love story!",4,Good movie.,1372982400,"07 5, 2013",2013,445,"['do', 'not', 'understand', 'why', 'did', 'not', 'do', 'better', 'theaters', 'had', 'hard', 'time', 'finding', 'anywhere', 'found', 'Amazon', 'thought', 'was', 'good', 'liked', 'period', 'theme', 'movie', 'could', 'not', 'look', 'screen', 'sometimes', 'due', 'animal', 'abuse', 'knew', 'was', 'only', '34', 'Hollywood', '34', 'blood', 'was', 'violence', 'movie', 'nothing', 'compared', 'today', 'movies', 'where', 'everything', 'blowing', 'up', 'was', 'love', 'story']",Water for Elephants
1381356,A57JWK56OUKLZ,B0041KKYHE,Amber,"[1, 1]","The pluses of this movie are seeing the 'behind the scenes' view of what life might have been like working for a circus during this time period. Rosie the elephant was entertaining. The acting was stellar, especially the volatile ring master husband. The last five minutes of the movie were also sweet.The negatives. DEPRESSING. Violent. It wasn't a movie where you walk away feeling uplifted for having watched it. It was actually just pretty sad that people and animals could be treated that way. It's not a movie I'd watch again or recommend to my friends.",3,"great in some areas, not so great in others",1320710400,"11 8, 2011",2011,559,"['pluses', 'movie', 'are', 'seeing', ""'behind"", 'scenes', 'view', 'what', 'life', 'might', 'have', 'been', 'working', 'circus', 'time', 'period', 'Rosie', 'elephant', 'was', 'entertaining', 'acting', 'was', 'stellar', 'especially', 'volatile', 'ring', 'master', 'husband', 'last', 'five', 'minutes', 'movie', 'were', 'also', 'sweet.The', 'negatives', 'DEPRESSING', 'Violent', 'was', ""n't"", 'movie', 'where', 'walk', 'away', 'feeling', 'uplifted', 'having', 'watched', 'was', 'actually', 'just', 'pretty', 'sad', 'people', 'animals', 'could', 'be', 'treated', 'way', 'not', 'movie', ""'d"", 'watch', 'again', 'recommend', 'friends']",Water for Elephants
1381357,A1W9JOFE6F89FB,B0041KKYHE,Amber MacDonald,"[2, 2]","At nights when my kids have went to bed, sometimes I just want to be able to relax with a good movie and junk food. I know junk food and a great movie do go hand in hand. When I started watching Water For Elephants, I immediately feel into the story line. I was stuck to the movie from the beginning to the end. The actors played the characters so well, I personally feel they were made for these parts. Which when you have characters this good, it tells me that the directing was amazing. I feel that Reese and Pattinson had such a connection, which resulted in some very steamy moments together. The part that really caught my heart was the scenes of her abuse. It just tore me and really brought out emotions that were so strong. This movie can give you some very teary eyed moments. I would have to say I truly loved this movie.",5,Such an amazing story,1327622400,"01 27, 2012",2012,832,"['nights', 'when', 'kids', 'have', 'went', 'bed', 'sometimes', 'just', 'want', 'be', 'able', 'relax', 'good', 'movie', 'junk', 'food', 'know', 'junk', 'food', 'great', 'movie', 'do', 'go', 'hand', 'hand', 'When', 'started', 'watching', 'Water', 'Elephants', 'immediately', 'feel', 'story', 'line', 'was', 'stuck', 'movie', 'beginning', 'end', 'actors', 'played', 'characters', 'so', 'well', 'personally', 'feel', 'were', 'made', 'parts', 'Which', 'when', 'have', 'characters', 'good', 'directing', 'was', 'amazing', 'feel', 'Reese', 'Pattinson', 'had', 'connection', 'resulted', 'very', 'steamy', 'moments', 'together', 'part', 'really', 'caught', 'heart', 'was', 'scenes', 'abuse', 'just', 'tore', 'really', 'brought', 'out', 'emotions', 'were', 'so', 'strong', 'movie', 'can', 'give', 'very', 'teary', 'eyed', 'moments', 'would', 'have', 'say', 'truly', 'loved', 'movie']",Water for Elephants
