,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1495694,A1HJ82P6QOUL6W,B005NKIPUY,,"[0, 0]",A great suspense and thriller.  Richard Gere is excellent as usual. Keeps you guessing to the end. What a surprise!!,5,The Double,1393459200,"02 27, 2014",2014,116,"['great', 'suspense', 'thriller', 'Richard', 'Gere', 'excellent', 'usual', 'Keeps', 'guessing', 'end', 'What', 'surprise']",N/A
1495695,A1KHWLUBS5IK4Q,B005NKIPUY,,"[0, 0]","A rash of spies coming in from the cold...Gary Oldman, recently nominated for a 2012 Oscar, playing John LeCarre's older spy George Smiley in Tinker, Tailor, Soldier, Spy. George Clooney slated to play Olen Steinhauer's semi-retired spy Milo Weaver of the thriller novelThe Tourist... and here comes 62-year-old Richard Gere as Paul Shepherdson, a retired CIA spy who's called in from the cold for a special assignment. Shepherdson is paired with a young Harvard-educated FBI agent to unravel the mystery of a senator's murder, with all signs pointing to a Soviet assassin named Cassius, long thought to be dead.Is this an espionage thriller...tinged with remnants of hunts for cold-war Soviet moles and assassins? Well, Yes and No.THE DOUBLE is an attempt by producer and co-writer Michael Brandt to update the spy thriller without trench coats and too many secret meetings. He throws in a great cast led by Gere: Topper Grace as the young FBI agent, Castle's Stana Katic as a Russian prostitute (don't blink - you will miss her performance) and Stephen Moyer of vampire fame as a scarred thug (and Cassius follower) who swallows batteries to get out of prison. He also throws in some propaganda about fake border police killing Mexicans.Filmed in Michigan, the setting often provides panoramic views of Washington, D.C. alaNo Way Out. Now that's a thought, Michael Brandt. Cut out the torrid love scenes of NO WAY OUT and hunt a mole named Yuri in a spy vs spy vs Soviet assassin. You managed the suspense and a nice twist at the end pretty well.Rent, don't buy.2.5 out of 5 stars",3,A Soviet assassin comes in from the cold with a CIA spy...,1328400000,"02 5, 2012",2012,1582,"['rash', 'spies', 'coming', 'cold', 'Gary', 'Oldman', 'recently', 'nominated', '2012', 'Oscar', 'playing', 'John', 'LeCarre', 'older', 'spy', 'George', 'Smiley', 'Tinker', 'Tailor', 'Soldier', 'Spy', 'George', 'Clooney', 'slated', 'play', 'Olen', 'Steinhauer', 'semi-retired', 'spy', 'Milo', 'Weaver', 'thriller', 'novelThe', 'Tourist', 'here', '62-year-old', 'Richard', 'Gere', 'Paul', 'Shepherdson', 'retired', 'CIA', 'spy', 'who', 'called', 'cold', 'special', 'assignment', 'Shepherdson', 'paired', 'young', 'Harvard-educated', 'FBI', 'agent', 'unravel', 'mystery', 'senator', 'murder', 'signs', 'pointing', 'Soviet', 'assassin', 'named', 'Cassius', 'long', 'thought', 'be', 'dead.Is', 'espionage', 'thriller', 'tinged', 'remnants', 'hunts', 'cold-war', 'Soviet', 'moles', 'assassins', 'Well', 'Yes', 'No.THE', 'DOUBLE', 'attempt', 'producer', 'co-writer', 'Michael', 'Brandt', 'update', 'spy', 'thriller', 'trench', 'coats', 'too', 'many', 'secret', 'meetings', 'great', 'cast', 'led', 'Gere', 'Topper', 'Grace', 'young', 'FBI', 'agent', 'Castle', 'Stana', 'Katic', 'Russian', 'prostitute', 'do', ""n't"", 'blink', 'will', 'miss', 'performance', 'Stephen', 'Moyer', 'vampire', 'fame', 'scarred', 'thug', 'Cassius', 'follower', 'who', 'batteries', 'get', 'prison', 'also', 'propaganda', 'fake', 'border', 'police', 'killing', 'Mexicans.Filmed', 'Michigan', 'setting', 'often', 'panoramic', 'views', 'Washington', 'D.C.', 'Way', 'Out', 'Now', 'thought', 'Michael', 'Brandt', 'Cut', 'out', 'torrid', 'love', 'scenes', 'WAY', 'OUT', 'hunt', 'mole', 'named', 'Yuri', 'spy', 'vs', 'spy', 'Soviet', 'assassin', 'managed', 'suspense', 'nice', 'twist', 'end', 'pretty', 'well.Rent', 'do', ""n't"", 'buy.2.5', '5', 'stars']",N/A
1495696,A1S5C2YVVR8YT,B005NKIPUY,,"[0, 0]","Good movie, it's a keeper. Love the different sids of Richard Gere you see in this movie. Wort watching again and again",5,Keeps you on the edge of your seat. Has you guessing right till the end.,1353110400,"11 17, 2012",2012,119,"['Good', 'movie', 'keeper', 'Love', 'different', 'sids', 'Richard', 'Gere', 'see', 'movie', 'Wort', 'watching', 'again', 'again']",N/A
1495697,AMOQW6FNT1Y8R,B005NKIPUY,,"[0, 0]","I do like Richard Gere, thus bought. Not bad, just to obvious from onset and thus no real plot nor excitement in it. He is far better than this movie.",3,Bit predictable,1329868800,"02 22, 2012",2012,150,"['do', 'Richard', 'Gere', 'thus', 'bought', 'Not', 'bad', 'just', 'obvious', 'onset', 'thus', 'real', 'plot', 'excitement', 'far', 'better', 'movie']",N/A
1495698,A19X8L96GCGTZG,B005NKIPUY,,"[0, 0]","I have an extended vacation planned & I will take this with me to view at that time. It arrived on time, as described.",5,the Double,1331424000,"03 11, 2012",2012,118,"['have', 'extended', 'vacation', 'planned', 'will', 'take', 'view', 'time', 'arrived', 'time', 'described']",N/A
1495699,A3E22XNEC2QEPT,B005NKIPUY,,"[0, 0]",Loved the movie.  It was better then expected.  I would recommend it as a great suspense movie.  Richard Gere is great,5,Great movie,1372636800,"07 1, 2013",2013,118,"['Loved', 'movie', 'was', 'better', 'then', 'expected', 'would', 'recommend', 'great', 'suspense', 'movie', 'Richard', 'Gere', 'great']",N/A
1495700,A1R9FINWMF0M4Z,B005NKIPUY,,"[0, 0]","Movie is great for plot, acting of course and action. I thought I had rented this one and when I realized it was not I began the search to find The Double. The movie was worth the search.",5,The  Double,1374105600,"07 18, 2013",2013,187,"['Movie', 'great', 'plot', 'acting', 'course', 'action', 'thought', 'had', 'rented', 'one', 'when', 'realized', 'was', 'not', 'began', 'search', 'find', 'Double', 'movie', 'was', 'search']",N/A
1495701,A1FSAHV1JB43EN,B005NKIPUY,,"[0, 0]","Richard Gear is a fine actor, and he does a great job in The Double. If you enjoy thrillers, assassins, and reveals along the way, twists and turns, than this is the movie for you. I really enjoyed it, surprised me by how it kept my attention and had me guessing until the very end.",5,"Excellent thriller, full of reveals.",1330819200,"03 4, 2012",2012,282,"['Richard', 'Gear', 'fine', 'actor', 'great', 'job', 'Double', 'enjoy', 'thrillers', 'assassins', 'reveals', 'way', 'twists', 'turns', 'movie', 'really', 'enjoyed', 'surprised', 'how', 'kept', 'attention', 'had', 'guessing', 'very', 'end']",N/A
1495702,A1AFXJ8U72MD6L,B005NKIPUY,,"[0, 0]","The tale of an old spy brought back in after the Cold War to track down a mysterious Russian agent/assassin code named Cassius. What ensues is something of a cat and mouse game with some predictable endings and some not so predictable endings. I don't want to give it away so I'll stay vague. At times Gere didn't feel like the best choice for this role. Some editing would have helped with the plotting of the tale, too. Martin Sheen and Stephen Moyer (of TRUE BLOOD) co-star.  STORY/PLOTTING: B; CHARACTERS/DIALOGUE: B; SURPRISES/TWISTS: B to B plus; WHEN WATCHED: 2011; OVERALL GRADE: B.",4,MY GRADE: B,1330041600,"02 24, 2012",2012,590,"['tale', 'old', 'spy', 'brought', 'back', 'Cold', 'War', 'track', 'down', 'mysterious', 'Russian', 'agent/assassin', 'code', 'named', 'Cassius', 'What', 'something', 'cat', 'mouse', 'game', 'predictable', 'endings', 'not', 'so', 'predictable', 'endings', 'do', ""n't"", 'want', 'give', 'away', ""'ll"", 'stay', 'vague', 'times', 'Gere', 'did', ""n't"", 'feel', 'best', 'choice', 'role', 'editing', 'would', 'have', 'helped', 'plotting', 'tale', 'too', 'Martin', 'Sheen', 'Stephen', 'Moyer', 'TRUE', 'BLOOD', 'co-star', 'STORY/PLOTTING', 'B', 'CHARACTERS/DIALOGUE', 'B', 'SURPRISES/TWISTS', 'B', 'B', 'WHEN', 'WATCHED', '2011', 'OVERALL', 'GRADE', 'B']",N/A
1495703,A11XE9ALRP4CKK,B005NKIPUY,,"[0, 0]",This is a very good movie.  It kept me guessing.  There are interesting twist and turns. At times I'd wonder if I had missed something because of what was taking place.  At the end it all comes together with a couple of great little twists.,5,Very good.,1390867200,"01 28, 2014",2014,240,"['very', 'good', 'movie', 'kept', 'guessing', 'are', 'interesting', 'twist', 'times', ""'d"", 'wonder', 'had', 'missed', 'something', 'what', 'was', 'taking', 'place', 'end', 'together', 'couple', 'great', 'little', 'twists']",N/A
