,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1514359,A124WY11OJEANJ,B006BZ8NZM,"AthenaKahli ""Love you Lyssa-Lyssa""","[2, 2]","This is just the wildest romp ever.  Get your friends together, bring the beer, chips and dip, pizza, and enjoy a technical romp.  This was fun!!!!",5,Have some fun.....,1375747200,"08 6, 2013",2013,147,"['just', 'wildest', 'romp', 'ever', 'Get', 'friends', 'together', 'bring', 'beer', 'chips', 'dip', 'pizza', 'enjoy', 'technical', 'romp', 'was', 'fun']",Super Shark
1514360,A2AIQYXKN9V80L,B006BZ8NZM,BD King,"[2, 3]","OK: I usually like corny movies.  But when a walking tank fights a shark that gets out of the water just to fight the tank, it is over the top.  After all: What was the Shark's motivation?  The tank would need to simmer for months to become tender enough to eat. . .At least this scene came out early in the movie, so I knew not to waste time on watching anymore of it.  As I've mentioned in other reviews of 'Dogs' -- there are so many other plots and stories so much more worthy.  Why did anyone bother, and how was the idiot who funded this 'Dog'.",1,Heavy drinking may improve the movie,1355097600,"12 10, 2012",2012,550,"['OK', 'usually', 'corny', 'movies', 'when', 'walking', 'tank', 'shark', 'water', 'just', 'fight', 'tank', 'top', 'What', 'was', 'Shark', 'motivation', 'tank', 'would', 'need', 'simmer', 'months', 'become', 'tender', 'enough', 'eat', '.At', 'least', 'scene', 'came', 'out', 'early', 'movie', 'knew', 'not', 'waste', 'time', 'watching', 'anymore', ""'ve"", 'mentioned', 'other', 'reviews', ""'Dogs"", 'are', 'so', 'many', 'other', 'plots', 'stories', 'so', 'much', 'more', 'worthy', 'Why', 'did', 'anyone', 'bother', 'how', 'was', 'idiot', 'who', 'funded', ""'Dog""]",Super Shark
1514361,AHT5O4W799XRN,B006BZ8NZM,Bonnie Thiem,"[0, 0]",A shark that is as big as a bus and can walk on it's fins and fly!  This is what &#34;Cat&#34; comes across in this movie.  After an oil rig collapses (or something else happens to it) she investigates to find out what really happens.  It is filled with action active scenes that even the military gets involved in.  It does have some scenes with scantily clad women in bikinis that I didn't care for but all in all I enjoyed the movie.,5,Sharks Can't do This - Or can they?,1392422400,"02 15, 2014",2014,436,"['shark', 'as', 'big', 'bus', 'can', 'walk', 'fins', 'fly', 'what', '34', 'Cat', '34', 'movie', 'oil', 'rig', 'collapses', 'something', 'else', 'find', 'out', 'what', 'really', 'filled', 'action', 'active', 'scenes', 'even', 'military', 'involved', 'have', 'scenes', 'scantily', 'clad', 'women', 'bikinis', 'did', ""n't"", 'care', 'enjoyed', 'movie']",Super Shark
1514362,A3PMQ6FRYABJBL,B006BZ8NZM,dasilva290,"[0, 0]","always ready for a good shark movie,and this didn't disappoint.john schneider plays a good bad guy. not a usual role for him.",4,great movie.,1389052800,"01 7, 2014",2014,125,"['always', 'ready', 'good', 'shark', 'movie', 'did', ""n't"", 'disappoint.john', 'schneider', 'plays', 'good', 'bad', 'guy', 'not', 'usual', 'role']",Super Shark
1514363,ATVFKWF9A3VU5,B006BZ8NZM,"Fitness Freak ""fitness freak""","[8, 10]","This was a fun movie and I can imagine seeing it every once in awhile.  I liked it, I mean the shark can fly and drop kicks tanks!  And...I never mind seeing girls in Bikinis so for me, was fun and liked it.",4,Sharks and Girls...can't go wrong,1328832000,"02 10, 2012",2012,207,"['was', 'fun', 'movie', 'can', 'imagine', 'seeing', 'once', 'awhile', 'liked', 'mean', 'shark', 'can', 'fly', 'drop', 'kicks', 'tanks', 'never', 'mind', 'seeing', 'girls', 'Bikinis', 'so', 'was', 'fun', 'liked']",Super Shark
1514364,ACL34V7IL9SQH,B006BZ8NZM,Kindle Customer,"[1, 1]","There isn't much of a story, but if you like shark movies it is worth a watch. This shark can walk on land, lol, If you go in to it knowing it is bad you will get laughs out of it. This is worth a rental.",4,Supershark,1356220800,"12 23, 2012",2012,204,"[""n't"", 'much', 'story', 'like', 'shark', 'movies', 'watch', 'shark', 'can', 'walk', 'land', 'lol', 'go', 'knowing', 'bad', 'will', 'get', 'rental']",Super Shark
1514365,AADITF00W5UHX,B006BZ8NZM,liesel strong,"[0, 0]",It's a bird! It's a plane! Dynomite! No it's superdupershark! A shark that can fly? Prepare to be amazed! If you like cheesy syfy shark movies you will love super shark. Batteries sold separately.,3,Super shark,1389052800,"01 7, 2014",2014,196,"['bird', 'plane', 'Dynomite', 'No', 'superdupershark', 'shark', 'can', 'fly', 'Prepare', 'be', 'amazed', 'like', 'cheesy', 'syfy', 'shark', 'movies', 'will', 'love', 'super', 'shark', 'Batteries', 'sold', 'separately']",Super Shark
1514366,AHL0QX79W7LRQ,B006BZ8NZM,L. Nelson,"[1, 1]","We love cheesy, badly written, horrid CG, people picked off the street to act...Movies so we loved it. It doesn't get any better than a shark who can live on land, and fly. Your gonna love this cult classic. Plus... and this is a huge bonus...there are no nudies!!",5,Super B,1378252800,"09 4, 2013",2013,264,"['love', 'cheesy', 'badly', 'written', 'horrid', 'CG', 'people', 'picked', 'street', 'act', 'Movies', 'loved', ""n't"", 'get', 'better', 'shark', 'who', 'can', 'live', 'land', 'fly', 'gon', 'love', 'cult', 'classic', 'huge', 'bonus', 'are', 'nudies']",Super Shark
1514367,A2DKARU8OOUDJV,B006BZ8NZM,"M. Bartel ""FAIZ""","[1, 1]","Pretty fun movie, though owning it is something only a collector may want.  The CG is pretty poor, but there is plenty of action.  One thing that actually surprised me is that i cared for the lead actors.  I felt that there was some well thought and acted characters.  Sure there were plenty of shallow characters and shark bait, but the leads did their job well and i really connected with them rather than them being there simply to move the plot or fill between set pieces.",4,Mega Cheez,1347580800,"09 14, 2012",2012,476,"['Pretty', 'fun', 'movie', 'owning', 'something', 'only', 'collector', 'may', 'want', 'CG', 'pretty', 'poor', 'plenty', 'action', 'One', 'thing', 'actually', 'surprised', 'i', 'cared', 'lead', 'actors', 'felt', 'was', 'well', 'thought', 'acted', 'characters', 'Sure', 'were', 'plenty', 'shallow', 'characters', 'shark', 'bait', 'leads', 'did', 'job', 'well', 'i', 'really', 'connected', 'rather', 'being', 'there', 'simply', 'move', 'plot', 'fill', 'set', 'pieces']",Super Shark
1514368,A3LZGLA88K0LA0,B006BZ8NZM,Michael Butts,"[8, 9]","SUPER SHARK is another entry in the never-ending series of mutant killers, so  you know you can't set your expectations high.This particular shark can walk around on the beach and even fly!  It is released when drilling at an oil rig causes an earthquake.  Of course, a seductive marine biologist shows up to investigate while the shark eats up most of the cast.  Sarah Lieving (MEGASHARK VS CROCOSAURUS) plays the biologist; John Schneider from TV's Hazzard county is the shady oil company chief; Jerry Lacy (Rev. Trask in the original DARK SHADOWS) has a small role as Schneider's boss; and B-movie action hero Tim Abell plays the renegade boat captain who helps Lieving.  Jimmie Walker shows up as a deejay at the local club who hosts (what else?) a bikini contest.The shark effects are appropriately cheesy and notorious director Fred Olen Ray obviously didn't take the movie seriously either.It's all Saturday matinee fluff but worth a few laughs.",3,SUPER SILLY,1330646400,"03 2, 2012",2012,952,"['SUPER', 'SHARK', 'entry', 'never-ending', 'series', 'mutant', 'killers', 'know', 'ca', ""n't"", 'set', 'expectations', 'high.This', 'particular', 'shark', 'can', 'walk', 'beach', 'even', 'fly', 'released', 'when', 'drilling', 'oil', 'rig', 'earthquake', 'course', 'seductive', 'marine', 'biologist', 'up', 'investigate', 'shark', 'up', 'most', 'cast', 'Sarah', 'Lieving', 'MEGASHARK', 'VS', 'CROCOSAURUS', 'biologist', 'John', 'Schneider', 'TV', 'Hazzard', 'county', 'shady', 'oil', 'company', 'chief', 'Jerry', 'Lacy', 'Rev', 'Trask', 'original', 'DARK', 'SHADOWS', 'small', 'role', 'Schneider', 'boss', 'B-movie', 'action', 'hero', 'Tim', 'Abell', 'renegade', 'boat', 'captain', 'who', 'Lieving', 'Jimmie', 'Walker', 'up', 'deejay', 'local', 'club', 'who', 'what', 'else', 'bikini', 'contest.The', 'shark', 'effects', 'are', 'appropriately', 'cheesy', 'notorious', 'director', 'Fred', 'Olen', 'Ray', 'obviously', 'did', ""n't"", 'take', 'movie', 'seriously', 'either.It', 'Saturday', 'matinee', 'fluff', 'few', 'laughs']",Super Shark
1514369,A3BW0UW0WSJD2V,B006BZ8NZM,Paul Aguirre,"[0, 0]",this is movie so bad its the like the actors and actresses gave up on acting halfway through the movie do yourself a favor and don't punish yourself by watching this terrible movie the people who made this should be arrested for wasting money,1,wow this movie is terrible,1402790400,"06 15, 2014",2014,242,"['movie', 'so', 'bad', 'actors', 'actresses', 'gave', 'up', 'acting', 'halfway', 'movie', 'do', 'favor', 'do', ""n't"", 'punish', 'watching', 'terrible', 'movie', 'people', 'who', 'made', 'should', 'be', 'arrested', 'wasting', 'money']",Super Shark
1514370,A2OITKFJO55W06,B006BZ8NZM,Prof. SRS,"[0, 0]","I'm rating this based on what it is-it's not a fine film like &#34;Jaws&#34;, but it is fun to watch for shark movie fans like me. Yes, the premise is silly, but the acting is actually quite good. It's far more tolerable than the ultra ridiculous &#34;Sharknado.&#34;",5,Fun for shark fans,1401235200,"05 28, 2014",2014,267,"[""'m"", 'rating', 'based', 'what', 'is-it', 'not', 'fine', 'film', '34', 'Jaws', '34', 'fun', 'watch', 'shark', 'movie', 'fans', 'Yes', 'premise', 'silly', 'acting', 'actually', 'quite', 'good', 'far', 'more', 'tolerable', 'ultra', 'ridiculous', '34', 'Sharknado.', '34']",Super Shark
