,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1528115,ABH42J4V0KT2Z,B0078X2A7I,Amazon Customer,"[0, 0]",I loved this so much that I bought all in the Love series and enjoy watching them over and over again. Great family movie.,5,Enjoyed it a lot.,1365465600,"04 9, 2013",2013,122,"['loved', 'so', 'much', 'bought', 'Love', 'series', 'enjoy', 'watching', 'over', 'again', 'Great', 'family', 'movie']",Love's Everlasting Courage
1528116,A2HHGOXPOWJHBP,B0078X2A7I,Anne Marie Martin,"[2, 2]","This movie may be off of the Love Comes Softly Series by Janette Oke but this movie is still a good movie to watch for the entire family.  I watched this when it was on television last year and it touched my heart so deeply.  It does have a happy ending and there is a part three in this trilogy.  Love Begins is the first movie in this series.  If you like good, Christian family fun then this movie is right for you and your family.",5,Great Family Movie,1342137600,"07 13, 2012",2012,434,"['movie', 'may', 'be', 'Love', 'Comes', 'Softly', 'Series', 'Janette', 'Oke', 'movie', 'still', 'good', 'movie', 'watch', 'entire', 'family', 'watched', 'when', 'was', 'television', 'last', 'year', 'touched', 'heart', 'so', 'deeply', 'have', 'happy', 'ending', 'part', 'three', 'trilogy', 'Love', 'Begins', 'first', 'movie', 'series', 'like', 'good', 'Christian', 'family', 'fun', 'then', 'movie', 'right', 'family']",Love's Everlasting Courage
1528117,A28MOYG80JRONF,B0078X2A7I,Braveslover &#34;Pam&#34;,"[2, 2]","These type of movies are great for the family. They have wonderful love stories without any harsh language. Anyone can watch this, makes you thankful for the things you have now!",5,Love's Everlasting Courage,1339459200,"06 12, 2012",2012,178,"['type', 'movies', 'are', 'great', 'family', 'have', 'wonderful', 'love', 'stories', 'harsh', 'language', 'Anyone', 'can', 'watch', 'thankful', 'things', 'have', 'now']",Love's Everlasting Courage
1528118,ALEEWDU0HYM2O,B0078X2A7I,"Carol Armstrong ""Tankeryanker""","[2, 2]","Is there one episode of the love comes softly where someone does not die? Die, love repeat. Move on to new spouse.",3,Same story as all the rest,1343692800,"07 31, 2012",2012,114,"['one', 'episode', 'love', 'softly', 'where', 'someone', 'not', 'die', 'Die', 'love', 'repeat', 'Move', 'new', 'spouse']",Love's Everlasting Courage
1528119,A10YX22AJQ0A4W,B0078X2A7I,"Caroline ""I don't live in Mission Viejo, Cali...","[0, 0]",I absolutely LOVE the Love Comes Softly series. It's a must have. Just wish the Christmas Journey one didn't cost so much. It's the only one I don't have to complete the collection series.,5,Love this series!,1377129600,"08 22, 2013",2013,188,"['absolutely', 'LOVE', 'Love', 'Comes', 'Softly', 'series', 'must', 'have', 'Just', 'wish', 'Christmas', 'Journey', 'one', 'did', ""n't"", 'cost', 'so', 'much', 'only', 'one', 'do', ""n't"", 'have', 'complete', 'collection', 'series']",Love's Everlasting Courage
1528120,APYIX7V2ND2VS,B0078X2A7I,Carolyn Perry,"[0, 0]",I loved this movie.  You have to get the complete series of Love Comes Softly to appreciate the whole story.  This is a keepsake collector's item.,5,Loves Everlasting Courage,1392076800,"02 11, 2014",2014,146,"['loved', 'movie', 'have', 'get', 'complete', 'series', 'Love', 'Comes', 'Softly', 'appreciate', 'whole', 'story', 'keepsake', 'collector', 'item']",Love's Everlasting Courage
1528121,AE7B3VX3FPLHP,B0078X2A7I,Cheryl VanSyckle,"[0, 0]","I would tell everyone to watch this movie, because it a clean and healthy movie for the whole family to watch.  this a movie you are not afraid to have the kids to watch.",5,Love's Everlasting Courage,1363824000,"03 21, 2013",2013,170,"['would', 'tell', 'everyone', 'watch', 'movie', 'clean', 'healthy', 'movie', 'whole', 'family', 'watch', 'movie', 'are', 'not', 'afraid', 'have', 'kids', 'watch']",Love's Everlasting Courage
1528122,A7WNGMI0KV90O,B0078X2A7I,Chester,"[0, 0]",Loved learning more about the beginning of the series it is a wonderful addition to our collection & will be enjoyed often.,5,Love's Everlsting Courage,1369958400,"05 31, 2013",2013,123,"['Loved', 'learning', 'more', 'beginning', 'series', 'wonderful', 'addition', 'collection', 'will', 'be', 'enjoyed', 'often']",Love's Everlasting Courage
1528123,A2NF4YE71BWJYS,B0078X2A7I,Computerhound,"[0, 0]",I love to watch love stories. This one is so great along with the rest of the series. I enjoy watching how our ancestors lived with lanterns and they really had to work hard at everything.,5,Love Always,1374883200,"07 27, 2013",2013,188,"['love', 'watch', 'love', 'stories', 'one', 'so', 'great', 'rest', 'series', 'enjoy', 'watching', 'how', 'ancestors', 'lived', 'lanterns', 'really', 'had', 'work', 'hard', 'everything']",Love's Everlasting Courage
1528124,AGWAWTUKAPUUT,B0078X2A7I,conev,"[0, 0]","Enjoyed the good, clean story of this movie.  It is a movie that families with high values will want to have in their movie library.  It is the second prequel to Jeanette Oke's Love Comes Softly series.",5,Great Family Movie,1356480000,"12 26, 2012",2012,202,"['Enjoyed', 'good', 'clean', 'story', 'movie', 'movie', 'families', 'high', 'values', 'will', 'want', 'have', 'movie', 'library', 'second', 'prequel', 'Jeanette', 'Oke', 'Love', 'Comes', 'Softly', 'series']",Love's Everlasting Courage
