,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1547447,A1XKCHZELFYG6D,B0087GKIQU,2563255553,"[0, 0]",This is a good DVD to watch when TV networks are showing repeats. I will get more of these in the future. The Amazon description was very clear and accurate. The product was packaged well and arrived in good condition. These are great old classics.,5,Love these classics,1394236800,"03 8, 2014",2014,248,"['good', 'DVD', 'watch', 'when', 'TV', 'networks', 'are', 'showing', 'repeats', 'will', 'get', 'more', 'future', 'Amazon', 'description', 'was', 'very', 'clear', 'accurate', 'product', 'was', 'packaged', 'well', 'arrived', 'good', 'condition', 'are', 'great', 'old', 'classics']",N/A
1547448,A3MV1KKHX51FYT,B0087GKIQU,Acute Observer,"[1, 1]","Perry Mason Season 7 Volume 1These fifteen TV shows from 1963 are based on the novels of Erle Stanley Gardner. The books are more complete and informative, they tell about life that is not experienced by most people. The books explain why some things are done, the films only show you what happened. The books tell you about ""ropers"", rough or smooth shadows, how to evade surveillance, and avoid leaving a back trail. Some questioned the legality and ethics of Perry Mason's tactics but the stories were written before modern legal rules. The background tells about life in Los Angeles and America. There is nothing like these dramatic stories on today's broadcast TV. When was the last time you saw a trial lawyer as a hero? Erle Stanley Gardner was a founder of the ""Court of Last Resort"" which sought to free the unjustly convicted. Gardner sought to use scientific means to find the guilty rather than using hunches or guesses alone.The seeming reality of these stories is due in part to characters who don't look like Hollywood actors. Some of the original stories were modified for TV. The theme music is typical for the late 1950s. Note the style of clothing and culture; ladies wore white gloves. People seldom lock their doors. The prices date these films. One advantage is seeing the many automobiles from that era. How many can you identify? Note the slimness of people, the smoking, and the familiarity with pistols. Watch how the actors express their emotions by their facial expressions. The camera sharpness and quality is excellent, but these films have a higher contrast than in earlier seasons. These stories often use the misinterpretation of circumstantial evidence to provide dramatic effects. The courtroom scenes are usually the Preliminary Hearings and often tell about the law. The titles begin with ""The Case of The"". Most are not from the novels except those with a year after the title.""Nebulous Nephew"";  ""Shifty Shoebox"";""Drowsy Mosquito"" (1943);  ""Deadly Verdict"".""Decadent Dean"";  ""Reluctant Model"" (1963);""Bigamous Spouse"";  ""Floating Stones"";.""Festive Felon"";  ""Devious Delinquent"";""Bouncing Boomerang"";  ""Badgered Brother"".""Wednesday Woman"";  ""Accosted Accountant"";""Capering Camera"".",5,The Original Courtroom Drama,1360195200,"02 7, 2013",2013,2219,"['Perry', 'Mason', 'Season', '7', 'Volume', '1These', 'fifteen', 'TV', 'shows', '1963', 'are', 'based', 'novels', 'Erle', 'Stanley', 'Gardner', 'books', 'are', 'more', 'complete', 'informative', 'tell', 'life', 'not', 'experienced', 'most', 'people', 'books', 'explain', 'why', 'things', 'are', 'done', 'films', 'only', 'show', 'what', 'happened', 'books', 'tell', 'ropers', 'rough', 'smooth', 'shadows', 'how', 'evade', 'surveillance', 'avoid', 'leaving', 'back', 'trail', 'questioned', 'legality', 'ethics', 'Perry', 'Mason', 'tactics', 'stories', 'were', 'written', 'modern', 'legal', 'rules', 'background', 'life', 'Los', 'Angeles', 'America', 'nothing', 'dramatic', 'stories', 'today', 'broadcast', 'TV', 'When', 'was', 'last', 'time', 'saw', 'trial', 'lawyer', 'hero', 'Erle', 'Stanley', 'Gardner', 'was', 'founder', 'Court', 'Last', 'Resort', 'sought', 'free', 'unjustly', 'convicted', 'Gardner', 'sought', 'use', 'scientific', 'means', 'find', 'guilty', 'rather', 'using', 'hunches', 'alone.The', 'seeming', 'reality', 'stories', 'due', 'part', 'characters', 'who', 'do', ""n't"", 'look', 'Hollywood', 'actors', 'original', 'stories', 'were', 'modified', 'TV', 'theme', 'music', 'typical', 'late', '1950s', 'Note', 'style', 'clothing', 'culture', 'ladies', 'wore', 'white', 'gloves', 'People', 'seldom', 'lock', 'doors', 'prices', 'date', 'films', 'One', 'advantage', 'seeing', 'many', 'automobiles', 'era', 'How', 'many', 'can', 'identify', 'Note', 'slimness', 'people', 'smoking', 'familiarity', 'pistols', 'Watch', 'how', 'actors', 'express', 'emotions', 'facial', 'expressions', 'camera', 'sharpness', 'quality', 'excellent', 'films', 'have', 'higher', 'contrast', 'earlier', 'seasons', 'stories', 'often', 'use', 'misinterpretation', 'circumstantial', 'evidence', 'provide', 'dramatic', 'effects', 'courtroom', 'scenes', 'are', 'usually', 'Preliminary', 'Hearings', 'often', 'tell', 'law', 'titles', 'begin', 'Case', 'Most', 'are', 'not', 'novels', 'year', 'title', 'Nebulous', 'Nephew', 'Shifty', 'Shoebox', 'Drowsy', 'Mosquito', '1943', 'Deadly', 'Verdict', 'Decadent', 'Dean', 'Reluctant', 'Model', '1963', 'Bigamous', 'Spouse', 'Floating', 'Stones', 'Festive', 'Felon', 'Devious', 'Delinquent', 'Bouncing', 'Boomerang', 'Badgered', 'Brother', 'Wednesday', 'Woman', 'Accosted', 'Accountant', 'Capering', 'Camera']",N/A
1547449,A2ILQXJ144UGFJ,B0087GKIQU,"A. Haines ""Bookmark""","[0, 0]",I like to check the date the program I'm watchiing was aired and think back to how old I was and what I was doing when that one was on TV.,5,Perry Mason,1396051200,"03 29, 2014",2014,138,"['like', 'check', 'date', 'program', ""'m"", 'watchiing', 'was', 'aired', 'think', 'back', 'how', 'old', 'was', 'what', 'was', 'doing', 'when', 'one', 'was', 'TV']",N/A
1547450,AFE9WVA57JNQE,B0087GKIQU,A. H. Carlson,"[1, 2]","Have not looked at this yet, but I'm sure it will be great. Each set should be a complete season rather than part one and part two. The cost is rather high for a half a season, but I guess CBS knows we will pay it for such a great show.",5,"PM Season 7, pt 1",1348790400,"09 28, 2012",2012,236,"['Have', 'not', 'looked', 'yet', ""'m"", 'sure', 'will', 'be', 'great', 'set', 'should', 'be', 'complete', 'season', 'rather', 'part', 'one', 'part', 'two', 'cost', 'rather', 'high', 'half', 'season', 'guess', 'CBS', 'will', 'pay', 'such', 'great', 'show']",N/A
1547451,A2C83G3OWF30BQ,B0087GKIQU,andy,"[1, 1]","I encourage everyone to get this series, they are timeless. Also you will notice the photography is very clear considering these wear made over 50 years ago.",5,Great tv series.,1362441600,"03 5, 2013",2013,157,"['encourage', 'everyone', 'get', 'series', 'are', 'timeless', 'Also', 'will', 'notice', 'photography', 'very', 'clear', 'considering', 'wear', 'made', '50', 'years', 'ago']",N/A
1547452,A3QIVLDTU18017,B0087GKIQU,"Ann O. Nymus ""Penny""","[0, 0]",I always enjoy watching &#34;Perry Mason&#34; episodes.  I am looking forward to getting the seasons and episodes that I don't yet have.,5,"I enjoy ""Perry Mason.""",1403136000,"06 19, 2014",2014,136,"['always', 'enjoy', 'watching', '34', 'Perry', 'Mason', '34', 'episodes', 'am', 'looking', 'forward', 'getting', 'seasons', 'do', ""n't"", 'yet', 'have']",N/A
1547453,A3BIWTN2DA0YY2,B0087GKIQU,Antoinette Klein,"[8, 8]","America's favorite courtroom lawyer continues with 15 classic episodes on this 4-disc set.  Below you will find the episodes included in this set, the original air date, a brief synopsis, and  mention of guest stars.THE CASE OF THE NEBULOUS NEPHEW (September 26, 1963)---Perry defends an artist with two names who has been switching identities with another man.  Hugh Marlowe guest stars.THE CASE OF THE DEADLY VERDICT (October 3, 1963)---In a rare defeat, Perry loses a case to  perennial loser Hamilton Burger.  Did his client really kill her invalid aunt and will she die in the gas chamber?  Perry has a hunch and won't rest until he saves the day for his client.  Julie Adams guest stars as his client.THE CASE OF THE SHIFTY SHOEBOX (October 10, 1963)---An eight-year-old finds a gun belonging to his uncle and hides it.  He doesn't know it's evidence in a homicide case and the only clue that can clear his aunt of murder.  Billy Mumy, Constance Ford, and Denver Pyle guest star.THE CASE OF THE DROWSY MOSQUITO (October 17, 1963)---Based on Erle Stanley Gardner's 1943 novel, this episode is unusual in that there is no trial---just a coroner's inquest.  When someone tries to kill a friend of Perry's who has discovered a lost gold mine, Paul Drake begins an investigation.  Strother Martin guest stars.THE CASE OF THE DECADENT DEAN (October 24, 1963)---Manzana Valley Prep School is the setting for sabotage, infidelity, and murder.  Perry goes back to school to solve an unlikely book stealing case.  Milton Selzer portrays the defendant.THE CASE OF THE RELUCTANT MODEL (October 31, 1963)---Perry is thrust into the world of art dealers and art forgers when a wealthy collector hosts a party to celebrate his newest acquisition.  One of the guests claims the painting is a forgery but winds up dead in the defendant's shower.THE CASE OF THE BIGAMOUS SPOUSE (November 14, 1963)---Based on Erle Stanley Gardner's 1961 novel, this episode centers on an oddball man who is often out of town on business.  His wife's best friend accidentally discovers the husband is leading a double life and has another family.  Pippa Scott guests as the defendant and Michael Conrad as the bigamous spouse.THE CASE OF THE FLOATING STONES (November 21, 1963)---Set in LA's Oriental community, this episode involves Perry helping a young Asian girl whose legacy from her grandfather, some precious stones, turn up missing and the thief who swiped them turns up dead.Joyce Jameson guest stars and Irene Tsu is the defendant.THE CASE OF THE FESTIVE FELON (November 28, 1963)---A wealthy woman leaves the bulk of her estate to her nurse, thus angering her relatives.  When murder ensues, Perry is called in to solve the family dispute, expose a few skeletons in the closet, and figure out whodunit.Jon Hall, best known for the TV series ""Ramar of the Jungle,"" came out of retirement to be in this episode.THE CASE OF THE DEVIOUS DELINQUENT (December 5, 1963)---A troubled youth robs a liquor store and then is blackmailed by his partner in crime. When the boy becomes involved in a murder, Perry is called in to save his life.  John Washbrook and Frances Rafferty guest star.THE CASE OF THE BOUNCING BOOMERANG (December 12, 1963)---A man convinces his beautiful new bride to live on a barren desert spread.  The bride hates it and arranges an elaborate swindle.  When she is murdered, her husband is charged with homicide.  Rod Cameron, Diana Millay, and Alan Hale of ""Gilligan's Island"" fame, all guest star.THE CASE OF THE BADGERED BROTHER (December 19, 1963)---A dispute between two brothers over the ownership of a successful chain of clothing stores ends with a pair of scissors sticking out of the back of one brother and the other charged with murder.  Robert Harland and Patricia Blair guest star.THE CASE OF THE WEDNESDAY WOMAN (January 2, 1964)---A woman who is convinced her husband is innocent of murder arranges a job for him when he is paroled.  But when an ex-insurance agent is convinced the parolee knows the whereabouts of a stolen diamond, the agent is murdered and the husband faces another murder rap.  Marie Windsor and Phillip Pine guest star.THE CASE OF THE ACCOSTED ACCOUNTANT (January 9, 1964)---Perry and Paul are invited to a lake cabin where a man and his father-in-law are expected to confront each other over suspicions of embezzlement.  The father-in-law has a letter opener plunged into his back and Perry steps in to defend the son-in-law.  Richard Anderson guest stars.THE CASE OF THE CAPERING CAMERA (January 16, 1964)---Perry faces and ethical dilemma when his client confesses to him that she was present, gun in hand, when a man was murdered.  The police think the death was suicide.  What should Perry do?  Margo Moore guest stars as his client.",5,"Perry Mason's Seventh Season, Part I (1963-64)",1348358400,"09 23, 2012",2012,4770,"['America', 'favorite', 'courtroom', 'lawyer', '15', 'classic', 'episodes', '4-disc', 'set', 'will', 'find', 'episodes', 'included', 'set', 'original', 'air', 'date', 'brief', 'synopsis', 'mention', 'guest', 'stars.THE', 'CASE', 'THE', 'NEBULOUS', 'NEPHEW', 'September', '26', '1963', '-Perry', 'artist', 'two', 'names', 'who', 'been', 'switching', 'identities', 'man', 'Hugh', 'Marlowe', 'guest', 'stars.THE', 'CASE', 'THE', 'DEADLY', 'VERDICT', 'October', '3', '1963', '-In', 'rare', 'defeat', 'Perry', 'case', 'perennial', 'loser', 'Hamilton', 'Burger', 'Did', 'client', 'really', 'kill', 'invalid', 'aunt', 'will', 'die', 'gas', 'chamber', 'Perry', 'hunch', 'wo', ""n't"", 'rest', 'day', 'client', 'Julie', 'Adams', 'guest', 'stars', 'client.THE', 'CASE', 'THE', 'SHIFTY', 'SHOEBOX', 'October', '10', '1963', '-An', 'eight-year-old', 'gun', 'belonging', 'uncle', ""n't"", 'know', 'evidence', 'homicide', 'case', 'only', 'clue', 'can', 'clear', 'aunt', 'murder', 'Billy', 'Mumy', 'Constance', 'Ford', 'Denver', 'Pyle', 'guest', 'star.THE', 'CASE', 'THE', 'DROWSY', 'MOSQUITO', 'October', '17', '1963', '-Based', 'Erle', 'Stanley', 'Gardner', '1943', 'novel', 'episode', 'unusual', 'trial', '-just', 'coroner', 'inquest', 'When', 'someone', 'kill', 'friend', 'Perry', 'who', 'discovered', 'lost', 'gold', 'mine', 'Paul', 'Drake', 'investigation', 'Strother', 'Martin', 'guest', 'stars.THE', 'CASE', 'THE', 'DECADENT', 'DEAN', 'October', '24', '1963', '-Manzana', 'Valley', 'Prep', 'School', 'setting', 'sabotage', 'infidelity', 'murder', 'Perry', 'back', 'school', 'solve', 'unlikely', 'book', 'stealing', 'case', 'Milton', 'Selzer', 'defendant.THE', 'CASE', 'THE', 'RELUCTANT', 'MODEL', 'October', '31', '1963', '-Perry', 'thrust', 'world', 'art', 'dealers', 'art', 'forgers', 'when', 'wealthy', 'collector', 'party', 'celebrate', 'newest', 'acquisition', 'One', 'guests', 'painting', 'forgery', 'up', 'dead', 'defendant', 'shower.THE', 'CASE', 'THE', 'BIGAMOUS', 'SPOUSE', 'November', '14', '1963', '-Based', 'Erle', 'Stanley', 'Gardner', '1961', 'novel', 'episode', 'centers', 'oddball', 'man', 'who', 'often', 'town', 'business', 'wife', 'best', 'friend', 'accidentally', 'husband', 'leading', 'double', 'life', 'family', 'Pippa', 'Scott', 'defendant', 'Michael', 'Conrad', 'bigamous', 'spouse.THE', 'CASE', 'THE', 'FLOATING', 'STONES', 'November', '21', '1963', '-Set', 'LA', 'Oriental', 'community', 'episode', 'Perry', 'helping', 'young', 'Asian', 'girl', 'legacy', 'grandfather', 'precious', 'stones', 'turn', 'up', 'missing', 'thief', 'who', 'swiped', 'up', 'dead.Joyce', 'Jameson', 'guest', 'stars', 'Irene', 'Tsu', 'defendant.THE', 'CASE', 'THE', 'FESTIVE', 'FELON', 'November', '28', '1963', 'wealthy', 'woman', 'bulk', 'estate', 'nurse', 'thus', 'angering', 'relatives', 'When', 'murder', 'ensues', 'Perry', 'called', 'solve', 'family', 'dispute', 'expose', 'few', 'skeletons', 'closet', 'figure', 'out', 'whodunit.Jon', 'Hall', 'best', 'known', 'TV', 'series', 'Ramar', 'Jungle', 'came', 'retirement', 'be', 'episode.THE', 'CASE', 'THE', 'DEVIOUS', 'DELINQUENT', 'December', '5', '1963', 'troubled', 'youth', 'robs', 'liquor', 'store', 'then', 'blackmailed', 'partner', 'crime', 'When', 'boy', 'involved', 'murder', 'Perry', 'called', 'save', 'life', 'John', 'Washbrook', 'Frances', 'Rafferty', 'guest', 'star.THE', 'CASE', 'THE', 'BOUNCING', 'BOOMERANG', 'December', '12', '1963', '-A', 'man', 'beautiful', 'new', 'bride', 'live', 'barren', 'desert', 'spread', 'bride', 'elaborate', 'swindle', 'When', 'murdered', 'husband', 'charged', 'homicide', 'Rod', 'Cameron', 'Diana', 'Millay', 'Alan', 'Hale', 'Gilligan', 'Island', 'fame', 'guest', 'star.THE', 'CASE', 'THE', 'BADGERED', 'BROTHER', 'December', '19', '1963', '-A', 'dispute', 'two', 'brothers', 'ownership', 'successful', 'chain', 'clothing', 'stores', 'pair', 'scissors', 'sticking', 'back', 'one', 'brother', 'other', 'charged', 'murder', 'Robert', 'Harland', 'Patricia', 'Blair', 'guest', 'star.THE', 'CASE', 'THE', 'WEDNESDAY', 'WOMAN', 'January', '2', '1964', '-A', 'woman', 'who', 'convinced', 'husband', 'innocent', 'murder', 'job', 'when', 'paroled', 'when', 'ex-insurance', 'agent', 'convinced', 'parolee', 'whereabouts', 'stolen', 'diamond', 'agent', 'murdered', 'husband', 'murder', 'rap', 'Marie', 'Windsor', 'Phillip', 'Pine', 'guest', 'star.THE', 'CASE', 'THE', 'ACCOSTED', 'ACCOUNTANT', 'January', '9', '1964', '-Perry', 'Paul', 'are', 'invited', 'lake', 'cabin', 'where', 'man', 'father-in-law', 'are', 'expected', 'confront', 'other', 'suspicions', 'embezzlement', 'father-in-law', 'letter', 'opener', 'plunged', 'back', 'Perry', 'steps', 'defend', 'son-in-law', 'Richard', 'Anderson', 'guest', 'stars.THE', 'CASE', 'THE', 'CAPERING', 'CAMERA', 'January', '16', '1964', '-Perry', 'ethical', 'dilemma', 'when', 'client', 'confesses', 'was', 'present', 'gun', 'hand', 'when', 'man', 'was', 'murdered', 'police', 'think', 'death', 'was', 'suicide', 'What', 'should', 'Perry', 'do', 'Margo', 'Moore', 'guest', 'stars', 'client']",N/A
1547454,AY0L01Z3U0QSU,B0087GKIQU,"Barbara Boyter Macauley ""snurse""","[1, 1]",I look forward to each Perry Mason DVD collection.  They are just as great as I remember watching on TV.  Can't wait on season 7 vol. 2,5,Eyes,1347667200,"09 15, 2012",2012,135,"['look', 'forward', 'Perry', 'Mason', 'DVD', 'collection', 'are', 'just', 'as', 'great', 'remember', 'watching', 'TV', 'Ca', ""n't"", 'wait', 'season', '7', 'vol', '2']",N/A
1547455,A2VYQ0V42Y6DI4,B0087GKIQU,"Barbara Castleton ""Barbara""","[1, 1]","This set holds its own with its pared down, plot focused brothers from previous seasons. I have seen so many Perry Mason shows that now I watch, not just for the story, but for the nuances and facial expressions.  They make it look sooo easy.",4,Gotta Love Perry,1375747200,"08 6, 2013",2013,242,"['set', 'own', 'pared', 'down', 'plot', 'focused', 'brothers', 'previous', 'seasons', 'have', 'seen', 'so', 'many', 'Perry', 'Mason', 'now', 'watch', 'not', 'just', 'story', 'nuances', 'facial', 'expressions', 'make', 'look', 'sooo', 'easy']",N/A
1547456,A3W4TKM1XMEBQ4,B0087GKIQU,Barton Lars,"[1, 1]",hard to get used to the old black and white but the TV show was so good that we are enjoying the CD immensley,4,tv classic of a favorite show,1356652800,"12 28, 2012",2012,109,"['hard', 'get', 'used', 'old', 'black', 'white', 'TV', 'show', 'was', 'so', 'good', 'are', 'enjoying', 'CD', 'immensley']",N/A
