,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1554212,A3T54H8LXZADJ0,B008IG0F7G,Al  A,"[0, 0]","This is a great half hour show from 1959. John Vivyan and Ross Martin make a great pair in this Noir type tv show. I like this just as much a Peter Gunn. The plots and stories are done very well. The action is always top notch and the transer to dvd is well done. I didn't know about this show until I saw an episode on MeTv then I was hooked. Funny how a lot of great shows from the late fifties and sixties only lasted one season. This show wasn't cancelled due to low ratings but rather certain groups of people objected to the  gambling casino on board the ship three miles off the U.S. coast as part of the story line so the show was dropped because the sponsers backed out. Mmmm,,,I wonder if this was the same group that said married couples on tv in the fifties could only sleep in single beds with a lamp in between them during any bedroom scenes. Today we have Mad Men and Scandals. Lol.",5,Mr. Lucky rolls a seven.,1389744000,"01 15, 2014",2014,897,"['great', 'half', 'hour', 'show', '1959', 'John', 'Vivyan', 'Ross', 'Martin', 'make', 'great', 'pair', 'Noir', 'type', 'tv', 'show', 'just', 'as', 'much', 'Peter', 'Gunn', 'plots', 'stories', 'are', 'done', 'very', 'well', 'action', 'always', 'top', 'notch', 'transer', 'dvd', 'well', 'done', 'did', ""n't"", 'know', 'show', 'saw', 'episode', 'MeTv', 'then', 'was', 'hooked', 'Funny', 'how', 'lot', 'great', 'shows', 'late', 'fifties', 'sixties', 'only', 'lasted', 'one', 'season', 'show', 'was', ""n't"", 'cancelled', 'due', 'low', 'ratings', 'rather', 'certain', 'groups', 'people', 'objected', 'gambling', 'casino', 'board', 'ship', 'three', 'miles', 'U.S.', 'coast', 'part', 'story', 'line', 'show', 'was', 'dropped', 'sponsers', 'backed', 'out', 'Mmmm', 'wonder', 'was', 'same', 'group', 'said', 'married', 'couples', 'tv', 'fifties', 'could', 'only', 'sleep', 'single', 'beds', 'lamp', 'bedroom', 'scenes', 'Today', 'have', 'Mad', 'Men', 'Scandals', 'Lol']",Mr. Lucky: The Complete Series
1554213,A1SHTZ12JYYX5I,B008IG0F7G,Barry D. Andrews,"[28, 29]","I recently ordered this set from Barnes & Noble. As you know, some of TimelessMedia Group's series, have been less than good. This one however, makes it.The picture quality is very good, and the audio is even better. The only reasonI didn't give it a better grade is because some of the episodes are a littledarker than others. But the picture is crisp, no jumps, no dirt. A worthwhilepurchase.",4,Another Great 50's Series,1350864000,"10 22, 2012",2012,394,"['recently', 'ordered', 'set', 'Barnes', 'Noble', 'know', 'TimelessMedia', 'Group', 'series', 'have', 'been', 'less', 'good', 'one', 'however', 'it.The', 'picture', 'quality', 'very', 'good', 'audio', 'even', 'better', 'only', 'reasonI', 'did', ""n't"", 'give', 'better', 'grade', 'episodes', 'are', 'littledarker', 'others', 'picture', 'crisp', 'jumps', 'dirt', 'worthwhilepurchase']",Mr. Lucky: The Complete Series
1554214,AI1QOZ8AMDR3Q,B008IG0F7G,Bruce Burke,"[7, 7]","This series I purchased without ever seeing one solitary episode for a few reasons. It's another Blake Edwards creation who created one of my other favorite series Peter Gunn.  The music again like Peter Gunn is done by Henry Mancini. The styling of Blake Edwards for this show is the same stylish quality although different from Peter Gunn. Also the costar is Ross Martin who played Artemus in The Wild Wild West. I never new Ross Martin did any other tv series besides West and he was a great actor. The star John Vivyan as Mr. Lucky is a good actor too  and these episodes are complete. This show ran for one season. I have not seen all episodes yet but I have liked each one I have seen. This show aired 1959 to 1960 black and white half hour shows. The stories move quickly and there is action a plenty in the ones I have seen. If you really like the old crime shows of the 1950's to 1960's era, and if you are definitely a Peter Gunn fan, you won't be dissapointed, you can't beat the price for this set and I believe you will appreciate this show as a short addition set to go along with Peter Gunn.",4,Mr. Lucky The Complete Series a one season show,1359504000,"01 30, 2013",2013,1106,"['series', 'purchased', 'ever', 'seeing', 'one', 'solitary', 'episode', 'few', 'reasons', 'Blake', 'Edwards', 'creation', 'who', 'created', 'one', 'other', 'favorite', 'series', 'Peter', 'Gunn', 'music', 'again', 'Peter', 'Gunn', 'done', 'Henry', 'Mancini', 'styling', 'Blake', 'Edwards', 'show', 'same', 'stylish', 'quality', 'different', 'Peter', 'Gunn', 'Also', 'costar', 'Ross', 'Martin', 'who', 'played', 'Artemus', 'Wild', 'Wild', 'West', 'never', 'new', 'Ross', 'Martin', 'did', 'other', 'tv', 'series', 'West', 'was', 'great', 'actor', 'star', 'John', 'Vivyan', 'Mr.', 'Lucky', 'good', 'actor', 'too', 'episodes', 'are', 'complete', 'show', 'ran', 'one', 'season', 'have', 'not', 'seen', 'episodes', 'yet', 'have', 'liked', 'one', 'have', 'seen', 'show', 'aired', '1959', '1960', 'black', 'white', 'half', 'hour', 'shows', 'stories', 'move', 'quickly', 'action', 'plenty', 'ones', 'have', 'seen', 'really', 'old', 'crime', 'shows', '1950', '1960', 'era', 'are', 'definitely', 'Peter', 'Gunn', 'fan', 'wo', ""n't"", 'be', 'dissapointed', 'ca', ""n't"", 'beat', 'price', 'set', 'believe', 'will', 'appreciate', 'show', 'short', 'addition', 'set', 'go', 'along', 'Peter', 'Gunn']",Mr. Lucky: The Complete Series
1554215,A1ZS2OUJOUQMR0,B008IG0F7G,"Daniel V. O. Grady ""Dan O'Grady""","[0, 0]","Shows are a little dated but still enjoyable.  Mr. Lucky runs an off-shoregambling boat always just eluding the police.  His sidekick is played byRoss Martin (also the sidekick from the &#34;Wild, Wild West shows).",4,Debonair Con Man,1359849600,"02 3, 2013",2013,214,"['Shows', 'are', 'little', 'dated', 'still', 'enjoyable', 'Mr.', 'Lucky', 'off-shoregambling', 'boat', 'always', 'just', 'eluding', 'police', 'sidekick', 'played', 'Martin', 'also', 'sidekick', '34', 'Wild', 'Wild', 'West']",Mr. Lucky: The Complete Series
1554216,AOUJRFUAFMWY3,B008IG0F7G,Darrell R. Foster,"[0, 0]",I forgot how great this series was. I love the theme music. The story lines of each episode are so good.,5,Mr. Lucky Complete Series,1356998400,"01 1, 2013",2013,104,"['forgot', 'how', 'great', 'series', 'was', 'love', 'theme', 'music', 'story', 'lines', 'episode', 'are', 'so', 'good']",Mr. Lucky: The Complete Series
1554217,A1U5279S68L0XL,B008IG0F7G,Day Fan,"[1, 2]","I never missed this series when it was aired on TV quite a few years ago; but, I always enjoyed it.",4,Lucky,1370822400,"06 10, 2013",2013,99,"['never', 'missed', 'series', 'when', 'was', 'aired', 'TV', 'quite', 'few', 'years', 'ago', 'always', 'enjoyed']",Mr. Lucky: The Complete Series
1554218,AZAEJB1ECT9HC,B008IG0F7G,Gary P. Cohen,"[4, 5]","The release of Mr. Lucky continues the welcome trend of releasing shows from the early 1960s that only lasted 1 single season.  Others include Wide Country, 87th. Precinct, The Gallant Men and The Lieutenant, all recently released.  I remember watching Mr. Lucky when I was 10 or 11 years old.  I read that it was broadcast on Saturdays, but, for some reason, I seem to recall watching it on Friday nights.The show is based on the old Cary Grant film about a gambler and his casino, located on a yacht that he won.  The star of the show John Vivyan, looked good in a tuxedo and resembled Grant even down to the cleft in his chin.  (He also resembles George Lazenby, who played Bond in On Her Majesty's Secret Service.)  His buddy Andamo is played by a young Ross Martin.  The show was produced by Blake Edwards, the noted director who directed Breakfast at Tiffanys and The Pink Panther among many other films.The show is most remembered for the great music of Henry Mancini, who also scored Edwards' other, more successful, tv series Peter Gunn.  I actually prefer the music of Mr. Lucky.  The theme music always makes me think of a nightclub or casino, about one or two in the morning, during the 1950s or early '60s.  Which I guess is appropriate considering the plot and time of the tv series. I think Edwards also used Mancini's music in just about every one of his films.Anyway, for whatever reason, Mr. Lucky only lasted one year.  The only other thing of note that I remember Vivyan doing is starring in a grade B western with one of the most ridiculous titles I can ever remember: Rider on a Dead Horse.  Edwards must have liked Ross Martin since he cast him as psychotic killer Red Lynch in his classic suspense thriller Experiment in Terror.  He also used him in his epic comedy The Great Race.  In 1965, Martin gained lasting fame co-starring, as Artemus Gordon, with Robert Conrad in the classic tv series The Wild Wild West.  Sadly, he died prematurely of a heart attack.I've watched the first three episodes of Mr. Lucky and they've all been very good.  Considering Timeless Video's checkered history, the picture quality has been very good.In conclusion, Mr. Lucky is a solid and enjoyable half-hour adventure series with nice guest stars and great music.  If you remember and love that period of tv the way I do, I highly recommend it.",5,Another Pleasant Surprise,1354924800,"12 8, 2012",2012,2352,"['release', 'Mr.', 'Lucky', 'welcome', 'trend', 'releasing', 'shows', 'early', '1960s', 'only', 'lasted', '1', 'single', 'season', 'Others', 'include', 'Wide', 'Country', '87th', 'Precinct', 'Gallant', 'Men', 'Lieutenant', 'recently', 'released', 'remember', 'watching', 'Mr.', 'Lucky', 'when', 'was', '10', '11', 'years', 'old', 'read', 'was', 'broadcast', 'Saturdays', 'reason', 'seem', 'recall', 'watching', 'Friday', 'show', 'based', 'old', 'Cary', 'Grant', 'film', 'gambler', 'casino', 'located', 'yacht', 'won', 'star', 'show', 'John', 'Vivyan', 'looked', 'good', 'tuxedo', 'resembled', 'Grant', 'even', 'down', 'cleft', 'chin', 'also', 'George', 'Lazenby', 'who', 'played', 'Bond', 'Her', 'Majesty', 'Secret', 'Service', 'buddy', 'Andamo', 'played', 'young', 'Ross', 'Martin', 'show', 'was', 'produced', 'Blake', 'Edwards', 'noted', 'director', 'who', 'directed', 'Breakfast', 'Tiffanys', 'Pink', 'Panther', 'many', 'other', 'films.The', 'show', 'most', 'remembered', 'great', 'music', 'Henry', 'Mancini', 'who', 'also', 'scored', 'Edwards', 'other', 'more', 'successful', 'tv', 'series', 'Peter', 'Gunn', 'actually', 'prefer', 'music', 'Mr.', 'Lucky', 'theme', 'music', 'always', 'think', 'nightclub', 'casino', 'one', 'two', 'morning', '1950s', 'early', ""'60s"", 'Which', 'guess', 'appropriate', 'considering', 'plot', 'time', 'tv', 'series', 'think', 'Edwards', 'also', 'used', 'Mancini', 'music', 'just', 'one', 'films.Anyway', 'reason', 'Mr.', 'Lucky', 'only', 'lasted', 'one', 'year', 'only', 'other', 'thing', 'note', 'remember', 'Vivyan', 'doing', 'starring', 'grade', 'B', 'western', 'one', 'most', 'ridiculous', 'titles', 'can', 'ever', 'remember', 'Rider', 'Dead', 'Horse', 'Edwards', 'must', 'have', 'liked', 'Ross', 'Martin', 'cast', 'psychotic', 'killer', 'Red', 'Lynch', 'classic', 'suspense', 'thriller', 'Experiment', 'Terror', 'also', 'used', 'epic', 'comedy', 'Great', 'Race', '1965', 'Martin', 'gained', 'lasting', 'fame', 'co-starring', 'Artemus', 'Gordon', 'Robert', 'Conrad', 'classic', 'tv', 'series', 'Wild', 'Wild', 'West', 'Sadly', 'died', 'prematurely', 'heart', 'attack.I', ""'ve"", 'watched', 'first', 'three', 'episodes', 'Mr.', 'Lucky', ""'ve"", 'been', 'very', 'good', 'Considering', 'Timeless', 'Video', 'checkered', 'history', 'picture', 'quality', 'been', 'very', 'good.In', 'conclusion', 'Mr.', 'Lucky', 'solid', 'enjoyable', 'half-hour', 'adventure', 'series', 'nice', 'guest', 'stars', 'great', 'music', 'remember', 'love', 'period', 'tv', 'way', 'do', 'highly', 'recommend']",Mr. Lucky: The Complete Series
1554219,A36H16ZJXUIMZG,B008IG0F7G,"Gene Cisco ""Moon Man""","[5, 5]","This series finally got the re-do it deserved for being one of the most infectious, late-50s, series that sadly, was short-lived. The picture for the most part (exception in the opening pilot episode with Nehamiah Persoff and the next one)is well-contrasted with good sound. Why would you want to botch the incredible soundtrack of Henry Mancini, so exceptionally cool and swinging as a martini on a hot night? The series was well controlled by Blake Edwards throughout, with scripts so sharp and dead-on you feel in just 25 minutes that you experienced an hour. When I first saw this series, I thought it had run over 3 years. The camaraderie between Mr. Lucky (John Vivyan) and his compadre (Ross Martin) is unequalled and much imitated throughout the following decades. In fact when Ross Martin was in ""Wild, Wild West"" 6 years later, on occasion, he lampooned what he did so smoothly in ""Mr. Lucky."" You will see the likes of Jack Nicholson, Richard Chamberlain and Barbara Bain (pre-Mission Impossible)and Gavin Macleod if you are so observant. In fact, the resemblance of John Vivyan to Cary Grant was so obvious, cleft chin, tall and handsome, so comedic that I thought he was Grant. Unlike Grant, who disdained violence as a last resort, both Vivyan and Martin get very physical in every episode in cuffed tuxedoes most of the time, almost Bond-like. (another imitator: The Saint)The other signature mark restored in this collection is Lucky's pulled stopwatch that signaled the call of Lucky in each episode. All in all it is a supreme joy to see and hear this stylish series that stands apart from the many series to come (Starsky & Hutch, Miami Vice) that never quite reached the flair and sophistication of this Blake Edwards charmer. Action, adventure, danger, gun play, gun molls, gamblers, grifters they all make their parade in the action aboard the Fortuna II, for awhile a gambling casino, then later, a bona fide restaurant-at-sea. Enjoy with a glass of champagne.",5,"Mr. Lucky, a nightly compadre.",1374796800,"07 26, 2013",2013,1983,"['series', 'finally', 'got', 're-do', 'deserved', 'being', 'one', 'most', 'infectious', 'late-50s', 'series', 'sadly', 'was', 'short-lived', 'picture', 'most', 'part', 'exception', 'opening', 'pilot', 'episode', 'Nehamiah', 'Persoff', 'next', 'one', 'well-contrasted', 'good', 'sound', 'Why', 'would', 'want', 'botch', 'incredible', 'soundtrack', 'Henry', 'Mancini', 'so', 'exceptionally', 'cool', 'swinging', 'martini', 'hot', 'night', 'series', 'was', 'well', 'controlled', 'Blake', 'Edwards', 'scripts', 'so', 'sharp', 'dead-on', 'feel', 'just', '25', 'minutes', 'experienced', 'hour', 'When', 'first', 'saw', 'series', 'thought', 'had', 'run', '3', 'years', 'camaraderie', 'Mr.', 'Lucky', 'John', 'Vivyan', 'compadre', 'Ross', 'Martin', 'unequalled', 'much', 'imitated', 'following', 'decades', 'fact', 'when', 'Ross', 'Martin', 'was', 'Wild', 'Wild', 'West', '6', 'years', 'later', 'occasion', 'lampooned', 'what', 'did', 'so', 'smoothly', 'Mr', 'Lucky', 'will', 'see', 'likes', 'Jack', 'Nicholson', 'Richard', 'Chamberlain', 'Barbara', 'Bain', 'pre-Mission', 'Impossible', 'Gavin', 'Macleod', 'are', 'so', 'observant', 'fact', 'resemblance', 'John', 'Vivyan', 'Cary', 'Grant', 'was', 'so', 'obvious', 'cleft', 'chin', 'tall', 'handsome', 'so', 'comedic', 'thought', 'was', 'Grant', 'Unlike', 'Grant', 'who', 'disdained', 'violence', 'last', 'resort', 'Vivyan', 'Martin', 'get', 'very', 'physical', 'episode', 'cuffed', 'tuxedoes', 'most', 'time', 'almost', 'Bond-like', 'imitator', 'Saint', 'other', 'signature', 'mark', 'restored', 'collection', 'Lucky', 'pulled', 'stopwatch', 'signaled', 'call', 'Lucky', 'episode', 'supreme', 'joy', 'see', 'hear', 'stylish', 'series', 'apart', 'many', 'series', 'come', 'Starsky', 'Hutch', 'Miami', 'Vice', 'never', 'quite', 'reached', 'flair', 'sophistication', 'Blake', 'Edwards', 'charmer', 'Action', 'adventure', 'danger', 'gun', 'play', 'gun', 'molls', 'gamblers', 'grifters', 'make', 'parade', 'action', 'Fortuna', 'II', 'gambling', 'casino', 'then', 'later', 'bona', 'fide', 'restaurant-at-sea', 'Enjoy', 'glass', 'champagne']",Mr. Lucky: The Complete Series
1554220,A2JCTUO5SVT9QR,B008IG0F7G,Hall M. Thompson,"[0, 0]",I remember this program from childhood growing up. Vivyan and Ross Martin make great partners on their gambling boat. Concept way ahead of it's time.,5,Best of old TV,1395705600,"03 25, 2014",2014,149,"['remember', 'program', 'childhood', 'growing', 'up', 'Vivyan', 'Ross', 'Martin', 'make', 'great', 'partners', 'gambling', 'boat', 'Concept', 'way', 'ahead', 'time']",Mr. Lucky: The Complete Series
1554221,A3RL75EGC6J6BN,B008IG0F7G,HENRY KONKEL,"[5, 5]","I am just thrilled this came out on DVD.  There was a product available, years ago on VHS, but itonly had about 8 episodes.  This DVD contains every eposide.  WOW!If you like late '50's early '60's TV, I highly recommend this product",5,MR LUCKY SERIES,1354060800,"11 28, 2012",2012,233,"['am', 'just', 'thrilled', 'came', 'out', 'DVD', 'was', 'product', 'available', 'years', 'ago', 'VHS', 'itonly', 'had', '8', 'episodes', 'DVD', 'eposide', 'WOW', 'like', 'late', ""'50"", 'early', ""'60"", 'TV', 'highly', 'recommend', 'product']",Mr. Lucky: The Complete Series
