,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1569655,AG170727NQ0D,B008KZX766,B. Bush,"[1, 1]",My mom purchased this through my account when she couldn't find a particular episode she wanted to watch. She was astounded by the high quality digital restoration. These shows never look like that on ME TV. She loves it.,5,My Mom is happy,1396137600,"03 30, 2014",2014,221,"['mom', 'purchased', 'account', 'when', 'could', ""n't"", 'find', 'particular', 'episode', 'wanted', 'watch', 'was', 'astounded', 'high', 'quality', 'digital', 'restoration', 'shows', 'never', 'look', 'ME', 'TV']",N/A
1569656,A13VQOO2P9EBSS,B008KZX766,Billie Davis,"[3, 3]","I'm glad they filmed this in color, as the quality on dvd shows thru.  I loved the stories when they first aired and I love that they are out on dvd. I have the first three and I'm not disappointed.",5,Bonanza,1352851200,"11 14, 2012",2012,198,"[""'m"", 'glad', 'filmed', 'color', 'quality', 'dvd', 'shows', 'thru', 'loved', 'stories', 'when', 'first', 'aired', 'love', 'are', 'out', 'dvd', 'have', 'first', 'three', ""'m"", 'not', 'disappointed']",N/A
1569657,A1RL68VKKL63BB,B008KZX766,Daria Fedyshyn,"[2, 2]","Wonderful color, clarity and especially love the special features. I've been waiting for these to come out for a long time and they can't come out fast enough!",5,Bonanza: The Official Complete Fourth Season:,1355961600,"12 20, 2012",2012,159,"['Wonderful', 'color', 'clarity', 'especially', 'love', 'special', 'features', ""'ve"", 'been', 'waiting', 'come', 'out', 'long', 'time', 'ca', ""n't"", 'come', 'out', 'fast', 'enough']",N/A
1569658,A30NXBU3CDNDFR,B008KZX766,Debby Smith,"[1, 1]",We are accumulating the complete series.  This is by far one of the absolute best series ever made and one you will watch over and over!  A MUST have for your library!,5,Absolutely love it!!!,1395014400,"03 17, 2014",2014,167,"['are', 'accumulating', 'complete', 'series', 'far', 'one', 'absolute', 'best', 'series', 'ever', 'made', 'one', 'will', 'watch', 'MUST', 'have', 'library']",N/A
1569659,ALRA7DEY3FFTI,B008KZX766,Deborah,"[1, 1]",I've enjoyed Season Four just as much as I did the first three seasons.  The picture and sound quallity are first-rate.  I liked the extra features and especially Pat Crowley's commentary.,5,Bonanza's Complete Fourth Season Is Fantastic,1365379200,"04 8, 2013",2013,188,"[""'ve"", 'enjoyed', 'Season', 'Four', 'just', 'as', 'much', 'did', 'first', 'three', 'seasons', 'picture', 'sound', 'quallity', 'are', 'first-rate', 'liked', 'extra', 'features', 'especially', 'Pat', 'Crowley', 'commentary']",N/A
1569660,A3CN9CCJUNIPKT,B008KZX766,DJ Joe Sixpack,"[1, 2]","--------------------------------------------------------------------""Bonanza: The Official Complete Fourth Season"" (1962-63)(CBS Home Video, 2012)--------------------------------------------------------------------This is classic American TV from the early 1960s, the fourth season of NBC's ""Bonanza"" western series, starring Lorne Greene, Michael Landon, Dan Blocker and Pernell Roberts as the Cartwright family, whose vast acreage near Lake Tahoe provided them with fourteen years worth of adventure, drama and comedy between 1959-73. By the time of this 1962-63 season, the Bonanza ""schtick"" was falling firmly into place, with the characters becoming better defined, and the comedic interplay between the actors getting more polished. Lorne Greene, as the family patriarch Ben Cartwright, is still relatively vigorous and youthful (at least compared to later seasons) while Landon's ""Little Joe"" is still being played as a callow young'un... The actor who hasn't quite hit his stride yet is Dan Blocker: I think ""Hoss"" continued to get better and better as the series went along, and in many ways he was the show's real hero.  Well, anyway, everybody has their favorites, right?Fans will be pleased with these high-quality video transfers, which also have good sound quality and a lot of footage restored from the shortened versions seen in syndication over the years... It's particularly fun to see all the old ""bumpers"" and some of the ads and promotional clips from the original broadcasts, including the '62-'63 vintage NBC peacock logos: pop culture fans should get a real kick out of this stuff! Nice, old-fashioned entertainment from the Kennedy era... (DJ Joe Sixpack, Slipcue film reviews)",5,Classic early 1960s American TV,1352592000,"11 11, 2012",2012,1702,"['Bonanza', 'Official', 'Complete', 'Fourth', 'Season', '1962-63', 'CBS', 'Home', 'Video', '2012', 'classic', 'American', 'TV', 'early', '1960s', 'fourth', 'season', 'NBC', 'Bonanza', 'western', 'series', 'starring', 'Lorne', 'Greene', 'Michael', 'Landon', 'Dan', 'Blocker', 'Pernell', 'Roberts', 'Cartwright', 'family', 'vast', 'acreage', 'Lake', 'Tahoe', 'provided', 'fourteen', 'years', 'adventure', 'drama', 'comedy', '1959-73', 'time', '1962-63', 'season', 'Bonanza', 'schtick', 'was', 'falling', 'firmly', 'place', 'characters', 'becoming', 'better', 'defined', 'comedic', 'interplay', 'actors', 'getting', 'more', 'polished', 'Lorne', 'Greene', 'family', 'patriarch', 'Ben', 'Cartwright', 'still', 'relatively', 'vigorous', 'youthful', 'least', 'compared', 'later', 'seasons', 'Landon', 'Little', 'Joe', 'still', 'being', 'played', 'callow', ""young'un"", 'actor', 'who', ""n't"", 'quite', 'hit', 'stride', 'yet', 'Dan', 'Blocker', 'think', 'Hoss', 'continued', 'get', 'better', 'better', 'series', 'went', 'many', 'ways', 'was', 'show', 'real', 'hero', 'Well', 'anyway', 'everybody', 'favorites', 'right', 'Fans', 'will', 'be', 'pleased', 'high-quality', 'video', 'transfers', 'also', 'have', 'good', 'sound', 'quality', 'lot', 'footage', 'restored', 'shortened', 'versions', 'seen', 'syndication', 'years', 'particularly', 'fun', 'see', 'old', 'bumpers', 'ads', 'promotional', 'clips', 'original', 'broadcasts', 'including', ""'62-'63"", 'vintage', 'NBC', 'peacock', 'logos', 'pop', 'culture', 'fans', 'should', 'get', 'real', 'kick', 'stuff', 'Nice', 'old-fashioned', 'entertainment', 'Kennedy', 'era', 'DJ', 'Joe', 'Sixpack', 'Slipcue', 'film', 'reviews']",N/A
1569661,A19MMJMNCJEBTS,B008KZX766,Edward,"[0, 0]",These Editions was received on time and in very good condition. I would recommend the purchase of these DVD;s to anyone who loves Westerns.,5,Bonanza,1377993600,"09 1, 2013",2013,139,"['Editions', 'was', 'received', 'time', 'very', 'good', 'condition', 'would', 'recommend', 'purchase', 'DVD', 'anyone', 'who', 'Westerns']",N/A
1569662,A1MLMANJTIRI35,B008KZX766,"Frank C. Murillo ""movie man""","[12, 17]","Finally the dvd companies are listening to us, they know we want all fourteen season and we are on our way.Its nice to see the fourth season listed for release so soon after the third season has just been released.I am pre ordering mine as you should so they khow how successful this series will sell.Gosh all fourteen season's are already out in foreign countries makes no sense but we are finally getting the series transferred to region one dvds.Yeah!",5,Now we are talking,1343001600,"07 23, 2012",2012,454,"['Finally', 'dvd', 'companies', 'are', 'listening', 'know', 'want', 'fourteen', 'season', 'are', 'way.Its', 'nice', 'see', 'fourth', 'season', 'listed', 'release', 'so', 'soon', 'third', 'season', 'just', 'been', 'released.I', 'am', 'pre', 'ordering', 'mine', 'should', 'so', 'khow', 'how', 'successful', 'series', 'will', 'sell.Gosh', 'fourteen', 'season', 'are', 'already', 'out', 'foreign', 'countries', 'sense', 'are', 'finally', 'getting', 'series', 'transferred', 'region', 'one', 'dvds.Yeah']",N/A
1569663,A3BNJEGO5RT58H,B008KZX766,"Frank Ioffredo ""zappa112""","[0, 0]",I Love It because it brings me back to my youth when the only color TV shows were Bonanza and the Wonderful World of Disney. My Sister Sue had the First color TV set in the Family and we use to gather around it in the early 60's and watch these show's every Sunday night. It became tradition till my Dad finally got a color set.Bonanza will always be one of my favorite TV westerns of all time!! It's diversity of Human events and the Stars that perform them will live on forever in the annals of Television Classics...,5,Love It!!,1393804800,"03 3, 2014",2014,519,"['Love', 'back', 'youth', 'when', 'only', 'color', 'TV', 'shows', 'were', 'Bonanza', 'Wonderful', 'World', 'Disney', 'Sister', 'Sue', 'had', 'First', 'color', 'TV', 'set', 'Family', 'use', 'gather', 'early', '60', 'watch', 'show', 'Sunday', 'night', 'became', 'tradition', 'till', 'Dad', 'finally', 'got', 'color', 'set.Bonanza', 'will', 'always', 'be', 'one', 'favorite', 'TV', 'westerns', 'time', 'diversity', 'Human', 'events', 'Stars', 'perform', 'will', 'live', 'forever', 'annals', 'Television', 'Classics']",N/A
1569664,A2X3CSEQ60IPK4,B008KZX766,Graham,"[2, 4]","Dear TV Fans....I GREW UP with Bonanza...so I don't have to review the DVD to tell you it was a FIVE STAR SERIES!!!! (Regarding the actual show )  IT IS!!! So I just wanted to put in my 2 cents.....Watching ALL 14 Seasons of Bonanza is like putting on an old worn pair of Jeans...or anything that makes you comfortable. ..(I DO wish it was on BluRay .... not necessarily for any aspect ratio changes, as I am a purist...but for disc space and clarity....I am pretty sure the master tapes would allow this but even with that said ...watching DVD on a Great set (upconverted or not is Dam Good!! :) so I would not worry! ..........with that said....I would tell ALL people who didn't grow up with this series while it was being broadcast...it was a very special Sunday evening..Buy Them ALL!!I would also tell you to get EVERY SINGLE SEASON of Gunsmoke (20 Years on the air), The Twilight Zone (The Best TV Series In History), The Honeymooners (The Original 39 episodes),The Dick Van Dyke Show, I Love Lucy and ALL the original Mary Tyler Moore Shows.......This is when WRITERS meant something....They were briliant  There used to be 36 episodes in aseason ""The comedic and dramatic acting abilities (especially in their early years)were incredible.The Writers....The producers actually cared about quality.....not the crap cheaply produced ""reality shows"" they have now which replaced real quality for financial purposes...(I am not talking about HBO or Premium shows...They are amazing)........There are OTHERS ...of Course...but I wanted to mention 7 of the best in History.....(Sorry.......One More  HAVE GUN WILL TRAVEL......and in another Genre...The Tonight Show With JOHNNY CARSON...(who will always be the Best in TV History at what he did and every current Talk show host will Verify that!!) ALL TV SERIES MENTIONED HERE ARE 5 STARS!! NO DOUBT ABOUT IT!!***AS A FELLOW ENTHUSIAST POINTED OUT I TOTALLY BLANKED ON  ""THE FUGITIVE""  A RARE MASTERWORK IN TV SERIES HISTORY!!!AND INCONTRAVERTIBLY.......... ONE OF THE GREATEST SERIES OF ALL TIME!!(The Original ""MISSION IMPOSSIBLE"" TV Series WITH PETER GRAVES WASN""T TOO SHABBY EITHER  :)ENJOY!!!!AG In New York :)",5,One Of The Greats Of All Time In TV History!...along with....,1352073600,"11 5, 2012",2012,2167,"['Dear', 'TV', 'Fans', '.I', 'GREW', 'UP', 'Bonanza', 'so', 'do', ""n't"", 'have', 'review', 'DVD', 'tell', 'was', 'FIVE', 'STAR', 'SERIES', 'Regarding', 'actual', 'show', 'IT', 'So', 'just', 'wanted', 'put', '2', 'cents', '..Watching', '14', 'Seasons', 'Bonanza', 'putting', 'old', 'worn', 'pair', 'Jeans', 'anything', 'comfortable', '..', 'DO', 'wish', 'was', 'BluRay', 'not', 'necessarily', 'aspect', 'ratio', 'changes', 'am', 'purist', 'disc', 'space', 'clarity', '.I', 'am', 'pretty', 'sure', 'master', 'tapes', 'would', 'allow', 'even', 'said', 'watching', 'DVD', 'Great', 'set', 'upconverted', 'not', 'Dam', 'Good', 'would', 'not', 'worry', 'said', '.I', 'would', 'tell', 'ALL', 'people', 'who', 'did', ""n't"", 'grow', 'up', 'series', 'was', 'being', 'broadcast', 'was', 'very', 'special', 'Sunday', 'evening..Buy', 'Them', 'ALL', 'would', 'also', 'tell', 'get', 'EVERY', 'SINGLE', 'SEASON', 'Gunsmoke', '20', 'Years', 'air', 'Twilight', 'Zone', 'Best', 'TV', 'Series', 'History', 'Honeymooners', 'Original', '39', 'episodes', 'Dick', 'Van', 'Dyke', 'Show', 'Love', 'Lucy', 'ALL', 'original', 'Mary', 'Tyler', 'Moore', 'Shows', '.This', 'when', 'WRITERS', 'meant', 'something', 'were', 'briliant', 'used', 'be', '36', 'episodes', 'aseason', 'comedic', 'dramatic', 'acting', 'abilities', 'especially', 'early', 'years', 'were', 'incredible.The', 'Writers', 'producers', 'actually', 'cared', 'quality', 'crap', 'cheaply', 'produced', 'reality', 'shows', 'have', 'now', 'replaced', 'real', 'quality', 'financial', 'purposes', 'am', 'not', 'talking', 'HBO', 'Premium', 'shows', 'are', 'amazing', 'are', 'OTHERS', 'Course', 'wanted', 'mention', '7', 'best', 'History', '..', 'Sorry', '.One', 'More', 'HAVE', 'GUN', 'WILL', 'TRAVEL', 'Genre', 'Tonight', 'Show', 'JOHNNY', 'CARSON', 'who', 'will', 'always', 'be', 'Best', 'TV', 'History', 'what', 'did', 'current', 'Talk', 'show', 'host', 'will', 'Verify', 'TV', 'SERIES', 'MENTIONED', 'HERE', 'ARE', '5', 'STARS', 'NO', 'DOUBT', 'IT', '***AS', 'A', 'FELLOW', 'ENTHUSIAST', 'POINTED', 'OUT', 'TOTALLY', 'BLANKED', 'ON', 'THE', 'FUGITIVE', 'A', 'RARE', 'MASTERWORK', 'IN', 'TV', 'SERIES', 'HISTORY', 'INCONTRAVERTIBLY', 'ONE', 'THE', 'GREATEST', 'SERIES', 'OF', 'ALL', 'TIME', 'Original', 'MISSION', 'IMPOSSIBLE', 'TV', 'Series', 'WITH', 'PETER', 'GRAVES', 'WASN', 'T', 'TOO', 'SHABBY', 'EITHER', 'ENJOY', 'AG', 'New', 'York']",N/A
