,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1333818,4,B00003XAKX,"In one part of the moive I think you sould look away on that one. Trush me. The legend is here it's JC (Sean Pertwee). In the moive he has the look's and fame and he has it all: And he has the hottest girl in town her name is Chloe (Catherine Zeta Jones). Ok one of his friend's (Ewan McGregor) enter him in a dangerous surfing contest, poor JC he must risk his life or his one ture love.
Which one is it going to be? The girl or the contest???
In the moive he said he is out of shape and he can't surf like that anymore. In the moive he said he almost die form that foolishly stuff. Once he had it all but now I don't know about that one.
Well, enjoy the moive I did you will too!!!!!",1028073600,4,685,3.797202797202797
1333819,3,B00003XAKX,"This movie is a must-see for you Catherine Zeta-Jones fans. She is beautiful, sexy, and young in this movie. She also speaks with her natural enlish accent. As far as the movie, it is a romantic comedy about a lad who is torn between being a responsible young man who puts Chloe (catherine zeta-jones) first in his life, or a young lad who wants to still to be looked up to by his buddies by going along with their dares and adventures surfing. The movie is cute, funny in moments, and has a nice ending.",1025568000,5,504,4.315789473684211
1333820,4,B00003XAKX,"this isn't a great movie, but if you're a fan of bad movies a la ""gleaming the cube,"" ""airborne,"" and the like, you'll dig it.  it's impossible not to appreciate some of the humor.  it's not clever, but it's not supposed to be.  i laugh every time i see this movie.",1023667200,,265,4.1568627450980395
1333821,4,B00003XAKX,"A very funny, typically British film about Surfing in Cornwall.
Great to watch with friends, picking up qotes/lines such as...
""It's not a turd Terry!"" - JC ""Well what is it then?! a round, brown fish?"" - Terry
""Your Beautiful, I'm beautiful..."" -as said by a fat silver Terry
""You are many things Terry but beautiful is not one of them""-Dean

A must see for any British Film fan...
There is Sean Pertwee and Ewan McGreggor for the girls, and the sight of Catherine Zeta Jones in her underwear I am pretty sure will attract a male audience too.
GREAT FILM - shame about the unrealistic ending!!",1020902400,3,594,4.5514018691588785
1333822,1,B00003XAKX,"I've never been much for surfing movies.  Only 2 reasons why I picked up this aqua-attempt @ a movie:
(1)  It stars Catherine Zeta-Jones
(2)  It was under [money]
Unfortunately, I regretted my decision to purchase it.  The plot centers around an over-the-hill past-his-prime surfer (Sean Pertwee - NOT the fellow on the cover) who feels it incumbent that he surf a dangerous coral & rock infested area known as ""the boneyard.""  Why?  you ask.  Well, so he can land a good-for-nothing friend of his a job @ a 2nd-rate newspaper.  Contrived, you say?  Yep, you're right!  Of course, being that this is a surf film, they elevate the task to the stature of Hektor travelling outside the gates to protect his beloved city of Troy.
The only other surf movie I recall seeing is POINT BREAK.  Two factors make BLUE JUICE a better movie than POINT BREAK:
(1)  POINT BREAK included Keanu Reeves in its cast, BLUE JUICE did not.
(2)  BLUE JUICE included Catherine Zeta-Jones in its cast.  POINT BREAK did not.
Furthermore, there are only 2 factors that entice one to watch BLUE JUICE @ all:
(1)  Catherine Zeta-Jones looks terrific in a bikini.
(2)  Catherine Zeta-Jones looks terrific in lingerie.
Other than that, this film is a wash.  There is one scene in which one of the main characters is getting pummeled by 3-4 guys.  Ostensibly, we're supposed to have sympathy for him.  Actually, the fellow was so obnoxious that I was rooting for the lads who were belting him.
Even Cahterine Zeta-Jones fans will have a hard time stomaching this DVD.  In truth, she is only in about 15% of the story.  The rest of the film details 4 guys meandering around the English countryside doing asinine things.  Likewise, fans of surf movies probably won't get too much out of this film, either.  There's only about maybe 7 minutes of surfing in the entire disc, and none of IT is particularly exciting.",1016928000,19,1879,4.678899082568807
1333823,2,B00003XAKX,"A film about British surfer pals and co-starring Ewan McGregor and Catherine Zeta-Jones could be interesting if the film was not Blue Juice.  While the story of old school friends reuniting for a fun in the surf and sun theme is non-offensive, the screenplay is.  Probably produced as a low-budget summer flick, Blue Juice is a moronic effort that  tries to present too many characters in ridiculous situations.  Never released in theaters in the US and only transferred to video after Ewan McGregor became noticed after the last Lucas film, Blue Juice stars Sean Pertwee as an over the hill at 30 beach bum with a very young and cute Catherine Zeta Jones as his girlfriend.  Their romatic interludes and relationship is threatened by the unexpected and uninvited appearance of Pertwee's three stooges-like friends from London up for a male bonding weekend.  Although excellent supporting actors like Stephen Macintosh and Ewan McGregor present believable characters they can not sustain this stinker.  The film falters and fails to be entertaining although younger fans of McGregor will no doubt enjoy this little ditty.  Predictable, lacking originality, but possibly rental material, Blue Juice is the kind of film every actor has listed on their resume of past credits and wishes they could forget.",994636800,4,1302,5.166666666666667
1333824,4,B00003XAKX,"I admit, I was a bit unsure when I popped the tape in -- but ""Blue Juice"" was highly enjoyable.  The eccentric minor characters and zany plot are well worth watching on their own, but for me the real draw was the romance between surfer JC (Sean Pertwee) and his lover Chloe (Catherine Zeta-Jones).  Not only was their relationship adorable at times, it felt very real.  Sean Pertwee did his usual top-rate job as JC, making his character both sympathetic and smouldering.  Only one complaint from me:  The cover features Zeta-Jones alongside Ewan McGregor, who played a supporting character *and* whose grungy appearence in the film bore little resemblence to the glamor shot on the cover.  Moreover, McGregor's name was emblazoned across the cover in the lead actor's usual spot.  Umm... so what happened to Pertwee, the actual star of the film?",970704000,3,846,4.915492957746479
1333825,2,B00003XAKX,"The only thing worse than surfers without any waves is a film about surfers without any waves.  For viewers who love surfing this film will be a gigantic disappointment since the total number of minutes of surfing footage struggles to reach three.
The story is a slice of life about beached surfers who are waiting not for the perfect wave, but for any wave at all.  J.C. (Sean Pertwee) is an aging super surfer who is flirting with a commitment with his girlfriend Chloe (Catherine Zeta Jones).  Just as he is about to find grown up bliss with the woman he loves, three old surfing friends turn up and convince him to hit the beach looking for monster waves at the Bone Yard.  The trouble is, there are no waves until the very end of the film, so most of the story dissipates itself on a meandering succession of disconnected beach happenings.
The acting is mostly mediocre.  Sean Pertwee has a few comical moments, but his acting was generally mundane.  Ewan McGregor was decent as the drug dealing wild man, by far the most interesting and peculiar character of the bunch.  Probably the funniest performance was turned in by Peter Gunn as Terry who turned his corpulent body into a continual sight gag.  Catherine Zeta-Jones was sexy as usual, but her character didn't really have enough meat for her to show much acting ability.
There is really not much here on which to comment.  I rated it a 3/10.  It's a real beach bummer.",970272000,10,1430,4.594488188976378
1333826,2,B00003XAKX,"I was surprised when I watched this film because Ewan and Catherine are clearly 5-7 years younger in it than they appear on the cover. This is a British film that stars some guy I've seen in other obscure movies with  Catherine and Ewan as B-characters. Something was weird with Catherine, she  had no eye makeup or something, it was quite distracting. Ewan was cool,  and played a familiar stereotype he has perfected, the druggy loser. I  didn't quite understand the tone of the picture. I thought it was going to  be a romantic adventure film, Point Break with kissing. Not even close. It  seems like it wants to be a beach movie, but the jokes are few and far  between, not to mention not funny. Some go by so fast that, because of the  dialect, are practically indecipherable. For a surf movie, there is  surprisingly little surfing, and I found myself fast-forwarding through a  lot of babbling (a staple of British filmmaking). We are treated to one  final shot of someone riding a huge wave. Don't blink or you'll miss it.  Like I say in the heading, it's something to kill time with, but very  forgettable.",955670400,,1115,4.598984771573604
7919532,4,B00003XAKX,Very satisfied,1437177600,,14,6.5
