,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1369467,5,B00004XQN5,"Eisenstein: The Sound Years is the best Criterion release I have ever purchased, which is saying a whole lot, concerning that I also have such other Criterion masterpieces as The Third Man, The Passion of Joan of Arc,The Grand Illusion, and several others. The pictures are better than they have ever been. The sound is as great as it could be from the sources (which is, to say, not all that great). The extra material is enormous. If you didn't like any of the three films, their essayists will be happy to convince you otherwise. I bought the set for Alexander Nevsky, but the two Ivan the Terribles are even better, if that is possible.",988416000,13,640,4.573913043478261
1369468,5,B00004XQN5,"These are three great epic films that until this release have suffered from some truly miserable DVD releases that are basically copies of cheap videotapes. For me, the most depressing thing about other DVD releases of these films is how bad the sound is-- especially the great Prokofiev scores.
Critereon has done an excellent job in cleaning up the visuals on these films, though unfortunately the soundtracks are still pretty bad.  There are lots of good features on the DVD that really, including some very informative commnetaries by film historians.  This set is a definite buy!",973468800,5,584,5.072916666666667
1369469,5,B00004XQN5,"Given Criterion's attention to picture and sound quality, this three-DVD set of Eisenstein's sound films 'Alexander Nevsky' and 'Ivan the Terrible'  parts One and Two, should rank as one of the great DVD releases of the  year.  View them alongside Leni Riefenstahl's 'Triumph of the Will' which  is being released by Synapse, and see how totally opposed propaganda  viewpoints created cinematic history.  These Eisenstein movies created a  new kind of cinema -- operatic cinema, each frame carefully composed for  great rhetorical effect. And Russian composer Prokofief worked alongside  Eisenstein to create some of the most powerful music ever composed for the  cinema to this day.  These films are not just an indispensable part of  cinematic history. They are films you will return to through the rest of  your life.",966729600,29,820,5.263565891472868
1369470,5,B00004XQN5,Ivan the terrible is a bit long and rambling but still is a cinematic gem dancing scenes some in color provide a rich visul fon infighting between Tartars Russian and royal backstabbing because of ww2 flim was done in segments the child playing young Ivan is a standout but so is the adult Ivan. Still a long movie but a true eadventure well worth seeing. Alexander s people Nevsky is an underated classic one of the best historical adventure movie ever made it events mainly center around prince alexander ralling a pesant army of the russian people too stop the invading crusader/teutonic knights called germans in the film pre-ww2 propoganda. I enjoyed the grand master and the organ playing monk more than darth vader and dark lord of sith from star wars they seemed to be forerunner of the latter. The battles scene are among the best ever filmed the music is top notch the songs are great the germans holy hymns included the infamous scene with babies and fire is still there and the fact that crusaders make the prefect bad guys armour overdone helmets and overuse of the cross make for best of all hack and slash films much better than conan the barbarian or braveheart in my mind.,1331942400,,1189,4.639810426540285
1369471,3,B00004XQN5,"Ivan the Terrible Parts I & II:

By the time he made ""Ivan the Terrible"" Eisenstein had moved from employing film montage juxtapositions to creating juxtapositions within the frame so the feel of the movie is very different from his early films. Between that change in style and the high contract lighting and the overwrought pantomime acting style, ""Ivan"" looks almost like a parody of an early silent film - despite being a talkie. Add to that the mostly static framing, the majestic but often sparsely furnished sets, the elegant and sometimes extreme looking costumes and hair and I was often reminded of nothing so much as the old Buck Rogers and Flash Gordon serials I watched on television as a kid - but with Ming the Merciless as the hero - and without much of the action.

Not unrewarding, but not the Eisenstein I would recommend.

Alexander Nevsky:

""Alexander Nevsky"" is a spectacularly staged 1938 historical drama about the attempted invasion of Novgorod, Russia by the Germanic Teutonic Knights of the Holy Roman Empire in 1242 and how they were defeated by the indomitable Russian people led by Alexander Nevsky. The characters are all two dimensional but nicely photographed, as is most everything. The battle is difficult and prolonged and I ponder the number of actual injuries inflicted during its recreation. There is a bit of comic relief contributed by two of Nevsky's commanders who vie for the hand of a particular maiden - which leads to a moment which is cleverly both touching and funny at the end of the film.

When the Russian people ultimately withstand the invasion, Eisenstein's  Nevsky prophetically proclaims; ""Go tell all in foreign lands that Russia lives! Those who come to us in peace will be welcome as a guest. But those who come to us sword in hand will die by the sword! On that Russia stands and forever will we stand!"" Within a few years would come a new assault by Hitler's German forces which the Russian people again withstood at great cost.

A reasonably good historical drama elevated by its historical importance.",1322697600,5,2065,4.849431818181818
1369472,5,B00004XQN5,"This review covers both Parts I & II of ""Ivan the Terrible"", for the sake of brevity, and also because I consider this to be one complete film (especially since Part III was never completed).  ""Ivan"" is indeed a ""ballet with a script"" containing an encyclopaedic amount of multi-leveled visual information.  It often appears that the actors are being choreographed (in the supplemental material in this collection, it is revealed that Eisenstein often instructed the actors to make animal-like movements).  The influence of Kabuki can also be seen in regard to said choreography--and this staging of the players by Eisenstein is yet another element contributing to the magic of the film.  There are so many highlights in ""Ivan"" that must be mentioned: (1) the omnipresent, larger-than life frescoes that create an atmosphere of menace, as if the characters are being tracked by spirits; (2) the baroque hyper-stylized, extravagance of every visual detail, IE (A) the expressionistic lighting and shadows; flames flickering outside of crescent-shaped windows; (B) the fantastic thick-walled interiors of the palace featuring the curved arches of doorways; (C) set pieces including sculptured ornamentation, over sized goblets, elaborate candelabras, golden roosters and white swans; (D) sinister icons of Christ, IE one that is framed in the arc of a candlelit alcove, with two guards with crescent-shaped axes standing to the right of that icon; (3) Ivan being showered with coins at his coronation in ""The Great Hall"" at the beginning of the film, with shafts of light falling across the court in the background; (4) the shadow of Ivan's devilish profile on the wall, as he plots his strategy against the Baltic states, and in the same scene, the gyroscopic shadow of a globe representing Ivan's geopolitical ambitions; (5) Ivan's wedding feast with its joyously militant Prokofievian choruses; (6) the bells, chimes and softer choirs that embellish the conspiratorial whispers and tetes a tetes between members of the court, as they speculate on Ivan's latest maneuver for power; (7) the lurid pinks, reds, greens and blacks of Chapter 17, ""Dance of the Oprichniki"" (that scene subsequently transforming into Vladimir's ""Anti-Coronation"").

Nikolai Cherkasov gives a finely nuanced performance, vividly revealing Ivan's various tortured states of mind.  Eisenstein made Ivan--as ruthless as he could be--not only a grandly compelling character, but also one with whom the viewer can readily empathize.  To quote Joan Neuberger from the ""The History of Ivan"" in the supplemental material on CD 1, ""Ivan is child and father, rational and mad, progressive and destructive"".  Other notable performances include those by Serafima Birman as Efrosinia Staritskaya (a kind of ""Wicked Witch of the West"" transplanted into a medieval Russian context); Pavel Kadochinikov as Efrosinia's effeminate son Vladimir Staritsky; Mikhail Zarov as Malyuta Skuratov, the ""Eye of the Czar""; and the powerful Andrei Abrikosov as Philip the Metropolitan (formerly Fyodor Kolychev).  Eisenstein wisely chose these actors, as well as others in the film, for the expressive power of their faces.  Excellent supplemental material is featured on both CDs of this collection--highlights include an analysis of Eisenstein's visual vocabulary by Yuri Tsivian on CD 2; Joan Neuberger's ""History of Ivan"" focuses on Eisenstein's melding of the personal and the political in creating the film.  The following quote by Neuberger succinctly captures the essence of ""Ivan"": ""Ivan the Terrible is a film structured by dualisms, reversals, and mirrors because it tells a story rooted in contradictions and is filled with divided souls.  It features people who are never what they seem to be, and who change shape before our very eyes.""

A separate review for ""Alexander Nevsky"" appears among my other Amazon reviews.

Stephen C. Bird, Author of ""Any Resemblance To A Coincidence Is Accidental""",1298764800,3,3955,5.420195439739413
1369473,5,B00004XQN5,"Segei Eisenstein is the ultimate director first in silent films and then with sound.  I would put him on a par with Alfred Hitchcock.  Battleship Potemkin, Alexander Nievksy, Ivan the Terrible.  One could teach an entire course on filmmaking from these three movies.  The use of shadows, facial expressions, costumes, dialogue and music are beyond compare.  One likens these to the Maltese Falcom and the living room scene when the sun comes up and the lamps are turned off as Sideny Greenstreet closes the book he is reading.  These three movies deserve their place in the ""Movie Hall of Fame"" (if there is such a thing.)  P.S. I got my first viewing of these three movies on PBS with commentary by academic experts.  I wish they would bring out a DVD of these movies with the PBS commentators on it.  I would get them in an instant.  An Eisenstein fan from Stony Point, New York.",1298246400,4,881,4.625806451612903
1369474,5,B00004XQN5,"Sergei Eisenstein is trumpeted around film-buff circles as a legendary genius. If you're like me, you're leery of the term, as it usually means that their films are really not worth watching anymore. Sometimes, what they did may have been revolutionary for the time, but has now been so adopted by the film industry as to become mere standard fare. High praise, to be sure, but it doesn't light up your world. This was how I perceived Eisenstein after watching ""The Battleship Potemkin."" It's an ok story, but clearly propaganda and the final sequence might be truly moving if it hadn't been aped so many times throughout film history as to become a cliche.

I know different now.

Alexander Nevsky is a great film, loaded with anti-German propaganda but also compelling action sequences and symbolism. The real treasure, though, is Ivan the Terrible.

If you ever wondered just how many ways a story can be told in a feature film, Ivan the Terrible is the film you need to see. The effect is fascinating: the moods, fears, neuroses and schemes are revealed with shadows, lighting, frescoes on walls, body positions and so much more. The visual scenery is so dense that that everything means something, but at the same time, it is clear enough that you can perceive most of it. Ivan the Terrible is truly Eisenstein at the peak of his powers. It is too bad he never got to finish his masterpiece-what we have is already a film for the ages. I marvel at what could have been if only he'd lived.",1254182400,7,1493,4.6477272727272725
1369475,5,B00004XQN5,"Eisenstein's last film is his most visually dense, with every shot and costume and motion and set immaculately composed and every cut creating deeper resonance for the image that came before it. This is the cinematic equivalent of opera, weird and stylized and extravagant and completely un-real... it creates its own set of rules that have very little to do with the conventional rules of film. That's why it's my favorite film, but that's also why a lot of people are bored/disoriented by it.",1204243200,2,494,4.892857142857143
1369476,5,B00004XQN5,"Three of the great films of Sergei Eisenstein, Alexander Nevsky, Ivan the Terrible and the Boyar's Plot are both remarkable evocations of their historical eras and of the times in which they were written.  It is especially in the increasingly suspicious atmosphere of Ivan that one can begin to appreciate why Stalin eventually stopped further work - it was definitely too close to home!

Three great classic films well reproduced in this edition.",1198454400,2,447,5.109589041095891
