,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1420698,5,B00005B1Z5,"Please, this is nothing but 5 star material, it one of the most highly regarded films (set of films) made of this genre (motivational, propaganda); it was a brilliant move by the US government and Army Signal Corps to utilize the incredible Oscar winning talents of Frank Capra .  It REALLY puts you in the place of the free world being threatened by three dictatorships and why the US needed to stay motivated to the bitter end of the war.  Don't listen to the other reviews that are less than 5 stars, Capra was surprisingly accurate in the facts and timelines (his emphasis) he put in the movies; do what I tell you in the following paragraph and you will see.  It is fascinating to see what the US did to motivate the public and fighting men during that era.

OK, let me say something that I have not heard and you might find even more useful.  I recommend the ""Why We Fight"" and then compare notes to the BBC/Thames TV ""World At War"" series.  VERY interesting and you see why Capra was so highly regarded as a filmmaker, he had it NAILED down and my parents VERY much remember those films as teens during the war (they felt motivated to defend the US when seeing these).  Ah, now take ""Triumph of the Will"" and see how Leni Reifenstall used her skills to motivate the German people, amazingly skillful and eerie.  Folks, there is some education going on there and if you have kids get them to watch the three together and talk to them about people, war, and why we all need to get along in the world.",1122076800,24,1505,4.369175627240144
1420699,5,B00005B1Z5,I don't know why some others didn't like this series. I watched them a lot on WWII topic. And this is the one give you a quick picture to what was happened before and during the war till 1943. It's great for people who are not deeply familiar with the topic. It has an excellent graphics presentation. It is easy to understand the sequence in the war. It becomes my favorite movie of all.,1118620800,5,388,4.256756756756757
1420700,5,B00005B1Z5,"At what point should you go to war? How far can you dibate an issue before it's too late? The thought process is almost dizzying. This film gives a possible view of what might have happened should action not have been taken. Thank God the English stepped up to the task as quickly as they did.  It's nice to believe that there is never a time for war.  War is ungly, and heart breaking, but to say there is never a time for war is naive.  I highly recommend this as both a learning source and also as something to provoke you into thought.",1049155200,10,539,4.163461538461538
1420701,4,B00005B1Z5,"This four disc set from Frank Capra and the US Armed Forces is an interesting piece of documentary film. The seven films are loaded with historical information as well as propaganda. Some of the things said here, Amazon.com would never let me repeat. But it is a piece of our history--of the war, or our military, of world politics, and of the propoganda machine. It's worth watching, especially with the information we have now. Disc one contains 'Prelude to War' (which covers the initial aggressive acts of Italy, Japan, and the Nazis) and 'The Nazis Strike' (covers the Nazis early conquests); disc two contains 'Divide and Conquer' (mostly the fall of France) and 'The Battle of Britain' (covers the attacks made on England); disc three contains 'The Battle of Russia' (the longest of the seven films, this one runs almost an hour and a half and covers the invasion of Russia and the Nazis retreat--lots of unintentional irony here); and disc four contains 'The Battle of China' (covers the Japanese invasion of China) and 'War Comes to America' (the final documentary just sorts of rehashes the other films and then pumps us up as to why we fought the war and makes excuses for not going into it earlier).",1043020800,35,1211,4.7990430622009566
1420702,3,B00005B1Z5,"this film series was made during the war, so #1 it's fairly factual, but #2 it's politically incorrect....basically this film was made to boost national morale, so it's your typical ""US is pure good and Germany/Japan is evil incarnate"".  overall I'd definitely recommend this film, a must for any WWII fan.",990057600,11,306,5.0
1420703,4,B00005B1Z5,"Peace! Peace! We all want peace, but how do we know when it's time to get involved in the fight? This series informed our soldiers, and should be good warning to those who are inclined to be trusting and those who are inclined to avoid a fight. The film quality is what the soldiers saw during war times. The history lesson is a good one for all of us.",1326672000,,352,4.115942028985507
1420704,5,B00005B1Z5,"This video was prepared by the U.S. Government to inform our military officers about WHY we were fighting World War II. It's an incredible eye-opener. The perspective is utterly amazing when compared to the way our government is functioning in 2010. In the 1940's the U.S. perspective was the antithema of progressiveism.

I bought a set for each of my adult children so they could be exposed to the American ideals that even we baby-boomers were raised with.",1288656000,4,459,4.884615384615385
1420705,5,B00005B1Z5,"I have already probably given myself away.  I love this country.  No human endeavor is free from flaw, but I think the country we live in comes as close to paradise as any contrivance by mankind thus far.  These films, shown to soldiers, mid World War II, explained to them WHY we were fighting and WHY they were being asked to risk, and, God forbid, sacrifice their lives in places they had never heard of for people they had never met.  From all the accounts I have read, the portrayals in these films are accurate.  The barbarism being perpetuated on innocent people by ""The Master Race"" is accurately portrayed, and the evil that results when one people thinks themselves more important or more worthy than their brethren.  It is a wake up call in our current world, with militant extremists not afraid to kill themselves or others to try to bring the world to their way of existence.  There are timeless lessons in these films, of naive belief in the goodness of all people, and in trusting people who are not worthy of trust, and the terrible cost of ignoring the danger signs that portend disaster at the hands of maniacs, in pursuit of ""peace"", or at least the illusion of peace.  Vladimir Putin and Mahmoud Ahmadinejad come immediately to mind.  These are people, who in my opinion, are the most dangerous and untrustworthy persons on the face of the earth, and the danger is ignored.  Barack Obama is our Neville Chamberlain, Ahmadinejad our Adolf Hitler (ironically both are/were focused on the ""final solution"").  Listen to Ahmadinejad talk about peaceful use of nuclear power, his denial of the holocaust and watch the part of these films, where Hitler scoffs at the allied powers before the war, telling them, ridiculing them.  He ""Wants no Czechs!"".  Watch the lies and liars from history, and learn.  If I had my way, these films would be required viewing in every high school in America.  The history lesson would be entitled ""How the World Really Works"".  Learn to recognize the lies, learn to analyze the logic behind evil desire.  These films are priceless.",1271894400,5,2077,4.756983240223463
1420706,4,B00005B1Z5,"As a propaganda film, this series explains the dire urgency of what was happening for the ordinary joe.  The film's usage of maps helps to illustrate how the Axis threat had rapidly spread across both Europe and Asia.

The War is explained at both a strategic level and from a point of human suffering.  Unlike what I would expect in a propaganda movie with flag waving and parades, the film shows how formidable and dominating the Axis forces were: they were winning and the Allies were loosing.  As a propaganda film, it works along the lines of showing a raging fire, and showing how the fire had breeched multiple barriers.

The film is not join the easy fight, but to prepare the nation for a very tough, vicious war.",1224892800,4,722,4.565891472868217
1420707,4,B00005B1Z5,I thought the movie was an excellent way to get a base for World War II.,1205366400,,72,3.5625
1420708,4,B00005B1Z5,Oh My!  If you want to see the USA in the best light probable than watch these documentaries.  They are careful to omit the facts and in some cases are blatenly lying.  Perfect to see the allies use of propoganda during World War II.,1198022400,,233,4.25
1420709,5,B00005B1Z5,"I remember watching this series when I was a teenager, and I didn't realize the value of this series until I was enlisted in the Army.  Just as the Germans made films to boost and maintain national morale, the United States got one of the most brilliant directors of the time, Frank Capra, to unite the people of the Free World against the forces of aggression.

I think this is a wonderful series to own and collect for the years to come.",1167868800,7,439,4.341463414634147
