,overall,asin,reviewText,unixReviewTime,vote,reviewLength,wordLength
1637099,2,B00005NRNH,"I am so dissapointed in this film. When I saw it at the store I bought it right away because of Billy Dee and Hill Harper. But I gotta tell you, The movie never went anywhere. I Thought that there would be more scenery, but it was Just the prison. I hate to tell you the movie, if you hadn't already seen it but, The end is the only plot that actually make the movie interesting. By then I really hated that I sat there 107 min for only 2 or 3 interesting scenes.
Was it just me or did it seem that Hill Harper was trying to act like Denzel did in Hurricane?",1013904000,,558,3.9035087719298245
1637100,1,B00005NRNH,"My reviews and ratings are based on DVD quality, not dramatic content or performance.
The DVD is terrible and claims to be 16:9 -- it's not that.  I don't know what the aspect ratio really is.  I'd also like to know where the Dolby ""surround"" sound is because I didn't hear it.  It is in a limited stereo, however -- that's for sure, because a few times the character's voices were coming from the wrong side of the screen!  Pleasant!
The picture is blurry at all times; the DVD must have been made from a mini-tape transfer.  In several instances characters are talking but there is background music instead.  Also, during scenes and conversations the picture will fade out completely and back in again.  Is that supposed to enhance the film?  I found it very annoying.  Perhaps the actors did not memorize their lines sufficiently to continue.  Did they have to change the tape or something?
""The Visit"" was based on a play, so that explains why there are few sets.
As mentioned in my title, I would buy a VHS of this movie if you really want it.  You'll really be settling for poor quality if you purchase the DVD.  It's a shame, too, because I really enjoyed the characters and the actors portraying them.  I was looking forward to something of quality.  Then again, you could just look at the very nice, glossy snap-case while you listen to the film.  That would be an improvement, believe me!",1013385600,2,1398,4.5582329317269075
1637101,5,B00005NRNH,"""The Visit"" is a very fine film with formidable performances, especially from the superb Hill Harper and Billy Dee Williams.  I also thought Rae Dawn Chong was the best I've ever seen her.  It is a terrible shame this film was deemed fit only to been seen in theatres on the West and East coasts.  I would definitely have paid good money to see this film to give it the proper support it so richly deserved.  I found myself connecting with these characters completely and regretted seeing them leave after a truly magnificent stay in my home for an hour and forty five minutes.  Please rent this film.  There may be little we can do about supporting it at a theatre near our respective homes, however we can do what is necessary to make sure it flies off video shelves.
While it is not my intention to insult films like ""The Brothers"" and ""Two Can Play That Game,"" I do feel it is worth noting that films like ""The Visit"" (""Eve's Bayou"" comes to mind as well as the television series adaptation of the film ""Soul Food"") represent the talent Black actors and filmmakers are capable of if only given the chance to be seen and heard.  Bravo to Jordan Walker Pearlman for his exquisite film and let us hope this represents an embracing of excellence in the telling of Black people's stories on screen.  I am very, very proud.",1012608000,24,1321,4.475
1637102,5,B00005NRNH,"""The Visit"" is an outstanding expanded view of a prison inmate dying of AIDS. His world is defined by visits from family members and an old girl friend, and by his meetings with a prison psychologist and the parole board. Each encounter is followed by dream sequences where he imagines an intimacy with them that is impossible across the physical and mental barriers defining their short time together. The story paints a larger picture of anger, love, and forgiveness that reaches beyond the unsentimental and unvarnished prison drama to a universal redemption unbound by prison walls. Say amen somebody; this is true religion at its best, sans God or Bible, but rich in human love.",1004832000,24,683,4.947826086956522
1637103,5,B00005NRNH,"Dealing with family and forgiveness is one of the hardest and most humbling things we all, as humans, go through in life.  This story shows how this one man, who is dying and is in prison, not only tortures himself because of anger, love and forgiveness, but how his family and friends support, and at times don't support his journey.  If you are looking for a story with raw emotions, hard cold truths, and saving love, this is the story for you.  It applies to us all as humans as it erases the differences of race or color and deals with the heart.

The acting in this movie is superb.  Hill Harper and Billy Dee Williams have outdone themselves again.

Jordan Walker-Pearlman has taken this play and has shown us all this valuable life lesson on film.  I expect great things from Jordan in the future and anxiously await them.  You have my support.",1111017600,6,852,4.487012987012987
1637104,4,B00005NRNH,"I am a Black African from South Africa and like movies in general but I am an avid supporter of Black Amarican movies. This was a very good movie with superb acting by all. This movie for me was a fresh change from movies like Boys 'n the Hood, Best Man, Love Jones etc. Don't get me wrong, these movies hold their own in their respective genres and I love them. It's just that seeing Hill Harper giving such a powerful, convincing portrayal of inmate Alex Waters dying of AIDS made me respect him even more as an actor. In fact i regretted buying his other movie Loving Jezebel. I know the genre is different but I still think that The Visit is a better movie both in terms of material and Hill Harper's acting. Having said that, the performance by the entire cast (Rae dawn Chong, Obba Babatunde, Phylicia Rashad, Marla Gibbs and Billy Dee Williams) was excellent.

I really welcome movies like this, movies that tackle social issues experienced by real people and at the same time provide actors with serious roles with depth. Keep up the good work

Simangele Mkhize, Westville, South Africa.",1107129600,4,1095,4.581632653061225
1637105,5,B00005NRNH,"Although I missed the beginning of The Visit ,I found it filled with powerful acting and a story of transformation.  How did I miss this? It was released in 2001.  What else is out there?",1104451200,2,187,4.314285714285714
1637106,5,B00005NRNH,"Sent to jail for a crime he didn't commit, Alex (HILL HARPER, He Got Game) must now fight to win his parole. His fight, however, is not with the prison authorities, but with himself. From behind the jail cell bars Alex looks on at the middle class life he left behind and his brother Tony (OBBA BABATUNDE, Life) who now has everything Alex does not. Visits from his parents (BILLY DEE WILLIAMS, MARLA GIBBS), his childhood sweetheart (RAE DAWN CHONG) and the prison psychiatrist (PHYLICIA RASHAD) start to rebuild Alex. Each visit teaches him to love not just the world, but himself. As this spiritual adventure of the heart reaches its unexpected climax, Alex shows us how we can all become better people when we face the demons inside us.",1097971200,5,740,4.7
1637107,5,B00005NRNH,"This movie is just beautiful. The portrayals were the absolute best and I wasn't disappointed. You have this brother who has AIDS in prison. His father, who didn't give him no support when he needed it, will not visit him in prison until the brother(Obba Babatunde) asks them to. I believe the reason he asks the family to come is because he knew the end was coming, and in his own way he wanted to make peace. In some of the scenes, he baits some of the folks, I felt that was a waste of time, but other than that, it was good. One of the best, and one of the most underrated movies that is out there.",1047254400,12,602,4.110169491525424
1637108,5,B00005NRNH,"Somewhere, in every family, there's an ache to be healed
Seeing a movie of this caliber was a pleasant surprise.
Hill Harper will be a major leading star in the very near future. While the most obvious comparison is to think of the next Denzel Washington, I think he will take a step forward, just as Denzel did from Sidney Poitier. Harper's strong performance in the TV show City of Angels and his debut feature film Loving Jezebel gives you a glimpse into his potential.
His acting is exceptional, without the need for giving speeches like many of the current crop of better actors such as Denzel Washington, Kevin Spacey and Nicholas Cage. As I was looking at this film, I was reminded of Denzel in Hurricance. Not because of the similar prison setting, but because of the depth of the character being shown in a confined space. Jordan Walker-Pearlman's directing compliments Harper's acting, effectively using flashbacks and luminous dream sequences.
The supporting cast is excellent, creating an ensemble film. Obba Babatunde, Rae Dawn Chong, Billy Dee Williams, Marla Gibbs and Phylicia Rashad all provide memorable performances. Billy Dee even makes up for his shameful supporting, ""I really need a paycheck,"" role in The Ladies Man.
In The Hurricane, the primary villain was a racist white policeman and an insensitive judicial system. In The Visit, the biggest enemy starts out as Alex himself. As in the phrase, ""still waters run deep,"" The Visit is about so much more than a conversation between two people sitting on different sides of a table. Every family has room for a spiritual awakening and there are doors that you may wish to reopen once you see this film.
George O. Singleton  2000
George@reelmoviecritic.com",1033084800,9,1729,4.982698961937716
1637109,5,B00005NRNH,"I never believed I could cry for a criminal.  I always assumed they were in prison because twelve strangers said, ""Guilty.""  The movie, The Visit, took me not only inside of prison walls, it took me inside of the prisoner's heart...a heart most people on the outside never know, not even a father.  It took me inside the prisoner's thoughts as he looked at me through my television screen.  I felt guilty for my own freedom.  I saw in his eyes what I have felt many times, the sadness of a person who deserved more, a person who was not heard, a person who so much begs for freedom but can only look through cold steel bars.  This movie gave me a sense of what my freedom really means.  Freedom is a choice every day of your life.  You don't have to go to prison to be in prison.  I cried the tears this man could not part with.  This movie is a lesson in life.",1032739200,8,861,4.132530120481928
